Id	Precondition	LevelLimit	MonsterGroup	Cost	PreLevelCost	Exp	FirstReward	RandomReward	RankTime	MaxCountPerDay	RecommendFightAbility
5051	5041	0	51035	2#7	2#1	8	5025#401025	3025#401025	180	0	24162
6011	5051	21	51036	2#7	2#1	8	5026#401026	3026#401026	90	0	26847
6021	6011	0	51037	2#7	2#1	8	5027#401027	3027#401027	90	0	29007
6031	6021	0	51038	2#7	2#1	8	5028#401028	3028#401028	120	0	31167
6041	6031	0	51039	2#7	2#1	8	5029#401029	3029#401029	90	0	33327
6051	6041	0	51040	2#7	2#1	8	5030#401030	3030#401030	180	0	35487
7011	6051	23	51041	2#7	2#1	8	5031#401031	3031#401031	90	0	37647
7021	7011	0	51042	2#7	2#1	8	5032#401032	3032#401032	90	0	39807
7031	7021	0	51043	2#7	2#1	8	5033#401033	3033#401033	120	0	41967
7041	7031	0	51044	2#7	2#1	8	5034#401034	3034#401034	90	0	44128
7051	7041	0	51045	2#7	2#1	8	5035#401035	3035#401035	180	0	46288
8011	7051	26	51046	2#7	2#1	8	5036#401036	3036#401036	90	0	48448
8021	8011	0	51047	2#7	2#1	8	5037#401037	3037#401037	90	0	49162
8031	8021	0	51048	2#7	2#1	8	5038#401038	3038#401038	120	0	49877
8041	8031	0	51049	2#7	2#1	8	5039#401039	3039#401039	90	0	50590
8051	8041	0	51050	2#7	2#1	8	5040#401040	3040#401040	180	0	51304
9011	8051	27	51051	2#7	2#1	8	5041#401041	3041#401041	90	0	52019
9021	9011	0	51052	2#7	2#1	8	5042#401042	3042#401042	90	0	52732
9031	9021	0	51053	2#7	2#1	8	5043#401043	3043#401043	120	0	53446
9041	9031	0	51054	2#7	2#1	8	5044#401044	3044#401044	90	0	54160
9051	9041	0	51055	2#7	2#1	8	5045#401045	3045#401045	180	0	54874
10011	9051	29	51056	2#7	2#1	8	5046#401046	3046#401046	90	0	56187
10021	10011	0	51057	2#7	2#1	8	5047#401047	3047#401047	90	0	57384
10031	10021	0	51058	2#7	2#1	8	5048#401048	3048#401048	120	0	58581
10041	10031	0	51059	2#7	2#1	8	5049#401049	3049#401049	90	0	59778
10051	10041	0	51060	2#7	2#1	8	5050#401050	3050#401050	180	0	60974
11011	10051	31	51061	2#7	2#1	8	5051#401051	3051#401051	90	0	62650
11021	11011	0	51062	2#7	2#1	8	5052#401052	3052#401052	90	0	64805
11031	11021	0	51063	2#7	2#1	8	5053#401053	3053#401053	120	0	66960
11041	11031	0	51064	2#7	2#1	8	5054#401054	3054#401054	90	0	69116
11051	11041	0	51065	2#7	2#1	8	5055#401055	3055#401055	180	0	71271
12011	11051	32	51066	2#7	2#1	8	5056#401056	3056#401056	90	0	72815
12021	12011	0	51067	2#7	2#1	8	5057#401057	3057#401057	90	0	73749
12031	12021	0	51068	2#7	2#1	8	5058#401058	3058#401058	120	0	74682
12041	12031	0	51069	2#7	2#1	8	5059#401059	3059#401059	90	0	75616
12051	12041	0	51070	2#7	2#1	8	5060#401060	3060#401060	180	0	76550
13011	12051	36	51071	2#7	2#1	8	5061#401061	3061#401061	90	0	81574
13021	13011	0	51072	2#7	2#1	8	5062#401062	3062#401062	90	0	87651
13031	13021	0	51073	2#7	2#1	8	5063#401063	3063#401063	120	0	92799
13041	13031	0	51074	2#7	2#1	8	5064#401064	3064#401064	90	0	95157
13051	13041	0	51075	2#7	2#1	8	5065#401065	3065#401065	180	0	97517
14011	13051	38	51076	2#7	2#1	8	5066#401066	3066#401066	90	0	98864
14021	14011	0	51077	2#7	2#1	8	5067#401067	3067#401067	90	0	99873
14031	14021	0	51078	2#7	2#1	8	5068#401068	3068#401068	120	0	101276
14041	14031	0	51079	2#7	2#1	8	5069#401069	3069#401069	90	0	103860
14051	14041	0	51080	2#7	2#1	8	5070#401070	3070#401070	180	0	106445
15011	14051	40	51081	2#7	2#1	8	5071#401071	3071#401071	90	0	108872
15021	15011	0	51082	2#7	2#1	8	5072#401072	3072#401072	90	0	111246
15031	15021	0	51083	2#7	2#1	8	5073#401073	3073#401073	120	0	113590
15041	15031	0	51084	2#7	2#1	8	5074#401074	3074#401074	90	0	115848
15051	15041	0	51085	2#7	2#1	8	5075#401075	3075#401075	180	0	118106
1012	15051	44	52011	2#7	2#1	8	8101#401076	7001#401076	90	0	120379
1022	1012	0	52012	2#7	2#1	8	8102#401077	7002#401077	90	0	122659
1032	1022	0	52013	2#7	2#1	8	8103#401078	7003#401078	120	0	124634
1042	1032	0	52014	2#7	2#1	8	8104#401079	7004#401079	90	0	125701
1052	1042	0	52015	2#7	2#1	8	8105#401080	7005#401080	180	0	126767
2012	1052	46	52016	2#7	2#1	8	8106#401081	7006#401081	90	0	128152
2022	2012	0	52017	2#7	2#1	8	8107#401082	7007#401082	90	0	129643
2032	2022	0	52018	2#7	2#1	8	8108#401083	7008#401083	120	0	131009
2042	2032	0	52019	2#7	2#1	8	8109#401084	7009#401084	90	0	132002
2052	2042	0	52020	2#7	2#1	8	8110#401085	7010#401085	180	0	132993
3012	2052	47	52021	2#7	2#1	8	8111#401086	7011#401086	90	0	134643
3022	3012	0	52022	2#7	2#1	8	8112#401087	7012#401087	90	0	136512
3032	3022	0	52023	2#7	2#1	8	8113#401088	7013#401088	120	0	138041
3042	3032	0	52024	2#7	2#1	8	8114#401089	7014#401089	90	0	138553
3052	3042	0	52025	2#7	2#1	8	8115#401090	7015#401090	180	0	139066
4012	3052	49	52026	2#7	2#1	8	8116#401091	7016#401091	90	0	141764
4022	4012	0	52027	2#7	2#1	8	8117#401092	7017#401092	90	0	145191
4032	4022	0	52028	2#7	2#1	8	8118#401093	7018#401093	120	0	147889
4042	4032	0	52029	2#7	2#1	8	8119#401094	7019#401094	90	0	148402
4052	4042	0	52030	2#7	2#1	8	8120#401095	7020#401095	180	0	148914
5012	4052	50	52031	2#7	2#1	8	8121#401096	7021#401096	90	0	149787
5022	5012	0	52032	2#7	2#1	8	8122#401097	7022#401097	90	0	150781
5032	5022	0	52033	2#7	2#1	8	8123#401098	7023#401098	120	0	151929
5042	5032	0	52034	2#7	2#1	8	8124#401099	7024#401099	90	0	153545
5052	5042	0	52035	2#7	2#1	8	8125#401100	7025#401100	180	0	155161
6012	5052	51	52036	2#7	2#1	8	8126#401101	7026#401101	90	0	156814
6022	6012	0	52037	2#7	2#1	8	8127#401102	7027#401102	90	0	158480
6032	6022	0	52038	2#7	2#1	8	8128#401103	7028#401103	120	0	159843
6042	6032	0	52039	2#7	2#1	8	8129#401104	7029#401104	90	0	160300
6052	6042	0	52040	2#7	2#1	8	8130#401105	7030#401105	180	0	160758
7012	6052	53	52041	2#7	2#1	8	8131#401106	7031#401106	90	0	161597
7022	7012	0	52042	2#7	2#1	8	8132#401107	7032#401107	90	0	162564
7032	7022	0	52043	2#7	2#1	8	8133#401108	7033#401108	120	0	163404
7042	7032	0	52044	2#7	2#1	8	8134#401109	7034#401109	90	0	163861
7052	7042	0	52045	2#7	2#1	8	8135#401110	7035#401110	180	0	164319
8012	7052	54	52046	2#7	2#1	8	8136#401111	7036#401111	90	0	166473
8022	8012	0	52047	2#7	2#1	8	8137#401112	7037#401112	90	0	169223
8032	8022	0	52048	2#7	2#1	8	8138#401113	7038#401113	120	0	173478
8042	8032	0	52049	2#7	2#1	8	8139#401114	7039#401114	90	0	176669
8052	8042	0	52050	2#7	2#1	8	8140#401115	7040#401115	180	0	178795
9012	8052	55	52051	2#7	2#1	8	8141#401116	7041#401116	90	0	181548
9022	9012	0	52052	2#7	2#1	8	8142#401117	7042#401117	90	0	184073
9032	9022	0	52053	2#7	2#1	8	8143#401118	7043#401118	120	0	184824
9042	9032	0	52054	2#7	2#1	8	8144#401119	7044#401119	90	0	186955
9052	9042	0	52055	2#7	2#1	8	8145#401120	7045#401120	180	0	190464
10012	9052	57	52056	2#7	2#1	8	8146#401121	7046#401121	90	0	191674
10022	10012	0	52057	2#7	2#1	8	8147#401122	7047#401122	90	0	192426
10032	10022	0	52058	2#7	2#1	8	8148#401123	7048#401123	120	0	193177
10042	10032	0	52059	2#7	2#1	8	8149#401124	7049#401124	90	0	194373
10052	10042	0	52060	2#7	2#1	8	8150#401125	7050#401125	180	0	196015
11012	10052	58	52061	2#7	2#1	8	8151#401126	7051#401126	90	0	197165
11022	11012	0	52062	2#7	2#1	8	8152#401127	7052#401127	90	0	202678
11032	11022	0	52063	2#7	2#1	8	8153#401128	7053#401128	120	0	208190
11042	11032	0	52064	2#7	2#1	8	8154#401129	7054#401129	90	0	209506
11052	11042	0	52065	2#7	2#1	8	8155#401130	7055#401130	180	0	213024
12012	11052	60	52066	2#7	2#1	8	8156#401131	7056#401131	90	0	215452
12022	12012	0	52067	2#7	2#1	8	8157#401132	7057#401132	90	0	216949
12032	12022	0	52068	2#7	2#1	8	8158#401133	7058#401133	120	0	219475
12042	12032	0	52069	2#7	2#1	8	8159#401134	7059#401134	90	0	223998
12052	12042	0	52070	2#7	2#1	8	8160#401135	7060#401135	180	0	225027
13012	12052	61	52071	2#7	2#1	8	8161#401136	7061#401136	90	0	226056
13022	13012	0	52072	2#7	2#1	8	8162#401137	7062#401137	90	0	227916
13032	13022	0	52073	2#7	2#1	8	8163#401138	7063#401138	120	0	230241
13042	13032	0	52074	2#7	2#1	8	8164#401139	7064#401139	90	0	232578
13052	13042	0	52075	2#7	2#1	8	8165#401140	7065#401140	180	0	235035
14012	13052	62	52076	2#7	2#1	8	8166#401141	7066#401141	90	0	238479
14022	14012	0	52077	2#7	2#1	8	8167#401142	7067#401142	90	0	241442
14032	14022	0	52078	2#7	2#1	8	8168#401143	7068#401143	120	0	243711
14042	14032	0	52079	2#7	2#1	8	8169#401144	7069#401144	90	0	245980
14052	14042	0	52080	2#7	2#1	8	8170#401145	7070#401145	180	0	249683
15012	14052	63	52081	2#7	2#1	8	8171#401146	7071#401146	90	0	257015
15022	15012	0	52082	2#7	2#1	8	8172#401147	7072#401147	90	0	262462
15032	15022	0	52083	2#7	2#1	8	8173#401148	7073#401148	120	0	265174
15042	15032	0	52084	2#7	2#1	8	8174#401149	7074#401149	90	0	268967
15052	15042	0	52085	2#7	2#1	8	8175#401150	7075#401150	180	0	276244
1013	15052	65	53011	2#7	2#1	8	8701#401151	8501#401151	90	0	280950
1023	1013	0	53012	2#7	2#1	8	8702#401152	8502#401152	90	0	284320
1033	1023	0	53013	2#7	2#1	8	8703#401153	8503#401153	120	0	287174
1043	1033	0	53014	2#7	2#1	8	8704#401154	8504#401154	90	0	289921
1053	1043	0	53015	2#7	2#1	8	8705#401155	8505#401155	180	0	292273
2013	1053	66	53016	2#7	2#1	8	8706#401156	8506#401156	90	0	294964
2023	2013	0	53017	2#7	2#1	8	8707#401157	8507#401157	90	0	298539
2033	2023	0	53018	2#7	2#1	8	8708#401158	8508#401158	120	0	302187
2043	2033	0	53019	2#7	2#1	8	8709#401159	8509#401159	90	0	303743
2053	2043	0	53020	2#7	2#1	8	8710#401160	8510#401160	180	0	305328
3013	2053	67	53021	2#7	2#1	8	8711#401161	8511#401161	90	0	306531
3023	3013	0	53022	2#7	2#1	8	8712#401162	8512#401162	90	0	309926
3033	3023	0	53023	2#7	2#1	8	8713#401163	8513#401163	120	0	314491
3043	3033	0	53024	2#7	2#1	8	8714#401164	8514#401164	90	0	315605
3053	3043	0	53025	2#7	2#1	8	8715#401165	8515#401165	180	0	317313
4013	3053	68	53026	2#7	2#1	8	8716#401166	8516#401166	90	0	318854
4023	4013	0	53027	2#7	2#1	8	8717#401167	8517#401167	90	0	323629
4033	4023	0	53028	2#7	2#1	8	8718#401168	8518#401168	120	0	325867
4043	4033	0	53029	2#7	2#1	8	8719#401169	8519#401169	90	0	327909
4053	4043	0	53030	2#7	2#1	8	8720#401170	8520#401170	180	0	329464
5013	4053	69	53031	2#7	2#1	8	8721#401171	8521#401171	90	0	336489
5023	5013	0	53032	2#7	2#1	8	8722#401172	8522#401172	90	0	339290
5033	5023	0	53033	2#7	2#1	8	8723#401173	8523#401173	120	0	341417
5043	5033	0	53034	2#7	2#1	8	8724#401174	8524#401174	90	0	342993
5053	5043	0	53035	2#7	2#1	8	8725#401175	8525#401175	180	0	348488
6013	5053	70	53036	2#7	2#1	8	8726#401176	8526#401176	90	0	350906
6023	6013	0	53037	2#7	2#1	8	8727#401177	8527#401177	90	0	353090
6033	6023	0	53038	2#7	2#1	8	8728#401178	8528#401178	120	0	359356
6043	6033	0	53039	2#7	2#1	8	8729#401179	8529#401179	90	0	361324
6053	6043	0	53040	2#7	2#1	8	8730#401180	8530#401180	180	0	362825
7013	6053	71	53041	2#7	2#1	8	8731#401181	8531#401181	90	0	364353
7023	7013	0	53042	2#7	2#1	8	8732#401182	8532#401182	90	0	366122
7033	7023	0	53043	2#7	2#1	8	8733#401183	8533#401183	120	0	369471
7043	7033	0	53044	2#7	2#1	8	8734#401184	8534#401184	90	0	374306
7053	7043	0	53045	2#7	2#1	8	8735#401185	8535#401185	180	0	375524
8013	7053	72	53046	2#7	2#1	8	8736#401186	8536#401186	90	0	382690
8023	8013	0	53047	2#7	2#1	8	8737#401187	8537#401187	90	0	385997
8033	8023	0	53048	2#7	2#1	8	8738#401188	8538#401188	120	0	388328
8043	8033	0	53049	2#7	2#1	8	8739#401189	8539#401189	90	0	396599
8053	8043	0	53050	2#7	2#1	8	8740#401190	8540#401190	180	0	403116
9013	8053	74	53051	2#7	2#1	8	8741#401191	8541#401191	90	0	406969
9023	9013	0	53052	2#7	2#1	8	8742#401192	8542#401192	90	0	409567
9033	9023	0	53053	2#7	2#1	8	8743#401193	8543#401193	120	0	411393
9043	9033	0	53054	2#7	2#1	8	8744#401194	8544#401194	90	0	414169
9053	9043	0	53055	2#7	2#1	8	8745#401195	8545#401195	180	0	415756
10013	9053	75	53056	2#7	2#1	8	8746#401196	8546#401196	90	0	420023
10023	10013	0	53057	2#7	2#1	8	8747#401197	8547#401197	90	0	424739
10033	10023	0	53058	2#7	2#1	8	8748#401198	8548#401198	120	0	430114
10043	10033	0	53059	2#7	2#1	8	8749#401199	8549#401199	90	0	437881
10053	10043	0	53060	2#7	2#1	8	8750#401200	8550#401200	180	0	440798
11013	10053	77	53061	2#7	2#1	8	8751#401201	8551#401201	90	0	446517
11023	11013	0	53062	2#7	2#1	8	8752#401202	8552#401202	90	0	458389
11033	11023	0	53063	2#7	2#1	8	8753#401203	8553#401203	120	0	461985
11043	11033	0	53064	2#7	2#1	8	8754#401204	8554#401204	90	0	464566
11053	11043	0	53065	2#7	2#1	8	8755#401205	8555#401205	180	0	468335
12013	11053	78	53066	2#7	2#1	8	8756#401206	8556#401206	90	0	471560
12023	12013	0	53067	2#7	2#1	8	8757#401207	8557#401207	90	0	482368
12033	12023	0	53068	2#7	2#1	8	8758#401208	8558#401208	120	0	485168
12043	12033	0	53069	2#7	2#1	8	8759#401209	8559#401209	90	0	488959
12053	12043	0	53070	2#7	2#1	8	8760#401210	8560#401210	180	0	492084
13013	12053	80	53071	2#7	2#1	8	8761#401211	8561#401211	90	0	497278
13023	13013	0	53072	2#7	2#1	8	8762#401212	8562#401212	90	0	503649
13033	13023	0	53073	2#7	2#1	8	8763#401213	8563#401213	120	0	506987
13043	13033	0	53074	2#7	2#1	8	8764#401214	8564#401214	90	0	509278
13053	13043	0	53075	2#7	2#1	8	8765#401215	8565#401215	180	0	518492
14013	13053	81	53076	2#7	2#1	8	8766#401216	8566#401216	90	0	529783
14023	14013	0	53077	2#7	2#1	8	8767#401217	8567#401217	90	0	533403
14033	14023	0	53078	2#7	2#1	8	8768#401218	8568#401218	120	0	535915
14043	14033	0	53079	2#7	2#1	8	8769#401219	8569#401219	90	0	539311
14053	14043	0	53080	2#7	2#1	8	8770#401220	8570#401220	180	0	543612
15013	14053	82	53081	2#7	2#1	8	8771#401221	8571#401221	90	0	548681
15023	15013	0	53082	2#7	2#1	8	8772#401222	8572#401222	90	0	555264
15033	15023	0	53083	2#7	2#1	8	8773#401223	8573#401223	120	0	558321
15043	15033	0	53084	2#7	2#1	8	8774#401224	8574#401224	90	0	570653
15053	15043	0	53085	2#7	2#1	8	8775#401225	8575#401225	180	0	575236
1014	15053	83	54011	2#7	2#1	8	8901	8801#401226	90	0	577275
1024	1014	0	54012	2#7	2#1	8	8902	8802#401227	90	0	582000
1034	1024	0	54013	2#7	2#1	8	8903	8803#401228	120	0	584038
1044	1034	0	54014	2#7	2#1	8	8904	8804#401229	90	0	594990
1054	1044	0	54015	2#7	2#1	8	8905	8805#401230	180	0	597029
2014	1054	84	54016	2#7	2#1	8	8906	8806#401231	90	0	603693
2024	2014	0	54017	2#7	2#1	8	8907	8807#401232	90	0	608322
2034	2024	0	54018	2#7	2#1	8	8908	8808#401233	120	0	626391
2044	2034	0	54019	2#7	2#1	8	8909	8809#401234	90	0	641997
2054	2044	0	54020	2#7	2#1	8	8910	8810#401235	180	0	655467
3014	2054	85	54021	2#7	2#1	8	8911	8811#401236	90	0	668938
3024	3014	0	54022	2#7	2#1	8	8912	8812#401237	90	0	682408
3034	3024	0	54023	2#7	2#1	8	8913	8813#401238	120	0	695880
3044	3034	0	54024	2#7	2#1	8	8914	8814#401239	90	0	709350
3054	3044	0	54025	2#7	2#1	8	8915	8815#401240	180	0	722821
4014	3054	86	54026	2#7	2#1	8	8916	8816#401241	90	0	736291
4024	4014	0	54027	2#7	2#1	8	8917	8817#401242	90	0	749763
4034	4024	0	54028	2#7	2#1	8	8918	8818#401243	120	0	763233
4044	4034	0	54029	2#7	2#1	8	8919	8819#401244	90	0	776704
4054	4044	0	54030	2#7	2#1	8	8920	8820#401245	180	0	790174
5014	4054	87	54031	2#7	2#1	8	8921	8821#401246	90	0	803646
5024	5014	0	54032	2#7	2#1	8	8922	8822#401247	90	0	817116
5034	5024	0	54033	2#7	2#1	8	8923	8823#401248	120	0	830587
5044	5034	0	54034	2#7	2#1	8	8924	8824#401249	90	0	844057
5054	5044	0	54035	2#7	2#1	8	8925	8825#401250	180	0	857529
6014	5054	88	54036	2#7	2#1	8	8926	8826#401251	90	0	870999
6024	6014	0	54037	2#7	2#1	8	8927	8827#401252	90	0	884470
6034	6024	0	54038	2#7	2#1	8	8928	8828#401253	120	0	897941
6044	6034	0	54039	2#7	2#1	8	8929	8829#401254	90	0	911412
6054	6044	0	54040	2#7	2#1	8	8930	8830#401255	180	0	924883
7014	6054	89	54041	2#7	2#1	8	8931	8831#401256	90	0	938353
7024	7014	0	54042	2#7	2#1	8	8932	8832#401257	90	0	951824
7034	7024	0	54043	2#7	2#1	8	8933	8833#401258	120	0	965295
7044	7034	0	54044	2#7	2#1	8	8934	8834#401259	90	0	978766
7054	7044	0	54045	2#7	2#1	8	8935	8835#401260	180	0	992236
8014	7054	90	54046	2#7	2#1	8	8936	8836#401261	90	0	1005707
8024	8014	0	54047	2#7	2#1	8	8937	8837#401262	90	0	1019178
8034	8024	0	54048	2#7	2#1	8	8938	8838#401263	120	0	1032649
8044	8034	0	54049	2#7	2#1	8	8939	8839#401264	90	0	1046119
8054	8044	0	54050	2#7	2#1	8	8940	8840#401265	180	0	1059590
9014	8054	91	54051	2#7	2#1	8	8941	8841#401266	90	0	1073061
9024	9014	0	54052	2#7	2#1	8	8942	8842#401267	90	0	1086532
9034	9024	0	54053	2#7	2#1	8	8943	8843#401268	120	0	1100002
9044	9034	0	54054	2#7	2#1	8	8944	8844#401269	90	0	1113473
9054	9044	0	54055	2#7	2#1	8	8945	8845#401270	180	0	1126944
10014	9054	92	54056	2#7	2#1	8	8946	8846#401271	90	0	1140415
10024	10014	0	54057	2#7	2#1	8	8947	8847#401272	90	0	1153885
10034	10024	0	54058	2#7	2#1	8	8948	8848#401273	120	0	1167356
10044	10034	0	54059	2#7	2#1	8	8949	8849#401274	90	0	1180827
10054	10044	0	54060	2#7	2#1	8	8950	8850#401275	180	0	1194298
11014	10054	93	54061	2#7	2#1	8	8951	8851#401276	90	0	1207769
11024	11014	0	54062	2#7	2#1	8	8952	8852#401277	90	0	1221239
11034	11024	0	54063	2#7	2#1	8	8953	8853#401278	120	0	1234710
11044	11034	0	54064	2#7	2#1	8	8954	8854#401279	90	0	1248181
11054	11044	0	54065	2#7	2#1	8	8955	8855#401280	180	0	1261652
12014	11054	94	54066	2#7	2#1	8	8956	8856#401281	90	0	1275122
12024	12014	0	54067	2#7	2#1	8	8957	8857#401282	90	0	1288593
12034	12024	0	54068	2#7	2#1	8	8958	8858#401283	120	0	1302064
12044	12034	0	54069	2#7	2#1	8	8959	8859#401284	90	0	1315535
12054	12044	0	54070	2#7	2#1	8	8960	8860#401285	180	0	1329005
13014	12054	95	54071	2#7	2#1	8	8961	8861#401286	90	0	1342476
13024	13014	0	54072	2#7	2#1	8	8962	8862#401287	90	0	1355947
13034	13024	0	54073	2#7	2#1	8	8963	8863#401288	120	0	1369418
13044	13034	0	54074	2#7	2#1	8	8964	8864#401289	90	0	1382888
13054	13044	0	54075	2#7	2#1	8	8965	8865#401290	180	0	1396359
14014	13054	96	54076	2#7	2#1	8	8966	8866#401291	90	0	1409830
14024	14014	0	54077	2#7	2#1	8	8967	8867#401292	90	0	1423301
14034	14024	0	54078	2#7	2#1	8	8968	8868#401293	120	0	1436771
14044	14034	0	54079	2#7	2#1	8	8969	8869#401294	90	0	1450242
14054	14044	0	54080	2#7	2#1	8	8970	8870#401295	180	0	1463713
15014	14054	97	54081	2#7	2#1	8	8971	8871#401296	90	0	1477184
15024	15014	0	54082	2#7	2#1	8	8972	8872#401297	90	0	1490654
15034	15024	0	54083	2#7	2#1	8	8973	8873#401298	120	0	1504125
15044	15034	0	54084	2#7	2#1	8	8974	8874#401299	90	0	1517597
15054	15044	0	54085	2#7	2#1	8	8975	8875#401300	180	0	1531067
