Id	RobotLevel	RobotScore	Formation	RoleId	RoleLv
48	112	48	6	10062#10061#10042#10023#10059	197
49	112	49	1	10064#10057#10071#10029#10058	197
50	112	50	2	10064#10005#10072#10067#10040	197
51	110	51	3	10003#10061#10016#10066#10058	195
52	110	52	4	10064#10057#10070#10066#10013	195
53	110	53	5	10018#10061#10070#10012#10058	195
54	110	54	6	10062#10057#10042#10067#10069	195
55	110	55	1	10062#10057#10071#10043#10045	195
56	110	56	2	10062#10002#10071#10028#10059	195
57	110	57	3	10064#10057#10008#10068#10058	195
58	110	58	4	10019#10057#10071#10009#10059	195
59	110	59	5	10062#10061#10038#10068#10069	195
60	110	60	6	10019#10057#10071#10029#10059	195
61	108	61	1	10062#10010#10070#10067#10031	193
62	108	62	2	10064#10057#10004#10067#10059	193
63	108	63	3	10064#10057#10070#10068#10089	193
64	108	64	4	10018#10057#10070#10068#10069	193
65	108	65	5	10062#10087#10004#10066#10058	193
66	108	66	6	10019#10005#10071#10068#10069	193
67	108	67	1	10062#10057#10004#10067#10058	193
68	108	68	2	10036#10057#10072#10068#10059	193
69	108	69	3	10062#10007#10070#10022#10059	193
70	108	70	4	10018#10057#10072#10066#10045	193
71	106	71	5	10006#10057#10070#10067#10058	191
72	106	72	6	10062#10057#10016#10066#10058	191
73	106	73	1	10062#10057#10070#10009#10015	191
74	106	74	2	10064#10061#10011#10068#10058	191
75	106	75	3	10064#10010#10072#10012#10058	191
76	106	76	4	10044#10002#10071#10029#10024	191
77	106	77	5	10034#10007#10042#10088#10069	191
78	106	78	6	10019#10007#10042#10009#10015	191
79	106	79	1	10018#10010#10072#10039#10030	191
80	106	80	2	10019#10010#10021#10012#10015	191
81	104	81	3	10001#10035#10011#10088#10059	189
82	104	82	4	10019#10002#10070#10028#10013	189
83	104	83	5	10062#10005#10004#10023#10015	189
84	104	84	6	10018#10087#10008#10067#10031	189
85	104	85	1	10018#10085#10008#10028#10058	189
86	104	86	2	10044#10002#10086#10022#10025	189
87	104	87	3	10018#10061#10016#10009#10025	189
88	104	88	4	10062#10010#10042#10028#10030	189
89	104	89	5	10001#10087#10086#10067#10015	189
90	104	90	6	10003#10035#10008#10022#10013	189
91	102	91	1	10003#10085#10004#10029#10040	187
92	102	92	2	10044#10007#10004#10039#10089	187
93	102	93	3	10006#10037#10011#10039#10024	187
94	102	94	4	10001#10020#10021#10039#10024	187
95	102	95	5	10044#10085#10008#10028#10013	187
96	102	96	6	10034#10007#10042#10009#10031	187
97	102	97	1	10019#10087#10021#10009#10031	187
98	102	98	2	10001#10085#10016#10039#10025	187
99	102	99	3	10036#10002#10004#10009#10089	187
100	102	100	4	10034#10035#10011#10028#10025	187
101	100	101	5	10003#10007#10011#10028#10025	185
102	100	102	6	10003#10037#10016#10022#10015	185
103	100	103	1	10003#10010#10004#10088#10015	185
104	100	104	2	10019#10037#10042#10022#10015	185
105	100	105	3	10003#10010#10011#10009#10024	185
106	100	106	4	10001#10007#10008#10009#10030	185
107	100	107	5	10034#10010#10042#10028#10045	185
108	100	108	6	10019#10020#10011#10012#10024	185
109	100	109	1	10003#10085#10011#10022#10024	185
110	100	110	2	10044#10005#10004#10023#10045	185
111	98	111	3	10018#10037#10016#10088#10031	183
112	98	112	4	10006#10020#10011#10023#10089	183
113	98	113	5	10003#10020#10038#10023#10089	183
114	98	114	6	10003#10035#10016#10029#10024	183
115	98	115	1	10036#10007#10011#10023#10089	183
116	98	116	2	10003#10010#10004#10012#10015	183
117	98	117	3	10006#10035#10038#10022#10030	183
118	98	118	4	10034#10035#10021#10012#10031	183
119	98	119	5	10034#10002#10042#10039#10089	183
120	98	120	6	10003#10005#10004#10023#10031	183
121	96	121	1	10036#10085#10086#10029#10024	181
122	96	122	2	10006#10002#10008#10043#10031	181
123	96	123	3	10001#10037#10011#10023#10045	181
124	96	124	4	10001#10005#10042#10012#10015	181
125	96	125	5	10034#10035#10004#10012#10015	181
126	96	126	6	10019#10035#10038#10043#10030	181
127	96	127	1	10019#10005#10042#10029#10045	181
128	96	128	2	10044#10037#10042#10012#10013	181
129	96	129	3	10019#10007#10011#10028#10040	181
130	96	130	4	10036#10020#10038#10029#10025	181
131	94	131	5	10006#10020#10011#10039#10089	179
132	94	132	6	10044#10010#10086#10028#10030	179
133	94	133	1	10006#10020#10038#10039#10045	179
134	94	134	2	10003#10035#10042#10043#10015	179
135	94	135	3	10044#10035#10086#10023#10030	179
136	94	136	4	10006#10085#10004#10039#10040	179
137	94	137	5	10036#10035#10042#10028#10030	179
138	94	138	6	10003#10005#10011#10009#10030	179
139	94	139	1	10018#10085#10011#10029#10031	179
140	94	140	2	10018#10010#10016#10022#10040	179
141	92	141	3	10044#10085#10016#10009#10015	177
142	92	142	4	10001#10087#10021#10009#10013	177
143	92	143	5	10001#10087#10004#10022#10024	177
144	92	144	6	10036#10005#10021#10009#10015	177
145	92	145	1	10003#10005#10038#10023#10013	177
146	92	146	2	10003#10002#10038#10088#10089	177
147	92	147	3	10034#10010#10011#10029#10030	177
148	92	148	4	10044#10010#10086#10012#10040	177
149	92	149	5	10036#10085#10021#10028#10013	177
150	92	150	6	10006#10005#10038#10012#10015	177
151	90	151	1	10019#10037#10004#10029#10045	175
152	90	152	2	10018#10005#10004#10028#10030	175
153	90	153	3	10036#10005#10008#10022#10089	175
154	90	154	4	10019#10005#10038#10012#10015	175
155	90	155	5	10006#10087#10021#10023#10040	175
156	90	156	6	10003#10037#10086#10088#10024	175
157	90	157	1	10018#10005#10008#10028#10024	175
158	90	158	2	10001#10035#10008#10028#10013	175
159	90	159	3	10044#10002#10016#10039#10024	175
160	90	160	4	10044#10002#10021#10088#10015	175
161	88	161	5	10034#10035#10011#10088#10040	173
162	88	162	6	10036#10002#10008#10023#10024	173
163	88	163	1	10036#10087#10042#10009#10040	173
164	88	164	2	10003#10035#10004#10088#10040	173
165	88	165	3	10001#10037#10042#10009#10031	173
166	88	166	4	10006#10037#10016#10028#10025	173
167	88	167	5	10018#10037#10004#10009#10030	173
168	88	168	6	10036#10002#10021#10028#10015	173
169	88	169	1	10036#10020#10021#10009#10089	173
170	88	170	2	10006#10002#10086#10088#10025	173
171	86	171	3	10006#10010#10016#10088#10045	171
172	86	172	4	10044#10037#10038#10022#10013	171
173	86	173	5	10034#10037#10086#10029#10024	171
174	86	174	6	10036#10020#10042#10012#10025	171
175	86	175	1	10018#10087#10008#10012#10015	171
176	86	176	2	10006#10035#10086#10028#10015	171
177	86	177	3	10006#10005#10086#10009#10024	171
178	86	178	4	10018#10005#10021#10012#10040	171
179	86	179	5	10019#10010#10042#10043#10031	171
180	86	180	6	10006#10037#10008#10088#10030	171
181	84	181	1	10036#10037#10042#10028#10025	169
182	84	182	2	10001#10020#10016#10022#10031	169
183	84	183	3	10034#10007#10004#10012#10024	169
184	84	184	4	10001#10002#10042#10029#10030	169
185	84	185	5	10036#10020#10008#10088#10015	169
186	84	186	6	10019#10010#10038#10088#10015	169
187	84	187	1	10019#10002#10038#10029#10031	169
188	84	188	2	10036#10087#10011#10022#10025	169
189	84	189	3	10018#10087#10038#10043#10031	169
190	84	190	4	10036#10035#10038#10039#10025	169
191	82	191	5	10003#10007#10004#10088#10015	167
192	82	192	6	10036#10007#10021#10023#10013	167
193	82	193	1	10044#10087#10016#10043#10013	167
194	82	194	2	10006#10087#10016#10043#10045	167
195	82	195	3	10036#10035#10042#10022#10045	167
196	82	196	4	10001#10020#10086#10028#10025	167
197	82	197	5	10019#10085#10021#10029#10089	167
198	82	198	6	10019#10035#10086#10088#10089	167
199	82	199	1	10034#10010#10021#10088#10015	167
200	82	200	2	10001#10087#10004#10088#10013	167
201	80	201	3	10044#10037#10008#10039#10089	165
202	80	202	4	10018#10085#10011#10023#10025	165
203	80	203	5	10019#10007#10021#10028#10013	165
204	80	204	6	10003#10035#10004#10023#10089	165
205	80	205	1	10018#10035#10011#10012#10030	165
206	80	206	2	10034#10085#10008#10028#10015	165
207	80	207	3	10001#10087#10038#10088#10030	165
208	80	208	4	10006#10085#10021#10029#10013	165
209	80	209	5	10044#10007#10042#10009#10025	165
210	80	210	6	10036#10020#10011#10023#10013	165
211	78	211	1	10003#10085#10086#10009#10031	163
212	78	212	2	10036#10035#10042#10028#10024	163
213	78	213	3	10001#10005#10086#10012#10024	163
214	78	214	4	10003#10010#10042#10039#10031	163
215	78	215	5	10044#10020#10011#10039#10089	163
216	78	216	6	10044#10085#10004#10039#10030	163
217	78	217	1	10019#10005#10004#10028#10030	163
218	78	218	2	10044#10087#10004#10028#10024	163
219	78	219	3	10036#10020#10042#10029#10015	163
220	78	220	4	10018#10037#10038#10039#10089	163
221	76	221	5	10036#10037#10042#10022#10013	161
222	76	222	6	10044#10005#10004#10009#10025	161
223	76	223	1	10019#10035#10004#10022#10089	161
224	76	224	2	10034#10087#10038#10043#10030	161
225	76	225	3	10006#10035#10011#10023#10013	161
226	76	226	4	10018#10020#10086#10009#10024	161
227	76	227	5	10036#10007#10042#10009#10031	161
228	76	228	6	10019#10087#10004#10043#10015	161
229	76	229	1	10034#10085#10086#10039#10045	161
230	76	230	2	10034#10035#10011#10088#10040	161
231	74	231	3	10036#10002#10008#10023#10024	159
232	74	232	4	10036#10087#10042#10009#10040	159
233	74	233	5	10003#10035#10004#10088#10040	159
234	74	234	6	10001#10037#10042#10009#10031	159
235	74	235	1	10003#10087#10042#10029#10040	159
236	74	236	2	10018#10005#10038#10043#10089	159
237	74	237	3	10034#10035#10016#10028#10025	159
238	74	238	4	10001#10010#10008#10023#10024	159
239	74	239	5	10036#10085#10008#10043#10015	159
240	74	240	6	10036#10002#10011#10039#10025	159
241	72	241	1	10034#10002#10021#10029#10013	157
242	72	242	2	10001#10005#10086#10043#10024	157
243	72	243	3	10036#10035#10008#10043#10040	157
244	72	244	4	10018#10002#10038#10009#10030	157
245	72	245	5	10044#10010#10086#10009#10013	157
246	72	246	6	10036#10010#10016#10012#10015	157
247	72	247	1	10036#10005#10021#10023#10024	157
248	72	248	2	10001#10002#10086#10028#10013	157
249	72	249	3	10003#10002#10011#10028#10013	157
250	72	250	4	10018#10010#10038#10012#10045	157
251	70	251	5	10001#10037#10042#10028#10013	155
252	70	252	6	10001#10020#10004#10043#10031	155
253	70	253	1	10019#10007#10011#10023#10040	155
254	70	254	2	10001#10020#10038#10029#10024	155
255	70	255	3	10036#10037#10011#10023#10013	155
256	70	256	4	10006#10085#10011#10028#10025	155
257	70	257	5	10044#10007#10016#10009#10015	155
258	70	258	1	10064#10048#10053#10050#10054	155
259	70	259	2	10047#10048#10053#10050#10059	155
260	70	260	3	10047#10048#10049#10050#10051	155
261	68	261	4	10047#10048#10049#10050#10051	153
262	68	262	5	10064#10048#10070#10050#10054	153
263	68	263	6	10047#10048#10053#10050#10051	153
264	68	264	1	10047#10048#10049#10050#10054	153
265	68	265	2	10047#10061#10053#10050#10054	153
266	68	266	3	10047#10048#10049#10050#10054	153
267	68	267	4	10047#10048#10053#10066#10051	153
268	68	268	5	10047#10048#10072#10050#10069	153
269	68	269	6	10047#10061#10053#10050#10054	153
270	68	270	1	10047#10048#10049#10050#10054	153
271	66	271	2	10047#10057#10053#10050#10054	151
272	66	272	3	10047#10048#10072#10050#10058	151
273	66	273	4	10047#10057#10053#10066#10054	151
274	66	274	5	10047#10048#10049#10068#10069	151
275	66	275	6	10047#10048#10053#10050#10069	151
276	66	276	1	10047#10048#10072#10067#10069	151
277	66	277	2	10047#10057#10049#10068#10069	151
278	66	278	3	10062#10061#10070#10050#10051	151
279	66	279	4	10047#10061#10049#10050#10069	151
280	66	280	5	10064#10061#10053#10050#10059	151
281	64	281	6	10047#10048#10071#10066#10054	149
282	64	282	1	10047#10061#10049#10068#10054	149
283	64	283	2	10064#10048#10071#10050#10058	149
284	64	284	3	10047#10061#10049#10068#10058	149
285	64	285	4	10047#10048#10071#10067#10058	149
286	64	286	5	10047#10057#10049#10067#10054	149
287	64	287	6	10047#10057#10072#10050#10059	149
288	64	288	1	10047#10057#10072#10066#10054	149
289	64	289	2	10047#10048#10072#10066#10069	149
290	64	290	3	10047#10061#10070#10050#10054	149
291	62	291	4	10047#10061#10049#10067#10069	147
292	62	292	5	10047#10048#10070#10066#10069	147
293	62	293	6	10062#10048#10053#10050#10058	147
294	62	294	1	10062#10048#10049#10066#10058	147
295	62	295	2	10062#10061#10049#10050#10054	147
296	62	296	3	10047#10061#10070#10050#10054	147
297	62	297	4	10047#10048#10071#10066#10051	147
298	62	298	5	10064#10048#10053#10068#10051	147
299	62	299	6	10047#10048#10053#10067#10069	147
300	62	300	1	10047#10048#10070#10067#10054	147
301	60	301	2	10047#10048#10070#10068#10059	145
302	60	302	3	10062#10048#10049#10050#10058	145
303	60	303	4	10062#10007#10071#10066#10040	145
304	60	304	5	10064#10061#10038#10066#10030	145
305	60	305	6	10062#10061#10042#10023#10059	145
306	60	306	1	10064#10057#10071#10029#10058	145
307	60	307	2	10064#10005#10072#10067#10040	145
308	60	308	3	10003#10061#10016#10066#10058	145
309	60	309	4	10064#10057#10070#10066#10013	145
310	60	310	5	10018#10061#10070#10012#10058	145
311	58	311	6	10062#10057#10042#10067#10069	143
312	58	312	1	10062#10057#10071#10043#10045	143
313	58	313	2	10062#10002#10071#10028#10059	143
314	58	314	3	10064#10057#10008#10068#10058	143
315	58	315	4	10019#10057#10071#10009#10059	143
316	58	316	5	10062#10061#10038#10068#10069	143
317	58	317	6	10019#10057#10071#10029#10059	143
318	58	318	1	10062#10010#10070#10067#10031	143
319	58	319	2	10064#10057#10004#10067#10059	143
320	58	320	3	10064#10057#10070#10068#10089	143
321	56	321	4	10018#10057#10070#10068#10069	141
322	56	322	5	10062#10087#10004#10066#10058	141
323	56	323	6	10019#10005#10071#10068#10069	141
324	56	324	1	10062#10057#10004#10067#10058	141
325	56	325	2	10036#10057#10072#10068#10059	141
326	56	326	3	10062#10007#10070#10022#10059	141
327	56	327	4	10018#10057#10072#10066#10045	141
328	56	328	5	10006#10057#10070#10067#10058	141
329	56	329	6	10062#10057#10016#10066#10058	141
330	56	330	1	10062#10057#10070#10009#10015	141
331	54	331	2	10064#10061#10011#10068#10058	139
332	54	332	3	10064#10010#10072#10012#10058	139
333	54	333	4	10044#10002#10071#10029#10024	139
334	54	334	5	10034#10007#10042#10088#10069	139
335	54	335	6	10019#10007#10042#10009#10015	139
336	54	336	1	10018#10010#10072#10039#10030	139
337	54	337	2	10019#10010#10021#10012#10015	139
338	54	338	3	10001#10035#10011#10088#10059	139
339	54	339	4	10019#10002#10070#10028#10013	139
340	54	340	5	10062#10005#10004#10023#10015	139
341	52	341	6	10018#10087#10008#10067#10031	137
342	52	342	1	10018#10085#10008#10028#10058	137
343	52	343	2	10044#10002#10086#10022#10025	137
344	52	344	3	10018#10061#10016#10009#10025	137
345	52	345	4	10062#10010#10042#10028#10030	137
346	52	346	5	10001#10087#10086#10067#10015	137
347	52	347	6	10003#10035#10008#10022#10013	137
348	52	348	1	10003#10085#10004#10029#10040	137
349	52	349	2	10044#10007#10004#10039#10089	137
350	52	350	3	10006#10037#10011#10039#10024	137
351	50	351	4	10001#10020#10021#10039#10024	135
352	50	352	5	10044#10085#10008#10028#10013	135
353	50	353	6	10034#10007#10042#10009#10031	135
354	50	354	1	10019#10087#10021#10009#10031	135
355	50	355	2	10001#10085#10016#10039#10025	135
356	50	356	3	10036#10002#10004#10009#10089	135
357	50	357	4	10034#10035#10011#10028#10025	135
358	50	358	5	10003#10007#10011#10028#10025	135
359	50	359	6	10003#10037#10016#10022#10015	135
360	50	360	1	10003#10010#10004#10088#10015	135
361	48	361	2	10019#10037#10042#10022#10015	133
362	48	362	3	10003#10010#10011#10009#10024	133
363	48	363	4	10001#10007#10008#10009#10030	133
364	48	364	5	10034#10010#10042#10028#10045	133
365	48	365	6	10019#10020#10011#10012#10024	133
366	48	366	1	10003#10085#10011#10022#10024	133
367	48	367	2	10044#10005#10004#10023#10045	133
368	48	368	3	10018#10037#10016#10088#10031	133
369	48	369	4	10006#10020#10011#10023#10089	133
370	48	370	5	10003#10020#10038#10023#10089	133
371	46	371	6	10003#10035#10016#10029#10024	131
372	46	372	1	10036#10007#10011#10023#10089	131
373	46	373	2	10003#10010#10004#10012#10015	131
374	46	374	3	10006#10035#10038#10022#10030	131
375	46	375	4	10034#10035#10021#10012#10031	131
376	46	376	5	10034#10002#10042#10039#10089	131
377	46	377	6	10003#10005#10004#10023#10031	131
378	46	378	1	10036#10085#10086#10029#10024	131
379	46	379	2	10006#10002#10008#10043#10031	131
380	46	380	3	10001#10037#10011#10023#10045	131
381	44	381	4	10001#10005#10042#10012#10015	129
382	44	382	5	10034#10035#10004#10012#10015	129
383	44	383	6	10019#10035#10038#10043#10030	129
384	44	384	1	10019#10005#10042#10029#10045	129
385	44	385	2	10044#10037#10042#10012#10013	129
386	44	386	3	10019#10007#10011#10028#10040	129
387	44	387	4	10036#10020#10038#10029#10025	129
388	44	388	5	10006#10020#10011#10039#10089	129
389	44	389	6	10044#10010#10086#10028#10030	129
390	44	390	1	10006#10020#10038#10039#10045	129
391	42	391	2	10003#10035#10042#10043#10015	127
392	42	392	3	10044#10035#10086#10023#10030	127
393	42	393	4	10006#10085#10004#10039#10040	127
394	42	394	5	10036#10035#10042#10028#10030	127
395	42	395	6	10003#10005#10011#10009#10030	127
396	42	396	1	10018#10085#10011#10029#10031	127
397	42	397	2	10018#10010#10016#10022#10040	127
398	42	398	3	10044#10085#10016#10009#10015	127
399	42	399	4	10001#10087#10021#10009#10013	127
400	42	400	5	10001#10087#10004#10022#10024	127
401	40	401	6	10036#10005#10021#10009#10015	125
402	40	402	1	10003#10005#10038#10023#10013	125
403	40	403	2	10003#10002#10038#10088#10089	125
404	40	404	3	10034#10010#10011#10029#10030	125
405	40	405	4	10044#10010#10086#10012#10040	125
406	40	406	5	10036#10085#10021#10028#10013	125
407	40	407	6	10006#10005#10038#10012#10015	125
408	40	408	1	10019#10037#10004#10029#10045	125
409	40	409	2	10018#10005#10004#10028#10030	125
410	40	410	3	10036#10005#10008#10022#10089	125
411	38	411	4	10019#10005#10038#10012#10015	123
412	38	412	5	10006#10087#10021#10023#10040	123
413	38	413	6	10003#10037#10086#10088#10024	123
414	38	414	1	10018#10005#10008#10028#10024	123
415	38	415	2	10001#10035#10008#10028#10013	123
416	38	416	3	10044#10002#10016#10039#10024	123
417	38	417	4	10044#10002#10021#10088#10015	123
418	38	418	5	10034#10035#10011#10088#10040	123
419	38	419	6	10036#10002#10008#10023#10024	123
420	38	420	1	10036#10087#10042#10009#10040	123
421	36	421	2	10003#10035#10004#10088#10040	121
422	36	422	3	10001#10037#10042#10009#10031	121
423	36	423	4	10006#10037#10016#10028#10025	121
424	36	424	5	10018#10037#10004#10009#10030	121
425	36	425	6	10036#10002#10021#10028#10015	121
426	36	426	1	10036#10020#10021#10009#10089	121
427	36	427	2	10006#10002#10086#10088#10025	121
428	36	428	3	10006#10010#10016#10088#10045	121
429	36	429	4	10044#10037#10038#10022#10013	121
430	36	430	5	10034#10037#10086#10029#10024	121
431	34	431	6	10036#10020#10042#10012#10025	119
432	34	432	1	10018#10087#10008#10012#10015	119
433	34	433	2	10006#10035#10086#10028#10015	119
434	34	434	3	10006#10005#10086#10009#10024	119
435	34	435	4	10018#10005#10021#10012#10040	119
436	34	436	5	10019#10010#10042#10043#10031	119
437	34	437	6	10006#10037#10008#10088#10030	119
438	34	438	1	10036#10037#10042#10028#10025	119
439	34	439	2	10001#10020#10016#10022#10031	119
440	34	440	3	10034#10007#10004#10012#10024	119
441	32	441	4	10001#10002#10042#10029#10030	117
442	32	442	5	10036#10020#10008#10088#10015	117
443	32	443	6	10019#10010#10038#10088#10015	117
444	32	444	1	10019#10002#10038#10029#10031	117
445	32	445	2	10036#10087#10011#10022#10025	117
446	32	446	3	10018#10087#10038#10043#10031	117
447	32	447	4	10036#10035#10038#10039#10025	117
448	32	448	5	10003#10007#10004#10088#10015	117
449	32	449	6	10036#10007#10021#10023#10013	117
450	32	450	1	10044#10087#10016#10043#10013	117
451	30	451	2	10006#10087#10016#10043#10045	115
452	30	452	3	10036#10035#10042#10022#10045	115
453	30	453	4	10001#10020#10086#10028#10025	115
454	30	454	5	10019#10085#10021#10029#10089	115
455	30	455	6	10019#10035#10086#10088#10089	115
456	30	456	1	10034#10010#10021#10088#10015	115
457	30	457	2	10001#10087#10004#10088#10013	115
458	30	458	3	10044#10037#10008#10039#10089	115
459	30	459	4	10018#10085#10011#10023#10025	115
460	30	460	5	10019#10007#10021#10028#10013	115
461	28	461	6	10003#10035#10004#10023#10089	113
462	28	462	1	10018#10035#10011#10012#10030	113
463	28	463	2	10034#10085#10008#10028#10015	113
464	28	464	3	10001#10087#10038#10088#10030	113
465	28	465	4	10006#10085#10021#10029#10013	113
466	28	466	5	10044#10007#10042#10009#10025	113
467	28	467	6	10036#10020#10011#10023#10013	113
468	28	468	1	10003#10085#10086#10009#10031	113
469	28	469	2	10036#10035#10042#10028#10024	113
470	28	470	3	10001#10005#10086#10012#10024	113
471	26	471	4	10003#10010#10042#10039#10031	111
472	26	472	5	10044#10020#10011#10039#10089	111
473	26	473	6	10044#10085#10004#10039#10030	111
474	26	474	1	10019#10005#10004#10028#10030	111
475	26	475	2	10044#10087#10004#10028#10024	111
476	26	476	3	10036#10020#10042#10029#10015	111
477	26	477	4	10018#10037#10038#10039#10089	111
478	26	478	5	10036#10037#10042#10022#10013	111
479	26	479	6	10044#10005#10004#10009#10025	111
480	26	480	1	10019#10035#10004#10022#10089	111
481	24	481	2	10034#10087#10038#10043#10030	109
482	24	482	3	10006#10035#10011#10023#10013	109
483	24	483	4	10018#10020#10086#10009#10024	109
484	24	484	5	10036#10007#10042#10009#10031	109
485	24	485	6	10019#10087#10004#10043#10015	109
486	24	486	1	10034#10085#10086#10039#10045	109
487	24	487	2	10034#10035#10011#10088#10040	109
488	24	488	3	10036#10002#10008#10023#10024	109
489	24	489	4	10036#10087#10042#10009#10040	109
490	24	490	5	10003#10035#10004#10088#10040	109
491	22	491	6	10001#10037#10042#10009#10031	107
492	22	492	1	10003#10087#10042#10029#10040	107
493	22	493	2	10018#10005#10038#10043#10089	107
494	22	494	3	10034#10035#10016#10028#10025	107
495	22	495	4	10001#10010#10008#10023#10024	107
496	22	496	5	10036#10085#10008#10043#10015	107
497	22	497	6	10036#10002#10011#10039#10025	107
498	22	498	1	10034#10002#10021#10029#10013	107
499	22	499	2	10001#10005#10086#10043#10024	107
500	22	500	3	10036#10035#10008#10043#10040	107
