id	Chinese	English	Japanese	Korean
10073	升级材料不足	Insufficient upgrade materials.	レベルアップ素材が不足しています	레벨업 재료 부족
10074	击败	Defeat	撃破	승리
10075	废弃文本	This text has been deprecated.	破棄テキスト	
10076	获得	Obtain	獲得	획득
10077	废弃文本	This text has been deprecated.	破棄テキスト	
10078	废弃文本	This text has been deprecated.	破棄テキスト	
10079	废弃文本-竞技			
10080	奖励	Reward	報酬	보상
10081	商店	Store	ショップ	상점
10082	本赛季已结束	This season has ended.	本シーズンは終了しました	이번 시즌이 종료되었습니다.
10083	赛季已结束	The season has ended.	シーズンは終了しました	시즌이 종료되었습니다.
10084	请先配置进攻阵容	Configure your Offense Lineup first.	まずは進攻チームを設置してください	공격 라인업을 먼저 배치하세요.
10085	挑战所需物品不足	Not enough items to challenge.	挑戦に必要なアイテムが不足しています	도전에 필요한 아이템 부족
10086	废弃文本-竞技场积分变化值：			
10087	秒后，可再次刷新	s before next refresh.	秒後に更新できます	초 후 갱신 가능
10088	刷新成功	Refresh successful.	更新完了	갱신 완료
10089	获取回放数据失败	Failed to get playback data.	リプレイデータロード失敗	재생 데이터를 가져오지 못했습니다.
10090	战斗力	Combat Power (CP)	戦力	전투력
10091	防守成功	Defense successful.	防衛成功	수비 성공
10092	防守失败	Defense failed.	防衛失敗	수비 실패
10093	积分 <color=%s>%s</color>	<color=%s>%s</color> pts	ポイント <color=%s>%s</color>	포인트 <color=%s>%s</color>
10094	无	None	なし	없음
10095	冠军	Champion	優勝	우승
10096	亚军	Runner Up	準優勝	준우승
10097	强	Powerful		강
10098	（剩余时间：%s）	(Remaining Time: %s)	（残りタイム：%s）	(남은 시간: %s)
10099	（即将开始：%s）	(Starts In: %s)	（開始まであと：%s）	(시작 예정: %s)
10100	活动已结束，不可挑战！	The event has ended.	イベントが終了したため、挑戦できません！	이벤트 종료되었습니다. 다음에 도전하세요!
10101	<color=#D6CAAA>我的排名：	<color=#D6CAAA>My Ranking:	<color=#D6CAAA>あなたの順位：	<color=#D6CAAA>나의 순위: 
10102	<color=#D6CAAA>战斗力：	<color=#D6CAAA>Combat Power:	<color=#D6CAAA>戦力：	<color=#D6CAAA>전투력: 
10103	免费挑战	Free Challenge	無料挑戦	무료 도전
10104	我的排名：	My Ranking:	あなたの順位：	나의 순위: 
10105	战斗力：	Combat Power:	戦力：	전투력: 
10106	每日奖励	Daily Reward	デイリー報酬	일일 보상
10107	赛季奖励	Season Rewards	シーズン報酬	시즌 보상
10108	废弃文本-巅峰战基础信息 state  %s, progress  %s, endTime  %s, myrank  %s			
10109	废弃文本-巅峰战阶段刷新 state  %s, progress  %s, endTime  %s, myrank  %s			
10110	废弃文本-获取历史战斗记录成功  			
10111	废弃文本-获取小组排名数据成功  			
10112	废弃文本-准备阶段 拍脸			
10113	废弃文本-竞猜阶段 拍脸			
10114	废弃文本-巅峰战赔率信息 myBetTarget  %s, betId  %s, redCoins  %s, blueCoins  %s			
10115	废弃文本-巅峰战赔率信息 betId  %s, redCoins  %s, blueCoins  %s			
10116	非竞猜阶段无法参与竞猜	You cannot make predictions outside of the prediction phase.	予想段階が開始されていないため参加できません	예측 이벤트 시간이 아닙니다
10117	竞猜币数量不能为0	You must spend more than 0 Prediction Coins.	コインを少なくとも1枚使ってください	베팅 코인을 1개 이상 사용해야 합니다
10118	竞猜币数量超出拥有数量	You do not have this many Prediction Coins.	現在の所持数を超えています	베팅 코인 보유량이 부족합니다
10119	您已参与过本轮竞猜，下一轮再来吧	You have already made your prediction for this round.	当ラウンドの予想キャンペーンに既に参加しました。次のラウンドの開始前にまた参加してみましょう。	이미 참여했습니다
10120	废弃文本-获取历史竞猜记录成功  			
10121	锦标赛	Championship	チャンピオンシップ	챔피언십
10122	未开始	Pending	準備中	시작 전
10123	即将开始	Starting...	まもなく開始	곧 시작
10124	已结束	Ended	終了しました	종료됨
10125	选拔赛	Qualifying Round	予選	선발전
10126	决赛	Final	決戦	결승전
10127	未知	Unknown	未知	알 수 없음
10128	我的竞赛	My Competitions	あなたの予想	나의 경기
10129	竞猜	Prediction	予想キャンペーン	예측
10130	32强赛	Round of 32	ベスト32戦	32강전
10131	排行	Rank	ランキング	랭킹
10132	正在进行	Ongoing	進行中	진행중
10133	竞猜成功	Prediction successful.	予想が当たりました	예측 성공
10134	竞猜失败	Prediction failed.	予想が外れました	예측 실패
10135	暂无竞猜记录	No prediction logs found.	予想記録がありません	기록 없음
10136	竞猜记录	Prediction Log	予想記録	예측 기록
10137	暂无排名数据	No ranking data found.	ランキングデータがありません	순위 데이터가 아직 없습니다.
10138	选拔赛组	Qualifying Groups	予選チーム	선발팀
10139	蓝方	Blue Team	青チーム	블루팀
10140	红方	Red Team	赤チーム	레드팀
10141	竞猜%s玩家获胜，当前赔率%s	Prediction for player %s: Odds are %s.	プレイヤー%sに当てます。現在のオッズ%s	%s 플레이어 승리에 베팅, 배당률 %s
10142	废弃文本-恭喜你在 %s-%s 中押注成功			
10143	战斗失败	Defeat	LOSE	전투 패배
10144	战斗成功	Victory	WIN	전투 승리
10145	暂无战斗记录	No battle log found.	戦闘記録がありません	전투 기록 없음
10146	战斗记录	Battle Log	戦闘記録	전투 기록
10147	积分	pts	ポイント	포인트
10148	无积分	No Points	ポイントがありません	포인트 없음
10149	此阶段不可换人！！	Substitutions are not allowed during this phase.	現在交代できません！！	대상을 변경할 수 없습니다.
10150	32强战	Round of 32	ベスト32戦	32강전
10151	4强战	Round of 4	ベスト4戦	4강전
10152	A组	Group A	A組	A팀
10153	B组	Group B	B組	B팀
10154	C组	Group C	C組	C팀
10155	D组	Group D	D組	D팀
10156	废弃文本-<colorgreen>当前阶段:			
10157	废弃文本-  当前轮数:			
10158	废弃文本-  当前状态:			
10159	暂无32强信息	No Top 32 Data	ベスト32の情報がありません	32강 정보가 없습니다.
10160	暂无4强信息	No Top 4 Data	ベスト4の情報がありません	4강 정보가 없습니다.
10161	废弃文本-刷新32强信息			
10162	废弃文本-刷新4强信息			
10163	★%d秒后自动关闭★	★Automatically closes after %ds★	★%d秒後に自動的に閉じる★	★%d초 후 자동으로 닫힙니다★
10164	竞猜币: %d	Prediction Coin: %d	コイン: %d	베팅 칩:  %d
10165	下一轮竞猜即将开始	The next round of predictions is about to start.	次の予想がまもなく開始されます	다음 라운드 대기 중
10166	本轮竞猜已结束	The current round of predictions has ended.	このラウンドの予想は終了しました	이번 라운드 종료
10167	您已参与过本轮竞猜	You have already made your prediction for this round.	既に参加しました	이번 라운드 참가
10168	废弃文本-请耐心等待战斗结果			
10169	本次锦标赛尚未开启	The Championship has yet to start.	チャンピオンシップはまだ開始されていません	챔피언십 시작 전
10170	竞技场排名前128名的玩家将自动参与	The Top 128 players automatically qualify.	闘技場ランキングTOP128のプレイヤーは自動的に参加します	투기장 TOP128 자동 참가
10171	您未能参与本次锦标赛	You failed to participate in the Championship.	今回のチャンピオンシップに参加できませんでした	이번 챔피언십 참가 조건 미달
10172	可前往竞猜界面参与竞猜玩法，赢取丰厚竞猜奖励	Head to the prediction interface to make predictions and earn rewards.	予想キャンペーン画面で予想に参加し、豪華ボーナスをゲットしましょう	예측 이벤트로 보상 획득 가능
10173	本次比赛已结束	This match is over.	試合は終了しました	이번 경기 종료
10174	敬请期待下一轮锦标赛	Stay tuned for the next round of the Championship.	次のチャンピオンシップをお楽しみにしてください	다음 챔피언십을 기대해주세요.
10175	赛程尚未开启	The round has yet to start.	試合日程の情報がありません	경기 미오픈
10176	尚未决出8强	The Top 8 has yet to be decided.	ベスト8はまだ決定されていません	8강 미선발
10177	已结束	Ended	終了しました	종료됨
10178	未参与	Not Participating	参加していません	미참여
10179	即将开启			오픈 예정
10180	废弃文本-扣东西啦			
10181	废弃文本-东西扣多了啦			
10182	废弃文本-扣了不存在的item			
10183	废弃文本-后端穿数量为零  所以弹板提示    			
10184	下列道具已达存储上限，额外获取的部分将无法获得：			아이템 상한. 상한 초과 시 수령 불가:
10185	废弃文本-战斗结算掉落装备ID是 drop.equipId[i].equipId			
10186	废弃文本-掉落宝物数量 			
10187	废弃文本-道具			
10188	装备数量：	Equipment Amount:	装備数：	장비 수량: 
10189	废弃文本	This text has been deprecated.	破棄テキスト	
10190	废弃文本	This text has been deprecated.	破棄テキスト	
10191	全部	All	すべて	전부
10192	金色	Divine	レジェンド	골드
10193	红色	Mythic	ミシック	레드
10194	橙色	Legendary	レジェンド	오렌지
10195	紫色	Epic	エピック	퍼플
10196	蓝色	Rare	エクセレント	블루
10197	绿色	Uncommon	レア	그린
10198	白色	Common	ノーマル	화이트
10199	选中的品质中，没有可分解的道具。	No items of the selected quality can be dismantled.	選択中のクオリティには分解可能のアイテムがありません。	선택한 등급 중 분해할 수 있는 아이템이 없습니다.
10200	碎片合成数量0个。	You are crafting 0 fragments.	欠片合成数0。	조각 합성 수량 0개
10201	宝箱使用数量0个。	You are using 0 chests.	宝箱使用数0。	보물 상자 사용 수량 0개
10202	分解数量0个。	You are dismantling 0 items.	分解数0。	분해 수량 0개
10203	批量分解	Batch Dismantle	一括分解	일괄 분해
10204	 批量分解	 Batch Dismantle	 一括分解	 일괄 분해
10205	批量分解中，包含了史诗及以上的道具。分解操作不可逆转，确定要进行分解吗？	You have chosen to dismantle an item of Epic or higher quantity. This action is irreversible. Are you sure you want to continue?	一括分解で選択中のアイテムにエピック以上のアイテムが含まれています。分解すると取り戻すことができませんが、続けますか？	선택한 아이템 중 에픽 이상의 아이템이 포함됩니다. 분해 시 복구할 수 없습니다. 계속하시겠습니까?
10206	 装备分解	 Dismantle Gear	 装備分解	 장비 분해
10207	当前分解的装备为	You have selected to dismantle:	クオリティの装備です。	분해할 장비는
10208	品质的装备，确定进行分解？	quality gear. Are you sure you want to continue?	本当に分解しますか？	티어 장비입니다. 분해를 계속 진행하시겠습니까?
10209	碎片合成	Craft Fragment	欠片合成	조각 합성
10210	合 成	Craft	合 成	합성
10211	使用宝箱	Use Chest	宝箱使用	보물 상자 사용
10212	使 用	Use	使 用	사용
10213	分解	Dismantle	分解	분해
10214	分 解	Dismantle	分 解	분해
10215	废弃文本-当前slider值                 			
10216	消耗	Consume	消費	소모
10217	个,获得	to obtain	個で獲得	개 획득
10218	个	Consume	個	개
10219	碎片	Fragments	欠片	조각
10220	使用	Use	使用	사용
10221	废弃文本-战斗外数据 			
10222	废弃文本-战斗对象池中重复注册了节点， type  			
10223	废弃文本-该类型节点尚未在对象池中注册， type  			
10224	废弃文本-AudioConfig表错误，特效音频未注册特效名，音频名：			
10225	废弃文本-没有找到特效 			
10226	废弃文本- 的相关音效配置			
10227	废弃文本-战斗调试停止			
10228	废弃文本-轮数变化 CurRound  			
10229	废弃文本-阵营变化 CurCamp  			
10230	废弃文本-未找到释放技能位置			
10231	废弃文本-释放技能位置 CurPos  			
10232	废弃文本-被动技能			
10233	废弃文本-不存在			
10234	废弃文本-释放 特殊 技能			
10235	废弃文本-释放 普通 技能			
10236	废弃文本-没有找到能释放的技能			
10237	废弃文本-强制 释放 普通 技能			
10238	废弃文本-强制 释放 特殊 技能			
10239	废弃文本-技能释放完成			
10240	废弃文本-未找到配置数据：			
10241	应用成功	Use successful.	設定完了	적용 완료
10242	删除成功	Deletion successful.	削除完了	삭제 완료
10243	应用失败	Use failed.	設定失敗	적용 실패
10244	废弃文本-战斗已停止			
10245	废弃文本-战斗开始			
10246	废弃文本-我的编队数据不正确			
10247	废弃文本-敌军组id不正确			
10248	废弃文本-敌军组数据不正确			
10249	废弃文本-战斗已开始，无法设置			
10250	副本里不能前往！	You cannot perform this action while in an Instance.	戦場では移動できません！	던전을 진행하는 동안 이동할 수 없습니다!
10251	废弃文本-战斗数据刷新 			
10252	第%d/%d回合	Turn %d/%d	%d/%dターン	라운드 %d/%d
10253	废弃文本-战斗结果  			
10254	废弃文本-英雄剩余血量 			
10255	确认跳过战斗吗(%d秒)	Are you sure you want to skip the battle? (%ds)	戦闘をスキップしますか？(%d秒)	전투를 스킵하시겠습니까?(%d초)
10256	战斗已暂停，是否继续？(%d秒)	The battle has been paused. Are you sure you want to continue? (%ds)	戦闘が一時停止しました。続けますか？(%d秒)	전투가 일시 중지됐습니다. 계속하시겠습니까? (%d초)
10257	废弃文本-这是回放战斗，请在战斗开始时调用 SetResult 方法预先设置战斗结果!			
10258	战斗已暂停，是否继续？	The battle has been paused. Are you sure you want to continue?	戦闘が一時停止しました。続けますか？	전투가 일시 중지됐습니다. 계속하시겠습니까?
10259	退出	Leave	終了	나가기
10260	继续	Continue	続ける	계속하기
10261	关闭技能动画	Disable Skill Animations	スキル動画OFF	스킬 이펙트 끄기
10262	废弃文本-服务器剩余血量 : 			
10263	废弃文本-对战序列			
10264	废弃文本-战中策略·前期			
10265	废弃文本-战中策略·中期			
10266	废弃文本-战中策略·后期			
10267	已达最大阶段	Max Stage Reached	最終段階に到達しました	최고 단계 도달
10268	废弃文本-随机生成了 随机种子   			
10269	我方总血量	Total Allied HP	味方合計HP	아군 총 체력
10270	敌方总血量	Total Enemy HP	敵合計HP	적군 총 체력
10271	伤 害	DMG	ダメージ	피해
10272	治 疗	Heal	治 療	치료
10273	进攻方	Attacker	進攻側	공격
10274	防守方	Defender	防衛側	수비
10275	减伤	DR	被ダメージ減少	대미지 감소
10276	异常状态			
10277	点燃			점화
10278	中毒	Poison	中毒	중독
10279	失血	Bleed	失血	출혈
10280	不灭	Eternal	不滅	불멸
10281	提升	Enhance	上昇	향상
10282	降低	Reduce	低下	저하
10283	诅咒	Curse	呪詛	저주
10284	暴毙	Instakill	即死	급사
10285	复活	Revive	復活	부활
10286	已发送	Sent	送信しました	발송
10287	成功绑定	Binding successful.	連携完了	연동됩니다.
10288	废弃文本-获 取			
10289	废弃文本-请填写手机号			
10290	废弃文本-请填写验证码			
10291	废弃文本-通关副本任务数量 			
10292	废弃文本-看看			
10293	废弃文本-发放任务奖励了！			
10294	废弃文本-服务器返回的精气值 msg.essenceValue >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 			
10295	废弃文本-精气值已满或者Boss已经召唤			
10296	废弃文本-遍历的地图ID 			
10297	废弃文本-当前的副本类型是 			
10298	废弃文本-没有这种难度的副本，请检查一下表的数据！！			
10299	废弃文本-没得啥子返回的！			
10300	废弃文本-限定三星通关时间 			
10301	废弃文本-没有这事扫荡数据			
10302	没有设置扫荡条件			소탕 조건 미설정
10303	废弃文本-未完成扫荡！			
10304	【简单】	[Easy]	【イージー】	[기본]
10305	【普通】	[Normal]	【ノーマル】	[일반]
10306	【困难】	[Hard]	【ハード】	[심화]
10307	【地狱】	[Hell]	【ナイトメア】	[지옥]
10308	废弃文本-【剧情副本】			
10309	废弃文本-【试炼】			
10310	废弃文本-【传说】			
10311	第	No.	回目の	제
10312	废弃文本-次扫荡			
10313	废弃文本-试炼排行			
10314	挑战排行	Challenge Rank	チャレンジランキング	도전 랭킹
10315	废弃文本-返回消息			
10316	波	Wave	ラウンド	라운드
10317	木有排行信息			랭킹 정보가 없습니다.
10318	未通关	Not cleared.	クリアしていません	클리어 전
10319	层	Floor	階	층
10320	队伍战力：	Squad CP:	チーム戦力：	팀 전투력: 
10321	我的排名：未上榜	My Ranking: Unranked	あなたの順位：ランキング外	나의 순위: 미포함
10322	通关时间: 	Clear Time: 	クリアタイム: 	클리어 시간:  
10323	通关时间: 未通关	Clear Time: Not Cleared	クリアタイム:クリアしていません	클리어 시간:  클리어 전
10324	通关时间：	Clear Time:	クリアタイム：	클리어 시간: 
10325	距离开启	Until Start	開始まであと	오픈 예정: 
10326	距离结束	Until End	終了まであと	종료 예정: 
10327	尚未加入公会！	You haven't joined a guild.	ギルドに加入していません！	가입한 길드가 없습니다.
10328	金钱	Gold	ゴールド	골드
10329	经验	EXP	EXP	경험치
10330	碎片	Fragments	欠片	조각
10331	守护	Guardian	ガーディアン	수호
10332	戒指	Ring	指輪	반지
10333	废弃文本-刷新面板			
10334	挑战	Challenge	挑戦	도전
10335	战力：%s	CP: %s	戦力：%s	전투력: %s
10336	扫荡	Blitz	クイッククリア	소탕
10337	已通过	Cleared	クリア済み	클리어완료
10338	<color=red>战力：%s</color>	<color=red>CP: %s</color>	<color=red>戦力：%s</color>	<color=red>전투력: %s</color>
10339	未开启	Not active.	解放されていません	미오픈
10340	玩家等级不足%s级！	You are not yet level %s.	トレーナーレベルがLv%sに到達していません！	%s 레벨 미만입니다.
10341	废弃文本-未通关%s			
10342	今日剩余次数不足！	Insufficient remaining times.	残り回数が不足しています！	남은 횟수가 부족합니다.
10343	%s不足！	Not enough %s!	%sが不足しています！	%s 부족!
10344	今日剩余次数：%s	Today's Remaining Times: %s	本日残り回数：%s	남은 횟수: %s
10345	今日剩余购买次数：%s	Today's Remaining Purchases: %s	本日残り購入回数：%s	남은 구매: %s
10346	废弃文本-副本功绩			
10347	废弃文本-试炼奖励			
10348	未达成	Not reached.	未達成	미달성
10349	废弃文本-通过试炼副本			
10350	已领取	Collected	受取済	수령완료
10351	简单	Easy	イージー	간단
10352	普通	Normal	ノーマル	일반
10353	困难	Hard	ハード	어려움
10354	炼狱	Nightmare	ナイトメア	연옥
10355	废弃文本-开启条件为空值！			
10356	通关	Clear	クリア	클리어
10357	开启	Unlock	解放	 오픈
10358	玩家%s级开启	Unlocks at player Lv. %s	トレーナーLv%sで開放	플레이어 %s레벨 시 오픈
10359	需关卡	Req. Stage	ステージ	스테이지
10360	开启，等级达到 	unlocks at Lv. 	をクリア後に解放、レベルが以上に達する必要がある 	오픈, 레벨 도달 
10361	废弃文本-还在地图，勾新手引导进图！			
10362	废弃文本-吕欣然，地图Id给错了哈			
10363	废弃文本-完成地图任务时间少于			
10364	秒	s	秒	초
10365	废弃文本-完成任务时间			
10366	未完成	Not completed.	完了していません	미완성
10367	废弃文本-完成功绩%s/总功绩%s			
10368	废弃文本-上一层完成的时间 			
10369	废弃文本-最后一层的通关时间 			
10370	已完成	Completed	完了	완성
10371	废弃文本-还老子的情报据！！			
10372	废弃文本-获得临时背包数据显示获得物品！			
10373	废弃文本-不带出图			
10374	废弃文本-哎呀， 终于松手了！			
10375	废弃文本-你点自己干嘛了			
10376	废弃文本-一直萌萌哒的小怪			
10377	废弃文本-没有奖励可领取			
10378	废弃文本-耗时 			
10379	废弃文本-剧情副本挑战次数不足			
10380	重置次数不足	Insufficient resets.	リセット回数が不足しています	리셋 횟수 부족
10381	尚未发现试炼商店	The Trial Store was not found.	試練ショップが開放されていません	시련 상점이 아직 오픈되지 않았습니다.
10382	今日还可以重置	Today's Remaining Resets	本日残りリセット回数	일일리셋을 할 수 있습니다.
10383	重置成功	Reset successful.	リセット完了	리셋 완료
10384	系统	System	システム	시스템
10385	吉运	Lucky	幸運	행운
10386	勤勉	Diligent	勤勉	근면
10387	玩家等级13解锁发言功能	Chat unlocks at player level 13.	トレーナーLv13でチャット機能解放	플레이어 13 레벨 달성 시 채팅 기능이 해제됩니다.
10388	不能发送空消息	You cannot send empty messages.	メッセージをご入力ください	빈 메시지를 보낼 수 없습니다.
10389	剩余%d秒可再次发言	%ds after, you may send a message again.	%d秒後に発言できます	%d초 후 다시 메시지를 보내보세요.
10390	发送了包含屏蔽字的消息	Your message includes a prohibited word.	使用できない文字が含まれています	금지어가 포함된 메시지를 입력했습니다.
10391	消息发送成功	Message sent successfully.	メッセージ送信済み	메시지가 발송되었습니다.
10392	消息内容：	Message Content:	メッセージ内容：	메시지 내용: 
10393	废弃文本-本地最新消息			
10394	废弃文本- 新消息的消息号：			
10395	废弃文本-是否是屏蔽消息：			
10396	废弃文本-是否是登录之前的消息：			
10397	我：	Me:	あなた：	나: 
10398	秒后，可再次发布	s after, you may send a message again.	秒後に送信できます	초 후에 다시 배포할 수 있습니다.
10399	<color=#028DEA>%s</color> 级公会 <color=#028DEA>%s</color> 发布招募信息，诚邀各位冒险者加入！(申请等级不低于 <color=#FE4100>%s</color> 级)<color=#66FE00>【马上加入】</color>	A Lv <color=#028DEA>%s</color> guild <color=#028DEA>%s</color> has issued an invitation for adventurers to join! (requires at least level <color=#FE4100>%s</color>) <color=#66FE00>[Join Now]</color>	<color=#028DEA>%s</color> レベルギルド <color=#028DEA>%s</color> メンバー募集中！皆様の加入を待っています！(申請レベル＞ <color=#FE4100>%s</color>)<color=#66FE00>【今すぐ申請】</color>	<color=#028DEA>%s</color> 레벨 길드 <color=#028DEA>%s</color>에서 길드원을 모집합니다! 우리와 함께 모험을 떠나요! ( <color=#FE4100>%s</color> 레벨 이상 신청 가능)<color=#66FE00>【가입하기】</color>
10400	%s 发送了%s，请迅速前往抢夺红包！	%s sent %s! Make sure you claim the gift envelope on time!	%s が%sを送りました！早く行ってギフトを取りましょう！	%s 님이 %s 선물을 보냈습니다! 어서 선물을 받아보세요!
10401	好友	Friend	フレンド	친구
10402	公会	Guild	ギルド	길드
10403	世界	World	ワールド	세계
10404	功能尚未开启，敬请期待	The function has not been activated. Please stay tuned.	機能が解放されていません。お楽しみに	아직 오픈되지 않은 콘텐츠입니다.
10405	尚未加入公会	You haven't joined a guild.	ギルドに加入していません	가입한 길드가 없습니다!
10406	该频道下无法发言	You cannot send messages in this channel.	このチャンネルでは発言できません	해당 채널에서는 발언할 수 없습니다.
10407	废弃	Deprecated	破棄	
10408	您已加入公会	You have joined the guild.	ギルドに加入済み	길드 가입되어 있습니다.
10409	确认要加入 %s 公会吗	Are you sure you want to join %s?	ギルド %s に加入しますか？	%s 길드에 가입하시겠습니까?
10410	不符合该公会限制条件	You do not meet the requirements of this guild.	ギルドの加入条件を満たしていません	길드 조건에 부합하지 않습니다.
10411	成功加入公会	You successfully joined the guild.	ギルド加入完了	길드 가입이 완료되었습니다.
10412	申请发送成功	Your application was sent successfully.	申請送信済み	신청 메시지가 발송되었습니다.
10413	公会禁止加入	You are prohibited from joining this guild.	ギルドは加入を禁止しています	길드 가입 금지
10414	功能尚未开启，敬请期待！	The function has not been activated. Please stay tuned.	機能が解放されていません。お楽しみに！	아직 오픈되지 않은 콘텐츠입니다.
10415	请求发送成功！	The request was sent successfully.	送信済み！	요청 메시지가 발송되었습니다!
10416	对方已不在你的好友列表中，无法发送消息	The user is no longer in your friends list. You cannot send them any messages.	送信相手はフレンドリストから外したため送信できません	상대가 당신의 친구가 아닙니다. 메시지를 보낼 수 없습니다.
10417	废弃文本-错误，没有找到可用tab！！！！			
10418	未找到符合条件的节点			조건에 맞는 노드를 찾을 수 없습니다.
10419	废弃文本-对象池创建对象时：参数错误			
10420	废弃文本-对象池中未找到注册的对象信息			
10421	装备合成	Craft Gear	装備合成	장비 합성
10422	废弃	Deprecated	破棄	
10423	废弃	Deprecated	破棄	
10424	废弃文本-是否要将【			
10425	废弃文本-】装备的【			
10426	废弃文本-】卸下并用于合成？			
10427	武器	Weapon	武器	무기
10428	废弃文本-衣服			
10429	战甲	Armor	アーマー	갑옷
10430	饰品	Accessory	飾り	액세서리
10431	材料不足，无法合成！	Not enough materials to craft.	素材不足のため合成できません！	재료가 부족하여 합성할 수 없습니다!
10432	curPosEquips    最终增加   			
10433	   最终删除         			   최종 삭제         
10434	无可合成装备！	No gear to craft!	合成可能な装備がありません！	합성 가능한 장비가 없습니다!
10435	废弃	Deprecated	破棄	
10436	立即充值	Recharge Now	今すぐダイヤを購入	즉시 결제
10437	您已领取	You have collected	受取済	이미 수령하셨습니다.
10438	商店暂未开放	The Store is not open yet.	ショップが開放されていません	상점이 아직 오픈되지 않았습니다.
10439	废弃文本-数据提交成功			
10440	集齐	Collect	揃える	모두 모음
10441	废弃	Deprecated	破棄	
10442	废弃	Deprecated	破棄	
10443	废弃	Deprecated	破棄	
10444	废弃	Deprecated	破棄	
10445	废弃	Deprecated	破棄	
10446	废弃文本-材料不足无法进阶！			
10447	废弃	Deprecated	破棄	
10448	废弃	Deprecated	破棄	
10449	废弃文本-(已激活)			
10450	废弃文本-(未激活)			
10451	废弃文本-额外增益			
