Id	EncouragePlan	Level	TaskRequire	FreeReward	PrivilegeReward
8001	8	1	15	6000110#100	17014#5|17013#20
8002	8	2	30	6000110#100	17014#5|17013#20
8003	8	3	45	6000110#100	17014#5|17013#20
8004	8	4	60	6000110#100|19#1	17014#50|17013#200
8005	8	5	75	6000110#100	17014#5|17013#20
8006	8	6	90	6000110#100	17014#5|17013#20
8007	8	7	105	6000110#100	17014#5|17013#20
8008	8	8	120	6000110#100|19#1	17014#50|17013#200
8009	8	9	135	6000110#100	17014#5|17013#20
8010	8	10	150	6000110#100	17014#5|17013#20
8011	8	11	165	6000110#100	17014#5|17013#20
8012	8	12	180	6000110#100|19#1	17014#50|17013#200
8013	8	13	195	6000110#100	17014#5|17013#20
8014	8	14	210	6000110#100	17014#5|17013#20
8015	8	15	225	6000110#100	17014#5|17013#20
8016	8	16	240	6000110#100|19#1	17014#50|17013#200
8017	8	17	255	6000110#100	17014#5|17013#20
8018	8	18	270	6000110#100	17014#5|17013#20
8019	8	19	285	6000110#100	17014#5|17013#20
8020	8	20	300	6000110#100|19#1	17014#50|17013#200
9001	9	1	1	16#20	72003#1|16#100
9002	9	2	2	16#20	72005#1|72004#3
9003	9	3	4	16#20	72003#1|16#100
9004	9	4	6	16#20	72005#1|72004#3
9005	9	5	8	16#20	72003#1|16#100
9006	9	6	10	16#20	72005#1|72004#3
9007	9	7	12	16#20	72003#1|16#100
9008	9	8	14	16#20	72005#1|72004#3
9009	9	9	16	16#20	72003#1|16#100
9010	9	10	18	16#20	72005#1|72004#3
9011	9	11	20	16#20|72003#1	72003#1|16#100
9012	9	12	22	16#20	72005#1|72004#3
9013	9	13	24	16#20	72003#1|16#100
9014	9	14	26	16#20	72005#1|72004#3
9015	9	15	28	16#20	72003#1|16#100
9016	9	16	30	16#20	72005#1|72004#3
9017	9	17	32	16#20	72003#1|16#100
9018	9	18	34	16#20	72005#1|72004#3
9019	9	19	36	16#20	72003#1|16#100
9020	9	20	38	16#20	72005#1|72004#3
9021	9	21	40	16#20|72003#1	72003#1|16#500
10001	10	1	3	10444#10	10444#50|6000104#5
10002	10	2	15	10444#10	10444#50|6000104#5
10003	10	3	30	10444#10	10444#50|6000104#5
10004	10	4	45	10444#10	10444#50|6000104#2
10005	10	5	60	10444#10	10444#50|6000104#2
10006	10	6	75	10444#10	10444#50|6000104#2
10007	10	7	90	10444#10|6000104#1	10444#50|6000104#5
10008	10	8	105	10444#10	10441#10|6000104#2
10009	10	9	120	10444#10	10441#10|6000104#2
10010	10	10	135	10444#10	10441#20|6000104#2
10011	10	11	150	10444#10	10441#20|6000104#2
10012	10	12	165	10444#10	10442#6|6000104#2
10013	10	13	180	10444#10|6000104#1	10442#6|99001#1
10014	10	14	195	10444#10	10441#10|6000104#2
10015	10	15	210	10444#10	10441#10|6000104#2
10016	10	16	225	10444#10	10441#20|6000104#2
10017	10	17	240	10444#10	10441#20|6000104#2
10018	10	18	255	10444#10	10442#6|6000104#2
10019	10	19	270	10444#10|6000104#1	10442#6|99001#1
10020	10	20	285	10444#10	10441#10|6000104#2
10021	10	21	300	10444#10	10441#10|6000104#2
10022	10	22	315	10444#10	10441#20|6000104#2
10023	10	23	330	10444#10	10441#20|6000104#2
10024	10	24	345	10444#10	10442#6|6000104#2
10025	10	25	360	10444#10|6000104#1	10442#6|99001#1
10026	10	26	375	10444#10	10441#10|6000104#2
10027	10	27	390	10444#10	10441#10|6000104#2
10028	10	28	405	10444#10	10441#20|6000104#2
10029	10	29	420	10444#10	10441#20|6000104#2
10030	10	30	435	10444#10	10442#6|6000104#2
10031	10	31	450	10444#10|6000104#1	10442#6|99001#1
10032	10	32	465	10444#10	10441#10|6000104#2
10033	10	33	480	10444#10	10441#10|6000104#2
10034	10	34	495	10444#10	10441#20|6000104#2
10035	10	35	510	10444#10	10441#20|6000104#2
10036	10	36	525	10444#10	10442#6|6000104#2
10037	10	37	540	10444#10|6000104#1	10442#6|99001#1
10038	10	38	555	10444#10	10441#10|6000104#2
10039	10	39	570	10444#10	10441#10|6000104#2
10040	10	40	585	10444#10	10441#20|6000104#2
10041	10	41	600	10444#10	10441#20|6000104#2
10042	10	42	615	10444#10	10442#6|6000104#2
10043	10	43	630	10444#10|6000104#1	10442#6|99001#1
10044	10	44	645	10444#10	10441#10|6000104#2
10045	10	45	660	10444#10	10441#10|6000104#2
10046	10	46	675	10444#10	10441#20|6000104#2
10047	10	47	690	10444#10	10441#20|6000104#2
10048	10	48	705	10444#10	10442#6|6000104#2
10049	10	49	720	10444#10|6000104#1	10442#6|99001#1
10050	10	50	735	10444#10	10441#10|6000104#2
10051	10	51	750	10444#10	10441#10|6000104#2
10052	10	52	765	10444#10	10441#20|6000104#2
10053	10	53	780	10444#10	10441#20|6000104#2
10054	10	54	795	10444#10	10442#6|6000104#2
10055	10	55	810	10444#10|6000104#1	10442#6|99001#1
10056	10	56	825	10444#10	10441#10|6000104#2
10057	10	57	840	10444#10	10441#10|6000104#2
10058	10	58	855	10444#10	10441#20|6000104#2
10059	10	59	870	10444#10	10441#20|6000104#2
10060	10	60	885	10444#10	10442#6|6000104#2
10061	10	61	900	10444#10|6000104#1	10442#6|99001#1
10062	10	62	915	10444#10	10441#10|6000104#2
10063	10	63	930	10444#10	10441#10|6000104#2
10064	10	64	945	10444#10	10441#20|6000104#2
10065	10	65	960	10444#10	10441#20|6000104#2
10066	10	66	975	10444#10	10442#6|6000104#2
10067	10	67	990	10444#10|6000104#1	10442#6|99001#1
10068	10	68	1005	10444#10	10441#10|6000104#2
10069	10	69	1020	10444#10	10441#10|6000104#2
10070	10	70	1035	10444#10	10441#20|6000104#2
10071	10	71	1050	10444#10	10441#20|6000104#2
10072	10	72	1065	10444#10	10442#6|6000104#2
10073	10	73	1080	10444#10|6000104#1	10442#6|99001#1
11001	11	1	40	19#1	16#500|6001020#50
11002	11	2	50	16#50	16#50|6001020#10
11003	11	3	60	16#50	16#50|6001020#10
11004	11	4	70	16#50	16#50|6001020#10
11005	11	5	80	16#50	16#50|6001020#10
11006	11	6	90	16#50	16#50|6001020#10
11007	11	7	100	16#50	16#50|6001020#10
11008	11	8	110	16#50	16#50|6001020#10
11009	11	9	120	16#50	16#50|6001020#10
11010	11	10	130	16#50	16#50|6001020#10
11011	11	11	140	16#50	16#50|6001020#10
11012	11	12	150	19#1	16#500|19#10
11013	11	13	160	16#50	16#50|6001020#10
11014	11	14	180	16#50	16#50|6001020#10
11015	11	15	200	16#50	16#50|6001020#10
11016	11	16	220	16#50	16#50|6001020#10
11017	11	17	240	16#50	16#50|6001020#10
11018	11	18	250	19#1	16#500|19#10
11019	11	19	260	16#50	16#50|6001020#10
11020	11	20	280	16#50	16#50|6001020#10
11021	11	21	300	16#50	16#50|6001020#10
11022	11	22	320	16#50	16#50|6001020#10
11023	11	23	340	16#50	16#50|6001020#10
11024	11	24	350	19#1	16#500|19#10
12001	12	1	360	19#1	16#2000|6001020#50
12002	12	2	380	16#100	16#100|6001020#10
12003	12	3	400	16#100	16#100|6001020#10
12004	12	4	420	16#100	16#100|6001020#10
12005	12	5	440	16#100	16#100|6001020#10
12006	12	6	450	19#1	16#2000|19#10
12007	12	7	460	16#100	16#100|6001020#10
12008	12	8	480	16#100	16#100|6001020#10
12009	12	9	500	16#100	16#100|6001020#10
12010	12	10	520	16#100	16#100|6001020#10
12011	12	11	540	16#100	16#1000|19#10
12012	12	12	550	19#1	16#2000|19#10
12013	12	13	560	16#100	16#100|6001020#10
12014	12	14	580	16#100	16#100|6001020#10
12015	12	15	600	19#1	16#2000|19#10
13001	13	1	620	16#100	16#2000|19#10
13002	13	2	640	16#100	16#100|6001020#10
13003	13	3	650	19#1	16#2000|19#10
13004	13	4	660	16#100	16#100|6001020#10
13005	13	5	680	16#100	16#100|6001020#10
13006	13	6	700	16#100	16#100|6001020#10
13007	13	7	720	16#100	16#100|6001020#10
13008	13	8	740	16#100	16#100|6001020#10
13009	13	9	750	19#1	16#2000|19#10
13010	13	10	760	16#100	16#100|6001020#10
13011	13	11	780	16#100	16#1000|19#10
13012	13	12	800	19#1	16#2000|19#10
14001	14	1	820	16#100	16#2000|6001020#50
14002	14	2	840	16#100	16#100|6001020#10
14003	14	3	850	16#100	16#100|6001020#10
14004	14	4	860	16#100	16#100|6001020#10
14005	14	5	880	16#100	16#100|6001020#10
14006	14	6	900	19#1	16#1000|19#10
14007	14	7	920	16#100	16#100|6001020#10
14008	14	8	940	16#100	16#100|6001020#10
14009	14	9	950	19#1	16#2000|19#10
14010	14	10	960	16#100	16#100|6001020#10
14011	14	11	980	16#100	16#1000|19#10
14012	14	12	1000	19#1	16#1000|19#10
15001	15	1	1020	16#100	16#2000|19#10
15002	15	2	1040	16#100	16#100|6001020#10
15003	15	3	1050	19#1	16#2000|19#10
15004	15	4	1060	16#100	16#100|6001020#10
15005	15	5	1080	16#100	16#100|6001020#10
15006	15	6	1100	16#100	16#100|6001020#10
15007	15	7	1120	16#100	16#100|6001020#10
15008	15	8	1140	16#100	16#100|6001020#10
15009	15	9	1150	19#1	16#2000|19#10
15010	15	10	1160	16#100	16#100|6001020#10
15011	15	11	1180	16#100	16#1000|19#10
15012	15	12	1200	19#1	16#2000|19#10
16001	16	1	10	19001#40	19001#100|19003#500
16002	16	2	50	19001#40	19001#100|19002#100
16003	16	3	100	19001#40	19001#100|19002#100
16004	16	4	150	19001#40	19001#100|19002#100
16005	16	5	200	19001#100	19001#100|19003#500
16006	16	6	250	19001#40	19001#100|19002#100
16007	16	7	300	19001#40	19001#100|19002#100
16008	16	8	350	19001#40	19001#100|19002#100
16009	16	9	400	19001#40	19001#100|19002#100
16010	16	10	450	19001#100	19001#100|19003#500
16011	16	11	500	19001#40	19001#100|19002#100
16012	16	12	550	19001#40	19001#100|19002#100
16013	16	13	600	19001#40	19001#100|19002#100
16014	16	14	650	19001#40	19001#100|19002#100
16015	16	15	700	19001#100	19001#100|19003#500
16016	16	16	750	19001#40	19001#100|19002#100
16017	16	17	800	19001#40	19001#100|19002#100
16018	16	18	850	19001#40	19001#100|19002#100
16019	16	19	900	19001#40	19001#100|19002#100
16020	16	20	950	19001#100	19001#100|19003#500
16021	16	21	1000	19001#40	19001#100|19002#100
16022	16	22	1050	19001#40	19001#100|19002#100
16023	16	23	1100	19001#40	19001#100|19002#100
16024	16	24	1150	19001#40	19001#100|19002#100
16025	16	25	1200	19001#100	19001#100|19003#500
