Id	TeachLvl	NeedLvl	AdjutantId	Cost	AddType	AddValue
106	32	34	2	6000097#6|6000098#24	61	50
107	33	34	2	6000097#6|6000098#24	156	50
108	34	34	2	6000097#6|6000098#24	60	50
109	35	34	2	6000097#6|6000098#24	171	100
110	36	40	2	6000097#7|6000098#28	5	5
111	37	40	2	6000097#7|6000098#28	62	50
112	38	40	2	6000097#7|6000098#28	61	50
113	39	40	2	6000097#7|6000098#28	156	50
114	40	40	2	6000097#7|6000098#28	60	50
115	41	40	2	6000097#7|6000098#28	171	100
116	42	46	2	6000097#8|6000098#32	5	5
117	43	46	2	6000097#8|6000098#32	62	50
118	44	46	2	6000097#8|6000098#32	61	50
119	45	46	2	6000097#8|6000098#32	156	50
120	46	46	2	6000097#8|6000098#32	60	50
121	47	46	2	6000097#8|6000098#32	171	100
122	48	52	2	6000097#9|6000098#36	5	5
123	49	52	2	6000097#9|6000098#36	62	50
124	50	52	2	6000097#9|6000098#36	61	50
125	51	52	2	6000097#9|6000098#36	156	50
126	52	52	2	6000097#9|6000098#36	60	50
127	53	52	2	6000097#9|6000098#36	171	100
128	54	58	2	6000097#10|6000098#40	5	5
129	55	58	2	6000097#10|6000098#40	62	50
130	56	58	2	6000097#10|6000098#40	61	50
131	57	58	2	6000097#10|6000098#40	156	50
132	58	58	2	6000097#10|6000098#40	60	50
133	59	58	2	6000097#10|6000098#40	171	100
134	60	64	2	6000097#11|6000098#44	5	5
135	61	64	2	6000097#11|6000098#44	62	50
136	62	64	2	6000097#11|6000098#44	61	50
137	63	64	2	6000097#11|6000098#44	156	50
138	64	64	2	6000097#11|6000098#44	60	50
139	65	64	2	6000097#11|6000098#44	171	100
140	66	70	2	6000097#12|6000098#48	5	5
141	67	70	2	6000097#12|6000098#48	62	50
142	68	70	2	6000097#12|6000098#48	61	50
143	69	70	2	6000097#12|6000098#48	156	50
144	70	70	2	6000097#12|6000098#48	60	50
145	71	70	2	6000097#12|6000098#48	171	100
146	72	0	2	null	5	5
147	0	4	3	6000097#1|6000098#4	0	0
148	1	4	3	6000097#1|6000098#4	62	50
149	2	4	3	6000097#1|6000098#4	61	50
150	3	4	3	6000097#1|6000098#4	55	50
151	4	4	3	6000097#1|6000098#4	60	50
152	5	4	3	6000097#1|6000098#4	171	100
153	6	10	3	6000097#2|6000098#8	5	5
154	7	10	3	6000097#2|6000098#8	62	50
155	8	10	3	6000097#2|6000098#8	61	50
156	9	10	3	6000097#2|6000098#8	55	50
157	10	10	3	6000097#2|6000098#8	60	50
158	11	10	3	6000097#2|6000098#8	171	100
159	12	16	3	6000097#3|6000098#12	5	5
160	13	16	3	6000097#3|6000098#12	62	50
161	14	16	3	6000097#3|6000098#12	61	50
162	15	16	3	6000097#3|6000098#12	55	50
163	16	16	3	6000097#3|6000098#12	60	50
164	17	16	3	6000097#3|6000098#12	171	100
165	18	22	3	6000097#4|6000098#16	5	5
166	19	22	3	6000097#4|6000098#16	62	50
167	20	22	3	6000097#4|6000098#16	61	50
168	21	22	3	6000097#4|6000098#16	55	50
169	22	22	3	6000097#4|6000098#16	60	50
170	23	22	3	6000097#4|6000098#16	171	100
171	24	28	3	6000097#5|6000098#20	5	5
172	25	28	3	6000097#5|6000098#20	62	50
173	26	28	3	6000097#5|6000098#20	61	50
174	27	28	3	6000097#5|6000098#20	55	50
175	28	28	3	6000097#5|6000098#20	60	50
176	29	28	3	6000097#5|6000098#20	171	100
177	30	34	3	6000097#6|6000098#24	5	5
178	31	34	3	6000097#6|6000098#24	62	50
179	32	34	3	6000097#6|6000098#24	61	50
180	33	34	3	6000097#6|6000098#24	55	50
181	34	34	3	6000097#6|6000098#24	60	50
182	35	34	3	6000097#6|6000098#24	171	100
183	36	40	3	6000097#7|6000098#28	5	5
184	37	40	3	6000097#7|6000098#28	62	50
185	38	40	3	6000097#7|6000098#28	61	50
186	39	40	3	6000097#7|6000098#28	55	50
187	40	40	3	6000097#7|6000098#28	60	50
188	41	40	3	6000097#7|6000098#28	171	100
189	42	46	3	6000097#8|6000098#32	5	5
190	43	46	3	6000097#8|6000098#32	62	50
191	44	46	3	6000097#8|6000098#32	61	50
192	45	46	3	6000097#8|6000098#32	55	50
193	46	46	3	6000097#8|6000098#32	60	50
194	47	46	3	6000097#8|6000098#32	171	100
195	48	52	3	6000097#9|6000098#36	5	5
196	49	52	3	6000097#9|6000098#36	62	50
197	50	52	3	6000097#9|6000098#36	61	50
198	51	52	3	6000097#9|6000098#36	55	50
199	52	52	3	6000097#9|6000098#36	60	50
200	53	52	3	6000097#9|6000098#36	171	100
201	54	58	3	6000097#10|6000098#40	5	5
202	55	58	3	6000097#10|6000098#40	62	50
203	56	58	3	6000097#10|6000098#40	61	50
204	57	58	3	6000097#10|6000098#40	55	50
205	58	58	3	6000097#10|6000098#40	60	50
206	59	58	3	6000097#10|6000098#40	171	100
207	60	64	3	6000097#11|6000098#44	5	5
208	61	64	3	6000097#11|6000098#44	62	50
209	62	64	3	6000097#11|6000098#44	61	50
210	63	64	3	6000097#11|6000098#44	55	50
211	64	64	3	6000097#11|6000098#44	60	50
212	65	64	3	6000097#11|6000098#44	171	100
213	66	70	3	6000097#12|6000098#48	5	5
214	67	70	3	6000097#12|6000098#48	62	50
215	68	70	3	6000097#12|6000098#48	61	50
216	69	70	3	6000097#12|6000098#48	55	50
217	70	70	3	6000097#12|6000098#48	60	50
218	71	70	3	6000097#12|6000098#48	171	100
219	72	0	3	null	5	5
220	0	4	4	6000097#1|6000098#4	0	0
221	1	4	4	6000097#1|6000098#4	62	50
222	2	4	4	6000097#1|6000098#4	61	50
223	3	4	4	6000097#1|6000098#4	55	50
224	4	4	4	6000097#1|6000098#4	53	50
225	5	4	4	6000097#1|6000098#4	171	100
226	6	10	4	6000097#2|6000098#8	5	5
227	7	10	4	6000097#2|6000098#8	62	50
228	8	10	4	6000097#2|6000098#8	61	50
229	9	10	4	6000097#2|6000098#8	55	50
230	10	10	4	6000097#2|6000098#8	53	50
231	11	10	4	6000097#2|6000098#8	171	100
232	12	16	4	6000097#3|6000098#12	5	5
233	13	16	4	6000097#3|6000098#12	62	50
234	14	16	4	6000097#3|6000098#12	61	50
235	15	16	4	6000097#3|6000098#12	55	50
236	16	16	4	6000097#3|6000098#12	53	50
237	17	16	4	6000097#3|6000098#12	171	100
238	18	22	4	6000097#4|6000098#16	5	5
239	19	22	4	6000097#4|6000098#16	62	50
240	20	22	4	6000097#4|6000098#16	61	50
241	21	22	4	6000097#4|6000098#16	55	50
242	22	22	4	6000097#4|6000098#16	53	50
243	23	22	4	6000097#4|6000098#16	171	100
244	24	28	4	6000097#5|6000098#20	5	5
245	25	28	4	6000097#5|6000098#20	62	50
246	26	28	4	6000097#5|6000098#20	61	50
247	27	28	4	6000097#5|6000098#20	55	50
248	28	28	4	6000097#5|6000098#20	53	50
249	29	28	4	6000097#5|6000098#20	171	100
250	30	34	4	6000097#6|6000098#24	5	5
251	31	34	4	6000097#6|6000098#24	62	50
252	32	34	4	6000097#6|6000098#24	61	50
253	33	34	4	6000097#6|6000098#24	55	50
254	34	34	4	6000097#6|6000098#24	53	50
255	35	34	4	6000097#6|6000098#24	171	100
256	36	40	4	6000097#7|6000098#28	5	5
257	37	40	4	6000097#7|6000098#28	62	50
258	38	40	4	6000097#7|6000098#28	61	50
259	39	40	4	6000097#7|6000098#28	55	50
260	40	40	4	6000097#7|6000098#28	53	50
261	41	40	4	6000097#7|6000098#28	171	100
262	42	46	4	6000097#8|6000098#32	5	5
263	43	46	4	6000097#8|6000098#32	62	50
264	44	46	4	6000097#8|6000098#32	61	50
265	45	46	4	6000097#8|6000098#32	55	50
266	46	46	4	6000097#8|6000098#32	53	50
267	47	46	4	6000097#8|6000098#32	171	100
268	48	52	4	6000097#9|6000098#36	5	5
269	49	52	4	6000097#9|6000098#36	62	50
270	50	52	4	6000097#9|6000098#36	61	50
271	51	52	4	6000097#9|6000098#36	55	50
272	52	52	4	6000097#9|6000098#36	53	50
273	53	52	4	6000097#9|6000098#36	171	100
274	54	58	4	6000097#10|6000098#40	5	5
275	55	58	4	6000097#10|6000098#40	62	50
276	56	58	4	6000097#10|6000098#40	61	50
277	57	58	4	6000097#10|6000098#40	55	50
278	58	58	4	6000097#10|6000098#40	53	50
279	59	58	4	6000097#10|6000098#40	171	100
280	60	64	4	6000097#11|6000098#44	5	5
281	61	64	4	6000097#11|6000098#44	62	50
282	62	64	4	6000097#11|6000098#44	61	50
283	63	64	4	6000097#11|6000098#44	55	50
284	64	64	4	6000097#11|6000098#44	53	50
285	65	64	4	6000097#11|6000098#44	171	100
286	66	70	4	6000097#12|6000098#48	5	5
287	67	70	4	6000097#12|6000098#48	62	50
288	68	70	4	6000097#12|6000098#48	61	50
289	69	70	4	6000097#12|6000098#48	55	50
290	70	70	4	6000097#12|6000098#48	53	50
291	71	70	4	6000097#12|6000098#48	171	100
292	72	0	4	null	5	5
