Id	AlameinId	PreId	StarCondServer	FirstAward	AutoAward	MonsterGroup	IsBoss
10908	9	10909	7#0|1#1#2#1|3#8	10444#40|16#50|10443#10	10444#13|10443#4	910088	0
10909	9	10910	7#0|1#2#2#1|3#8	10444#40|16#50|10443#10	10444#13|10443#4	910089	0
10910	9	11001	7#0|1#4#2#1|5#0	10444#40|16#50|10443#10	10444#13|10443#4	910090	1
11001	10	11002	7#0|2#1#1#3|3#8	10444#41|16#50|10443#10	10444#14|10443#4	910091	0
11002	10	11003	7#0|2#2#1#3|3#8	10444#41|16#50|10443#10	10444#14|10443#4	910092	0
11003	10	11004	7#0|2#3#1#3|3#8	10444#41|16#50|10443#10	10444#14|10443#4	910093	0
11004	10	11005	7#0|6#4|3#8	10444#41|16#50|10443#10	10444#14|10443#4	910094	0
11005	10	11006	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#10	10444#14|10443#4	910095	0
11006	10	11007	7#0|2#5#1#3|3#8	10444#41|16#50|10443#10	10444#14|10443#4	910096	0
11007	10	11008	7#0|1#3#1#3|3#8	10444#41|16#50|10443#10	10444#14|10443#4	910097	0
11008	10	11009	7#0|1#1#1#3|3#8	10444#41|16#50|10443#10	10444#14|10443#4	910098	0
11009	10	11010	7#0|1#2#1#3|3#8	10444#41|16#50|10443#10	10444#14|10443#4	910099	0
11010	10	11101	7#0|1#4#1#3|5#0	10444#41|16#50|10443#10	10444#14|10443#4	910100	1
11101	11	11102	7#0|2#1#2#1|3#6	10444#41|16#50|10443#10	10444#15|10443#4	910101	0
11102	11	11103	7#0|2#2#2#1|3#6	10444#41|16#50|10443#10	10444#15|10443#4	910102	0
11103	11	11104	7#0|2#3#2#1|3#6	10444#41|16#50|10443#10	10444#15|10443#4	910103	0
11104	11	11105	7#0|6#5|3#6	10444#41|16#50|10443#10	10444#15|10443#4	910104	0
11105	11	11106	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#10	10444#15|10443#4	910105	0
11106	11	11107	7#0|2#5#2#1|3#6	10444#41|16#50|10443#10	10444#15|10443#4	910106	0
11107	11	11108	7#0|1#3#2#1|3#6	10444#41|16#50|10443#10	10444#15|10443#4	910107	0
11108	11	11109	7#0|1#1#2#1|3#6	10444#41|16#50|10443#10	10444#15|10443#4	910108	0
11109	11	11110	7#0|1#2#2#1|3#6	10444#41|16#50|10443#10	10444#15|10443#4	910109	0
11110	11	11201	7#0|1#4#2#1|5#0	10444#41|16#50|10443#10	10444#15|10443#4	910110	1
11201	12	11202	7#0|2#1#1#3|3#6	10444#41|16#50|10443#10	10444#16|10443#4	910111	0
11202	12	11203	7#0|2#2#1#3|3#6	10444#41|16#50|10443#10	10444#16|10443#4	910112	0
11203	12	11204	7#0|2#3#1#3|3#6	10444#41|16#50|10443#10	10444#16|10443#4	910113	0
11204	12	11205	7#0|6#6|3#6	10444#41|16#50|10443#10	10444#16|10443#4	910114	0
11205	12	11206	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#10	10444#16|10443#4	910115	0
11206	12	11207	7#0|2#5#1#3|3#6	10444#41|16#50|10443#10	10444#16|10443#4	910116	0
11207	12	11208	7#0|1#3#1#3|3#6	10444#41|16#50|10443#10	10444#16|10443#4	910117	0
11208	12	11209	7#0|1#1#1#3|3#6	10444#41|16#50|10443#10	10444#16|10443#4	910118	0
11209	12	11210	7#0|1#2#1#3|3#6	10444#41|16#50|10443#10	10444#16|10443#4	910119	0
11210	12	11301	7#0|1#4#1#3|5#0	10444#41|16#50|10443#10	10444#16|10443#4	910120	1
11301	13	11302	7#0|2#1#2#1|3#6	10444#41|16#50|10443#13	10444#17|10443#5	910121	0
11302	13	11303	7#0|2#2#2#1|3#6	10444#41|16#50|10443#13	10444#17|10443#5	910122	0
11303	13	11304	7#0|2#3#2#1|3#6	10444#41|16#50|10443#13	10444#17|10443#5	910123	0
11304	13	11305	7#0|6#1|3#6	10444#41|16#50|10443#13	10444#17|10443#5	910124	0
11305	13	11306	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#13	10444#17|10443#5	910125	0
11306	13	11307	7#0|2#5#2#1|3#6	10444#41|16#50|10443#13	10444#17|10443#5	910126	0
11307	13	11308	7#0|1#3#2#1|3#6	10444#41|16#50|10443#13	10444#17|10443#5	910127	0
11308	13	11309	7#0|1#1#2#1|3#6	10444#41|16#50|10443#13	10444#17|10443#5	910128	0
11309	13	11310	7#0|1#2#2#1|3#6	10444#41|16#50|10443#13	10444#17|10443#5	910129	0
11310	13	11401	7#0|1#4#2#1|5#0	10444#41|16#50|10443#13	10444#17|10443#5	910130	1
11401	14	11402	7#0|2#1#1#3|3#6	10444#41|16#50|10443#13	10444#18|10443#5	910131	0
11402	14	11403	7#0|2#2#1#3|3#6	10444#41|16#50|10443#13	10444#18|10443#5	910132	0
11403	14	11404	7#0|2#3#1#3|3#6	10444#41|16#50|10443#13	10444#18|10443#5	910133	0
11404	14	11405	7#0|6#2|3#6	10444#41|16#50|10443#13	10444#18|10443#5	910134	0
11405	14	11406	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#13	10444#18|10443#5	910135	0
11406	14	11407	7#0|2#5#1#3|3#6	10444#41|16#50|10443#13	10444#18|10443#5	910136	0
11407	14	11408	7#0|1#3#1#3|3#6	10444#41|16#50|10443#13	10444#18|10443#5	910137	0
11408	14	11409	7#0|1#1#1#3|3#6	10444#41|16#50|10443#13	10444#18|10443#5	910138	0
11409	14	11410	7#0|1#2#1#3|3#6	10444#41|16#50|10443#13	10444#18|10443#5	910139	0
11410	14	11501	7#0|1#4#1#3|5#0	10444#41|16#50|10443#13	10444#18|10443#5	910140	1
11501	15	11502	7#0|2#1#2#1|3#6	10444#41|16#50|10443#13	10444#19|10443#5	910141	0
11502	15	11503	7#0|2#2#2#1|3#6	10444#41|16#50|10443#13	10444#19|10443#5	910142	0
11503	15	11504	7#0|2#3#2#1|3#6	10444#41|16#50|10443#13	10444#19|10443#5	910143	0
11504	15	11505	7#0|6#3|3#6	10444#41|16#50|10443#13	10444#19|10443#5	910144	0
11505	15	11506	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#13	10444#19|10443#5	910145	0
11506	15	11507	7#0|2#5#2#1|3#6	10444#41|16#50|10443#13	10444#19|10443#5	910146	0
11507	15	11508	7#0|1#3#2#1|3#6	10444#41|16#50|10443#13	10444#19|10443#5	910147	0
11508	15	11509	7#0|1#1#2#1|3#6	10444#41|16#50|10443#13	10444#19|10443#5	910148	0
11509	15	11510	7#0|1#2#2#1|3#6	10444#41|16#50|10443#13	10444#19|10443#5	910149	0
11510	15	11601	7#0|1#4#2#1|5#0	10444#41|16#50|10443#13	10444#19|10443#5	910150	1
11601	16	11602	7#0|2#1#1#3|3#6	10444#41|16#50|10443#13	10444#20|10443#5	910151	0
11602	16	11603	7#0|2#2#1#3|3#6	10444#41|16#50|10443#13	10444#20|10443#5	910152	0
11603	16	11604	7#0|2#3#1#3|3#6	10444#41|16#50|10443#13	10444#20|10443#5	910153	0
11604	16	11605	7#0|6#4|3#6	10444#41|16#50|10443#13	10444#20|10443#5	910154	0
11605	16	11606	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#13	10444#20|10443#5	910155	0
11606	16	11607	7#0|2#5#1#3|3#6	10444#41|16#50|10443#13	10444#20|10443#5	910156	0
11607	16	11608	7#0|1#3#1#3|3#6	10444#41|16#50|10443#13	10444#20|10443#5	910157	0
11608	16	11609	7#0|1#1#1#3|3#6	10444#41|16#50|10443#13	10444#20|10443#5	910158	0
11609	16	11610	7#0|1#2#1#3|3#6	10444#41|16#50|10443#13	10444#20|10443#5	910159	0
11610	16	11701	7#0|1#4#1#3|5#0	10444#41|16#50|10443#13	10444#20|10443#5	910160	1
11701	17	11702	7#0|2#1#2#1|3#6	10444#41|16#50|10443#16	10444#21|10443#6	910161	0
11702	17	11703	7#0|2#2#2#1|3#6	10444#41|16#50|10443#16	10444#21|10443#6	910162	0
11703	17	11704	7#0|2#3#2#1|3#6	10444#41|16#50|10443#16	10444#21|10443#6	910163	0
11704	17	11705	7#0|6#5|3#6	10444#41|16#50|10443#16	10444#21|10443#6	910164	0
11705	17	11706	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#16	10444#21|10443#6	910165	0
11706	17	11707	7#0|2#5#2#1|3#6	10444#41|16#50|10443#16	10444#21|10443#6	910166	0
11707	17	11708	7#0|1#3#2#1|3#6	10444#41|16#50|10443#16	10444#21|10443#6	910167	0
11708	17	11709	7#0|1#1#2#1|3#6	10444#41|16#50|10443#16	10444#21|10443#6	910168	0
11709	17	11710	7#0|1#2#2#1|3#6	10444#41|16#50|10443#16	10444#21|10443#6	910169	0
11710	17	11801	7#0|1#4#2#1|5#0	10444#41|16#50|10443#16	10444#21|10443#6	910170	1
11801	18	11802	7#0|2#1#1#3|3#6	10444#41|16#50|10443#16	10444#22|10443#6	910171	0
11802	18	11803	7#0|2#2#1#3|3#6	10444#41|16#50|10443#16	10444#22|10443#6	910172	0
11803	18	11804	7#0|2#3#1#3|3#6	10444#41|16#50|10443#16	10444#22|10443#6	910173	0
11804	18	11805	7#0|6#6|3#6	10444#41|16#50|10443#16	10444#22|10443#6	910174	0
11805	18	11806	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#16	10444#22|10443#6	910175	0
11806	18	11807	7#0|2#5#1#3|3#6	10444#41|16#50|10443#16	10444#22|10443#6	910176	0
11807	18	11808	7#0|1#3#1#3|3#6	10444#41|16#50|10443#16	10444#22|10443#6	910177	0
11808	18	11809	7#0|1#1#1#3|3#6	10444#41|16#50|10443#16	10444#22|10443#6	910178	0
11809	18	11810	7#0|1#2#1#3|3#6	10444#41|16#50|10443#16	10444#22|10443#6	910179	0
11810	18	11901	7#0|1#4#1#3|5#0	10444#41|16#50|10443#16	10444#22|10443#6	910180	1
11901	19	11902	7#0|2#1#2#1|3#6	10444#41|16#50|10443#16	10444#23|10443#6	910181	0
11902	19	11903	7#0|2#2#2#1|3#6	10444#41|16#50|10443#16	10444#23|10443#6	910182	0
11903	19	11904	7#0|2#3#2#1|3#6	10444#41|16#50|10443#16	10444#23|10443#6	910183	0
11904	19	11905	7#0|6#1|3#6	10444#41|16#50|10443#16	10444#23|10443#6	910184	0
11905	19	11906	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#16	10444#23|10443#6	910185	0
11906	19	11907	7#0|2#5#2#1|3#6	10444#41|16#50|10443#16	10444#23|10443#6	910186	0
11907	19	11908	7#0|1#3#2#1|3#6	10444#41|16#50|10443#16	10444#23|10443#6	910187	0
11908	19	11909	7#0|1#1#2#1|3#6	10444#41|16#50|10443#16	10444#23|10443#6	910188	0
11909	19	11910	7#0|1#2#2#1|3#6	10444#41|16#50|10443#16	10444#23|10443#6	910189	0
11910	19	12001	7#0|1#4#2#1|5#0	10444#41|16#50|10443#16	10444#23|10443#6	910190	1
12001	20	12002	7#0|2#1#1#3|3#6	10444#41|16#50|10443#16	10444#24|10443#6	910191	0
12002	20	12003	7#0|2#2#1#3|3#6	10444#41|16#50|10443#16	10444#24|10443#6	910192	0
12003	20	12004	7#0|2#3#1#3|3#6	10444#41|16#50|10443#16	10444#24|10443#6	910193	0
12004	20	12005	7#0|6#2|3#6	10444#41|16#50|10443#16	10444#24|10443#6	910194	0
12005	20	12006	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#16	10444#24|10443#6	910195	0
12006	20	12007	7#0|2#5#1#3|3#6	10444#41|16#50|10443#16	10444#24|10443#6	910196	0
12007	20	12008	7#0|1#3#1#3|3#6	10444#41|16#50|10443#16	10444#24|10443#6	910197	0
12008	20	12009	7#0|1#1#1#3|3#6	10444#41|16#50|10443#16	10444#24|10443#6	910198	0
12009	20	12010	7#0|1#2#1#3|3#6	10444#41|16#50|10443#16	10444#24|10443#6	910199	0
12010	20	12101	7#0|1#4#1#3|5#0	10444#41|16#50|10443#16	10444#24|10443#6	910200	1
12101	21	12102	7#0|2#1#2#1|3#6	10444#41|16#50|10443#19	10444#25|10443#7	910201	0
12102	21	12103	7#0|2#2#2#1|3#6	10444#41|16#50|10443#19	10444#25|10443#7	910202	0
12103	21	12104	7#0|2#3#2#1|3#6	10444#41|16#50|10443#19	10444#25|10443#7	910203	0
12104	21	12105	7#0|6#3|3#6	10444#41|16#50|10443#19	10444#25|10443#7	910204	0
12105	21	12106	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#19	10444#25|10443#7	910205	0
12106	21	12107	7#0|2#5#2#1|3#6	10444#41|16#50|10443#19	10444#25|10443#7	910206	0
12107	21	12108	7#0|1#3#2#1|3#6	10444#41|16#50|10443#19	10444#25|10443#7	910207	0
12108	21	12109	7#0|1#1#2#1|3#6	10444#41|16#50|10443#19	10444#25|10443#7	910208	0
12109	21	12110	7#0|1#2#2#1|3#6	10444#41|16#50|10443#19	10444#25|10443#7	910209	0
12110	21	12201	7#0|1#4#2#1|5#0	10444#41|16#50|10443#19	10444#25|10443#7	910210	1
12201	22	12202	7#0|2#1#1#3|3#6	10444#41|16#50|10443#19	10444#26|10443#7	910211	0
12202	22	12203	7#0|2#2#1#3|3#6	10444#41|16#50|10443#19	10444#26|10443#7	910212	0
12203	22	12204	7#0|2#3#1#3|3#6	10444#41|16#50|10443#19	10444#26|10443#7	910213	0
12204	22	12205	7#0|6#4|3#6	10444#41|16#50|10443#19	10444#26|10443#7	910214	0
12205	22	12206	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#19	10444#26|10443#7	910215	0
12206	22	12207	7#0|2#5#1#3|3#6	10444#41|16#50|10443#19	10444#26|10443#7	910216	0
12207	22	12208	7#0|1#3#1#3|3#6	10444#41|16#50|10443#19	10444#26|10443#7	910217	0
12208	22	12209	7#0|1#1#1#3|3#6	10444#41|16#50|10443#19	10444#26|10443#7	910218	0
12209	22	12210	7#0|1#2#1#3|3#6	10444#41|16#50|10443#19	10444#26|10443#7	910219	0
12210	22	12301	7#0|1#4#1#3|5#0	10444#41|16#50|10443#19	10444#26|10443#7	910220	1
12301	23	12302	7#0|2#1#2#1|3#6	10444#41|16#50|10443#19	10444#27|10443#7	910221	0
12302	23	12303	7#0|2#2#2#1|3#6	10444#41|16#50|10443#19	10444#27|10443#7	910222	0
12303	23	12304	7#0|2#3#2#1|3#6	10444#41|16#50|10443#19	10444#27|10443#7	910223	0
12304	23	12305	7#0|6#5|3#6	10444#41|16#50|10443#19	10444#27|10443#7	910224	0
12305	23	12306	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#19	10444#27|10443#7	910225	0
12306	23	12307	7#0|2#5#2#1|3#6	10444#41|16#50|10443#19	10444#27|10443#7	910226	0
12307	23	12308	7#0|1#3#2#1|3#6	10444#41|16#50|10443#19	10444#27|10443#7	910227	0
12308	23	12309	7#0|1#1#2#1|3#6	10444#41|16#50|10443#19	10444#27|10443#7	910228	0
12309	23	12310	7#0|1#2#2#1|3#6	10444#41|16#50|10443#19	10444#27|10443#7	910229	0
12310	23	12401	7#0|1#4#2#1|5#0	10444#41|16#50|10443#19	10444#27|10443#7	910230	1
12401	24	12402	7#0|2#1#1#3|3#6	10444#41|16#50|10443#19	10444#28|10443#7	910231	0
12402	24	12403	7#0|2#2#1#3|3#6	10444#41|16#50|10443#19	10444#28|10443#7	910232	0
12403	24	12404	7#0|2#3#1#3|3#6	10444#41|16#50|10443#19	10444#28|10443#7	910233	0
12404	24	12405	7#0|6#6|3#6	10444#41|16#50|10443#19	10444#28|10443#7	910234	0
12405	24	12406	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#19	10444#28|10443#7	910235	0
12406	24	12407	7#0|2#5#1#3|3#6	10444#41|16#50|10443#19	10444#28|10443#7	910236	0
12407	24	12408	7#0|1#3#1#3|3#6	10444#41|16#50|10443#19	10444#28|10443#7	910237	0
12408	24	12409	7#0|1#1#1#3|3#6	10444#41|16#50|10443#19	10444#28|10443#7	910238	0
12409	24	12410	7#0|1#2#1#3|3#6	10444#41|16#50|10443#19	10444#28|10443#7	910239	0
12410	24	12501	7#0|1#4#1#3|5#0	10444#41|16#50|10443#19	10444#28|10443#7	910240	1
12501	25	12502	7#0|2#1#2#1|3#6	10444#41|16#50|10443#22	10444#29|10443#8	910241	0
12502	25	12503	7#0|2#2#2#1|3#6	10444#41|16#50|10443#22	10444#29|10443#8	910242	0
12503	25	12504	7#0|2#3#2#1|3#6	10444#41|16#50|10443#22	10444#29|10443#8	910243	0
12504	25	12505	7#0|6#1|3#6	10444#41|16#50|10443#22	10444#29|10443#8	910244	0
12505	25	12506	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#22	10444#29|10443#8	910245	0
12506	25	12507	7#0|2#5#2#1|3#6	10444#41|16#50|10443#22	10444#29|10443#8	910246	0
12507	25	12508	7#0|1#3#2#1|3#6	10444#41|16#50|10443#22	10444#29|10443#8	910247	0
12508	25	12509	7#0|1#1#2#1|3#6	10444#41|16#50|10443#22	10444#29|10443#8	910248	0
12509	25	12510	7#0|1#2#2#1|3#6	10444#41|16#50|10443#22	10444#29|10443#8	910249	0
12510	25	12601	7#0|1#4#2#1|5#0	10444#41|16#50|10443#22	10444#29|10443#8	910250	1
12601	26	12602	7#0|2#1#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910251	0
12602	26	12603	7#0|2#2#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910252	0
12603	26	12604	7#0|2#3#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910253	0
12604	26	12605	7#0|6#2|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910254	0
12605	26	12606	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#22	10444#30|10443#8	910255	0
12606	26	12607	7#0|2#5#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910256	0
12607	26	12608	7#0|1#3#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910257	0
12608	26	12609	7#0|1#1#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910258	0
12609	26	12610	7#0|1#2#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910259	0
12610	26	12701	7#0|1#4#1#3|5#0	10444#41|16#50|10443#22	10444#30|10443#8	910260	1
12701	27	12702	7#0|2#1#2#1|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910261	0
12702	27	12703	7#0|2#2#2#1|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910262	0
12703	27	12704	7#0|2#3#2#1|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910263	0
