Id	Type	Level	PoolID	Property	JewelExpend	UpExpend
87	1	35	2	1#72960	null	29#6250|14#25000
88	1	36	2	1#76080	null	29#6500|14#26000
89	1	37	2	1#79200	null	29#6750|14#27000
90	1	38	2	1#82320	null	29#7000|14#28000
91	1	39	2	1#85440	null	29#7250|14#29000
92	1	40	2	1#89760	null	29#7500|14#30000
93	1	41	2	1#94080	null	29#7800|14#31200
94	1	42	2	1#98400	null	29#8100|14#32400
95	1	43	2	1#102720	null	29#8400|14#33600
96	1	44	2	1#107040	null	29#8700|14#34800
97	1	45	2	1#111360	null	29#9000|14#36000
98	1	46	2	1#115680	null	29#9300|14#37200
99	1	47	2	1#120000	null	29#9600|14#38400
100	1	48	2	1#124320	null	29#9900|14#39600
101	1	49	2	1#128640	null	29#10200|14#40800
102	1	50	2	1#133680	null	
103	1	0	3	1#16000	null	29#500|14#2000
104	1	1	3	1#16960	null	29#600|14#2400
105	1	2	3	1#17920	null	29#700|14#2800
106	1	3	3	1#18880	null	29#800|14#3200
107	1	4	3	1#19840	null	29#900|14#3600
108	1	5	3	1#20800	null	29#1000|14#4000
109	1	6	3	1#21760	null	29#1100|14#4400
110	1	7	3	1#22720	null	29#1200|14#4800
111	1	8	3	1#23680	null	29#1300|14#5200
112	1	9	3	1#24640	null	29#1400|14#5600
113	1	10	3	1#26080	null	29#1500|14#6000
114	1	11	3	1#27520	null	29#1650|14#6600
115	1	12	3	1#28960	null	29#1800|14#7200
116	1	13	3	1#30400	null	29#1950|14#7800
117	1	14	3	1#31840	null	29#2100|14#8400
118	1	15	3	1#33280	null	29#2250|14#9000
119	1	16	3	1#34720	null	29#2400|14#9600
120	1	17	3	1#36160	null	29#2550|14#10200
121	1	18	3	1#37600	null	29#2700|14#10800
122	1	19	3	1#39040	null	29#2850|14#11400
123	1	20	3	1#41200	null	29#3000|14#12000
124	1	21	3	1#43360	null	29#3200|14#12800
125	1	22	3	1#45520	null	29#3400|14#13600
126	1	23	3	1#47680	null	29#3600|14#14400
127	1	24	3	1#49840	null	29#3800|14#15200
128	1	25	3	1#52000	null	29#4000|14#16000
129	1	26	3	1#54160	null	29#4200|14#16800
130	1	27	3	1#56320	null	29#4400|14#17600
131	1	28	3	1#58480	null	29#4600|14#18400
132	1	29	3	1#60640	null	29#4800|14#19200
133	1	30	3	1#63760	null	29#5000|14#20000
134	1	31	3	1#66880	null	29#5250|14#21000
135	1	32	3	1#70000	null	29#5500|14#22000
136	1	33	3	1#73120	null	29#5750|14#23000
137	1	34	3	1#76240	null	29#6000|14#24000
138	1	35	3	1#79360	null	29#6250|14#25000
139	1	36	3	1#82480	null	29#6500|14#26000
140	1	37	3	1#85600	null	29#6750|14#27000
141	1	38	3	1#88720	null	29#7000|14#28000
142	1	39	3	1#91840	null	29#7250|14#29000
143	1	40	3	1#96160	null	29#7500|14#30000
144	1	41	3	1#100480	null	29#7800|14#31200
145	1	42	3	1#104800	null	29#8100|14#32400
146	1	43	3	1#109120	null	29#8400|14#33600
147	1	44	3	1#113440	null	29#8700|14#34800
148	1	45	3	1#117760	null	29#9000|14#36000
149	1	46	3	1#122080	null	29#9300|14#37200
150	1	47	3	1#126400	null	29#9600|14#38400
151	1	48	3	1#130720	null	29#9900|14#39600
152	1	49	3	1#135040	null	29#10200|14#40800
153	1	50	3	1#140080	null	
154	1	0	4	1#24000	null	29#500|14#2000
155	1	1	4	1#24960	null	29#600|14#2400
156	1	2	4	1#25920	null	29#700|14#2800
157	1	3	4	1#26880	null	29#800|14#3200
158	1	4	4	1#27840	null	29#900|14#3600
159	1	5	4	1#28800	null	29#1000|14#4000
160	1	6	4	1#29760	null	29#1100|14#4400
161	1	7	4	1#30720	null	29#1200|14#4800
162	1	8	4	1#31680	null	29#1300|14#5200
163	1	9	4	1#32640	null	29#1400|14#5600
164	1	10	4	1#34080	null	29#1500|14#6000
165	1	11	4	1#35520	null	29#1650|14#6600
166	1	12	4	1#36960	null	29#1800|14#7200
167	1	13	4	1#38400	null	29#1950|14#7800
168	1	14	4	1#39840	null	29#2100|14#8400
169	1	15	4	1#41280	null	29#2250|14#9000
170	1	16	4	1#42720	null	29#2400|14#9600
171	1	17	4	1#44160	null	29#2550|14#10200
172	1	18	4	1#45600	null	29#2700|14#10800
173	1	19	4	1#47040	null	29#2850|14#11400
174	1	20	4	1#49200	null	29#3000|14#12000
175	1	21	4	1#51360	null	29#3200|14#12800
176	1	22	4	1#53520	null	29#3400|14#13600
177	1	23	4	1#55680	null	29#3600|14#14400
178	1	24	4	1#57840	null	29#3800|14#15200
179	1	25	4	1#60000	null	29#4000|14#16000
180	1	26	4	1#62160	null	29#4200|14#16800
181	1	27	4	1#64320	null	29#4400|14#17600
182	1	28	4	1#66480	null	29#4600|14#18400
183	1	29	4	1#68640	null	29#4800|14#19200
184	1	30	4	1#71760	null	29#5000|14#20000
185	1	31	4	1#74880	null	29#5250|14#21000
186	1	32	4	1#78000	null	29#5500|14#22000
187	1	33	4	1#81120	null	29#5750|14#23000
188	1	34	4	1#84240	null	29#6000|14#24000
189	1	35	4	1#87360	null	29#6250|14#25000
190	1	36	4	1#90480	null	29#6500|14#26000
191	1	37	4	1#93600	null	29#6750|14#27000
192	1	38	4	1#96720	null	29#7000|14#28000
193	1	39	4	1#99840	null	29#7250|14#29000
194	1	40	4	1#104160	null	29#7500|14#30000
195	1	41	4	1#108480	null	29#7800|14#31200
196	1	42	4	1#112800	null	29#8100|14#32400
197	1	43	4	1#117120	null	29#8400|14#33600
198	1	44	4	1#121440	null	29#8700|14#34800
199	1	45	4	1#125760	null	29#9000|14#36000
200	1	46	4	1#130080	null	29#9300|14#37200
201	1	47	4	1#134400	null	29#9600|14#38400
202	1	48	4	1#138720	null	29#9900|14#39600
203	1	49	4	1#143040	null	29#10200|14#40800
204	1	50	4	1#148080	null	
205	1	0	5	1#32000	null	29#500|14#2000
206	1	1	5	1#32960	null	29#600|14#2400
207	1	2	5	1#33920	null	29#700|14#2800
208	1	3	5	1#34880	null	29#800|14#3200
209	1	4	5	1#35840	null	29#900|14#3600
210	1	5	5	1#36800	null	29#1000|14#4000
211	1	6	5	1#37760	null	29#1100|14#4400
212	1	7	5	1#38720	null	29#1200|14#4800
213	1	8	5	1#39680	null	29#1300|14#5200
214	1	9	5	1#40640	null	29#1400|14#5600
215	1	10	5	1#42080	null	29#1500|14#6000
216	1	11	5	1#43520	null	29#1650|14#6600
217	1	12	5	1#44960	null	29#1800|14#7200
218	1	13	5	1#46400	null	29#1950|14#7800
219	1	14	5	1#47840	null	29#2100|14#8400
220	1	15	5	1#49280	null	29#2250|14#9000
221	1	16	5	1#50720	null	29#2400|14#9600
222	1	17	5	1#52160	null	29#2550|14#10200
223	1	18	5	1#53600	null	29#2700|14#10800
224	1	19	5	1#55040	null	29#2850|14#11400
225	1	20	5	1#57200	null	29#3000|14#12000
226	1	21	5	1#59360	null	29#3200|14#12800
227	1	22	5	1#61520	null	29#3400|14#13600
228	1	23	5	1#63680	null	29#3600|14#14400
229	1	24	5	1#65840	null	29#3800|14#15200
230	1	25	5	1#68000	null	29#4000|14#16000
231	1	26	5	1#70160	null	29#4200|14#16800
232	1	27	5	1#72320	null	29#4400|14#17600
233	1	28	5	1#74480	null	29#4600|14#18400
234	1	29	5	1#76640	null	29#4800|14#19200
235	1	30	5	1#79760	null	29#5000|14#20000
236	1	31	5	1#82880	null	29#5250|14#21000
237	1	32	5	1#86000	null	29#5500|14#22000
238	1	33	5	1#89120	null	29#5750|14#23000
239	1	34	5	1#92240	null	29#6000|14#24000
240	1	35	5	1#95360	null	29#6250|14#25000
241	1	36	5	1#98480	null	29#6500|14#26000
242	1	37	5	1#101600	null	29#6750|14#27000
243	1	38	5	1#104720	null	29#7000|14#28000
244	1	39	5	1#107840	null	29#7250|14#29000
245	1	40	5	1#112160	null	29#7500|14#30000
246	1	41	5	1#116480	null	29#7800|14#31200
247	1	42	5	1#120800	null	29#8100|14#32400
248	1	43	5	1#125120	null	29#8400|14#33600
249	1	44	5	1#129440	null	29#8700|14#34800
250	1	45	5	1#133760	null	29#9000|14#36000
251	1	46	5	1#138080	null	29#9300|14#37200
252	1	47	5	1#142400	null	29#9600|14#38400
253	1	48	5	1#146720	null	29#9900|14#39600
254	1	49	5	1#151040	null	29#10200|14#40800
255	1	50	5	1#156080	null	
256	1	0	6	2#480	null	29#500|14#2000
257	1	1	6	2#576	null	29#600|14#2400
258	1	2	6	2#672	null	29#700|14#2800
259	1	3	6	2#768	null	29#800|14#3200
260	1	4	6	2#864	null	29#900|14#3600
261	1	5	6	2#960	null	29#1000|14#4000
262	1	6	6	2#1056	null	29#1100|14#4400
263	1	7	6	2#1152	null	29#1200|14#4800
264	1	8	6	2#1248	null	29#1300|14#5200
265	1	9	6	2#1344	null	29#1400|14#5600
266	1	10	6	2#1488	null	29#1500|14#6000
267	1	11	6	2#1632	null	29#1650|14#6600
268	1	12	6	2#1776	null	29#1800|14#7200
269	1	13	6	2#1920	null	29#1950|14#7800
270	1	14	6	2#2064	null	29#2100|14#8400
271	1	15	6	2#2208	null	29#2250|14#9000
272	1	16	6	2#2352	null	29#2400|14#9600
273	1	17	6	2#2496	null	29#2550|14#10200
274	1	18	6	2#2640	null	29#2700|14#10800
275	1	19	6	2#2784	null	29#2850|14#11400
276	1	20	6	2#3000	null	29#3000|14#12000
277	1	21	6	2#3216	null	29#3200|14#12800
278	1	22	6	2#3432	null	29#3400|14#13600
279	1	23	6	2#3648	null	29#3600|14#14400
280	1	24	6	2#3864	null	29#3800|14#15200
281	1	25	6	2#4080	null	29#4000|14#16000
282	1	26	6	2#4296	null	29#4200|14#16800
283	1	27	6	2#4512	null	29#4400|14#17600
284	1	28	6	2#4728	null	29#4600|14#18400
285	1	29	6	2#4944	null	29#4800|14#19200
286	1	30	6	2#5256	null	29#5000|14#20000
287	1	31	6	2#5568	null	29#5250|14#21000
288	1	32	6	2#5880	null	29#5500|14#22000
289	1	33	6	2#6192	null	29#5750|14#23000
290	1	34	6	2#6504	null	29#6000|14#24000
291	1	35	6	2#6816	null	29#6250|14#25000
292	1	36	6	2#7128	null	29#6500|14#26000
293	1	37	6	2#7440	null	29#6750|14#27000
294	1	38	6	2#7752	null	29#7000|14#28000
295	1	39	6	2#8064	null	29#7250|14#29000
296	1	40	6	2#8496	null	29#7500|14#30000
297	1	41	6	2#8928	null	29#7800|14#31200
298	1	42	6	2#9360	null	29#8100|14#32400
299	1	43	6	2#9792	null	29#8400|14#33600
300	1	44	6	2#10224	null	29#8700|14#34800
301	1	45	6	2#10656	null	29#9000|14#36000
302	1	46	6	2#11088	null	29#9300|14#37200
303	1	47	6	2#11520	null	29#9600|14#38400
304	1	48	6	2#11952	null	29#9900|14#39600
305	1	49	6	2#12384	null	29#10200|14#40800
306	1	50	6	2#12888	null	
307	1	0	7	2#960	null	29#500|14#2000
308	1	1	7	2#1056	null	29#600|14#2400
309	1	2	7	2#1152	null	29#700|14#2800
310	1	3	7	2#1248	null	29#800|14#3200
311	1	4	7	2#1344	null	29#900|14#3600
312	1	5	7	2#1440	null	29#1000|14#4000
313	1	6	7	2#1536	null	29#1100|14#4400
314	1	7	7	2#1632	null	29#1200|14#4800
315	1	8	7	2#1728	null	29#1300|14#5200
316	1	9	7	2#1824	null	29#1400|14#5600
317	1	10	7	2#1968	null	29#1500|14#6000
318	1	11	7	2#2112	null	29#1650|14#6600
319	1	12	7	2#2256	null	29#1800|14#7200
320	1	13	7	2#2400	null	29#1950|14#7800
321	1	14	7	2#2544	null	29#2100|14#8400
322	1	15	7	2#2688	null	29#2250|14#9000
323	1	16	7	2#2832	null	29#2400|14#9600
324	1	17	7	2#2976	null	29#2550|14#10200
325	1	18	7	2#3120	null	29#2700|14#10800
326	1	19	7	2#3264	null	29#2850|14#11400
327	1	20	7	2#3480	null	29#3000|14#12000
328	1	21	7	2#3696	null	29#3200|14#12800
329	1	22	7	2#3912	null	29#3400|14#13600
330	1	23	7	2#4128	null	29#3600|14#14400
331	1	24	7	2#4344	null	29#3800|14#15200
332	1	25	7	2#4560	null	29#4000|14#16000
333	1	26	7	2#4776	null	29#4200|14#16800
334	1	27	7	2#4992	null	29#4400|14#17600
335	1	28	7	2#5208	null	29#4600|14#18400
336	1	29	7	2#5424	null	29#4800|14#19200
337	1	30	7	2#5736	null	29#5000|14#20000
338	1	31	7	2#6048	null	29#5250|14#21000
339	1	32	7	2#6360	null	29#5500|14#22000
340	1	33	7	2#6672	null	29#5750|14#23000
341	1	34	7	2#6984	null	29#6000|14#24000
342	1	35	7	2#7296	null	29#6250|14#25000
343	1	36	7	2#7608	null	29#6500|14#26000
344	1	37	7	2#7920	null	29#6750|14#27000
345	1	38	7	2#8232	null	29#7000|14#28000
346	1	39	7	2#8544	null	29#7250|14#29000
347	1	40	7	2#8976	null	29#7500|14#30000
348	1	41	7	2#9408	null	29#7800|14#31200
349	1	42	7	2#9840	null	29#8100|14#32400
350	1	43	7	2#10272	null	29#8400|14#33600
351	1	44	7	2#10704	null	29#8700|14#34800
352	1	45	7	2#11136	null	29#9000|14#36000
353	1	46	7	2#11568	null	29#9300|14#37200
354	1	47	7	2#12000	null	29#9600|14#38400
355	1	48	7	2#12432	null	29#9900|14#39600
356	1	49	7	2#12864	null	29#10200|14#40800
357	1	50	7	2#13368	null	
358	1	0	8	2#1600	null	29#500|14#2000
359	1	1	8	2#1696	null	29#600|14#2400
360	1	2	8	2#1792	null	29#700|14#2800
361	1	3	8	2#1888	null	29#800|14#3200
362	1	4	8	2#1984	null	29#900|14#3600
363	1	5	8	2#2080	null	29#1000|14#4000
364	1	6	8	2#2176	null	29#1100|14#4400
365	1	7	8	2#2272	null	29#1200|14#4800
366	1	8	8	2#2368	null	29#1300|14#5200
367	1	9	8	2#2464	null	29#1400|14#5600
368	1	10	8	2#2608	null	29#1500|14#6000
369	1	11	8	2#2752	null	29#1650|14#6600
370	1	12	8	2#2896	null	29#1800|14#7200
371	1	13	8	2#3040	null	29#1950|14#7800
372	1	14	8	2#3184	null	29#2100|14#8400
373	1	15	8	2#3328	null	29#2250|14#9000
374	1	16	8	2#3472	null	29#2400|14#9600
375	1	17	8	2#3616	null	29#2550|14#10200
376	1	18	8	2#3760	null	29#2700|14#10800
377	1	19	8	2#3904	null	29#2850|14#11400
378	1	20	8	2#4120	null	29#3000|14#12000
379	1	21	8	2#4336	null	29#3200|14#12800
380	1	22	8	2#4552	null	29#3400|14#13600
381	1	23	8	2#4768	null	29#3600|14#14400
382	1	24	8	2#4984	null	29#3800|14#15200
383	1	25	8	2#5200	null	29#4000|14#16000
384	1	26	8	2#5416	null	29#4200|14#16800
385	1	27	8	2#5632	null	29#4400|14#17600
386	1	28	8	2#5848	null	29#4600|14#18400
387	1	29	8	2#6064	null	29#4800|14#19200
388	1	30	8	2#6376	null	29#5000|14#20000
389	1	31	8	2#6688	null	29#5250|14#21000
390	1	32	8	2#7000	null	29#5500|14#22000
391	1	33	8	2#7312	null	29#5750|14#23000
392	1	34	8	2#7624	null	29#6000|14#24000
393	1	35	8	2#7936	null	29#6250|14#25000
394	1	36	8	2#8248	null	29#6500|14#26000
395	1	37	8	2#8560	null	29#6750|14#27000
396	1	38	8	2#8872	null	29#7000|14#28000
397	1	39	8	2#9184	null	29#7250|14#29000
398	1	40	8	2#9616	null	29#7500|14#30000
399	1	41	8	2#10048	null	29#7800|14#31200
400	1	42	8	2#10480	null	29#8100|14#32400
401	1	43	8	2#10912	null	29#8400|14#33600
402	1	44	8	2#11344	null	29#8700|14#34800
403	1	45	8	2#11776	null	29#9000|14#36000
404	1	46	8	2#12208	null	29#9300|14#37200
405	1	47	8	2#12640	null	29#9600|14#38400
406	1	48	8	2#13072	null	29#9900|14#39600
407	1	49	8	2#13504	null	29#10200|14#40800
408	1	50	8	2#14008	null	
409	1	0	9	2#2400	null	29#500|14#2000
410	1	1	9	2#2496	null	29#600|14#2400
411	1	2	9	2#2592	null	29#700|14#2800
412	1	3	9	2#2688	null	29#800|14#3200
413	1	4	9	2#2784	null	29#900|14#3600
414	1	5	9	2#2880	null	29#1000|14#4000
415	1	6	9	2#2976	null	29#1100|14#4400
416	1	7	9	2#3072	null	29#1200|14#4800
417	1	8	9	2#3168	null	29#1300|14#5200
418	1	9	9	2#3264	null	29#1400|14#5600
419	1	10	9	2#3408	null	29#1500|14#6000
420	1	11	9	2#3552	null	29#1650|14#6600
421	1	12	9	2#3696	null	29#1800|14#7200
422	1	13	9	2#3840	null	29#1950|14#7800
423	1	14	9	2#3984	null	29#2100|14#8400
424	1	15	9	2#4128	null	29#2250|14#9000
425	1	16	9	2#4272	null	29#2400|14#9600
426	1	17	9	2#4416	null	29#2550|14#10200
427	1	18	9	2#4560	null	29#2700|14#10800
428	1	19	9	2#4704	null	29#2850|14#11400
429	1	20	9	2#4920	null	29#3000|14#12000
430	1	21	9	2#5136	null	29#3200|14#12800
431	1	22	9	2#5352	null	29#3400|14#13600
432	1	23	9	2#5568	null	29#3600|14#14400
433	1	24	9	2#5784	null	29#3800|14#15200
434	1	25	9	2#6000	null	29#4000|14#16000
435	1	26	9	2#6216	null	29#4200|14#16800
436	1	27	9	2#6432	null	29#4400|14#17600
437	1	28	9	2#6648	null	29#4600|14#18400
438	1	29	9	2#6864	null	29#4800|14#19200
439	1	30	9	2#7176	null	29#5000|14#20000
440	1	31	9	2#7488	null	29#5250|14#21000
441	1	32	9	2#7800	null	29#5500|14#22000
442	1	33	9	2#8112	null	29#5750|14#23000
443	1	34	9	2#8424	null	29#6000|14#24000
444	1	35	9	2#8736	null	29#6250|14#25000
445	1	36	9	2#9048	null	29#6500|14#26000
446	1	37	9	2#9360	null	29#6750|14#27000
447	1	38	9	2#9672	null	29#7000|14#28000
448	1	39	9	2#9984	null	29#7250|14#29000
449	1	40	9	2#10416	null	29#7500|14#30000
450	1	41	9	2#10848	null	29#7800|14#31200
451	1	42	9	2#11280	null	29#8100|14#32400
452	1	43	9	2#11712	null	29#8400|14#33600
453	1	44	9	2#12144	null	29#8700|14#34800
454	1	45	9	2#12576	null	29#9000|14#36000
455	1	46	9	2#13008	null	29#9300|14#37200
456	1	47	9	2#13440	null	29#9600|14#38400
457	1	48	9	2#13872	null	29#9900|14#39600
458	1	49	9	2#14304	null	29#10200|14#40800
459	1	50	9	2#14808	null	
460	1	0	10	2#3200	null	29#500|14#2000
461	1	1	10	2#3296	null	29#600|14#2400
462	1	2	10	2#3392	null	29#700|14#2800
463	1	3	10	2#3488	null	29#800|14#3200
464	1	4	10	2#3584	null	29#900|14#3600
465	1	5	10	2#3680	null	29#1000|14#4000
466	1	6	10	2#3776	null	29#1100|14#4400
467	1	7	10	2#3872	null	29#1200|14#4800
468	1	8	10	2#3968	null	29#1300|14#5200
469	1	9	10	2#4064	null	29#1400|14#5600
470	1	10	10	2#4208	null	29#1500|14#6000
471	1	11	10	2#4352	null	29#1650|14#6600
472	1	12	10	2#4496	null	29#1800|14#7200
473	1	13	10	2#4640	null	29#1950|14#7800
474	1	14	10	2#4784	null	29#2100|14#8400
475	1	15	10	2#4928	null	29#2250|14#9000
476	1	16	10	2#5072	null	29#2400|14#9600
477	1	17	10	2#5216	null	29#2550|14#10200
478	1	18	10	2#5360	null	29#2700|14#10800
479	1	19	10	2#5504	null	29#2850|14#11400
480	1	20	10	2#5720	null	29#3000|14#12000
481	1	21	10	2#5936	null	29#3200|14#12800
482	1	22	10	2#6152	null	29#3400|14#13600
483	1	23	10	2#6368	null	29#3600|14#14400
484	1	24	10	2#6584	null	29#3800|14#15200
485	1	25	10	2#6800	null	29#4000|14#16000
486	1	26	10	2#7016	null	29#4200|14#16800
487	1	27	10	2#7232	null	29#4400|14#17600
488	1	28	10	2#7448	null	29#4600|14#18400
489	1	29	10	2#7664	null	29#4800|14#19200
490	1	30	10	2#7976	null	29#5000|14#20000
491	1	31	10	2#8288	null	29#5250|14#21000
492	1	32	10	2#8600	null	29#5500|14#22000
493	1	33	10	2#8912	null	29#5750|14#23000
494	1	34	10	2#9224	null	29#6000|14#24000
495	1	35	10	2#9536	null	29#6250|14#25000
496	1	36	10	2#9848	null	29#6500|14#26000
497	1	37	10	2#10160	null	29#6750|14#27000
498	1	38	10	2#10472	null	29#7000|14#28000
499	1	39	10	2#10784	null	29#7250|14#29000
500	1	40	10	2#11216	null	29#7500|14#30000
501	1	41	10	2#11648	null	29#7800|14#31200
502	1	42	10	2#12080	null	29#8100|14#32400
503	1	43	10	2#12512	null	29#8400|14#33600
504	1	44	10	2#12944	null	29#8700|14#34800
505	1	45	10	2#13376	null	29#9000|14#36000
506	1	46	10	2#13808	null	29#9300|14#37200
507	1	47	10	2#14240	null	29#9600|14#38400
508	1	48	10	2#14672	null	29#9900|14#39600
509	1	49	10	2#15104	null	29#10200|14#40800
510	1	50	10	2#15608	null	
511	2	0	1	1#0|55#0	100001#1	32#5|14#20000
512	2	1	1	1#1600|55#100	100001#2	32#10|14#40000
513	2	2	1	1#3200|55#150	100001#3	32#15|14#60000
514	2	3	1	1#4800|55#200	100001#4	32#20|14#80000
515	2	4	1	1#6400|55#250	100001#5	32#25|14#100000
516	2	5	1	1#8000|55#300	100001#6	32#30|14#120000
517	2	6	1	1#10400|55#350	100002#1	32#35|14#140000
518	2	7	1	1#12800|55#400	100002#2	32#40|14#160000
519	2	8	1	1#15200|55#450	100002#3	32#45|14#180000
520	2	9	1	1#17600|55#500	100002#4	32#50|14#200000
521	2	10	1	1#20000|55#550	100002#5	32#55|14#220000
522	2	11	1	1#23200|55#600	100002#6	32#60|14#240000
523	2	12	1	1#26400|55#650	100003#1	32#65|14#260000
524	2	13	1	1#29600|55#700	100003#2	32#70|14#280000
525	2	14	1	1#32800|55#750	100003#3	32#75|14#300000
526	2	15	1	1#36000|55#800	100003#4	32#80|14#320000
527	2	16	1	1#40000|55#850	100003#5	32#85|14#340000
528	2	17	1	1#44000|55#900	100003#6	32#90|14#360000
529	2	18	1	1#48000|55#950	100004#1	32#95|14#380000
530	2	19	1	1#52000|55#1000	100004#2	32#100|14#400000
531	2	20	1	1#56000|55#1050	100004#3	32#105|14#420000
532	2	21	1	1#60800|55#1100	100004#4	32#110|14#440000
533	2	22	1	1#65600|55#1150	100004#5	32#115|14#460000
534	2	23	1	1#70400|55#1200	100004#6	32#120|14#480000
535	2	24	1	1#75200|55#1250	100005#1	32#125|14#500000
536	2	25	1	1#80000|55#1300	100005#2	32#130|14#520000
537	2	26	1	1#85600|55#1350	100005#3	32#135|14#540000
538	2	27	1	1#91200|55#1400	100005#4	32#140|14#560000
539	2	28	1	1#96800|55#1450	100005#5	32#145|14#580000
540	2	29	1	1#102400|55#1500	100005#6	32#150|14#600000
541	2	30	1	1#108000|55#1550	null	
562	2	0	2	1#0|60#0	100006#1	32#5|14#20000
563	2	1	2	1#160|60#100	100006#2	32#10|14#40000
564	2	2	2	1#320|60#150	100006#3	32#15|14#60000
565	2	3	2	1#480|60#200	100006#4	32#20|14#80000
566	2	4	2	1#640|60#250	100006#5	32#25|14#100000
567	2	5	2	1#800|60#300	100006#6	32#30|14#120000
568	2	6	2	1#1040|60#350	100007#1	32#35|14#140000
569	2	7	2	1#1280|60#400	100007#2	32#40|14#160000
570	2	8	2	1#1520|60#450	100007#3	32#45|14#180000
571	2	9	2	1#1760|60#500	100007#4	32#50|14#200000
572	2	10	2	1#2000|60#550	100007#5	32#55|14#220000
