id	Event	Groups	isMustAppear	location
43	6001001	1#1|2#1|3#1|4#1|5#1|6#1|7#1|8#1|9#1|10#1|11#1|12#1|13#1|14#1|15#1|16#1|17#1|18#1|19#1|20#1|21#1|22#1|23#1|24#1|25#1|26#1|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|11#2|12#2|13#2|14#2|15#2|16#2|17#2|18#2|19#2|20#2|21#2|22#2|23#2|24#2|25#2|26#2|1#3|2#3|3#3|4#3|5#3|6#3|7#3|8#3|9#3|10#3|11#3|12#3|13#3|14#3|15#3|16#3|17#3|18#3|19#3|20#3|21#3|22#3|23#3|24#3|25#3|26#3|1#4|2#4|3#4|4#4|5#4|6#4|7#4|8#4|9#4|10#4|11#4|12#4|13#4|14#4|15#4|16#4|17#4|18#4|19#4|20#4|21#4|22#4|23#4|24#4|25#4|26#4|1#5|2#5|3#5|4#5|5#5|6#5|7#5|8#5|16#5|17#5|18#5|19#5|23#5|24#5|25#5|26#5|1#6|2#6|3#6|4#6|5#6|6#6|7#6|8#6|10#6|11#6|12#6|13#6|14#6|16#6|17#6|18#6|19#6|21#6|23#6|25#6|26#6|1#7|2#7|3#7|4#7|5#7|6#7|7#7|8#7|10#7|11#7|12#7|13#7|14#7|16#7|21#7|23#7|25#7|26#7|1#8|2#8|3#8|4#8|5#8|6#8|7#8|8#8|11#8|12#8|13#8|14#8|16#8|18#8|19#8|20#8|21#8|23#8|25#8|26#8|1#9|2#9|3#9|4#9|5#9|6#9|7#9|8#9|9#9|11#9|12#9|13#9|14#9|16#9|18#9|19#9|23#9|25#9|26#9|1#10|2#10|3#10|4#10|8#10|9#10|11#10|12#10|13#10|16#10|18#10|19#10|21#10|22#10|23#10|25#10|26#10|1#11|2#11|3#11|4#11|6#11|8#11|9#11|11#11|12#11|13#11|15#11|16#11|18#11|19#11|23#11|25#11|26#11|1#12|2#12|3#12|4#12|6#12|8#12|9#12|11#12|12#12|13#12|18#12|19#12|20#12|21#12|23#12|25#12|26#12|1#13|2#13|3#13|4#13|5#13|6#13|11#13|12#13|13#13|14#13|15#13|16#13|17#13|18#13|19#13|20#13|21#13|25#13|26#13|1#14|2#14|3#14|4#14|5#14|6#14|7#14|8#14|9#14|10#14|11#14|12#14|13#14|14#14|15#14|16#14|17#14|18#14|19#14|20#14|21#14|22#14|23#14|24#14|25#14|26#14|1#15|2#15|3#15|4#15|5#15|6#15|7#15|8#15|9#15|10#15|11#15|12#15|13#15|14#15|15#15|16#15|17#15|18#15|19#15|20#15|21#15|22#15|23#15|24#15|25#15|26#15	1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
44	6001006	24#10	0	66
45	6001003	22#5	0	49
46	6001006	15#6	0	27
47	0	22#12	1	60
48	6001004	17#9	0	40
49	6001007	14#10	1	32
50	0	23#13	1	62
51	0	24#13	1	63
52	0	9#5	1	20
53	0	24#12	1	64
54	0	10#5	1	21
55	0	13#5	1	24
56	0	24#8	1	68
57	0	24#7	1	69
58	0	15#5	1	26
59	0	15#7	1	28
60	6001010	19#7	1	44
61	6001003	22#9	0	53
62	6001003	22#11	0	59
63	6001003	9#7	0	18
64	6001003	10#13	0	11
65	0	15#10	1	31
66	6001003	10#10	0	14
67	0	14#11	1	33
68	0	16#12	1	36
69	0	17#11	1	38
70	6001008	9#8	1	17
71	0	17#10	1	39
