Id	Name	BackpackOrNot	ItemType	ItemBaseType	PropertyName	Quantity	Isopen	IfResolve	ResolveReward	UseType	RewardGroup	UsePerCount	IsSave	HeroStar	Ifopen	ItemNumlimit	ExtraReward	IsGetShow
10033	1010033	false	1	0	0	3	false	1	56003	0	0	0	1	10033#3	1	9999999	0|71033#1	1
10034	1010034	false	1	0	0	2	false	1	56004	0	0	0	1	10034#2	1	9999999	0|71034#1	1
10035	1010035	false	1	0	0	1	false	1	56005	0	0	0	1	10035#1	1	9999999	0|71035#1	1
10036	1010036	false	1	0	0	5	false	1	56001	0	0	0	1	10036#5	1	9999999	0|71036#1	1
10037	1010037	false	1	0	0	5	false	1	56001	0	0	0	1	10037#5	1	9999999	0|71037#1	1
10038	1010038	false	1	0	0	5	false	1	56001	0	0	0	1	10038#5	1	9999999	0|71038#1	1
10039	1010039	false	1	0	0	5	false	1	56001	0	0	0	1	10039#5	1	9999999	0|71039#1	1
10040	1010040	false	1	0	0	5	false	1	56001	0	0	0	1	10040#5	1	9999999	0|71040#1	1
10041	1010041	false	1	0	0	5	false	1	56001	0	0	0	1	10041#5	1	9999999	0|71041#1	1
10042	1010042	false	1	0	0	5	false	1	56001	0	0	0	1	10042#5	1	9999999	0|71042#1	1
10043	1010043	false	1	0	0	5	false	1	56001	0	0	0	1	10043#5	1	9999999	0|71043#1	1
10044	1010044	false	1	0	0	5	false	1	56001	0	0	0	1	10044#5	1	9999999	0|71044#1	1
10045	1010045	false	1	0	0	5	false	1	56001	0	0	0	1	10045#5	1	9999999	0|71045#1	1
10046	1010046	false	1	0	0	5	false	1	56001	0	0	0	1	10046#5	1	9999999	0|71046#1	1
10047	1010047	false	1	0	0	4	false	1	56002	0	0	0	1	10047#4	1	9999999	0|71047#1	1
10048	1010048	false	1	0	0	4	false	1	56002	0	0	0	1	10048#4	1	9999999	0|71048#1	1
10049	1010049	false	1	0	0	4	false	1	56002	0	0	0	1	10049#4	1	9999999	0|71049#1	1
10050	1010050	false	1	0	0	4	false	1	56002	0	0	0	1	10050#4	1	9999999	0|71050#1	1
10051	1010051	false	1	0	0	4	false	1	56002	0	0	0	1	10051#4	1	9999999	0|71051#1	1
10052	1010052	false	1	0	0	3	false	1	56003	0	0	0	1	10052#3	1	9999999	0|71052#1	1
10053	1010053	false	1	0	0	2	false	1	56004	0	0	0	1	10053#2	1	9999999	0|71053#1	1
10054	1010054	false	1	0	0	1	false	1	56005	0	0	0	1	10054#1	1	9999999	0|71054#1	1
10057	1010055	false	1	0	0	5	false	1	56001	0	0	0	1	10057#5	1	9999999	0|71057#1	1
10058	1010056	false	1	0	0	5	false	1	56001	0	0	0	1	10058#5	1	9999999	0|71058#1	1
10059	1010057	false	1	0	0	5	false	1	56001	0	0	0	1	10059#5	1	9999999	0|71059#1	1
10060	1010058	false	1	0	0	5	false	1	56001	0	0	0	1	10060#5	1	9999999	0|71060#1	1
10061	1010059	false	1	0	0	5	false	1	56001	0	0	0	1	10061#5	1	9999999	0|71061#1	1
10062	1010060	false	1	0	0	5	false	1	56001	0	0	0	1	10062#5	1	9999999	0|71062#1	1
10063	1010061	false	1	0	0	5	false	1	56001	0	0	0	1	10063#5	1	9999999	0|71063#1	1
10064	1010062	false	1	0	0	5	false	1	56001	0	0	0	1	10064#5	1	9999999	0|71064#1	1
10065	1010063	false	1	0	0	5	false	1	56001	0	0	0	1	10065#5	1	9999999	0|71065#1	1
10066	1010064	false	1	0	0	5	false	1	56001	0	0	0	1	10066#5	1	9999999	0|71066#1	1
10067	1010065	false	1	0	0	4	false	1	56002	0	0	0	1	10067#4	1	9999999	0|71067#1	1
10068	1010066	false	1	0	0	4	false	1	56002	0	0	0	1	10068#4	1	9999999	0|71068#1	1
10069	1010067	false	1	0	0	4	false	1	56002	0	0	0	1	10069#4	1	9999999	0|71069#1	1
10070	1010068	false	1	0	0	4	false	1	56002	0	0	0	1	10070#4	1	9999999	0|71070#1	1
10071	1010069	false	1	0	0	3	false	1	56003	0	0	0	1	10071#3	1	9999999	0|71071#1	1
10072	1010070	false	1	0	0	5	false	1	56001	0	0	0	1	10072#5	1	9999999	0|71072#1	1
10073	1010071	false	1	0	0	5	false	1	56001	0	0	0	1	10073#5	1	9999999	0|71073#1	1
10074	1010072	false	1	0	0	5	false	1	56001	0	0	0	1	10074#5	1	9999999	0|71074#1	1
10075	1010073	false	1	0	0	5	false	1	56001	0	0	0	1	10075#5	1	9999999	0|71075#1	1
10076	1010074	false	1	0	0	5	false	1	56001	0	0	0	1	10076#5	1	9999999	0|71076#1	1
10079	1010075	false	1	0	0	5	false	1	56001	0	0	0	1	10079#5	1	9999999	0|71079#1	1
10080	1010076	false	1	0	0	5	false	1	56001	0	0	0	1	10080#5	1	9999999	0|71080#1	1
10081	1010077	false	1	0	0	5	false	1	56001	0	0	0	1	10081#5	1	9999999	0|71081#1	1
10082	1010078	false	1	0	0	5	false	1	56001	0	0	0	1	10082#5	1	9999999	0|71082#1	1
10085	1010079	false	1	0	0	5	false	1	56001	0	0	0	1	10085#5	1	9999999	0|71085#1	1
10086	1010080	false	1	0	0	4	false	1	56002	0	0	0	1	10086#4	1	9999999	0|71086#1	1
10087	1010081	false	1	0	0	4	false	1	56002	0	0	0	1	10087#4	1	9999999	0|71087#1	1
10088	1010082	false	1	0	0	4	false	1	56002	0	0	0	1	10088#4	1	9999999	0|71088#1	1
10089	1010083	false	1	0	0	4	false	1	56002	0	0	0	1	10089#4	1	9999999	0|71089#1	1
10090	1010084	false	1	0	0	3	false	1	56003	0	0	0	1	10090#3	1	9999999	0|71090#1	1
20000	1010085	false	1	0	0	6	false	1	56009	0	0	0	1	20000#9	1	9999999	null	1
11050	1011825	false	1	0	0	5	false	1	56001	0	0	0	1	11050#5	1	9999999	null	1
11051	1011826	false	1	0	0	5	false	1	56001	0	0	0	1	11051#5	1	9999999	null	1
11052	1011827	false	1	0	0	5	false	1	56001	0	0	0	1	11052#5	1	9999999	null	1
11053	1011828	false	1	0	0	5	false	1	56001	0	0	0	1	11053#5	1	9999999	null	1
11054	1011829	false	1	0	0	5	false	1	56001	0	0	0	1	11054#5	1	9999999	null	1
11055	1011830	false	1	0	0	5	false	1	56001	0	0	0	1	11055#5	1	9999999	null	1
11060	1011831	false	1	0	0	6	false	1	56006	0	0	0	1	11060#6	1	9999999	null	1
11061	1011832	false	1	0	0	6	false	1	56006	0	0	0	1	11061#6	1	9999999	null	1
11062	1011833	false	1	0	0	6	false	1	56006	0	0	0	1	11062#6	1	9999999	null	1
11063	1011834	false	1	0	0	6	false	1	56006	0	0	0	1	11063#6	1	9999999	null	1
11064	1011835	false	1	0	0	6	false	1	56006	0	0	0	1	11064#6	1	9999999	null	1
11065	1011836	false	1	0	0	6	false	1	56006	0	0	0	1	11065#6	1	9999999	null	1
11090	1011837	false	1	0	0	6	false	1	56009	0	0	0	1	11090#9	1	9999999	null	1
11091	1011838	false	1	0	0	6	false	1	56009	0	0	0	1	11091#9	1	9999999	null	1
11092	1011839	false	1	0	0	6	false	1	56009	0	0	0	1	11092#9	1	9999999	null	1
11093	1011840	false	1	0	0	6	false	1	56009	0	0	0	1	11093#9	1	9999999	null	1
11094	1011841	false	1	0	0	6	false	1	56009	0	0	0	1	11094#9	1	9999999	null	1
11095	1011842	false	1	0	0	6	false	1	56009	0	0	0	1	11095#9	1	9999999	null	1
11100	1011843	false	1	0	0	6	false	1	56010	0	0	0	1	11100#10	1	9999999	null	1
11101	1011844	false	1	0	0	6	false	1	56010	0	0	0	1	11101#10	1	9999999	null	1
11102	1011845	false	1	0	0	6	false	1	56010	0	0	0	1	11102#10	1	9999999	null	1
11103	1011846	false	1	0	0	6	false	1	56010	0	0	0	1	11103#10	1	9999999	null	1
11104	1011847	false	1	0	0	6	false	1	56010	0	0	0	1	11104#10	1	9999999	null	1
11105	1011848	false	1	0	0	6	false	1	56010	0	0	0	1	11105#10	1	9999999	null	1
1000106	1010001	false	1	0	0	6	false	1	 	0	0	0	1	10001#6	1	9999999	0|71001#1	1
1000206	1010002	false	1	0	0	6	false	1	 	0	0	0	1	10002#6	1	9999999	0|71002#1	1
1000306	1010003	false	1	0	0	6	false	1	 	0	0	0	1	10003#6	1	9999999	0|71003#1	1
1000406	1010004	false	1	0	0	6	false	1	 	0	0	0	1	10004#6	1	9999999	0|71004#1	1
1000506	1010005	false	1	0	0	6	false	1	 	0	0	0	1	10005#6	1	9999999	0|71005#1	1
1000606	1010006	false	1	0	0	6	false	1	 	0	0	0	1	10006#6	1	9999999	0|71006#1	1
1000706	1010007	false	1	0	0	6	false	1	 	0	0	0	1	10007#6	1	9999999	0|71007#1	1
1000806	1010008	false	1	0	0	6	false	1	 	0	0	0	1	10008#6	1	9999999	0|71008#1	1
1000906	1010009	false	1	0	0	6	false	1	 	0	0	0	1	10009#6	1	9999999	0|71009#1	1
1001006	1010010	false	1	0	0	6	false	1	 	0	0	0	1	10010#6	1	9999999	0|71010#1	1
1001906	1010019	false	1	0	0	6	false	1	 	0	0	0	1	10019#6	1	9999999	0|71019#1	1
1002006	1010020	false	1	0	0	6	false	1	 	0	0	0	1	10020#6	1	9999999	0|71020#1	1
1002106	1010021	false	1	0	0	6	false	1	 	0	0	0	1	10021#6	1	9999999	0|71021#1	1
1002206	1010022	false	1	0	0	6	false	1	 	0	0	0	1	10022#6	1	9999999	0|71022#1	1
1002306	1010023	false	1	0	0	6	false	1	 	0	0	0	1	10023#6	1	9999999	0|71023#1	1
1002406	1010024	false	1	0	0	6	false	1	 	0	0	0	1	10024#6	1	9999999	0|71024#1	1
1002506	1010025	false	1	0	0	6	false	1	 	0	0	0	1	10025#6	1	9999999	0|71025#1	1
1002606	1010026	false	1	0	0	6	false	1	 	0	0	0	1	10026#6	1	9999999	0|71026#1	1
1002706	1010027	false	1	0	0	6	false	1	 	0	0	0	1	10027#6	1	9999999	0|71027#1	1
1003606	1010036	false	1	0	0	6	false	1	 	0	0	0	1	10036#6	1	9999999	0|71036#1	1
1003706	1010037	false	1	0	0	6	false	1	 	0	0	0	1	10037#6	1	9999999	0|71037#1	1
1003806	1010038	false	1	0	0	6	false	1	 	0	0	0	1	10038#6	1	9999999	0|71038#1	1
1003906	1010039	false	1	0	0	6	false	1	 	0	0	0	1	10039#6	1	9999999	0|71039#1	1
1004006	1010040	false	1	0	0	6	false	1	 	0	0	0	1	10040#6	1	9999999	0|71040#1	1
1004106	1010041	false	1	0	0	6	false	1	 	0	0	0	1	10041#6	1	9999999	0|71041#1	1
1004206	1010042	false	1	0	0	6	false	1	 	0	0	0	1	10042#6	1	9999999	0|71042#1	1
1004306	1010043	false	1	0	0	6	false	1	 	0	0	0	1	10043#6	1	9999999	0|71043#1	1
1004406	1010044	false	1	0	0	6	false	1	 	0	0	0	1	10044#6	1	9999999	0|71044#1	1
1004506	1010045	false	1	0	0	6	false	1	 	0	0	0	1	10045#6	1	9999999	0|71045#1	1
1004606	1010046	false	1	0	0	6	false	1	 	0	0	0	1	10046#6	1	9999999	0|71046#1	1
1005706	1010055	false	1	0	0	6	false	1	 	0	0	0	1	10057#6	1	9999999	0|71057#1	1
1005806	1010056	false	1	0	0	6	false	1	 	0	0	0	1	10058#6	1	9999999	0|71058#1	1
1005906	1010057	false	1	0	0	6	false	1	 	0	0	0	1	10059#6	1	9999999	0|71059#1	1
1006006	1010058	false	1	0	0	6	false	1	 	0	0	0	1	10060#6	1	9999999	0|71060#1	1
1006106	1010059	false	1	0	0	6	false	1	 	0	0	0	1	10061#6	1	9999999	0|71061#1	1
1006206	1010060	false	1	0	0	6	false	1	 	0	0	0	1	10062#6	1	9999999	0|71062#1	1
1006306	1010061	false	1	0	0	6	false	1	 	0	0	0	1	10063#6	1	9999999	0|71063#1	1
1006406	1010062	false	1	0	0	6	false	1	 	0	0	0	1	10064#6	1	9999999	0|71064#1	1
1006506	1010063	false	1	0	0	6	false	1	 	0	0	0	1	10065#6	1	9999999	0|71065#1	1
1006606	1010064	false	1	0	0	6	false	1	 	0	0	0	1	10066#6	1	9999999	0|71066#1	1
1007206	1010070	false	1	0	0	6	false	1	 	0	0	0	1	10072#6	1	9999999	0|71072#1	1
1007306	1010071	false	1	0	0	6	false	1	 	0	0	0	1	10073#6	1	9999999	0|71073#1	1
1007406	1010072	false	1	0	0	6	false	1	 	0	0	0	1	10074#6	1	9999999	0|71074#1	1
1007506	1010073	false	1	0	0	6	false	1	 	0	0	0	1	10075#6	1	9999999	0|71075#1	1
1007606	1010074	false	1	0	0	6	false	1	 	0	0	0	1	10076#6	1	9999999	0|71076#1	1
1007906	1010075	false	1	0	0	6	false	1	 	0	0	0	1	10079#6	1	9999999	0|71079#1	1
1008006	1010076	false	1	0	0	6	false	1	 	0	0	0	1	10080#6	1	9999999	0|71080#1	1
1008106	1010077	false	1	0	0	6	false	1	 	0	0	0	1	10081#6	1	9999999	0|71081#1	1
1008206	1010078	false	1	0	0	6	false	1	 	0	0	0	1	10082#6	1	9999999	0|71082#1	1
1008506	1010079	false	1	0	0	6	false	1	 	0	0	0	1	10085#6	1	9999999	0|71085#1	1
1001105	1010011	false	1	0	0	5	false	1	 	0	0	0	1	10011#5	1	9999999	0|71011#1	1
1001205	1010012	false	1	0	0	5	false	1	 	0	0	0	1	10012#5	1	9999999	0|71012#1	1
1001305	1010013	false	1	0	0	5	false	1	 	0	0	0	1	10013#5	1	9999999	0|71013#1	1
1001405	1010014	false	1	0	0	5	false	1	 	0	0	0	1	10014#5	1	9999999	0|71014#1	1
1001505	1010015	false	1	0	0	5	false	1	 	0	0	0	1	10015#5	1	9999999	0|71015#1	1
1002805	1010028	false	1	0	0	5	false	1	 	0	0	0	1	10028#5	1	9999999	0|71028#1	1
1002905	1010029	false	1	0	0	5	false	1	 	0	0	0	1	10029#5	1	9999999	0|71029#1	1
1003005	1010030	false	1	0	0	5	false	1	 	0	0	0	1	10030#5	1	9999999	0|71030#1	1
1003105	1010031	false	1	0	0	5	false	1	 	0	0	0	1	10031#5	1	9999999	0|71031#1	1
1003205	1010032	false	1	0	0	5	false	1	 	0	0	0	1	10032#5	1	9999999	0|71032#1	1
1004705	1010047	false	1	0	0	5	false	1	 	0	0	0	1	10047#5	1	9999999	0|71047#1	1
1004805	1010048	false	1	0	0	5	false	1	 	0	0	0	1	10048#5	1	9999999	0|71048#1	1
1004905	1010049	false	1	0	0	5	false	1	 	0	0	0	1	10049#5	1	9999999	0|71049#1	1
1005005	1010050	false	1	0	0	5	false	1	 	0	0	0	1	10050#5	1	9999999	0|71050#1	1
1005105	1010051	false	1	0	0	5	false	1	 	0	0	0	1	10051#5	1	9999999	0|71051#1	1
1006705	1010065	false	1	0	0	5	false	1	 	0	0	0	1	10067#5	1	9999999	0|71067#1	1
1006805	1010066	false	1	0	0	5	false	1	 	0	0	0	1	10068#5	1	9999999	0|71068#1	1
1006905	1010067	false	1	0	0	5	false	1	 	0	0	0	1	10069#5	1	9999999	0|71069#1	1
1007005	1010068	false	1	0	0	5	false	1	 	0	0	0	1	10070#5	1	9999999	0|71070#1	1
1008605	1010080	false	1	0	0	5	false	1	 	0	0	0	1	10086#5	1	9999999	0|71086#1	1
1008705	1010081	false	1	0	0	5	false	1	 	0	0	0	1	10087#5	1	9999999	0|71087#1	1
1008805	1010082	false	1	0	0	5	false	1	 	0	0	0	1	10088#5	1	9999999	0|71088#1	1
1008905	1010083	false	1	0	0	5	false	1	 	0	0	0	1	10089#5	1	9999999	0|71089#1	1
1000809	1010008	false	1	0	0	6	false	1	 	0	0	0	1	10008#9	1	9999999	0|71008#1	1
1002309	1010023	false	1	0	0	6	false	1	 	0	0	0	1	10023#9	1	9999999	0|71023#1	1
1003909	1010039	false	1	0	0	6	false	1	 	0	0	0	1	10039#9	1	9999999	0|71039#1	1
1006209	1010060	false	1	0	0	6	false	1	 	0	0	0	1	10062#9	1	9999999	0|71062#1	1
1008509	1010079	false	1	0	0	6	false	1	 	0	0	0	1	10085#9	1	9999999	0|71085#1	1
70999	1010086	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71000	1010086	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71001	1010001	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71002	1010002	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71003	1010003	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71004	1010004	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71005	1010005	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71006	1010006	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71007	1010007	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71008	1010008	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71009	1010009	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71010	1010010	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71011	1010011	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71012	1010012	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71013	1010013	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71014	1010014	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71015	1010015	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71016	1010016	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71017	1010017	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71018	1010018	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71019	1010019	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71020	1010020	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71021	1010021	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71022	1010022	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71023	1010023	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71024	1010024	false	0	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71025	1010025	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71026	1010026	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71027	1010027	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71028	1010028	false	0	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71029	1010029	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71030	1010030	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71031	1010031	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71032	1010032	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71033	1010033	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71034	1010034	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71035	1010035	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71036	1010036	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71037	1010037	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71038	1010038	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71039	1010039	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71040	1010040	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71041	1010041	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71042	1010042	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71043	1010043	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71044	1010044	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71045	1010045	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71046	1010046	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71047	1010047	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71048	1010048	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71049	1010049	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71050	1010050	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71051	1010051	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71052	1010052	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71053	1010053	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71054	1010054	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71057	1010055	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71058	1010056	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71059	1010057	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71060	1010058	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71061	1010059	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71062	1010060	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71063	1010061	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71064	1010062	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71065	1010063	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71066	1010064	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71067	1010065	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71068	1010066	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71069	1010067	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71070	1010068	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71071	1010069	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71072	1010070	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71073	1010071	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71074	1010072	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71075	1010073	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71076	1010074	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71079	1010075	false	0	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71080	1010076	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71081	1010077	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71082	1010078	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71085	1010079	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71086	1010080	false	0	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71087	1010081	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71088	1010082	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71089	1010083	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
71090	1010084	false	15	0	0	0	false	0	 	0	0	0	0	null	1	1	null	1
6000001	1010087	true	2	3	1	5	false	1	100005	1	200029	50	1	null	1	9999999	null	1
6000002	1010088	true	2	3	1	5	false	1	100005	1	200030	50	1	null	1	9999999	null	1
6000003	1010089	true	2	3	1	5	false	1	100005	1	200031	50	1	null	1	9999999	null	1
6000004	1010090	true	2	3	1	5	false	1	100005	1	200032	50	1	null	1	9999999	null	1
6000005	1010091	true	2	3	1	5	false	1	100005	1	200033	50	1	null	1	9999999	null	1
6000006	1010092	true	2	3	1	5	false	1	100005	1	200034	50	1	null	1	9999999	null	1
6000007	1010093	true	2	3	1	5	false	1	100005	1	200035	50	1	null	1	9999999	null	1
6000008	1010094	true	2	3	1	5	false	1	100005	1	200036	50	1	null	1	9999999	null	1
6000009	1010095	true	2	3	1	5	false	1	100005	1	200037	50	1	null	1	9999999	null	1
6000010	1010096	true	2	3	1	5	false	1	100005	1	200038	50	1	null	1	9999999	null	1
6000011	1010097	true	2	3	1	4	false	1	100004	1	200006	30	1	null	1	9999999	null	1
6000012	1010098	true	2	3	1	4	false	1	100004	1	200007	30	1	null	1	9999999	null	1
