id	PropertyId	Max	Min	PoolNum	Weight
1491	55	340	324	491	100
1492	55	360	344	492	100
1493	55	380	364	493	100
1494	55	400	384	494	100
1495	56	320	300	495	100
1496	56	340	324	496	100
1497	56	360	344	497	100
1498	56	380	364	498	100
1499	56	400	384	499	100
1500	3	274	252	500	100
1501	3	295	282	501	100
1502	3	317	303	502	100
1503	3	338	325	503	100
1504	3	360	346	504	100
1505	4	274	252	505	100
1506	4	295	282	506	100
1507	4	317	303	507	100
1508	4	338	325	508	100
1509	4	360	346	509	100
1510	60	640	600	510	100
1511	60	680	648	511	100
1512	60	720	688	512	100
1513	60	760	728	513	100
1514	60	800	768	514	100
1515	58	912	840	515	100
1516	58	984	932	516	100
1517	58	1056	1004	517	100
1518	58	1128	1076	518	100
1519	58	1200	1148	519	100
1520	57	912	840	520	100
1521	57	984	932	521	100
1522	57	1056	1004	522	100
1523	57	1128	1076	523	100
1524	57	1200	1148	524	100
1525	55	480	450	525	100
1526	55	510	486	526	100
1527	55	540	516	527	100
1528	55	570	546	528	100
1529	55	600	576	529	100
1530	56	684	630	530	100
1531	56	738	699	531	100
1532	56	792	753	532	100
1533	56	846	807	533	100
1534	56	900	861	534	100
1535	61	552	503	535	100
1536	61	602	562	536	100
1537	61	651	612	537	100
1538	61	701	661	538	100
1539	61	750	711	539	100
1540	1	3010	2772	540	100
1541	1	3247	3098	541	100
1542	1	3485	3335	542	100
1543	1	3722	3573	543	100
1544	1	3960	3810	544	100
1545	3	274	252	545	100
1546	3	295	282	546	100
1547	3	317	303	547	100
1548	3	338	325	548	100
1549	3	360	346	549	100
1550	4	274	252	550	100
1551	4	295	282	551	100
1552	4	317	303	552	100
1553	4	338	325	553	100
1554	4	360	346	554	100
1555	2	274	252	555	100
1556	2	295	282	556	100
1557	2	317	303	557	100
1558	2	338	325	558	100
1559	2	360	346	559	100
1560	61	552	503	560	100
1561	61	602	562	561	100
1562	61	651	612	562	100
1563	61	701	661	563	100
1564	61	750	711	564	100
1565	3	274	252	565	100
1566	3	295	282	566	100
1567	3	317	303	567	100
1568	3	338	325	568	100
1569	3	360	346	569	100
1570	4	274	252	570	100
1571	4	295	282	571	100
1572	4	317	303	572	100
1573	4	338	325	573	100
1574	4	360	346	574	100
51011	55	1200	1200	5101	100
51021	55	2400	1200	5102	100
51031	62	700	500	5103	100
51032	55	2400	2400	5104	-1
51041	62	1000	700	5105	100
51042	55	2400	2400	5106	100
52011	60	500	500	5201	100
52022	60	1000	500	5202	100
52033	63	700	500	5203	100
52034	60	1000	1000	5204	-1
52045	63	1000	700	5205	100
52046	60	1000	1000	5206	100
53011	60	500	500	5301	100
53021	60	1000	500	5302	100
53031	61	700	500	5303	100
53032	60	1000	1000	5304	-1
53041	61	1000	700	5305	100
53042	60	1000	1000	5306	100
54011	53	1000	1000	5401	100
54021	53	2000	1000	5402	100
54031	65	300	200	5403	100
54032	53	2000	250	5404	-1
54041	65	500	300	5405	100
54042	53	2000	2000	5406	100
55011	55	800	800	5501	100
55021	55	1600	800	5502	100
55031	62	700	500	5503	100
55032	55	1600	1600	5504	-1
55041	62	1000	700	5505	100
55042	55	1600	1600	5506	100
56011	57	1000	1000	5601	100
56021	57	2000	1000	5602	100
56031	64	700	500	5603	100
56032	57	2000	2000	5604	-1
56041	64	1000	700	5605	100
56042	57	2000	2000	5606	100
100001	61	200	200	1000	100
100002	62	300	300	1001	100
100003	61	50	50	1002	100
100004	61	400	400	1003	100
100005	62	500	500	1004	100
100006	61	100	100	1005	100
100007	61	500	500	1006	100
100008	62	700	700	1007	100
100009	61	200	200	1008	100
100010	61	700	700	1009	100
100011	62	900	900	1010	100
100012	61	200	200	1011	100
100013	61	800	800	1012	100
100014	62	1100	1100	1013	100
100015	61	250	250	1014	100
100016	61	1000	1000	1015	100
100017	62	1300	1300	1016	100
100018	61	250	250	1017	100
100019	61	1100	1100	1018	100
100020	62	1500	1500	1019	100
100021	61	300	300	1020	100
100022	61	1200	1200	1021	100
100023	62	1700	1700	1022	100
100024	61	350	350	1023	100
100025	61	1400	1400	1024	100
100026	62	1900	1900	1025	100
100027	61	700	700	1026	100
100028	61	1500	1500	1027	100
100029	62	2000	2000	1028	100
100030	61	400	400	1029	100
100031	61	1600	1600	1030	100
100032	62	2100	2100	1031	100
100033	61	400	400	1032	100
