Id	TechId	Level	Values	RankNum	Profession	Limits	Consume	OpenRules
80	3	17	4#422	1	1	36	1002#2700	1#10
81	3	18	4#458	1	1	38	1002#2900	1#10
82	3	19	4#496	1	1	38	1002#3100	1#10
83	3	20	4#535	1	1	40	1002#3300	1#10
84	3	21	4#576	1	1	42	1002#3500	1#10
85	3	22	4#618	1	1	42	1002#3700	1#10
86	3	23	4#661	1	1	44	1002#3900	1#10
87	3	24	4#705	1	1	46	1002#4100	1#10
88	3	25	4#751	1	1	46	1002#4300	1#10
89	3	26	4#798	1	1	48	1002#4500	1#10
90	3	27	4#847	1	1	48	1002#4700	1#10
91	3	28	4#896	1	1	49	1002#4900	1#10
92	3	29	4#947	1	1	50	1002#5100	1#10
93	3	30	4#1000	1	1	0	null	1#10
94	4	0	1#0	1	1	1	1002#300	2#10
95	4	1	1#79	1	1	1	1002#400	2#10
96	4	2	1#165	1	1	1	1002#500	2#10
97	4	3	1#259	1	1	1	1002#600	2#10
98	4	4	1#359	1	1	1	1002#700	2#10
99	4	5	1#467	1	1	1	1002#800	2#10
100	4	6	1#582	1	1	1	1002#900	2#10
101	4	7	1#705	1	1	1	1002#1000	2#10
102	4	8	1#834	1	1	1	1002#1100	2#10
103	4	9	1#970	1	1	1	1002#1200	2#10
104	4	10	1#1114	1	1	28	1002#1400	2#10
105	4	11	1#1265	1	1	28	1002#1600	2#10
106	4	12	1#1423	1	1	32	1002#1800	2#10
107	4	13	1#1588	1	1	32	1002#1900	2#10
108	4	14	1#1761	1	1	32	1002#2100	2#10
109	4	15	1#1941	1	1	35	1002#2300	2#10
110	4	16	1#2128	1	1	35	1002#2500	2#10
111	4	17	1#2322	1	1	36	1002#2700	2#10
112	4	18	1#2523	1	1	38	1002#2900	2#10
113	4	19	1#2732	1	1	38	1002#3100	2#10
114	4	20	1#2947	1	1	40	1002#3300	2#10
115	4	21	1#3170	1	1	42	1002#3500	2#10
116	4	22	1#3401	1	1	42	1002#3700	2#10
117	4	23	1#3638	1	1	44	1002#3900	2#10
118	4	24	1#3882	1	1	46	1002#4100	2#10
119	4	25	1#4134	1	1	46	1002#4300	2#10
120	4	26	1#4392	1	1	48	1002#4500	2#10
121	4	27	1#4659	1	1	48	1002#4700	2#10
122	4	28	1#4932	1	1	49	1002#4900	2#10
123	4	29	1#5212	1	1	50	1002#5100	2#10
124	4	30	1#5500	1	1	0	null	2#10
125	5	0	1#0	1	1	1	1002#300	3#10
126	5	1	1#79	1	1	1	1002#400	3#10
127	5	2	1#165	1	1	1	1002#500	3#10
128	5	3	1#259	1	1	1	1002#600	3#10
129	5	4	1#359	1	1	1	1002#700	3#10
130	5	5	1#467	1	1	1	1002#800	3#10
131	5	6	1#582	1	1	1	1002#900	3#10
132	5	7	1#705	1	1	1	1002#1000	3#10
133	5	8	1#834	1	1	1	1002#1100	3#10
134	5	9	1#970	1	1	1	1002#1200	3#10
135	5	10	1#1114	1	1	28	1002#1400	3#10
136	5	11	1#1265	1	1	28	1002#1600	3#10
137	5	12	1#1423	1	1	32	1002#1800	3#10
138	5	13	1#1588	1	1	32	1002#1900	3#10
139	5	14	1#1761	1	1	32	1002#2100	3#10
140	5	15	1#1941	1	1	35	1002#2300	3#10
141	5	16	1#2128	1	1	35	1002#2500	3#10
142	5	17	1#2322	1	1	36	1002#2700	3#10
143	5	18	1#2523	1	1	38	1002#2900	3#10
144	5	19	1#2732	1	1	38	1002#3100	3#10
145	5	20	1#2947	1	1	40	1002#3300	3#10
146	5	21	1#3170	1	1	42	1002#3500	3#10
147	5	22	1#3401	1	1	42	1002#3700	3#10
148	5	23	1#3638	1	1	44	1002#3900	3#10
149	5	24	1#3882	1	1	46	1002#4100	3#10
150	5	25	1#4134	1	1	46	1002#4300	3#10
151	5	26	1#4392	1	1	48	1002#4500	3#10
152	5	27	1#4659	1	1	48	1002#4700	3#10
153	5	28	1#4932	1	1	49	1002#4900	3#10
154	5	29	1#5212	1	1	50	1002#5100	3#10
155	5	30	1#5500	1	1	0	null	3#10
156	6	0	2#0	2	1	1	1002#3000	1#15
157	6	1	2#14	2	1	1	1002#3200	1#15
158	6	2	2#30	2	1	1	1002#3400	1#15
159	6	3	2#47	2	1	1	1002#3600	1#15
160	6	4	2#65	2	1	1	1002#3800	1#15
161	6	5	2#84	2	1	1	1002#4000	1#15
162	6	6	2#105	2	1	1	1002#4200	1#15
163	6	7	2#128	2	1	1	1002#4400	1#15
164	6	8	2#151	2	1	1	1002#4600	1#15
165	6	9	2#176	2	1	1	1002#4800	1#15
166	6	10	2#202	2	1	28	1002#5000	1#15
167	6	11	2#230	2	1	28	1002#5500	1#15
168	6	12	2#258	2	1	32	1002#6000	1#15
169	6	13	2#288	2	1	32	1002#6500	1#15
170	6	14	2#320	2	1	32	1002#7000	1#15
171	6	15	2#352	2	1	35	1002#7500	1#15
172	6	16	2#386	2	1	35	1002#8000	1#15
173	6	17	2#422	2	1	36	1002#8500	1#15
174	6	18	2#458	2	1	38	1002#9000	1#15
175	6	19	2#496	2	1	38	1002#9500	1#15
176	6	20	2#535	2	1	40	1002#10000	1#15
177	6	21	2#576	2	1	42	1002#10500	1#15
178	6	22	2#618	2	1	42	1002#11000	1#15
179	6	23	2#661	2	1	44	1002#11500	1#15
180	6	24	2#705	2	1	46	1002#12000	1#15
181	6	25	2#751	2	1	46	1002#12500	1#15
182	6	26	2#798	2	1	48	1002#13000	1#15
183	6	27	2#847	2	1	48	1002#13500	1#15
184	6	28	2#896	2	1	49	1002#14000	1#15
185	6	29	2#947	2	1	50	1002#14500	1#15
186	6	30	2#1000	2	1	0	null	1#15
187	7	0	3#0	2	1	1	1002#3000	6#10
188	7	1	3#14	2	1	1	1002#3200	6#10
189	7	2	3#30	2	1	1	1002#3400	6#10
190	7	3	3#47	2	1	1	1002#3600	6#10
191	7	4	3#65	2	1	1	1002#3800	6#10
192	7	5	3#84	2	1	1	1002#4000	6#10
193	7	6	3#105	2	1	1	1002#4200	6#10
194	7	7	3#128	2	1	1	1002#4400	6#10
195	7	8	3#151	2	1	1	1002#4600	6#10
196	7	9	3#176	2	1	1	1002#4800	6#10
197	7	10	3#202	2	1	28	1002#5000	6#10
198	7	11	3#230	2	1	28	1002#5500	6#10
199	7	12	3#258	2	1	32	1002#6000	6#10
200	7	13	3#288	2	1	32	1002#6500	6#10
201	7	14	3#320	2	1	32	1002#7000	6#10
202	7	15	3#352	2	1	35	1002#7500	6#10
203	7	16	3#386	2	1	35	1002#8000	6#10
204	7	17	3#422	2	1	36	1002#8500	6#10
205	7	18	3#458	2	1	38	1002#9000	6#10
206	7	19	3#496	2	1	38	1002#9500	6#10
207	7	20	3#535	2	1	40	1002#10000	6#10
208	7	21	3#576	2	1	42	1002#10500	6#10
209	7	22	3#618	2	1	42	1002#11000	6#10
210	7	23	3#661	2	1	44	1002#11500	6#10
211	7	24	3#705	2	1	46	1002#12000	6#10
212	7	25	3#751	2	1	46	1002#12500	6#10
213	7	26	3#798	2	1	48	1002#13000	6#10
214	7	27	3#847	2	1	48	1002#13500	6#10
215	7	28	3#896	2	1	49	1002#14000	6#10
216	7	29	3#947	2	1	50	1002#14500	6#10
217	7	30	3#1000	2	1	0	null	6#10
218	8	0	4#0	2	1	1	1002#3000	6#10
219	8	1	4#14	2	1	1	1002#3200	6#10
220	8	2	4#30	2	1	1	1002#3400	6#10
221	8	3	4#47	2	1	1	1002#3600	6#10
222	8	4	4#65	2	1	1	1002#3800	6#10
223	8	5	4#84	2	1	1	1002#4000	6#10
224	8	6	4#105	2	1	1	1002#4200	6#10
225	8	7	4#128	2	1	1	1002#4400	6#10
226	8	8	4#151	2	1	1	1002#4600	6#10
227	8	9	4#176	2	1	1	1002#4800	6#10
228	8	10	4#202	2	1	28	1002#5000	6#10
229	8	11	4#230	2	1	28	1002#5500	6#10
230	8	12	4#258	2	1	32	1002#6000	6#10
231	8	13	4#288	2	1	32	1002#6500	6#10
232	8	14	4#320	2	1	32	1002#7000	6#10
233	8	15	4#352	2	1	35	1002#7500	6#10
234	8	16	4#386	2	1	35	1002#8000	6#10
235	8	17	4#422	2	1	36	1002#8500	6#10
236	8	18	4#458	2	1	38	1002#9000	6#10
237	8	19	4#496	2	1	38	1002#9500	6#10
238	8	20	4#535	2	1	40	1002#10000	6#10
239	8	21	4#576	2	1	42	1002#10500	6#10
240	8	22	4#618	2	1	42	1002#11000	6#10
241	8	23	4#661	2	1	44	1002#11500	6#10
242	8	24	4#705	2	1	46	1002#12000	6#10
243	8	25	4#751	2	1	46	1002#12500	6#10
244	8	26	4#798	2	1	48	1002#13000	6#10
245	8	27	4#847	2	1	48	1002#13500	6#10
246	8	28	4#896	2	1	49	1002#14000	6#10
247	8	29	4#947	2	1	50	1002#14500	6#10
248	8	30	4#1000	2	1	0	null	6#10
249	9	0	1#0	2	1	1	1002#3000	7#10
250	9	1	1#79	2	1	1	1002#3200	7#10
251	9	2	1#165	2	1	1	1002#3400	7#10
252	9	3	1#259	2	1	1	1002#3600	7#10
253	9	4	1#359	2	1	1	1002#3800	7#10
254	9	5	1#467	2	1	1	1002#4000	7#10
255	9	6	1#582	2	1	1	1002#4200	7#10
256	9	7	1#705	2	1	1	1002#4400	7#10
257	9	8	1#834	2	1	1	1002#4600	7#10
258	9	9	1#970	2	1	1	1002#4800	7#10
259	9	10	1#1114	2	1	28	1002#5000	7#10
260	9	11	1#1265	2	1	28	1002#5500	7#10
261	9	12	1#1423	2	1	32	1002#6000	7#10
262	9	13	1#1588	2	1	32	1002#6500	7#10
263	9	14	1#1761	2	1	32	1002#7000	7#10
264	9	15	1#1941	2	1	35	1002#7500	7#10
265	9	16	1#2128	2	1	35	1002#8000	7#10
266	9	17	1#2322	2	1	36	1002#8500	7#10
267	9	18	1#2523	2	1	38	1002#9000	7#10
268	9	19	1#2732	2	1	38	1002#9500	7#10
269	9	20	1#2947	2	1	40	1002#10000	7#10
270	9	21	1#3170	2	1	42	1002#10500	7#10
271	9	22	1#3401	2	1	42	1002#11000	7#10
272	9	23	1#3638	2	1	44	1002#11500	7#10
273	9	24	1#3882	2	1	46	1002#12000	7#10
274	9	25	1#4134	2	1	46	1002#12500	7#10
275	9	26	1#4392	2	1	48	1002#13000	7#10
276	9	27	1#4659	2	1	48	1002#13500	7#10
277	9	28	1#4932	2	1	49	1002#14000	7#10
278	9	29	1#5212	2	1	50	1002#14500	7#10
279	9	30	1#5500	2	1	0	null	7#10
280	10	0	1#0	2	1	1	1002#3000	8#10
281	10	1	1#79	2	1	1	1002#3200	8#10
282	10	2	1#165	2	1	1	1002#3400	8#10
283	10	3	1#259	2	1	1	1002#3600	8#10
284	10	4	1#359	2	1	1	1002#3800	8#10
285	10	5	1#467	2	1	1	1002#4000	8#10
286	10	6	1#582	2	1	1	1002#4200	8#10
287	10	7	1#705	2	1	1	1002#4400	8#10
288	10	8	1#834	2	1	1	1002#4600	8#10
289	10	9	1#970	2	1	1	1002#4800	8#10
290	10	10	1#1114	2	1	28	1002#5000	8#10
291	10	11	1#1265	2	1	28	1002#5500	8#10
292	10	12	1#1423	2	1	32	1002#6000	8#10
293	10	13	1#1588	2	1	32	1002#6500	8#10
294	10	14	1#1761	2	1	32	1002#7000	8#10
295	10	15	1#1941	2	1	35	1002#7500	8#10
296	10	16	1#2128	2	1	35	1002#8000	8#10
297	10	17	1#2322	2	1	36	1002#8500	8#10
298	10	18	1#2523	2	1	38	1002#9000	8#10
299	10	19	1#2732	2	1	38	1002#9500	8#10
300	10	20	1#2947	2	1	40	1002#10000	8#10
301	10	21	1#3170	2	1	42	1002#10500	8#10
302	10	22	1#3401	2	1	42	1002#11000	8#10
303	10	23	1#3638	2	1	44	1002#11500	8#10
304	10	24	1#3882	2	1	46	1002#12000	8#10
305	10	25	1#4134	2	1	46	1002#12500	8#10
306	10	26	1#4392	2	1	48	1002#13000	8#10
307	10	27	1#4659	2	1	48	1002#13500	8#10
308	10	28	1#4932	2	1	49	1002#14000	8#10
309	10	29	1#5212	2	1	50	1002#14500	8#10
310	10	30	1#5500	2	1	0	null	8#10
311	11	0	1#0|2#0	3	1	1	1002#5000	6#20
312	11	1	1#316|2#28	3	1	1	1002#5200	6#20
313	11	2	1#661|2#60	3	1	1	1002#5400	6#20
314	11	3	1#1035|2#94	3	1	1	1002#5600	6#20
315	11	4	1#1438|2#130	3	1	1	1002#5800	6#20
316	11	5	1#1869|2#169	3	1	1	1002#6100	6#20
317	11	6	1#2329|2#211	3	1	1	1002#6400	6#20
318	11	7	1#2818|2#256	3	1	1	1002#6700	6#20
319	11	8	1#3336|2#303	3	1	1	1002#7000	6#20
320	11	9	1#3882|2#352	3	1	1	1002#7300	6#20
321	11	10	1#4457|2#405	3	1	28	1002#7700	6#20
322	11	11	1#5061|2#460	3	1	28	1002#8100	6#20
323	11	12	1#5694|2#517	3	1	32	1002#8500	6#20
324	11	13	1#6355|2#577	3	1	32	1002#8900	6#20
325	11	14	1#7046|2#640	3	1	32	1002#9300	6#20
326	11	15	1#7764|2#705	3	1	35	1002#9800	6#20
327	11	16	1#8512|2#773	3	1	35	1002#10300	6#20
328	11	17	1#9288|2#844	3	1	36	1002#10800	6#20
329	11	18	1#10094|2#917	3	1	38	1002#11300	6#20
330	11	19	1#10928|2#993	3	1	38	1002#11800	6#20
331	11	20	1#11790|2#1071	3	1	40	1002#12400	6#20
332	11	21	1#12682|2#1152	3	1	42	1002#13000	6#20
333	11	22	1#13603|2#1236	3	1	42	1002#13600	6#20
334	11	23	1#14551|2#1322	3	1	44	1002#14200	6#20
335	11	24	1#15529|2#1411	3	1	46	1002#14800	6#20
336	11	25	1#16536|2#1503	3	1	46	1002#15600	6#20
337	11	26	1#17571|2#1597	3	1	48	1002#16400	6#20
338	11	27	1#18635|2#1694	3	1	48	1002#17200	6#20
339	11	28	1#19728|2#1793	3	1	49	1002#18000	6#20
340	11	29	1#20849|2#1895	3	1	50	1002#18800	6#20
341	11	30	1#22000|2#2000	3	1	0	null	6#20
342	12	0	3#0|4#0	3	1	1	1002#5000	11#10
343	12	1	3#14|4#14	3	1	1	1002#5200	11#10
344	12	2	3#30|4#30	3	1	1	1002#5400	11#10
345	12	3	3#47|4#47	3	1	1	1002#5600	11#10
346	12	4	3#65|4#65	3	1	1	1002#5800	11#10
347	12	5	3#84|4#84	3	1	1	1002#6100	11#10
348	12	6	3#105|4#105	3	1	1	1002#6400	11#10
349	12	7	3#128|4#128	3	1	1	1002#6700	11#10
350	12	8	3#151|4#151	3	1	1	1002#7000	11#10
351	12	9	3#176|4#176	3	1	1	1002#7300	11#10
352	12	10	3#202|4#202	3	1	28	1002#7700	11#10
353	12	11	3#230|4#230	3	1	28	1002#8100	11#10
354	12	12	3#258|4#258	3	1	32	1002#8500	11#10
355	12	13	3#288|4#288	3	1	32	1002#8900	11#10
356	12	14	3#320|4#320	3	1	32	1002#9300	11#10
357	12	15	3#352|4#352	3	1	35	1002#9800	11#10
358	12	16	3#386|4#386	3	1	35	1002#10300	11#10
359	12	17	3#422|4#422	3	1	36	1002#10800	11#10
360	12	18	3#458|4#458	3	1	38	1002#11300	11#10
361	12	19	3#496|4#496	3	1	38	1002#11800	11#10
362	12	20	3#535|4#535	3	1	40	1002#12400	11#10
363	12	21	3#576|4#576	3	1	42	1002#13000	11#10
364	12	22	3#618|4#618	3	1	42	1002#13600	11#10
365	12	23	3#661|4#661	3	1	44	1002#14200	11#10
366	12	24	3#705|4#705	3	1	46	1002#14800	11#10
367	12	25	3#751|4#751	3	1	46	1002#15600	11#10
368	12	26	3#798|4#798	3	1	48	1002#16400	11#10
369	12	27	3#847|4#847	3	1	48	1002#17200	11#10
370	12	28	3#896|4#896	3	1	49	1002#18000	11#10
371	12	29	3#947|4#947	3	1	50	1002#18800	11#10
372	12	30	3#1000|4#1000	3	1	0	null	11#10
373	13	0	3#0|4#0	3	1	1	1002#5000	11#10
374	13	1	3#14|4#14	3	1	1	1002#5200	11#10
375	13	2	3#30|4#30	3	1	1	1002#5400	11#10
376	13	3	3#47|4#47	3	1	1	1002#5600	11#10
377	13	4	3#65|4#65	3	1	1	1002#5800	11#10
378	13	5	3#84|4#84	3	1	1	1002#6100	11#10
379	13	6	3#105|4#105	3	1	1	1002#6400	11#10
380	13	7	3#128|4#128	3	1	1	1002#6700	11#10
381	13	8	3#151|4#151	3	1	1	1002#7000	11#10
382	13	9	3#176|4#176	3	1	1	1002#7300	11#10
383	13	10	3#202|4#202	3	1	28	1002#7700	11#10
384	13	11	3#230|4#230	3	1	28	1002#8100	11#10
385	13	12	3#258|4#258	3	1	32	1002#8500	11#10
386	13	13	3#288|4#288	3	1	32	1002#8900	11#10
387	13	14	3#320|4#320	3	1	32	1002#9300	11#10
388	13	15	3#352|4#352	3	1	35	1002#9800	11#10
389	13	16	3#386|4#386	3	1	35	1002#10300	11#10
390	13	17	3#422|4#422	3	1	36	1002#10800	11#10
391	13	18	3#458|4#458	3	1	38	1002#11300	11#10
392	13	19	3#496|4#496	3	1	38	1002#11800	11#10
393	13	20	3#535|4#535	3	1	40	1002#12400	11#10
394	13	21	3#576|4#576	3	1	42	1002#13000	11#10
395	13	22	3#618|4#618	3	1	42	1002#13600	11#10
396	13	23	3#661|4#661	3	1	44	1002#14200	11#10
397	13	24	3#705|4#705	3	1	46	1002#14800	11#10
398	13	25	3#751|4#751	3	1	46	1002#15600	11#10
399	13	26	3#798|4#798	3	1	48	1002#16400	11#10
400	13	27	3#847|4#847	3	1	48	1002#17200	11#10
401	13	28	3#896|4#896	3	1	49	1002#18000	11#10
402	13	29	3#947|4#947	3	1	50	1002#18800	11#10
403	13	30	3#1000|4#1000	3	1	0	null	11#10
404	14	0	58#0	3	1	1	1002#12000	12#10
405	14	1	58#141	3	1	1	1002#15000	12#10
406	14	2	58#296	3	1	1	1002#18000	12#10
407	14	3	58#464	3	1	1	1002#21000	12#10
408	14	4	58#645	3	1	1	1002#24000	12#10
409	14	5	58#838	3	1	1	1002#30000	12#10
410	14	6	58#1045	3	1	1	1002#36000	12#10
411	14	7	58#1264	3	1	1	1002#42000	12#10
412	14	8	58#1496	3	1	1	1002#51000	12#10
413	14	9	58#1741	3	1	1	1002#60000	12#10
414	14	10	58#2000	3	1	0	null	12#10
415	15	0	60#0	3	1	1	1002#12000	13#10
416	15	1	60#141	3	1	1	1002#15000	13#10
417	15	2	60#296	3	1	1	1002#18000	13#10
418	15	3	60#464	3	1	1	1002#21000	13#10
419	15	4	60#645	3	1	1	1002#24000	13#10
420	15	5	60#838	3	1	1	1002#30000	13#10
421	15	6	60#1045	3	1	1	1002#36000	13#10
422	15	7	60#1264	3	1	1	1002#42000	13#10
423	15	8	60#1496	3	1	1	1002#51000	13#10
424	15	9	60#1741	3	1	1	1002#60000	13#10
425	15	10	60#2000	3	1	0	null	13#10
426	101	0	2#0	1	2	1	1002#300	null
427	101	1	2#14	1	2	1	1002#400	null
428	101	2	2#30	1	2	1	1002#500	null
429	101	3	2#47	1	2	1	1002#600	null
430	101	4	2#65	1	2	1	1002#700	null
431	101	5	2#84	1	2	1	1002#800	null
432	101	6	2#105	1	2	1	1002#900	null
433	101	7	2#128	1	2	1	1002#1000	null
434	101	8	2#151	1	2	1	1002#1100	null
435	101	9	2#176	1	2	1	1002#1200	null
436	101	10	2#202	1	2	28	1002#1400	null
437	101	11	2#230	1	2	28	1002#1600	null
438	101	12	2#258	1	2	32	1002#1800	null
439	101	13	2#288	1	2	32	1002#1900	null
440	101	14	2#320	1	2	32	1002#2100	null
441	101	15	2#352	1	2	35	1002#2300	null
442	101	16	2#386	1	2	35	1002#2500	null
443	101	17	2#422	1	2	36	1002#2700	null
444	101	18	2#458	1	2	38	1002#2900	null
445	101	19	2#496	1	2	38	1002#3100	null
446	101	20	2#535	1	2	40	1002#3300	null
447	101	21	2#576	1	2	42	1002#3500	null
448	101	22	2#618	1	2	42	1002#3700	null
449	101	23	2#661	1	2	44	1002#3900	null
450	101	24	2#705	1	2	46	1002#4100	null
451	101	25	2#751	1	2	46	1002#4300	null
452	101	26	2#798	1	2	48	1002#4500	null
453	101	27	2#847	1	2	48	1002#4700	null
454	101	28	2#896	1	2	49	1002#4900	null
455	101	29	2#947	1	2	50	1002#5100	null
456	101	30	2#1000	1	2	0	null	null
457	102	0	3#0	1	2	1	1002#300	101#10
458	102	1	3#14	1	2	1	1002#400	101#10
459	102	2	3#30	1	2	1	1002#500	101#10
460	102	3	3#47	1	2	1	1002#600	101#10
461	102	4	3#65	1	2	1	1002#700	101#10
462	102	5	3#84	1	2	1	1002#800	101#10
463	102	6	3#105	1	2	1	1002#900	101#10
464	102	7	3#128	1	2	1	1002#1000	101#10
465	102	8	3#151	1	2	1	1002#1100	101#10
466	102	9	3#176	1	2	1	1002#1200	101#10
467	102	10	3#202	1	2	28	1002#1400	101#10
468	102	11	3#230	1	2	28	1002#1600	101#10
469	102	12	3#258	1	2	32	1002#1800	101#10
470	102	13	3#288	1	2	32	1002#1900	101#10
471	102	14	3#320	1	2	32	1002#2100	101#10
472	102	15	3#352	1	2	35	1002#2300	101#10
473	102	16	3#386	1	2	35	1002#2500	101#10
474	102	17	3#422	1	2	36	1002#2700	101#10
475	102	18	3#458	1	2	38	1002#2900	101#10
476	102	19	3#496	1	2	38	1002#3100	101#10
477	102	20	3#535	1	2	40	1002#3300	101#10
478	102	21	3#576	1	2	42	1002#3500	101#10
479	102	22	3#618	1	2	42	1002#3700	101#10
480	102	23	3#661	1	2	44	1002#3900	101#10
481	102	24	3#705	1	2	46	1002#4100	101#10
482	102	25	3#751	1	2	46	1002#4300	101#10
483	102	26	3#798	1	2	48	1002#4500	101#10
484	102	27	3#847	1	2	48	1002#4700	101#10
485	102	28	3#896	1	2	49	1002#4900	101#10
486	102	29	3#947	1	2	50	1002#5100	101#10
487	102	30	3#1000	1	2	0	null	101#10
488	103	0	4#0	1	2	1	1002#300	101#10
489	103	1	4#14	1	2	1	1002#400	101#10
490	103	2	4#30	1	2	1	1002#500	101#10
491	103	3	4#47	1	2	1	1002#600	101#10
492	103	4	4#65	1	2	1	1002#700	101#10
493	103	5	4#84	1	2	1	1002#800	101#10
494	103	6	4#105	1	2	1	1002#900	101#10
495	103	7	4#128	1	2	1	1002#1000	101#10
496	103	8	4#151	1	2	1	1002#1100	101#10
497	103	9	4#176	1	2	1	1002#1200	101#10
498	103	10	4#202	1	2	28	1002#1400	101#10
499	103	11	4#230	1	2	28	1002#1600	101#10
500	103	12	4#258	1	2	32	1002#1800	101#10
501	103	13	4#288	1	2	32	1002#1900	101#10
502	103	14	4#320	1	2	32	1002#2100	101#10
503	103	15	4#352	1	2	35	1002#2300	101#10
504	103	16	4#386	1	2	35	1002#2500	101#10
505	103	17	4#422	1	2	36	1002#2700	101#10
506	103	18	4#458	1	2	38	1002#2900	101#10
507	103	19	4#496	1	2	38	1002#3100	101#10
508	103	20	4#535	1	2	40	1002#3300	101#10
509	103	21	4#576	1	2	42	1002#3500	101#10
510	103	22	4#618	1	2	42	1002#3700	101#10
511	103	23	4#661	1	2	44	1002#3900	101#10
512	103	24	4#705	1	2	46	1002#4100	101#10
513	103	25	4#751	1	2	46	1002#4300	101#10
514	103	26	4#798	1	2	48	1002#4500	101#10
515	103	27	4#847	1	2	48	1002#4700	101#10
516	103	28	4#896	1	2	49	1002#4900	101#10
517	103	29	4#947	1	2	50	1002#5100	101#10
518	103	30	4#1000	1	2	0	null	101#10
519	104	0	1#0	1	2	1	1002#300	102#10
520	104	1	1#79	1	2	1	1002#400	102#10
521	104	2	1#165	1	2	1	1002#500	102#10
522	104	3	1#259	1	2	1	1002#600	102#10
523	104	4	1#359	1	2	1	1002#700	102#10
524	104	5	1#467	1	2	1	1002#800	102#10
