Id	Exp	Promote	TechnologyLevel	UnravelItem	FoodExp	AddNum	PoolRate	AddSuccessRate
55	1002#57300	5#65	30	null	16800	0.56	1#9#20#70	0.05
56	1002#59300	1#76	30	null	17100	0.57	1#9#20#70	0.05
57	1002#61300	2#76	30	null	17400	0.58	1#9#20#70	0.05
58	1002#63300	3#76	30	null	17700	0.59	1#9#20#70	0.05
59	1002#65300	4#76	30	null	18000	0.6	1#9#20#70	0.05
60	1002#67300	5#76	30	null	18300	0.61	1#9#20#70	0.05
61	1002#69300	1#88	30	null	18600	0.62	1#9#20#70	0.05
62	1002#71300	2#88	30	null	18900	0.63	1#9#20#70	0.05
63	1002#73300	3#88	30	null	19200	0.64	1#9#20#70	0.05
64	1002#75300	4#88	30	null	19500	0.65	1#9#20#70	0.05
65	1002#77300	5#88	30	null	19800	0.66	1#9#20#70	0.05
66	1002#79300	1#101	30	null	20100	0.67	1#9#20#70	0.05
67	1002#81300	2#101	30	null	20400	0.68	1#9#20#70	0.05
68	1002#83300	3#101	30	null	20700	0.69	1#9#20#70	0.05
69	1002#85300	4#101	30	null	21000	0.7	1#9#20#70	0.05
70	1002#87300	5#101	30	null	21300	0.71	1#9#20#70	0.05
71	1002#90300	1#115	30	null	21600	0.72	1#9#20#70	0.05
72	1002#93300	2#115	30	null	21900	0.73	1#9#20#70	0.05
73	1002#96300	3#115	30	null	22200	0.74	1#9#20#70	0.05
74	1002#99300	4#115	30	null	22500	0.75	1#9#20#70	0.05
75	1002#102300	5#115	30	null	22800	0.76	1#9#20#70	0.05
76	1002#105300	1#130	30	null	23100	0.77	1#9#20#70	0.05
77	1002#108300	2#130	30	null	23400	0.78	1#9#20#70	0.05
78	1002#111300	3#130	30	null	23700	0.79	1#9#20#70	0.05
79	1002#114300	4#130	30	null	24000	0.8	1#9#20#70	0.05
80	1002#117300	5#130	30	null	24300	0.81	1#9#20#70	0.05
81	1002#120300	1#146	30	null	24600	0.82	1#9#20#70	0.05
82	1002#123300	2#146	30	null	24900	0.83	1#9#20#70	0.05
83	1002#126300	3#146	30	null	25200	0.84	1#9#20#70	0.05
84	1002#129300	4#146	30	null	25500	0.85	1#9#20#70	0.05
85	1002#132300	5#146	30	null	25800	0.86	1#9#20#70	0.05
86	1002#135300	1#163	30	null	26100	0.87	1#9#20#70	0.05
87	1002#138300	2#163	30	null	26400	0.88	1#9#20#70	0.05
88	1002#141300	3#163	30	null	26700	0.89	1#9#20#70	0.05
89	1002#144300	4#163	30	null	27000	0.9	1#9#20#70	0.05
90	1002#147300	5#163	30	null	27300	0.91	1#9#20#70	0.05
91	1002#152300	1#181	30	null	27600	0.92	1#9#20#70	0.05
92	1002#157300	2#181	30	null	27900	0.93	1#9#20#70	0.05
93	1002#162300	3#181	30	null	28200	0.94	1#9#20#70	0.05
94	1002#167300	4#181	30	null	28500	0.95	1#9#20#70	0.05
95	1002#172300	5#181	30	null	28800	0.96	1#9#20#70	0.05
96	1002#177300	1#200	30	null	29100	0.97	1#9#20#70	0.05
97	1002#182300	2#200	30	null	29400	0.98	1#9#20#70	0.05
98	1002#187300	3#200	30	null	29700	0.99	1#9#20#70	0.05
99	1002#192300	4#200	30	null	30000	1.0	1#9#20#70	0.05
100	1002#197300	5#200	30	null	30300	1.01	1#9#20#70	0.05
