Id	AdjutantId	Lvl	UpgradeLimit	ExpUpgrade	ShowExp	Cost	TotalAttr	AddExpAttr
33	1	33	250	872	1003	6000092#80|14#1164240	1#102184|2#10277	33|1#102|2#13|3000,35|1#112|2#15|3500,37|1#120|2#16|3500
34	1	34	258	627	1028	6000092#81|14#1232840	1#107402|2#10791	34|1#104|2#13|3000,36|1#114|2#15|3500,38|1#122|2#16|3500
35	1	35	267	926	1053	6000092#82|14#1303400	1#112666|2#11317	35|1#106|2#13|3000,37|1#116|2#15|3500,39|1#124|2#16|3500
36	1	36	275	819	1078	6000092#83|14#1375920	1#117976|2#11854	36|1#108|2#14|3000,38|1#118|2#16|3500,40|1#126|2#17|3500
37	1	37	283	915	1103	6000092#84|14#1450400	1#123332|2#12403	37|1#110|2#14|3000,39|1#120|2#16|3500,41|1#128|2#17|3500
38	1	38	292	868	1128	6000092#85|14#1526840	1#128734|2#12963	38|1#112|2#14|3000,40|1#122|2#16|3500,42|1#130|2#17|3500
39	1	39	300	864	1153	6000092#86|14#1605240	1#134182|2#13534	39|1#114|2#14|3000,41|1#124|2#16|3500,43|1#132|2#17|3500
40	1	40	308	1023	1177	6000092#87|14#1685600	1#139676|2#14117	40|1#116|2#14|3000,42|1#126|2#16|3500,44|1#134|2#17|3500
41	1	41	317	1008	1201	6000092#88|14#1767920	1#145216|2#14711	41|1#118|2#15|3000,43|1#128|2#17|3500,45|1#136|2#18|3500
42	1	42	325	955	1225	6000092#89|14#1852200	1#150802|2#15317	42|1#120|2#15|3000,44|1#130|2#17|3500,46|1#138|2#18|3500
43	1	43	333	1024	1249	6000092#90|14#1938440	1#156434|2#15934	43|1#122|2#15|3000,45|1#132|2#17|3500,47|1#140|2#18|3500
44	1	44	342	814	1273	6000092#91|14#2026640	1#162112|2#16562	44|1#124|2#15|3000,46|1#134|2#17|3500,48|1#142|2#18|3500
45	1	45	350	1024	1297	6000092#92|14#2116800	1#167836|2#17202	45|1#126|2#15|3000,47|1#136|2#17|3500,49|1#144|2#18|3500
46	1	46	358	924	1321	6000092#93|14#2208920	1#173606|2#17853	46|1#128|2#16|3000,48|1#138|2#18|3500,50|1#146|2#19|3500
47	1	47	367	1129	1345	6000092#94|14#2303000	1#179422|2#18516	47|1#130|2#16|3000,49|1#140|2#18|3500,51|1#148|2#19|3500
48	1	48	375	848	1368	6000092#95|14#2399040	1#185284|2#19190	48|1#132|2#16|3000,50|1#142|2#18|3500,52|1#150|2#19|3500
49	1	49	383	1126	1391	6000092#96|14#2497040	1#191192|2#19875	49|1#134|2#16|3000,51|1#144|2#18|3500,53|1#152|2#19|3500
50	1	50	392	1173	1414	6000092#97|14#2597000	1#197146|2#20572	50|1#136|2#16|3000,52|1#146|2#18|3500,54|1#154|2#19|3500
51	1	51	400	1207	1437	6000092#98|14#2698920	1#203146|2#21280	51|1#138|2#17|3000,53|1#148|2#19|3500,55|1#156|2#20|3500
52	1	52	408	1314	1460	6000092#99|14#2802800	1#209194|2#22000	52|1#140|2#17|3000,54|1#150|2#19|3500,56|1#158|2#20|3500
53	1	53	417	1171	1483	6000092#100|14#2908640	1#215288|2#22732	53|1#142|2#17|3000,55|1#152|2#19|3500,57|1#160|2#20|3500
54	1	54	425	1069	1506	6000092#101|14#3016440	1#221430|2#23475	54|1#144|2#17|3000,56|1#154|2#19|3500,58|1#162|2#20|3500
55	1	55	433	917	1529	6000092#102|14#3126200	1#227620|2#24231	55|1#146|2#17|3000,57|1#156|2#19|3500,59|1#164|2#20|3500
56	1	56	442	1179	1552	6000092#103|14#3237920	1#233858|2#24999	56|1#148|2#18|3000,58|1#158|2#20|3500,60|1#166|2#21|3500
57	1	57	450	1054	1574	6000092#104|14#3351600	1#240146|2#25780	57|1#150|2#18|3000,59|1#160|2#20|3500,61|1#168|2#21|3500
58	1	58	458	1197	1596	6000092#105|14#3467240	1#246482|2#26574	58|1#152|2#18|3000,60|1#162|2#20|3500,62|1#170|2#21|3500
59	1	59	467	1100	1618	6000092#106|14#3584840	1#252868|2#27380	59|1#154|2#18|3000,61|1#164|2#20|3500,63|1#172|2#21|3500
60	1	60	475	1377	1640	6000092#107|14#3704400	1#259304|2#28200	60|1#156|2#18|3000,62|1#166|2#20|3500,64|1#174|2#21|3500
61	1	61	483	1146	1662	6000092#108|14#3825920	1#265790|2#29033	61|1#158|2#19|3000,63|1#168|2#21|3500,65|1#176|2#22|3500
62	1	62	492	1448	1684	6000092#109|14#3949400	1#272328|2#29880	62|1#160|2#19|3000,64|1#170|2#21|3500,66|1#178|2#22|3500
63	1	63	500	1108	1706	6000092#110|14#4074840	1#278916|2#30741	63|1#162|2#19|3000,65|1#172|2#21|3500,67|1#180|2#22|3500
64	1	64	508	1071	1728	6000092#111|14#4202240	1#285556|2#31615	64|1#164|2#19|3000,66|1#174|2#21|3500,68|1#182|2#22|3500
65	1	65	517	1085	1750	6000092#112|14#4331600	1#292248|2#32504	65|1#166|2#19|3000,67|1#176|2#21|3500,69|1#184|2#22|3500
66	1	66	525	1329	1772	6000092#113|14#4462920	1#298992|2#33407	66|1#168|2#20|3000,68|1#178|2#22|3500,70|1#186|2#23|3500
67	1	67	533	1471	1794	6000092#114|14#4596200	1#305790|2#34325	67|1#170|2#20|3000,69|1#180|2#22|3500,71|1#188|2#23|3500
68	1	68	542	1324	1815	6000092#115|14#4731440	1#312640|2#35258	68|1#172|2#20|3000,70|1#182|2#22|3500,72|1#190|2#23|3500
69	1	69	550	1597	1836	6000092#116|14#4868640	1#319544|2#36205	69|1#174|2#20|3000,71|1#184|2#22|3500,73|1#192|2#23|3500
70	1	70	558	0	0	null	1#326502|2#37168	null
71	2	1	0	54	80	6000092#50|14#4900	1#200|2#40	12|1#56|2#10|10000
72	2	2	0	93	128	6000092#50|14#9800	1#580|2#163	8|1#40|2#7|3000,10|1#50|2#9|3500,12|1#58|2#10|3500
73	2	3	5	117	159	6000092#50|14#17640	1#1152|2#296	8|1#42|2#7|3000,10|1#52|2#9|3500,12|1#60|2#10|3500
74	2	4	8	133	190	6000092#51|14#27440	1#1912|2#441	8|1#44|2#7|3000,10|1#54|2#9|3500,12|1#62|2#10|3500
75	2	5	17	167	221	6000092#52|14#39200	1#2864|2#616	8|1#46|2#7|3000,10|1#56|2#9|3500,12|1#64|2#10|3500
76	2	6	25	173	252	6000092#53|14#52920	1#4006|2#811	8|1#48|2#8|3000,10|1#58|2#10|3500,12|1#66|2#11|3500
77	2	7	33	250	282	6000092#54|14#68600	1#5338|2#1018	8|1#50|2#8|3000,10|1#60|2#10|3500,12|1#68|2#11|3500
78	2	8	42	265	312	6000092#55|14#86240	1#6860|2#1235	8|1#52|2#8|3000,10|1#62|2#10|3500,12|1#70|2#11|3500
79	2	9	50	212	342	6000092#56|14#105840	1#8574|2#1464	9|1#54|2#8|3000,11|1#64|2#10|3500,13|1#72|2#11|3500
80	2	10	58	319	372	6000092#57|14#127400	1#10476|2#1704	10|1#56|2#8|3000,12|1#66|2#10|3500,14|1#74|2#11|3500
81	2	11	67	293	402	6000092#58|14#150920	1#12570|2#1956	11|1#58|2#9|3000,13|1#68|2#11|3500,15|1#76|2#12|3500
82	2	12	75	383	431	6000092#59|14#176400	1#14854|2#2218	12|1#60|2#9|3000,14|1#70|2#11|3500,16|1#78|2#12|3500
83	2	13	83	377	460	6000092#60|14#203840	1#17328|2#2492	13|1#62|2#9|3000,15|1#72|2#11|3500,17|1#80|2#12|3500
84	2	14	92	376	489	6000092#61|14#233240	1#19992|2#2777	14|1#64|2#9|3000,16|1#74|2#11|3500,18|1#82|2#12|3500
85	2	15	100	393	518	6000092#62|14#264600	1#22846|2#3064	15|1#66|2#9|3000,17|1#76|2#11|3500,19|1#84|2#12|3500
86	2	16	108	426	547	6000092#63|14#297920	1#25892|2#3363	16|1#68|2#10|3000,18|1#78|2#12|3500,20|1#86|2#13|3500
87	2	17	117	425	575	6000092#64|14#333200	1#29126|2#3674	17|1#70|2#10|3000,19|1#80|2#12|3500,21|1#88|2#13|3500
88	2	18	125	416	603	6000092#65|14#370440	1#32552|2#3995	18|1#72|2#10|3000,20|1#82|2#12|3500,22|1#90|2#13|3500
89	2	19	133	530	631	6000092#66|14#409640	1#36168|2#4328	19|1#74|2#10|3000,21|1#84|2#12|3500,23|1#92|2#13|3500
90	2	20	142	560	659	6000092#67|14#450800	1#39974|2#4672	20|1#76|2#10|3000,22|1#86|2#12|3500,24|1#94|2#13|3500
91	2	21	150	419	687	6000092#68|14#493920	1#43970|2#5027	21|1#78|2#11|3000,23|1#88|2#13|3500,25|1#96|2#14|3500
92	2	22	158	442	714	6000092#69|14#539000	1#48158|2#5394	22|1#80|2#11|3000,24|1#90|2#13|3500,26|1#98|2#14|3500
93	2	23	167	644	741	6000092#70|14#586040	1#52534|2#5771	23|1#82|2#11|3000,25|1#92|2#13|3500,27|1#100|2#14|3500
94	2	24	175	576	768	6000092#71|14#635040	1#57292|2#6160	24|1#84|2#11|3000,26|1#94|2#13|3500,28|1#102|2#14|3500
95	2	25	183	675	795	6000092#72|14#686000	1#62096|2#6572	25|1#86|2#11|3000,27|1#96|2#13|3500,29|1#104|2#14|3500
96	2	26	192	550	822	6000092#73|14#738920	1#66946|2#6995	26|1#88|2#12|3000,28|1#98|2#14|3500,30|1#106|2#15|3500
97	2	27	200	695	848	6000092#74|14#793800	1#71842|2#7430	27|1#90|2#12|3000,29|1#100|2#14|3500,31|1#108|2#15|3500
98	2	28	208	524	874	6000092#75|14#850640	1#76784|2#7876	28|1#92|2#12|3000,30|1#102|2#14|3500,32|1#110|2#15|3500
99	2	29	217	576	900	6000092#76|14#909440	1#81772|2#8333	29|1#94|2#12|3000,31|1#104|2#14|3500,33|1#112|2#15|3500
100	2	30	225	564	926	6000092#77|14#970200	1#86806|2#8802	30|1#96|2#12|3000,32|1#106|2#14|3500,34|1#114|2#15|3500
101	2	31	233	599	952	6000092#78|14#1032920	1#91886|2#9282	31|1#98|2#13|3000,33|1#108|2#15|3500,35|1#116|2#16|3500
102	2	32	242	635	978	6000092#79|14#1097600	1#97012|2#9774	32|1#100|2#13|3000,34|1#110|2#15|3500,36|1#118|2#16|3500
103	2	33	250	772	1003	6000092#80|14#1164240	1#102184|2#10277	33|1#102|2#13|3000,35|1#112|2#15|3500,37|1#120|2#16|3500
104	2	34	258	771	1028	6000092#81|14#1232840	1#107402|2#10791	34|1#104|2#13|3000,36|1#114|2#15|3500,38|1#122|2#16|3500
105	2	35	267	789	1053	6000092#82|14#1303400	1#112666|2#11317	35|1#106|2#13|3000,37|1#116|2#15|3500,39|1#124|2#16|3500
106	2	36	275	905	1078	6000092#83|14#1375920	1#117976|2#11854	36|1#108|2#14|3000,38|1#118|2#16|3500,40|1#126|2#17|3500
107	2	37	283	739	1103	6000092#84|14#1450400	1#123332|2#12403	37|1#110|2#14|3000,39|1#120|2#16|3500,41|1#128|2#17|3500
108	2	38	292	800	1128	6000092#85|14#1526840	1#128734|2#12963	38|1#112|2#14|3000,40|1#122|2#16|3500,42|1#130|2#17|3500
109	2	39	300	830	1153	6000092#86|14#1605240	1#134182|2#13534	39|1#114|2#14|3000,41|1#124|2#16|3500,43|1#132|2#17|3500
110	2	40	308	823	1177	6000092#87|14#1685600	1#139676|2#14117	40|1#116|2#14|3000,42|1#126|2#16|3500,44|1#134|2#17|3500
111	2	41	317	1020	1201	6000092#88|14#1767920	1#145216|2#14711	41|1#118|2#15|3000,43|1#128|2#17|3500,45|1#136|2#18|3500
112	2	42	325	931	1225	6000092#89|14#1852200	1#150802|2#15317	42|1#120|2#15|3000,44|1#130|2#17|3500,46|1#138|2#18|3500
113	2	43	333	1049	1249	6000092#90|14#1938440	1#156434|2#15934	43|1#122|2#15|3000,45|1#132|2#17|3500,47|1#140|2#18|3500
114	2	44	342	1056	1273	6000092#91|14#2026640	1#162112|2#16562	44|1#124|2#15|3000,46|1#134|2#17|3500,48|1#142|2#18|3500
115	2	45	350	817	1297	6000092#92|14#2116800	1#167836|2#17202	45|1#126|2#15|3000,47|1#136|2#17|3500,49|1#144|2#18|3500
116	2	46	358	1162	1321	6000092#93|14#2208920	1#173606|2#17853	46|1#128|2#16|3000,48|1#138|2#18|3500,50|1#146|2#19|3500
117	2	47	367	1102	1345	6000092#94|14#2303000	1#179422|2#18516	47|1#130|2#16|3000,49|1#140|2#18|3500,51|1#148|2#19|3500
118	2	48	375	902	1368	6000092#95|14#2399040	1#185284|2#19190	48|1#132|2#16|3000,50|1#142|2#18|3500,52|1#150|2#19|3500
119	2	49	383	1071	1391	6000092#96|14#2497040	1#191192|2#19875	49|1#134|2#16|3000,51|1#144|2#18|3500,53|1#152|2#19|3500
120	2	50	392	975	1414	6000092#97|14#2597000	1#197146|2#20572	50|1#136|2#16|3000,52|1#146|2#18|3500,54|1#154|2#19|3500
121	2	51	400	1005	1437	6000092#98|14#2698920	1#203146|2#21280	51|1#138|2#17|3000,53|1#148|2#19|3500,55|1#156|2#20|3500
122	2	52	408	1241	1460	6000092#99|14#2802800	1#209194|2#22000	52|1#140|2#17|3000,54|1#150|2#19|3500,56|1#158|2#20|3500
123	2	53	417	1319	1483	6000092#100|14#2908640	1#215288|2#22732	53|1#142|2#17|3000,55|1#152|2#19|3500,57|1#160|2#20|3500
124	2	54	425	978	1506	6000092#101|14#3016440	1#221430|2#23475	54|1#144|2#17|3000,56|1#154|2#19|3500,58|1#162|2#20|3500
125	2	55	433	1070	1529	6000092#102|14#3126200	1#227620|2#24231	55|1#146|2#17|3000,57|1#156|2#19|3500,59|1#164|2#20|3500
126	2	56	442	1101	1552	6000092#103|14#3237920	1#233858|2#24999	56|1#148|2#18|3000,58|1#158|2#20|3500,60|1#166|2#21|3500
127	2	57	450	1259	1574	6000092#104|14#3351600	1#240146|2#25780	57|1#150|2#18|3000,59|1#160|2#20|3500,61|1#168|2#21|3500
128	2	58	458	1069	1596	6000092#105|14#3467240	1#246482|2#26574	58|1#152|2#18|3000,60|1#162|2#20|3500,62|1#170|2#21|3500
129	2	59	467	1342	1618	6000092#106|14#3584840	1#252868|2#27380	59|1#154|2#18|3000,61|1#164|2#20|3500,63|1#172|2#21|3500
130	2	60	475	1098	1640	6000092#107|14#3704400	1#259304|2#28200	60|1#156|2#18|3000,62|1#166|2#20|3500,64|1#174|2#21|3500
131	2	61	483	1362	1662	6000092#108|14#3825920	1#265790|2#29033	61|1#158|2#19|3000,63|1#168|2#21|3500,65|1#176|2#22|3500
132	2	62	492	1481	1684	6000092#109|14#3949400	1#272328|2#29880	62|1#160|2#19|3000,64|1#170|2#21|3500,66|1#178|2#22|3500
133	2	63	500	1040	1706	6000092#110|14#4074840	1#278916|2#30741	63|1#162|2#19|3000,65|1#172|2#21|3500,67|1#180|2#22|3500
134	2	64	508	1468	1728	6000092#111|14#4202240	1#285556|2#31615	64|1#164|2#19|3000,66|1#174|2#21|3500,68|1#182|2#22|3500
135	2	65	517	1137	1750	6000092#112|14#4331600	1#292248|2#32504	65|1#166|2#19|3000,67|1#176|2#21|3500,69|1#184|2#22|3500
136	2	66	525	1523	1772	6000092#113|14#4462920	1#298992|2#33407	66|1#168|2#20|3000,68|1#178|2#22|3500,70|1#186|2#23|3500
137	2	67	533	1255	1794	6000092#114|14#4596200	1#305790|2#34325	67|1#170|2#20|3000,69|1#180|2#22|3500,71|1#188|2#23|3500
138	2	68	542	1524	1815	6000092#115|14#4731440	1#312640|2#35258	68|1#172|2#20|3000,70|1#182|2#22|3500,72|1#190|2#23|3500
139	2	69	550	1193	1836	6000092#116|14#4868640	1#319544|2#36205	69|1#174|2#20|3000,71|1#184|2#22|3500,73|1#192|2#23|3500
140	2	70	558	0	0	null	1#326502|2#37168	null
141	3	1	0	51	80	6000092#50|14#4900	1#200|2#40	12|1#56|2#10|10000
142	3	2	0	79	128	6000092#50|14#9800	1#580|2#163	8|1#40|2#7|3000,10|1#50|2#9|3500,12|1#58|2#10|3500
143	3	3	5	119	159	6000092#50|14#17640	1#1152|2#296	8|1#42|2#7|3000,10|1#52|2#9|3500,12|1#60|2#10|3500
144	3	4	8	129	190	6000092#51|14#27440	1#1912|2#441	8|1#44|2#7|3000,10|1#54|2#9|3500,12|1#62|2#10|3500
145	3	5	17	192	221	6000092#52|14#39200	1#2864|2#616	8|1#46|2#7|3000,10|1#56|2#9|3500,12|1#64|2#10|3500
146	3	6	25	156	252	6000092#53|14#52920	1#4006|2#811	8|1#48|2#8|3000,10|1#58|2#10|3500,12|1#66|2#11|3500
147	3	7	33	250	282	6000092#54|14#68600	1#5338|2#1018	8|1#50|2#8|3000,10|1#60|2#10|3500,12|1#68|2#11|3500
148	3	8	42	243	312	6000092#55|14#86240	1#6860|2#1235	8|1#52|2#8|3000,10|1#62|2#10|3500,12|1#70|2#11|3500
149	3	9	50	259	342	6000092#56|14#105840	1#8574|2#1464	9|1#54|2#8|3000,11|1#64|2#10|3500,13|1#72|2#11|3500
150	3	10	58	293	372	6000092#57|14#127400	1#10476|2#1704	10|1#56|2#8|3000,12|1#66|2#10|3500,14|1#74|2#11|3500
151	3	11	67	309	402	6000092#58|14#150920	1#12570|2#1956	11|1#58|2#9|3000,13|1#68|2#11|3500,15|1#76|2#12|3500
152	3	12	75	262	431	6000092#59|14#176400	1#14854|2#2218	12|1#60|2#9|3000,14|1#70|2#11|3500,16|1#78|2#12|3500
153	3	13	83	400	460	6000092#60|14#203840	1#17328|2#2492	13|1#62|2#9|3000,15|1#72|2#11|3500,17|1#80|2#12|3500
154	3	14	92	420	489	6000092#61|14#233240	1#19992|2#2777	14|1#64|2#9|3000,16|1#74|2#11|3500,18|1#82|2#12|3500
155	3	15	100	352	518	6000092#62|14#264600	1#22846|2#3064	15|1#66|2#9|3000,17|1#76|2#11|3500,19|1#84|2#12|3500
156	3	16	108	415	547	6000092#63|14#297920	1#25892|2#3363	16|1#68|2#10|3000,18|1#78|2#12|3500,20|1#86|2#13|3500
157	3	17	117	391	575	6000092#64|14#333200	1#29126|2#3674	17|1#70|2#10|3000,19|1#80|2#12|3500,21|1#88|2#13|3500
158	3	18	125	373	603	6000092#65|14#370440	1#32552|2#3995	18|1#72|2#10|3000,20|1#82|2#12|3500,22|1#90|2#13|3500
159	3	19	133	561	631	6000092#66|14#409640	1#36168|2#4328	19|1#74|2#10|3000,21|1#84|2#12|3500,23|1#92|2#13|3500
160	3	20	142	540	659	6000092#67|14#450800	1#39974|2#4672	20|1#76|2#10|3000,22|1#86|2#12|3500,24|1#94|2#13|3500
161	3	21	150	535	687	6000092#68|14#493920	1#43970|2#5027	21|1#78|2#11|3000,23|1#88|2#13|3500,25|1#96|2#14|3500
162	3	22	158	585	714	6000092#69|14#539000	1#48158|2#5394	22|1#80|2#11|3000,24|1#90|2#13|3500,26|1#98|2#14|3500
163	3	23	167	452	741	6000092#70|14#586040	1#52534|2#5771	23|1#82|2#11|3000,25|1#92|2#13|3500,27|1#100|2#14|3500
164	3	24	175	637	768	6000092#71|14#635040	1#57292|2#6160	24|1#84|2#11|3000,26|1#94|2#13|3500,28|1#102|2#14|3500
165	3	25	183	707	795	6000092#72|14#686000	1#62096|2#6572	25|1#86|2#11|3000,27|1#96|2#13|3500,29|1#104|2#14|3500
166	3	26	192	706	822	6000092#73|14#738920	1#66946|2#6995	26|1#88|2#12|3000,28|1#98|2#14|3500,30|1#106|2#15|3500
167	3	27	200	652	848	6000092#74|14#793800	1#71842|2#7430	27|1#90|2#12|3000,29|1#100|2#14|3500,31|1#108|2#15|3500
168	3	28	208	620	874	6000092#75|14#850640	1#76784|2#7876	28|1#92|2#12|3000,30|1#102|2#14|3500,32|1#110|2#15|3500
169	3	29	217	612	900	6000092#76|14#909440	1#81772|2#8333	29|1#94|2#12|3000,31|1#104|2#14|3500,33|1#112|2#15|3500
170	3	30	225	777	926	6000092#77|14#970200	1#86806|2#8802	30|1#96|2#12|3000,32|1#106|2#14|3500,34|1#114|2#15|3500
171	3	31	233	628	952	6000092#78|14#1032920	1#91886|2#9282	31|1#98|2#13|3000,33|1#108|2#15|3500,35|1#116|2#16|3500
172	3	32	242	772	978	6000092#79|14#1097600	1#97012|2#9774	32|1#100|2#13|3000,34|1#110|2#15|3500,36|1#118|2#16|3500
173	3	33	250	892	1003	6000092#80|14#1164240	1#102184|2#10277	33|1#102|2#13|3000,35|1#112|2#15|3500,37|1#120|2#16|3500
174	3	34	258	894	1028	6000092#81|14#1232840	1#107402|2#10791	34|1#104|2#13|3000,36|1#114|2#15|3500,38|1#122|2#16|3500
175	3	35	267	810	1053	6000092#82|14#1303400	1#112666|2#11317	35|1#106|2#13|3000,37|1#116|2#15|3500,39|1#124|2#16|3500
176	3	36	275	905	1078	6000092#83|14#1375920	1#117976|2#11854	36|1#108|2#14|3000,38|1#118|2#16|3500,40|1#126|2#17|3500
177	3	37	283	849	1103	6000092#84|14#1450400	1#123332|2#12403	37|1#110|2#14|3000,39|1#120|2#16|3500,41|1#128|2#17|3500
178	3	38	292	812	1128	6000092#85|14#1526840	1#128734|2#12963	38|1#112|2#14|3000,40|1#122|2#16|3500,42|1#130|2#17|3500
179	3	39	300	933	1153	6000092#86|14#1605240	1#134182|2#13534	39|1#114|2#14|3000,41|1#124|2#16|3500,43|1#132|2#17|3500
180	3	40	308	800	1177	6000092#87|14#1685600	1#139676|2#14117	40|1#116|2#14|3000,42|1#126|2#16|3500,44|1#134|2#17|3500
181	3	41	317	972	1201	6000092#88|14#1767920	1#145216|2#14711	41|1#118|2#15|3000,43|1#128|2#17|3500,45|1#136|2#18|3500
182	3	42	325	833	1225	6000092#89|14#1852200	1#150802|2#15317	42|1#120|2#15|3000,44|1#130|2#17|3500,46|1#138|2#18|3500
183	3	43	333	1099	1249	6000092#90|14#1938440	1#156434|2#15934	43|1#122|2#15|3000,45|1#132|2#17|3500,47|1#140|2#18|3500
184	3	44	342	1094	1273	6000092#91|14#2026640	1#162112|2#16562	44|1#124|2#15|3000,46|1#134|2#17|3500,48|1#142|2#18|3500
185	3	45	350	1024	1297	6000092#92|14#2116800	1#167836|2#17202	45|1#126|2#15|3000,47|1#136|2#17|3500,49|1#144|2#18|3500
186	3	46	358	1109	1321	6000092#93|14#2208920	1#173606|2#17853	46|1#128|2#16|3000,48|1#138|2#18|3500,50|1#146|2#19|3500
187	3	47	367	887	1345	6000092#94|14#2303000	1#179422|2#18516	47|1#130|2#16|3000,49|1#140|2#18|3500,51|1#148|2#19|3500
188	3	48	375	902	1368	6000092#95|14#2399040	1#185284|2#19190	48|1#132|2#16|3000,50|1#142|2#18|3500,52|1#150|2#19|3500
189	3	49	383	931	1391	6000092#96|14#2497040	1#191192|2#19875	49|1#134|2#16|3000,51|1#144|2#18|3500,53|1#152|2#19|3500
190	3	50	392	1272	1414	6000092#97|14#2597000	1#197146|2#20572	50|1#136|2#16|3000,52|1#146|2#18|3500,54|1#154|2#19|3500
191	3	51	400	962	1437	6000092#98|14#2698920	1#203146|2#21280	51|1#138|2#17|3000,53|1#148|2#19|3500,55|1#156|2#20|3500
