Id	PrivilegeType	Type	RefreshType	IfFloat	UnlockType	Condition	ContinueTime
38	38	0	1#0	1	3	0#1|1#1	null
39	39	0	1#0	1	3	0#1|1#1	null
53	53	0	1#0	1	3	0#99999	null
54	54	0	1#0	1	3	0#99999	null
55	55	0	1#0	1	3	0#99999	null
90001	90001	0	1#0	1	3	0#0|1#0|2#1	null
90002	90002	0	1#0	1	3	0#0|1#0|2#1	null
1001	1001	0	1#0	1	3	0#-1	null
13	13	0	1#0	1	3	0#20	null
3011	3011	0	1#0	1	1	1#3	null
3012	3012	0	1#0	1	1	1#6	null
3013	3011	0	1#0	1	4	0#1|1#1	86400#1
12	12	0	1#0	1	3	0#3	null
51	51	0	1#0	1	3	0#10	null
52	52	0	1#0	1	3	0#10	null
111	106	0	1#0	1	4	0#1|1#1	86400#1
112	107	0	1#0	1	4	0#1|1#1	86400#1
113	108	0	1#0	1	4	0#1|1#1	86400#1
114	109	0	1#0	1	4	0#1|1#1	86400#1
115	110	0	1#0	1	4	0#1|1#1	86400#1
106	106	0	1#0	1	3	0#2|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|11#2|12#2|13#2|14#2|15#2|16#2|17#2|18#2	null
107	107	0	1#0	1	3	0#2|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|11#2|12#2|13#2|14#2|15#2|16#2|17#2|18#2	null
108	108	0	1#0	1	3	0#2|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|11#2|12#2|13#2|14#2|15#2|16#2|17#2|18#2	null
109	109	0	1#0	1	3	0#2|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|11#2|12#2|13#2|14#2|15#2|16#2|17#2|18#2	null
110	110	0	1#0	1	3	0#2|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|11#2|12#2|13#2|14#2|15#2|16#2|17#2|18#2	null
101	101	0	1#0	1	3	0#0|1#1|2#1|3#2|4#2|5#3|6#3|7#4|8#4|9#5|10#5|11#6|12#6|13#7|14#7|15#8|16#8|17#9|18#9	null
102	102	0	1#0	1	3	0#0|1#1|2#1|3#2|4#2|5#3|6#3|7#4|8#4|9#5|10#5|11#6|12#6|13#7|14#7|15#8|16#8|17#9|18#9	null
103	103	0	1#0	1	3	0#0|1#1|2#1|3#2|4#2|5#3|6#3|7#4|8#4|9#5|10#5|11#6|12#6|13#7|14#7|15#8|16#8|17#9|18#9	null
104	104	0	1#0	1	3	0#0|1#1|2#1|3#2|4#2|5#3|6#3|7#4|8#4|9#5|10#5|11#6|12#6|13#7|14#7|15#8|16#8|17#9|18#9	null
105	105	0	1#0	1	3	0#0|1#1|2#1|3#2|4#2|5#3|6#3|7#4|8#4|9#5|10#5|11#6|12#6|13#7|14#7|15#8|16#8|17#9|18#9	null
2004	2004	0	1#0	1	3	0#0|1#1|2#1|3#2|4#2|5#3|6#3|7#4|8#4|9#5|10#5|11#6|12#6|13#7|14#7|15#8|16#8|17#9|18#9	null
20001	20001	0	1#0	1	3	0#2|1#3|2#4|3#5|4#6|5#7|6#8|7#9|8#10|9#11|10#12|11#13|12#14|13#15|14#16|15#17|16#18|17#19|18#20	null
30001	30001	0	1#0	1	3	0#20|1#20|2#20|3#20|4#20|5#20|6#20|7#20|8#20|9#20|10#20	null
201	201	0	1#0	1	3	0#2|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|11#2|12#2|13#2|14#2|15#2|16#2|17#2|18#2	null
203	203	0	1#0	1	3	0#2|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|11#2|12#2|13#2|14#2|15#2|16#2|17#2|18#2	null
116	116	0	1#0	1	3	0#2	null
117	117	0	1#0	1	3	0#10	null
118	117	0	1#0	1	4	0#1|1#1	86400#1
40001	40001	0	1#0	1	3	0#2|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|11#2|12#2|13#2|14#2|15#2|16#2|17#2|18#2	null
40002	40002	0	1#0	1	3	0#30|1#30|2#30|3#30|4#30|5#30|6#30|7#30|8#30|9#30|10#30|11#30|12#30|13#30|14#30|15#30|16#30|17#30|18#30	null
10001	10001	1	3#0	2	4	0#1	null
10002	10002	1	3#0	2	4	0#1	null
70002	117	1	1#0	1	4	0#2	2592000#0
71002	116	1	1#0	1	4	0#6	2592000#0
60002	60002	1	2#7	1	4	0#1|1#2	604800#0
70001	70001	1	3#0	1	4	0#1	null
92001	92001	1	3#0	2	4	0#1	null
80001	80001	0	1#0	1	1	1#3	null
91001	91001	0	1#0	1	3	0#10	null
24	24	0	3#0	1	1	1#3	null
28	28	0	1#0	1	1	1#2	null
29	29	0	1#0	1	1	1#10	null
502	502	1	3#0	1	2	3101#1	null
505	505	1	3#0	1	2	4101#1	null
510	510	1	3#0	1	2	3101#1	null
6	6	0	1#0	1	3	0#20|1#20|2#30|3#30|4#40|5#40|6#50|7#50|8#60|9#60|10#70|11#70|12#80|13#80	null
7	7	0	1#0	1	3	0#4|1#4|2#4|3#5|4#5|5#5|6#6|7#6|8#6|9#7|10#7|11#7|12#8|13#8	null
8	8	0	1#0	1	3	0#1|1#1|2#2|3#2|4#3|5#3|6#4|7#4|8#5|9#5|10#6|11#6|12#7|13#7	null
9	9	0	1#0	1	3	0#10	null
10	10	0	1#0	1	3	0#100|1#100|2#100|3#100|4#100|5#100|6#100|7#100|8#100|9#100|10#100|11#100|12#100|13#100	null
11	11	0	1#0	1	3	0#-1	null
14	14	0	1#0	1	3	0#1|1#1	null
15	15	0	1#0	1	3	0#0|1#1	null
17	17	0	1#0	1	3	0#1	null
18	18	0	3#0	1	3	0#86400	null
19	19	0	3#0	1	3	0#5|1#5|2#6|3#6|4#7|5#7|6#8|7#8|8#9|9#9|10#10|11#10|12#11|13#11	null
20	20	0	3#0	1	3	0#100|1#110|2#120|3#140|4#160|5#180|6#200|7#220|8#240|9#260|10#280|11#300|12#300|13#300	null
23	23	0	3#0	1	3	0#10|1#10|2#11|3#11|4#12|5#12|6#13|7#13|8#14|9#14|10#15|11#15|12#16|13#16	null
32	32	0	1#0	1	3	0#1	null
99	99	0	1#0	1	3	0#1	null
202	202	0	1#0	1	3	0#3|1#3|2#3|3#3|4#3|5#3|6#3|7#3|8#3|9#3|10#3|11#3|12#3|13#3	null
1002	1002	1	3#0	1	3	0#0|1#1	null
1003	1003	0	1#0	1	3	0#1|1#1|2#1|3#1|4#1|5#1|6#1|7#2|8#2|9#2|10#2|11#2|12#3|13#3	null
2000	2000	0	1#0	1	3	0#10|1#12|2#14|3#16|4#18|5#20|6#22|7#24|8#26|9#28|10#30|11#32|12#34|13#36	null
30	30	0	1#0	1	4	null	null
31	31	0	1#0	1	4	null	null
35	1	0	3#0	2	4	0#0	null
119	119	0	1#0	1	3	0#0|1#1|2#1|3#2|4#2|5#3|6#3|7#4|8#4|9#5|10#5|11#6|12#6|13#7|14#7|15#8|16#8|17#9|18#9	null
120	120	0	1#0	1	3	0#2|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|11#2|12#2|13#2|14#2|15#2|16#2|17#2|18#2	null
506	506	1	3#0	1	4	null	null
507	507	1	3#0	1	4	null	null
508	508	0	3#0	1	4	null	null
1007	1007	0	3#0	1	4	0#1	null
40	40	0	3#0	1	3	0#10	null
8201	8201	1	3#0	1	4	0#1	null
8202	8202	1	3#0	1	4	0#1	null
8203	8203	1	3#0	1	4	0#1	null
8204	8204	1	3#0	1	4	0#1	null
8205	8205	1	3#0	1	4	0#1	null
8206	8206	1	3#0	1	4	0#1	null
8207	8207	1	3#0	1	4	0#1	null
8301	8301	1	3#0	1	4	0#1	null
8401	8401	1	3#0	1	4	0#1	null
8501	8501	1	3#0	1	4	0#1	null
8601	8601	1	3#0	1	4	0#1	null
8602	8602	1	3#0	1	4	0#1	null
8603	8603	1	3#0	1	4	0#1	null
8604	8604	1	3#0	1	4	0#1	null
8605	8605	1	3#0	1	4	0#1	null
