Id	Remarks	OpenRules	Reward	KillReward	LegionExp	MonsterId	AttributePromote	AttributePromotePrice	Privilege	MonsterHp
21	20010029	20	52021	52901	100	540021	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	90640000
22	20010030	21	52022	52901	100	540022	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	100570000
23	20010031	22	52023	52901	100	540023	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	111130000
24	20010032	23	52024	52901	100	540024	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	122320000
25	20010033	24	52025	52901	100	540025	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	134140000
26	20010034	25	52026	52901	100	540026	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	146590000
27	20010035	26	52027	52901	100	540027	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	159670000
28	20010036	27	52028	52901	100	540028	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	173380000
29	20010037	28	52029	52901	100	540029	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	187720000
30	20010038	29	52030	52901	100	540030	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	202690000
31	20010039	30	52031	52901	100	540031	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	218290000
32	20010040	31	52032	52901	100	540032	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	234520000
33	20010041	32	52033	52901	100	540033	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	251380000
34	20010042	33	52034	52901	100	540034	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	268870000
35	20010043	34	52035	52901	100	540035	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	286990000
36	20010044	35	52036	52901	100	540036	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	305740000
37	20010045	36	52037	52901	100	540037	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	325120000
38	20010046	37	52038	52901	100	540038	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	345140000
39	20010047	38	52039	52901	100	540039	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	365780000
40	20010048	39	52040	52901	100	540040	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	387050000
41	20010049	40	52041	52901	100	540041	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	408940000
42	20010050	41	52042	52901	100	540042	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	431480000
43	20010051	42	52043	52901	100	540043	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	454630000
44	20010052	43	52044	52901	100	540044	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	478420000
45	20010053	44	52045	52901	100	540045	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	502840000
46	20010054	45	52046	52901	100	540046	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	527890000
47	20010055	46	52047	52901	100	540047	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	553580000
48	20010056	47	52048	52901	100	540048	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	579890000
49	20010057	48	52049	52901	100	540049	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	606820000
50	20010058	49	52050	52901	100	540050	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	638000000
51	20010059	50	52051	52901	100	540051	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	663400000
52	20010060	51	52052	52901	100	540052	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	689410000
53	20010061	52	52053	52901	100	540053	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	716300000
54	20010062	53	52054	52901	100	540054	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	742900000
55	20010063	54	52055	52901	100	540055	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	771110000
56	20010064	55	52056	52901	100	540056	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	799310000
57	20010065	56	52057	52901	100	540057	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	827910000
58	20010066	57	52058	52901	100	540058	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	856510000
59	20010067	58	52059	52901	100	540059	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	886010000
60	20010068	59	52060	52901	100	540060	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	915510000
61	20010069	60	52061	52901	100	540061	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	946000000
62	20010070	61	52062	52901	100	540062	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	976510000
63	20010071	62	52063	52901	100	540063	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1008010000
64	20010072	63	52064	52901	100	540064	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1039510000
65	20010073	64	52065	52901	100	540065	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1072010000
66	20010074	65	52066	52901	100	540066	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1104010000
67	20010075	66	52067	52901	100	540067	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1138010000
68	20010076	67	52068	52901	100	540068	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1172010000
69	20010077	68	52069	52901	100	540069	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1208000000
70	20010078	69	52070	52901	100	540070	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1243000000
71	20010079	70	52071	52901	100	540071	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1281010000
72	20010080	71	52072	52901	100	540072	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1319010000
73	20010081	72	52073	52901	100	540073	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1359010000
74	20010082	73	52074	52901	100	540074	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1405000000
75	20010083	74	52075	52901	100	540075	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1441000000
76	20010084	75	52076	52901	100	540076	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1499000000
77	20010085	76	52077	52901	100	540077	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1559000000
78	20010086	77	52078	52901	100	540078	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1621010000
79	20010087	78	52079	52901	100	540079	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1687010000
80	20010088	79	52080	52901	100	540080	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1754010000
81	20010089	80	52081	52901	100	540081	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1841010000
82	20010090	81	52082	52901	100	540082	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1933010000
83	20010091	82	52083	52901	100	540083	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	2030000000
84	20010092	83	52084	52901	100	540084	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	2131010000
85	20010093	84	52085	52901	100	540085	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	2238010000
86	20010094	85	52086	52901	100	540086	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	2373010000
87	20010095	86	52087	52901	100	540087	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	2522010000
88	20010096	87	52088	52901	100	540088	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	2700010000
89	20010097	88	52089	52901	100	540089	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	2890200000
90	20010098	89	52090	52901	100	540090	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	3093400000
91	20010099	90	52091	52901	100	540091	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	3310900000
92	20010100	91	52092	52901	100	540092	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	3542110000
93	20010101	92	52093	52901	100	540093	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	3787900000
94	20010102	93	52094	52901	100	540094	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	4049300000
95	20010103	94	52095	52901	100	540095	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	4327510000
96	20010104	95	52096	52901	100	540096	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	4623710000
97	20010105	96	52097	52901	100	540097	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	4936810000
98	20010106	97	52098	52901	100	540098	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	5267110000
99	20010107	98	52099	52901	100	540099	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	5613410000
100	20010108	99	52100	52901	100	540100	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	5976110000
101	20010109	100	52101	52901	100	540101	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	6355500000
102	20010110	101	52102	52901	100	540102	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	6751920000
103	20010111	102	52103	52901	100	540103	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	7165610000
104	20010112	103	52104	52901	100	540104	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	7596920000
105	20010113	104	52105	52901	100	540105	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	8046010000
106	20010114	105	52106	52901	100	540106	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	8513010000
107	20010115	106	52107	52901	100	540107	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	8997910000
108	20010116	107	52108	52901	100	540108	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	9500810000
109	20010117	108	52109	52901	100	540109	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	10021810000
110	20010118	109	52110	52901	100	540110	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	10561110000
111	20010119	110	52111	52901	100	540111	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	11118920000
112	20010120	111	52112	52901	100	540112	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	11695420000
113	20010121	112	52113	52901	100	540113	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	12290810000
114	20010122	113	52114	52901	100	540114	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	12905300000
115	20010123	114	52115	52901	100	540115	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	13539000000
116	20010124	115	52116	52901	100	540116	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	14192100000
117	20010125	116	52117	52901	100	540117	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	14864700000
118	20010126	117	52118	52901	100	540118	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	15557010000
119	20010127	118	52119	52901	100	540119	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	16269210000
120	20010128	119	52120	52901	100	540120	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	17001510000
121	20010129	120	52121	52901	100	540121	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	17754110000
122	20010130	121	52122	52901	100	540122	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	18527210000
123	20010131	122	52123	52901	100	540123	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	19320900000
124	20010132	123	52124	52901	100	540124	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	20135410000
125	20010133	124	52125	52901	100	540125	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	20970910000
