Id	ActivityId	MinRank	MaxRank	RankingReward
79	10500	51	100	61#3|16#100
80	10500	101	200	61#2|16#100
81	10500	201	-1	61#1|16#50
10	10101	1	1	61#10|16#1000|6000088#2
11	10101	2	2	61#8|16#800|6000088#1
12	10101	3	3	61#7|16#500|6000088#1
13	10101	4	10	61#6|16#300
14	10101	11	20	61#5|16#150
15	10101	21	50	61#4|16#100
16	10101	51	100	61#3|16#100
17	10101	101	200	61#2|16#100
18	10101	201	-1	61#1|16#50
170	10601	1	1	61#10|16#1000|60428#2
171	10601	2	2	61#8|16#800|60428#1
172	10601	3	3	61#7|16#500|6001032#50
173	10601	4	10	61#6|16#300|81148#50
174	10601	11	20	61#5|16#150
175	10601	21	50	61#4|16#100
176	10601	51	100	61#3|16#100
177	10601	101	200	61#2|16#100
178	10601	201	-1	61#1|16#50
28	10201	1	1	61#10|16#1000|81004#2
29	10201	2	2	61#8|16#800|81004#1
30	10201	3	3	61#7|16#500|81004#1
31	10201	4	10	61#6|16#300
32	10201	11	20	61#5|16#150
33	10201	21	50	61#4|16#100
34	10201	51	100	61#3|16#100
35	10201	101	200	61#2|16#100
36	10201	201	-1	61#1|16#50
46	10301	1	1	61#10|16#1000|6000088#2
47	10301	2	2	61#8|16#800|6000088#1
48	10301	3	3	61#7|16#500|6000088#1
49	10301	4	10	61#6|16#300
50	10301	11	20	61#5|16#150
51	10301	21	50	61#4|16#100
52	10301	51	100	61#3|16#100
53	10301	101	200	61#2|16#100
54	10301	201	-1	61#1|16#50
64	10401	1	1	61#10|16#1000|6000088#2
65	10401	2	2	61#8|16#800|6000088#1
66	10401	3	3	61#7|16#500|6000088#1
67	10401	4	10	61#6|16#300
68	10401	11	20	61#5|16#150
69	10401	21	50	61#4|16#100
70	10401	51	100	61#3|16#100
71	10401	101	200	61#2|16#100
72	10401	201	-1	61#1|16#50
82	10501	1	1	61#10|16#1000|81004#2
83	10501	2	2	61#8|16#800|81004#1
84	10501	3	3	61#7|16#500|81004#1
85	10501	4	10	61#6|16#300
86	10501	11	20	61#5|16#150
87	10501	21	50	61#4|16#100
88	10501	51	100	61#3|16#100
89	10501	101	200	61#2|16#100
90	10501	201	-1	61#1|16#50
125	10102	1	1	61#10|16#1000|6000088#2
126	10102	2	2	61#8|16#800|6000088#1
127	10102	3	3	61#7|16#500|6000088#1
128	10102	4	10	61#6|16#300
129	10102	11	20	61#5|16#150
130	10102	21	50	61#4|16#100
131	10102	51	100	61#3|16#100
132	10102	101	200	61#2|16#100
133	10102	201	-1	61#1|16#50
179	10602	1	1	61#10|16#1000|60428#2
180	10602	2	2	61#8|16#800|60428#1
181	10602	3	3	61#7|16#500|6001032#50
182	10602	4	10	61#6|16#300|81148#50
183	10602	11	20	61#5|16#150
184	10602	21	50	61#4|16#100
185	10602	51	100	61#3|16#100
186	10602	101	200	61#2|16#100
187	10602	201	-1	61#1|16#50
134	10202	1	1	61#10|16#1000|81004#2
135	10202	2	2	61#8|16#800|81004#1
136	10202	3	3	61#7|16#500|81004#1
137	10202	4	10	61#6|16#300
138	10202	11	20	61#5|16#150
139	10202	21	50	61#4|16#100
140	10202	51	100	61#3|16#100
141	10202	101	200	61#2|16#100
142	10202	201	-1	61#1|16#50
143	10302	1	1	61#10|16#1000|6000088#2
144	10302	2	2	61#8|16#800|6000088#1
145	10302	3	3	61#7|16#500|6000088#1
146	10302	4	10	61#6|16#300
147	10302	11	20	61#5|16#150
148	10302	21	50	61#4|16#100
149	10302	51	100	61#3|16#100
150	10302	101	200	61#2|16#100
151	10302	201	-1	61#1|16#50
152	10402	1	1	61#10|16#1000|6000088#2
153	10402	2	2	61#8|16#800|6000088#1
154	10402	3	3	61#7|16#500|6000088#1
155	10402	4	10	61#6|16#300
156	10402	11	20	61#5|16#150
157	10402	21	50	61#4|16#100
158	10402	51	100	61#3|16#100
159	10402	101	200	61#2|16#100
160	10402	201	-1	61#1|16#50
161	10502	1	1	61#10|16#1000|81004#2
162	10502	2	2	61#8|16#800|81004#1
163	10502	3	3	61#7|16#500|81004#1
164	10502	4	10	61#6|16#300
165	10502	11	20	61#5|16#150
166	10502	21	50	61#4|16#100
167	10502	51	100	61#3|16#100
168	10502	101	200	61#2|16#100
169	10502	201	-1	61#1|16#50
91	4301	1	1	11012#50|4#5000
92	4301	2	3	11012#50|4#3000
93	4301	4	5	11012#50|4#1000
94	4301	6	10	11012#25|4#500
95	4301	11	20	11012#12|4#200
96	4302	1	1	11010#50|4#5000
97	4302	2	3	11010#50|4#3000
98	4302	4	5	11010#50|4#1000
99	4302	6	10	11010#25|4#500
100	4302	11	20	11010#12|4#200
101	4303	1	1	11012#50|4#5000
102	4303	2	3	11012#50|4#3000
103	4303	4	5	11012#50|4#1000
104	4303	6	10	11012#25|4#500
105	4303	11	20	11012#12|4#200
106	4304	1	1	11010#50|4#5000
107	4304	2	3	11010#50|4#3000
108	4304	4	5	11010#50|4#1000
109	4304	6	10	11010#25|4#500
110	4304	11	20	11010#12|4#200
111	4305	1	1	11012#50|4#5000
112	4305	2	3	11012#50|4#3000
113	4305	4	5	11012#50|4#1000
114	4305	6	10	11012#25|4#500
115	4305	11	20	11012#12|4#200
188	10603	1	1	16#600|6000057#100|6000110#10000
189	10603	2	2	16#550|6000057#50|6000110#9000
190	10603	3	3	16#500|6001020#50|6000110#8000
191	10603	4	10	16#400|6001020#45|6000110#7000
192	10603	11	20	16#300|6001020#40|6000110#6000
193	10603	21	50	16#250|6001020#35|6000110#5000
194	10603	51	100	16#200|6001020#30|6000110#4000
195	10603	101	200	16#150|6001020#25|6000110#3000
196	10603	201	-1	16#100|6001020#20|6000110#2000
