Id	ActivityId	Type	TaskType	TaskValue	Integral	Weight
3100009	31000	2	1020	1015|150	81003#1|72001#10	100
3100010	31000	2	1020	1015|200	61#1|72001#10	100
3100011	31000	2	1020	1015|250	16#2000|72001#10	100
3100012	31000	2	1020	1015|300	20#1|72001#10	100
3100013	31000	2	1020	1015|350	6000009#50|72001#10	100
701020	70102	1	73	0|1	4#50|3#20000|1011#10	100
701021	70102	1	36	0|3	4#50|3#20000|1011#10	100
701022	70102	1	36	0|4	6000110#200|3#20000|1011#10	100
701023	70102	1	77	0|5	72001#20|14#50000|1011#10	100
701024	70102	1	77	0|10	6000110#100|14#50000|1011#10	100
701025	70102	1	83	0|10	80#2|14#50000|1011#10	100
701026	70102	1	83	0|20	4#100|14#50000|1011#10	100
701027	70102	1	83	0|30	72001#20|14#50000|1011#10	100
701028	70102	1	22	0|1	39010#10|3#20000|1011#10	100
701029	70102	1	22	0|5	39010#20|3#20000|1011#10	100
701030	70102	1	1020	1011|20	16#50	100
701031	70102	1	1020	1011|40	4#100	100
701032	70102	1	1020	1011|80	72001#20	100
701033	70102	1	1020	1011|100	50005#2	100
701050	70105	2	900	0|2	19#10	100
701051	70105	2	900	0|3	60408#4	100
701052	70105	2	900	0|5	6000089#1	100
701053	70105	2	900	0|7	6000089#1|60408#2	100
701054	70105	2	900	0|9	6000089#1|60408#2	100
3200001	32000	1	73	0|1	14#50000|1016#10	100
3200002	32000	1	134	0|3	6000110#50|1016#10	100
3200003	32000	1	54	0|10	69#50|1016#10	100
3200004	32000	1	79	0|1	65#100|1016#10	100
3200005	32000	1	137	0|1	19#1|1016#10	100
3200006	32000	1	1	0|3	4#50|1016#10	100
3200007	32000	1	36	0|4	1004#1|1016#10	100
3200008	32000	2	1020	1016|10	19#1|60#5	100
3200009	32000	2	1020	1016|70	19#2|60#5	100
3200010	32000	2	1020	1016|140	81003#1|60#5	100
3200011	32000	2	1020	1016|210	81003#1|60#5	100
3200012	32000	2	1020	1016|270	61#1|60#5	100
3200013	32000	2	1020	1016|330	16#2000|60#5	100
3200014	32000	2	1020	1016|390	20#1|60#5	100
3200015	32000	2	1020	1016|450	6000022#50|60#5	100
3300001	33000	1	73	0|1	50001#1	100
3300002	33000	2	7	0|5	50000#5	100
3300003	33000	2	7	0|10	50002#1	100
3300004	33000	2	7	0|20	50002#2	100
3300005	33000	2	7	0|30	50002#3	100
3300006	33000	2	125	0|2	50001#3	100
3300007	33000	2	125	0|5	50002#1	100
3300008	33000	2	125	0|10	50002#2	100
3300009	33000	2	125	0|20	50002#3	100
3300010	33000	2	75	1|10	50002#1	100
3300011	33000	2	75	1|20	50002#2	100
3300012	33000	2	75	1|30	50002#3	100
3300013	33000	2	75	1|50	50002#5	100
3300014	33000	2	33	0|2	50002#1	100
3300015	33000	2	33	0|4	50002#2	100
3300016	33000	2	33	0|6	50002#3	100
3300017	33000	2	33	0|10	50002#5	100
3300018	33000	2	135	0|10	50001#4	100
3300019	33000	2	135	0|20	50001#8	100
3300020	33000	2	135	0|30	50001#12	100
3300021	33000	2	135	0|50	50002#3	100
3300022	33000	2	36	0|5	50001#3	100
3300023	33000	2	36	0|10	50002#1	100
3300024	33000	2	36	0|20	50002#2	100
3300025	33000	2	36	0|35	50002#3	100
702020	70202	1	73	0|1	4#50|3#20000|1011#10	100
702021	70202	1	36	0|3	4#50|3#20000|1011#10	100
702022	70202	1	36	0|4	6000110#200|3#20000|1011#10	100
702023	70202	1	77	0|5	72001#20|14#50000|1011#10	100
702024	70202	1	77	0|10	6000110#100|14#50000|1011#10	100
702025	70202	1	83	0|10	80#2|14#50000|1011#10	100
702026	70202	1	83	0|20	4#100|14#50000|1011#10	100
702027	70202	1	83	0|30	72001#20|14#50000|1011#10	100
702028	70202	1	22	0|1	39010#10|3#20000|1011#10	100
702029	70202	1	22	0|5	39010#20|3#20000|1011#10	100
702030	70202	1	1020	1011|20	16#50	100
702031	70202	1	1020	1011|40	4#100	100
702032	70202	1	1020	1011|80	72001#20	100
702033	70202	1	1020	1011|100	50005#2	100
702050	70205	2	900	0|2	19#10	100
702051	70205	2	900	0|3	60408#4	100
702052	70205	2	900	0|5	6000089#1	100
702053	70205	2	900	0|7	6000089#1|60408#2	100
702054	70205	2	900	0|9	6000089#1|60408#2	100
3400001	34000	1	73	0|1	14#50000|1017#10	100
3400002	34000	1	87	0|8	4#50|1017#10	100
3400003	34000	1	83	0|10	19#1|1017#10	100
3400004	34000	1	79	0|1	65#100|1017#10	100
3400005	34000	1	1007	0|1	69#50|1017#10	100
3400006	34000	1	2	5|1	4#50|1017#10	100
3400007	34000	1	22	0|5	72001#10|1017#10	100
3400008	34000	2	1020	1017|10	19#1|60#5	100
3400009	34000	2	1020	1017|70	19#2|60#5	100
3400010	34000	2	1020	1017|140	81003#1|60#5	100
3400011	34000	2	1020	1017|210	81003#1|60#5	100
3400012	34000	2	1020	1017|270	61#1|60#5	100
3400013	34000	2	1020	1017|330	16#2000|60#5	100
3400014	34000	2	1020	1017|390	20#1|60#5	100
3400015	34000	2	1020	1017|450	6000040#50|60#5	100
3500001	35000	1	73	0|1	14#50000|3#20000|1018#10	100
3500002	35000	1	87	0|8	14#50000|3#20000|1018#10	100
3500003	35000	1	83	0|10	14#50000|3#20000|1018#10	100
3500004	35000	1	125	0|3	14#50000|3#20000|1018#10	100
3500005	35000	1	2	5|1	14#100000|3#20000|1018#10	100
3500006	35000	1	108	16|500	50007#1|3#20000|1018#10	100
3500007	35000	2	1020	1018|50	19#1|72001#10	100
3500008	35000	2	1020	1018|100	81003#1|72001#10	100
3500009	35000	2	1020	1018|150	81003#1|72001#10	100
3500010	35000	2	1020	1018|200	61#1|72001#10	100
3500011	35000	2	1020	1018|250	16#2000|72001#10	100
3500012	35000	2	1020	1018|300	20#1|72001#10	100
3500013	35000	2	1020	1018|350	6000007#50|72001#10	100
703020	70302	1	73	0|1	4#50|3#20000|1011#10	100
703021	70302	1	36	0|3	4#50|3#20000|1011#10	100
703022	70302	1	36	0|4	6000110#200|3#20000|1011#10	100
703023	70302	1	77	0|5	72001#20|14#50000|1011#10	100
703024	70302	1	77	0|10	6000110#100|14#50000|1011#10	100
703025	70302	1	83	0|10	80#2|14#50000|1011#10	100
703026	70302	1	83	0|20	4#100|14#50000|1011#10	100
703027	70302	1	83	0|30	72001#20|14#50000|1011#10	100
703028	70302	1	22	0|1	39010#10|3#20000|1011#10	100
703029	70302	1	22	0|5	39010#20|3#20000|1011#10	100
703030	70302	1	1020	1011|20	16#50	100
703031	70302	1	1020	1011|40	4#100	100
703032	70302	1	1020	1011|80	72001#20	100
703033	70302	1	1020	1011|100	50005#2	100
703050	70305	2	900	0|2	19#10	100
703051	70305	2	900	0|3	60408#4	100
703052	70305	2	900	0|5	6000089#1	100
703053	70305	2	900	0|7	6000089#1|60408#2	100
703054	70305	2	900	0|9	6000089#1|60408#2	100
3600001	36000	1	73	0|1	14#50000|1019#10	100
3600002	36000	1	134	0|3	6000110#50|1019#10	100
3600003	36000	1	54	0|10	69#50|1019#10	100
3600004	36000	1	79	0|1	65#100|1019#10	100
3600005	36000	1	137	0|1	19#1|1019#10	100
3600006	36000	1	1	0|3	4#50|1019#10	100
3600007	36000	1	36	0|4	1004#1|1019#10	100
3600008	36000	2	1020	1019|10	19#1|60#5	100
3600009	36000	2	1020	1019|70	19#2|60#5	100
3600010	36000	2	1020	1019|140	81003#1|60#5	100
3600011	36000	2	1020	1019|210	81003#1|60#5	100
3600012	36000	2	1020	1019|270	61#1|60#5	100
3600013	36000	2	1020	1019|330	16#2000|60#5	100
3600014	36000	2	1020	1019|390	20#1|60#5	100
3600015	36000	2	1020	1019|450	6000027#50|60#5	100
3700001	37000	1	73	0|1	50001#1	100
3700002	37000	2	7	0|5	50000#5	100
3700003	37000	2	7	0|10	50002#1	100
3700004	37000	2	7	0|20	50002#2	100
3700005	37000	2	7	0|30	50002#3	100
3700006	37000	2	125	0|2	50001#3	100
3700007	37000	2	125	0|5	50002#1	100
3700008	37000	2	125	0|10	50002#2	100
3700009	37000	2	125	0|20	50002#3	100
3700010	37000	2	75	1|10	50002#1	100
3700011	37000	2	75	1|20	50002#2	100
3700012	37000	2	75	1|30	50002#3	100
3700013	37000	2	75	1|50	50002#5	100
3700014	37000	2	33	0|2	50002#1	100
3700015	37000	2	33	0|4	50002#2	100
3700016	37000	2	33	0|6	50002#3	100
3700017	37000	2	33	0|10	50002#5	100
3700018	37000	2	135	0|10	50001#4	100
3700019	37000	2	135	0|20	50001#8	100
3700020	37000	2	135	0|30	50001#12	100
3700021	37000	2	135	0|50	50002#3	100
3700022	37000	2	36	0|5	50001#3	100
3700023	37000	2	36	0|10	50002#1	100
3700024	37000	2	36	0|20	50002#2	100
3700025	37000	2	36	0|35	50002#3	100
704020	70402	1	73	0|1	4#50|3#20000|1011#10	100
704021	70402	1	36	0|3	4#50|3#20000|1011#10	100
704022	70402	1	36	0|4	6000110#200|3#20000|1011#10	100
704023	70402	1	77	0|5	72001#20|14#50000|1011#10	100
704024	70402	1	77	0|10	6000110#100|14#50000|1011#10	100
704025	70402	1	83	0|10	80#2|14#50000|1011#10	100
704026	70402	1	83	0|20	4#100|14#50000|1011#10	100
704027	70402	1	83	0|30	72001#20|14#50000|1011#10	100
704028	70402	1	22	0|1	39010#10|3#20000|1011#10	100
704029	70402	1	22	0|5	39010#20|3#20000|1011#10	100
704030	70402	1	1020	1011|20	16#50	100
704031	70402	1	1020	1011|40	4#100	100
704032	70402	1	1020	1011|80	72001#20	100
704033	70402	1	1020	1011|100	50005#2	100
704050	70405	2	900	0|2	19#10	100
704051	70405	2	900	0|3	60408#4	100
704052	70405	2	900	0|5	6000089#1	100
704053	70405	2	900	0|7	6000089#1|60408#2	100
704054	70405	2	900	0|9	6000089#1|60408#2	100
21	22000	1	73	0|1	80#1	100
22	22000	1	87	0|3	60#1	100
23	22000	1	103	0|100	1002#1	100
24	22000	2	2	4|5	14#1000000	100
25	22000	2	54	0|10	60#1	100
26	22000	2	28	0|10	19#2	100
27	22000	2	83	0|10	6000110#200	100
28	22000	1	117	0|1	87#1	100
29	22000	1	135	0|10	60#1	100
30	22000	2	108	16|3000	67#50	100
50001	50003	1	103	0|50	6000115#5	100
50002	50003	1	7	0|2	6000115#1	100
50003	50003	1	7	0|5	6000115#3	100
50004	50003	1	7	0|10	6000115#6	100
50005	50003	1	28	0|5	6000115#5	100
50006	50003	1	125	0|2	6000115#3	100
50007	50003	1	125	0|4	6000115#5	100
50008	50003	1	125	0|6	6000115#12	100
50009	50003	1	36	0|2	6000115#2	100
50010	50003	1	36	0|7	6000115#10	100
50011	50003	1	108	16|150	6000115#1	100
50012	50003	1	108	16|500	6000115#5	100
50013	50003	1	108	16|1500	6000115#7	100
50014	50003	1	108	16|3000	6000115#15	100
50015	50003	1	117	0|1	6000115#10	100
50101	50103	1	103	0|50	6000115#5	100
50102	50103	1	7	0|2	6000115#1	100
50103	50103	1	7	0|5	6000115#3	100
50104	50103	1	7	0|10	6000115#6	100
50105	50103	1	28	0|5	6000115#5	100
50106	50103	1	125	0|2	6000115#3	100
50107	50103	1	125	0|4	6000115#5	100
50108	50103	1	125	0|6	6000115#12	100
50109	50103	1	36	0|2	6000115#2	100
50110	50103	1	36	0|7	6000115#10	100
50111	50103	1	108	16|150	6000115#1	100
50112	50103	1	108	16|500	6000115#5	100
50113	50103	1	108	16|1500	6000115#7	100
50114	50103	1	108	16|3000	6000115#15	100
50115	50103	1	117	0|1	6000115#10	100
50201	50203	1	103	0|50	6000115#5	100
50202	50203	1	7	0|2	6000115#1	100
50203	50203	1	7	0|5	6000115#3	100
50204	50203	1	7	0|10	6000115#6	100
50205	50203	1	28	0|5	6000115#5	100
50206	50203	1	125	0|2	6000115#3	100
50207	50203	1	125	0|4	6000115#5	100
50208	50203	1	125	0|6	6000115#12	100
50209	50203	1	36	0|2	6000115#2	100
50210	50203	1	36	0|7	6000115#10	100
50211	50203	1	108	16|150	6000115#1	100
50212	50203	1	108	16|500	6000115#5	100
50213	50203	1	108	16|1500	6000115#7	100
50214	50203	1	108	16|3000	6000115#15	100
50215	50203	1	117	0|1	6000115#10	100
50301	50303	1	103	0|50	6000115#5	100
50302	50303	1	7	0|2	6000115#1	100
50303	50303	1	7	0|5	6000115#3	100
50304	50303	1	7	0|10	6000115#6	100
50305	50303	1	28	0|5	6000115#5	100
50306	50303	1	125	0|2	6000115#3	100
50307	50303	1	125	0|4	6000115#5	100
50308	50303	1	125	0|6	6000115#12	100
50309	50303	1	36	0|2	6000115#2	100
50310	50303	1	36	0|7	6000115#10	100
50311	50303	1	108	16|150	6000115#1	100
50312	50303	1	108	16|500	6000115#5	100
50313	50303	1	108	16|1500	6000115#7	100
50314	50303	1	108	16|3000	6000115#15	100
50315	50303	1	117	0|1	6000115#10	100
51001	51003	1	103	0|50	6000115#5	100
51002	51003	1	7	0|2	6000115#1	100
51003	51003	1	7	0|5	6000115#3	100
51004	51003	1	7	0|10	6000115#6	100
51005	51003	1	28	0|5	6000115#5	100
51006	51003	1	125	0|2	6000115#3	100
51007	51003	1	125	0|4	6000115#5	100
51008	51003	1	125	0|6	6000115#12	100
51009	51003	1	36	0|2	6000115#2	100
51010	51003	1	36	0|7	6000115#10	100
51011	51003	1	108	16|150	6000115#1	100
51012	51003	1	108	16|500	6000115#5	100
51013	51003	1	108	16|1500	6000115#7	100
51014	51003	1	108	16|3000	6000115#15	100
51015	51003	1	117	0|1	6000115#10	100
51101	51103	1	103	0|50	6000115#5	100
51102	51103	1	7	0|2	6000115#1	100
51103	51103	1	7	0|5	6000115#3	100
51104	51103	1	7	0|10	6000115#6	100
51105	51103	1	28	0|5	6000115#5	100
51106	51103	1	125	0|2	6000115#3	100
51107	51103	1	125	0|4	6000115#5	100
51108	51103	1	125	0|6	6000115#12	100
51109	51103	1	36	0|2	6000115#2	100
51110	51103	1	36	0|7	6000115#10	100
51111	51103	1	108	16|150	6000115#1	100
51112	51103	1	108	16|500	6000115#5	100
51113	51103	1	108	16|1500	6000115#7	100
51114	51103	1	108	16|3000	6000115#15	100
51115	51103	1	117	0|1	6000115#10	100
51201	51203	1	103	0|50	6000115#5	100
51202	51203	1	7	0|2	6000115#1	100
51203	51203	1	7	0|5	6000115#3	100
51204	51203	1	7	0|10	6000115#6	100
51205	51203	1	28	0|5	6000115#5	100
51206	51203	1	125	0|2	6000115#3	100
51207	51203	1	125	0|4	6000115#5	100
51208	51203	1	125	0|6	6000115#12	100
51209	51203	1	36	0|2	6000115#2	100
51210	51203	1	36	0|7	6000115#10	100
51211	51203	1	108	16|150	6000115#1	100
51212	51203	1	108	16|500	6000115#5	100
51213	51203	1	108	16|1500	6000115#7	100
51214	51203	1	108	16|3000	6000115#15	100
51215	51203	1	117	0|1	6000115#10	100
51301	51303	1	103	0|50	6000115#5	100
51302	51303	1	7	0|2	6000115#1	100
51303	51303	1	7	0|5	6000115#3	100
51304	51303	1	7	0|10	6000115#6	100
51305	51303	1	28	0|5	6000115#5	100
51306	51303	1	125	0|2	6000115#3	100
51307	51303	1	125	0|4	6000115#5	100
51308	51303	1	125	0|6	6000115#12	100
51309	51303	1	36	0|2	6000115#2	100
51310	51303	1	36	0|7	6000115#10	100
51311	51303	1	108	16|150	6000115#1	100
51312	51303	1	108	16|500	6000115#5	100
51313	51303	1	108	16|1500	6000115#7	100
51314	51303	1	108	16|3000	6000115#15	100
51315	51303	1	117	0|1	6000115#10	100
