Id	ActivityId	RewardType	MinRank	MaxRank	RankingReward	BasLineScore	BasLineRewardId
1508	615	2	3	3	20017#1|61#6|65#3000	0	0
1509	615	2	4	10	61#4|65#2000	0	0
1510	615	2	11	20	61#2|65#1500	0	0
1511	615	2	21	30	61#1|65#1000	0	0
1601	616	1	1	1	60423#1|81148#150|65#5000	2500	1605
1602	616	1	2	2	60428#1|81148#150|65#4000	2500	1605
1603	616	1	3	3	60428#1|81148#100|65#3000	2500	1605
1604	616	1	4	10	6001032#50|81148#50|65#2000	2500	1605
1605	616	1	11	50	19#10|81148#50|65#1000	0	0
1606	616	2	1	1	20015#1|61#10|65#5000	0	0
1607	616	2	2	2	20016#1|61#8|65#4000	0	0
1608	616	2	3	3	20017#1|61#6|65#3000	0	0
1609	616	2	4	10	61#4|65#2000	0	0
1610	616	2	11	20	61#2|65#1500	0	0
1611	616	2	21	30	61#1|65#1000	0	0
1701	617	1	1	1	60423#1|60406#1|65#5000	2500	1705
1702	617	1	2	2	60428#1|10423#3|65#4000	2500	1705
1703	617	1	3	3	60428#1|10423#2|65#3000	2500	1705
1704	617	1	4	10	6001032#50|10423#1|65#2000	2500	1705
1705	617	1	11	50	19#10|10422#2|65#1000	0	0
1706	617	2	1	1	20015#1|61#10|65#5000	0	0
1707	617	2	2	2	20016#1|61#8|65#4000	0	0
1708	617	2	3	3	20017#1|61#6|65#3000	0	0
1709	617	2	4	10	61#4|65#2000	0	0
1710	617	2	11	20	61#2|65#1500	0	0
1711	617	2	21	30	61#1|65#1000	0	0
1801	618	1	1	1	60423#1|81148#150|65#5000	2500	1805
1802	618	1	2	2	60428#1|81148#150|65#4000	2500	1805
1803	618	1	3	3	60428#1|81148#100|65#3000	2500	1805
1804	618	1	4	10	6001032#50|81148#50|65#2000	2500	1805
1805	618	1	11	50	19#10|81148#50|65#1000	0	0
1806	618	2	1	1	20015#1|61#10|65#5000	0	0
1807	618	2	2	2	20016#1|61#8|65#4000	0	0
1808	618	2	3	3	20017#1|61#6|65#3000	0	0
1809	618	2	4	10	61#4|65#2000	0	0
1810	618	2	11	20	61#2|65#1500	0	0
1811	618	2	21	30	61#1|65#1000	0	0
1901	619	1	1	1	60423#1|60406#1|65#5000	2500	1905
1902	619	1	2	2	60428#1|10423#3|65#4000	2500	1905
1903	619	1	3	3	60428#1|10423#2|65#3000	2500	1905
1904	619	1	4	10	6001032#50|10423#1|65#2000	2500	1905
1905	619	1	11	50	19#10|10422#2|65#1000	0	0
1906	619	2	1	1	20015#1|61#10|65#5000	0	0
1907	619	2	2	2	20016#1|61#8|65#4000	0	0
1908	619	2	3	3	20017#1|61#6|65#3000	0	0
1909	619	2	4	10	61#4|65#2000	0	0
1910	619	2	11	20	61#2|65#1500	0	0
1911	619	2	21	30	61#1|65#1000	0	0
2001	620	1	1	1	60423#1|81148#150|65#5000	2500	2005
2002	620	1	2	2	60428#1|81148#150|65#4000	2500	2005
2003	620	1	3	3	60428#1|81148#100|65#3000	2500	2005
2004	620	1	4	10	6001032#50|81148#50|65#2000	2500	2005
2005	620	1	11	50	19#10|81148#50|65#1000	0	0
2006	620	2	1	1	20015#1|61#10|65#5000	0	0
2007	620	2	2	2	20016#1|61#8|65#4000	0	0
2008	620	2	3	3	20017#1|61#6|65#3000	0	0
2009	620	2	4	10	61#4|65#2000	0	0
2010	620	2	11	20	61#2|65#1500	0	0
2011	620	2	21	30	61#1|65#1000	0	0
2101	621	1	1	1	60423#1|60406#1|65#5000	2500	2105
2102	621	1	2	2	60428#1|10423#3|65#4000	2500	2105
2103	621	1	3	3	60428#1|10423#2|65#3000	2500	2105
2104	621	1	4	10	6001032#50|10423#1|65#2000	2500	2105
2105	621	1	11	50	19#10|10422#2|65#1000	0	0
2106	621	2	1	1	20015#1|61#10|65#5000	0	0
2107	621	2	2	2	20016#1|61#8|65#4000	0	0
2108	621	2	3	3	20017#1|61#6|65#3000	0	0
2109	621	2	4	10	61#4|65#2000	0	0
2110	621	2	11	20	61#2|65#1500	0	0
2111	621	2	21	30	61#1|65#1000	0	0
2201	622	1	1	1	60423#1|81148#150|65#5000	2500	2205
2202	622	1	2	2	60428#1|81148#150|65#4000	2500	2205
2203	622	1	3	3	60428#1|81148#100|65#3000	2500	2205
2204	622	1	4	10	6001032#50|81148#50|65#2000	2500	2205
2205	622	1	11	50	19#10|81148#50|65#1000	0	0
2206	622	2	1	1	20015#1|61#10|65#5000	0	0
2207	622	2	2	2	20016#1|61#8|65#4000	0	0
2208	622	2	3	3	20017#1|61#6|65#3000	0	0
2209	622	2	4	10	61#4|65#2000	0	0
2210	622	2	11	20	61#2|65#1500	0	0
2211	622	2	21	30	61#1|65#1000	0	0
2301	623	1	1	1	60423#1|60406#1|65#5000	2500	2305
2302	623	1	2	2	60428#1|10423#3|65#4000	2500	2305
2303	623	1	3	3	60428#1|10423#2|65#3000	2500	2305
2304	623	1	4	10	6001032#50|10423#1|65#2000	2500	2305
2305	623	1	11	50	19#10|10422#2|65#1000	0	0
2306	623	2	1	1	20015#1|61#10|65#5000	0	0
2307	623	2	2	2	20016#1|61#8|65#4000	0	0
2308	623	2	3	3	20017#1|61#6|65#3000	0	0
2309	623	2	4	10	61#4|65#2000	0	0
2310	623	2	11	20	61#2|65#1500	0	0
2311	623	2	21	30	61#1|65#1000	0	0
