id	MapId	Logic	Values	Score	Reward
94	112	2	11201|1	10	null
95	112	2	11202#11203#11204|3	10	null
96	112	1	112178#112179#112180|1	10	null
97	112	1	112102#112103#112104|1	10	null
98	112	1	112115#112116|1	10	null
99	112	1	112124#112125#112126|1	10	null
100	112	1	112162#112164#112166#112167#112168|1	10	null
101	112	3	0|12	10	null
102	112	7	0|2	10	null
103	112	7	0|4	10	null
104	113	2	11301|1	15	null
105	113	2	11302|1	20	null
106	113	2	11303|1	10	null
107	113	1	113066#113068#113070#113131#113072#113074#113076#113078#113080#113131#113132#113133|1	20	null
108	113	7	0|1	10	null
109	113	7	0|3	10	null
110	113	3	0|10	15	null
111	114	1	114022#114024#114026#114028#114030#114032#114034#114036#114038#114040#114042#114044#114045#114046|1	10	null
112	114	1	114052#114054#114056#114058#114060#114061#114062|1	15	null
113	114	1	114122#114123#114137#114139#114141#114142#114143#114165#114166#114167|3	15	null
114	114	1	114064#114066#114068#114070#114072#114074#114076#114078#114080#114082#114083#114084|1	10	null
115	114	2	11402|5	15	null
116	114	3	0|10	10	null
117	114	7	0|1	10	null
118	114	7	0|3	15	null
119	115	1	115002#115004#115006#115008#115010#115012#115014#115112#115114#115115#115116|1	10	null
120	115	1	115027#115028|1	10	null
121	115	2	11501|1	10	null
122	115	2	11503|1	15	null
123	115	1	115094#115096#115098#115100#115102#115104#115105#115106|1	10	null
124	115	1	115234#115236#115237#115238|1	10	null
125	115	3	0|10	10	null
126	115	7	0|2	10	null
127	115	7	0|4	15	null
128	116	1	116002#116003#116004|1	5	null
129	116	1	116006#116007#116008|1	5	null
130	116	2	11601|1	5	null
131	116	1	116045|1	5	null
132	116	1	116061|1	5	null
133	116	2	11604|2	5	null
134	116	1	116105|2	10	null
135	116	2	11605|1	10	null
136	116	3	0|12	20	null
137	116	7	0|3	20	null
138	116	1	116148#116150#116152#116153#116154|1	10	null
139	117	1	117002#117004#117006#117008#117009#117010|1	5	null
140	117	1	117031|1	5	null
141	117	1	117039|1	5	null
142	117	1	117047#117048|1	5	null
143	117	1	117062#117064#117066#117068#117070#117071#117072#117082#117084#117086#117087#117088#117090#117092#117094#117096#117098#117100#117102#117103#117104|2	15	null
144	117	1	117136#117138#117139#117140|1	10	null
145	117	2	11704|1	10	null
146	117	1	117154#117156#117158#117159#117160|1	15	null
147	117	3	0|12	20	null
148	117	7	0|3	10	null
149	118	1	118002#118004#118006#118007#118008|1	5	null
150	118	2	11801|3	15	null
151	118	2	11802|1	5	null
152	118	1	118098#118100#118102#118104#118106#118107#118108|1	15	null
153	118	2	11804|1	5	null
154	118	2	11805|1	5	null
155	118	1	118164#118165#118166#118168#118169#118170|1	10	null
156	118	3	0|12	20	null
157	118	7	0|3	20	null
158	119	1	119002#119004#119006#119008#119010#119011#119012|1	5	null
159	119	1	119014#119016#119018#119020#119021#119022|1	5	null
160	119	2	11901|2	15	null
161	119	2	11902|1	10	null
162	119	1	119096#119098#119100#119101#119102|1	15	null
163	119	3	0|12	20	null
164	119	1	119142#119144#119146#119148#119149#119150|1	10	null
165	119	7	0|3	20	null
166	120	1	120002#120004#120006#120008#120010#120012#120014#120015#120016|1	5	null
167	120	1	120049|1	5	null
168	120	1	120072#120073#120074|1	10	null
169	120	1	120077|1	10	null
170	120	2	12003#12004#12005|3	10	null
171	120	1	120120#120122#120123#120124|1	10	null
172	120	1	120201#120202|1	20	null
173	120	3	0|12	15	null
174	120	7	0|3	15	null
175	201	2	201007|1	40	null
176	201	2	201008|1	60	null
177	202	2	202007|1	40	null
178	202	2	202008|1	60	null
179	203	2	203007|1	30	null
180	203	2	203008|1	30	null
181	203	2	203009|1	40	null
182	204	2	204007|1	30	null
183	204	2	204008|1	30	null
184	204	2	204009|1	40	null
185	205	2	205007|1	10	null
186	205	2	205008|1	20	null
187	205	2	205009|1	30	null
188	205	2	205010|1	40	null
189	206	2	206007|1	30	null
190	206	2	206008|1	30	null
191	206	2	206009|1	40	null
192	207	2	207007|1	10	null
193	207	2	207008|1	20	null
194	207	2	207009|1	30	null
195	207	2	207010|1	40	null
196	208	2	208007|1	40	null
197	208	2	208008|1	60	null
198	209	2	209007|1	30	null
199	209	2	209008|1	30	null
200	209	2	209009|1	40	null
201	210	2	210007|1	10	null
202	210	2	210008|1	20	null
203	210	2	210009|1	30	null
204	210	2	210010|1	40	null
205	211	2	211007|1	30	null
206	211	2	211008|1	30	null
207	211	2	211009|1	40	null
208	212	2	212007|1	30	null
209	212	2	212008|1	30	null
210	212	2	212009|1	40	null
211	213	2	213007|1	40	null
212	213	2	213008|1	60	null
213	214	2	214007|1	10	null
214	214	2	214008|1	20	null
215	214	2	214009|1	30	null
216	214	2	214010|1	40	null
217	215	2	215007|1	30	null
218	215	2	215008|1	30	null
219	215	2	215009|1	40	null
220	301	21	0#300103#300104|1	1	43010
221	301	21	0#300101#300102#300201#300202#300301#300302#300401#300402|18	1	43001
222	301	21	0#300101#300102#300201#300202#300301#300302#300401#300402|30	1	43001
223	301	21	0#300101#300102#300201#300202#300301#300302#300401#300402|48	1	43001
224	301	21	0#300103#300203#300303#300403|4	1	43009
225	301	21	0#300104#300204#300304#300404|4	1	43009
226	301	21	0#300103#300203#300303#300403|8	1	43011
227	301	21	0#300104#300204#300304#300404|8	1	43011
228	301	9	1|1	1	43001
229	301	9	2|1	1	43002
230	301	9	3|1	1	43003
231	301	9	4|1	1	43004
232	301	10	1|300	1	43005
233	301	10	2|300	1	43006
234	301	10	3|300	1	43007
235	301	10	4|300	1	43008
236	301	11	1|1	1	43013
237	301	11	2|1	1	43013
238	301	11	3|1	1	43013
239	301	11	4|1	1	43013
240	301	16	3#300307|5	1	43015
241	301	13	4|3	1	43015
242	301	14	4#300403|1	1	43015
243	301	15	4#300404|30	1	43015
244	301	21	4#300407|1	1	43015
245	301	17	3001058#3001059#3001060#3002058#3002059#3002060#3003058#3003059#3003060#3004058#3004059#3004060|3001064#3001065#3001066#3002064#3002065#3002066#3003064#3003065#3003066#3004064#3004065#3004066|3001070#3001072#3001074#3001076#3001077#3001078#3002070#3002072#3002074#3002076#3002077#3002078#3003070#3003072#3003074#3003076#3003077#3003078#3004070#3004072#3004074#3004076#3004077#3004078|0	1	43013
246	302	21	0#301102#301103#301104#301105|1	1	43010
247	302	21	0#301101#301201#301301#301401|15	1	43001
248	302	21	0#301101#301201#301301#301401|25	1	43001
249	302	21	0#301101#301201#301301#301401|45	1	43001
250	302	21	0#301105#301205#301305#301405|4	1	43012
251	302	21	0#301105#301205#301305#301405|8	1	43012
252	302	9	1|1	1	43001
253	302	9	2|1	1	43002
254	302	9	3|1	1	43003
255	302	9	4|1	1	43004
256	302	10	1|600	1	43005
257	302	10	2|600	1	43006
258	302	10	3|600	1	43007
259	302	10	4|600	1	43008
260	302	11	1|1	1	43014
261	302	11	2|1	1	43014
262	302	11	3|1	1	43014
263	302	11	4|1	1	43014
264	302	13	4|1	1	43016
265	302	15	4#301405|40	1	43016
266	302	14	4#301409|2#3	1	43016
267	302	16	4#301410|4	1	43016
268	303	21	0#302104#302105|1	1	44011
269	303	21	0#302106#302206#302306#302406|1	1	44013
270	303	21	0#302103#302203#302303#302403|5	1	44001
271	303	21	0#302103#302203#302303#302403|10	1	44001
272	303	21	0#302103#302203#302303#302403|20	1	44001
273	303	21	0#302104#302204#302304#302404|4	1	44012
274	303	21	0#302105#302205#302305#302405|4	1	44013
275	303	21	0#302104#302204#302304#302404|8	1	44012
276	303	21	0#302105#302205#302305#302405|8	1	44013
277	303	9	1|1	1	44002
278	303	9	2|1	1	44003
279	303	9	3|1	1	44004
280	303	9	4|1	1	44005
281	303	10	1|600	1	44007
282	303	10	2|600	1	44008
283	303	10	3|600	1	44009
284	303	10	4|600	1	44010
285	303	11	1|1	1	44018
286	303	11	2|1	1	44018
287	303	11	3|1	1	44018
288	303	11	4|1	1	44018
289	303	14	4#302406|1	1	44020
290	303	14	4#302405|2#3	1	44020
291	303	16	4#302404|5	1	44020
292	303	15	4#302406|40	1	44020
293	303	20	3021122#3021130#3021138#3021148#3021156#3021160#3022122#3022130#3022138#3022148#3022156#3022160#3023122#3023130#3023138#3023148#3023156#3023160#3024122#3024130#3024138#3024148#3024156#3024160|3021024#3021025#3021026#3021038#3021039#3021040#3021046#3021048#3021049#3021050#3021068#3021069#3021071#3021073#3021075#3021077#3021078#3021079#3021085#3021087#3021089#3021091#3021093#3021095#3021097#3021099#3021101#3021103#3021105#3021106#3021107#3021113#3021114#3021115#3021262#3021263#3021264#3022024#3022025#3022026#3022038#3022039#3022040#3022046#3022048#3022049#3022050#3022068#3022069#3022071#3022073#3022075#3022077#3022078#3022079#3022085#3022087#3022089#3022091#3022093#3022095#3022097#3022099#3022101#3022103#3022105#3022106#3022107#3022113#3022114#3022115#3022262#3022263#3022264#3023024#3023025#3023026#3023038#3023039#3023040#3023046#3023048#3023049#3023050#3023068#3023069#3023071#3023073#3023075#3023077#3023078#3023079#3023085#3023087#3023089#3023091#3023093#3023095#3023097#3023099#3023101#3023103#3023105#3023106#3023107#3023113#3023114#3023115#3023262#3023263#3023264#3024024#3024025#3024026#3024038#3024039#3024040#3024046#3024048#3024049#3024050#3024068#3024069#3024071#3024073#3024075#3024077#3024078#3024079#3024085#3024087#3024089#3024091#3024093#3024095#3024097#3024099#3024101#3024103#3024105#3024106#3024107#3024113#3024114#3024115#3024262#3024263#3024264|0#3	1	44020
294	304	21	0#303106#303206#303306#303406|4	1	44011
295	304	21	0#303107#303207#303307#303407|4	1	44013
296	304	21	0#303106#303206#303306#303406|8	1	44011
297	304	21	0#303107#303207#303307#303407|8	1	44013
298	304	21	4#303412|1	1	44015
299	304	9	1|1	1	44006
300	304	9	2|1	1	44006
301	304	9	3|1	1	44006
302	304	9	4|1	1	44006
303	304	10	1|600	1	44007
304	304	10	2|600	1	44008
305	304	10	3|600	1	44009
306	304	10	4|600	1	44010
307	304	11	1|1	1	44017
308	304	11	2|1	1	44017
309	304	11	3|1	1	44017
310	304	11	4|1	1	44017
311	304	13	4|2	1	44019
312	304	15	4#303406|40	1	44019
313	304	15	4#303407|40	1	44019
314	304	19	303402#303403#303404#303405|303402#303403#303404#303405|303402#303403#303404#303405|303402#303403#303404#303405|303401|4	1	44019
315	304	19	303401#303403#303404#303405|303401#303403#303404#303405|303401#303403#303404#303405|303401#303403#303404#303405|303402|4	1	44019
316	304	19	303401#303402#303404#303405|303401#303402#303404#303405|303401#303402#303404#303405|303401#303402#303404#303405|303403|4	1	44019
317	304	19	303401#303402#303403#303405|303401#303402#303403#303405|303401#303402#303403#303405|303401#303402#303403#303405|303404|4	1	44019
318	304	19	303401#303402#303403#303404|303401#303402#303403#303404|303401#303402#303403#303404|303401#303402#303403#303404|303405|4	1	44019
319	305	21	0#304103#304203#304303#304403|4	1	44016
320	305	21	0#304103#304203#304303#304403|8	1	44016
321	305	9	1|1	1	44006
322	305	9	2|1	1	44006
323	305	9	3|1	1	44006
324	305	9	4|1	1	44006
325	305	10	1|600	1	44007
326	305	10	2|600	1	44008
327	305	10	3|600	1	44009
328	305	10	4|600	1	44010
329	305	11	1|1	1	44022
330	305	11	2|1	1	44022
331	305	11	3|1	1	44022
332	305	11	4|1	1	44022
333	306	11	1|1	1	40001
334	306	9	1|1	1	40001
335	306	10	1|900	1	40001
336	306	13	1|3	1	40001
