MapId	MissionId	Size	Refresh	IfRank	SweepingAward	Position
3031	2031	10#12	0	0	1509#1509#1509#1509#1509#1509#1209#1509#1509#1509#1109#1509#1509#1509#1109#1129#1129#1169#1169	6#11
3032	2032	10#12	0	0	1510#1510#1510#1510#1510#1510#1210#1510#1510#1510#1110#1510#1510#1510#1110#1130#1130#1170#1170	6#11
3033	2033	10#12	0	0	1511#1511#1511#1511#1511#1511#1211#1511#1511#1511#1111#1511#1511#1511#1111#1131#1131#1171#1171	6#11
3034	2034	10#12	0	0	1512#1512#1512#1512#1512#1512#1212#1512#1512#1512#1112#1512#1512#1512#1112#1132#1132#1172#1172	6#11
3041	2041	10#12	0	0	1513#1513#1213#1513#1513#1213#1513#1513#1213#1513#1513#1213#1513#1513#1213#1513#1513#1513#1113#1513#1513#1513#1113#905#55049#905#1133#1133#1173#1173	7#12
3042	2042	10#12	0	0	1514#1514#1214#1514#1514#1214#1514#1514#1214#1514#1514#1214#1514#1514#1214#1514#1514#1514#1114#1514#1514#1514#1114#906#55051#906#1134#1134#1174#1174	7#12
3043	2043	10#12	0	0	1515#1515#1215#1515#1515#1215#1515#1515#1215#1515#1515#1215#1515#1515#1215#1515#1515#1515#1115#1515#1515#1515#1115#907#55053#907#1135#1135#1175#1175	7#12
3044	2044	10#12	0	0	1516#1516#1216#1516#1516#1216#1516#1516#1216#1516#1516#1216#1516#1516#1216#1516#1516#1516#1116#1516#1516#1516#1116#908#55055#908#1136#1136#1176#1176	7#12
3051	2051	15#20	0	0	1517#1517#1217#1517#1517#1217#1517#1517#1217#1517#1517#1517#1117#1137#1157#1177	6#16
3052	2052	15#20	0	0	1518#1518#1218#1518#1518#1218#1518#1518#1218#1518#1518#1518#1118#1138#1158#1178	6#16
3053	2053	15#20	0	0	1519#1519#1219#1519#1519#1219#1519#1519#1219#1519#1519#1519#1119#1139#1159#1179	6#16
3054	2054	15#20	0	0	1520#1520#1220#1520#1520#1220#1520#1520#1220#1520#1520#1520#1120#1140#1160#1180	6#16
3061	2061	15#20	0	0	null	6#16
3062	2062	15#20	0	0	null	6#16
3063	2063	15#20	0	0	null	6#16
3064	2064	15#20	0	0	null	6#16
4001	1	9#8	0	0	null	1#8
4002	1	14#9	0	0	null	1#9
4003	1	15#15	0	0	null	2#15
4004	1	16#15	0	0	null	8#8
1011	3	8#8	0	0	2002#40002#40002#40002#40002#40002#40002#40002	17#9
5001	1	40#40	0	0	null	4#4
5002	1	40#20	0	0	null	15#15
5003	1	35#20	0	0	null	15#11
