Id	GuildCheckpoint	MaxRank	MinRank	RankingReward
205	30	2	2	65#9380|14#469000
206	30	3	3	65#8710|14#435000
207	30	4	10	65#6700|14#335000
208	30	11	15	65#5360|14#268000
209	30	16	20	65#4020|14#201000
210	30	21	50	65#3350|14#168000
211	31	1	1	65#10000|14#503000
212	31	2	2	65#9380|14#469000
213	31	3	3	65#8710|14#435000
214	31	4	10	65#6700|14#335000
215	31	11	15	65#5360|14#268000
216	31	16	20	65#4020|14#201000
217	31	21	50	65#3350|14#168000
218	32	1	1	65#10000|14#503000
219	32	2	2	65#9380|14#469000
220	32	3	3	65#8710|14#435000
221	32	4	10	65#6700|14#335000
222	32	11	15	65#5360|14#268000
223	32	16	20	65#4020|14#201000
224	32	21	50	65#3350|14#168000
225	33	1	1	65#10000|14#503000
226	33	2	2	65#9380|14#469000
227	33	3	3	65#8710|14#435000
228	33	4	10	65#6700|14#335000
229	33	11	15	65#5360|14#268000
230	33	16	20	65#4020|14#201000
231	33	21	50	65#3350|14#168000
232	34	1	1	65#10000|14#503000
233	34	2	2	65#9380|14#469000
234	34	3	3	65#8710|14#435000
235	34	4	10	65#6700|14#335000
236	34	11	15	65#5360|14#268000
237	34	16	20	65#4020|14#201000
238	34	21	50	65#3350|14#168000
239	35	1	1	65#10000|14#503000
240	35	2	2	65#9380|14#469000
241	35	3	3	65#8710|14#435000
242	35	4	10	65#6700|14#335000
243	35	11	15	65#5360|14#268000
244	35	16	20	65#4020|14#201000
245	35	21	50	65#3350|14#168000
246	36	1	1	65#10000|14#503000
247	36	2	2	65#9380|14#469000
248	36	3	3	65#8710|14#435000
249	36	4	10	65#6700|14#335000
250	36	11	15	65#5360|14#268000
251	36	16	20	65#4020|14#201000
252	36	21	50	65#3350|14#168000
253	37	1	1	65#10000|14#503000
254	37	2	2	65#9380|14#469000
255	37	3	3	65#8710|14#435000
256	37	4	10	65#6700|14#335000
257	37	11	15	65#5360|14#268000
258	37	16	20	65#4020|14#201000
259	37	21	50	65#3350|14#168000
260	38	1	1	65#10000|14#503000
261	38	2	2	65#9380|14#469000
262	38	3	3	65#8710|14#435000
263	38	4	10	65#6700|14#335000
264	38	11	15	65#5360|14#268000
265	38	16	20	65#4020|14#201000
266	38	21	50	65#3350|14#168000
267	39	1	1	65#10000|14#503000
268	39	2	2	65#9380|14#469000
269	39	3	3	65#8710|14#435000
270	39	4	10	65#6700|14#335000
271	39	11	15	65#5360|14#268000
272	39	16	20	65#4020|14#201000
273	39	21	50	65#3350|14#168000
274	40	1	1	65#11000|14#548000
275	40	2	2	65#10000|14#511000
276	40	3	3	65#9490|14#475000
277	40	4	10	65#7300|14#365000
278	40	11	15	65#5840|14#292000
279	40	16	20	65#4380|14#219000
280	40	21	50	65#3650|14#183000
281	41	1	1	65#11000|14#548000
282	41	2	2	65#10000|14#511000
283	41	3	3	65#9490|14#475000
284	41	4	10	65#7300|14#365000
285	41	11	15	65#5840|14#292000
286	41	16	20	65#4380|14#219000
287	41	21	50	65#3650|14#183000
288	42	1	1	65#11000|14#548000
289	42	2	2	65#10000|14#511000
290	42	3	3	65#9490|14#475000
291	42	4	10	65#7300|14#365000
292	42	11	15	65#5840|14#292000
293	42	16	20	65#4380|14#219000
294	42	21	50	65#3650|14#183000
295	43	1	1	65#11000|14#548000
296	43	2	2	65#10000|14#511000
297	43	3	3	65#9490|14#475000
298	43	4	10	65#7300|14#365000
299	43	11	15	65#5840|14#292000
300	43	16	20	65#4380|14#219000
301	43	21	50	65#3650|14#183000
302	44	1	1	65#11000|14#548000
303	44	2	2	65#10000|14#511000
304	44	3	3	65#9490|14#475000
305	44	4	10	65#7300|14#365000
306	44	11	15	65#5840|14#292000
307	44	16	20	65#4380|14#219000
308	44	21	50	65#3650|14#183000
309	45	1	1	65#11000|14#548000
310	45	2	2	65#10000|14#511000
311	45	3	3	65#9490|14#475000
312	45	4	10	65#7300|14#365000
313	45	11	15	65#5840|14#292000
314	45	16	20	65#4380|14#219000
315	45	21	50	65#3650|14#183000
316	46	1	1	65#11000|14#548000
317	46	2	2	65#10000|14#511000
318	46	3	3	65#9490|14#475000
319	46	4	10	65#7300|14#365000
320	46	11	15	65#5840|14#292000
321	46	16	20	65#4380|14#219000
322	46	21	50	65#3650|14#183000
323	47	1	1	65#11000|14#548000
324	47	2	2	65#10000|14#511000
325	47	3	3	65#9490|14#475000
326	47	4	10	65#7300|14#365000
327	47	11	15	65#5840|14#292000
328	47	16	20	65#4380|14#219000
329	47	21	50	65#3650|14#183000
330	48	1	1	65#11000|14#548000
331	48	2	2	65#10000|14#511000
332	48	3	3	65#9490|14#475000
333	48	4	10	65#7300|14#365000
334	48	11	15	65#5840|14#292000
335	48	16	20	65#4380|14#219000
336	48	21	50	65#3650|14#183000
337	49	1	1	65#11000|14#548000
338	49	2	2	65#10000|14#511000
339	49	3	3	65#9490|14#475000
340	49	4	10	65#7300|14#365000
341	49	11	15	65#5840|14#292000
342	49	16	20	65#4380|14#219000
343	49	21	50	65#3650|14#183000
344	50	1	1	65#12000|14#593000
345	50	2	2	65#11000|14#553000
346	50	3	3	65#10000|14#514000
347	50	4	10	65#7900|14#395000
348	50	11	15	65#6320|14#316000
349	50	16	20	65#4740|14#237000
350	50	21	50	65#3950|14#198000
351	51	1	1	65#12000|14#593000
352	51	2	2	65#11000|14#553000
353	51	3	3	65#10000|14#514000
354	51	4	10	65#7900|14#395000
355	51	11	15	65#6320|14#316000
356	51	16	20	65#4740|14#237000
357	51	21	50	65#3950|14#198000
358	52	1	1	65#12000|14#593000
359	52	2	2	65#11000|14#553000
360	52	3	3	65#10000|14#514000
361	52	4	10	65#7900|14#395000
362	52	11	15	65#6320|14#316000
363	52	16	20	65#4740|14#237000
364	52	21	50	65#3950|14#198000
365	53	1	1	65#12000|14#593000
366	53	2	2	65#11000|14#553000
367	53	3	3	65#10000|14#514000
368	53	4	10	65#7900|14#395000
369	53	11	15	65#6320|14#316000
370	53	16	20	65#4740|14#237000
371	53	21	50	65#3950|14#198000
372	54	1	1	65#12000|14#593000
373	54	2	2	65#11000|14#553000
374	54	3	3	65#10000|14#514000
375	54	4	10	65#7900|14#395000
376	54	11	15	65#6320|14#316000
377	54	16	20	65#4740|14#237000
378	54	21	50	65#3950|14#198000
379	55	1	1	65#12000|14#593000
380	55	2	2	65#11000|14#553000
381	55	3	3	65#10000|14#514000
382	55	4	10	65#7900|14#395000
383	55	11	15	65#6320|14#316000
384	55	16	20	65#4740|14#237000
385	55	21	50	65#3950|14#198000
386	56	1	1	65#12000|14#593000
387	56	2	2	65#11000|14#553000
388	56	3	3	65#10000|14#514000
389	56	4	10	65#7900|14#395000
390	56	11	15	65#6320|14#316000
391	56	16	20	65#4740|14#237000
392	56	21	50	65#3950|14#198000
393	57	1	1	65#12000|14#593000
394	57	2	2	65#11000|14#553000
395	57	3	3	65#10000|14#514000
396	57	4	10	65#7900|14#395000
397	57	11	15	65#6320|14#316000
398	57	16	20	65#4740|14#237000
399	57	21	50	65#3950|14#198000
400	58	1	1	65#12000|14#593000
401	58	2	2	65#11000|14#553000
402	58	3	3	65#10000|14#514000
403	58	4	10	65#7900|14#395000
404	58	11	15	65#6320|14#316000
405	58	16	20	65#4740|14#237000
406	58	21	50	65#3950|14#198000
407	59	1	1	65#12000|14#593000
408	59	2	2	65#11000|14#553000
409	59	3	3	65#10000|14#514000
410	59	4	10	65#7900|14#395000
411	59	11	15	65#6320|14#316000
412	59	16	20	65#4740|14#237000
413	59	21	50	65#3950|14#198000
414	60	1	1	65#13000|14#638000
415	60	2	2	65#12000|14#595000
416	60	3	3	65#11000|14#553000
417	60	4	10	65#8500|14#425000
418	60	11	15	65#6800|14#340000
419	60	16	20	65#5100|14#255000
420	60	21	50	65#4250|14#213000
421	61	1	1	65#13000|14#638000
422	61	2	2	65#12000|14#595000
423	61	3	3	65#11000|14#553000
424	61	4	10	65#8500|14#425000
425	61	11	15	65#6800|14#340000
426	61	16	20	65#5100|14#255000
427	61	21	50	65#4250|14#213000
428	62	1	1	65#13000|14#638000
429	62	2	2	65#12000|14#595000
430	62	3	3	65#11000|14#553000
431	62	4	10	65#8500|14#425000
432	62	11	15	65#6800|14#340000
433	62	16	20	65#5100|14#255000
434	62	21	50	65#4250|14#213000
435	63	1	1	65#13000|14#638000
436	63	2	2	65#12000|14#595000
437	63	3	3	65#11000|14#553000
438	63	4	10	65#8500|14#425000
439	63	11	15	65#6800|14#340000
440	63	16	20	65#5100|14#255000
441	63	21	50	65#4250|14#213000
442	64	1	1	65#13000|14#638000
443	64	2	2	65#12000|14#595000
444	64	3	3	65#11000|14#553000
445	64	4	10	65#8500|14#425000
446	64	11	15	65#6800|14#340000
447	64	16	20	65#5100|14#255000
448	64	21	50	65#4250|14#213000
449	65	1	1	65#13000|14#638000
450	65	2	2	65#12000|14#595000
451	65	3	3	65#11000|14#553000
452	65	4	10	65#8500|14#425000
453	65	11	15	65#6800|14#340000
454	65	16	20	65#5100|14#255000
455	65	21	50	65#4250|14#213000
456	66	1	1	65#13000|14#638000
457	66	2	2	65#12000|14#595000
458	66	3	3	65#11000|14#553000
459	66	4	10	65#8500|14#425000
460	66	11	15	65#6800|14#340000
461	66	16	20	65#5100|14#255000
462	66	21	50	65#4250|14#213000
463	67	1	1	65#13000|14#638000
464	67	2	2	65#12000|14#595000
465	67	3	3	65#11000|14#553000
466	67	4	10	65#8500|14#425000
467	67	11	15	65#6800|14#340000
468	67	16	20	65#5100|14#255000
469	67	21	50	65#4250|14#213000
470	68	1	1	65#13000|14#638000
471	68	2	2	65#12000|14#595000
472	68	3	3	65#11000|14#553000
473	68	4	10	65#8500|14#425000
474	68	11	15	65#6800|14#340000
475	68	16	20	65#5100|14#255000
476	68	21	50	65#4250|14#213000
477	69	1	1	65#13000|14#638000
478	69	2	2	65#12000|14#595000
479	69	3	3	65#11000|14#553000
480	69	4	10	65#8500|14#425000
481	69	11	15	65#6800|14#340000
482	69	16	20	65#5100|14#255000
483	69	21	50	65#4250|14#213000
484	70	1	1	65#14000|14#683000
485	70	2	2	65#13000|14#637000
486	70	3	3	65#12000|14#592000
487	70	4	10	65#9100|14#455000
488	70	11	15	65#7280|14#364000
489	70	16	20	65#5460|14#273000
490	70	21	50	65#4550|14#228000
491	71	1	1	65#14000|14#683000
492	71	2	2	65#13000|14#637000
493	71	3	3	65#12000|14#592000
494	71	4	10	65#9100|14#455000
495	71	11	15	65#7280|14#364000
496	71	16	20	65#5460|14#273000
497	71	21	50	65#4550|14#228000
498	72	1	1	65#14000|14#683000
499	72	2	2	65#13000|14#637000
500	72	3	3	65#12000|14#592000
501	72	4	10	65#9100|14#455000
502	72	11	15	65#7280|14#364000
503	72	16	20	65#5460|14#273000
504	72	21	50	65#4550|14#228000
505	73	1	1	65#14000|14#683000
506	73	2	2	65#13000|14#637000
507	73	3	3	65#12000|14#592000
508	73	4	10	65#9100|14#455000
509	73	11	15	65#7280|14#364000
510	73	16	20	65#5460|14#273000
511	73	21	50	65#4550|14#228000
512	74	1	1	65#14000|14#683000
513	74	2	2	65#13000|14#637000
514	74	3	3	65#12000|14#592000
515	74	4	10	65#9100|14#455000
516	74	11	15	65#7280|14#364000
517	74	16	20	65#5460|14#273000
518	74	21	50	65#4550|14#228000
519	75	1	1	65#14000|14#683000
520	75	2	2	65#13000|14#637000
521	75	3	3	65#12000|14#592000
522	75	4	10	65#9100|14#455000
523	75	11	15	65#7280|14#364000
524	75	16	20	65#5460|14#273000
525	75	21	50	65#4550|14#228000
526	76	1	1	65#14000|14#683000
527	76	2	2	65#13000|14#637000
528	76	3	3	65#12000|14#592000
529	76	4	10	65#9100|14#455000
530	76	11	15	65#7280|14#364000
531	76	16	20	65#5460|14#273000
532	76	21	50	65#4550|14#228000
533	77	1	1	65#14000|14#683000
534	77	2	2	65#13000|14#637000
535	77	3	3	65#12000|14#592000
536	77	4	10	65#9100|14#455000
537	77	11	15	65#7280|14#364000
538	77	16	20	65#5460|14#273000
539	77	21	50	65#4550|14#228000
540	78	1	1	65#14000|14#683000
541	78	2	2	65#13000|14#637000
542	78	3	3	65#12000|14#592000
543	78	4	10	65#9100|14#455000
544	78	11	15	65#7280|14#364000
545	78	16	20	65#5460|14#273000
546	78	21	50	65#4550|14#228000
547	79	1	1	65#14000|14#683000
548	79	2	2	65#13000|14#637000
549	79	3	3	65#12000|14#592000
550	79	4	10	65#9100|14#455000
551	79	11	15	65#7280|14#364000
552	79	16	20	65#5460|14#273000
553	79	21	50	65#4550|14#228000
554	80	1	1	65#14000|14#683000
555	80	2	2	65#13000|14#637000
556	80	3	3	65#12000|14#592000
557	80	4	10	65#9100|14#455000
558	80	11	15	65#7280|14#364000
559	80	16	20	65#5460|14#273000
560	80	21	50	65#4550|14#228000
561	81	1	1	65#14000|14#683000
562	81	2	2	65#13000|14#637000
563	81	3	3	65#12000|14#592000
564	81	4	10	65#9100|14#455000
565	81	11	15	65#7280|14#364000
566	81	16	20	65#5460|14#273000
567	81	21	50	65#4550|14#228000
568	82	1	1	65#14000|14#683000
569	82	2	2	65#13000|14#637000
570	82	3	3	65#12000|14#592000
571	82	4	10	65#9100|14#455000
572	82	11	15	65#7280|14#364000
573	82	16	20	65#5460|14#273000
574	82	21	50	65#4550|14#228000
575	83	1	1	65#14000|14#683000
576	83	2	2	65#13000|14#637000
577	83	3	3	65#12000|14#592000
578	83	4	10	65#9100|14#455000
579	83	11	15	65#7280|14#364000
580	83	16	20	65#5460|14#273000
581	83	21	50	65#4550|14#228000
582	84	1	1	65#14000|14#683000
583	84	2	2	65#13000|14#637000
584	84	3	3	65#12000|14#592000
585	84	4	10	65#9100|14#455000
586	84	11	15	65#7280|14#364000
587	84	16	20	65#5460|14#273000
588	84	21	50	65#4550|14#228000
589	85	1	1	65#14000|14#683000
590	85	2	2	65#13000|14#637000
591	85	3	3	65#12000|14#592000
592	85	4	10	65#9100|14#455000
593	85	11	15	65#7280|14#364000
594	85	16	20	65#5460|14#273000
595	85	21	50	65#4550|14#228000
596	86	1	1	65#14000|14#683000
597	86	2	2	65#13000|14#637000
598	86	3	3	65#12000|14#592000
599	86	4	10	65#9100|14#455000
600	86	11	15	65#7280|14#364000
601	86	16	20	65#5460|14#273000
602	86	21	50	65#4550|14#228000
603	87	1	1	65#14000|14#683000
604	87	2	2	65#13000|14#637000
605	87	3	3	65#12000|14#592000
606	87	4	10	65#9100|14#455000
607	87	11	15	65#7280|14#364000
608	87	16	20	65#5460|14#273000
609	87	21	50	65#4550|14#228000
610	88	1	1	65#14000|14#683000
611	88	2	2	65#13000|14#637000
612	88	3	3	65#12000|14#592000
613	88	4	10	65#9100|14#455000
614	88	11	15	65#7280|14#364000
615	88	16	20	65#5460|14#273000
616	88	21	50	65#4550|14#228000
617	89	1	1	65#14000|14#683000
618	89	2	2	65#13000|14#637000
619	89	3	3	65#12000|14#592000
620	89	4	10	65#9100|14#455000
621	89	11	15	65#7280|14#364000
622	89	16	20	65#5460|14#273000
623	89	21	50	65#4550|14#228000
624	90	1	1	65#14000|14#683000
625	90	2	2	65#13000|14#637000
626	90	3	3	65#12000|14#592000
627	90	4	10	65#9100|14#455000
628	90	11	15	65#7280|14#364000
629	90	16	20	65#5460|14#273000
630	90	21	50	65#4550|14#228000
631	91	1	1	65#14000|14#683000
632	91	2	2	65#13000|14#637000
633	91	3	3	65#12000|14#592000
634	91	4	10	65#9100|14#455000
635	91	11	15	65#7280|14#364000
636	91	16	20	65#5460|14#273000
637	91	21	50	65#4550|14#228000
638	92	1	1	65#14000|14#683000
639	92	2	2	65#13000|14#637000
640	92	3	3	65#12000|14#592000
641	92	4	10	65#9100|14#455000
642	92	11	15	65#7280|14#364000
643	92	16	20	65#5460|14#273000
644	92	21	50	65#4550|14#228000
645	93	1	1	65#14000|14#683000
646	93	2	2	65#13000|14#637000
647	93	3	3	65#12000|14#592000
648	93	4	10	65#9100|14#455000
649	93	11	15	65#7280|14#364000
650	93	16	20	65#5460|14#273000
651	93	21	50	65#4550|14#228000
652	94	1	1	65#14000|14#683000
653	94	2	2	65#13000|14#637000
654	94	3	3	65#12000|14#592000
655	94	4	10	65#9100|14#455000
656	94	11	15	65#7280|14#364000
657	94	16	20	65#5460|14#273000
658	94	21	50	65#4550|14#228000
659	95	1	1	65#14000|14#683000
660	95	2	2	65#13000|14#637000
661	95	3	3	65#12000|14#592000
662	95	4	10	65#9100|14#455000
663	95	11	15	65#7280|14#364000
664	95	16	20	65#5460|14#273000
665	95	21	50	65#4550|14#228000
666	96	1	1	65#14000|14#683000
667	96	2	2	65#13000|14#637000
668	96	3	3	65#12000|14#592000
669	96	4	10	65#9100|14#455000
670	96	11	15	65#7280|14#364000
671	96	16	20	65#5460|14#273000
672	96	21	50	65#4550|14#228000
673	97	1	1	65#14000|14#683000
674	97	2	2	65#13000|14#637000
675	97	3	3	65#12000|14#592000
676	97	4	10	65#9100|14#455000
677	97	11	15	65#7280|14#364000
678	97	16	20	65#5460|14#273000
679	97	21	50	65#4550|14#228000
680	98	1	1	65#14000|14#683000
681	98	2	2	65#13000|14#637000
682	98	3	3	65#12000|14#592000
683	98	4	10	65#9100|14#455000
684	98	11	15	65#7280|14#364000
685	98	16	20	65#5460|14#273000
686	98	21	50	65#4550|14#228000
687	99	1	1	65#14000|14#683000
688	99	2	2	65#13000|14#637000
689	99	3	3	65#12000|14#592000
690	99	4	10	65#9100|14#455000
691	99	11	15	65#7280|14#364000
692	99	16	20	65#5460|14#273000
693	99	21	50	65#4550|14#228000
694	100	1	1	65#14000|14#683000
695	100	2	2	65#13000|14#637000
696	100	3	3	65#12000|14#592000
697	100	4	10	65#9100|14#455000
698	100	11	15	65#7280|14#364000
699	100	16	20	65#5460|14#273000
700	100	21	50	65#4550|14#228000
701	101	1	1	65#14000|14#683000
702	101	2	2	65#13000|14#637000
703	101	3	3	65#12000|14#592000
704	101	4	10	65#9100|14#455000
705	101	11	15	65#7280|14#364000
706	101	16	20	65#5460|14#273000
707	101	21	50	65#4550|14#228000
708	102	1	1	65#14000|14#683000
709	102	2	2	65#13000|14#637000
710	102	3	3	65#12000|14#592000
711	102	4	10	65#9100|14#455000
712	102	11	15	65#7280|14#364000
713	102	16	20	65#5460|14#273000
714	102	21	50	65#4550|14#228000
715	103	1	1	65#14000|14#683000
716	103	2	2	65#13000|14#637000
717	103	3	3	65#12000|14#592000
718	103	4	10	65#9100|14#455000
719	103	11	15	65#7280|14#364000
720	103	16	20	65#5460|14#273000
721	103	21	50	65#4550|14#228000
722	104	1	1	65#14000|14#683000
723	104	2	2	65#13000|14#637000
724	104	3	3	65#12000|14#592000
725	104	4	10	65#9100|14#455000
726	104	11	15	65#7280|14#364000
727	104	16	20	65#5460|14#273000
728	104	21	50	65#4550|14#228000
729	105	1	1	65#14000|14#683000
730	105	2	2	65#13000|14#637000
731	105	3	3	65#12000|14#592000
732	105	4	10	65#9100|14#455000
733	105	11	15	65#7280|14#364000
734	105	16	20	65#5460|14#273000
735	105	21	50	65#4550|14#228000
736	106	1	1	65#14000|14#683000
737	106	2	2	65#13000|14#637000
738	106	3	3	65#12000|14#592000
739	106	4	10	65#9100|14#455000
740	106	11	15	65#7280|14#364000
741	106	16	20	65#5460|14#273000
742	106	21	50	65#4550|14#228000
743	107	1	1	65#14000|14#683000
744	107	2	2	65#13000|14#637000
745	107	3	3	65#12000|14#592000
746	107	4	10	65#9100|14#455000
747	107	11	15	65#7280|14#364000
748	107	16	20	65#5460|14#273000
749	107	21	50	65#4550|14#228000
750	108	1	1	65#14000|14#683000
751	108	2	2	65#13000|14#637000
752	108	3	3	65#12000|14#592000
753	108	4	10	65#9100|14#455000
754	108	11	15	65#7280|14#364000
755	108	16	20	65#5460|14#273000
756	108	21	50	65#4550|14#228000
757	109	1	1	65#14000|14#683000
758	109	2	2	65#13000|14#637000
759	109	3	3	65#12000|14#592000
760	109	4	10	65#9100|14#455000
761	109	11	15	65#7280|14#364000
762	109	16	20	65#5460|14#273000
763	109	21	50	65#4550|14#228000
764	110	1	1	65#14000|14#683000
765	110	2	2	65#13000|14#637000
766	110	3	3	65#12000|14#592000
767	110	4	10	65#9100|14#455000
768	110	11	15	65#7280|14#364000
769	110	16	20	65#5460|14#273000
770	110	21	50	65#4550|14#228000
771	111	1	1	65#14000|14#683000
772	111	2	2	65#13000|14#637000
773	111	3	3	65#12000|14#592000
774	111	4	10	65#9100|14#455000
