Id	Option
4001141	4001264#4001265
4001142	4001266#4001267
4001143	4001268#4001269
4001144	4001270#4001271
4001145	4001272#4001273
4001146	4001274#4001275
4001147	4001276#4001277
4001148	4001278#4001279
4001149	4001280#4001281
4001150	4001282#4001283
4001151	4001284#4001285
4001152	4001286#4001287
4001153	4001288#4001289
4001154	4001290#4001291
4001155	4001292#4001293
4001156	4001294#4001295
4001157	4001296#4001297
4001158	4001298#4001299
4001159	4001300#4001301
4001160	4001302#4001303
4001161	null
4001162	null
4001163	null
4001164	null
4001165	null
4001166	null
4001167	null
4001168	null
4001169	null
4001170	null
4001171	null
4002001	4002001#4002002
4002002	4002003#4002004
4002003	4002005#4002006
4002004	4002007#4002008
4002005	4002009#4002010
4002006	4002011#4002012
4002007	4002013#4002014
4002008	4002015#4002016
4002009	4002017#4002018
4002010	4002019#4002020
4002011	4002021#4002022
4002012	4002023#4002024
4002013	4002025#4002026
4002014	4002027#4002028
4002015	4002029#4002030
4002016	4002031#4002032
4002017	4002033#4002034
4002018	4002035#4002036
4002019	4002037#4002038
4002020	4002039#4002040
4002021	4002041#4002042
4002022	4002043#4002044
4002023	4002045#4002046
4002024	4002047#4002048
4002025	4002049#4002050
4002026	4002051#4002052
4002027	4002053#4002054
4002028	4002055#4002056
4002029	4002057#4002058
4002030	4002059#4002060
4002031	4002061#4002062
4002032	4002063#4002064
4002033	4002065#4002066
4002034	4002067#4002068
4002035	4002069#4002070
4002036	4002071#4002072
4002037	4002073#4002074
4002038	4002075#4002076
4002039	4002077#4002078
4002040	4002079#4002080
4002041	4002081#4002082
4002042	4002083#4002084
4002043	4002085#4002086
4002044	4002087#4002088
4002045	4002089#4002090
4002046	4002091#4002092
4002047	4002093#4002094
4002048	4002095#4002096
4002049	4002097#4002098
4002050	4002099#4002100
4002051	4002101#4002102
4002052	4002103#4002104
4002053	4002105#4002106
4002054	4002107#4002108
4002055	4002109#4002110
4002056	4002111#4002112
4002057	4002113#4002114
4002058	4002115#4002116
4002059	4002117#4002118
4002060	4002119#4002120
4002061	4002122
4002062	4002123#4002124
4002063	4002126
4002064	4002127#4002128
4002065	4002130
4002066	4002131#4002132
4002067	4002134
4002068	4002135#4002136
4002069	4002138
4002070	4002139#4002140
4002071	4002141#4002142
4002072	4002143#4002144
4002073	4002145#4002146
4002074	4002147#4002148
4002075	4002149#4002150
4002076	4002151#4002152
4002077	4002153#4002154
4002078	4002155#4002156
4002079	4002157#4002158
4002080	4002159#4002160
4002081	4002161#4002162
4002082	4002163#4002164
4002083	4002165#4002166
4002084	4002167#4002168
4002085	4002169#4002170
4002086	4002171#4002172
4002087	4002173#4002174
4002088	4002175#4002176
4002089	4002177#4002178
4002090	4002179#4002180
4002091	4002181#4002182
4002092	4002183#4002184
4002093	4002185#4002186
4002094	4002187#4002188
4002095	4002189#4002190
4002096	4002191#4002192
4002097	4002193#4002194
4002098	4002195#4002196
4002099	4002197#4002198
4002100	4002199#4002200
4002101	4002201#4002202
4002102	4002203#4002204
4002103	4002205#4002206
4002104	4002207#4002208
4002105	4002209#4002210
4002106	4002211#4002212
4002107	4002213#4002214
4002108	4002215#4002216
4002109	4002217#4002218
4002110	4002219#4002220
4002111	4002221#4002222
4002112	4002223#4002224
4002113	4002225#4002226
4002114	4002227#4002228
4002115	4002229#4002230
4002116	4002231#4002232
4002117	4002233#4002234
4002118	4002235#4002236
4002119	4002237#4002238
4002120	4002239#4002240
4002121	4002241#4002242
4002122	4002243#4002244
4002123	4002245#4002246
4002124	4002247#4002248
4002125	4002249#4002250
4002126	4002251#4002252
4002127	null
4002128	4002255#4002256
4002129	4002257#4002258
4002130	4002259#4002260
4002131	4002261#4002262
4002132	4002263#4002264
4002133	4002265#4002266
4002134	4002267#4002268
4002135	4002269#4002270
4002136	4002271#4002272
4002137	4002273#4002274
4002138	4002275#4002276
4002139	4002277#4002278
4002140	4002279#4002280
4002141	4002281#4002282
4002142	4002283#4002284
4002143	4002285#4002286
4002144	50101
4002145	50104
4002146	4002287#4002288
4002147	4002289#4002290
4002148	4002291
4002149	4002292#4002293
4002150	4002294#4002295
4002151	4002296#4002297
4002152	4002298#4002299
4002153	4002300#4002301
4002154	4002302#4002303
4002155	50102
4002156	50103
4002157	50105
4002158	50121
4002159	50122
4002160	4002304#4002305
4002161	4002306#4002307
4002162	4002308#4002309
4002163	4002310#4002311
4002164	4002312#4002313
4002165	4002314#4002315
4002166	4002316#4002317
4002167	4002318#4002319
4002168	4002320#4002321
4002169	4002322#4002323
2000001	2000001#2000002
2000002	2000003#2000004
2000003	2000005#2000006
2000004	2000007#2000008#2000009#2000010
2000005	2000011#2000012
2000006	2000013#2000014
2000007	2000015
2000014	2000016#2000017
2000015	2000018#2000019
2000016	2000020#2000021
2000017	2000022#2000023
2000018	2000024#2000025
2000019	2000026#2000027
2000020	2000028#2000029
2000021	2000030#2000031
2000022	2000032#2000033
2000023	2000034#2000035
2000024	2000036#2000037
2000025	2000038#2000039
2000026	2000040#2000041
2000027	2000042#2000043
2000028	2000044#2000045
2001000	20200011
2001001	20100011
2001002	20100012
2001003	20100013
2001004	20100014
2001005	20100015
2001006	20100016
2001007	20100017
2001008	20100018
2002000	20200021
2002001	20100021
2002002	20100022
2002003	20100023
2002004	20100024
2002005	20100025
2002006	20100026
2002007	20100027
2002008	20100028
2003000	20200031
2003001	20100031
2003002	20100032
2003003	20100033
2003004	20100034
2003005	20100035
2003006	20100036
2003007	20100037
2003008	20100038
2004000	20200041
2004001	20100041
2004002	20100042
2004003	20100043
2004004	20100044
2004005	20100045
2004006	20100046
2004007	20100047
2004008	20100048
2005000	20200051
2005001	20100051
2005002	20100052
2005003	20100053
2005004	20100054
2005005	20100055
2005006	20100056
2005007	20100057
2005008	20100058
2006000	20200061
2006001	20100061
2006002	20100062
2006003	20100063
2006004	20100064
2006005	20100065
2006006	20100066
2006007	20100067
2006008	20100068
2007000	20200071
2007001	20100071
2007002	20100072
2007003	20100073
2007004	20100074
2007005	20100075
2007006	20100076
2007007	20100077
2007008	20100078
2008000	20200081
2008001	20100081
2008002	20100082
2008003	20100083
2008004	20100084
2008005	20100085
2008006	20100086
2008007	20100087
2008008	20100088
2009000	20200091
2009001	20100091
2009002	20100092
2009003	20100093
2009004	20100094
2009005	20100095
2009006	20100096
2009007	20100097
2009008	20100098
2010000	20200101
2010001	20100101
2010002	20100102
2010003	20100103
2010004	20100104
2010005	20100105
2010006	20100106
2010007	20100107
2010008	20100108
2011000	20200111
2011001	20100111
2011002	20100112
2011003	20100113
2011004	20100114
2011005	20100115
2011006	20100116
2011007	20100117
2011008	20100118
2012000	20200121
2012001	20100121
2012002	20100122
2012003	20100123
2012004	20100124
2012005	20100125
2012006	20100126
2012007	20100127
2012008	20100128
2013000	20200131
2013001	20100131
2013002	20100132
2013003	20100133
2013004	20100134
2013005	20100135
2013006	20100136
2013007	20100137
2013008	20100138
2014000	20200141
2014001	20100141
2014002	20100142
2014003	20100143
2014004	20100144
2014005	20100145
2014006	20100146
2014007	20100147
2014008	20100148
2015000	20200151
2015001	20100151
2015002	20100152
2015003	20100153
2015004	20100154
2015005	20100155
2015006	20100156
2015007	20100157
2015008	20100158
2016000	20200161
2016001	20100161
2016002	20100162
2016003	20100163
2016004	20100164
2016005	20100165
2016006	20100166
2016007	20100167
2016008	20100168
2017000	20200171
2017001	20100171
2017002	20100172
2017003	20100173
2017004	20100174
2017005	20100175
2017006	20100176
2017007	20100177
2017008	20100178
2018000	20200181
2018001	20100181
2018002	20100182
2018003	20100183
2018004	20100184
2018005	20100185
2018006	20100186
2018007	20100187
2018008	20100188
2019000	20200191
2019001	20100191
2019002	20100192
2019003	20100193
2019004	20100194
2019005	20100195
2019006	20100196
2019007	20100197
2019008	20100198
2020000	20200201
2020001	20100201
2020002	20100202
2020003	20100203
2020004	20100204
2020005	20100205
2020006	20100206
2020007	20100207
2020008	20100208
2021000	20200211
2021001	20100211
2021002	20100212
2021003	20100213
2021004	20100214
2021005	20100215
2021006	20100216
2021007	20100217
2021008	20100218
2022000	20200221
2022001	20100221
2022002	20100222
2022003	20100223
2022004	20100224
2022005	20100225
2022006	20100226
2022007	20100227
2022008	20100228
2023000	20200231
2023001	20100231
2023002	20100232
2023003	20100233
2023004	20100234
2023005	20100235
2023006	20100236
2023007	20100237
2023008	20100238
2024000	20200241
2024001	20100241
2024002	20100242
2024003	20100243
2024004	20100244
2024005	20100245
2024006	20100246
2024007	20100247
2024008	20100248
2025000	20200251
2025001	20100251
2025002	20100252
2025003	20100253
2025004	20100254
2025005	20100255
2025006	20100256
2025007	20100257
2025008	20100258
2026000	20200261
2026001	20100261
2026002	20100262
2026003	20100263
2026004	20100264
2026005	20100265
2026006	20100266
2026007	20100267
2026008	20100268
2027000	20200271
2027001	20100271
2027002	20100272
2027003	20100273
2027004	20100274
2027005	20100275
2027006	20100276
2027007	20100277
2027008	20100278
2028000	20200281
2028001	20100281
2028002	20100282
2028003	20100283
2028004	20100284
2028005	20100285
2028006	20100286
2028007	20100287
2028008	20100288
2029000	20200291
2029001	20100291
2029002	20100292
2029003	20100293
2029004	20100294
2029005	20100295
2029006	20100296
2029007	20100297
2029008	20100298
2030000	20200301
2030001	20100301
2030002	20100302
2030003	20100303
2030004	20100304
2030005	20100305
2030006	20100306
2030007	20100307
2030008	20100308
2031000	20200311
2031001	20100311
2031002	20100312
2031003	20100313
2031004	20100314
2031005	20100315
2031006	20100316
2031007	20100317
2031008	20100318
2032000	20200321
2032001	20100321
2032002	20100322
2032003	20100323
2032004	20100324
2032005	20100325
2032006	20100326
2032007	20100327
2032008	20100328
2033000	20200331
2033001	20100331
2033002	20100332
2033003	20100333
2033004	20100334
2033005	20100335
2033006	20100336
2033007	20100337
2033008	20100338
2034000	20200341
2034001	20100341
2034002	20100342
2034003	20100343
2034004	20100344
2034005	20100345
2034006	20100346
2034007	20100347
2034008	20100348
2035000	20200351
2035001	20100351
2035002	20100352
2035003	20100353
2035004	20100354
2035005	20100355
2035006	20100356
2035007	20100357
2035008	20100358
2036000	20200361
2036001	20100361
2036002	20100362
2036003	20100363
2036004	20100364
2036005	20100365
2036006	20100366
2036007	20100367
2036008	20100368
2037000	20200371
2037001	20100371
2037002	20100372
2037003	20100373
2037004	20100374
2037005	20100375
2037006	20100376
2037007	20100377
2037008	20100378
2038000	20200381
2038001	20100381
2038002	20100382
2038003	20100383
2038004	20100384
2038005	20100385
2038006	20100386
2038007	20100387
2038008	20100388
2039000	20200391
2039001	20100391
2039002	20100392
2039003	20100393
2039004	20100394
2039005	20100395
2039006	20100396
2039007	20100397
2039008	20100398
2040000	20200401
2040001	20100401
2040002	20100402
2040003	20100403
2040004	20100404
2040005	20100405
2040006	20100406
2040007	20100407
2040008	20100408
2041000	20200411
2041001	20100411
2041002	20100412
2041003	20100413
2041004	20100414
2041005	20100415
2041006	20100416
2041007	20100417
2041008	20100418
2042000	20200421
2042001	20100421
2042002	20100422
2042003	20100423
2042004	20100424
2042005	20100425
2042006	20100426
2042007	20100427
2042008	20100428
2043000	20200431
2043001	20100431
2043002	20100432
2043003	20100433
2043004	20100434
2043005	20100435
2043006	20100436
2043007	20100437
2043008	20100438
2044000	20200441
2044001	20100441
2044002	20100442
2044003	20100443
2044004	20100444
2044005	20100445
2044006	20100446
2044007	20100447
2044008	20100448
2045000	20200451
2045001	20100451
2045002	20100452
2045003	20100453
2045004	20100454
2045005	20100455
2045006	20100456
2045007	20100457
2045008	20100458
2046000	20200461
2046001	20100461
2046002	20100462
2046003	20100463
2046004	20100464
2046005	20100465
2046006	20100466
2046007	20100467
2046008	20100468
2047000	20200471
2047001	20100471
2047002	20100472
2047003	20100473
2047004	20100474
2047005	20100475
2047006	20100476
2047007	20100477
2047008	20100478
2048000	20200481
2048001	20100481
2048002	20100482
2048003	20100483
2048004	20100484
2048005	20100485
2048006	20100486
2048007	20100487
2048008	20100488
2049000	20200491
2049001	20100491
2049002	20100492
2049003	20100493
2049004	20100494
2049005	20100495
2049006	20100496
2049007	20100497
2049008	20100498
2050000	20200501
2050001	20100501
2050002	20100502
2050003	20100503
2050004	20100504
2050005	20100505
2050006	20100506
2050007	20100507
2050008	20100508
2051000	20200511
2051001	20100511
2051002	20100512
2051003	20100513
2051004	20100514
2051005	20100515
2051006	20100516
2051007	20100517
2051008	20100518
2052000	20200521
2052001	20100521
2052002	20100522
2052003	20100523
2052004	20100524
2052005	20100525
2052006	20100526
2052007	20100527
2052008	20100528
2053000	20200531
2053001	20100531
2053002	20100532
2053003	20100533
2053004	20100534
2053005	20100535
2053006	20100536
2053007	20100537
2053008	20100538
2054000	20200541
2054001	20100541
2054002	20100542
2054003	20100543
2054004	20100544
2054005	20100545
2054006	20100546
2054007	20100547
2054008	20100548
2055000	20200551
2055001	20100551
2055002	20100552
2055003	20100553
2055004	20100554
2055005	20100555
2055006	20100556
2055007	20100557
2055008	20100558
2056000	20200561
2056001	20100561
2056002	20100562
2056003	20100563
2056004	20100564
2056005	20100565
2056006	20100566
2056007	20100567
2056008	20100568
2057000	20200571
2057001	20100571
2057002	20100572
2057003	20100573
2057004	20100574
2057005	20100575
2057006	20100576
2057007	20100577
2057008	20100578
2058000	20200581
2058001	20100581
2058002	20100582
2058003	20100583
2058004	20100584
2058005	20100585
2058006	20100586
2058007	20100587
2058008	20100588
2059000	20200591
2059001	20100591
2059002	20100592
2059003	20100593
2059004	20100594
2059005	20100595
2059006	20100596
2059007	20100597
2059008	20100598
2060000	20200601
2060001	20100601
2060002	20100602
2060003	20100603
2060004	20100604
2060005	20100605
2060006	20100606
2060007	20100607
2060008	20100608
2061000	20200611
2061001	20100611
2061002	20100612
2061003	20100613
2061004	20100614
2061005	20100615
2061006	20100616
2061007	20100617
2061008	20100618
2062000	20200621
2062001	20100621
2062002	20100622
2062003	20100623
2062004	20100624
2062005	20100625
2062006	20100626
2062007	20100627
2062008	20100628
2063000	20200631
2063001	20100631
2063002	20100632
2063003	20100633
2063004	20100634
2063005	20100635
2063006	20100636
2063007	20100637
2063008	20100638
2064000	20200641
2064001	20100641
2064002	20100642
2064003	20100643
2064004	20100644
2064005	20100645
2064006	20100646
2064007	20100647
2064008	20100648
2065000	20200651
2065001	20100651
2065002	20100652
2065003	20100653
2065004	20100654
2065005	20100655
2065006	20100656
2065007	20100657
2065008	20100658
2066000	20200661
2066001	20100661
2066002	20100662
2066003	20100663
2066004	20100664
2066005	20100665
2066006	20100666
2066007	20100667
2066008	20100668
2067000	20200671
2067001	20100671
2067002	20100672
2067003	20100673
2067004	20100674
2067005	20100675
2067006	20100676
2067007	20100677
2067008	20100678
2068000	20200681
2068001	20100681
2068002	20100682
2068003	20100683
2068004	20100684
2068005	20100685
2068006	20100686
2068007	20100687
2068008	20100688
2069000	20200691
2069001	20100691
2069002	20100692
2069003	20100693
2069004	20100694
2069005	20100695
2069006	20100696
2069007	20100697
2069008	20100698
2070000	20200701
2070001	20100701
2070002	20100702
2070003	20100703
2070004	20100704
2070005	20100705
2070006	20100706
2070007	20100707
2070008	20100708
2071000	20200711
2071001	20100711
2071002	20100712
2071003	20100713
2071004	20100714
2071005	20100715
2071006	20100716
2071007	20100717
2071008	20100718
2072000	20200721
2072001	20100721
2072002	20100722
2072003	20100723
2072004	20100724
2072005	20100725
2072006	20100726
2072007	20100727
2072008	20100728
2073000	20200731
2073001	20100731
2073002	20100732
2073003	20100733
2073004	20100734
2073005	20100735
2073006	20100736
2073007	20100737
2073008	20100738
2074000	20200741
2074001	20100741
2074002	20100742
2074003	20100743
2074004	20100744
2074005	20100745
2074006	20100746
2074007	20100747
2074008	20100748
2075000	20200751
2075001	20100751
2075002	20100752
2075003	20100753
2075004	20100754
2075005	20100755
2075006	20100756
2075007	20100757
2075008	20100758
2076000	20200761
2076001	20100761
2076002	20100762
2076003	20100763
2076004	20100764
2076005	20100765
2076006	20100766
2076007	20100767
2076008	20100768
2077000	20200771
2077001	20100771
2077002	20100772
2077003	20100773
2077004	20100774
2077005	20100775
2077006	20100776
2077007	20100777
2077008	20100778
2078000	20200781
2078001	20100781
2078002	20100782
2078003	20100783
2078004	20100784
2078005	20100785
2078006	20100786
2078007	20100787
2078008	20100788
2079000	20200791
2079001	20100791
2079002	20100792
2079003	20100793
2079004	20100794
2079005	20100795
2079006	20100796
2079007	20100797
2079008	20100798
2080000	20200801
2080001	20100801
2080002	20100802
2080003	20100803
2080004	20100804
2080005	20100805
2080006	20100806
2080007	20100807
2080008	20100808
2081000	20200811
2081001	20100811
2081002	20100812
2081003	20100813
2081004	20100814
2081005	20100815
2081006	20100816
2081007	20100817
2081008	20100818
2082000	20200821
2082001	20100821
2082002	20100822
2082003	20100823
2082004	20100824
2082005	20100825
2082006	20100826
2082007	20100827
2082008	20100828
2083000	20200831
2083001	20100831
2083002	20100832
2083003	20100833
2083004	20100834
2083005	20100835
2083006	20100836
2083007	20100837
2083008	20100838
2084000	20200841
2084001	20100841
2084002	20100842
2084003	20100843
2084004	20100844
2084005	20100845
2084006	20100846
2084007	20100847
2084008	20100848
2085000	20200851
2085001	20100851
2085002	20100852
2085003	20100853
2085004	20100854
2085005	20100855
2085006	20100856
2085007	20100857
2085008	20100858
2086000	20200861
2086001	20100861
2086002	20100862
2086003	20100863
2086004	20100864
2086005	20100865
2086006	20100866
2086007	20100867
2086008	20100868
2087000	20200871
2087001	20100871
2087002	20100872
2087003	20100873
2087004	20100874
2087005	20100875
2087006	20100876
2087007	20100877
2087008	20100878
2088000	20200881
2088001	20100881
2088002	20100882
2088003	20100883
2088004	20100884
2088005	20100885
2088006	20100886
2088007	20100887
2088008	20100888
2089000	20200891
2089001	20100891
2089002	20100892
2089003	20100893
2089004	20100894
2089005	20100895
2089006	20100896
2089007	20100897
2089008	20100898
2090000	20200901
2090001	20100901
2090002	20100902
2090003	20100903
2090004	20100904
2090005	20100905
2090006	20100906
2090007	20100907
2090008	20100908
2091000	20200911
2091001	20100911
2091002	20100912
2091003	20100913
2091004	20100914
2091005	20100915
2091006	20100916
2091007	20100917
2091008	20100918
2092000	20200921
2092001	20100921
2092002	20100922
2092003	20100923
2092004	20100924
2092005	20100925
2092006	20100926
2092007	20100927
2092008	20100928
2093000	20200931
2093001	20100931
2093002	20100932
2093003	20100933
2093004	20100934
2093005	20100935
2093006	20100936
2093007	20100937
2093008	20100938
2094000	20200941
2094001	20100941
2094002	20100942
2094003	20100943
2094004	20100944
2094005	20100945
2094006	20100946
2094007	20100947
2094008	20100948
2095000	20200951
2095001	20100951
2095002	20100952
2095003	20100953
2095004	20100954
2095005	20100955
2095006	20100956
2095007	20100957
2095008	20100958
2096000	20200961
2096001	20100961
2096002	20100962
2096003	20100963
2096004	20100964
2096005	20100965
2096006	20100966
2096007	20100967
2096008	20100968
2097000	20200971
2097001	20100971
2097002	20100972
2097003	20100973
2097004	20100974
2097005	20100975
2097006	20100976
2097007	20100977
2097008	20100978
2098000	20200981
2098001	20100981
2098002	20100982
2098003	20100983
2098004	20100984
2098005	20100985
2098006	20100986
2098007	20100987
2098008	20100988
2099000	20200991
2099001	20100991
2099002	20100992
2099003	20100993
2099004	20100994
2099005	20100995
2099006	20100996
2099007	20100997
2099008	20100998
2100000	20201001
2100001	20101001
2100002	20101002
2100003	20101003
2100004	20101004
2100005	20101005
2100006	20101006
2100007	20101007
2100008	20101008
2101000	20201011
2101001	20101011
2101002	20101012
2101003	20101013
2101004	20101014
2101005	20101015
2101006	20101016
2101007	20101017
2101008	20101018
2102000	20201021
2102001	20101021
2102002	20101022
2102003	20101023
2102004	20101024
2102005	20101025
2102006	20101026
2102007	20101027
2102008	20101028
2103000	20201031
2103001	20101031
2103002	20101032
2103003	20101033
2103004	20101034
2103005	20101035
2103006	20101036
2103007	20101037
2103008	20101038
2104000	20201041
2104001	20101041
2104002	20101042
2104003	20101043
2104004	20101044
2104005	20101045
2104006	20101046
2104007	20101047
2104008	20101048
2105000	20201051
2105001	20101051
2105002	20101052
2105003	20101053
2105004	20101054
2105005	20101055
2105006	20101056
2105007	20101057
2105008	20101058
2106000	20201061
2106001	20101061
2106002	20101062
2106003	20101063
2106004	20101064
2106005	20101065
2106006	20101066
2106007	20101067
2106008	20101068
2107000	20201071
2107001	20101071
2107002	20101072
2107003	20101073
2107004	20101074
2107005	20101075
2107006	20101076
2107007	20101077
2107008	20101078
2108000	20201081
2108001	20101081
2108002	20101082
2108003	20101083
2108004	20101084
2108005	20101085
2108006	20101086
2108007	20101087
2108008	20101088
2109000	20201091
2109001	20101091
2109002	20101092
2109003	20101093
2109004	20101094
2109005	20101095
2109006	20101096
2109007	20101097
2109008	20101098
2110000	20201101
2110001	20101101
2110002	20101102
2110003	20101103
2110004	20101104
2110005	20101105
2110006	20101106
2110007	20101107
2110008	20101108
2111000	20201111
2111001	20101111
2111002	20101112
2111003	20101113
2111004	20101114
2111005	20101115
2111006	20101116
2111007	20101117
2111008	20101118
2112000	20201121
2112001	20101121
2112002	20101122
2112003	20101123
2112004	20101124
2112005	20101125
2112006	20101126
2112007	20101127
2112008	20101128
2113000	20201131
2113001	20101131
2113002	20101132
2113003	20101133
2113004	20101134
2113005	20101135
2113006	20101136
2113007	20101137
2113008	20101138
2114000	20201141
2114001	20101141
2114002	20101142
2114003	20101143
2114004	20101144
2114005	20101145
2114006	20101146
2114007	20101147
2114008	20101148
2115000	20201151
2115001	20101151
2115002	20101152
2115003	20101153
2115004	20101154
2115005	20101155
2115006	20101156
2115007	20101157
2115008	20101158
2116000	20201161
2116001	20101161
2116002	20101162
2116003	20101163
2116004	20101164
2116005	20101165
2116006	20101166
2116007	20101167
2116008	20101168
2117000	20201171
2117001	20101171
2117002	20101172
2117003	20101173
2117004	20101174
2117005	20101175
2117006	20101176
2117007	20101177
2117008	20101178
2118000	20201181
2118001	20101181
2118002	20101182
2118003	20101183
2118004	20101184
2118005	20101185
2118006	20101186
2118007	20101187
2118008	20101188
2119000	20201191
2119001	20101191
2119002	20101192
2119003	20101193
2119004	20101194
2119005	20101195
2119006	20101196
2119007	20101197
2119008	20101198
2120000	20201201
2120001	20101201
2120002	20101202
2120003	20101203
2120004	20101204
2120005	20101205
2120006	20101206
2120007	20101207
2120008	20101208
2121000	20201211
2121001	20101211
2121002	20101212
2121003	20101213
2121004	20101214
2121005	20101215
2121006	20101216
2121007	20101217
2121008	20101218
2122000	20201221
2122001	20101221
2122002	20101222
2122003	20101223
2122004	20101224
2122005	20101225
2122006	20101226
2122007	20101227
2122008	20101228
2123000	20201231
2123001	20101231
2123002	20101232
2123003	20101233
2123004	20101234
2123005	20101235
2123006	20101236
2123007	20101237
2123008	20101238
2124000	20201241
2124001	20101241
2124002	20101242
2124003	20101243
2124004	20101244
2124005	20101245
2124006	20101246
2124007	20101247
2124008	20101248
2125000	20201251
2125001	20101251
2125002	20101252
2125003	20101253
2125004	20101254
2125005	20101255
2125006	20101256
2125007	20101257
2125008	20101258
2126000	20201261
2126001	20101261
2126002	20101262
2126003	20101263
2126004	20101264
2126005	20101265
2126006	20101266
2126007	20101267
2126008	20101268
2127000	20201271
2127001	20101271
2127002	20101272
2127003	20101273
2127004	20101274
2127005	20101275
2127006	20101276
2127007	20101277
2127008	20101278
2128000	20201281
2128001	20101281
2128002	20101282
2128003	20101283
2128004	20101284
2128005	20101285
2128006	20101286
2128007	20101287
2128008	20101288
2129000	20201291
2129001	20101291
2129002	20101292
2129003	20101293
2129004	20101294
2129005	20101295
2129006	20101296
2129007	20101297
2129008	20101298
2130000	20201301
2130001	20101301
2130002	20101302
2130003	20101303
2130004	20101304
2130005	20101305
2130006	20101306
2130007	20101307
2130008	20101308
2131000	20201311
2131001	20101311
2131002	20101312
2131003	20101313
2131004	20101314
2131005	20101315
2131006	20101316
2131007	20101317
2131008	20101318
2132000	20201321
2132001	20101321
2132002	20101322
2132003	20101323
2132004	20101324
2132005	20101325
2132006	20101326
2132007	20101327
2132008	20101328
2133000	20201331
2133001	20101331
2133002	20101332
2133003	20101333
2133004	20101334
2133005	20101335
2133006	20101336
2133007	20101337
2133008	20101338
2134000	20201341
2134001	20101341
2134002	20101342
2134003	20101343
2134004	20101344
2134005	20101345
2134006	20101346
2134007	20101347
2134008	20101348
2135000	20201351
2135001	20101351
2135002	20101352
2135003	20101353
2135004	20101354
2135005	20101355
2135006	20101356
2135007	20101357
2135008	20101358
2136000	20201361
2136001	20101361
2136002	20101362
2136003	20101363
2136004	20101364
2136005	20101365
2136006	20101366
2136007	20101367
2136008	20101368
2137000	20201371
2137001	20101371
2137002	20101372
2137003	20101373
2137004	20101374
2137005	20101375
