PlayerLv	Exp	MaxEnergy	AddEnergy	ExtraAdd	MazeTreasureMax
98	3175205	0	0	35000	30000
99	3267005	0	0	35000	30000
100	3366005	0	0	40000	30000
101	3466325	0	0	40000	30000
102	3567965	0	0	40000	30000
103	3670925	0	0	40000	30000
104	3775205	0	0	40000	30000
105	3880805	0	0	40000	30000
106	3987725	0	0	40000	30000
107	4095965	0	0	40000	30000
108	4205525	0	0	40000	30000
109	4316405	0	0	40000	30000
110	4435205	0	0	40000	30000
111	4555445	0	0	40000	30000
112	4677125	0	0	40000	30000
113	4800245	0	0	40000	30000
114	4924805	0	0	40000	30000
115	5050805	0	0	40000	30000
116	5178245	0	0	40000	30000
117	5307125	0	0	40000	30000
118	5437445	0	0	40000	30000
119	5569205	0	0	40000	30000
120	5709605	0	0	40000	30000
121	5851565	0	0	40000	30000
122	5995085	0	0	40000	30000
123	6140165	0	0	40000	30000
124	6286805	0	0	40000	30000
125	6435005	0	0	40000	30000
126	6584765	0	0	40000	30000
127	6736085	0	0	40000	30000
128	6888965	0	0	40000	30000
129	7043405	0	0	40000	30000
130	7207205	0	0	40000	30000
131	7372685	0	0	40000	30000
132	7539845	0	0	40000	30000
133	7708685	0	0	40000	30000
134	7879205	0	0	40000	30000
135	8051405	0	0	40000	30000
136	8230285	0	0	40000	30000
137	8400845	0	0	40000	30000
138	8578085	0	0	40000	30000
139	8757005	0	0	40000	30000
140	8946005	0	0	40000	30000
141	9136805	0	0	40000	30000
142	9329405	0	0	40000	30000
143	9523805	0	0	40000	30000
144	9720005	0	0	40000	30000
145	9918005	0	0	40000	30000
146	10117805	0	0	40000	30000
147	10319405	0	0	40000	30000
148	10522805	0	0	40000	30000
149	10728005	0	0	40000	30000
150	10944005	0	0	40000	30000
151	11161925	0	0	40000	30000
152	11381765	0	0	40000	30000
153	11603525	0	0	40000	30000
154	11827205	0	0	40000	30000
155	12052805	0	0	40000	30000
156	12280325	0	0	40000	30000
157	13009765	0	0	40000	30000
158	12741125	0	0	40000	30000
159	12974405	0	0	40000	30000
160	13219205	0	0	40000	30000
161	13466045	0	0	40000	30000
162	13714925	0	0	40000	30000
163	13965845	0	0	40000	30000
164	14218805	0	0	40000	30000
165	14473805	0	0	40000	30000
166	14730845	0	0	40000	30000
167	14989925	0	0	40000	30000
168	15301045	0	0	40000	30000
169	15514205	0	0	40000	30000
170	15789605	0	0	40000	30000
171	16067165	0	0	40000	30000
172	16346885	0	0	40000	30000
173	16628765	0	0	40000	30000
174	16912805	0	0	40000	30000
175	17199005	0	0	40000	30000
176	17487365	0	0	40000	30000
177	17777885	0	0	40000	30000
178	18070565	0	0	40000	30000
179	18365405	0	0	40000	30000
180	18673205	0	0	40000	30000
181	18983285	0	0	40000	30000
182	19295645	0	0	40000	30000
183	19610285	0	0	40000	30000
184	19927205	0	0	40000	30000
185	20246405	0	0	40000	30000
186	20567885	0	0	40000	30000
187	20891645	0	0	40000	30000
188	21217685	0	0	40000	30000
189	21546005	0	0	40000	30000
190	21888005	0	0	40000	30000
191	22232405	0	0	40000	30000
192	23079205	0	0	40000	30000
193	22928405	0	0	40000	30000
194	23280005	0	0	40000	30000
195	23634005	0	0	40000	30000
196	23990405	0	0	40000	30000
197	24349205	0	0	40000	30000
198	24710405	0	0	40000	30000
199	30074005	0	0	40000	30000
200	30452005	0	0	40000	30000
