Id	ActivityType	Level	Integral	Reward	TreasureReward	LevelCond
65	801	23	68#28000	60#3	6001020#10	1#999
66	801	24	68#30000	80#5	60402#1	1#999
67	801	25	68#32000	6001020#5	60425#1|60403#1	1#999
68	801	26	68#34000	72001#50	20#1	1#999
69	801	27	68#36000	6001020#5	20#1	1#999
70	801	28	68#38000	60#2	81132#1	1#999
71	801	29	68#40000	6001020#5	6001020#10	1#999
72	801	30	68#42000	60#2	20#2|6001020#50	1#999
73	801	31	68#44000	6001020#5	19#2	1#999
74	801	32	68#46000	19#1	19#2	1#999
75	801	33	68#48000	60#2	81132#1	1#999
76	801	34	68#50000	72001#50	19#2	1#999
77	801	35	68#52000	6001020#10	60402#1|60403#1	1#999
78	801	36	68#54000	72001#50	20#1	1#999
79	801	37	68#56000	6001020#5	20#1	1#999
80	801	38	68#58000	60#2	81132#1	1#999
81	801	39	68#60000	6001020#5	6001020#10	1#999
82	801	40	68#62000	20#1	20#2|81148#50	1#999
12041	801	41	68#64000	60#1	81132#1	1#999
12042	801	42	68#66000	60#1	81132#1	1#999
12043	801	43	68#68000	60#1	19#2	1#999
12044	801	44	68#70000	60#1	81132#1	1#999
12045	801	45	68#72000	60#1	81132#1	1#999
12046	801	46	68#74000	60#1	20#1	1#999
12047	801	47	68#76000	60#1	81132#1	1#999
12048	801	48	68#78000	60#1	81132#1	1#999
12049	801	49	68#80000	60#1	19#2	1#999
12050	801	50	68#82000	60#1	81132#1	1#999
12051	801	51	68#84000	60#1	81132#1	1#999
12052	801	52	68#86000	60#1	20#1	1#999
12053	801	53	68#88000	60#1	81132#1	1#999
12054	801	54	68#90000	60#1	81132#1	1#999
12055	801	55	68#92000	60#1	19#2	1#999
12056	801	56	68#94000	60#1	81132#1	1#999
12057	801	57	68#96000	60#1	81132#1	1#999
12058	801	58	68#98000	60#1	20#1	1#999
12059	801	59	68#100000	60#1	81132#1	1#999
12060	801	60	68#102000	60#1	81132#1	1#999
12061	801	61	68#104000	60#1	19#2	1#999
12062	801	62	68#106000	60#1	81132#1	1#999
12063	801	63	68#108000	60#1	81132#1	1#999
12064	801	64	68#110000	60#1	20#1	1#999
12065	801	65	68#112000	60#1	81132#1	1#999
12066	801	66	68#114000	60#1	81132#1	1#999
12067	801	67	68#116000	60#1	19#2	1#999
12068	801	68	68#118000	60#1	81132#1	1#999
12069	801	69	68#120000	60#1	81132#1	1#999
12070	801	70	68#122000	60#1	20#1	1#999
12071	801	71	68#124000	60#1	81132#1	1#999
12072	801	72	68#126000	60#1	81132#1	1#999
12073	801	73	68#128000	60#1	19#2	1#999
12074	801	74	68#130000	60#1	81132#1	1#999
12075	801	75	68#132000	60#1	81132#1	1#999
12076	801	76	68#134000	60#1	20#1	1#999
12077	801	77	68#136000	60#1	81132#1	1#999
12078	801	78	68#138000	60#1	81132#1	1#999
12079	801	79	68#140000	60#1	19#2	1#999
12080	801	80	68#142000	60#1	20#1	1#999
83	802	0	68#1000	null	null	1#999
84	802	1	68#2000	60#3	20#5|19#10	1#999
85	802	2	68#3000	19#1	19#2	1#999
86	802	3	68#4000	60#2	81132#1	1#999
87	802	4	68#5000	72001#50	19#2	1#999
88	802	5	68#6000	6001020#10	60402#1|60403#1	1#999
89	802	6	68#7000	60#2	19#2	1#999
90	802	7	68#8000	6001020#5	6001020#10	1#999
91	802	8	68#9000	19#1	19#2	1#999
92	802	9	68#10000	81003#1	19#2	1#999
93	802	10	68#11000	61#1	6001020#50|60402#1	1#999
94	802	11	68#12000	6001020#5	19#2	1#999
95	802	12	68#13000	19#1	19#2	1#999
96	802	13	68#14000	60#2	81132#1	1#999
97	802	14	68#15000	72001#50	19#2	1#999
98	802	15	68#16000	6001020#10	60402#1|60403#1	1#999
99	802	16	68#17000	72001#50	20#1	1#999
100	802	17	68#18000	6001020#5	20#1	1#999
101	802	18	68#19000	60#2	81132#1	1#999
102	802	19	68#20000	6001020#5	6001020#10	1#999
103	802	20	68#22000	60#2	20#2|6001020#50	1#999
104	802	21	68#24000	6001020#5	60402#1	1#999
105	802	22	68#26000	19#1	19#2	1#999
106	802	23	68#28000	60#3	6001020#10	1#999
107	802	24	68#30000	80#5	60402#1	1#999
108	802	25	68#32000	6001020#5	60425#1|60403#1	1#999
109	802	26	68#34000	72001#50	20#1	1#999
110	802	27	68#36000	6001020#5	20#1	1#999
111	802	28	68#38000	60#2	81132#1	1#999
112	802	29	68#40000	6001020#5	6001020#10	1#999
113	802	30	68#42000	60#2	20#2|6001020#50	1#999
114	802	31	68#44000	6001020#5	19#2	1#999
115	802	32	68#46000	19#1	19#2	1#999
116	802	33	68#48000	60#2	81132#1	1#999
117	802	34	68#50000	72001#50	19#2	1#999
118	802	35	68#52000	6001020#10	60402#1|60403#1	1#999
119	802	36	68#54000	72001#50	20#1	1#999
120	802	37	68#56000	6001020#5	20#1	1#999
121	802	38	68#58000	60#2	81132#1	1#999
122	802	39	68#60000	6001020#5	6001020#10	1#999
123	802	40	68#62000	20#1	20#2|81148#50	1#999
13041	802	41	68#64000	60#1	81132#1	1#999
13042	802	42	68#66000	60#1	81132#1	1#999
13043	802	43	68#68000	60#1	19#2	1#999
13044	802	44	68#70000	60#1	81132#1	1#999
13045	802	45	68#72000	60#1	81132#1	1#999
13046	802	46	68#74000	60#1	20#1	1#999
13047	802	47	68#76000	60#1	81132#1	1#999
13048	802	48	68#78000	60#1	81132#1	1#999
13049	802	49	68#80000	60#1	19#2	1#999
13050	802	50	68#82000	60#1	81132#1	1#999
13051	802	51	68#84000	60#1	81132#1	1#999
13052	802	52	68#86000	60#1	20#1	1#999
13053	802	53	68#88000	60#1	81132#1	1#999
13054	802	54	68#90000	60#1	81132#1	1#999
13055	802	55	68#92000	60#1	19#2	1#999
13056	802	56	68#94000	60#1	81132#1	1#999
13057	802	57	68#96000	60#1	81132#1	1#999
13058	802	58	68#98000	60#1	20#1	1#999
13059	802	59	68#100000	60#1	81132#1	1#999
13060	802	60	68#102000	60#1	81132#1	1#999
13061	802	61	68#104000	60#1	19#2	1#999
13062	802	62	68#106000	60#1	81132#1	1#999
13063	802	63	68#108000	60#1	81132#1	1#999
13064	802	64	68#110000	60#1	20#1	1#999
13065	802	65	68#112000	60#1	81132#1	1#999
13066	802	66	68#114000	60#1	81132#1	1#999
13067	802	67	68#116000	60#1	19#2	1#999
13068	802	68	68#118000	60#1	81132#1	1#999
13069	802	69	68#120000	60#1	81132#1	1#999
13070	802	70	68#122000	60#1	20#1	1#999
13071	802	71	68#124000	60#1	81132#1	1#999
13072	802	72	68#126000	60#1	81132#1	1#999
13073	802	73	68#128000	60#1	19#2	1#999
13074	802	74	68#130000	60#1	81132#1	1#999
13075	802	75	68#132000	60#1	81132#1	1#999
13076	802	76	68#134000	60#1	20#1	1#999
13077	802	77	68#136000	60#1	81132#1	1#999
13078	802	78	68#138000	60#1	81132#1	1#999
13079	802	79	68#140000	60#1	19#2	1#999
13080	802	80	null	60#1	20#1	1#999
14000	803	0	68#1000	null	null	1#999
14001	803	1	68#2000	60#3	20#5|19#10	1#999
14002	803	2	68#3000	19#1	19#2	1#999
14003	803	3	68#4000	60#2	81132#1	1#999
14004	803	4	68#5000	72001#50	19#2	1#999
14005	803	5	68#6000	6001020#10	60402#1|60403#1	1#999
14006	803	6	68#7000	60#2	19#2	1#999
14007	803	7	68#8000	6001020#5	6001020#10	1#999
14008	803	8	68#9000	19#1	19#2	1#999
14009	803	9	68#10000	81003#1	19#2	1#999
14010	803	10	68#11000	61#1	6001020#50|60402#1	1#999
14011	803	11	68#12000	6001020#5	19#2	1#999
14012	803	12	68#13000	19#1	19#2	1#999
14013	803	13	68#14000	60#2	81132#1	1#999
14014	803	14	68#15000	72001#50	19#2	1#999
14015	803	15	68#16000	6001020#10	60402#1|60403#1	1#999
14016	803	16	68#17000	72001#50	20#1	1#999
14017	803	17	68#18000	6001020#5	20#1	1#999
14018	803	18	68#19000	60#2	81132#1	1#999
14019	803	19	68#20000	6001020#5	6001020#10	1#999
14020	803	20	68#22000	60#2	20#2|6001020#50	1#999
14021	803	21	68#24000	6001020#5	60402#1	1#999
14022	803	22	68#26000	19#1	19#2	1#999
14023	803	23	68#28000	60#3	6001020#10	1#999
14024	803	24	68#30000	80#5	60402#1	1#999
14025	803	25	68#32000	6001020#5	60425#1|60403#1	1#999
14026	803	26	68#34000	72001#50	20#1	1#999
14027	803	27	68#36000	6001020#5	20#1	1#999
14028	803	28	68#38000	60#2	81132#1	1#999
14029	803	29	68#40000	6001020#5	6001020#10	1#999
14030	803	30	68#42000	60#2	20#2|6001020#50	1#999
14031	803	31	68#44000	6001020#5	19#2	1#999
14032	803	32	68#46000	19#1	19#2	1#999
14033	803	33	68#48000	60#2	81132#1	1#999
14034	803	34	68#50000	72001#50	19#2	1#999
14035	803	35	68#52000	6001020#10	60402#1|60403#1	1#999
14036	803	36	68#54000	72001#50	20#1	1#999
14037	803	37	68#56000	6001020#5	20#1	1#999
14038	803	38	68#58000	60#2	81132#1	1#999
14039	803	39	68#60000	6001020#5	6001020#10	1#999
14040	803	40	68#62000	20#1	20#2|81148#50	1#999
14041	803	41	68#64000	60#1	81132#1	1#999
14042	803	42	68#66000	60#1	81132#1	1#999
14043	803	43	68#68000	60#1	19#2	1#999
14044	803	44	68#70000	60#1	81132#1	1#999
14045	803	45	68#72000	60#1	81132#1	1#999
14046	803	46	68#74000	60#1	20#1	1#999
14047	803	47	68#76000	60#1	81132#1	1#999
14048	803	48	68#78000	60#1	81132#1	1#999
14049	803	49	68#80000	60#1	19#2	1#999
14050	803	50	68#82000	60#1	81132#1	1#999
14051	803	51	68#84000	60#1	81132#1	1#999
14052	803	52	68#86000	60#1	20#1	1#999
14053	803	53	68#88000	60#1	81132#1	1#999
14054	803	54	68#90000	60#1	81132#1	1#999
14055	803	55	68#92000	60#1	19#2	1#999
14056	803	56	68#94000	60#1	81132#1	1#999
14057	803	57	68#96000	60#1	81132#1	1#999
14058	803	58	68#98000	60#1	20#1	1#999
14059	803	59	68#100000	60#1	81132#1	1#999
14060	803	60	68#102000	60#1	81132#1	1#999
14061	803	61	68#104000	60#1	19#2	1#999
14062	803	62	68#106000	60#1	81132#1	1#999
14063	803	63	68#108000	60#1	81132#1	1#999
14064	803	64	68#110000	60#1	20#1	1#999
14065	803	65	68#112000	60#1	81132#1	1#999
14066	803	66	68#114000	60#1	81132#1	1#999
14067	803	67	68#116000	60#1	19#2	1#999
14068	803	68	68#118000	60#1	81132#1	1#999
14069	803	69	68#120000	60#1	81132#1	1#999
14070	803	70	68#122000	60#1	20#1	1#999
14071	803	71	68#124000	60#1	81132#1	1#999
14072	803	72	68#126000	60#1	81132#1	1#999
14073	803	73	68#128000	60#1	19#2	1#999
14074	803	74	68#130000	60#1	81132#1	1#999
14075	803	75	68#132000	60#1	81132#1	1#999
14076	803	76	68#134000	60#1	20#1	1#999
14077	803	77	68#136000	60#1	81132#1	1#999
14078	803	78	68#138000	60#1	81132#1	1#999
14079	803	79	68#140000	60#1	19#2	1#999
14080	803	80	null	60#1	20#1	1#999
15000	804	0	68#1000	null	null	1#999
15001	804	1	68#2000	60#3	20#5|19#10	1#999
15002	804	2	68#3000	19#1	19#2	1#999
15003	804	3	68#4000	60#2	81132#1	1#999
15004	804	4	68#5000	72001#50	19#2	1#999
15005	804	5	68#6000	6001020#10	60402#1|60403#1	1#999
15006	804	6	68#7000	60#2	19#2	1#999
15007	804	7	68#8000	6001020#5	6001020#10	1#999
15008	804	8	68#9000	19#1	19#2	1#999
15009	804	9	68#10000	81003#1	19#2	1#999
15010	804	10	68#11000	61#1	6001020#50|60402#1	1#999
15011	804	11	68#12000	6001020#5	19#2	1#999
15012	804	12	68#13000	19#1	19#2	1#999
15013	804	13	68#14000	60#2	81132#1	1#999
15014	804	14	68#15000	72001#50	19#2	1#999
15015	804	15	68#16000	6001020#10	60402#1|60403#1	1#999
15016	804	16	68#17000	72001#50	20#1	1#999
15017	804	17	68#18000	6001020#5	20#1	1#999
15018	804	18	68#19000	60#2	81132#1	1#999
15019	804	19	68#20000	6001020#5	6001020#10	1#999
15020	804	20	68#22000	60#2	20#2|6001020#50	1#999
15021	804	21	68#24000	6001020#5	60402#1	1#999
15022	804	22	68#26000	19#1	19#2	1#999
15023	804	23	68#28000	60#3	6001020#10	1#999
15024	804	24	68#30000	80#5	60402#1	1#999
15025	804	25	68#32000	6001020#5	60425#1|60403#1	1#999
15026	804	26	68#34000	72001#50	20#1	1#999
15027	804	27	68#36000	6001020#5	20#1	1#999
15028	804	28	68#38000	60#2	81132#1	1#999
15029	804	29	68#40000	6001020#5	6001020#10	1#999
15030	804	30	68#42000	60#2	20#2|6001020#50	1#999
15031	804	31	68#44000	6001020#5	19#2	1#999
15032	804	32	68#46000	19#1	19#2	1#999
15033	804	33	68#48000	60#2	81132#1	1#999
15034	804	34	68#50000	72001#50	19#2	1#999
15035	804	35	68#52000	6001020#10	60402#1|60403#1	1#999
15036	804	36	68#54000	72001#50	20#1	1#999
15037	804	37	68#56000	6001020#5	20#1	1#999
15038	804	38	68#58000	60#2	81132#1	1#999
15039	804	39	68#60000	6001020#5	6001020#10	1#999
15040	804	40	68#62000	20#1	20#2|81148#50	1#999
15041	804	41	68#64000	60#1	81132#1	1#999
15042	804	42	68#66000	60#1	81132#1	1#999
15043	804	43	68#68000	60#1	19#2	1#999
15044	804	44	68#70000	60#1	81132#1	1#999
15045	804	45	68#72000	60#1	81132#1	1#999
15046	804	46	68#74000	60#1	20#1	1#999
15047	804	47	68#76000	60#1	81132#1	1#999
15048	804	48	68#78000	60#1	81132#1	1#999
15049	804	49	68#80000	60#1	19#2	1#999
15050	804	50	68#82000	60#1	81132#1	1#999
15051	804	51	68#84000	60#1	81132#1	1#999
15052	804	52	68#86000	60#1	20#1	1#999
15053	804	53	68#88000	60#1	81132#1	1#999
15054	804	54	68#90000	60#1	81132#1	1#999
15055	804	55	68#92000	60#1	19#2	1#999
15056	804	56	68#94000	60#1	81132#1	1#999
15057	804	57	68#96000	60#1	81132#1	1#999
15058	804	58	68#98000	60#1	20#1	1#999
15059	804	59	68#100000	60#1	81132#1	1#999
15060	804	60	68#102000	60#1	81132#1	1#999
15061	804	61	68#104000	60#1	19#2	1#999
15062	804	62	68#106000	60#1	81132#1	1#999
15063	804	63	68#108000	60#1	81132#1	1#999
15064	804	64	68#110000	60#1	20#1	1#999
15065	804	65	68#112000	60#1	81132#1	1#999
15066	804	66	68#114000	60#1	81132#1	1#999
15067	804	67	68#116000	60#1	19#2	1#999
15068	804	68	68#118000	60#1	81132#1	1#999
15069	804	69	68#120000	60#1	81132#1	1#999
15070	804	70	68#122000	60#1	20#1	1#999
15071	804	71	68#124000	60#1	81132#1	1#999
15072	804	72	68#126000	60#1	81132#1	1#999
15073	804	73	68#128000	60#1	19#2	1#999
15074	804	74	68#130000	60#1	81132#1	1#999
15075	804	75	68#132000	60#1	81132#1	1#999
15076	804	76	68#134000	60#1	20#1	1#999
15077	804	77	68#136000	60#1	81132#1	1#999
15078	804	78	68#138000	60#1	81132#1	1#999
15079	804	79	68#140000	60#1	19#2	1#999
15080	804	80	null	60#1	20#1	1#999
16000	805	0	68#1000	null	null	1#999
16001	805	1	68#2000	60#3	20#5|19#10	1#999
16002	805	2	68#3000	19#1	19#2	1#999
16003	805	3	68#4000	60#2	81132#1	1#999
16004	805	4	68#5000	72001#50	19#2	1#999
16005	805	5	68#6000	6001020#10	60402#1|60403#1	1#999
16006	805	6	68#7000	60#2	19#2	1#999
16007	805	7	68#8000	6001020#5	6001020#10	1#999
16008	805	8	68#9000	19#1	19#2	1#999
16009	805	9	68#10000	81003#1	19#2	1#999
16010	805	10	68#11000	61#1	6001020#50|60402#1	1#999
16011	805	11	68#12000	6001020#5	19#2	1#999
16012	805	12	68#13000	19#1	19#2	1#999
16013	805	13	68#14000	60#2	81132#1	1#999
16014	805	14	68#15000	72001#50	19#2	1#999
16015	805	15	68#16000	6001020#10	60402#1|60403#1	1#999
16016	805	16	68#17000	72001#50	20#1	1#999
16017	805	17	68#18000	6001020#5	20#1	1#999
16018	805	18	68#19000	60#2	81132#1	1#999
16019	805	19	68#20000	6001020#5	6001020#10	1#999
16020	805	20	68#22000	60#2	20#2|6001020#50	1#999
16021	805	21	68#24000	6001020#5	60402#1	1#999
16022	805	22	68#26000	19#1	19#2	1#999
16023	805	23	68#28000	60#3	6001020#10	1#999
16024	805	24	68#30000	80#5	60402#1	1#999
16025	805	25	68#32000	6001020#5	60425#1|60403#1	1#999
16026	805	26	68#34000	72001#50	20#1	1#999
16027	805	27	68#36000	6001020#5	20#1	1#999
16028	805	28	68#38000	60#2	81132#1	1#999
16029	805	29	68#40000	6001020#5	6001020#10	1#999
16030	805	30	68#42000	60#2	20#2|6001020#50	1#999
16031	805	31	68#44000	6001020#5	19#2	1#999
16032	805	32	68#46000	19#1	19#2	1#999
16033	805	33	68#48000	60#2	81132#1	1#999
16034	805	34	68#50000	72001#50	19#2	1#999
16035	805	35	68#52000	6001020#10	60402#1|60403#1	1#999
16036	805	36	68#54000	72001#50	20#1	1#999
16037	805	37	68#56000	6001020#5	20#1	1#999
16038	805	38	68#58000	60#2	81132#1	1#999
16039	805	39	68#60000	6001020#5	6001020#10	1#999
16040	805	40	68#62000	20#1	20#2|81148#50	1#999
16041	805	41	68#64000	60#1	81132#1	1#999
16042	805	42	68#66000	60#1	81132#1	1#999
16043	805	43	68#68000	60#1	19#2	1#999
16044	805	44	68#70000	60#1	81132#1	1#999
16045	805	45	68#72000	60#1	81132#1	1#999
16046	805	46	68#74000	60#1	20#1	1#999
16047	805	47	68#76000	60#1	81132#1	1#999
16048	805	48	68#78000	60#1	81132#1	1#999
16049	805	49	68#80000	60#1	19#2	1#999
16050	805	50	68#82000	60#1	81132#1	1#999
16051	805	51	68#84000	60#1	81132#1	1#999
16052	805	52	68#86000	60#1	20#1	1#999
16053	805	53	68#88000	60#1	81132#1	1#999
16054	805	54	68#90000	60#1	81132#1	1#999
16055	805	55	68#92000	60#1	19#2	1#999
16056	805	56	68#94000	60#1	81132#1	1#999
16057	805	57	68#96000	60#1	81132#1	1#999
16058	805	58	68#98000	60#1	20#1	1#999
16059	805	59	68#100000	60#1	81132#1	1#999
16060	805	60	68#102000	60#1	81132#1	1#999
16061	805	61	68#104000	60#1	19#2	1#999
16062	805	62	68#106000	60#1	81132#1	1#999
16063	805	63	68#108000	60#1	81132#1	1#999
16064	805	64	68#110000	60#1	20#1	1#999
16065	805	65	68#112000	60#1	81132#1	1#999
16066	805	66	68#114000	60#1	81132#1	1#999
16067	805	67	68#116000	60#1	19#2	1#999
16068	805	68	68#118000	60#1	81132#1	1#999
16069	805	69	68#120000	60#1	81132#1	1#999
16070	805	70	68#122000	60#1	20#1	1#999
16071	805	71	68#124000	60#1	81132#1	1#999
16072	805	72	68#126000	60#1	81132#1	1#999
16073	805	73	68#128000	60#1	19#2	1#999
16074	805	74	68#130000	60#1	81132#1	1#999
16075	805	75	68#132000	60#1	81132#1	1#999
16076	805	76	68#134000	60#1	20#1	1#999
16077	805	77	68#136000	60#1	81132#1	1#999
16078	805	78	68#138000	60#1	81132#1	1#999
16079	805	79	68#140000	60#1	19#2	1#999
16080	805	80	null	60#1	20#1	1#999
17000	806	0	68#1000	null	null	1#999
17001	806	1	68#2000	60#3	20#5|19#10	1#999
17002	806	2	68#3000	19#1	19#2	1#999
17003	806	3	68#4000	60#2	81132#1	1#999
17004	806	4	68#5000	72001#50	19#2	1#999
17005	806	5	68#6000	6001020#10	60402#1|60403#1	1#999
17006	806	6	68#7000	60#2	19#2	1#999
17007	806	7	68#8000	6001020#5	6001020#10	1#999
17008	806	8	68#9000	19#1	19#2	1#999
17009	806	9	68#10000	81003#1	19#2	1#999
17010	806	10	68#11000	61#1	6001020#50|60402#1	1#999
17011	806	11	68#12000	6001020#5	19#2	1#999
17012	806	12	68#13000	19#1	19#2	1#999
17013	806	13	68#14000	60#2	81132#1	1#999
17014	806	14	68#15000	72001#50	19#2	1#999
17015	806	15	68#16000	6001020#10	60402#1|60403#1	1#999
17016	806	16	68#17000	72001#50	20#1	1#999
17017	806	17	68#18000	6001020#5	20#1	1#999
17018	806	18	68#19000	60#2	81132#1	1#999
17019	806	19	68#20000	6001020#5	6001020#10	1#999
17020	806	20	68#22000	60#2	20#2|6001020#50	1#999
17021	806	21	68#24000	6001020#5	60402#1	1#999
17022	806	22	68#26000	19#1	19#2	1#999
17023	806	23	68#28000	60#3	6001020#10	1#999
17024	806	24	68#30000	80#5	60402#1	1#999
17025	806	25	68#32000	6001020#5	60425#1|60403#1	1#999
17026	806	26	68#34000	72001#50	20#1	1#999
17027	806	27	68#36000	6001020#5	20#1	1#999
17028	806	28	68#38000	60#2	81132#1	1#999
17029	806	29	68#40000	6001020#5	6001020#10	1#999
17030	806	30	68#42000	60#2	20#2|6001020#50	1#999
17031	806	31	68#44000	6001020#5	19#2	1#999
17032	806	32	68#46000	19#1	19#2	1#999
17033	806	33	68#48000	60#2	81132#1	1#999
17034	806	34	68#50000	72001#50	19#2	1#999
17035	806	35	68#52000	6001020#10	60402#1|60403#1	1#999
17036	806	36	68#54000	72001#50	20#1	1#999
17037	806	37	68#56000	6001020#5	20#1	1#999
17038	806	38	68#58000	60#2	81132#1	1#999
17039	806	39	68#60000	6001020#5	6001020#10	1#999
17040	806	40	68#62000	20#1	20#2|81148#50	1#999
17041	806	41	68#64000	60#1	81132#1	1#999
17042	806	42	68#66000	60#1	81132#1	1#999
17043	806	43	68#68000	60#1	19#2	1#999
17044	806	44	68#70000	60#1	81132#1	1#999
17045	806	45	68#72000	60#1	81132#1	1#999
17046	806	46	68#74000	60#1	20#1	1#999
17047	806	47	68#76000	60#1	81132#1	1#999
17048	806	48	68#78000	60#1	81132#1	1#999
17049	806	49	68#80000	60#1	19#2	1#999
17050	806	50	68#82000	60#1	81132#1	1#999
17051	806	51	68#84000	60#1	81132#1	1#999
17052	806	52	68#86000	60#1	20#1	1#999
17053	806	53	68#88000	60#1	81132#1	1#999
17054	806	54	68#90000	60#1	81132#1	1#999
17055	806	55	68#92000	60#1	19#2	1#999
17056	806	56	68#94000	60#1	81132#1	1#999
17057	806	57	68#96000	60#1	81132#1	1#999
17058	806	58	68#98000	60#1	20#1	1#999
17059	806	59	68#100000	60#1	81132#1	1#999
17060	806	60	68#102000	60#1	81132#1	1#999
17061	806	61	68#104000	60#1	19#2	1#999
