Id	GeneralId	StepLev	GeneralLev	UpgradeExpend	StepAtt
93	2	43	90	17012#100|17011#500	61#100
94	2	44	90	17012#100|17011#500	62#100
95	2	45	90	17012#120|17011#600	5#10
96	2	46	100	17012#120|17011#600	61#100
97	2	47	100	17012#120|17011#600	62#100
98	2	48	100	17012#120|17011#600	61#100
99	2	49	100	17012#120|17011#600	62#100
100	2	50	100	17012#140|17011#700	5#10
101	3	1	10	17012#2|17011#10	61#100
102	3	2	10	17012#2|17011#10	62#100
103	3	3	10	17012#2|17011#10	61#100
104	3	4	10	17012#2|17011#10	62#100
105	3	5	10	17012#4|17011#20	5#10
106	3	6	20	17012#4|17011#20	61#100
107	3	7	20	17012#4|17011#20	62#100
108	3	8	20	17012#4|17011#20	61#100
109	3	9	20	17012#4|17011#20	62#100
110	3	10	20	17012#8|17011#40	5#10
111	3	11	30	17012#8|17011#40	61#100
112	3	12	30	17012#8|17011#40	62#100
113	3	13	30	17012#8|17011#40	61#100
114	3	14	30	17012#8|17011#40	62#100
115	3	15	30	17012#16|17011#80	5#10
116	3	16	40	17012#16|17011#80	61#100
117	3	17	40	17012#16|17011#80	62#100
118	3	18	40	17012#16|17011#80	61#100
119	3	19	40	17012#16|17011#80	62#100
120	3	20	40	17012#32|17011#160	5#10
121	3	21	50	17012#32|17011#160	61#100
122	3	22	50	17012#32|17011#160	62#100
123	3	23	50	17012#32|17011#160	61#100
124	3	24	50	17012#32|17011#160	62#100
125	3	25	50	17012#40|17011#200	5#10
126	3	26	60	17012#40|17011#200	61#100
127	3	27	60	17012#40|17011#200	62#100
128	3	28	60	17012#40|17011#200	61#100
129	3	29	60	17012#40|17011#200	62#100
130	3	30	60	17012#60|17011#300	5#10
131	3	31	70	17012#60|17011#300	61#100
132	3	32	70	17012#60|17011#300	62#100
133	3	33	70	17012#60|17011#300	61#100
134	3	34	70	17012#60|17011#300	62#100
135	3	35	70	17012#80|17011#400	5#10
136	3	36	80	17012#80|17011#400	61#100
137	3	37	80	17012#80|17011#400	62#100
138	3	38	80	17012#80|17011#400	61#100
139	3	39	80	17012#80|17011#400	62#100
140	3	40	80	17012#100|17011#500	5#10
141	3	41	90	17012#100|17011#500	61#100
142	3	42	90	17012#100|17011#500	62#100
143	3	43	90	17012#100|17011#500	61#100
144	3	44	90	17012#100|17011#500	62#100
145	3	45	90	17012#120|17011#600	5#10
146	3	46	100	17012#120|17011#600	61#100
147	3	47	100	17012#120|17011#600	62#100
148	3	48	100	17012#120|17011#600	61#100
149	3	49	100	17012#120|17011#600	62#100
150	3	50	100	17012#140|17011#700	5#10
151	4	1	10	17012#2|17011#10	61#100
152	4	2	10	17012#2|17011#10	62#100
153	4	3	10	17012#2|17011#10	61#100
154	4	4	10	17012#2|17011#10	62#100
155	4	5	10	17012#4|17011#20	5#10
156	4	6	20	17012#4|17011#20	61#100
157	4	7	20	17012#4|17011#20	62#100
158	4	8	20	17012#4|17011#20	61#100
159	4	9	20	17012#4|17011#20	62#100
160	4	10	20	17012#8|17011#40	5#10
161	4	11	30	17012#8|17011#40	61#100
162	4	12	30	17012#8|17011#40	62#100
163	4	13	30	17012#8|17011#40	61#100
164	4	14	30	17012#8|17011#40	62#100
165	4	15	30	17012#16|17011#80	5#10
166	4	16	40	17012#16|17011#80	61#100
167	4	17	40	17012#16|17011#80	62#100
168	4	18	40	17012#16|17011#80	61#100
169	4	19	40	17012#16|17011#80	62#100
170	4	20	40	17012#32|17011#160	5#10
171	4	21	50	17012#32|17011#160	61#100
172	4	22	50	17012#32|17011#160	62#100
173	4	23	50	17012#32|17011#160	61#100
174	4	24	50	17012#32|17011#160	62#100
175	4	25	50	17012#40|17011#200	5#10
176	4	26	60	17012#40|17011#200	61#100
177	4	27	60	17012#40|17011#200	62#100
178	4	28	60	17012#40|17011#200	61#100
179	4	29	60	17012#40|17011#200	62#100
180	4	30	60	17012#60|17011#300	5#10
181	4	31	70	17012#60|17011#300	61#100
182	4	32	70	17012#60|17011#300	62#100
183	4	33	70	17012#60|17011#300	61#100
184	4	34	70	17012#60|17011#300	62#100
185	4	35	70	17012#80|17011#400	5#10
186	4	36	80	17012#80|17011#400	61#100
187	4	37	80	17012#80|17011#400	62#100
188	4	38	80	17012#80|17011#400	61#100
189	4	39	80	17012#80|17011#400	62#100
190	4	40	80	17012#100|17011#500	5#10
191	4	41	90	17012#100|17011#500	61#100
192	4	42	90	17012#100|17011#500	62#100
193	4	43	90	17012#100|17011#500	61#100
194	4	44	90	17012#100|17011#500	62#100
195	4	45	90	17012#120|17011#600	5#10
196	4	46	100	17012#120|17011#600	61#100
197	4	47	100	17012#120|17011#600	62#100
198	4	48	100	17012#120|17011#600	61#100
199	4	49	100	17012#120|17011#600	62#100
200	4	50	100	17012#140|17011#700	5#10
201	5	1	10	17012#2|17011#10	61#100
202	5	2	10	17012#2|17011#10	62#100
203	5	3	10	17012#2|17011#10	61#100
204	5	4	10	17012#2|17011#10	62#100
205	5	5	10	17012#4|17011#20	5#10
206	5	6	20	17012#4|17011#20	61#100
207	5	7	20	17012#4|17011#20	62#100
208	5	8	20	17012#4|17011#20	61#100
209	5	9	20	17012#4|17011#20	62#100
210	5	10	20	17012#8|17011#40	5#10
211	5	11	30	17012#8|17011#40	61#100
212	5	12	30	17012#8|17011#40	62#100
213	5	13	30	17012#8|17011#40	61#100
214	5	14	30	17012#8|17011#40	62#100
215	5	15	30	17012#16|17011#80	5#10
216	5	16	40	17012#16|17011#80	61#100
217	5	17	40	17012#16|17011#80	62#100
218	5	18	40	17012#16|17011#80	61#100
219	5	19	40	17012#16|17011#80	62#100
220	5	20	40	17012#32|17011#160	5#10
221	5	21	50	17012#32|17011#160	61#100
222	5	22	50	17012#32|17011#160	62#100
223	5	23	50	17012#32|17011#160	61#100
224	5	24	50	17012#32|17011#160	62#100
225	5	25	50	17012#40|17011#200	5#10
226	5	26	60	17012#40|17011#200	61#100
227	5	27	60	17012#40|17011#200	62#100
228	5	28	60	17012#40|17011#200	61#100
229	5	29	60	17012#40|17011#200	62#100
230	5	30	60	17012#60|17011#300	5#10
231	5	31	70	17012#60|17011#300	61#100
232	5	32	70	17012#60|17011#300	62#100
233	5	33	70	17012#60|17011#300	61#100
234	5	34	70	17012#60|17011#300	62#100
235	5	35	70	17012#80|17011#400	5#10
236	5	36	80	17012#80|17011#400	61#100
237	5	37	80	17012#80|17011#400	62#100
238	5	38	80	17012#80|17011#400	61#100
239	5	39	80	17012#80|17011#400	62#100
240	5	40	80	17012#100|17011#500	5#10
241	5	41	90	17012#100|17011#500	61#100
242	5	42	90	17012#100|17011#500	62#100
243	5	43	90	17012#100|17011#500	61#100
244	5	44	90	17012#100|17011#500	62#100
245	5	45	90	17012#120|17011#600	5#10
246	5	46	100	17012#120|17011#600	61#100
247	5	47	100	17012#120|17011#600	62#100
248	5	48	100	17012#120|17011#600	61#100
249	5	49	100	17012#120|17011#600	62#100
250	5	50	100	17012#140|17011#700	5#10
