ID	RefineLevel	PropertyId	Value	ConsumeItem	UnlockFactor
193	192	61	100	72005#78|72004#234	24
194	193	155	100	72005#78|72004#234	24
195	194	156	100	72005#78|72004#234	24
196	195	55	100	72005#78|72004#234	24
197	196	60	100	72005#78|72004#234	24
198	197	53	100	72005#78|72004#234	24
199	198	54	100	72005#78|72004#234	24
200	199	56	200	72005#78|72004#234	24
201	200	5	8	72005#83|72004#249	24
202	201	62	100	72005#83|72004#249	24
203	202	61	100	72005#83|72004#249	24
204	203	155	100	72005#83|72004#249	24
205	204	156	100	72005#83|72004#249	24
206	205	55	100	72005#83|72004#249	24
207	206	60	100	72005#83|72004#249	24
208	207	53	100	72005#83|72004#249	24
209	208	54	100	72005#83|72004#249	24
210	209	56	200	72005#83|72004#249	24
211	210	5	8	null	24
