Id	Type	Lvl	CostPlane	CostItem	Attr	GetItem	Skill	NextId
102013	13	2	101013#2	10425#40	2#13270|3#220|1#98600|5#130	10425#150	911312	103013
102014	14	2	101014#2	10425#40	2#13270|3#220|1#98600|5#130	10425#150	911412	103014
102015	15	2	101015#2	10425#40	2#13270|3#220|1#98600|5#130	10425#150	911512	103015
102016	16	2	101016#2	10425#40	2#13270|3#220|1#98600|5#130	10425#150	911612	103016
103001	1	3	101001#3	10425#120	2#11950|3#200|1#88800|5#118	10425#72	910113	104001
103002	2	3	101002#3	10425#120	2#11950|3#200|1#88800|5#118	10425#72	910213	104002
103003	3	3	101003#3	10425#120	2#11950|3#200|1#88800|5#118	10425#72	910313	104003
103004	4	3	101004#3	10425#120	2#11950|3#200|1#88800|5#118	10425#72	910413	104004
103005	5	3	101005#3	10425#120	2#11950|3#200|1#88800|5#118	10425#72	910513	104005
103006	6	3	101006#3	10425#120	2#16720|3#280|1#124300|5#162	10425#125	910613	104006
103007	7	3	101007#3	10425#120	2#16720|3#280|1#124300|5#162	10425#125	910713	104007
103008	8	3	101008#3	10425#120	2#16720|3#280|1#124300|5#162	10425#125	910813	104008
103009	9	3	101009#3	10425#120	2#16720|3#280|1#124300|5#162	10425#125	910913	104009
103010	10	3	101010#3	10425#120	2#23890|3#400|1#177600|5#232	10425#300	911013	104010
103011	11	3	101011#3	10425#120	2#23890|3#400|1#177600|5#232	10425#300	911113	104011
103012	12	3	101012#3	10425#120	2#23890|3#400|1#177600|5#232	10425#300	911213	104012
103013	13	3	101013#3	10425#120	2#23890|3#400|1#177600|5#232	10425#300	911313	104013
103014	14	3	101014#3	10425#120	2#23890|3#400|1#177600|5#232	10425#300	911413	104014
103015	15	3	101015#3	10425#120	2#23890|3#400|1#177600|5#232	10425#300	911513	104015
103016	16	3	101016#3	10425#120	2#23890|3#400|1#177600|5#232	10425#300	911613	104016
104001	1	4	101001#4	10425#360	2#18580|3#310|1#138100|5#180	10425#156	910114	105001
104002	2	4	101002#4	10425#360	2#18580|3#310|1#138100|5#180	10425#156	910214	105002
104003	3	4	101003#4	10425#360	2#18580|3#310|1#138100|5#180	10425#156	910314	105003
104004	4	4	101004#4	10425#360	2#18580|3#310|1#138100|5#180	10425#156	910414	105004
104005	5	4	101005#4	10425#360	2#18580|3#310|1#138100|5#180	10425#156	910514	105005
104006	6	4	101006#4	10425#360	2#26020|3#430|1#193300|5#252	10425#260	910614	105006
104007	7	4	101007#4	10425#360	2#26020|3#430|1#193300|5#252	10425#260	910714	105007
104008	8	4	101008#4	10425#360	2#26020|3#430|1#193300|5#252	10425#260	910814	105008
104009	9	4	101009#4	10425#360	2#26020|3#430|1#193300|5#252	10425#260	910914	105009
104010	10	4	101010#4	10425#360	2#37160|3#620|1#276200|5#360	10425#580	911014	105010
104011	11	4	101011#4	10425#360	2#37160|3#620|1#276200|5#360	10425#580	911114	105011
104012	12	4	101012#4	10425#360	2#37160|3#620|1#276200|5#360	10425#580	911214	105012
104013	13	4	101013#4	10425#360	2#37160|3#620|1#276200|5#360	10425#580	911314	105013
104014	14	4	101014#4	10425#360	2#37160|3#620|1#276200|5#360	10425#580	911414	105014
104015	15	4	101015#4	10425#360	2#37160|3#620|1#276200|5#360	10425#580	911514	105015
104016	16	4	101016#4	10425#360	2#37160|3#620|1#276200|5#360	10425#580	911614	105016
105001	1	5	null	null	2#26550|3#440|1#197300|5#258	10425#300	910115	0
105002	2	5	null	null	2#26550|3#440|1#197300|5#258	10425#300	910215	0
105003	3	5	null	null	2#26550|3#440|1#197300|5#258	10425#300	910315	0
105004	4	5	null	null	2#26550|3#440|1#197300|5#258	10425#300	910415	0
105005	5	5	null	null	2#26550|3#440|1#197300|5#258	10425#300	910515	0
105006	6	5	null	null	2#37160|3#620|1#276200|5#360	10425#640	910615	0
105007	7	5	null	null	2#37160|3#620|1#276200|5#360	10425#640	910715	0
105008	8	5	null	null	2#37160|3#620|1#276200|5#360	10425#640	910815	0
105009	9	5	null	null	2#37160|3#620|1#276200|5#360	10425#640	910915	0
105010	10	5	null	null	2#53090|3#885|1#394600|5#516	10425#1080	911015	0
105011	11	5	null	null	2#53090|3#885|1#394600|5#516	10425#1080	911115	0
105012	12	5	null	null	2#53090|3#885|1#394600|5#516	10425#1080	911215	0
105013	13	5	null	null	2#53090|3#885|1#394600|5#516	10425#1080	911315	0
105014	14	5	null	null	2#53090|3#885|1#394600|5#516	10425#1080	911415	0
105015	15	5	null	null	2#53090|3#885|1#394600|5#516	10425#1080	911515	0
105016	16	5	null	null	2#53090|3#885|1#394600|5#516	10425#1080	911615	0
105110	10	5	null	null	2#58400|3#975|1#434000|5#568	null	911016	0
105111	11	5	null	null	2#58400|3#975|1#434000|5#568	null	911116	0
105112	12	5	null	null	2#58400|3#975|1#434000|5#568	null	911216	0
105113	13	5	null	null	2#58400|3#975|1#434000|5#568	null	911316	0
105114	14	5	null	null	2#58400|3#975|1#434000|5#568	null	911416	0
105115	15	5	null	null	2#58400|3#975|1#434000|5#568	null	911516	0
105116	16	5	null	null	2#58400|3#975|1#434000|5#568	null	911616	0
