Id	Key	Value
155	CrossServerHorn	6000126#1
156	Gold_touch_StoreId	57
500	Special_Draw_Limit	10
501	Mail_Box_Capacity	999
502	Mail_Effective_Time	2592000
503	Mail_Nouse_Delete_Time	3
504	BlackMarket_First_Goods	30083#30024#30001#30201#30171#30169
505	Hero_Reset_Free_Level	100
506	Hanbok_Questionnaire_URL	https://forms.gle/VJCeuuyYgbwzzmfB6
507	Battle_verify_ratio	0
508	Club_Gift_Reward	20#1
509	high_Battle_verify_ratio	0
510	item_1004_retrieve	100
511	Guild_Rejion_Cdtime	24
512	EXTRA_FAST_ADVENTUREREWARD_COST	105#1
513	Train_Task_Client_ShowLevel	25
514	CampWar_CampName_Camp1	50361
515	CampWar_CampName_Camp2	50362
516	CampWar_CampName_Camp3	50363
517	CampWar_Matching_TotalNum	5
518	CampWar_Matching_Dominance_Node	11500#8500
519	CampWar_Matching_NodeNum	2#2#1
520	CampWar_Matching_CDtime	3600
521	CampWar_Matching_CDtime_EndCost	16#100
522	CampWar_Challenge_StarBuffID	52#53
523	CampWar_Challenge_FreeTimes	10
524	CampWar_Challenge_BuyTimes_Cost	16#20
525	CampWar_Challenge_BuyTimes_Max	10
526	CampWar_Truce_Time	1#10
527	CampWar_Check_Win_Param	80
528	CampWar_Check_Lost_Param	75
529	CampWar_Check_Dominance_Base	7
530	CampWar_Check_Win_Base	40
531	CampWar_Check_Lost_Base	20
532	CampWar_Check_Max_Param_1	30
533	CampWar_Check_Max_Param_2	60
534	CampWar_Check_Min_Param_1	1
535	CampWar_Check_Min_Param_2	1
536	CampWar_Report_Defence_Num_Max	10
537	CampWar_Report_TopPlayer_Num_Max	10
538	CampWar_Report_TopPlayer_Ranking_Requir	5
549	CampWar_Default_Points	1000
550	CampWar_Bot_Pool	200#201#202
551	CampWar_Reward_Show	20018#1|20021#1|20024#1|1009#1
