Id	HongmengLevel	LevelUp
154	484	14#240026220|3#143902230
155	485	14#242479020|3#145049970
156	486	14#244950840|3#146204580
157	487	14#247441830|3#147366030
158	488	14#249952050|3#148534350
159	489	14#252481590|3#149709630
160	490	14#255030570|3#150891840
161	491	14#257599110|3#152081040
162	492	14#260187240|3#153277230
163	493	14#262795140|3#154480470
164	494	14#265422840|3#155690760
165	495	14#268070490|3#156908130
166	496	14#270738150|3#158132610
167	497	14#273425970|3#159364260
168	498	14#276134010|3#160603050
169	499	14#278862360|3#161849040
170	500	14#281611140|3#163102260
171	501	14#284380470|3#164362740
172	502	14#287170440|3#165630480
173	503	14#289981110|3#166905540
174	504	14#292812660|3#168187950
175	505	14#295665120|3#169477710
176	506	14#298538610|3#170774880
177	507	14#301433250|3#172079430
178	508	14#304349130|3#173391480
179	509	14#307286370|3#174710970
180	510	14#310245060|3#176037960
181	511	14#313225290|3#177372510
182	512	14#316227180|3#178714620
183	513	14#319250820|3#180064320
184	514	14#322296360|3#181421610
185	515	14#325363830|3#182786580
186	516	14#328453380|3#184159200
187	517	14#331565130|3#185539560
188	518	14#334699140|3#186927630
189	519	14#337855560|3#188323470
190	520	14#341034450|3#189727080
191	521	14#344235960|3#191138550
192	522	14#347460150|3#192557850
193	523	14#350707170|3#193985010
194	524	14#353977110|3#195420090
195	525	14#357270060|3#196863120
196	526	14#360586140|3#198314100
197	527	14#363925470|3#199773090
198	528	14#367288140|3#201240090
199	529	14#370674270|3#202715130
200	530	14#374083950|3#204198270
201	531	14#377517300|3#205689540
202	532	14#380974410|3#207188910
203	533	14#384455430|3#208696470
204	534	14#387960450|3#210212250
205	535	14#391489560|3#211736250
206	536	14#395042880|3#213268500
207	537	14#398620530|3#214809030
208	538	14#402222600|3#216357900
209	539	14#405849210|3#217915110
210	540	14#409500480|3#219480720
211	541	14#413176530|3#221054700
212	542	14#416877420|3#222637170
213	543	14#420603330|3#224228070
214	544	14#424354320|3#225827490
215	545	14#428130510|3#227435430
216	546	14#431932020|3#229051920
217	547	14#435758970|3#230677020
218	548	14#439611450|3#232310730
219	549	14#443489580|3#233953080
220	550	14#447393480|3#235604130
221	551	14#451323270|3#237263880
222	552	14#455279070|3#238932360
223	553	14#459260940|3#240609630
224	554	14#463269060|3#242295720
225	555	14#467303490|3#243990630
226	556	14#471364380|3#245694390
227	557	14#475451850|3#247407060
228	558	14#479565990|3#249128670
229	559	14#483706890|3#250859220
230	560	14#487874730|3#252598770
231	561	14#492069570|3#254347320
232	562	14#496291560|3#256104930
233	563	14#500540820|3#257871630
234	564	14#504817440|3#259647420
235	565	14#509121540|3#261432390
236	566	14#513453240|3#263226510
237	567	14#517812660|3#265029840
238	568	14#522199920|3#266842410
239	569	14#526615110|3#268664250
240	570	14#531058410|3#270495390
241	571	14#535529880|3#272335890
242	572	14#540029640|3#274185720
243	573	14#544557840|3#276044970
244	574	14#549114570|3#277913640
245	575	14#553699980|3#279791760
246	576	14#558314160|3#281679360
247	577	14#562957260|3#283576500
248	578	14#567629340|3#285483210
249	579	14#572330580|3#287399490
250	580	14#577061100|3#289325400
251	581	14#581820960|3#291260940
252	582	14#586610340|3#293206170
253	583	14#591429330|3#295161150
254	584	14#596278050|3#297125850
255	585	14#601156650|3#299100330
256	586	14#606065220|3#301084620
257	587	14#611003910|3#303078750
258	588	14#615972810|3#305082780
259	589	14#620972040|3#307096710
260	590	14#626001780|3#309120570
261	591	14#631062090|3#311154420
262	592	14#636153120|3#313198260
263	593	14#641274960|3#315252180
264	594	14#646427790|3#317316150
265	595	14#651611700|3#319390200
266	596	14#656826810|3#321474420
267	597	14#662073270|3#323568810
268	598	14#667351170|3#325673400
269	599	14#672660660|3#327788250
270	600	14#678001830|3#329913330
271	601	14#678001830|3#329913330
272	602	14#678001830|3#329913330
273	603	14#678001830|3#329913330
274	604	14#678001830|3#329913330
275	605	14#678001830|3#329913330
276	606	14#678001830|3#329913330
277	607	14#678001830|3#329913330
278	608	14#678001830|3#329913330
279	609	14#678001830|3#329913330
280	610	14#678001830|3#329913330
281	611	14#678001830|3#329913330
282	612	14#678001830|3#329913330
283	613	14#678001830|3#329913330
284	614	14#678001830|3#329913330
285	615	14#678001830|3#329913330
286	616	14#678001830|3#329913330
287	617	14#678001830|3#329913330
288	618	14#678001830|3#329913330
289	619	14#678001830|3#329913330
290	620	14#678001830|3#329913330
291	621	14#678001830|3#329913330
292	622	14#678001830|3#329913330
293	623	14#678001830|3#329913330
294	624	14#678001830|3#329913330
295	625	14#678001830|3#329913330
296	626	14#678001830|3#329913330
297	627	14#678001830|3#329913330
298	628	14#678001830|3#329913330
299	629	14#678001830|3#329913330
300	630	14#678001830|3#329913330
301	631	14#678001830|3#329913330
302	632	14#678001830|3#329913330
303	633	14#678001830|3#329913330
304	634	14#678001830|3#329913330
305	635	14#678001830|3#329913330
306	636	14#678001830|3#329913330
307	637	14#678001830|3#329913330
308	638	14#678001830|3#329913330
309	639	14#678001830|3#329913330
310	640	14#678001830|3#329913330
311	641	14#678001830|3#329913330
312	642	14#678001830|3#329913330
313	643	14#678001830|3#329913330
314	644	14#678001830|3#329913330
315	645	14#678001830|3#329913330
316	646	14#678001830|3#329913330
317	647	14#678001830|3#329913330
318	648	14#678001830|3#329913330
319	649	14#678001830|3#329913330
320	650	14#678001830|3#329913330
321	651	14#678001830|3#329913330
322	652	14#678001830|3#329913330
323	653	14#678001830|3#329913330
324	654	14#678001830|3#329913330
325	655	14#678001830|3#329913330
326	656	14#678001830|3#329913330
327	657	14#678001830|3#329913330
328	658	14#678001830|3#329913330
329	659	14#678001830|3#329913330
330	660	14#678001830|3#329913330
331	661	14#678001830|3#329913330
332	662	14#678001830|3#329913330
333	663	14#678001830|3#329913330
334	664	14#678001830|3#329913330
335	665	14#678001830|3#329913330
336	666	14#678001830|3#329913330
337	667	14#678001830|3#329913330
338	668	14#678001830|3#329913330
339	669	14#678001830|3#329913330
340	670	14#678001830|3#329913330
341	671	14#678001830|3#329913330
342	672	14#678001830|3#329913330
343	673	14#678001830|3#329913330
344	674	14#678001830|3#329913330
345	675	14#678001830|3#329913330
346	676	14#678001830|3#329913330
347	677	14#678001830|3#329913330
348	678	14#678001830|3#329913330
349	679	14#678001830|3#329913330
350	680	14#678001830|3#329913330
351	681	14#678001830|3#329913330
352	682	14#678001830|3#329913330
353	683	14#678001830|3#329913330
354	684	14#678001830|3#329913330
355	685	14#678001830|3#329913330
356	686	14#678001830|3#329913330
357	687	14#678001830|3#329913330
358	688	14#678001830|3#329913330
359	689	14#678001830|3#329913330
360	690	14#678001830|3#329913330
361	691	14#678001830|3#329913330
362	692	14#678001830|3#329913330
363	693	14#678001830|3#329913330
364	694	14#678001830|3#329913330
365	695	14#678001830|3#329913330
366	696	14#678001830|3#329913330
367	697	14#678001830|3#329913330
368	698	14#678001830|3#329913330
369	699	14#678001830|3#329913330
370	700	14#678001830|3#329913330
