Id	ActivityId	Values	Reward
3102	601	15#7202	16#2976
3103	601	15#8202	16#2976
3104	601	15#9102	16#2976
3105	601	15#10102	16#2976
3106	601	15#10302	16#2976
3107	601	15#11302	16#2976
3108	601	15#12202	16#3576
3109	601	15#13202	16#3576
3200	602	15#13202	16#2176
3201	602	15#13302	16#2976
3202	602	15#14102	16#2976
3203	602	15#14202	16#2976
3204	602	15#14302	16#2976
3205	602	15#15102	16#2976
3206	602	15#15202	16#2976
3207	602	15#15302	16#2976
3208	602	15#1103	16#3576
3209	602	15#1203	16#3576
3300	603	15#1203	16#2176
3301	603	15#1303	16#2976
3302	603	15#1403	16#2976
3303	603	15#2103	16#2976
3304	603	15#2203	16#2976
3305	603	15#2303	16#2976
3306	603	15#2403	16#2976
3307	603	15#3103	16#2976
3308	603	15#3203	16#3576
3309	603	15#3303	16#3576
3400	604	15#3303	16#2176
3401	604	15#3403	16#2976
3402	604	15#4103	16#2976
3403	604	15#4203	16#2976
3404	604	15#4303	16#2976
3405	604	15#4403	16#2976
3406	604	15#5103	16#2976
3407	604	15#5203	16#2976
3408	604	15#5303	16#3576
3409	604	15#5403	16#3576
300	3000	0|1	20#1
301	3000	0|2	92#1
302	3001	0|1	20#2
303	3001	0|2	92#2
5201	43	0|5#5000	19#1|16#100|14#50000|3#50000
5202	43	0|10#3000	6000041#10|4#100|14#100000|3#100000
5203	43	0|20#2000	6000041#20|60#5|14#150000|3#150000
5204	43	0|30#1500	6000041#20|19#1|14#500000|3#200000
5205	43	0|35#1000	19#1|60100#1|16#100|61#1
5206	43	0|40#500	20#1|60101#1|16#100|61#1
5207	43	0|45#300	20#1|19#3|16#100|61#1
5208	43	0|50#200	20#1|60102#1|16#100|61#1
5209	43	0|55#100	20#1|19#5|16#100|61#1
5210	43	0|60#50	20#1|60103#1|16#100|61#1
5211	43	0|65#10	20#2|19#10|16#200|61#1
30	42	4|4002	10020#1
31	42	2|1	10020#1
32	42	3|2	1003205#1
90	24	500	19#2|72001#50|6001010#30|14#500000
91	24	1000	19#3|6000110#500|60427#1|14#1000000
92	24	1980	19#5|4#1000|60427#2|14#2000000
93	24	3280	6001020#50|6000110#2000|60426#1|14#2500000
94	24	4880	20#2|81116#1|60426#2|14#4000000
95	24	6480	20#3|19#10|60426#3|14#5000000
600	30	100	23#2
601	30	300	80#3
602	30	500	19#1
603	30	700	61#1
604	30	1000	81107#1
610	31	100	60#10
611	31	300	20#1
612	31	500	20#2
613	31	700	20#3
614	31	1000	81108#1
70001	7000	0|1	19#10
70002	7000	0|2	19#5
70003	7000	0|3	19#5
70004	7000	0|4	20#1
70005	7000	0|5	19#5
70006	7000	0|6	19#5
70007	7000	0|7	20#2
20101	10100	0|1	50004#50|60#1|3#50000
20102	10100	0|5	50004#50|60#1|3#50000
20103	10100	0|10	50004#50|60#1|3#50000
20104	10100	0|20	50004#50|60#2|3#100000
20105	10100	0|30	50004#50|60#3|3#100000
20106	10100	0|40	50004#50|60#4|3#100000
20107	10100	0|50	50004#50|60#5|3#150000
20108	10100	0|60	50004#50|60#6|3#150000
20109	10100	0|70	50004#50|60#7|3#200000
20901	10600	0|30	50004#50|72001#50|60#1
20902	10600	0|60	50004#50|72001#50|60#1
20903	10600	0|90	50004#50|72001#100|60#1
20904	10600	0|120	50004#50|72001#100|60#2
20905	10600	0|150	50004#50|72001#100|60#3
20906	10600	0|180	50004#50|72001#100|60#4
20907	10600	0|220	50004#50|72001#100|60#5
20908	10600	0|260	50004#100|72001#200|60#6
20909	10600	0|300	50004#100|72001#200|60#7
40011	20101	10	50007#3
40012	20101	50	72001#100
40013	20101	100	81148#50
40014	20101	200	60452#1
40015	20101	300	60452#1
2010601	20106	500	16#50|19#1|72001#50
2010602	20106	1000	16#100|19#3|72001#100
2010603	20106	2000	16#200|19#5|72003#10
2010604	20106	5000	16#500|19#10|72003#20
2010605	20106	8000	16#800|19#20|72003#20
2010606	20106	10000	16#1000|19#30|72001#1000
2010607	20106	20000	16#2000|19#50|6001026#50
2010608	20106	50000	16#5000|60423#1|60458#1
2010609	20106	70000	16#7000|6000089#1|60459#1
2010610	20106	100000	16#10000|60423#1|20#30
11001	1000	1	1004#2
11002	1000	2	1004#2
11003	1000	3	1004#2
11004	1000	4	61#1
11005	1000	5	1004#3
11006	1000	6	1004#3
11007	1000	7	1004#3
11008	1000	8	20#2
20001	10200	0|1	23#5|60#1|3#50000
20002	10200	0|4	23#5|60#1|3#50000
20003	10200	0|8	23#5|60#1|3#50000
20004	10200	0|14	23#5|60#2|3#100000
20005	10200	0|22	23#5|60#3|3#100000
20006	10200	0|28	23#5|60#4|3#100000
20007	10200	0|36	23#5|60#5|3#150000
20008	10200	0|42	23#5|60#6|3#150000
20009	10200	0|50	23#5|60#7|3#150000
20010	10200	0|56	23#5|60#8|3#200000
20201	10300	0|1	6000009#5|60#1|14#50000
20202	10300	0|5	6000009#5|60#1|14#50000
20203	10300	0|10	6000009#5|60#1|14#50000
20204	10300	0|20	6000009#5|60#2|14#100000
20205	10300	0|30	6000009#5|60#3|14#100000
20206	10300	0|40	6000009#5|60#4|14#100000
20207	10300	0|50	6000009#5|60#5|14#150000
20208	10300	0|60	6000009#5|60#6|14#150000
20209	10300	0|70	6000009#5|60#7|14#150000
20210	10300	0|80	6000009#5|60#8|14#200000
40001	20001	10	16#400
40002	20001	50	72001#100
40003	20001	100	81148#50
40004	20001	200	72001#200
40005	20001	300	60453#1
9101	2402	500	19#3|61#1|6000110#100
9102	2402	1000	72003#1|61#2|6000110#300
9103	2402	1980	72003#2|19#5|6000110#600
9104	2402	3280	72003#5|20#1|6000110#1000
9105	2402	6480	72003#6|6000088#2|6000110#4000
9106	2402	10000	72003#6|6000088#2|6000110#4000
30001	20006	1000	16#100|19#3
30002	20006	2000	16#200|19#5
30003	20006	5000	16#500|61#1
30004	20006	10000	16#1000|20#2
30005	20006	20000	16#2000|6000110#5000
30006	20006	30000	16#3000|60408#1
30007	20006	50000	16#5000|60423#1
600021	60002	0|5	50006#10|6000110#100
600022	60002	0|10	19#1|6000110#100
600023	60002	0|15	50006#10|6000110#200
600024	60002	0|20	19#2|6000110#400
600025	60002	0|25	50006#10|6000110#600
600026	60002	0|30	19#3|6000110#600
600027	60002	0|36	6001020#50|6000110#1000
50000	6200	1300|100	4#1000
50001	6200	1300|300	18101#10
50002	6200	1300|600	6000110#5000
50003	6200	1300|900	60417#1
50004	6200	1300|1250	6000089#1
20301	10400	1|5	6000043#5|60#1|14#50000
20302	10400	1|15	6000043#5|60#1|14#50000
20303	10400	1|25	6000043#5|60#1|14#50000
20304	10400	1|50	6000043#5|60#2|14#100000
20305	10400	1|75	6000043#5|60#3|14#100000
20306	10400	1|100	6000043#5|60#4|14#100000
20307	10400	1|125	6000043#5|60#5|14#150000
20308	10400	1|150	6000043#5|60#6|14#150000
20309	10400	1|175	6000043#5|60#7|14#150000
20310	10400	1|200	6000043#5|60#8|14#200000
20801	10500	0|1	81148#5|60#1|3#50000
20802	10500	0|3	81148#5|60#1|3#50000
20803	10500	0|5	81148#5|60#1|3#50000
20804	10500	0|7	81148#5|60#2|3#100000
20805	10500	0|9	81148#5|60#3|3#100000
20806	10500	0|12	81148#5|60#4|3#100000
20807	10500	0|15	81148#5|60#5|3#150000
20808	10500	0|18	81148#5|60#6|3#150000
20809	10500	0|21	81148#5|60#7|3#150000
20810	10500	0|24	81148#5|60#8|3#200000
9201	2403	500	19#3|61#1|50002#5
9202	2403	1000	60404#1|61#2|50002#5
9203	2403	1980	60404#2|19#5|50002#10
9204	2403	3280	60404#5|20#1|50002#10
9205	2403	6480	60404#6|6000088#2|50002#15
9206	2403	10000	60404#6|6000088#2|50002#15
6001	21004	0|2000	16#100|65#500
6002	21004	0|4000	19#5|65#1000
6003	21004	0|6000	61#1|65#1500
6004	21004	0|8000	6000110#2000|65#2000
6005	21004	0|10000	20#1|65#2500
40101	21001	30	16#400
40102	21001	50	72001#100
40103	21001	100	81148#50
40104	21001	200	72001#200
40105	21001	300	6000070#50
30101	21006	1000	16#100|72001#50
30102	21006	2000	16#200|19#5
30103	21006	5000	16#500|61#1
30104	21006	10000	16#1000|20#2
30105	21006	20000	16#2000|6000110#5000
30106	21006	30000	16#3000|6000089#1
30107	21006	50000	16#5000|60423#1
30108	0	50000	6000071#50|60417#1|17009#300
30109	0	100000	6000090#1|20#10|6000110#15000
2001	2000	0|6	16#100|60#1
2002	2000	0|0	16#100|6000110#100
2003	2000	0|1	16#200|19#1
70011	7001	0|1	19#10
70012	7001	0|2	19#5
70013	7001	0|3	19#5
70014	7001	0|4	20#1
70015	7001	0|5	19#5
70016	7001	0|6	19#5
70017	7001	0|7	20#2
70021	7002	0|1	6001020#50
70022	7002	0|2	6000110#1000
70023	7002	0|3	6000110#1000
70024	7002	0|4	6000110#1000
70025	7002	0|5	6000110#1000
70026	7002	0|6	6000110#1000
70027	7002	0|7	81148#50
70031	7003	0|1	6001020#50
70032	7003	0|2	19#2
70033	7003	0|3	19#3
70034	7003	0|4	6001020#50
70035	7003	0|5	19#2
70036	7003	0|6	19#3
70037	7003	0|7	81148#50
70041	7004	0|1	6001020#50
70042	7004	0|2	16#1000
70043	7004	0|3	16#1000
70044	7004	0|4	16#1000
70045	7004	0|5	16#1000
70046	7004	0|6	16#1000
70047	7004	0|7	81148#50
50101	30004	1300|100	19#5
50102	30004	1300|300	18101#10
50103	30004	1300|600	6000110#5000
50104	30004	1300|900	60417#1
50105	30004	1300|1250	6000089#1
20401	10101	0|1	6000007#5|60#1|3#50000
20402	10101	0|5	6000007#5|60#1|3#50000
20403	10101	0|10	6000007#5|60#1|3#50000
20404	10101	0|20	6000007#5|60#2|3#100000
20405	10101	0|30	6000007#5|60#3|3#100000
20406	10101	0|40	6000007#5|60#4|3#100000
20407	10101	0|50	6000007#5|60#5|3#150000
20408	10101	0|60	6000007#5|60#6|3#150000
20409	10101	0|70	6000007#10|60#7|3#200000
20410	0	0|50	6001023#5|60#8|14#400000
20911	10601	0|20	72001#50|60#1|14#100000
20912	10601	0|40	72001#50|60#1|14#100000
20913	10601	0|60	72001#100|60#1|14#100000
20914	10601	0|80	72001#100|60#2|14#200000
20915	10601	0|120	72001#100|60#3|14#200000
20916	10601	0|160	72001#100|60#4|14#200000
20917	10601	0|200	72001#100|60#5|14#300000
20918	10601	0|250	72001#200|60#6|14#300000
20919	10601	0|300	72001#200|60#7|14#400000
9301	2410	500	81003#3|65#100|72001#20
9302	2410	1000	60404#1|38091#2|72001#50
9303	2410	1980	60404#2|6000088#1|72001#50
9304	2410	3280	60404#5|60402#1|72001#100
9305	2410	6480	60404#6|60403#1|72001#250
9306	2410	10000	60404#6|60403#1|72001#250
40301	30001	10	16#400
40302	30001	50	72001#100
40303	30001	100	81148#50
40304	30001	200	72001#200
40305	30001	300	6000055#50
30301	30006	1000	16#100|19#3
30302	30006	2000	16#200|19#5
30303	30006	5000	16#500|61#1
30304	30006	10000	16#1000|20#2
30305	30006	20000	16#2000|6000110#5000
30306	30006	30000	16#3000|60408#1
30307	30006	50000	16#5000|60423#1
30308	0	50000	6000055#50|60417#1|10444#150
30309	0	100000	99002#1|20#10|10444#500
20601	10201	0|1	81148#5|60#1|3#50000
20602	10201	0|4	81148#5|60#1|3#50000
20603	10201	0|8	81148#5|60#1|3#50000
20604	10201	0|14	81148#5|60#2|3#100000
20605	10201	0|22	81148#5|60#3|3#100000
20606	10201	0|28	81148#5|60#4|3#100000
20607	10201	0|36	81148#5|60#5|3#150000
20608	10201	0|42	81148#5|60#6|3#150000
20609	10201	0|50	81148#5|60#7|3#150000
20610	10201	0|56	81148#5|60#8|3#200000
20501	10301	0|1	6000027#5|60#1|14#50000
20502	10301	0|5	6000027#5|60#1|14#50000
20503	10301	0|10	6000027#5|60#1|14#50000
20504	10301	0|20	6000027#5|60#2|14#100000
20505	10301	0|30	6000027#5|60#3|14#100000
20506	10301	0|40	6000027#5|60#4|14#100000
20507	10301	0|50	6000027#5|60#5|14#150000
20508	10301	0|60	6000027#5|60#6|14#150000
20509	10301	0|70	6000027#5|60#7|14#150000
20510	10301	0|80	6000027#5|60#8|14#200000
40401	31001	10	16#300
40402	31001	50	72001#100
40403	31001	100	81148#50
40404	31001	200	72001#200
40405	31001	300	60437#1
30401	31006	1000	16#100|72001#50
30402	31006	2000	16#200|19#3
30403	31006	5000	16#500|61#1
30404	31006	10000	16#1000|20#1
30405	31006	20000	16#2000|6001026#50
30406	31006	30000	16#3000|6000089#1
30407	31006	50000	16#5000|60423#1
30408	0	50000	60407#1|60417#1|10444#150
30409	0	100000	99002#1|20#10|10444#500
20701	10401	1|5	6000043#5|60#1|14#50000
20702	10401	1|15	6000043#5|60#1|14#50000
20703	10401	1|25	6000043#5|60#1|14#50000
20704	10401	1|50	6000043#5|60#2|14#100000
20705	10401	1|75	6000043#5|60#3|14#100000
20706	10401	1|100	6000043#5|60#4|14#100000
20707	10401	1|125	6000043#5|60#5|14#150000
20708	10401	1|150	6000043#5|60#6|14#150000
20709	10401	1|175	6000043#5|60#7|14#150000
20710	10401	1|200	6000043#5|60#8|14#200000
20811	10501	0|1	81148#5|60#1|3#50000
20812	10501	0|3	81148#5|60#1|3#50000
20813	10501	0|5	81148#5|60#1|3#50000
20814	10501	0|7	81148#5|60#2|3#100000
20815	10501	0|9	81148#5|60#3|3#100000
20816	10501	0|12	81148#5|60#4|3#100000
20817	10501	0|15	81148#5|60#5|3#150000
20818	10501	0|18	81148#5|60#6|3#150000
20819	10501	0|21	81148#5|60#7|3#150000
20820	10501	0|24	81148#5|60#8|3#200000
9401	2420	500	19#3|6000110#100|3#80000
9402	2420	1000	60404#1|61#2|6000110#300
9403	2420	1980	60404#2|19#10|6000110#600
9404	2420	3280	60404#5|60402#1|6000110#1000
9405	2420	6480	60404#6|60403#1|6000110#4000
9406	2420	10000	60404#6|60403#1|6000110#4000
40501	32001	30	16#400
40502	32001	50	72001#100
40503	32001	100	81148#50
40504	32001	200	72001#200
40505	32001	300	6000071#50
30501	32006	1000	16#100|19#3
30502	32006	2000	16#200|19#5
30503	32006	5000	16#500|61#1
30504	32006	10000	16#1000|20#2
30505	32006	20000	16#2000|17009#350
30506	32006	30000	16#3000|60408#1
30507	32006	50000	16#5000|60423#1
30508	0	50000	6000057#50|60417#1|17009#300
30509	0	100000	6000090#1|20#10|6000110#15000
20411	10102	0|1	6000009#5|60#1|3#50000
20412	10102	0|5	6000009#5|60#1|3#50000
20413	10102	0|10	6000009#5|60#1|3#50000
20414	10102	0|20	6000009#5|60#2|3#100000
20415	10102	0|30	6000009#5|60#3|3#100000
20416	10102	0|40	6000009#5|60#4|3#100000
20417	10102	0|50	6000009#5|60#5|3#150000
20418	10102	0|60	6000009#5|60#6|3#150000
20419	10102	0|70	6000009#10|60#7|3#200000
20420	10102	0|50	6001023#5|60#8|3#200000
20921	10602	0|20	72001#50|60#1|14#100000
20922	10602	0|40	72001#50|60#1|14#100000
20923	10602	0|60	72001#100|60#1|14#100000
20924	10602	0|80	72001#100|60#2|14#200000
20925	10602	0|120	72001#100|60#3|14#200000
20926	10602	0|160	72001#100|60#4|14#200000
20927	10602	0|200	72001#100|60#5|14#300000
20928	10602	0|250	72001#200|60#6|14#300000
20929	10602	0|300	72001#200|60#7|14#400000
996101	32004	0|2000	16#100|65#500
996102	32004	0|4000	19#5|65#1000
996103	32004	0|6000	61#1|65#1500
996104	32004	0|8000	6000110#2000|65#2000
996105	32004	0|10000	20#1|65#2500
40601	33001	10	16#300
40602	33001	50	72001#100
40603	33001	100	81148#50
40604	33001	200	72001#200
40605	33001	300	60438#1
30601	33006	1000	16#100|72001#50
30602	33006	2000	16#200|19#5
30603	33006	5000	16#500|61#1
30604	33006	10000	16#1000|20#2
30605	33006	20000	16#2000|6001026#50
30606	33006	30000	16#3000|6000110#10000
30607	33006	50000	16#5000|60423#1
30608	0	50000	6000055#50|60417#1|17009#300
30609	0	100000	6000090#1|20#10|6000110#15000
50201	34004	1300|100	19#5
50202	34004	1300|300	18101#10
50203	34004	1300|600	17009#350
50204	34004	1300|900	60415#2
50205	34004	1300|1250	60408#1
20611	10202	0|1	81148#5|60#1|3#50000
20612	10202	0|4	81148#5|60#1|3#50000
20613	10202	0|8	81148#5|60#1|3#50000
20614	10202	0|14	81148#5|60#2|3#100000
20615	10202	0|22	81148#5|60#3|3#100000
20616	10202	0|28	81148#5|60#4|3#100000
20617	10202	0|36	81148#5|60#5|3#150000
20618	10202	0|42	81148#5|60#6|3#150000
20619	10202	0|50	81148#5|60#7|3#150000
20620	10202	0|56	81148#5|60#8|3#200000
20511	10302	0|1	6000022#5|60#1|14#50000
20512	10302	0|5	6000022#5|60#1|14#50000
20513	10302	0|10	6000022#5|60#1|14#50000
20514	10302	0|20	6000022#5|60#2|14#100000
20515	10302	0|30	6000022#5|60#3|14#100000
20516	10302	0|40	6000022#5|60#4|14#100000
20517	10302	0|50	6000022#5|60#5|14#150000
20518	10302	0|60	6000022#5|60#6|14#150000
20519	10302	0|70	6000022#5|60#7|14#150000
20520	10302	0|80	6000022#5|60#8|14#200000
9501	2430	500	81003#3|65#100|17009#20
9502	2430	1000	60404#1|38091#2|17009#40
9503	2430	1980	60404#2|6000088#1|17009#40
9504	2430	3280	60404#5|60402#1|17009#80
9505	2430	6480	60404#6|60403#1|17009#150
9506	2430	10000	60404#6|60403#1|17009#150
40701	34001	10	16#400
40702	34001	50	72001#100
40703	34001	100	81148#50
40704	34001	200	72001#200
40705	34001	300	6000056#50
30701	34006	1000	16#100|19#3
30702	34006	2000	16#200|19#5
30703	34006	5000	16#500|61#1
30704	34006	10000	16#1000|20#2
30705	34006	20000	16#2000|6000110#5000
30706	34006	30000	16#3000|60408#1
30707	34006	50000	16#5000|60423#1
30708	0	50000	6000072#50|60417#1|17009#300
30709	0	100000	6000090#1|20#10|6000110#15000
20711	10402	1|5	6000045#5|60#1|14#50000
20712	10402	1|15	6000045#5|60#1|14#50000
20713	10402	1|25	6000045#5|60#1|14#50000
20714	10402	1|50	6000045#5|60#2|14#100000
20715	10402	1|75	6000045#5|60#3|14#100000
20716	10402	1|100	6000045#5|60#4|14#100000
20717	10402	1|125	6000045#5|60#5|14#150000
20718	10402	1|150	6000045#5|60#6|14#150000
20719	10402	1|175	6000045#5|60#7|14#150000
20720	10402	1|200	6000045#5|60#8|14#200000
20821	10502	0|1	81148#5|60#1|3#50000
20822	10502	0|3	81148#5|60#1|3#50000
20823	10502	0|5	81148#5|60#1|3#50000
20824	10502	0|7	81148#5|60#2|3#100000
20825	10502	0|9	81148#5|60#3|3#100000
20826	10502	0|12	81148#5|60#4|3#100000
20827	10502	0|15	81148#5|60#5|3#150000
20828	10502	0|18	81148#5|60#6|3#150000
20829	10502	0|21	81148#5|60#7|3#150000
20830	10502	0|24	81148#5|60#8|3#200000
40801	35001	10	16#300
40802	35001	50	72001#100
40803	35001	100	81148#50
40804	35001	200	72001#200
40805	35001	300	60439#1
30801	35006	1000	16#100|72001#50
30802	35006	2000	16#200|19#5
30803	35006	5000	16#500|61#1
30804	35006	10000	16#1000|20#2
30805	35006	20000	16#2000|6001026#50
30806	35006	30000	16#3000|6000089#1
30807	35006	50000	16#5000|60423#1
30808	0	50000	60407#1|60417#1|10444#150
30809	0	100000	99002#1|20#10|10444#500
9601	2440	500	19#3|6000110#100|3#80000
9602	2440	1000	60404#1|61#2|6000110#300
9603	2440	1980	60404#2|19#10|6000110#600
9604	2440	3280	60404#5|60402#1|6000110#1000
9605	2440	6480	60404#6|60403#1|6000110#4000
9606	2440	10000	60404#6|60403#1|6000110#4000
40901	36001	10	16#400
40902	36001	50	72001#100
40903	36001	100	81148#50
40904	36001	200	72001#200
40905	36001	300	6000070#50
30901	36006	1000	16#100|19#3
30902	36006	2000	16#200|19#5
30903	36006	5000	16#500|61#1
30904	36006	10000	16#1000|20#2
30905	36006	20000	16#2000|17009#350
30906	36006	30000	16#3000|60408#1
30907	36006	50000	16#5000|60423#1
30908	0	50000	6000057#50|60417#1|10444#150
30909	0	100000	99002#1|20#10|10444#500
996201	36004	0|2000	16#100|65#500
996202	36004	0|4000	19#5|65#1000
996203	36004	0|6000	61#1|65#1500
996204	36004	0|8000	6000110#2000|65#2000
996205	36004	0|10000	20#1|65#2500
41001	37001	10	16#300
41002	37001	50	72001#100
41003	37001	100	81148#50
41004	37001	200	72001#200
41005	37001	300	60440#1
31001	37006	1000	16#100|72001#50
31002	37006	2000	16#200|19#5
31003	37006	5000	16#500|61#1
31004	37006	10000	16#1000|20#2
31005	37006	20000	16#2000|6001026#50
31006	37006	30000	16#3000|6000110#10000
31007	37006	50000	16#5000|60423#1
31008	0	50000	6000071#50|60417#1|17009#300
31009	0	100000	6000090#1|20#10|6000110#15000
60101	50002	6000116#300	120001#1
60201	50102	6000125#300	120002#1
60301	50202	6000151#300	120003#1
60401	50302	6000125#300	120002#1
61101	51002	6000116#300	120001#1
61201	51102	6000125#300	120002#1
61301	51202	6000151#300	120003#1
61401	51302	6000125#300	120002#1
30201	22006	500	16#200
30202	22006	1000	87#2|1002#2|60#2
30203	22006	3000	87#5|1002#5|60#5
30204	22006	5000	6001020#50|87#5|6000110#1000
30205	22006	10000	60417#1|20#1|17009#100
30206	22006	20000	6000073#50
30207	22006	30000	6000089#1|20#3|6000110#3000
30208	22006	50000	6000073#50|60417#1|17009#300
30209	22006	100000	6000090#1|20#10|6000110#15000
40201	22001	30	87#3
40202	22001	50	6001022#50
40203	22001	100	6000021#50
40204	22001	200	6000021#50
40205	22001	300	6001022#100
20931	10603	0|10	19#1|60#1|14#50000
20932	10603	0|20	4#200|60#1|14#50000
20933	10603	0|40	20#1|60#1|14#50000
20934	10603	0|60	4#500|60#2|14#100000
20935	10603	0|80	19#5|60#3|14#100000
20936	10603	0|100	20#2|60#4|14#100000
20937	10603	0|120	4#1000|60#5|14#150000
