Id	ActivityId	Values	ValuesII	Reward
66	34004	2	5|8	6001010#10|14#100000|1300#5
67	34004	2	5|9	6001010#10|14#100000|1300#5
68	34004	2	5|10	6001010#10|14#100000|1300#5
69	34004	2	6|1	19#1|60429#1|1300#25
70	34004	2	6|2	19#1|60429#1|1300#25
71	34004	2	6|3	19#1|60429#1|1300#25
72	34004	2	6|4	19#1|60429#1|1300#25
73	34004	2	6|5	19#1|60429#1|1300#30
74	34004	2	6|6	19#1|60429#1|1300#30
75	34004	2	7|1	19#1|60429#1|1300#30
76	34004	2	7|2	19#1|60429#1|1300#30
77	34004	2	7|3	19#1|60429#1|1300#30
78	34004	2	7|4	19#1|60429#1|1300#30
79	34004	2	7|5	19#1|60429#1|1300#30
80	34004	2	8|1	19#2|60430#1|1300#60
81	34004	2	8|2	19#2|60430#1|1300#60
82	34004	2	8|3	19#2|60430#1|1300#60
83	34004	2	8|4	19#2|60430#1|1300#60
84	34004	2	9|1	20#1|60431#1|1300#200
85	34004	2	9|2	20#1|60431#1|1300#200
86	34004	2	9|3	20#2|60431#1|1300#200
87	34004	2	10|1	20#2|16#2000|1300#500
10101	6201	2	5|1	6001010#30|14#100000|1300#5
10102	6201	2	5|2	6001010#30|14#100000|1300#5
10103	6201	2	5|4	6001010#30|14#100000|1300#5
10104	6201	2	5|6	6001010#30|14#100000|1300#5
10105	6201	2	5|8	6001010#30|14#100000|1300#5
10106	6201	2	5|10	6001010#30|14#100000|1300#5
10107	6201	2	5|12	6001010#30|14#100000|1300#5
10108	6201	2	5|14	6001010#30|14#100000|1300#5
10109	6201	2	5|16	6001010#30|14#100000|1300#5
10110	6201	2	5|20	19#1|14#100000|1300#5
10111	6201	2	6|1	19#1|60429#1|1300#25
10112	6201	2	6|2	19#1|60429#1|1300#25
10113	6201	2	6|3	19#1|60429#1|1300#25
10114	6201	2	6|4	19#1|60429#1|1300#25
10115	6201	2	6|5	19#1|60429#1|1300#30
10116	6201	2	6|6	19#1|60429#1|1300#30
10117	6201	2	7|1	19#1|60429#1|1300#30
10118	6201	2	7|2	19#1|60429#1|1300#30
10119	6201	2	7|3	19#1|60429#1|1300#30
10120	6201	2	7|4	19#1|60429#1|1300#30
10121	6201	2	7|5	19#1|60429#1|1300#30
10122	6201	2	8|1	19#2|60430#1|1300#60
10123	6201	2	8|2	19#2|60430#1|1300#60
10124	6201	2	8|3	19#2|60430#1|1300#60
10125	6201	2	8|4	19#2|60430#1|1300#60
10126	6201	2	9|1	20#1|60431#1|1300#200
10127	6201	2	9|2	20#1|60431#1|1300#200
10128	6201	2	9|3	20#2|60431#1|1300#200
10129	6201	2	10|1	20#2|16#2000|1300#500
10201	6202	2	5|1	6001010#30|14#100000|1300#5
10202	6202	2	5|2	6001010#30|14#100000|1300#5
10203	6202	2	5|4	6001010#30|14#100000|1300#5
10204	6202	2	5|6	6001010#30|14#100000|1300#5
10205	6202	2	5|8	6001010#30|14#100000|1300#5
10206	6202	2	5|10	6001010#30|14#100000|1300#5
10207	6202	2	5|12	6001010#30|14#100000|1300#5
10208	6202	2	5|14	6001010#30|14#100000|1300#5
10209	6202	2	5|16	6001010#30|14#100000|1300#5
10210	6202	2	5|20	19#1|14#100000|1300#5
10211	6202	2	6|1	19#1|60429#1|1300#25
10212	6202	2	6|2	19#1|60429#1|1300#25
10213	6202	2	6|3	19#1|60429#1|1300#25
10214	6202	2	6|4	19#1|60429#1|1300#25
10215	6202	2	6|5	19#1|60429#1|1300#30
10216	6202	2	6|6	19#1|60429#1|1300#30
10217	6202	2	7|1	19#1|60429#1|1300#30
10218	6202	2	7|2	19#1|60429#1|1300#30
10219	6202	2	7|3	19#1|60429#1|1300#30
10220	6202	2	7|4	19#1|60429#1|1300#30
10221	6202	2	7|5	19#1|60429#1|1300#30
10222	6202	2	8|1	19#2|60430#1|1300#60
10223	6202	2	8|2	19#2|60430#1|1300#60
10224	6202	2	8|3	19#2|60430#1|1300#60
10225	6202	2	8|4	19#2|60430#1|1300#60
10226	6202	2	9|1	20#1|60431#1|1300#200
10227	6202	2	9|2	20#1|60431#1|1300#200
10228	6202	2	9|3	20#2|60431#1|1300#200
10229	6202	2	10|1	20#2|16#2000|1300#500
10301	6203	2	5|1	6001010#30|14#100000|1300#5
10302	6203	2	5|2	6001010#30|14#100000|1300#5
10303	6203	2	5|4	6001010#30|14#100000|1300#5
10304	6203	2	5|6	6001010#30|14#100000|1300#5
10305	6203	2	5|8	6001010#30|14#100000|1300#5
10306	6203	2	5|10	6001010#30|14#100000|1300#5
10307	6203	2	5|12	6001010#30|14#100000|1300#5
10308	6203	2	5|14	6001010#30|14#100000|1300#5
10309	6203	2	5|16	6001010#30|14#100000|1300#5
10310	6203	2	5|20	19#1|14#100000|1300#5
10311	6203	2	6|1	19#1|60429#1|1300#25
10312	6203	2	6|2	19#1|60429#1|1300#25
10313	6203	2	6|3	19#1|60429#1|1300#25
10314	6203	2	6|4	19#1|60429#1|1300#25
10315	6203	2	6|5	19#1|60429#1|1300#30
10316	6203	2	6|6	19#1|60429#1|1300#30
10317	6203	2	7|1	19#1|60429#1|1300#30
10318	6203	2	7|2	19#1|60429#1|1300#30
10319	6203	2	7|3	19#1|60429#1|1300#30
10320	6203	2	7|4	19#1|60429#1|1300#30
10321	6203	2	7|5	19#1|60429#1|1300#30
10322	6203	2	8|1	19#2|60430#1|1300#60
10323	6203	2	8|2	19#2|60430#1|1300#60
10324	6203	2	8|3	19#2|60430#1|1300#60
10325	6203	2	8|4	19#2|60430#1|1300#60
10326	6203	2	9|1	20#1|60431#1|1300#200
10327	6203	2	9|2	20#1|60431#1|1300#200
10328	6203	2	9|3	20#2|60431#1|1300#200
10329	6203	2	10|1	20#2|16#2000|1300#500
10401	6204	2	5|1	6001010#30|14#100000|1300#5
10402	6204	2	5|2	6001010#30|14#100000|1300#5
10403	6204	2	5|4	6001010#30|14#100000|1300#5
10404	6204	2	5|6	6001010#30|14#100000|1300#5
10405	6204	2	5|8	6001010#30|14#100000|1300#5
10406	6204	2	5|10	6001010#30|14#100000|1300#5
10407	6204	2	5|12	6001010#30|14#100000|1300#5
10408	6204	2	5|14	6001010#30|14#100000|1300#5
10409	6204	2	5|16	6001010#30|14#100000|1300#5
10410	6204	2	5|20	19#1|14#100000|1300#5
10411	6204	2	6|1	19#1|60429#1|1300#25
10412	6204	2	6|2	19#1|60429#1|1300#25
10413	6204	2	6|3	19#1|60429#1|1300#25
10414	6204	2	6|4	19#1|60429#1|1300#25
10415	6204	2	6|5	19#1|60429#1|1300#30
10416	6204	2	6|6	19#1|60429#1|1300#30
10417	6204	2	7|1	19#1|60429#1|1300#30
10418	6204	2	7|2	19#1|60429#1|1300#30
10419	6204	2	7|3	19#1|60429#1|1300#30
10420	6204	2	7|4	19#1|60429#1|1300#30
10421	6204	2	7|5	19#1|60429#1|1300#30
10422	6204	2	8|1	19#2|60430#1|1300#60
10423	6204	2	8|2	19#2|60430#1|1300#60
10424	6204	2	8|3	19#2|60430#1|1300#60
10425	6204	2	8|4	19#2|60430#1|1300#60
10426	6204	2	9|1	20#1|60431#1|1300#200
10427	6204	2	9|2	20#1|60431#1|1300#200
10428	6204	2	9|3	20#2|60431#1|1300#200
10429	6204	2	10|1	20#2|16#2000|1300#500
10501	6205	2	5|1	6001010#30|14#100000|1300#5
10502	6205	2	5|2	6001010#30|14#100000|1300#5
10503	6205	2	5|4	6001010#30|14#100000|1300#5
10504	6205	2	5|6	6001010#30|14#100000|1300#5
10505	6205	2	5|8	6001010#30|14#100000|1300#5
10506	6205	2	5|10	6001010#30|14#100000|1300#5
10507	6205	2	5|12	6001010#30|14#100000|1300#5
10508	6205	2	5|14	6001010#30|14#100000|1300#5
10509	6205	2	5|16	6001010#30|14#100000|1300#5
10510	6205	2	5|20	19#1|14#100000|1300#5
10511	6205	2	6|1	19#1|60429#1|1300#25
10512	6205	2	6|2	19#1|60429#1|1300#25
10513	6205	2	6|3	19#1|60429#1|1300#25
10514	6205	2	6|4	19#1|60429#1|1300#25
10515	6205	2	6|5	19#1|60429#1|1300#30
10516	6205	2	6|6	19#1|60429#1|1300#30
10517	6205	2	7|1	19#1|60429#1|1300#30
10518	6205	2	7|2	19#1|60429#1|1300#30
10519	6205	2	7|3	19#1|60429#1|1300#30
10520	6205	2	7|4	19#1|60429#1|1300#30
10521	6205	2	7|5	19#1|60429#1|1300#30
10522	6205	2	8|1	19#2|60430#1|1300#60
10523	6205	2	8|2	19#2|60430#1|1300#60
10524	6205	2	8|3	19#2|60430#1|1300#60
10525	6205	2	8|4	19#2|60430#1|1300#60
10526	6205	2	9|1	20#1|60431#1|1300#200
10527	6205	2	9|2	20#1|60431#1|1300#200
10528	6205	2	9|3	20#2|60431#1|1300#200
10529	6205	2	10|1	20#2|16#2000|1300#500
10601	6206	2	5|1	6001010#30|14#100000|1300#5
10602	6206	2	5|2	6001010#30|14#100000|1300#5
10603	6206	2	5|4	6001010#30|14#100000|1300#5
10604	6206	2	5|6	6001010#30|14#100000|1300#5
10605	6206	2	5|8	6001010#30|14#100000|1300#5
10606	6206	2	5|10	6001010#30|14#100000|1300#5
10607	6206	2	5|12	6001010#30|14#100000|1300#5
10608	6206	2	5|14	6001010#30|14#100000|1300#5
10609	6206	2	5|16	6001010#30|14#100000|1300#5
10610	6206	2	5|20	19#1|14#100000|1300#5
10611	6206	2	6|1	19#1|60429#1|1300#25
10612	6206	2	6|2	19#1|60429#1|1300#25
10613	6206	2	6|3	19#1|60429#1|1300#25
10614	6206	2	6|4	19#1|60429#1|1300#25
10615	6206	2	6|5	19#1|60429#1|1300#30
10616	6206	2	6|6	19#1|60429#1|1300#30
10617	6206	2	7|1	19#1|60429#1|1300#30
10618	6206	2	7|2	19#1|60429#1|1300#30
10619	6206	2	7|3	19#1|60429#1|1300#30
10620	6206	2	7|4	19#1|60429#1|1300#30
10621	6206	2	7|5	19#1|60429#1|1300#30
10622	6206	2	8|1	19#2|60430#1|1300#60
10623	6206	2	8|2	19#2|60430#1|1300#60
10624	6206	2	8|3	19#2|60430#1|1300#60
10625	6206	2	8|4	19#2|60430#1|1300#60
10626	6206	2	9|1	20#1|60431#1|1300#200
10627	6206	2	9|2	20#1|60431#1|1300#200
10628	6206	2	9|3	20#2|60431#1|1300#200
10629	6206	2	10|1	20#2|16#2000|1300#500
10701	6207	2	5|1	6001010#30|14#100000|1300#5
10702	6207	2	5|2	6001010#30|14#100000|1300#5
10703	6207	2	5|4	6001010#30|14#100000|1300#5
10704	6207	2	5|6	6001010#30|14#100000|1300#5
10705	6207	2	5|8	6001010#30|14#100000|1300#5
10706	6207	2	5|10	6001010#30|14#100000|1300#5
10707	6207	2	5|12	6001010#30|14#100000|1300#5
10708	6207	2	5|14	6001010#30|14#100000|1300#5
10709	6207	2	5|16	6001010#30|14#100000|1300#5
10710	6207	2	5|20	19#1|14#100000|1300#5
10711	6207	2	6|1	19#1|60429#1|1300#25
10712	6207	2	6|2	19#1|60429#1|1300#25
10713	6207	2	6|3	19#1|60429#1|1300#25
10714	6207	2	6|4	19#1|60429#1|1300#25
10715	6207	2	6|5	19#1|60429#1|1300#30
10716	6207	2	6|6	19#1|60429#1|1300#30
10717	6207	2	7|1	19#1|60429#1|1300#30
10718	6207	2	7|2	19#1|60429#1|1300#30
10719	6207	2	7|3	19#1|60429#1|1300#30
10720	6207	2	7|4	19#1|60429#1|1300#30
10721	6207	2	7|5	19#1|60429#1|1300#30
10722	6207	2	8|1	19#2|60430#1|1300#60
10723	6207	2	8|2	19#2|60430#1|1300#60
10724	6207	2	8|3	19#2|60430#1|1300#60
10725	6207	2	8|4	19#2|60430#1|1300#60
10726	6207	2	9|1	20#1|60431#1|1300#200
10727	6207	2	9|2	20#1|60431#1|1300#200
10728	6207	2	9|3	20#2|60431#1|1300#200
10729	6207	2	10|1	20#2|16#2000|1300#500
10801	6208	2	5|1	6001010#30|14#100000|1300#5
10802	6208	2	5|2	6001010#30|14#100000|1300#5
10803	6208	2	5|4	6001010#30|14#100000|1300#5
10804	6208	2	5|6	6001010#30|14#100000|1300#5
10805	6208	2	5|8	6001010#30|14#100000|1300#5
10806	6208	2	5|10	6001010#30|14#100000|1300#5
10807	6208	2	5|12	6001010#30|14#100000|1300#5
10808	6208	2	5|14	6001010#30|14#100000|1300#5
10809	6208	2	5|16	6001010#30|14#100000|1300#5
10810	6208	2	5|20	19#1|14#100000|1300#5
10811	6208	2	6|1	19#1|60429#1|1300#25
10812	6208	2	6|2	19#1|60429#1|1300#25
10813	6208	2	6|3	19#1|60429#1|1300#25
10814	6208	2	6|4	19#1|60429#1|1300#25
10815	6208	2	6|5	19#1|60429#1|1300#30
10816	6208	2	6|6	19#1|60429#1|1300#30
10817	6208	2	7|1	19#1|60429#1|1300#30
10818	6208	2	7|2	19#1|60429#1|1300#30
10819	6208	2	7|3	19#1|60429#1|1300#30
10820	6208	2	7|4	19#1|60429#1|1300#30
10821	6208	2	7|5	19#1|60429#1|1300#30
10822	6208	2	8|1	19#2|60430#1|1300#60
10823	6208	2	8|2	19#2|60430#1|1300#60
10824	6208	2	8|3	19#2|60430#1|1300#60
10825	6208	2	8|4	19#2|60430#1|1300#60
10826	6208	2	9|1	20#1|60431#1|1300#200
10827	6208	2	9|2	20#1|60431#1|1300#200
10828	6208	2	9|3	20#2|60431#1|1300#200
10829	6208	2	10|1	20#2|16#2000|1300#500
10901	6209	2	5|1	6001010#30|14#100000|1300#5
10902	6209	2	5|2	6001010#30|14#100000|1300#5
10903	6209	2	5|4	6001010#30|14#100000|1300#5
10904	6209	2	5|6	6001010#30|14#100000|1300#5
10905	6209	2	5|8	6001010#30|14#100000|1300#5
10906	6209	2	5|10	6001010#30|14#100000|1300#5
10907	6209	2	5|12	6001010#30|14#100000|1300#5
10908	6209	2	5|14	6001010#30|14#100000|1300#5
10909	6209	2	5|16	6001010#30|14#100000|1300#5
10910	6209	2	5|20	19#1|14#100000|1300#5
10911	6209	2	6|1	19#1|60429#1|1300#25
10912	6209	2	6|2	19#1|60429#1|1300#25
10913	6209	2	6|3	19#1|60429#1|1300#25
10914	6209	2	6|4	19#1|60429#1|1300#25
10915	6209	2	6|5	19#1|60429#1|1300#30
10916	6209	2	6|6	19#1|60429#1|1300#30
10917	6209	2	7|1	19#1|60429#1|1300#30
10918	6209	2	7|2	19#1|60429#1|1300#30
10919	6209	2	7|3	19#1|60429#1|1300#30
10920	6209	2	7|4	19#1|60429#1|1300#30
10921	6209	2	7|5	19#1|60429#1|1300#30
10922	6209	2	8|1	19#2|60430#1|1300#60
10923	6209	2	8|2	19#2|60430#1|1300#60
10924	6209	2	8|3	19#2|60430#1|1300#60
10925	6209	2	8|4	19#2|60430#1|1300#60
10926	6209	2	9|1	20#1|60431#1|1300#200
10927	6209	2	9|2	20#1|60431#1|1300#200
10928	6209	2	9|3	20#2|60431#1|1300#200
10929	6209	2	10|1	20#2|16#2000|1300#500
11001	6210	2	5|1	6001010#30|14#100000|1300#5
11002	6210	2	5|2	6001010#30|14#100000|1300#5
11003	6210	2	5|4	6001010#30|14#100000|1300#5
11004	6210	2	5|6	6001010#30|14#100000|1300#5
11005	6210	2	5|8	6001010#30|14#100000|1300#5
11006	6210	2	5|10	6001010#30|14#100000|1300#5
11007	6210	2	5|12	6001010#30|14#100000|1300#5
11008	6210	2	5|14	6001010#30|14#100000|1300#5
11009	6210	2	5|16	6001010#30|14#100000|1300#5
11010	6210	2	5|20	19#1|14#100000|1300#5
11011	6210	2	6|1	19#1|60429#1|1300#25
11012	6210	2	6|2	19#1|60429#1|1300#25
11013	6210	2	6|3	19#1|60429#1|1300#25
11014	6210	2	6|4	19#1|60429#1|1300#25
11015	6210	2	6|5	19#1|60429#1|1300#30
11016	6210	2	6|6	19#1|60429#1|1300#30
11017	6210	2	7|1	19#1|60429#1|1300#30
11018	6210	2	7|2	19#1|60429#1|1300#30
11019	6210	2	7|3	19#1|60429#1|1300#30
11020	6210	2	7|4	19#1|60429#1|1300#30
11021	6210	2	7|5	19#1|60429#1|1300#30
11022	6210	2	8|1	19#2|60430#1|1300#60
11023	6210	2	8|2	19#2|60430#1|1300#60
11024	6210	2	8|3	19#2|60430#1|1300#60
11025	6210	2	8|4	19#2|60430#1|1300#60
11026	6210	2	9|1	20#1|60431#1|1300#200
11027	6210	2	9|2	20#1|60431#1|1300#200
11028	6210	2	9|3	20#2|60431#1|1300#200
11029	6210	2	10|1	20#2|16#2000|1300#500
11101	6211	2	5|1	6001010#30|14#100000|1300#5
11102	6211	2	5|2	6001010#30|14#100000|1300#5
11103	6211	2	5|4	6001010#30|14#100000|1300#5
11104	6211	2	5|6	6001010#30|14#100000|1300#5
11105	6211	2	5|8	6001010#30|14#100000|1300#5
11106	6211	2	5|10	6001010#30|14#100000|1300#5
11107	6211	2	5|12	6001010#30|14#100000|1300#5
11108	6211	2	5|14	6001010#30|14#100000|1300#5
11109	6211	2	5|16	6001010#30|14#100000|1300#5
11110	6211	2	5|20	19#1|14#100000|1300#5
11111	6211	2	6|1	19#1|60429#1|1300#25
11112	6211	2	6|2	19#1|60429#1|1300#25
11113	6211	2	6|3	19#1|60429#1|1300#25
11114	6211	2	6|4	19#1|60429#1|1300#25
11115	6211	2	6|5	19#1|60429#1|1300#30
11116	6211	2	6|6	19#1|60429#1|1300#30
11117	6211	2	7|1	19#1|60429#1|1300#30
11118	6211	2	7|2	19#1|60429#1|1300#30
11119	6211	2	7|3	19#1|60429#1|1300#30
11120	6211	2	7|4	19#1|60429#1|1300#30
11121	6211	2	7|5	19#1|60429#1|1300#30
11122	6211	2	8|1	19#2|60430#1|1300#60
11123	6211	2	8|2	19#2|60430#1|1300#60
11124	6211	2	8|3	19#2|60430#1|1300#60
11125	6211	2	8|4	19#2|60430#1|1300#60
11126	6211	2	9|1	20#1|60431#1|1300#200
11127	6211	2	9|2	20#1|60431#1|1300#200
11128	6211	2	9|3	20#2|60431#1|1300#200
11129	6211	2	10|1	20#2|16#2000|1300#500
11201	6212	2	5|1	6001010#30|14#100000|1300#5
11202	6212	2	5|2	6001010#30|14#100000|1300#5
11203	6212	2	5|4	6001010#30|14#100000|1300#5
11204	6212	2	5|6	6001010#30|14#100000|1300#5
11205	6212	2	5|8	6001010#30|14#100000|1300#5
11206	6212	2	5|10	6001010#30|14#100000|1300#5
11207	6212	2	5|12	6001010#30|14#100000|1300#5
11208	6212	2	5|14	6001010#30|14#100000|1300#5
11209	6212	2	5|16	6001010#30|14#100000|1300#5
11210	6212	2	5|20	19#1|14#100000|1300#5
11211	6212	2	6|1	19#1|60429#1|1300#25
11212	6212	2	6|2	19#1|60429#1|1300#25
11213	6212	2	6|3	19#1|60429#1|1300#25
11214	6212	2	6|4	19#1|60429#1|1300#25
11215	6212	2	6|5	19#1|60429#1|1300#30
11216	6212	2	6|6	19#1|60429#1|1300#30
11217	6212	2	7|1	19#1|60429#1|1300#30
11218	6212	2	7|2	19#1|60429#1|1300#30
11219	6212	2	7|3	19#1|60429#1|1300#30
11220	6212	2	7|4	19#1|60429#1|1300#30
11221	6212	2	7|5	19#1|60429#1|1300#30
11222	6212	2	8|1	19#2|60430#1|1300#60
11223	6212	2	8|2	19#2|60430#1|1300#60
11224	6212	2	8|3	19#2|60430#1|1300#60
11225	6212	2	8|4	19#2|60430#1|1300#60
11226	6212	2	9|1	20#1|60431#1|1300#200
11227	6212	2	9|2	20#1|60431#1|1300#200
11228	6212	2	9|3	20#2|60431#1|1300#200
11229	6212	2	10|1	20#2|16#2000|1300#500
11301	6213	2	5|1	6001010#30|14#100000|1300#5
11302	6213	2	5|2	6001010#30|14#100000|1300#5
11303	6213	2	5|4	6001010#30|14#100000|1300#5
11304	6213	2	5|6	6001010#30|14#100000|1300#5
11305	6213	2	5|8	6001010#30|14#100000|1300#5
11306	6213	2	5|10	6001010#30|14#100000|1300#5
11307	6213	2	5|12	6001010#30|14#100000|1300#5
11308	6213	2	5|14	6001010#30|14#100000|1300#5
11309	6213	2	5|16	6001010#30|14#100000|1300#5
11310	6213	2	5|20	19#1|14#100000|1300#5
11311	6213	2	6|1	19#1|60429#1|1300#25
11312	6213	2	6|2	19#1|60429#1|1300#25
11313	6213	2	6|3	19#1|60429#1|1300#25
11314	6213	2	6|4	19#1|60429#1|1300#25
11315	6213	2	6|5	19#1|60429#1|1300#30
11316	6213	2	6|6	19#1|60429#1|1300#30
11317	6213	2	7|1	19#1|60429#1|1300#30
11318	6213	2	7|2	19#1|60429#1|1300#30
11319	6213	2	7|3	19#1|60429#1|1300#30
11320	6213	2	7|4	19#1|60429#1|1300#30
11321	6213	2	7|5	19#1|60429#1|1300#30
11322	6213	2	8|1	19#2|60430#1|1300#60
11323	6213	2	8|2	19#2|60430#1|1300#60
11324	6213	2	8|3	19#2|60430#1|1300#60
11325	6213	2	8|4	19#2|60430#1|1300#60
11326	6213	2	9|1	20#1|60431#1|1300#200
11327	6213	2	9|2	20#1|60431#1|1300#200
11328	6213	2	9|3	20#2|60431#1|1300#200
11329	6213	2	10|1	20#2|16#2000|1300#500
11401	6214	2	5|1	6001010#30|14#100000|1300#5
11402	6214	2	5|2	6001010#30|14#100000|1300#5
11403	6214	2	5|4	6001010#30|14#100000|1300#5
11404	6214	2	5|6	6001010#30|14#100000|1300#5
11405	6214	2	5|8	6001010#30|14#100000|1300#5
11406	6214	2	5|10	6001010#30|14#100000|1300#5
11407	6214	2	5|12	6001010#30|14#100000|1300#5
11408	6214	2	5|14	6001010#30|14#100000|1300#5
11409	6214	2	5|16	6001010#30|14#100000|1300#5
11410	6214	2	5|20	19#1|14#100000|1300#5
11411	6214	2	6|1	19#1|60429#1|1300#25
11412	6214	2	6|2	19#1|60429#1|1300#25
11413	6214	2	6|3	19#1|60429#1|1300#25
11414	6214	2	6|4	19#1|60429#1|1300#25
11415	6214	2	6|5	19#1|60429#1|1300#30
11416	6214	2	6|6	19#1|60429#1|1300#30
11417	6214	2	7|1	19#1|60429#1|1300#30
11418	6214	2	7|2	19#1|60429#1|1300#30
11419	6214	2	7|3	19#1|60429#1|1300#30
11420	6214	2	7|4	19#1|60429#1|1300#30
11421	6214	2	7|5	19#1|60429#1|1300#30
11422	6214	2	8|1	19#2|60430#1|1300#60
11423	6214	2	8|2	19#2|60430#1|1300#60
11424	6214	2	8|3	19#2|60430#1|1300#60
11425	6214	2	8|4	19#2|60430#1|1300#60
11426	6214	2	9|1	20#1|60431#1|1300#200
11427	6214	2	9|2	20#1|60431#1|1300#200
11428	6214	2	9|3	20#2|60431#1|1300#200
11429	6214	2	10|1	20#2|16#2000|1300#500
