Id	ReadingName	PiecesId	PiecesCount	Star	Quality	Natural	Profession	PropertyName	MaxRank	Hp	Attack	PhysicalDefence	MagicDefence	Speed	Hp_rate	Atk_rate	Def_rate	Speed_rate	SecondaryFactor	ActionPower	RankupConsumeMaterial	OpenSkillRules	OpenPassiveSkillRules	EquipTalismana	GrowthSwitch	OwnReward	Material
10020	2010020	6000020	50	5	5	5	3	2	13	574.0	117.0	45.0	0.0	114.0	490840.0	107390.0	58840.0	52500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#38#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#3020|1#3021|3#3023	2#3022|4#3024	null	null	16#50	0
10021	2010021	6000021	50	5	5	5	4	2	13	548.0	101.0	48.0	0.0	115.0	527110.0	90470.0	60030.0	52500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#36#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#3030|1#3031|3#3033	2#3032|4#3034	null	null	16#50	0
10022	2010022	6000022	50	5	5	5	2	2	13	567.0	119.0	47.0	0.0	111.0	480320.0	105100.0	57640.0	53030.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#36#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#3040|1#3041|3#3043	2#3042|4#3044	null	null	16#50	0
10023	2010023	6000023	50	5	5	5	2	2	9	551.0	119.0	43.0	0.0	117.0	480440.0	105370.0	57690.0	53030.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#52#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1	0#3050|1#3051|3#3053	2#3052|4#3054	null	null	16#50	0
10024	2010024	6000024	50	5	5	5	3	2	13	528.0	110.0	49.0	0.0	113.0	490770.0	107210.0	58880.0	52500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#37#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#3060|1#3061|3#3063	2#3062|4#3064	null	null	16#50	0
10025	2010025	6000025	50	5	5	5	4	2	13	614.0	93.0	48.0	0.0	113.0	527200.0	90600.0	60120.0	52500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#38#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#3070|1#3071|3#3073	2#3072|4#3074	null	null	16#50	0
10026	2010026	6000026	50	5	5	5	1	2	13	659.0	95.0	44.0	0.0	118.0	563710.0	73630.0	61850.0	54600.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#37#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#3080|1#3081|3#3083	2#3082|4#3084	null	null	16#50	0
10027	2010027	6000027	50	5	5	5	3	2	13	633.0	93.0	45.0	0.0	119.0	563660.0	73970.0	61790.0	54600.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#37#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#3090|1#3091|3#3093	2#3092|4#3094	null	null	16#50	0
10028	2010028	6000028	30	4	4	4	4	2	5	384.0	85.0	38.0	0.0	78.0	369090.0	63620.0	42100.0	36750.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#3100|1#3101|3#3103	2#3102	null	null	16#40	0
10029	2010029	6000029	30	4	4	4	2	2	5	433.0	94.0	32.0	0.0	84.0	337080.0	73900.0	40510.0	37120.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#3110|1#3111|3#3113	2#3112	null	null	16#40	0
10030	2010030	6000030	30	4	4	4	1	2	5	454.0	70.0	36.0	0.0	83.0	394720.0	51700.0	43340.0	38220.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#3120|1#3121|3#3123	2#3122	null	null	16#40	0
10031	2010031	6000031	30	4	4	4	3	2	5	370.0	83.0	34.0	0.0	77.0	480770.0	103210.0	56880.0	52000.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#3130|1#3131|3#3133	2#3132	null	null	16#40	0
10032	2010032	6000032	30	4	4	4	4	2	5	405.0	67.0	33.0	0.0	78.0	368860.0	63430.0	42090.0	36750.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#3140|1#3141|3#3143	2#3142	null	null	16#40	0
10033	2010033	6000033	20	3	3	3	1	2	3	373.0	62.0	31.0	0.0	71.0	321610.0	42180.0	35280.0	31120.0	56#15000|53#10000|55#1000	30	null	0#3170|1#3171	2#3172|3#3173	null	null	16#30	0
10034	2010034	6000034	10	2	2	2	3	2	2	275.0	55.0	22.0	0.0	57.0	221490.0	48580.0	26520.0	23630.0	56#15000|53#10000|55#1000	30	null	0#3200|1#3201	2#3202	null	null	16#20	0
10035	2010035	6000035	10	1	1	1	2	2	1	238.0	56.0	24.0	0.0	45.0	159370.0	34840.0	19190.0	17500.0	56#15000|53#10000|55#1000	30	null	0#3220|1#3221	null	null	null	16#10	0
10036	2010036	6000036	50	5	5	5	2	3	13	511.0	103.0	43.0	0.0	114.0	510100.0	102330.0	63140.0	52000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#39#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#1240|1#1241|3#1243	2#1242|4#1244	null	null	16#50	0
10037	2010037	6000037	50	5	5	5	2	3	13	543.0	121.0	44.0	0.0	110.0	500760.0	100390.0	61910.0	52500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#41#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#1010|1#1011|3#1013	2#1012|4#1014	null	null	16#50	0
10038	2010038	6000038	50	5	5	5	1	3	9	655.0	89.0	51.0	0.0	114.0	587250.0	70440.0	66180.0	52000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#43#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1	0#1020|1#1021|3#1023	2#1022	null	null	16#50	0
10039	2010039	6000039	50	5	5	5	2	3	9	548.0	119.0	50.0	0.0	108.0	500640.0	100170.0	61920.0	50500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#40#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1	0#1030|1#1031|3#1033	2#1032	null	null	16#50	0
10040	2010040	6000040	50	5	5	5	2	3	13	511.0	119.0	44.0	0.0	112.0	500180.0	100160.0	61910.0	50500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#42#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#1040|1#1041|3#1043	2#1042|4#1044	null	null	16#50	0
10041	2010041	6000041	50	5	5	5	4	3	13	553.0	97.0	47.0	0.0	108.0	549240.0	86150.0	64290.0	50000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#41#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#1050|1#1051|3#1053	2#1052|4#1054	null	null	16#50	0
10042	2010042	6000042	50	5	5	5	3	3	13	605.0	111.0	51.0	0.0	109.0	510100.0	102330.0	63140.0	50000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#42#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#1060|1#1061|3#1063	2#1062|4#1064	null	null	16#50	0
10043	2010043	6000043	50	5	5	5	1	3	13	590.0	90.0	54.0	0.0	111.0	587060.0	70160.0	66340.0	52000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#43#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#1070|1#1071|3#1073	2#1072|4#1074	null	null	16#50	0
10044	2010044	6000044	50	5	5	5	2	3	13	545.0	117.0	44.0	0.0	110.0	500440.0	100140.0	61820.0	50500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#39#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#1080|1#1081|3#1083	2#1082|4#1084	null	null	16#50	0
10045	2010045	6000045	50	5	5	5	2	3	13	591.0	113.0	49.0	0.0	107.0	500630.0	100200.0	61880.0	50500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#40#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#1090|1#1091|3#1093	2#1092|4#1094	null	null	16#50	0
10046	2010046	6000046	50	5	5	5	4	3	13	615.0	103.0	53.0	0.0	108.0	549090.0	86170.0	64340.0	50000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#41#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#1100|1#1101|3#1103	2#1102|4#1104	null	null	16#50	0
10047	2010047	6000047	30	4	4	4	4	3	5	421.0	80.0	38.0	0.0	76.0	384340.0	60580.0	44990.0	35000.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#1110|1#1111|3#1113	2#1112	null	null	16#40	0
10048	2010048	6000048	30	4	4	4	2	3	5	381.0	78.0	38.0	0.0	77.0	350210.0	70470.0	43320.0	35350.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#1120|1#1121	2#1122|3#1123	null	null	16#40	0
10049	2010049	6000049	30	4	4	4	2	3	5	406.0	92.0	38.0	0.0	80.0	350710.0	70200.0	43400.0	35350.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#1130|1#1131|3#1133	2#1132	null	null	16#40	0
10050	2010050	6000050	30	4	4	4	4	3	5	483.0	70.0	39.0	0.0	79.0	384700.0	60400.0	45130.0	35000.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#1140|1#1141|3#1143	2#1142	null	null	16#40	0
10051	2010051	6000051	30	4	4	4	1	3	5	473.0	69.0	40.0	0.0	76.0	411230.0	49370.0	46460.0	36400.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#1150|1#1151|3#1153	2#1152	null	null	16#40	0
10052	2010052	6000052	20	3	3	3	1	3	3	364.0	61.0	35.0	0.0	69.0	335160.0	40380.0	37900.0	29640.0	56#15000|53#10000|55#1000	30	null	0#1180|1#1181	2#1182	null	null	16#30	0
10053	2010053	6000053	10	2	2	2	3	3	2	261.0	59.0	25.0	0.0	52.0	230060.0	46210.0	28510.0	22500.0	56#15000|53#10000|55#1000	30	null	0#1210|1#1211	2#1212	null	null	16#20	0
10054	2010054	6000054	10	1	1	1	2	3	1	192.0	50.0	24.0	0.0	41.0	165250.0	33140.0	20400.0	16670.0	56#15000|53#10000|55#1000	30	null	0#1230|1#1231	null	null	null	16#10	0
10057	2010055	6000055	50	5	5	5	3	4	13	610.0	126.0	50.0	0.0	120.0	541090.0	114090.0	65100.0	55000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#46#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#4150|1#4151|3#4153	2#4152|4#4154	null	null	16#50	0
10058	2010056	6000056	50	5	5	5	1	4	13	622.0	80.0	46.0	0.0	110.0	612320.0	87660.0	67250.0	55000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#44#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#4140|1#4141|3#4143	2#4142|4#4144	null	null	16#50	0
10059	2010057	6000057	50	5	5	5	4	4	13	623.0	98.0	47.0	0.0	115.0	581200.0	93620.0	66450.0	55000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#44#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#4010|1#4011|3#4013	2#4012|4#4014	null	null	16#50	0
10060	2010058	6000058	50	5	5	5	4	4	13	676.0	113.0	54.0	0.0	118.0	581500.0	93480.0	66330.0	55000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#47#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#4020|1#4021|3#4023	2#4022|4#4024	null	null	16#50	0
10061	2010059	6000059	50	5	5	5	4	4	13	677.0	111.0	47.0	0.0	120.0	582200.0	93810.0	66340.0	55000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#47#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#4030|1#4031|3#4033	2#4032|4#4034	null	null	16#50	0
10062	2010060	6000060	50	5	5	5	1	4	9	661.0	96.0	52.0	0.0	118.0	622740.0	76150.0	68340.0	57200.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#44#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1	0#4040|1#4041|3#4043	2#4042	null	null	16#50	0
10063	2010061	6000061	50	5	5	5	3	4	13	544.0	128.0	47.0	0.0	120.0	541850.0	111090.0	65060.0	55000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#47#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#4050|1#4051	2#4052|3#4053|4#4054	null	null	16#50	0
10064	2010062	6000062	50	5	5	5	2	4	13	589.0	115.0	47.0	0.0	118.0	530250.0	108760.0	63750.0	55550.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#45#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#4060|1#4061|3#4063	2#4062|4#4064	null	null	16#50	0
10065	2010063	6000063	50	5	5	5	2	4	13	539.0	112.0	47.0	0.0	116.0	530240.0	108570.0	63740.0	55550.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#46#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#4070|1#4071|3#4073	2#4072|4#4074	null	null	16#50	0
10066	2010064	6000064	50	5	5	5	3	4	13	611.0	124.0	48.0	0.0	114.0	541350.0	110710.0	65050.0	55000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#45#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#4080|1#4081|3#4083	2#4082|4#4084	null	null	16#50	0
10067	2010065	6000065	30	4	4	4	2	4	5	420.0	84.0	40.0	0.0	88.0	371740.0	76320.0	44710.0	38890.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#4090|1#4091|3#4093	2#4092	null	null	16#40	0
