Id	KeyFrame	SkillDuration	SkillNumber	ReturnTime	IsCannon
2103	600	175#175#175#175#175#175#175	8	2700	0
2110	400	200	2	1300	0
2111	1400	400	2	2450	0
2113	250	190#190#250#650	5	2400	0
2120	430	0	1	1100	0
2121	500	200#400	3	1900	0
2123	1900	0	1	2500	0
2130	600	0	1	1400	0
2131	850	0	1	1500	0
2133	1100	150#150#150#150	5	3000	0
2140	500	0	1	1100	0
2141	990	0	1	1700	0
2143	550	250#250#250#250	5	2700	0
2190	600	0	1	1300	0
2191	900	0	1	1700	0
2210	440	0	1	1300	0
2211	500	150#150#150#150#150#150#150	8	2700	0
2220	430	0	1	1100	0
2221	400	100#100#350	4	1900	0
2230	1100	0	1	1400	0
2231	2200	150#150#150#150#150#150#150#150#150#150#300	12	5800	0
2233	1800	0	1	2500	0
3010	250	250	2	1350	0
3011	700	0	1	1900	0
3013	300	300#900#750#350	5	3500	0
3020	400	0	1	1300	0
3021	850	0	1	1700	0
3023	950	0	1	2100	0
3030	650	200	2	1300	0
3031	1200	0	1	2400	0
3033	2566	0	1	2950	0
3040	400	0	1	1300	0
3041	900	300#300#300#1000	5	3500	0
3043	1400	400#400#600	4	3999	0
3050	480	0	1	1300	0
3051	500	100#470	3	1900	0
3053	1030	250#250#250#450#850	6	4000	0
3060	500	0	1	1400	0
3061	740	240	2	2300	0
3063	900	210#690	3	2700	0
3070	400	0	1	1200	0
3071	1800	0	1	2400	0
3073	1500	0	1	2500	0
3080	430	0	1	1300	0
3081	1600	0	1	2400	0
3083	1350	0	1	2700	0
3090	800	0	1	2000	0
3091	1400	0	1	2400	0
3093	1050	150#150#150#150#150#150#150#150	9	2950	0
3100	510	0	1	1100	0
3101	500	0	1	1800	0
3103	2000	0	1	2700	0
3110	400	200	2	1300	0
3111	1500	400#730	3	3200	0
3113	250	190#190#250#650	5	2400	0
3120	300	233	2	1300	0
3121	200	200#200#200#600	5	2200	0
3123	1600	0	1	1900	0
3130	450	0	1	1100	0
3131	900	0	1	1900	0
3133	500	190#190#190#1000	5	2800	0
3140	460	0	1	1200	0
3141	50	0	1	1400	0
3143	1500	0	1	2500	0
3170	420	170	2	1300	0
3171	500	130#120#150#500	5	2500	0
3200	380	0	1	1300	0
3201	830	0	1	1700	0
3220	400	0	1	1200	0
3221	1200	0	1	2000	0
4010	650	0	1	1300	0
4011	1050	0	1	1600	0
4013	1700	0	1	2300	0
4020	560	0	1	1200	0
4021	1500	0	1	2200	0
4023	2400	0	1	3000	0
4030	440	0	1	1300	0
4031	1400	150#150#150#150#350	6	2500	0
4033	2100	0	1	2450	0
4040	400	0	1	1300	0
4041	570	200#200	3	2200	0
4043	2000	400	2	3000	0
4050	400	0	1	1100	0
4051	1600	150#150#150#150#150	6	3000	0
4060	550	0	1	1300	0
4061	900	300#300	3	2300	0
4063	1200	0	1	2500	0
4070	530	0	1	1200	0
4071	1400	80#80#240	4	3100	0
4073	3650	397#660	3	6300	0
4080	530	0	1	1100	0
4081	600	100#100#500	4	2200	0
4083	600	350#700#300#100#100	6	3000	0
4090	680	0	1	1300	0
4091	1700	0	1	2000	0
4093	1100	0	1	2300	0
4100	400	0	1	1050	0
4101	360	280#440#240#440	5	2800	0
4103	2000	0	1	4000	0
4110	810	0	1	1500	0
4111	500	500#700	3	3000	0
4113	2750	0	1	3000	0
4120	460	0	1	1300	0
4121	500	0	1	1600	0
4123	2000	0	1	2400	0
4130	380	200	2	1300	0
4131	650	150#250	3	2000	0
4140	650	0	1	1200	0
4141	1200	210#210#210#210#210#210	7	3100	0
4143	2000	233#233#233#233#233	6	3200	0
4150	450	0	1	1300	0
4151	2100	150#150#150#150	5	5500	0
4153	750	430#830#400	4	4200	0
5010	410	230	2	1300	0
5011	570	200#200#140#220	5	2500	0
5013	1000	500	2	2200	0
5020	650	0	1	1100	0
5021	1700	350#350#350	4	4000	0
5023	2300	0	1	3000	0
5030	400	0	1	1250	0
5031	700	150#150#150#150#150#150#200	8	1700	0
5033	1500	0	1	2400	0
5040	550	0	1	1300	0
5041	650	240#240#240	4	2100	0
5043	1100	300#300#300#350	5	3300	0
5050	410	0	1	1100	0
5051	4900	0	1	6700	0
5053	420	350#450	3	2200	0
5060	680	0	1	1300	0
5061	300	150#150#150#150#600	6	2200	0
5063	1700	0	1	3300	0
5070	350	0	1	1200	0
5071	730	0	1	1400	0
5073	600	100#100#100#600#100#550	7	2700	0
5080	980	0	1	1300	0
5081	1100	150#150#150#150	5	2000	0
5083	2300	150#150#150#150#150#150#150	8	4000	0
5090	300	0	1	1300	0
5091	400	800	2	1900	0
5093	500	250#250#250	4	2600	0
5100	300	400	2	1600	0
5101	900	400	2	3000	0
5103	1700	0	1	2200	0
5110	400	0	1	1300	0
5111	1400	0	1	2700	0
5120	510	0	1	1300	0
5121	700	300#300#250#200#200	6	2900	0
5130	600	0	1	1300	0
5131	2000	0	1	2500	0
5140	280	260	2	1500	0
5141	480	190#190#190#190#190#190#190	8	2500	0
5143	3000	0	1	5000	0
5150	390	0	1	1100	0
5151	900	250#250#250	4	2600	0
5153	3800	200#200#200#400#200#200#300	8	6000	0
701	2500	0	1	4000	0
702	1100	0	1	1600	0
703	1100	0	1	2000	0
704	300	280#280#280	4	2000	0
705	810	280#280#280#350	5	3600	0
706	1100	0	1	2000	0
707	1600	200#200#200#200#200#400	7	4000	0
708	1600	200#200#200#200#200#400	7	4000	0
709	1100	0	1	2000	0
710	1000	0	1	3200	0
711	1200	0	1	3200	0
712	600	240#240#240#280#280#280	7	3200	0
713	1850	0	1	3200	0
714	1200	0	1	2800	0
715	440	200#200#200	4	1600	0
716	1	0	1	2100	0
7100	410	0	1	1100	0
7101	420	350#450	3	2200	0
7102	4900	0	1	6700	0
