Id	Rank	Level	LevUP	Hp	Attack	PhysicalDefence	MagicDefence	Speed	Hit	Dodge	CritFactor	CritDamageFactor	DamageBocusFactor	DamageReduceFactor	CureFacter	TreatFacter
72	1	72	36	19020	2920	256	0	220	80	0	0	0	0	0	0	0
73	1	73	36	19140	2940	260	0	222	90	0	0	0	0	0	0	0
74	1	74	37	19250	2960	262	0	226	90	0	0	0	0	0	0	0
75	1	75	37	19370	2975	266	0	228	90	0	0	0	0	0	0	0
76	1	76	38	19490	2995	270	0	230	90	0	0	0	0	0	0	0
77	1	77	38	19610	3010	272	0	232	90	0	0	0	0	0	0	0
78	1	78	39	19720	3030	276	0	236	90	0	0	0	0	0	0	0
79	1	79	39	19840	3050	278	0	238	90	0	0	0	0	0	0	0
80	1	80	40	19960	3070	282	0	240	90	80	400	400	400	400	400	400
81	1	81	40	20080	3085	284	0	244	90	0	0	0	0	0	0	0
82	1	82	41	21320	3255	288	0	246	100	0	0	0	0	0	0	0
83	1	83	41	22560	3425	292	0	248	100	0	0	0	0	0	0	0
84	1	84	42	22690	3450	294	0	252	100	0	0	0	0	0	0	0
85	1	85	42	22820	3470	298	0	254	100	0	0	0	0	0	0	0
86	1	86	43	22950	3490	300	0	256	100	0	0	0	0	0	0	0
87	1	87	43	23080	3510	304	0	260	100	0	0	0	0	0	0	0
88	1	88	44	23210	3530	308	0	262	100	0	0	0	0	0	0	0
89	1	89	44	23340	3550	310	0	264	100	0	0	0	0	0	0	0
90	1	90	45	23470	3570	314	0	268	100	90	450	450	450	450	450	450
91	1	91	45	23600	3590	316	0	270	110	0	0	0	0	0	0	0
92	1	92	46	23730	3610	320	0	272	110	0	0	0	0	0	0	0
93	1	93	46	23860	3630	322	0	276	110	0	0	0	0	0	0	0
94	1	94	47	23990	3650	326	0	278	110	0	0	0	0	0	0	0
95	1	95	47	24110	3670	330	0	280	110	0	0	0	0	0	0	0
96	1	96	48	24240	3690	332	0	284	110	0	0	0	0	0	0	0
97	1	97	48	24370	3710	336	0	286	110	0	0	0	0	0	0	0
98	1	98	49	24500	3730	338	0	288	110	0	0	0	0	0	0	0
99	1	99	49	24630	3750	342	0	292	110	0	0	0	0	0	0	0
100	1	100	50	24760	3775	344	0	294	120	100	499	499	499	499	499	499
101	1	101	50	24890	3795	348	0	296	120	0	0	0	0	0	0	0
102	1	102	51	25020	3815	352	0	300	120	0	0	0	0	0	0	0
103	1	103	51	25150	3835	354	0	302	120	0	0	0	0	0	0	0
104	1	104	52	25280	3855	358	0	304	120	0	0	0	0	0	0	0
105	1	105	52	25410	3875	360	0	306	120	0	0	0	0	0	0	0
106	1	106	53	25540	3895	364	0	310	120	0	0	0	0	0	0	0
107	1	107	53	25670	3915	366	0	312	120	0	0	0	0	0	0	0
108	1	108	54	25800	3935	370	0	316	120	0	0	0	0	0	0	0
109	1	109	54	25930	3955	374	0	318	130	0	0	0	0	0	0	0
110	1	110	55	27010	4090	376	0	320	130	110	549	549	549	549	549	549
111	1	111	55	28090	4225	380	0	322	130	0	0	0	0	0	0	0
112	1	112	56	28220	4245	382	0	326	130	0	0	0	0	0	0	0
113	1	113	56	28350	4265	386	0	328	130	0	0	0	0	0	0	0
114	1	114	57	28480	4285	390	0	332	130	0	0	0	0	0	0	0
115	1	115	57	28610	4305	392	0	334	130	0	0	0	0	0	0	0
116	1	116	58	28740	4330	396	0	336	130	0	0	0	0	0	0	0
117	1	117	58	28870	4350	398	0	338	130	0	0	0	0	0	0	0
118	1	118	59	29000	4370	402	0	342	140	0	0	0	0	0	0	0
119	1	119	59	29130	4390	404	0	344	140	0	0	0	0	0	0	0
120	1	120	60	29230	4405	408	0	348	140	120	599	599	599	599	599	599
121	1	121	60	29340	4420	410	0	350	140	0	0	0	0	0	0	0
122	1	122	61	29640	4450	414	0	352	140	0	0	0	0	0	0	0
123	1	123	61	29940	4480	418	0	356	140	0	0	0	0	0	0	0
124	1	124	62	30040	4495	420	0	358	140	0	0	0	0	0	0	0
125	1	125	62	30140	4515	424	0	360	140	0	0	0	0	0	0	0
126	1	126	63	30250	4530	426	0	364	140	0	0	0	0	0	0	0
127	1	127	63	30350	4545	430	0	366	150	0	0	0	0	0	0	0
128	1	128	64	30450	4565	434	0	368	150	0	0	0	0	0	0	0
129	1	129	64	30560	4580	436	0	370	150	0	0	0	0	0	0	0
130	1	130	65	30660	4595	440	0	374	150	130	649	649	649	649	649	649
131	1	131	65	30760	4615	442	0	376	150	0	0	0	0	0	0	0
132	1	132	66	38500	5620	446	0	384	150	0	0	0	0	0	0	0
133	1	133	66	46230	6630	448	0	392	150	0	0	0	0	0	0	0
134	1	134	67	46380	6655	452	0	394	150	0	0	0	0	0	0	0
135	1	135	67	46540	6675	456	0	396	150	0	0	0	0	0	0	0
136	1	136	68	46740	6705	458	0	400	160	0	0	0	0	0	0	0
137	1	137	68	46950	6735	462	0	402	160	0	0	0	0	0	0	0
138	1	138	69	48590	6950	464	0	410	160	0	0	0	0	0	0	0
139	1	139	69	50240	7170	468	0	416	160	0	0	0	0	0	0	0
140	1	140	70	50450	7200	472	0	418	160	140	699	699	699	699	699	699
141	1	141	70	50650	7230	474	0	420	160	0	0	0	0	0	0	0
142	1	142	71	50860	7260	478	0	424	160	0	0	0	0	0	0	0
143	1	143	71	51060	7290	480	0	426	160	0	0	0	0	0	0	0
144	1	144	72	51270	7320	484	0	428	160	0	0	0	0	0	0	0
145	1	145	72	51480	7350	486	0	432	170	0	0	0	0	0	0	0
146	1	146	73	51680	7380	490	0	434	170	0	0	0	0	0	0	0
147	1	147	73	51890	7410	494	0	436	170	0	0	0	0	0	0	0
148	1	148	74	52100	7440	496	0	440	170	0	0	0	0	0	0	0
149	1	149	74	52300	7470	500	0	442	170	0	0	0	0	0	0	0
150	1	150	75	52510	7505	502	0	444	170	150	750	750	750	750	750	750
151	1	151	75	52720	7535	506	0	448	170	0	0	0	0	0	0	0
152	1	152	76	52920	7565	508	0	450	170	0	0	0	0	0	0	0
153	1	153	76	53130	7595	512	0	452	170	0	0	0	0	0	0	0
154	1	154	77	53390	7630	516	0	456	180	0	0	0	0	0	0	0
155	1	155	77	53650	7670	518	0	458	180	0	0	0	0	0	0	0
156	1	156	78	53910	7705	522	0	460	180	0	0	0	0	0	0	0
157	1	157	78	54170	7745	524	0	464	180	0	0	0	0	0	0	0
158	1	158	79	54430	7780	528	0	466	180	0	0	0	0	0	0	0
159	1	159	79	54690	7820	530	0	468	180	0	0	0	0	0	0	0
160	1	160	80	54950	7855	534	0	472	180	160	800	800	800	800	800	800
161	1	161	80	55210	7895	538	0	474	180	0	0	0	0	0	0	0
162	1	162	81	55470	7930	540	0	476	180	0	0	0	0	0	0	0
163	1	163	81	55740	7970	544	0	480	190	0	0	0	0	0	0	0
164	1	164	82	56000	8005	546	0	482	190	0	0	0	0	0	0	0
165	1	165	82	56260	8045	550	0	484	190	0	0	0	0	0	0	0
166	1	166	83	56520	8085	554	0	488	190	0	0	0	0	0	0	0
167	1	167	83	56790	8120	556	0	490	190	0	0	0	0	0	0	0
168	1	168	84	58480	8330	560	0	492	190	0	0	0	0	0	0	0
169	1	169	84	60170	8540	562	0	494	190	0	0	0	0	0	0	0
170	1	170	85	60430	8580	566	0	498	190	170	850	850	850	850	850	850
171	1	171	85	60690	8615	568	0	500	190	0	0	0	0	0	0	0
172	1	172	86	74050	10250	572	0	508	200	0	0	0	0	0	0	0
173	1	173	86	87410	11885	576	0	516	200	0	0	0	0	0	0	0
174	1	174	87	87650	11915	578	0	518	200	0	0	0	0	0	0	0
175	1	175	87	87880	11950	582	0	520	200	0	0	0	0	0	0	0
176	1	176	88	88120	11985	584	0	524	200	0	0	0	0	0	0	0
177	1	177	88	88350	12015	588	0	526	200	0	0	0	0	0	0	0
178	1	178	89	89070	12090	592	0	530	200	0	0	0	0	0	0	0
179	1	179	89	89790	12165	594	0	532	200	0	0	0	0	0	0	0
180	1	180	90	90030	12200	598	0	534	200	180	900	900	900	900	900	900
181	1	181	90	90260	12235	600	0	536	210	0	0	0	0	0	0	0
182	1	182	91	91120	12320	604	0	540	210	0	0	0	0	0	0	0
183	1	183	91	91980	12405	606	0	542	210	0	0	0	0	0	0	0
184	1	184	92	92220	12435	610	0	546	210	0	0	0	0	0	0	0
185	1	185	92	92460	12470	614	0	548	210	0	0	0	0	0	0	0
186	1	186	93	92700	12505	616	0	550	210	0	0	0	0	0	0	0
187	1	187	93	92930	12535	620	0	554	210	0	0	0	0	0	0	0
188	1	188	94	93260	12580	622	0	556	210	0	0	0	0	0	0	0
189	1	189	94	93580	12625	626	0	558	210	0	0	0	0	0	0	0
190	1	190	95	93900	12670	628	0	562	220	190	950	950	950	950	950	950
191	1	191	95	94220	12715	632	0	564	220	0	0	0	0	0	0	0
192	1	192	96	95030	12800	636	0	566	220	0	0	0	0	0	0	0
193	1	193	96	95840	12885	638	0	568	220	0	0	0	0	0	0	0
194	1	194	97	96160	12930	642	0	572	220	0	0	0	0	0	0	0
195	1	195	97	96490	12970	644	0	574	220	0	0	0	0	0	0	0
196	1	196	98	98480	13215	648	0	578	220	0	0	0	0	0	0	0
197	1	197	98	100470	13460	650	0	580	220	0	0	0	0	0	0	0
198	1	198	99	100790	13505	654	0	582	220	0	0	0	0	0	0	0
199	1	199	99	101120	13550	656	0	584	230	0	0	0	0	0	0	0
200	1	200	100	101440	13595	660	0	588	230	200	1000	1000	1000	1000	1000	1000
201	1	201	100	101770	13635	664	0	590	230	0	0	0	0	0	0	0
202	1	202	101	102090	13680	666	0	592	230	0	0	0	0	0	0	0
203	1	203	101	102420	13725	670	0	596	230	0	0	0	0	0	0	0
204	1	204	102	103230	13810	674	0	598	230	0	0	0	0	0	0	0
205	1	205	102	104040	13895	676	0	600	230	0	0	0	0	0	0	0
206	1	206	103	104370	13940	680	0	604	230	0	0	0	0	0	0	0
207	1	207	103	104690	13985	682	0	606	230	0	0	0	0	0	0	0
208	1	208	104	105020	14030	686	0	608	240	0	0	0	0	0	0	0
209	1	209	104	105350	14075	688	0	612	240	0	0	0	0	0	0	0
210	1	210	105	105670	14120	692	0	614	240	210	1050	1050	1050	1050	1050	1050
211	1	211	105	106000	14165	696	0	616	240	0	0	0	0	0	0	0
212	1	212	106	128880	16750	698	0	624	240	0	0	0	0	0	0	0
213	1	213	106	151760	19335	702	0	632	240	0	0	0	0	0	0	0
214	1	214	107	152280	19415	704	0	636	240	0	0	0	0	0	0	0
215	1	215	107	152790	19495	708	0	638	240	0	0	0	0	0	0	0
216	1	216	108	153260	19555	712	0	640	240	0	0	0	0	0	0	0
217	1	217	108	153730	19615	714	0	642	250	0	0	0	0	0	0	0
218	1	218	109	154690	19720	718	0	646	250	0	0	0	0	0	0	0
219	1	219	109	155640	19820	720	0	648	250	0	0	0	0	0	0	0
220	1	220	110	156110	19880	724	0	650	250	220	1100	1100	1100	1100	1100	1100
221	1	221	110	156580	19940	726	0	652	250	0	0	0	0	0	0	0
222	1	222	111	157050	20000	730	0	656	250	0	0	0	0	0	0	0
223	1	223	111	157520	20060	732	0	658	250	0	0	0	0	0	0	0
224	1	224	112	159790	20445	736	0	666	250	0	0	0	0	0	0	0
225	1	225	112	162050	20830	738	0	672	250	0	0	0	0	0	0	0
226	1	226	113	162420	20880	742	0	674	260	0	0	0	0	0	0	0
227	1	227	113	162780	20930	746	0	678	260	0	0	0	0	0	0	0
228	1	228	114	163150	20975	748	0	680	260	0	0	0	0	0	0	0
229	1	229	114	163510	21025	752	0	682	260	0	0	0	0	0	0	0
230	1	230	115	163870	21070	754	0	686	260	230	1150	1150	1150	1150	1150	1150
231	1	231	115	164240	21120	758	0	688	260	0	0	0	0	0	0	0
232	1	232	116	165080	21210	762	0	690	260	0	0	0	0	0	0	0
233	1	233	116	165930	21300	764	0	692	260	0	0	0	0	0	0	0
234	1	234	117	166300	21350	768	0	696	260	0	0	0	0	0	0	0
235	1	235	117	166660	21395	770	0	698	270	0	0	0	0	0	0	0
236	1	236	118	167020	21445	774	0	702	270	0	0	0	0	0	0	0
237	1	237	118	167390	21490	778	0	704	270	0	0	0	0	0	0	0
238	1	238	119	167750	21540	780	0	706	270	0	0	0	0	0	0	0
239	1	239	119	168110	21590	784	0	708	270	0	0	0	0	0	0	0
240	1	240	120	168570	21700	786	0	712	270	240	1200	1200	1200	1200	1200	1200
241	1	241	120	169030	21810	790	0	714	270	0	0	0	0	0	0	0
242	1	242	121	169700	21930	792	0	716	270	0	0	0	0	0	0	0
243	1	243	121	170370	22045	796	0	720	270	0	0	0	0	0	0	0
244	1	244	122	170730	22095	800	0	722	280	0	0	0	0	0	0	0
245	1	245	122	171100	22140	802	0	724	280	0	0	0	0	0	0	0
246	1	246	123	172080	22250	806	0	728	280	0	0	0	0	0	0	0
247	1	247	123	173060	22355	808	0	730	280	0	0	0	0	0	0	0
248	1	248	124	173430	22405	812	0	734	280	0	0	0	0	0	0	0
249	1	249	124	173790	22450	814	0	736	280	0	0	0	0	0	0	0
250	1	250	125	174220	22505	818	0	738	280	250	1250	1250	1250	1250	1250	1250
251	1	251	125	174650	22565	822	0	740	280	0	0	0	0	0	0	0
252	1	252	126	214960	26890	824	0	748	280	0	0	0	0	0	0	0
253	1	253	126	255280	31215	828	0	756	290	0	0	0	0	0	0	0
254	1	254	127	255900	31290	830	0	760	290	0	0	0	0	0	0	0
255	1	255	127	256520	31365	834	0	762	290	0	0	0	0	0	0	0
256	1	256	128	257140	31445	836	0	764	290	0	0	0	0	0	0	0
257	1	257	128	257750	31520	840	0	766	290	0	0	0	0	0	0	0
258	1	258	129	258380	31595	844	0	770	290	0	0	0	0	0	0	0
259	1	259	129	259000	31670	846	0	772	290	0	0	0	0	0	0	0
260	1	260	130	260100	31790	850	0	774	290	260	1300	1300	1300	1300	1300	1300
261	1	261	130	261200	31905	852	0	778	290	0	0	0	0	0	0	0
262	1	262	131	261820	31980	856	0	780	300	0	0	0	0	0	0	0
263	1	263	131	262430	32060	858	0	782	300	0	0	0	0	0	0	0
264	1	264	132	263060	32135	862	0	786	300	0	0	0	0	0	0	0
265	1	265	132	263690	32210	866	0	788	300	0	0	0	0	0	0	0
266	1	266	133	264440	32355	868	0	790	300	0	0	0	0	0	0	0
267	1	267	133	265200	32500	872	0	794	300	0	0	0	0	0	0	0
268	1	268	134	265830	32575	874	0	796	300	0	0	0	0	0	0	0
269	1	269	134	266460	32650	878	0	798	300	0	0	0	0	0	0	0
270	1	270	135	267080	32725	882	0	802	300	270	1350	1350	1350	1350	1350	1350
271	1	271	135	267690	32800	884	0	804	310	0	0	0	0	0	0	0
272	1	272	136	268790	32920	888	0	806	310	0	0	0	0	0	0	0
273	1	273	136	269900	33040	890	0	810	310	0	0	0	0	0	0	0
274	1	274	137	270530	33115	894	0	812	310	0	0	0	0	0	0	0
275	1	275	137	271150	33190	896	0	814	310	0	0	0	0	0	0	0
276	1	276	138	271770	33265	900	0	818	310	0	0	0	0	0	0	0
277	1	277	138	272390	33345	904	0	820	310	0	0	0	0	0	0	0
278	1	278	139	273020	33420	906	0	822	310	0	0	0	0	0	0	0
279	1	279	139	273650	33495	910	0	826	310	0	0	0	0	0	0	0
280	1	280	140	274270	33570	912	0	828	320	280	1400	1400	1400	1400	1400	1400
281	1	281	140	274890	33645	916	0	830	320	0	0	0	0	0	0	0
282	1	282	141	277890	34015	920	0	834	320	0	0	0	0	0	0	0
283	1	283	141	280890	34380	922	0	836	320	0	0	0	0	0	0	0
284	1	284	142	281520	34455	926	0	838	320	0	0	0	0	0	0	0
285	1	285	142	282150	34530	928	0	842	320	0	0	0	0	0	0	0
286	1	286	143	283260	34650	932	0	844	320	0	0	0	0	0	0	0
287	1	287	143	284360	34770	934	0	846	320	0	0	0	0	0	0	0
288	1	288	144	284990	34845	938	0	850	320	0	0	0	0	0	0	0
289	1	289	144	285630	34920	942	0	852	330	0	0	0	0	0	0	0
290	1	290	145	286440	35610	944	0	854	330	290	1450	1450	1450	1450	1450	1450
291	1	291	145	287250	36300	948	0	856	330	0	0	0	0	0	0	0
292	1	292	146	287870	36380	950	0	860	330	0	0	0	0	0	0	0
293	1	293	146	288490	36460	954	0	862	330	0	0	0	0	0	0	0
294	1	294	147	289130	36540	956	0	866	330	0	0	0	0	0	0	0
295	1	295	147	289760	36615	960	0	868	330	0	0	0	0	0	0	0
296	1	296	148	290380	36695	964	0	870	330	0	0	0	0	0	0	0
297	1	297	148	291010	36775	966	0	872	330	0	0	0	0	0	0	0
298	1	298	149	291640	36855	970	0	876	340	0	0	0	0	0	0	0
299	1	299	149	292280	36930	972	0	878	340	0	0	0	0	0	0	0
300	1	300	150	294910	37055	976	0	882	340	300	1500	1500	1500	1500	1500	1500
301	1	301	150	297550	37180	978	0	884	340	0	0	0	0	0	0	0
302	1	302	151	299250	37425	982	0	886	340	0	0	0	0	0	0	0
303	1	303	151	300960	37675	986	0	888	340	0	0	0	0	0	0	0
304	1	304	152	301520	37745	988	0	892	340	0	0	0	0	0	0	0
305	1	305	152	302090	37815	992	0	894	340	0	0	0	0	0	0	0
306	1	306	153	302650	37885	994	0	898	340	0	0	0	0	0	0	0
307	1	307	153	303210	37955	998	0	900	350	0	0	0	0	0	0	0
308	1	308	154	304230	38080	1002	0	902	350	0	0	0	0	0	0	0
309	1	309	154	305240	38205	1004	0	904	350	0	0	0	0	0	0	0
310	1	310	155	308450	38600	1008	0	912	350	310	1550	1550	1550	1550	1550	1550
311	1	311	155	311660	39000	1010	0	918	350	0	0	0	0	0	0	0
312	1	312	156	312220	39070	1014	0	920	350	0	0	0	0	0	0	0
313	1	313	156	312790	39140	1016	0	924	350	0	0	0	0	0	0	0
314	1	314	157	313840	39255	1020	0	926	350	0	0	0	0	0	0	0
315	1	315	157	314890	39370	1024	0	928	350	0	0	0	0	0	0	0
316	1	316	158	320760	39555	1026	0	932	360	0	0	0	0	0	0	0
317	1	317	158	326620	39740	1030	0	934	360	0	0	0	0	0	0	0
318	1	318	159	327300	39825	1032	0	938	360	0	0	0	0	0	0	0
319	1	319	159	327970	39910	1036	0	940	360	0	0	0	0	0	0	0
320	1	320	160	328660	39990	1038	0	942	360	320	1600	1600	1600	1600	1600	1600
321	1	321	160	329350	40070	1042	0	944	360	0	0	0	0	0	0	0
322	1	322	161	330030	40155	1046	0	948	360	0	0	0	0	0	0	0
323	1	323	161	330700	40240	1048	0	950	360	0	0	0	0	0	0	0
324	1	324	162	331400	40320	1052	0	954	360	0	0	0	0	0	0	0
325	1	325	162	332090	40405	1054	0	956	370	0	0	0	0	0	0	0
326	1	326	163	333530	40755	1058	0	958	370	0	0	0	0	0	0	0
327	1	327	163	334980	41100	1060	0	960	370	0	0	0	0	0	0	0
328	1	328	164	335660	41185	1064	0	964	370	0	0	0	0	0	0	0
329	1	329	164	336330	41270	1068	0	966	370	0	0	0	0	0	0	0
330	1	330	165	337030	41350	1070	0	968	370	330	1650	1650	1650	1650	1650	1650
331	1	331	165	337720	41435	1074	0	970	370	0	0	0	0	0	0	0
332	1	332	166	338400	41520	1076	0	974	370	0	0	0	0	0	0	0
333	1	333	166	339080	41605	1080	0	976	370	0	0	0	0	0	0	0
334	1	334	167	339770	41740	1084	0	984	380	0	0	0	0	0	0	0
335	1	335	167	340460	41875	1086	0	992	380	0	0	0	0	0	0	0
336	1	336	168	341140	41960	1090	0	994	380	0	0	0	0	0	0	0
337	1	337	168	341820	42045	1092	0	998	380	0	0	0	0	0	0	0
338	1	338	169	345490	42700	1096	0	1000	380	0	0	0	0	0	0	0
339	1	339	169	349150	43355	1098	0	1002	380	0	0	0	0	0	0	0
340	1	340	170	350600	43505	1102	0	1006	380	340	1700	1700	1700	1700	1700	1700
341	1	341	170	352060	43655	1104	0	1008	380	0	0	0	0	0	0	0
342	1	342	171	353030	43845	1108	0	1010	380	0	0	0	0	0	0	0
343	1	343	171	354010	44035	1112	0	1014	390	0	0	0	0	0	0	0
344	1	344	172	354710	44120	1114	0	1016	390	0	0	0	0	0	0	0
345	1	345	172	355410	44205	1118	0	1018	390	0	0	0	0	0	0	0
346	1	346	173	356090	44290	1120	0	1022	390	0	0	0	0	0	0	0
347	1	347	173	356770	44375	1124	0	1024	390	0	0	0	0	0	0	0
348	1	348	174	357470	44460	1128	0	1026	390	0	0	0	0	0	0	0
349	1	349	174	358170	44545	1130	0	1028	390	0	0	0	0	0	0	0
350	1	350	175	358850	44630	1134	0	1032	390	350	1750	1750	1750	1750	1750	1750
351	1	351	175	359540	44715	1136	0	1034	390	0	0	0	0	0	0	0
352	1	352	176	405410	48565	1140	0	1042	400	0	0	0	0	0	0	0
353	1	353	176	451280	52410	1142	0	1050	400	0	0	0	0	0	0	0
354	1	354	177	455170	52580	1146	0	1052	400	0	0	0	0	0	0	0
355	1	355	177	459060	52745	1150	0	1054	400	0	0	0	0	0	0	0
356	1	356	178	459950	52845	1152	0	1058	400	0	0	0	0	0	0	0
357	1	357	178	460840	52945	1156	0	1060	400	0	0	0	0	0	0	0
358	1	358	179	461750	53050	1158	0	1064	400	0	0	0	0	0	0	0
359	1	359	179	462660	53150	1162	0	1066	400	0	0	0	0	0	0	0
360	1	360	180	463560	53255	1166	0	1068	400	360	1800	1800	1800	1800	1800	1800
361	1	361	180	464450	53355	1168	0	1070	410	0	0	0	0	0	0	0
362	1	362	181	464710	53470	1172	0	1074	410	0	0	0	0	0	0	0
363	1	363	181	464970	53585	1174	0	1076	410	0	0	0	0	0	0	0
364	1	364	182	465740	53675	1178	0	1080	410	0	0	0	0	0	0	0
365	1	365	182	466510	53760	1180	0	1082	410	0	0	0	0	0	0	0
366	1	366	183	470520	54240	1184	0	1084	410	0	0	0	0	0	0	0
367	1	367	183	474540	54720	1188	0	1086	410	0	0	0	0	0	0	0
368	1	368	184	476790	55030	1190	0	1090	410	0	0	0	0	0	0	0
369	1	369	184	479040	55335	1194	0	1092	410	0	0	0	0	0	0	0
370	1	370	185	479810	55420	1196	0	1094	420	370	1850	1850	1850	1850	1850	1850
371	1	371	185	480580	55510	1200	0	1098	420	0	0	0	0	0	0	0
372	1	372	186	481350	55595	1204	0	1100	420	0	0	0	0	0	0	0
373	1	373	186	482120	55685	1206	0	1102	420	0	0	0	0	0	0	0
374	1	374	187	483030	55790	1210	0	1106	420	0	0	0	0	0	0	0
375	1	375	187	483950	55890	1212	0	1108	420	0	0	0	0	0	0	0
376	1	376	188	484800	55990	1216	0	1112	420	0	0	0	0	0	0	0
377	1	377	188	485650	56085	1218	0	1114	420	0	0	0	0	0	0	0
