Id	AddConditionID	BehaviorType	BehaviorTypeValues	Reward	JumpType	JumpTypeValues
100060	0	0	null	null	1	100045
100061	0	9	1	null	4	null
100062	0	9	1	null	4	null
100063	0	9	1	null	4	null
100064	0	0	null	null	1	null
100065	0	0	null	null	1	null
100066	0	0	null	null	1	null
100067	0	0	null	null	4	null
100068	0	0	null	null	4	null
100069	0	0	null	null	4	null
100070	0	0	null	null	1	100043
100071	0	0	null	null	1	null
100072	0	0	null	null	1	null
100073	0	0	null	null	1	null
100074	0	0	null	null	1	null
101001	0	0	null	null	1	101002
101002	0	35	101001|101#7#5#101002	null	4	null
101003	0	0	null	null	1	101003
101004	0	35	101001|101#7#5#101002	null	4	null
101005	0	0	null	null	1	101004
101006	0	35	101001|101#7#5#101002	null	4	null
101007	0	0	null	null	1	101005
101008	0	35	101001|101#7#5#101002	null	4	null
101009	0	0	null	null	1	101006
101010	0	35	101001|101#7#5#101002	null	4	null
101011	0	0	null	null	1	101007
101012	0	35	101001|101#7#5#101002	null	4	null
101013	0	0	null	null	1	101008
101014	0	35	101001|101#7#5#101002	null	4	null
101015	0	0	null	null	1	101009
101016	0	35	101001|101#7#5#101002	null	4	null
101017	0	13	2	null	1	101010
101018	0	35	101001|101#7#5#101002	null	4	null
101019	0	0	null	null	1	101011
101020	0	17	101001|101#7#5#101002	null	4	null
101021	0	17	101001|101#7#5#101002	null	4	null
101022	0	17	101001|101#7#5#101002	null	4	null
101023	0	0	null	null	1	101013
101024	0	0	null	null	1	101015
101025	0	0	null	null	1	101014
101026	0	0	null	null	1	101015
101027	0	0	null	null	1	101015
101028	0	0	null	null	1	101015
101029	0	1	10101	null	1	101016
101030	0	32	10101#101002|101#2#15#101004|101#11#9#101003	null	4	null
101031	0	0	null	null	1	101017
101032	0	35	101002|101#2#15#101004|101#11#9#101003	null	4	null
101033	0	11	2|101#2#15#101004	null	1	101018
101034	0	35	101002|101#2#15#101004|101#11#9#101003	null	4	null
101035	0	0	null	null	1	101019
101036	0	17	101002|101#2#15#101004|101#11#9#101003	null	4	null
101037	0	0	null	null	1	101020
101038	0	17	101002|101#2#15#101004|101#11#9#101003	null	4	null
101039	0	0	null	null	1	101021
101040	0	17	101002|101#2#15#101004|101#11#9#101003	null	4	null
101041	0	0	null	null	1	101022
101042	0	17	101002|101#2#15#101004|101#11#9#101003	null	4	null
101043	0	17	101002|101#2#15#101004|101#11#9#101003	null	4	null
101044	0	17	101002|101#2#15#101004|101#11#9#101003	null	4	null
101045	0	0	null	null	1	101024
101046	0	35	101003|101#6#18#101006|101#2#10#101006	null	4	null
101047	0	0	null	null	1	101025
101048	0	35	101003|101#6#18#101006|101#2#10#101006	null	4	null
101049	0	0	null	null	1	101026
101050	0	35	101003|101#6#18#101006|101#2#10#101006	null	4	null
101051	0	0	null	null	1	101027
101052	0	35	101003|101#6#18#101006|101#2#10#101006	null	4	null
101053	0	0	null	null	1	101028
101054	0	35	101003|101#6#18#101006|101#2#10#101006	null	4	null
101055	0	0	null	null	1	101029
101056	0	35	101003|101#6#18#101006|101#2#10#101006	null	4	null
101057	0	13	2	null	1	101030
101058	0	35	101003|101#6#18#101006|101#2#10#101006	null	4	null
101059	0	0	null	null	1	101031
101060	0	17	101003|101#6#18#101006|101#2#10#101006	null	4	null
101061	0	17	101003|101#6#18#101006|101#2#10#101006	null	4	null
101062	0	17	101003|101#6#18#101006|101#2#10#101006	null	4	null
101063	0	0	null	null	1	101033
101064	0	0	null	null	1	101033
101065	0	1	10102	null	1	101034
101066	0	20	10102#101004	null	4	null
101067	0	0	null	null	1	101035
101068	0	15	101004	null	4	null
101069	0	0	null	null	1	101036
101070	0	15	101004	null	4	null
101071	0	0	null	null	1	101037
101072	0	15	101004	null	4	null
101073	0	0	null	null	1	101038
101074	0	15	101004	null	4	null
101075	0	15	101004	null	4	null
101076	0	15	101004	null	4	null
101077	0	0	null	null	1	101040
101078	0	9	2	null	4	null
101079	0	0	null	null	1	101041
101080	0	9	2	null	4	null
101081	0	6	2	null	1	101055
101082	0	9	2	null	4	null
101083	0	0	null	null	1	101043
101084	0	9	2	null	4	null
101085	0	0	null	null	1	101044
101086	0	9	2	null	4	null
101087	0	0	null	null	1	101045
101088	0	9	2	null	4	null
101089	0	0	null	null	1	101046
101090	0	9	2	null	4	null
101091	0	9	2	null	4	null
101092	0	9	2	null	4	null
101093	0	1	10103	null	1	101048
101094	0	32	10103#101006|101#11#9#101005	null	4	null
101095	0	35	101006|101#11#9#101005	null	4	null
101096	0	35	101006|101#11#9#101005	null	4	null
101097	0	15	101008	40001	4	null
101098	0	15	101009	40001	4	null
101099	0	15	101010	40001	4	null
101100	0	15	101011	40001	4	null
101101	0	15	101012	40001	4	null
101102	0	0	null	null	1	101042
101103	0	9	2	null	4	null
101104	0	0	null	null	1	101057
101105	0	0	null	null	1	101059
101106	0	0	null	null	1	101058
101107	0	0	null	null	1	101059
101108	0	0	null	null	1	101059
101109	0	0	null	null	1	101059
101110	0	15	101014	55013	4	null
101111	0	15	101014	55012	4	null
101112	0	15	101015	40001	4	null
101113	0	15	101018	40001	4	null
101114	0	1	10104	null	4	null
101115	0	0	null	null	4	null
102001	0	0	null	null	1	102002
102002	0	0	null	null	1	102082
102003	0	0	null	null	1	102003
102004	0	0	null	null	4	102082
102005	0	0	null	null	1	102004
102006	0	0	null	null	1	102082
102007	0	0	null	null	1	102005
102008	0	0	null	null	1	102082
102009	0	0	null	null	1	102006
102010	0	0	null	null	1	102082
102011	0	0	null	null	1	102007
102012	0	0	null	null	1	102082
102013	0	0	null	null	1	102008
102014	0	0	null	null	1	102082
102015	0	0	null	null	1	102009
102016	0	0	null	null	1	102082
102017	0	0	null	null	1	102010
102018	0	0	null	null	1	102082
102019	0	0	null	null	1	102011
102020	0	0	null	null	1	102082
102021	0	0	null	null	1	102082
102022	0	0	null	null	1	102082
102023	0	0	null	null	1	102013
102024	0	35	102001|102#14#20#102002	null	4	null
102025	0	0	null	null	1	102014
102026	0	35	102001|102#14#20#102002	null	4	null
102027	0	0	null	null	1	102015
102028	0	35	102001|102#14#20#102002	null	4	null
102029	0	35	102001|102#14#20#102002	null	4	null
102030	0	35	102001|102#14#20#102002	null	4	null
102031	0	0	null	null	1	102017
102032	0	0	null	null	1	102018
102033	0	0	null	null	1	102018
102034	0	0	null	null	1	102018
102035	0	0	null	null	1	102019
102036	0	0	null	null	4	null
102037	0	0	null	null	1	102020
102038	0	0	null	null	1	102020
102039	0	1	10202	null	1	102021
102040	0	1	10202	null	1	102025
102041	0	0	null	null	1	102022
102042	0	0	null	null	1	102025
102043	0	0	null	null	1	102023
102044	0	0	null	null	1	102025
102045	0	0	null	null	1	102024
102046	0	0	null	null	1	102025
102047	0	0	null	null	1	102025
102048	0	0	null	null	1	102025
102049	0	0	null	null	1	102085
102050	0	0	null	null	4	null
102051	0	0	null	null	1	102027
102052	0	0	null	null	1	102041
102053	0	0	null	null	1	102028
102054	0	0	null	null	1	102041
102055	0	0	null	null	1	102029
102056	0	0	null	null	1	102041
102057	0	0	null	null	1	102030
102058	0	0	null	null	1	102041
102059	0	0	null	null	1	102031
102060	0	0	null	null	1	102041
102061	0	0	null	null	1	102032
102062	0	0	null	null	1	102041
102063	0	0	null	null	1	102033
102064	0	0	null	null	1	102041
102065	0	0	null	null	1	102034
102066	0	0	null	null	1	102041
102067	0	0	null	null	1	102035
102068	0	0	null	null	1	102041
102069	0	0	null	null	1	102036
102070	0	0	null	null	1	102041
102071	0	0	null	null	1	102037
102072	0	0	null	null	1	102041
102073	0	0	null	null	1	102038
102074	0	0	null	null	1	102041
102075	0	0	null	null	1	102039
102076	0	0	null	null	1	102041
102077	0	0	null	null	1	102040
102078	0	0	null	null	1	102041
102079	0	0	null	null	1	102041
102080	0	0	null	null	1	102041
102081	0	0	null	null	1	102042
102082	0	0	null	null	1	102061
102083	0	0	null	null	1	102043
102084	0	0	null	null	1	102045
102085	0	0	null	null	1	102086
102086	0	0	null	null	1	102045
102087	0	0	null	null	1	102045
102088	0	0	null	null	1	102045
102089	0	41	10204	null	3	102046#102135|1#10000
102090	0	32	10204#102002|102#7#9#102003	null	4	null
102091	0	0	null	null	1	102047
102092	0	35	102002|102#7#9#102003	null	4	null
102093	0	0	null	null	1	102048
102094	0	35	102002|102#7#9#102003	null	4	null
102095	0	0	null	null	1	102049
102096	0	35	102002|102#7#9#102003	null	4	null
102097	0	0	null	null	1	102050
102098	0	35	102002|102#7#9#102003	null	4	null
102099	0	0	null	null	1	102051
102100	0	35	102002|102#7#9#102003	null	4	null
102101	0	0	null	null	1	102052
102102	0	35	102002|102#7#9#102003	null	4	null
102103	0	0	null	null	1	102053
102104	0	35	102002|102#7#9#102003	null	4	null
102105	0	35	102002|102#7#9#102003	null	4	null
102106	0	35	102002|102#7#9#102003	null	4	null
102107	0	0	null	null	1	102055
102108	0	36	102003|1520#1	null	4	102055
102109	0	2	1520#1	null	1	102087
102110	0	36	102003|1520#1	null	4	null
102111	0	0	null	null	1	102057
102112	0	9	3	null	4	null
102113	0	0	null	null	1	102058
102114	0	9	3	null	4	null
102115	0	0	null	null	1	102059
102116	0	9	3	null	4	null
102117	0	0	null	null	1	102060
102118	0	9	3	null	4	null
102119	0	9	3	null	4	null
102120	0	9	3	null	4	null
102121	0	0	null	null	1	102062
102122	0	30	102#17#13#102005	null	6	102064
102123	0	0	null	null	1	102063
102124	0	30	102#17#13#102005	null	6	102064
102125	0	30	102#17#13#102005	null	6	102064
102126	0	30	102#17#13#102005	null	6	102064
102127	0	0	null	null	1	102065
102128	0	0	null	null	1	102065
102129	10201	2	1521#10|1522#10	null	1	102066
102130	10202	2	1521#10	null	1	102088
102131	0	0	null	null	1	102067
102132	0	0	null	null	1	102071
102133	0	0	null	null	1	102068
102134	0	0	null	null	1	102071
102135	0	0	null	null	1	102069
102136	0	0	null	null	1	102071
102137	0	0	null	null	1	102070
102138	0	0	null	null	1	102071
102139	0	0	null	null	1	102071
102140	0	0	null	null	1	102071
102141	0	1	10205	null	1	102072
102142	0	32	10205#102002|102#7#9#102003	null	4	null
102143	0	0	null	null	1	102073
102144	0	35	102002|102#7#9#102003	null	4	null
102145	0	0	null	null	1	102074
102146	0	35	102002|102#7#9#102003	null	4	null
102147	0	0	null	null	1	102075
102148	0	35	102002|102#7#9#102003	null	4	null
102149	0	0	null	null	1	102076
102150	0	35	102002|102#7#9#102003	null	4	null
102151	0	35	102002|102#7#9#102003	null	4	null
102152	0	35	102002|102#7#9#102003	null	4	null
102153	0	15	102005	55002	4	null
102154	0	15	102006	55002	4	null
102155	0	15	102007	55002	4	null
102156	0	15	102008	55002	4	null
102157	0	1	10201	null	1	102083
102158	0	0	null	null	4	null
102159	0	0	null	null	1	102084
102160	0	35	102001|102#14#20#102002	null	4	null
102161	0	0	null	null	1	102012
102162	0	35	102001|102#14#20#102002	null	4	null
102163	0	1	10203	null	1	102026
102164	0	1	10203	null	1	102041
102165	0	0	null	null	1	102044
102166	0	0	null	null	1	102045
102167	0	0	null	null	1	102056
102168	0	9	3	null	4	null
102169	0	0	null	null	4	null
102170	0	0	null	null	1	102089
102171	0	0	null	null	1	102094
102172	0	0	null	null	1	102090
102173	0	0	null	null	1	102094
102174	0	0	null	null	1	102091
102175	0	0	null	null	1	102094
102176	0	0	null	null	1	102092
102177	0	0	null	null	1	102094
102178	0	0	null	null	1	102093
102179	0	0	null	null	1	102094
102180	0	0	null	null	1	102094
102181	0	0	null	null	1	102094
102182	0	1	10207	null	1	102095
102183	0	0	null	null	4	null
102184	0	0	null	null	1	102096
102185	0	35	102002|102#7#9#102010	null	4	null
102186	0	0	null	null	1	102097
102187	0	35	102002|102#7#9#102010	null	4	null
102188	0	0	null	null	1	102098
102189	0	35	102002|102#7#9#102010	null	4	null
102190	0	0	null	null	1	102099
102191	0	35	102002|102#7#9#102010	null	4	null
102192	0	0	null	null	1	102100
102193	0	35	102002|102#7#9#102010	null	4	null
102194	0	0	null	null	1	102101
102195	0	35	102002|102#7#9#102010	null	4	null
102196	0	0	null	null	1	102102
102197	0	35	102002|102#7#9#102010	null	4	null
102198	0	0	null	null	1	102103
102199	0	35	102002|102#7#9#102010	null	4	null
102200	0	0	null	null	1	102104
102201	0	35	102002|102#7#9#102010	null	4	null
102202	0	35	102002|102#7#9#102010	null	4	null
102203	0	35	102002|102#7#9#102010	null	4	null
102204	0	0	null	null	1	102106
102205	0	36	102003|1520#1	null	4	102106
102206	0	2	1520#1	null	1	102107
102207	0	36	102003|1520#1	null	1	102107
102208	0	0	null	null	1	102108
102209	0	9	3	null	4	null
102210	0	0	null	null	1	102109
102211	0	9	3	null	4	null
102212	0	0	null	null	1	102110
102213	0	9	3	null	4	null
102214	0	0	null	null	1	102111
102215	0	9	3	null	4	null
102216	0	0	null	null	1	102112
102217	0	9	3	null	4	null
102218	0	0	null	null	1	102113
102219	0	9	3	null	4	null
102220	0	0	null	null	1	102114
102221	0	9	3	null	4	null
102222	0	0	null	null	1	102115
102223	0	9	3	null	4	null
102224	0	9	3	null	4	null
102225	0	9	3	null	4	null
102226	0	0	null	null	1	102117
102227	0	0	null	null	1	102121
102228	0	0	null	null	1	102118
102229	0	0	null	null	1	102121
102230	0	0	null	null	1	102119
102231	0	0	null	null	1	102121
102232	0	0	null	null	1	102120
102233	0	0	null	null	1	102121
102234	0	0	null	null	1	102121
102235	0	0	null	null	1	102121
102236	10203	2	1522#6	null	1	102130
102237	0	0	null	null	0	null
102238	0	20	10208#102011	null	4	null
102239	0	0	null	null	6	102120
102240	0	15	102012	40002	4	null
102241	0	15	102013	40002	4	null
102242	0	15	102014	40002	4	null
102243	0	15	102015	40002	4	null
102244	0	15	102016	40002	4	null
102245	0	15	102017	40002	4	null
102246	0	0	null	null	1	102131
102247	0	0	null	null	1	102131
102248	10204	8	1	null	6	102120
102249	10205	8	2	null	1	102132
102250	0	0	null	null	6	102120
102251	0	0	null	null	6	102120
102252	0	0	null	null	1	102134
102253	0	0	null	null	1	102134
102254	0	20	10209#102007	null	4	null
102255	0	0	null	null	4	null
102256	0	0	null	null	1	102136
102257	0	0	null	null	1	102136
102258	0	0	null	null	1	102137
102259	0	0	null	null	1	102061
102260	0	41	10204	null	3	102046#102135|1#10000
102261	0	0	null	null	1	null
103001	0	0	null	null	1	103002
103002	0	0	null	null	1	103006
103003	0	0	null	null	1	103003
103004	0	0	null	null	1	103006
103005	0	0	null	null	1	103004
103006	0	0	null	null	1	103006
103007	0	0	null	null	1	103005
103008	0	0	null	null	1	103006
103009	0	0	null	null	1	103006
103010	0	0	null	null	1	103006
103011	0	1	10301	null	1	103007
103012	0	0	null	null	4	null
103013	0	0	null	null	1	103008
103014	0	11	4|103#6#4#103002	null	6	103070
103015	0	0	null	null	1	103009
103016	0	11	4|103#6#4#103002	null	6	103070
103017	0	0	null	null	1	103010
103018	0	11	4|103#6#4#103002	null	6	103070
103019	0	0	null	null	1	103011
103020	0	11	4|103#6#4#103002	null	6	103070
103021	0	0	null	null	1	103012
103022	0	11	4|103#6#4#103002	null	6	103070
103023	0	0	null	null	1	103013
103024	0	11	4|103#6#4#103002	null	6	103070
103025	0	0	null	null	1	103014
103026	0	11	4|103#6#4#103002	null	6	103070
103027	0	0	null	null	1	103015
103028	0	11	4|103#6#4#103002	null	6	103070
103029	0	11	4|103#6#4#103002	null	6	103070
103030	0	11	4|103#6#4#103002	null	6	103070
103031	0	0	null	null	1	103017
103032	0	0	null	null	1	103017
103033	0	1	10302	null	1	103018
103034	0	0	null	null	4	null
103035	0	0	null	null	1	103019
103036	0	0	null	null	1	103021
103037	0	0	null	null	1	103020
103038	0	0	null	null	1	103021
103039	0	0	null	null	1	103021
103040	0	0	null	null	1	103021
103041	0	1	10303	null	1	103022
103042	0	32	10303#103002|103#3#12#103003	null	4	null
103043	0	0	null	null	1	103023
103044	0	35	103002|103#3#12#103003	null	4	null
103045	0	35	103002|103#3#12#103003	null	4	null
103046	0	35	103002|103#3#12#103003	null	4	null
103047	0	0	null	null	1	103025
103048	0	0	null	null	1	103026
103049	0	0	null	null	1	103026
103050	0	0	null	null	1	103026
103051	0	1	10304	null	1	103027
103052	0	0	null	null	4	null
103053	0	0	null	null	1	103028
103054	0	35	103003|103#6#4#103004	null	4	null
103055	0	0	null	null	1	103029
103056	0	35	103003|103#6#4#103004	null	4	null
103057	0	0	null	null	1	103030
103058	0	35	103003|103#6#4#103004	null	4	null
103059	0	0	null	null	1	103031
103060	0	35	103003|103#6#4#103004	null	4	null
103061	0	0	null	null	1	103032
103062	0	35	103003|103#6#4#103004	null	4	null
103063	0	0	null	null	1	103033
103064	0	35	103003|103#6#4#103004	null	4	null
103065	0	35	103003|103#6#4#103004	null	4	null
103066	0	35	103003|103#6#4#103004	null	4	null
103067	0	0	null	null	1	103035
103068	0	0	null	null	1	103036
103069	0	0	null	null	1	103036
103070	0	0	null	null	1	103036
103071	0	1	10305	null	1	103037
103072	0	1	10305	null	1	103037
103073	0	30	103#12#13#103013	null	1	103038
103074	0	30	103#12#13#103013	null	1	103038
103075	0	35	103004|103#6#5#103011|103#10#12#103012	null	4	null
103076	0	0	null	null	4	null
103077	0	0	null	null	1	103040
103078	0	35	103004|103#11#5#103005	null	4	null
103079	0	0	null	null	1	103041
103080	0	35	103004|103#11#5#103005	null	4	null
103081	0	0	null	null	1	103042
103082	0	35	103004|103#11#5#103005	null	4	null
103083	0	0	null	null	1	103043
103084	0	35	103004|103#11#5#103005	null	4	null
103085	0	0	null	null	1	103044
103086	0	35	103004|103#11#5#103005	null	4	null
103087	0	0	null	null	1	103045
103088	0	35	103004|103#11#5#103005	null	4	null
103089	0	0	null	null	1	103046
103090	0	35	103004|103#11#5#103005	null	4	null
103091	0	35	103004|103#11#5#103005	null	4	null
103092	0	35	103004|103#11#5#103005	null	4	null
103093	0	0	null	null	1	103048
103094	0	0	null	null	1	103050
103095	0	0	null	null	1	103049
103096	0	0	null	null	1	103050
103097	0	0	null	null	1	103050
103098	0	0	null	null	1	103050
103099	10301	2	14#50000	55004	1	103051
103100	0	0	null	null	1	103062
103101	0	0	null	null	1	103052
103102	0	9	4	null	4	null
103103	0	0	null	null	1	103053
103104	0	9	4	null	4	null
103105	0	0	null	null	1	103054
103106	0	9	4	null	4	null
103107	0	0	null	null	1	103055
103108	0	9	4	null	4	null
103109	0	0	null	null	1	103056
103110	0	9	4	null	4	null
103111	0	0	null	null	1	103057
103112	0	9	4	null	4	null
103113	0	0	null	null	1	103058
103114	0	9	4	null	4	null
103115	0	0	null	null	1	103059
103116	0	9	4	null	4	null
103117	0	0	null	null	1	103060
103118	0	9	4	null	4	null
103119	0	0	null	null	1	103061
103120	0	9	4	null	4	null
103121	0	9	4	null	4	null
103122	0	9	4	null	4	null
103123	0	0	null	null	1	103063
103124	0	9	4	null	4	null
103125	0	0	null	null	1	103064
103126	0	9	4	null	4	null
103127	0	0	null	null	1	103065
103128	0	9	4	null	4	null
103129	0	9	4	null	4	null
103130	0	9	4	null	4	null
103131	0	15	103008	40003	4	null
103132	0	15	103009	40003	4	null
103133	0	15	103010	40003	4	null
103134	0	0	null	null	1	103071
103135	0	0	null	null	1	103071
103136	10302	0	null	null	1	103047
103137	0	0	null	null	4	null
103138	0	0	null	null	1	103073
103139	0	0	null	null	1	103075
103140	0	0	null	null	1	103074
103141	0	0	null	null	1	103075
103142	0	0	null	null	1	103075
103143	0	0	null	null	1	103075
103144	0	1	10307	null	1	103076
103145	0	0	null	null	4	null
103146	0	0	null	null	1	103077
103147	0	13	4	null	1	103088
103148	0	0	null	null	1	103078
103149	0	13	4	null	1	103088
103150	0	0	null	null	1	103079
103151	0	13	4	null	1	103088
103152	0	0	null	null	1	103080
103153	0	13	4	null	1	103088
103154	0	0	null	null	1	103081
103155	0	13	4	null	1	103088
103156	0	0	null	null	1	103082
103157	0	13	4	null	1	103088
103158	0	0	null	null	1	103083
103159	0	13	4	null	1	103088
103160	0	0	null	null	1	103084
103161	0	13	4	null	1	103088
103162	0	0	null	null	1	103085
103163	0	13	4	null	1	103088
103164	0	13	4	null	1	103086
103165	0	13	4	null	1	103088
103166	0	0	null	null	1	103087
103167	0	0	null	null	1	103088
103168	0	0	null	null	1	103088
103169	0	0	null	null	1	103088
103170	10306	6	1	40003#40003	1	103093
103171	10307	6	1	52	1	103093
103172	10308	6	1	null	1	103089
103173	0	0	null	null	1	103090
103174	0	0	null	null	1	103090
103175	0	1	10308	null	1	103091
103176	0	0	null	null	4	null
103177	0	0	null	null	1	103092
103178	0	15	103013	null	4	null
103179	0	0	null	null	1	103093
103180	0	15	103013	null	4	null
103181	0	15	103013	null	4	null
103182	0	15	103013	null	4	null
103183	0	0	null	null	1	103095
103184	0	0	null	null	1	103095
103185	0	5	103#10#12	null	6	103094
103186	0	0	null	null	6	103094
103187	0	0	null	null	1	103097
103188	0	0	null	null	1	103097
103189	0	5	103#6#5	null	4	null
103190	0	0	null	null	4	null
103191	0	0	null	null	1	103100
103192	0	0	null	null	1	103100
103193	10303	34	3#103015	null	4	null
103194	0	0	null	null	4	null
103195	0	0	null	null	1	103102
103196	0	0	null	null	1	103102
103197	10304	34	4#103016	null	4	null
103198	0	0	null	null	4	null
103199	0	0	null	null	1	103104
103200	0	0	null	null	1	103104
103201	10305	34	5#103017	null	4	null
103202	0	0	null	null	4	null
104001	0	0	null	null	1	104002
104002	0	0	null	null	1	104004
104003	0	0	null	null	1	104003
104004	0	0	null	null	1	104004
104005	0	0	null	null	1	104004
104006	0	0	null	null	1	104004
104007	0	1	10401	null	1	104005
104008	0	0	null	null	4	null
104009	0	0	null	null	1	104006
104010	0	35	104001|104#6#18#104002|104#18#8#104003|104#4#5#104012	55021	4	null
104011	0	0	null	null	1	104007
104012	0	35	104001|104#6#18#104002|104#18#8#104003|104#4#5#104012	55021	4	null
104013	0	6	1	55021	1	104008
104014	0	35	104001|104#6#18#104002|104#18#8#104003|104#4#5#104012	55021	4	null
104015	0	0	null	null	1	104009
104016	0	35	104001|104#6#18#104002|104#18#8#104003|104#4#5#104012	null	4	null
104017	0	6	2	null	1	104010
104018	0	35	104001|104#6#18#104002|104#18#8#104003|104#4#5#104012	null	4	null
104019	0	35	104001|104#6#18#104002|104#18#8#104003|104#4#5#104012	null	4	null
104020	0	35	104001|104#6#18#104002|104#18#8#104003|104#4#5#104012	null	4	null
104021	0	0	null	null	1	104012
104022	0	0	null	null	1	104014
104023	0	0	null	null	1	104013
104024	0	0	null	null	1	104014
104025	0	0	null	null	1	104014
104026	0	0	null	null	1	104014
104027	0	6	1	null	1	104015
104028	0	6	1	null	1	104019
104029	0	0	null	null	4	null
104030	0	0	null	null	1	104016
104031	0	0	null	null	1	104017
104032	0	0	null	null	1	104017
104033	0	0	null	null	1	104017
104034	0	1	10402	null	1	104018
104035	0	0	null	null	4	null
104036	0	9	5	55022	4	null
104037	0	9	5	55022	4	null
104038	0	0	null	null	1	104020
104039	0	0	null	null	1	104020
104040	0	6	1	3001#55022	1	104021
104041	0	0	null	null	4	null
104042	0	9	5	null	4	null
104043	0	9	5	null	4	null
104044	0	0	null	null	1	104023
104045	0	0	null	null	1	104025
104046	0	0	null	null	1	104024
104047	0	0	null	null	1	104025
104048	0	0	null	null	1	104025
104049	0	0	null	null	1	104025
104050	0	1	10403	null	1	104026
104051	0	0	null	null	4	null
104052	0	0	null	null	1	104027
104053	0	0	null	null	1	104027
104054	0	6	2	null	1	104028
104055	0	0	null	null	4	null
104056	0	0	null	null	1	104029
104057	0	9	5	55022	4	null
104058	0	0	null	null	1	104031
104059	0	9	5	55022	4	null
104060	0	0	null	null	1	null
104061	0	0	null	null	1	null
104062	0	0	null	null	1	104032
104063	0	9	5	55022	4	null
104064	0	0	null	null	1	104033
104065	0	9	5	55022	4	null
104066	0	0	null	null	1	104034
104067	0	9	5	55022	4	null
104068	0	9	5	55022	4	null
104069	0	9	5	55022	4	null
104070	0	0	null	null	1	104055
104071	0	0	null	null	1	104055
104072	0	0	null	null	1	104051
104073	0	0	null	null	1	104052
104074	0	0	null	null	0	null
104075	0	0	null	null	0	null
104076	0	0	null	null	1	104039
104077	0	35	104005|104#8#15#104001	null	4	null
104078	0	35	104005|104#8#15#104001	null	4	null
104079	0	35	104005|104#8#15#104001	null	4	null
104080	0	15	104007	40004	4	null
104081	0	15	104008	40004	4	null
104082	0	15	104009	40004	4	null
104083	0	8	6	null	1	104050
104084	0	8	6	null	1	104050
104085	0	0	null	null	1	104046
104086	0	0	null	null	1	104046
104087	10403	0	null	null	2	104047#104048|60#40
104088	0	0	null	null	4	null
104089	0	1	10405	55020	1	104046
104090	0	1	10405	55020	1	104046
104091	0	6	1	55020	1	104046
104092	0	6	1	55020	1	104046
104093	0	0	null	null	0	null
104094	0	0	null	null	0	null
104095	0	0	null	null	1	104054
104096	0	0	null	null	1	104054
104097	0	0	null	null	1	104052
104098	0	0	null	null	1	104052
104099	0	1	10406	null	1	104053
104100	0	0	null	null	4	null
104101	0	9	5	40004#40004#53	4	null
104102	0	9	5	40004#40004#53	4	null
104103	10401	16	1527#15|104010	null	4	null
104104	0	0	null	null	4	null
104105	10402	6	1	null	1	104036
104106	0	0	null	null	4	null
105001	0	0	null	null	1	105002
105002	0	11	6|105#12#29#105004|105#17#10#105011|105#18#12#105013|105#19#10#105014	null	6	105070
105003	0	0	null	null	1	105137
105004	0	11	6|105#12#29#105004|105#17#10#105011|105#18#12#105013|105#19#10#105014	null	6	105070
105005	0	0	null	null	1	105004
105006	0	11	6|105#12#29#105004|105#17#10#105011|105#18#12#105013|105#19#10#105014	null	6	105070
105007	0	11	6|105#12#29#105004|105#17#10#105011|105#18#12#105013|105#19#10#105014	null	6	105070
