ID	SkillId	PassiveSkillId	Cost	ComonpentPreStage
611	500611	null	5#1320|6#11	11
612	500612	null	5#1440|6#14	12
613	500613	null	5#1560|6#17	13
614	500614	null	5#1680|6#20	14
615	500615	null	5#1800|6#23	15
616	500616	null	5#1920|6#26	16
617	500617	null	5#2040|6#29	17
618	500618	null	5#2160|6#32	18
619	500619	null	5#2280|6#35	19
620	500620	null	5#2400|6#38	20
701	500701	null	null	1
702	500702	null	5#240|6#1	2
703	500703	null	5#360|6#1	3
704	500704	null	5#480|6#2	4
705	500705	null	5#600|6#2	5
706	500706	null	5#720|6#3	6
707	500707	null	5#840|6#3	7
708	500708	null	5#960|6#4	8
709	500709	null	5#1080|6#5	9
710	500710	null	5#1200|6#8	10
711	500711	null	5#1320|6#11	11
712	500712	null	5#1440|6#14	12
713	500713	null	5#1560|6#17	13
714	500714	null	5#1680|6#20	14
715	500715	null	5#1800|6#23	15
716	500716	null	5#1920|6#26	16
717	500717	null	5#2040|6#29	17
718	500718	null	5#2160|6#32	18
719	500719	null	5#2280|6#35	19
720	500720	null	5#2400|6#38	20
801	500801	null	null	1
802	500802	null	5#240|6#1	2
803	500803	null	5#360|6#1	3
804	500804	null	5#480|6#2	4
805	500805	null	5#600|6#2	5
806	500806	null	5#720|6#3	6
807	500807	null	5#840|6#3	7
808	500808	null	5#960|6#4	8
809	500809	null	5#1080|6#5	9
810	500810	null	5#1200|6#8	10
811	500811	null	5#1320|6#11	11
812	500812	null	5#1440|6#14	12
813	500813	null	5#1560|6#17	13
814	500814	null	5#1680|6#20	14
815	500815	null	5#1800|6#23	15
816	500816	null	5#1920|6#26	16
817	500817	null	5#2040|6#29	17
818	500818	null	5#2160|6#32	18
819	500819	null	5#2280|6#35	19
820	500820	null	5#2400|6#38	20
901	500901	null	null	1
902	500902	null	5#240|6#1	2
903	500903	null	5#360|6#1	3
904	500904	null	5#480|6#2	4
905	500905	null	5#600|6#2	5
906	500906	null	5#720|6#3	6
907	500907	null	5#840|6#3	7
908	500908	null	5#960|6#4	8
909	500909	null	5#1080|6#5	9
910	500910	null	5#1200|6#8	10
911	500911	null	5#1320|6#11	11
912	500912	null	5#1440|6#14	12
913	500913	null	5#1560|6#17	13
914	500914	null	5#1680|6#20	14
915	500915	null	5#1800|6#23	15
916	500916	null	5#1920|6#26	16
917	500917	null	5#2040|6#29	17
918	500918	null	5#2160|6#32	18
919	500919	null	5#2280|6#35	19
920	500920	null	5#2400|6#38	20
1001	501001	null	null	1
1002	501002	null	5#400|6#2	2
1003	501003	null	5#600|6#2	3
1004	501004	null	5#800|6#3	4
1005	501005	null	5#1000|6#3	5
1006	501006	null	5#1200|6#4	6
1007	501007	null	5#1400|6#4	7
1008	501008	null	5#1600|6#6	8
1009	501009	null	5#1800|6#8	9
1010	501010	null	5#2000|6#12	10
1011	501011	null	5#2200|6#15	11
1012	501012	null	5#2400|6#18	12
1013	501013	null	5#2600|6#21	13
1014	501014	null	5#2800|6#25	14
1015	501015	null	5#3000|6#29	15
1016	501016	null	5#3200|6#33	16
1017	501017	null	5#3400|6#37	17
1018	501018	null	5#3600|6#41	18
1019	501019	null	5#3800|6#45	19
1020	501020	null	5#4000|6#50	20
