Id	propName	propDesc	propIcon
11062	6星体术克隆体		X1_icon_DNA
11063	6星魔法克隆体		X1_icon_DNA
11064	6星秩序克隆体		X1_icon_DNA
11065	6星混沌克隆体		X1_icon_DNA
11090	9星克隆体		X1_icon_6xingyingxiongsuipian
11091	9星机械克隆体		X1_icon_6xingyingxiongsuipian
11092	9星体术克隆体		X1_icon_6xingyingxiongsuipian
11093	9星魔法克隆体		X1_icon_6xingyingxiongsuipian
11094	9星秩序克隆体		X1_icon_6xingyingxiongsuipian
11095	9星混沌克隆体		X1_icon_6xingyingxiongsuipian
11100	究极克隆体		X1_icon_6xingyingxiongsuipian
11101	究极机械克隆体		X1_icon_6xingyingxiongsuipian
11102	究极体术克隆体		X1_icon_6xingyingxiongsuipian
11103	究极魔法克隆体		X1_icon_6xingyingxiongsuipian
11104	究极秩序克隆体		X1_icon_6xingyingxiongsuipian
11105	究极混沌克隆体		X1_icon_6xingyingxiongsuipian
1000106	莫扎特		X1_icon_mozhate
1000206	西蒙海耶		X1_icon_ximenghaiye
1000306	巴顿		X1_icon_badun
1000406	爱迪生		X1_icon_aidishen
1000506	德雷克		X1_icon_deleike
1000606	特斯拉		X1_icon_tesila
1000706	瓦特		X1_icon_wate
1000806	爱因斯坦		X1_icon_aiyinsitan
1000906	诺贝尔		X1_icon_nuobeier
1001006	丹妮莉丝		X1_icon_dannilisi
1001906	真田幸村		X1_icon_zhentianxincun
1002006	关羽		X1_icon_guanyu
1002106	亚历山大		X1_icon_yalishanda
1002206	拉拉		X1_icon_qiaodan
1002306	服部半藏		X1_icon_fububanzang
1002406	韩信		X1_icon_hanxin
1002506	李白		X1_icon_libai
1002606	阿喀琉斯		X1_icon_akaliusi
1002706	成吉思汗		X1_icon_chenjisihan
1003606	示巴女王		X1_icon_shiba
1003706	克娄帕特拉		X1_icon_aijiyanhou
1003806	贝奥武夫		X1_icon_beiaowufu
1003906	荷马		X1_icon_hema
1004006	拉斐尔		X1_icon_lafeier
1004106	赫拉克勒斯		X1_icon_helakelesi
1004206	但丁		X1_icon_danding
1004306	亚瑟		X1_icon_yase
1004406	薛定谔		X1_icon_xuedinge
1004506	格林		X1_icon_gelin
1004606	茜茜公主		X1_icon_xixigongzhu
1005706	赵云		X1_icon_zhaoyun
1005806	布伦谢尔德		X1_icon_bulunxieerde
1005906	海伦		X1_icon_hailun
1006006	南丁格尔		X1_icon_nandinggeer
1006106	凯撒		X1_icon_kaisa
1006206	赫克托耳		X1_icon_heketuoer
1006306	雅典娜		X1_icon_yadianna
1006406	李舜臣		X1_icon_lishunchen
1006506	贞德		X1_icon_zhende
1006606	瓦尔基里		X1_icon_waerjili
1007206	织田信长		X1_icon_zhitianxinchang
1007306	哈桑		X1_icon_hasang
1007406	布鲁图斯		X1_icon_bulutusi
1007506	所罗门		X1_icon_suoluomen
1007606	嬴政		X1_icon_yinzhen
1007906	卑弥呼		X1_icon_beimihu
1008006	白起		X1_icon_baiqi
1008106	弗拉德		X1_icon_fulade
1008206	明智光秀		X1_icon_mingzhiguangxiu
1008506	伊丽莎白		X1_icon_yilishabai
1001105	居里夫人		X1_icon_julifuren
1001205	俾斯麦		X1_icon_pisimai
1001305	弗兰肯斯坦		X1_icon_fulankensitan
1001405	亚森罗宾		X1_icon_yasenluobing
1001505	乔		X1_icon_qiao
1002805	威廉基德		X1_icon_weilianjide
1002905	佐罗		X1_icon_zuoluo
1003005	斯巴达		X1_icon_sibada
1003105	土方岁三		X1_icon_tufangsuisan
1003205	花木兰		X1_icon_huamulan
1004705	弗洛伊德		X1_icon_fuluoyide
1004805	雨果		X1_icon_yuguo
1004905	肖邦		X1_icon_xiaobang
1005005	玛利亚		X1_icon_maliya
1005105	唐吉坷德		X1_icon_tangjikede
1006705	帕里斯		X1_icon_palisi
1006805	拿破仑		X1_icon_napolun
1006905	哥白尼		X1_icon_gebaini
1007005	毕达哥拉斯		X1_icon_bidagelasi
1008605	血腥玛丽		X1_icon_xuexingmali
1008705	弑君者詹姆		X1_icon_zhanmu
1008805	开膛手杰克		X1_icon_kaitangshou
1008905	尼禄		X1_icon_nilu
1000809	爱因斯坦		X1_icon_aiyinsitan
1002309	服部半藏		X1_icon_fububanzang
1003909	荷马		X1_icon_hema
1006209	赫克托耳		X1_icon_heketuoer
1008509	伊丽莎白		X1_icon_yilishabai
70999	默认头像	默认头像	x1_icon_head_female
71000	默认头像	默认头像	x1_icon_head_male
71001	莫扎特	拥有莫扎特解锁	X1_icon_mozhate
71002	西蒙海耶	拥有西蒙海耶解锁	X1_icon_ximenghaiye
71003	巴顿	拥有巴顿解锁	X1_icon_badun
71004	爱迪生	拥有爱迪生解锁	X1_icon_aidishen
71005	德雷克	拥有德雷克解锁	X1_icon_deleike
71006	特斯拉	拥有特斯拉解锁	X1_icon_tesila
71007	瓦特	拥有瓦特解锁	X1_icon_wate
71008	爱因斯坦	拥有爱因斯坦解锁	X1_icon_aiyinsitan
71009	诺贝尔	拥有诺贝尔解锁	X1_icon_nuobeier
71010	丹妮莉丝	拥有丹妮莉丝解锁	X1_icon_dannilisi
71011	居里夫人	拥有居里夫人解锁	X1_icon_julifuren
71012	俾斯麦	拥有俾斯麦解锁	X1_icon_pisimai
71013	弗兰肯斯坦	拥有弗兰肯斯坦解锁	X1_icon_fulankensitan
71014	亚森罗宾	拥有亚森罗宾解锁	X1_icon_yasenluobing
71015	乔	拥有乔解锁	X1_icon_qiao
71016	胡克	拥有胡克解锁	X1_icon_huke
71017	嘻哈青年	拥有嘻哈青年解锁	X1_icon_xihaqingnian
71018	伐木工	拥有伐木工解锁	X1_icon_famugong
71019	真田幸村	拥有真田幸村解锁	X1_icon_zhentianxincun
71020	关羽	拥有关羽解锁	X1_icon_guanyu
71021	亚历山大	拥有亚历山大解锁	X1_icon_yalishanda
71022	拉拉	拥有拉拉解锁	X1_icon_qiaodan
71023	服部半藏	拥有服部半藏解锁	X1_icon_fububanzang
71024	韩信	拥有韩信解锁	X1_icon_hanxin
71025	李白	拥有李白解锁	X1_icon_libai
71026	阿喀琉斯	拥有阿喀琉斯解锁	X1_icon_akaliusi
71027	成吉思汗	拥有成吉思汗解锁	X1_icon_chenjisihan
71028	威廉基德	拥有威廉基德解锁	X1_icon_weilianjide
71029	佐罗	拥有佐罗解锁	X1_icon_zuoluo
71030	斯巴达	拥有斯巴达解锁	X1_icon_sibada
71031	土方岁三	拥有土方岁三解锁	X1_icon_tufangsuisan
71032	花木兰	拥有花木兰解锁	X1_icon_huamulan
71033	齐格飞	拥有齐格飞解锁	X1_icon_qigefei
71034	运动员	拥有运动员解锁	X1_icon_yundongyuan
71035	农夫	拥有农夫解锁	X1_icon_rongfu
71036	示巴女王	拥有示巴女王解锁	X1_icon_shiba
71037	克娄帕特拉	拥有克娄帕特拉解锁	X1_icon_aijiyanhou
71038	贝奥武夫	拥有贝奥武夫解锁	X1_icon_beiaowufu
71039	荷马	拥有荷马解锁	X1_icon_hema
71040	拉斐尔	拥有拉斐尔解锁	X1_icon_lafeier
71041	赫拉克勒斯	拥有赫拉克勒斯解锁	X1_icon_helakelesi
71042	但丁	拥有但丁解锁	X1_icon_danding
71043	亚瑟	拥有亚瑟解锁	X1_icon_yase
71044	薛定谔	拥有薛定谔解锁	X1_icon_xuedinge
71045	格林	拥有格林解锁	X1_icon_gelin
71046	茜茜公主	拥有茜茜公主解锁	X1_icon_xixigongzhu
71047	弗洛伊德	拥有弗洛伊德解锁	X1_icon_fuluoyide
71048	雨果	拥有雨果解锁	X1_icon_yuguo
71049	肖邦	拥有肖邦解锁	X1_icon_xiaobang
71050	玛利亚	拥有玛利亚解锁	X1_icon_maliya
71051	唐吉坷德	拥有唐吉坷德解锁	X1_icon_tangjikede
71052	海明威	拥有海明威解锁	X1_icon_haimingwei
71053	服务员	拥有服务员解锁	X1_icon_fuwuyuan
71054	护士	拥有护士解锁	X1_icon_hushi
71057	赵云	拥有赵云解锁	X1_icon_zhaoyun
71058	布伦谢尔德	拥有布伦谢尔德解锁	X1_icon_bulunxieerde
71059	海伦	拥有海伦解锁	X1_icon_hailun
71060	南丁格尔	拥有南丁格尔解锁	X1_icon_nandinggeer
71061	凯撒	拥有凯撒解锁	X1_icon_kaisa
71062	赫克托耳	拥有赫克托耳解锁	X1_icon_heketuoer
71063	雅典娜	拥有雅典娜解锁	X1_icon_yadianna
71064	李舜臣	拥有李舜臣解锁	X1_icon_lishunchen
71065	贞德	拥有贞德解锁	X1_icon_zhende
71066	瓦尔基里	拥有瓦尔基里解锁	X1_icon_waerjili
71067	帕里斯	拥有帕里斯解锁	X1_icon_palisi
71068	拿破仑	拥有拿破仑解锁	X1_icon_napolun
71069	哥白尼	拥有哥白尼解锁	X1_icon_gebaini
71070	毕达哥拉斯	拥有毕达哥拉斯解锁	X1_icon_bidagelasi
71071	罗宾汉	拥有罗宾汉解锁	X1_icon_luobinghan
71072	织田信长	拥有织田信长解锁	X1_icon_zhitianxinchang
71073	哈桑	拥有哈桑解锁	X1_icon_hasang
71074	布鲁图斯	拥有布鲁图斯解锁	X1_icon_bulutusi
71075	所罗门	拥有所罗门解锁	X1_icon_suoluomen
71076	嬴政	拥有嬴政解锁	X1_icon_yinzhen
71079	卑弥呼	拥有卑弥呼解锁	X1_icon_beimihu
71080	白起	拥有白起解锁	X1_icon_baiqi
71081	弗拉德	拥有弗拉德解锁	X1_icon_fulade
71082	明智光秀	拥有明智光秀解锁	X1_icon_mingzhiguangxiu
71085	伊丽莎白	拥有伊丽莎白解锁	X1_icon_yilishabai
71086	血腥玛丽	拥有血腥玛丽解锁	X1_icon_xuexingmali
71087	弑君者詹姆	拥有弑君者詹姆解锁	X1_icon_zhanmu
71088	开膛手杰克	拥有开膛手杰克解锁	X1_icon_kaitangshou
71089	尼禄	拥有尼禄解锁	X1_icon_nilu
71090	霍恩海姆	拥有霍恩海姆解锁	X1_icon_huoenhaimu
6000001	莫扎特碎片	用于合成莫扎特，集齐50个即可合成	X1_icon_mozhate
6000002	西蒙海耶碎片	用于合成西蒙海耶，集齐50个即可合成	X1_icon_ximenghaiye
6000003	巴顿碎片	用于合成巴顿，集齐50个即可合成	X1_icon_badun
6000004	爱迪生碎片	用于合成爱迪生，集齐50个即可合成	X1_icon_aidishen
6000005	德雷克碎片	用于合成德雷克，集齐50个即可合成	X1_icon_deleike
6000006	特斯拉碎片	用于合成特斯拉，集齐50个即可合成	X1_icon_tesila
6000007	瓦特碎片	用于合成瓦特，集齐50个即可合成	X1_icon_wate
6000008	爱因斯坦碎片	用于合成爱因斯坦，集齐50个即可合成	X1_icon_aiyinsitan
6000009	诺贝尔碎片	用于合成诺贝尔，集齐50个即可合成	X1_icon_nuobeier
6000010	丹妮莉丝碎片	用于合成丹妮莉丝，集齐50个即可合成	X1_icon_dannilisi
6000011	居里夫人碎片	用于合成居里夫人，集齐30个即可合成	X1_icon_julifuren
6000012	俾斯麦碎片	用于合成俾斯麦，集齐30个即可合成	X1_icon_pisimai
6000013	弗兰肯斯坦碎片	用于合成弗兰肯斯坦，集齐30个即可合成	X1_icon_fulankensitan
6000014	亚森罗宾碎片	用于合成亚森罗宾，集齐30个即可合成	X1_icon_yasenluobing
6000015	乔碎片	用于合成乔，集齐30个即可合成	X1_icon_qiao
6000016	胡克碎片	用于合成胡克，集齐20个即可合成	X1_icon_huke
6000017	嘻哈青年碎片	用于合成嘻哈青年，集齐10个即可合成	X1_icon_xihaqingnian
6000018	伐木工碎片	用于合成伐木工，集齐30个即可合成	X1_icon_famugong
6000019	真田幸村碎片	用于合成真田幸村，集齐50个即可合成	X1_icon_zhentianxincun
6000020	关羽碎片	用于合成关羽，集齐50个即可合成	X1_icon_guanyu
6000021	亚历山大碎片	用于合成亚历山大，集齐50个即可合成	X1_icon_yalishanda
6000022	拉拉碎片	用于合成拉拉，集齐50个即可合成	X1_icon_qiaodan
6000023	服部半藏碎片	用于合成服部半藏，集齐50个即可合成	X1_icon_fububanzang
6000024	韩信碎片	用于合成韩信，集齐50个即可合成	X1_icon_hanxin
6000025	李白碎片	用于合成李白，集齐50个即可合成	X1_icon_libai
6000026	阿喀琉斯碎片	用于合成阿喀琉斯，集齐50个即可合成	X1_icon_akaliusi
6000027	成吉思汗碎片	用于合成成吉思汗，集齐50个即可合成	X1_icon_chenjisihan
6000028	威廉基德碎片	用于合成威廉基德，集齐30个即可合成	X1_icon_weilianjide
6000029	佐罗碎片	用于合成佐罗，集齐30个即可合成	X1_icon_zuoluo
6000030	斯巴达碎片	用于合成斯巴达，集齐30个即可合成	X1_icon_sibada
6000031	土方岁三碎片	用于合成土方岁三，集齐30个即可合成	X1_icon_tufangsuisan
6000032	花木兰碎片	用于合成花木兰，集齐30个即可合成	X1_icon_huamulan
6000033	齐格飞碎片	用于合成齐格飞，集齐20个即可合成	X1_icon_qigefei
6000034	运动员碎片	用于合成运动员，集齐10个即可合成	X1_icon_yundongyuan
6000035	农夫碎片	用于合成农夫，集齐10个即可合成	X1_icon_rongfu
6000036	示巴女王碎片	用于合成示巴女王，集齐50个即可合成	X1_icon_shiba
6000037	克娄帕特拉碎片	用于合成克娄帕特拉，集齐50个即可合成	X1_icon_aijiyanhou
6000038	贝奥武夫碎片	用于合成贝奥武夫，集齐50个即可合成	X1_icon_beiaowufu
6000039	荷马碎片	用于合成荷马，集齐50个即可合成	X1_icon_hema
6000040	拉斐尔碎片	用于合成拉斐尔，集齐50个即可合成	X1_icon_lafeier
6000041	赫拉克勒斯碎片	用于合成赫拉克勒斯，集齐50个即可合成	X1_icon_helakelesi
6000042	但丁碎片	用于合成但丁，集齐50个即可合成	X1_icon_danding
6000043	亚瑟碎片	用于合成亚瑟，集齐50个即可合成	X1_icon_yase
6000044	薛定谔碎片	用于合成薛定谔，集齐50个即可合成	X1_icon_xuedinge
6000045	格林碎片	用于合成格林，集齐50个即可合成	X1_icon_gelin
6000046	茜茜公主碎片	用于合成茜茜公主，集齐50个即可合成	X1_icon_xixigongzhu
6000047	弗洛伊德碎片	用于合成弗洛伊德，集齐30个即可合成	X1_icon_fuluoyide
6000048	雨果碎片	用于合成雨果，集齐30个即可合成	X1_icon_yuguo
6000049	肖邦碎片	用于合成肖邦，集齐30个即可合成	X1_icon_xiaobang
6000050	玛利亚碎片	用于合成玛利亚，集齐30个即可合成	X1_icon_maliya
6000051	唐吉坷德碎片	用于合成唐吉坷德，集齐30个即可合成	X1_icon_tangjikede
6000052	海明威碎片	用于合成海明威，集齐20个即可合成	X1_icon_haimingwei
6000053	服务员碎片	用于合成服务员，集齐10个即可合成	X1_icon_fuwuyuan
6000054	护士碎片	用于合成护士，集齐10个即可合成	X1_icon_hushi
6000055	赵云碎片	用于合成赵云，集齐50个即可合成	X1_icon_zhaoyun
6000056	布伦谢尔德碎片	用于合成布伦谢尔德，集齐50个即可合成	X1_icon_bulunxieerde
6000057	海伦碎片	用于合成海伦，集齐50个即可合成	X1_icon_hailun
6000058	南丁格尔碎片	用于合成南丁格尔，集齐50个即可合成	X1_icon_nandinggeer
6000059	凯撒碎片	用于合成凯撒，集齐50个即可合成	X1_icon_kaisa
6000060	赫克托耳碎片	用于合成赫克托耳，集齐50个即可合成	X1_icon_heketuoer
6000061	雅典娜碎片	用于合成雅典娜，集齐50个即可合成	X1_icon_yadianna
6000062	李舜臣碎片	用于合成李舜臣，集齐50个即可合成	X1_icon_lishunchen
6000063	贞德碎片	用于合成贞德，集齐50个即可合成	X1_icon_zhende
6000064	瓦尔基里碎片	用于合成瓦尔基里，集齐50个即可合成	X1_icon_waerjili
6000065	帕里斯碎片	用于合成帕里斯，集齐30个即可合成	X1_icon_palisi
6000066	拿破仑碎片	用于合成拿破仑，集齐30个即可合成	X1_icon_napolun
6000067	哥白尼碎片	用于合成哥白尼，集齐30个即可合成	X1_icon_gebaini
6000068	毕达哥拉斯碎片	用于合成毕达哥拉斯，集齐30个即可合成	X1_icon_bidagelasi
6000069	罗宾汉碎片	用于合成罗宾汉，集齐20个即可合成	X1_icon_luobinghan
6000070	织田信长碎片	用于合成织田信长，集齐50个即可合成	X1_icon_zhitianxinchang
6000071	哈桑碎片	用于合成哈桑，集齐50个即可合成	X1_icon_hasang
6000072	布鲁图斯碎片	用于合成布鲁图斯，集齐50个即可合成	X1_icon_bulutusi
6000073	所罗门碎片	用于合成所罗门，集齐50个即可合成	X1_icon_suoluomen
6000074	嬴政碎片	用于合成嬴政，集齐50个即可合成	X1_icon_yinzhen
6000075	卑弥呼碎片	用于合成卑弥呼，集齐50个即可合成	X1_icon_beimihu
6000076	白起碎片	用于合成白起，集齐50个即可合成	X1_icon_baiqi
6000077	弗拉德碎片	用于合成弗拉德，集齐50个即可合成	X1_icon_fulade
6000078	明智光秀碎片	用于合成明智光秀，集齐50个即可合成	X1_icon_mingzhiguangxiu
6000079	伊丽莎白碎片	用于合成伊丽莎白，集齐50个即可合成	X1_icon_yilishabai
6000080	血腥玛丽碎片	用于合成血腥玛丽，集齐30个即可合成	X1_icon_xuexingmali
6000081	弑君者詹姆碎片	用于合成弑君者詹姆，集齐30个即可合成	X1_icon_zhanmu
6000082	开膛手杰克碎片	用于合成开膛手杰克，集齐30个即可合成	X1_icon_kaitangshou
6000083	尼禄碎片	用于合成尼禄，集齐30个即可合成	X1_icon_nilu
6000084	霍恩海姆碎片	用于合成霍恩海姆，集齐20个即可合成	X1_icon_huoenhaimu
6000131	6星克娄帕特拉碎片	集齐50个后使用可获得6星克娄帕特拉	X1_icon_aijiyanhou
6000132	6星李白碎片	集齐50个后使用可获得6星李白	X1_icon_libai
6000133	6星茜茜公主碎片	集齐50个后使用可获得6星茜茜公主	X1_icon_xixigongzhu
6000134	6星特斯拉碎片	集齐50个后使用可获得6星特斯拉	X1_icon_tesila
6000135	6星阿喀琉斯碎片	集齐50个后使用可获得6星阿喀琉斯	X1_icon_akaliusi
6000136	6星莫扎特碎片	集齐50个后使用可获得6星莫扎特	X1_icon_mozhate
6000137	6星关羽碎片	集齐50个后使用可获得6星关羽	X1_icon_guanyu
6000138	6星示巴女王碎片	集齐50个后使用可获得6星示巴女王	X1_icon_shiba
6000139	6星明智光秀碎片	集齐50个后使用可获得6星明智光秀	X1_icon_mingzhiguangxiu
6000140	6星爱迪生碎片	集齐50个后使用可获得6星爱迪生	X1_icon_aidishen
6000141	6星贞德碎片	集齐50个后使用可获得6星贞德	X1_icon_zhende
6000142	6星所罗门碎片	集齐50个后使用可获得6星所罗门	X1_icon_suoluomen
6000143	6星南丁格尔碎片	集齐50个后使用可获得6星南丁格尔	X1_icon_nandinggeer
6000144	6星西蒙海耶碎片	集齐50个后使用可获得6星西蒙海耶	X1_icon_ximenghaiye
6000145	6星亚历山大碎片	集齐50个后使用可获得6星亚历山大	X1_icon_yalishanda
6000146	6星弗拉德碎片	集齐50个后使用可获得6星弗拉德	X1_icon_fulade
6000147	6星布鲁图斯碎片	集齐50个后使用可获得6星布鲁图斯	X1_icon_bulutusi
6000148	6星赵云碎片	集齐50个后使用可获得6星赵云	X1_icon_zhaoyun
6000149	6星海伦碎片	集齐50个后使用可获得6星海伦	X1_icon_hailun
6000150	6星哈桑碎片	集齐50个后使用可获得6星哈桑	X1_icon_hasang
6001000	3星英雄碎片	20个碎片可随机合成1名3星英雄	X1_icon_3xingyingxiongsuipian
6001010	4星英雄碎片	30个碎片可随机合成1名4星英雄	X1_icon_4xingyingxiongsuipian
6001011	4星机械碎片	30个碎片可随机合成1名4星机械英雄	X1_icon_4xingyingxiongsuipian
6001012	4星体术碎片	30个碎片可随机合成1名4星体术英雄	X1_icon_4xingyingxiongsuipian
6001013	4星魔法碎片	30个碎片可随机合成1名4星魔法英雄	X1_icon_4xingyingxiongsuipian
6001014	4星秩序碎片	30个碎片可随机合成1名4星秩序英雄	X1_icon_4xingyingxiongsuipian
6001015	4星混沌碎片	30个碎片可随机合成1名4星混沌英雄	X1_icon_4xingyingxiongsuipian
6001020	5星英雄碎片	50个碎片可随机合成1名5星英雄	X1_icon_5xingyingxiongsuipian
6001021	5星机械碎片	50个碎片可随机合成1名5星机械英雄	X1_icon_5xingyingxiongsuipian
6001022	5星体术碎片	50个碎片可随机合成1名5星体术英雄	X1_icon_5xingyingxiongsuipian
6001023	5星魔法碎片	50个碎片可随机合成1名5星魔法英雄	X1_icon_5xingyingxiongsuipian
6001024	5星秩序碎片	50个碎片可随机合成1名5星秩序英雄	X1_icon_5xingyingxiongsuipian
6001025	5星混沌碎片	50个碎片可随机合成1名5星混沌英雄	X1_icon_5xingyingxiongsuipian
6001026	5星混沌秩序碎片	50个碎片可随机合成1名5星秩序或混沌英雄	X1_icon_5xingyingxiongsuipian
81148	5星精英英雄碎片	集齐50个后使用，随机获得1名拥有4技能的5星英雄	X1_icon_item_5xingjingyingyingxiongsuipian
6001027	5星精英机械碎片	集齐50个后使用，随机获得1名拥有4技能的5星机械英雄	X1_icon_item_5xingjingyingyingxiongsuipian
6001028	5星精英体术碎片	集齐50个后使用，随机获得1名拥有4技能的5星体术英雄	X1_icon_item_5xingjingyingyingxiongsuipian
6001029	5星精英魔法碎片	集齐50个后使用，随机获得1名拥有4技能的5星魔法英雄	X1_icon_item_5xingjingyingyingxiongsuipian
6001030	5星精英秩序碎片	集齐50个后使用，随机获得1名拥有4技能的5星秩序英雄	X1_icon_item_5xingjingyingyingxiongsuipian
6001031	5星精英混沌碎片	集齐50个后使用，随机获得1名拥有4技能的5星混沌英雄	X1_icon_item_5xingjingyingyingxiongsuipian
6001032	混沌秩序精英碎片	集齐50个后使用，随机获得1名拥有4技能的5星秩序或混沌英雄	X1_icon_item_5xingjingyingyingxiongsuipian
300001	战斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_sanj_put_fangyu_01
300002	生存芯片(防御)	集齐套装可提升装备英雄的防御	X1_xinxing_put_fangyu_01
300003	格斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_fangx_put_fangyu_01
300004	合作芯片(防御)	集齐套装可提升装备英雄的防御	X1_yaunx_put_fangyu_01
300101	稀有战斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_sanj_xiy_fangyu_02
300102	稀有生存芯片(防御)	集齐套装可提升装备英雄的防御	X1_xinxing_xiy_fangyu_02
300103	稀有格斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_fangx_xiy_fangyu_02
300104	稀有合作芯片(防御)	集齐套装可提升装备英雄的防御	X1_yaunx_xiy_fangyu_02
300201	传说战斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_sanj_chuans_fangyu_03
300202	传说生存芯片(防御)	集齐套装可提升装备英雄的防御	X1_xinxing_chuans_fangyu_03
300203	传说格斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_fangx_chuans_fangyu_03
300204	传说合作芯片(防御)	集齐套装可提升装备英雄的防御	X1_yaunx_chuans_fangyu_03
301001	战斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_sanj_put_fangyu_01
301002	生存芯片(防御)	集齐套装可提升装备英雄的防御	X1_xinxing_put_fangyu_01
301003	格斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_fangx_put_fangyu_01
301004	合作芯片(防御)	集齐套装可提升装备英雄的防御	X1_yaunx_put_fangyu_01
301101	稀有战斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_sanj_xiy_fangyu_02
301102	稀有生存芯片(防御)	集齐套装可提升装备英雄的防御	X1_xinxing_xiy_fangyu_02
301103	稀有格斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_fangx_xiy_fangyu_02
301104	稀有合作芯片(防御)	集齐套装可提升装备英雄的防御	X1_yaunx_xiy_fangyu_02
301201	传说战斗芯片(防御)	集齐套装可提升装备英雄的防御	X1_sanj_chuans_fangyu_03
301202	传说生存芯片(防御)	集齐套装可提升装备英雄的防御	X1_xinxing_chuans_fangyu_03
