Id	ActivityId	Level	Integral	Reward	FreeSkill	TreasureReward	PaySkill	LevelCond
223	8002	22	107#36000	6000110#300	0	16#100	80218	1#999
224	8002	23	107#38000	null	80112	16#300	80219	1#999
225	8002	24	107#40000	6000110#300	0	16#100	80220	1#999
226	8002	25	107#42000	null	80113	16#100	82205	1#999
227	8002	26	107#44000	6000110#300	0	16#100	80221	1#999
228	8002	27	107#46000	null	80114	16#100	80222	1#999
229	8002	28	107#48000	6000110#300	0	16#300	80223	1#999
230	8002	29	107#50000	null	80115	16#100	80224	1#999
231	8002	30	107#52000	null	81303	16#100	82206	1#999
232	8002	31	107#54000	null	80116	16#100	80225	1#999
233	8002	32	107#56000	6000110#300	0	16#100	80226	1#999
234	8002	33	107#58000	null	80117	16#300	80227	1#999
235	8002	34	107#60000	6000110#300	0	16#100	80228	1#999
236	8002	35	107#62000	null	80118	16#100	82207	1#999
237	8002	36	107#64000	6000110#300	0	16#100	80229	1#999
238	8002	37	107#66000	null	80119	16#100	80230	1#999
239	8002	38	107#68000	6000110#300	0	16#300	80231	1#999
240	8002	39	107#70000	null	80120	16#100	80232	1#999
241	8002	40	107#72000	null	81304	16#100	82208	1#999
242	8002	41	107#74000	null	80121	16#100	80233	1#999
243	8002	42	107#76000	6000110#300	0	16#100	80234	1#999
244	8002	43	107#78000	null	80122	16#300	80235	1#999
245	8002	44	107#80000	6000110#300	0	16#100	80236	1#999
246	8002	45	107#82000	null	80123	16#100	82209	1#999
247	8002	46	107#84000	6000110#300	0	16#100	80237	1#999
248	8002	47	107#86000	null	80124	16#100	80238	1#999
249	8002	48	107#88000	6000110#300	0	16#300	80239	1#999
250	8002	49	107#90000	null	80125	16#300	80240	1#999
251	8002	50	null	null	81305	10075#1	0	1#999
301	8003	0	108#1000	null	0	null	0	1#999
302	8003	1	108#2000	null	80101	16#200	82301	1#999
303	8003	2	108#3000	17009#5	0	16#100	80201	1#999
304	8003	3	108#4000	null	80102	16#100	80202	1#999
305	8003	4	108#5000	17009#5	0	16#100	80203	1#999
306	8003	5	108#6000	null	80103	16#300	80204	1#999
307	8003	6	108#7000	17009#5	0	16#100	80205	1#999
308	8003	7	108#8000	null	80104	16#100	80206	1#999
309	8003	8	108#9000	17009#5	0	16#100	80207	1#999
310	8003	9	108#10000	null	80105	16#100	80208	1#999
311	8003	10	108#12000	null	81101	16#100	82302	1#999
312	8003	11	108#14000	null	80106	16#100	80209	1#999
313	8003	12	108#16000	17009#10	0	16#100	80210	1#999
314	8003	13	108#18000	null	80107	16#300	80211	1#999
315	8003	14	108#20000	17009#10	0	16#100	80212	1#999
316	8003	15	108#22000	null	80108	16#100	82303	1#999
317	8003	16	108#24000	17009#10	0	16#100	80213	1#999
318	8003	17	108#26000	null	80109	16#100	80214	1#999
319	8003	18	108#28000	17009#10	0	16#300	80215	1#999
320	8003	19	108#30000	null	80110	16#100	80216	1#999
321	8003	20	108#32000	null	81102	16#100	82304	1#999
322	8003	21	108#34000	null	80111	16#100	80217	1#999
323	8003	22	108#36000	17009#15	0	16#100	80218	1#999
324	8003	23	108#38000	null	80112	16#300	80219	1#999
325	8003	24	108#40000	17009#15	0	16#100	80220	1#999
326	8003	25	108#42000	null	80113	16#100	82305	1#999
327	8003	26	108#44000	17009#15	0	16#100	80221	1#999
328	8003	27	108#46000	null	80114	16#100	80222	1#999
329	8003	28	108#48000	17009#15	0	16#300	80223	1#999
330	8003	29	108#50000	null	80115	16#100	80224	1#999
331	8003	30	108#52000	null	81103	16#100	82306	1#999
332	8003	31	108#54000	null	80116	16#100	80225	1#999
333	8003	32	108#56000	17009#20	0	16#100	80226	1#999
334	8003	33	108#58000	null	80117	16#300	80227	1#999
335	8003	34	108#60000	17009#20	0	16#100	80228	1#999
336	8003	35	108#62000	null	80118	16#100	82307	1#999
337	8003	36	108#64000	17009#20	0	16#100	80229	1#999
338	8003	37	108#66000	null	80119	16#100	80230	1#999
339	8003	38	108#68000	17009#20	0	16#300	80231	1#999
340	8003	39	108#70000	null	80120	16#100	80232	1#999
341	8003	40	108#72000	null	81104	16#100	82308	1#999
342	8003	41	108#74000	null	80121	16#100	80233	1#999
343	8003	42	108#76000	17009#25	0	16#100	80234	1#999
344	8003	43	108#78000	null	80122	16#300	80235	1#999
345	8003	44	108#80000	17009#25	0	16#100	80236	1#999
346	8003	45	108#82000	null	80123	16#100	82309	1#999
347	8003	46	108#84000	17009#25	0	16#100	80237	1#999
348	8003	47	108#86000	null	80124	16#100	80238	1#999
349	8003	48	108#88000	17009#25	0	16#300	80239	1#999
350	8003	49	108#90000	null	80125	16#300	80240	1#999
351	8003	50	null	null	81105	10059#1	0	1#999
401	8004	0	109#1000	null	0	null	0	1#999
402	8004	1	109#2000	null	80101	16#200	82401	1#999
403	8004	2	109#3000	6000104#1	0	16#100	80201	1#999
404	8004	3	109#4000	null	80102	16#100	80202	1#999
405	8004	4	109#5000	6000104#1	0	16#100	80203	1#999
406	8004	5	109#6000	null	80103	16#300	80204	1#999
407	8004	6	109#7000	6000104#1	0	16#100	80205	1#999
408	8004	7	109#8000	null	80104	16#100	80206	1#999
409	8004	8	109#9000	6000104#1	0	16#100	80207	1#999
410	8004	9	109#10000	null	80105	16#100	80208	1#999
411	8004	10	109#12000	null	81501	16#100	82402	1#999
412	8004	11	109#14000	null	80106	16#100	80209	1#999
413	8004	12	109#16000	6000104#2	0	16#100	80210	1#999
414	8004	13	109#18000	null	80107	16#300	80211	1#999
415	8004	14	109#20000	6000104#2	0	16#100	80212	1#999
416	8004	15	109#22000	null	80108	16#100	82403	1#999
417	8004	16	109#24000	6000104#2	0	16#100	80213	1#999
418	8004	17	109#26000	null	80109	16#100	80214	1#999
419	8004	18	109#28000	6000104#2	0	16#300	80215	1#999
420	8004	19	109#30000	null	80110	16#100	80216	1#999
421	8004	20	109#32000	null	81502	16#100	82404	1#999
422	8004	21	109#34000	null	80111	16#100	80217	1#999
423	8004	22	109#36000	6000104#3	0	16#100	80218	1#999
424	8004	23	109#38000	null	80112	16#300	80219	1#999
425	8004	24	109#40000	6000104#3	0	16#100	80220	1#999
426	8004	25	109#42000	null	80113	16#100	82405	1#999
427	8004	26	109#44000	6000104#3	0	16#100	80221	1#999
428	8004	27	109#46000	null	80114	16#100	80222	1#999
429	8004	28	109#48000	6000104#3	0	16#300	80223	1#999
430	8004	29	109#50000	null	80115	16#100	80224	1#999
431	8004	30	109#52000	null	81503	16#100	82406	1#999
432	8004	31	109#54000	null	80116	16#100	80225	1#999
433	8004	32	109#56000	6000104#4	0	16#100	80226	1#999
434	8004	33	109#58000	null	80117	16#300	80227	1#999
435	8004	34	109#60000	6000104#4	0	16#100	80228	1#999
436	8004	35	109#62000	null	80118	16#100	82407	1#999
437	8004	36	109#64000	6000104#4	0	16#100	80229	1#999
438	8004	37	109#66000	null	80119	16#100	80230	1#999
439	8004	38	109#68000	6000104#4	0	16#300	80231	1#999
440	8004	39	109#70000	null	80120	16#100	80232	1#999
441	8004	40	109#72000	null	81504	16#100	82408	1#999
442	8004	41	109#74000	null	80121	16#100	80233	1#999
443	8004	42	109#76000	6000104#5	0	16#100	80234	1#999
444	8004	43	109#78000	null	80122	16#300	80235	1#999
445	8004	44	109#80000	6000104#5	0	16#100	80236	1#999
446	8004	45	109#82000	null	80123	16#100	82409	1#999
447	8004	46	109#84000	6000104#5	0	16#100	80237	1#999
448	8004	47	109#86000	null	80124	16#100	80238	1#999
449	8004	48	109#88000	6000104#5	0	16#300	80239	1#999
450	8004	49	109#90000	null	80125	16#300	80240	1#999
451	8004	50	null	null	81505	10073#1	0	1#999
501	8005	0	110#1000	null	0	null	0	1#999
502	8005	1	110#2000	null	80101	16#200	82501	1#999
503	8005	2	110#3000	10421#1	0	16#100	80201	1#999
504	8005	3	110#4000	null	80102	16#100	80202	1#999
505	8005	4	110#5000	10421#1	0	16#100	80203	1#999
506	8005	5	110#6000	null	80103	16#300	80204	1#999
507	8005	6	110#7000	10421#1	0	16#100	80205	1#999
508	8005	7	110#8000	null	80104	16#100	80206	1#999
509	8005	8	110#9000	10421#1	0	16#100	80207	1#999
510	8005	9	110#10000	null	80105	16#100	80208	1#999
511	8005	10	110#12000	null	81401	16#100	82502	1#999
512	8005	11	110#14000	null	80106	16#100	80209	1#999
513	8005	12	110#16000	10421#1	0	16#100	80210	1#999
514	8005	13	110#18000	null	80107	16#300	80211	1#999
515	8005	14	110#20000	10421#1	0	16#100	80212	1#999
516	8005	15	110#22000	null	80108	16#100	82503	1#999
517	8005	16	110#24000	10421#1	0	16#100	80213	1#999
518	8005	17	110#26000	null	80109	16#100	80214	1#999
519	8005	18	110#28000	10421#1	0	16#300	80215	1#999
520	8005	19	110#30000	null	80110	16#100	80216	1#999
521	8005	20	110#32000	null	81402	16#100	82504	1#999
522	8005	21	110#34000	null	80111	16#100	80217	1#999
523	8005	22	110#36000	10421#1	0	16#100	80218	1#999
524	8005	23	110#38000	null	80112	16#300	80219	1#999
525	8005	24	110#40000	10421#1	0	16#100	80220	1#999
526	8005	25	110#42000	null	80113	16#100	82505	1#999
527	8005	26	110#44000	10421#1	0	16#100	80221	1#999
528	8005	27	110#46000	null	80114	16#100	80222	1#999
529	8005	28	110#48000	10421#1	0	16#300	80223	1#999
530	8005	29	110#50000	null	80115	16#100	80224	1#999
531	8005	30	110#52000	null	81403	16#100	82506	1#999
532	8005	31	110#54000	null	80116	16#100	80225	1#999
533	8005	32	110#56000	10421#1	0	16#100	80226	1#999
534	8005	33	110#58000	null	80117	16#300	80227	1#999
535	8005	34	110#60000	10421#1	0	16#100	80228	1#999
536	8005	35	110#62000	null	80118	16#100	82507	1#999
537	8005	36	110#64000	10421#1	0	16#100	80229	1#999
538	8005	37	110#66000	null	80119	16#100	80230	1#999
539	8005	38	110#68000	10421#1	0	16#300	80231	1#999
540	8005	39	110#70000	null	80120	16#100	80232	1#999
541	8005	40	110#72000	null	81404	16#100	82508	1#999
542	8005	41	110#74000	null	80121	16#100	80233	1#999
543	8005	42	110#76000	10421#1	0	16#100	80234	1#999
544	8005	43	110#78000	null	80122	16#300	80235	1#999
545	8005	44	110#80000	10421#1	0	16#100	80236	1#999
546	8005	45	110#82000	null	80123	16#100	82509	1#999
547	8005	46	110#84000	10421#1	0	16#100	80237	1#999
548	8005	47	110#86000	null	80124	16#100	80238	1#999
549	8005	48	110#88000	10421#1	0	16#300	80239	1#999
550	8005	49	110#90000	null	80125	16#300	80240	1#999
551	8005	50	null	null	81405	10058#1	0	1#999
601	8006	0	111#1000	null	0	null	0	1#999
602	8006	1	111#2000	null	80101	16#200	82101	1#999
603	8006	2	111#3000	4#100	0	16#100	80201	1#999
604	8006	3	111#4000	null	80102	16#100	80202	1#999
605	8006	4	111#5000	4#100	0	16#100	80203	1#999
606	8006	5	111#6000	null	80103	16#300	80204	1#999
607	8006	6	111#7000	4#100	0	16#100	80205	1#999
608	8006	7	111#8000	null	80104	16#100	80206	1#999
609	8006	8	111#9000	4#100	0	16#100	80207	1#999
610	8006	9	111#10000	null	80105	16#100	80208	1#999
611	8006	10	111#12000	null	81101	16#100	82102	1#999
612	8006	11	111#14000	null	80106	16#100	80209	1#999
613	8006	12	111#16000	4#200	0	16#100	80210	1#999
614	8006	13	111#18000	null	80107	16#300	80211	1#999
615	8006	14	111#20000	4#200	0	16#100	80212	1#999
616	8006	15	111#22000	null	80108	16#100	82103	1#999
617	8006	16	111#24000	4#200	0	16#100	80213	1#999
618	8006	17	111#26000	null	80109	16#100	80214	1#999
619	8006	18	111#28000	4#200	0	16#300	80215	1#999
620	8006	19	111#30000	null	80110	16#100	80216	1#999
621	8006	20	111#32000	null	81102	16#100	82104	1#999
622	8006	21	111#34000	null	80111	16#100	80217	1#999
623	8006	22	111#36000	4#300	0	16#100	80218	1#999
624	8006	23	111#38000	null	80112	16#300	80219	1#999
625	8006	24	111#40000	4#300	0	16#100	80220	1#999
626	8006	25	111#42000	null	80113	16#100	82105	1#999
627	8006	26	111#44000	4#300	0	16#100	80221	1#999
628	8006	27	111#46000	null	80114	16#100	80222	1#999
629	8006	28	111#48000	4#300	0	16#300	80223	1#999
630	8006	29	111#50000	null	80115	16#100	80224	1#999
631	8006	30	111#52000	null	81103	16#100	82106	1#999
632	8006	31	111#54000	null	80116	16#100	80225	1#999
633	8006	32	111#56000	4#300	0	16#100	80226	1#999
634	8006	33	111#58000	null	80117	16#300	80227	1#999
635	8006	34	111#60000	4#300	0	16#100	80228	1#999
636	8006	35	111#62000	null	80118	16#100	82107	1#999
637	8006	36	111#64000	4#300	0	16#100	80229	1#999
638	8006	37	111#66000	null	80119	16#100	80230	1#999
639	8006	38	111#68000	4#300	0	16#300	80231	1#999
640	8006	39	111#70000	null	80120	16#100	80232	1#999
641	8006	40	111#72000	null	81104	16#100	82108	1#999
642	8006	41	111#74000	null	80121	16#100	80233	1#999
643	8006	42	111#76000	4#300	0	16#100	80234	1#999
644	8006	43	111#78000	null	80122	16#300	80235	1#999
645	8006	44	111#80000	4#300	0	16#100	80236	1#999
646	8006	45	111#82000	null	80123	16#100	82109	1#999
647	8006	46	111#84000	4#300	0	16#100	80237	1#999
648	8006	47	111#86000	null	80124	16#100	80238	1#999
649	8006	48	111#88000	4#300	0	16#300	80239	1#999
650	8006	49	111#90000	null	80125	16#300	80240	1#999
651	8006	50	null	null	81105	10074#1	0	1#999
701	8007	0	112#1000	null	0	null	0	1#999
702	8007	1	112#2000	null	80101	16#200	82201	1#999
703	8007	2	112#3000	6000110#100	0	16#100	80201	1#999
704	8007	3	112#4000	null	80102	16#100	80202	1#999
705	8007	4	112#5000	6000110#100	0	16#100	80203	1#999
706	8007	5	112#6000	null	80103	16#300	80204	1#999
707	8007	6	112#7000	6000110#100	0	16#100	80205	1#999
708	8007	7	112#8000	null	80104	16#100	80206	1#999
709	8007	8	112#9000	6000110#100	0	16#100	80207	1#999
710	8007	9	112#10000	null	80105	16#100	80208	1#999
711	8007	10	112#12000	null	81501	16#100	82202	1#999
712	8007	11	112#14000	null	80106	16#100	80209	1#999
713	8007	12	112#16000	6000110#200	0	16#100	80210	1#999
714	8007	13	112#18000	null	80107	16#300	80211	1#999
715	8007	14	112#20000	6000110#200	0	16#100	80212	1#999
716	8007	15	112#22000	null	80108	16#100	82203	1#999
717	8007	16	112#24000	6000110#200	0	16#100	80213	1#999
718	8007	17	112#26000	null	80109	16#100	80214	1#999
719	8007	18	112#28000	6000110#200	0	16#300	80215	1#999
720	8007	19	112#30000	null	80110	16#100	80216	1#999
721	8007	20	112#32000	null	81502	16#100	82204	1#999
722	8007	21	112#34000	null	80111	16#100	80217	1#999
723	8007	22	112#36000	6000110#300	0	16#100	80218	1#999
724	8007	23	112#38000	null	80112	16#300	80219	1#999
725	8007	24	112#40000	6000110#300	0	16#100	80220	1#999
726	8007	25	112#42000	null	80113	16#100	82205	1#999
727	8007	26	112#44000	6000110#300	0	16#100	80221	1#999
728	8007	27	112#46000	null	80114	16#100	80222	1#999
729	8007	28	112#48000	6000110#300	0	16#300	80223	1#999
730	8007	29	112#50000	null	80115	16#100	80224	1#999
731	8007	30	112#52000	null	81503	16#100	82206	1#999
732	8007	31	112#54000	null	80116	16#100	80225	1#999
733	8007	32	112#56000	6000110#300	0	16#100	80226	1#999
734	8007	33	112#58000	null	80117	16#300	80227	1#999
735	8007	34	112#60000	6000110#300	0	16#100	80228	1#999
736	8007	35	112#62000	null	80118	16#100	82207	1#999
737	8007	36	112#64000	6000110#300	0	16#100	80229	1#999
738	8007	37	112#66000	null	80119	16#100	80230	1#999
739	8007	38	112#68000	6000110#300	0	16#300	80231	1#999
740	8007	39	112#70000	null	80120	16#100	80232	1#999
741	8007	40	112#72000	null	81504	16#100	82208	1#999
742	8007	41	112#74000	null	80121	16#100	80233	1#999
743	8007	42	112#76000	6000110#300	0	16#100	80234	1#999
744	8007	43	112#78000	null	80122	16#300	80235	1#999
745	8007	44	112#80000	6000110#300	0	16#100	80236	1#999
746	8007	45	112#82000	null	80123	16#100	82209	1#999
747	8007	46	112#84000	6000110#300	0	16#100	80237	1#999
748	8007	47	112#86000	null	80124	16#100	80238	1#999
749	8007	48	112#88000	6000110#300	0	16#300	80239	1#999
750	8007	49	112#90000	null	80125	16#300	80240	1#999
751	8007	50	null	null	81505	10064#1	0	1#999
801	8008	0	113#1000	null	0	null	0	1#999
802	8008	1	113#2000	null	80101	16#200	82301	1#999
803	8008	2	113#3000	17009#5	0	16#100	80201	1#999
804	8008	3	113#4000	null	80102	16#100	80202	1#999
805	8008	4	113#5000	17009#5	0	16#100	80203	1#999
806	8008	5	113#6000	null	80103	16#300	80204	1#999
807	8008	6	113#7000	17009#5	0	16#100	80205	1#999
808	8008	7	113#8000	null	80104	16#100	80206	1#999
809	8008	8	113#9000	17009#5	0	16#100	80207	1#999
810	8008	9	113#10000	null	80105	16#100	80208	1#999
811	8008	10	113#12000	null	81401	16#100	82302	1#999
812	8008	11	113#14000	null	80106	16#100	80209	1#999
813	8008	12	113#16000	17009#10	0	16#100	80210	1#999
814	8008	13	113#18000	null	80107	16#300	80211	1#999
815	8008	14	113#20000	17009#10	0	16#100	80212	1#999
816	8008	15	113#22000	null	80108	16#100	82303	1#999
817	8008	16	113#24000	17009#10	0	16#100	80213	1#999
818	8008	17	113#26000	null	80109	16#100	80214	1#999
819	8008	18	113#28000	17009#10	0	16#300	80215	1#999
820	8008	19	113#30000	null	80110	16#100	80216	1#999
821	8008	20	113#32000	null	81402	16#100	82304	1#999
822	8008	21	113#34000	null	80111	16#100	80217	1#999
823	8008	22	113#36000	17009#15	0	16#100	80218	1#999
824	8008	23	113#38000	null	80112	16#300	80219	1#999
825	8008	24	113#40000	17009#15	0	16#100	80220	1#999
826	8008	25	113#42000	null	80113	16#100	82305	1#999
827	8008	26	113#44000	17009#15	0	16#100	80221	1#999
828	8008	27	113#46000	null	80114	16#100	80222	1#999
829	8008	28	113#48000	17009#15	0	16#300	80223	1#999
830	8008	29	113#50000	null	80115	16#100	80224	1#999
831	8008	30	113#52000	null	81403	16#100	82306	1#999
832	8008	31	113#54000	null	80116	16#100	80225	1#999
833	8008	32	113#56000	17009#20	0	16#100	80226	1#999
834	8008	33	113#58000	null	80117	16#300	80227	1#999
835	8008	34	113#60000	17009#20	0	16#100	80228	1#999
836	8008	35	113#62000	null	80118	16#100	82307	1#999
837	8008	36	113#64000	17009#20	0	16#100	80229	1#999
838	8008	37	113#66000	null	80119	16#100	80230	1#999
839	8008	38	113#68000	17009#20	0	16#300	80231	1#999
840	8008	39	113#70000	null	80120	16#100	80232	1#999
841	8008	40	113#72000	null	81404	16#100	82308	1#999
842	8008	41	113#74000	null	80121	16#100	80233	1#999
843	8008	42	113#76000	17009#25	0	16#100	80234	1#999
844	8008	43	113#78000	null	80122	16#300	80235	1#999
845	8008	44	113#80000	17009#25	0	16#100	80236	1#999
846	8008	45	113#82000	null	80123	16#100	82309	1#999
847	8008	46	113#84000	17009#25	0	16#100	80237	1#999
848	8008	47	113#86000	null	80124	16#100	80238	1#999
849	8008	48	113#88000	17009#25	0	16#300	80239	1#999
850	8008	49	113#90000	null	80125	16#300	80240	1#999
851	8008	50	null	null	81405	10072#1	0	1#999
901	8009	0	114#1000	null	0	null	0	1#999
902	8009	1	114#2000	null	80101	16#200	82401	1#999
903	8009	2	114#3000	6000104#1	0	16#100	80201	1#999
904	8009	3	114#4000	null	80102	16#100	80202	1#999
905	8009	4	114#5000	6000104#1	0	16#100	80203	1#999
906	8009	5	114#6000	null	80103	16#300	80204	1#999
907	8009	6	114#7000	6000104#1	0	16#100	80205	1#999
908	8009	7	114#8000	null	80104	16#100	80206	1#999
909	8009	8	114#9000	6000104#1	0	16#100	80207	1#999
910	8009	9	114#10000	null	80105	16#100	80208	1#999
911	8009	10	114#12000	null	81201	16#100	82402	1#999
912	8009	11	114#14000	null	80106	16#100	80209	1#999
913	8009	12	114#16000	6000104#2	0	16#100	80210	1#999
914	8009	13	114#18000	null	80107	16#300	80211	1#999
915	8009	14	114#20000	6000104#2	0	16#100	80212	1#999
916	8009	15	114#22000	null	80108	16#100	82403	1#999
917	8009	16	114#24000	6000104#2	0	16#100	80213	1#999
918	8009	17	114#26000	null	80109	16#100	80214	1#999
919	8009	18	114#28000	6000104#2	0	16#300	80215	1#999
920	8009	19	114#30000	null	80110	16#100	80216	1#999
921	8009	20	114#32000	null	81202	16#100	82404	1#999
922	8009	21	114#34000	null	80111	16#100	80217	1#999
923	8009	22	114#36000	6000104#3	0	16#100	80218	1#999
924	8009	23	114#38000	null	80112	16#300	80219	1#999
925	8009	24	114#40000	6000104#3	0	16#100	80220	1#999
926	8009	25	114#42000	null	80113	16#100	82405	1#999
927	8009	26	114#44000	6000104#3	0	16#100	80221	1#999
928	8009	27	114#46000	null	80114	16#100	80222	1#999
929	8009	28	114#48000	6000104#3	0	16#300	80223	1#999
930	8009	29	114#50000	null	80115	16#100	80224	1#999
931	8009	30	114#52000	null	81203	16#100	82406	1#999
932	8009	31	114#54000	null	80116	16#100	80225	1#999
933	8009	32	114#56000	6000104#4	0	16#100	80226	1#999
934	8009	33	114#58000	null	80117	16#300	80227	1#999
935	8009	34	114#60000	6000104#4	0	16#100	80228	1#999
936	8009	35	114#62000	null	80118	16#100	82407	1#999
937	8009	36	114#64000	6000104#4	0	16#100	80229	1#999
938	8009	37	114#66000	null	80119	16#100	80230	1#999
939	8009	38	114#68000	6000104#4	0	16#300	80231	1#999
940	8009	39	114#70000	null	80120	16#100	80232	1#999
941	8009	40	114#72000	null	81204	16#100	82408	1#999
942	8009	41	114#74000	null	80121	16#100	80233	1#999
943	8009	42	114#76000	6000104#5	0	16#100	80234	1#999
944	8009	43	114#78000	null	80122	16#300	80235	1#999
945	8009	44	114#80000	6000104#5	0	16#100	80236	1#999
946	8009	45	114#82000	null	80123	16#100	82409	1#999
947	8009	46	114#84000	6000104#5	0	16#100	80237	1#999
948	8009	47	114#86000	null	80124	16#100	80238	1#999
949	8009	48	114#88000	6000104#5	0	16#300	80239	1#999
950	8009	49	114#90000	null	80125	16#300	80240	1#999
951	8009	50	null	null	81205	10057#1	0	1#999
1001	8010	0	115#1000	null	0	null	0	1#999
1002	8010	1	115#2000	null	80101	16#200	82501	1#999
1003	8010	2	115#3000	10421#1	0	16#100	80201	1#999
1004	8010	3	115#4000	null	80102	16#100	80202	1#999
1005	8010	4	115#5000	10421#1	0	16#100	80203	1#999
1006	8010	5	115#6000	null	80103	16#300	80204	1#999
1007	8010	6	115#7000	10421#1	0	16#100	80205	1#999
1008	8010	7	115#8000	null	80104	16#100	80206	1#999
1009	8010	8	115#9000	10421#1	0	16#100	80207	1#999
1010	8010	9	115#10000	null	80105	16#100	80208	1#999
1011	8010	10	115#12000	null	81301	16#100	82502	1#999
1012	8010	11	115#14000	null	80106	16#100	80209	1#999
1013	8010	12	115#16000	10421#1	0	16#100	80210	1#999
1014	8010	13	115#18000	null	80107	16#300	80211	1#999
1015	8010	14	115#20000	10421#1	0	16#100	80212	1#999
1016	8010	15	115#22000	null	80108	16#100	82503	1#999
1017	8010	16	115#24000	10421#1	0	16#100	80213	1#999
1018	8010	17	115#26000	null	80109	16#100	80214	1#999
1019	8010	18	115#28000	10421#1	0	16#300	80215	1#999
1020	8010	19	115#30000	null	80110	16#100	80216	1#999
1021	8010	20	115#32000	null	81302	16#100	82504	1#999
1022	8010	21	115#34000	null	80111	16#100	80217	1#999
