Id	MonsterGroupId	Award	FirstAward	BattleTime	NextId
110	2000110	14#74500|3#95400	3#310000	10	111
111	2000111	14#75000|3#96000	null	10	112
112	2000112	14#75500|3#96600	null	10	113
113	2000113	14#76000|3#97200	null	10	114
114	2000114	14#76500|3#97800	null	10	115
115	2000115	14#77000|3#98400	3#330000	10	116
116	2000116	14#77500|3#99000	null	10	117
117	2000117	14#78000|3#99600	null	10	118
118	2000118	14#78500|3#100200	null	10	119
119	2000119	14#79000|3#100800	null	10	120
120	2000120	14#79500|3#101400	19#1	10	121
121	2000121	14#80000|3#102000	null	10	122
122	2000122	14#80500|3#102600	null	10	123
123	2000123	14#81000|3#103200	null	10	124
124	2000124	14#81500|3#103800	null	10	125
125	2000125	14#82000|3#104400	3#350000	10	126
126	2000126	14#82500|3#105000	null	10	127
127	2000127	14#83000|3#105600	null	10	128
128	2000128	14#83500|3#106200	null	10	129
129	2000129	14#84000|3#106800	null	10	130
130	2000130	14#84500|3#107400	3#370000	10	131
131	2000131	14#85000|3#108000	null	10	132
132	2000132	14#85500|3#108600	null	10	133
133	2000133	14#86000|3#109200	null	10	134
134	2000134	14#86500|3#109800	null	10	135
135	2000135	14#87000|3#110400	19#1	10	136
136	2000136	14#87500|3#111000	null	10	137
137	2000137	14#88000|3#111600	null	10	138
138	2000138	14#88500|3#112200	null	10	139
139	2000139	14#89000|3#112800	null	10	140
140	2000140	14#89500|3#113400	3#390000	10	141
141	2000141	14#90000|3#114000	null	10	142
142	2000142	14#90500|3#114600	null	10	143
143	2000143	14#91000|3#115200	null	10	144
144	2000144	14#91500|3#115800	null	10	145
145	2000145	14#92000|3#116400	3#410000	10	146
146	2000146	14#92500|3#117000	null	10	147
147	2000147	14#93000|3#117600	null	10	148
148	2000148	14#93500|3#118200	null	10	149
149	2000149	14#94000|3#118800	null	10	150
150	2000150	14#94500|3#119400	19#1	10	151
151	2000151	14#95000|3#120000	null	10	152
152	2000152	14#95500|3#120600	null	10	153
153	2000153	14#96000|3#121200	null	10	154
154	2000154	14#96500|3#121800	null	10	155
155	2000155	14#97000|3#122400	3#430000	10	156
156	2000156	14#97500|3#123000	null	10	157
157	2000157	14#98000|3#123600	null	10	158
158	2000158	14#98500|3#124200	null	10	159
159	2000159	14#99000|3#124800	null	10	160
160	2000160	14#99500|3#125400	3#450000	10	161
161	2000161	14#100000|3#126000	null	10	162
162	2000162	14#100500|3#126600	null	10	163
163	2000163	14#101000|3#127200	null	10	164
164	2000164	14#101500|3#127800	null	10	165
165	2000165	14#102000|3#128400	19#1	10	166
166	2000166	14#102500|3#129000	null	10	167
167	2000167	14#103000|3#129600	null	10	168
168	2000168	14#103500|3#130200	null	10	169
169	2000169	14#104000|3#130800	null	10	170
170	2000170	14#104500|3#131400	3#470000	10	171
171	2000171	14#105000|3#132000	null	10	172
172	2000172	14#105500|3#132600	null	10	173
173	2000173	14#106000|3#133200	null	10	174
174	2000174	14#106500|3#133800	null	10	175
175	2000175	14#107000|3#134400	3#490000	10	176
176	2000176	14#107500|3#135000	null	10	177
177	2000177	14#108000|3#135600	null	10	178
178	2000178	14#108500|3#136200	null	10	179
179	2000179	14#109000|3#136800	null	10	180
180	2000180	14#109500|3#137400	19#1	10	181
181	2000181	14#110000|3#138000	null	10	182
182	2000182	14#110500|3#138600	null	10	183
183	2000183	14#111000|3#139200	null	10	184
184	2000184	14#111500|3#139800	null	10	185
185	2000185	14#112000|3#140400	3#510000	10	186
186	2000186	14#112500|3#141000	null	10	187
187	2000187	14#113000|3#141600	null	10	188
188	2000188	14#113500|3#142200	null	10	189
189	2000189	14#114000|3#142800	null	10	190
190	2000190	14#114500|3#143400	3#530000	10	191
191	2000191	14#115000|3#144000	null	10	192
192	2000192	14#115500|3#144600	null	10	193
193	2000193	14#116000|3#145200	null	10	194
194	2000194	14#116500|3#145800	null	10	195
195	2000195	14#117000|3#146400	19#1	10	196
196	2000196	14#117500|3#147000	null	10	197
197	2000197	14#118000|3#147600	null	10	198
198	2000198	14#118500|3#148200	null	10	199
199	2000199	14#119000|3#148800	null	10	200
200	2000200	14#119500|3#149400	3#550000	10	201
201	2000201	14#120000|3#150000	null	10	202
202	2000202	14#120500|3#150600	null	10	203
203	2000203	14#121000|3#151200	null	10	204
204	2000204	14#121500|3#151800	null	10	205
205	2000205	14#122000|3#152400	3#570000	10	206
206	2000206	14#122500|3#153000	null	10	207
207	2000207	14#123000|3#153600	null	10	208
208	2000208	14#123500|3#154200	null	10	209
209	2000209	14#124000|3#154800	null	10	210
210	2000210	14#124500|3#155400	19#1	10	211
211	2000211	14#125000|3#156000	null	10	212
212	2000212	14#125500|3#156600	null	10	213
213	2000213	14#126000|3#157200	null	10	214
214	2000214	14#126500|3#157800	null	10	215
215	2000215	14#127000|3#158400	3#590000	10	216
216	2000216	14#127500|3#159000	null	10	217
217	2000217	14#128000|3#159600	null	10	218
218	2000218	14#128500|3#160200	null	10	219
219	2000219	14#129000|3#160800	null	10	220
220	2000220	14#129500|3#161400	3#610000	10	221
221	2000221	14#130000|3#162000	null	10	222
222	2000222	14#130500|3#162600	null	10	223
223	2000223	14#131000|3#163200	null	10	224
224	2000224	14#131500|3#163800	null	10	225
225	2000225	14#132000|3#164400	19#1	10	226
226	2000226	14#132500|3#165000	null	10	227
227	2000227	14#133000|3#165600	null	10	228
228	2000228	14#133500|3#166200	null	10	229
229	2000229	14#134000|3#166800	null	10	230
230	2000230	14#134500|3#167400	3#630000	10	231
231	2000231	14#135000|3#168000	null	10	232
232	2000232	14#135500|3#168600	null	10	233
233	2000233	14#136000|3#169200	null	10	234
234	2000234	14#136500|3#169800	null	10	235
235	2000235	14#137000|3#170400	3#650000	10	236
236	2000236	14#137500|3#171000	null	10	237
237	2000237	14#138000|3#171600	null	10	238
238	2000238	14#138500|3#172200	null	10	239
239	2000239	14#139000|3#172800	null	10	240
240	2000240	14#139500|3#173400	19#1	10	241
241	2000241	14#140000|3#174000	null	10	242
242	2000242	14#140500|3#174600	null	10	243
243	2000243	14#141000|3#175200	null	10	244
244	2000244	14#141500|3#175800	null	10	245
245	2000245	14#142000|3#176400	3#670000	10	246
246	2000246	14#142500|3#177000	null	10	247
247	2000247	14#143000|3#177600	null	10	248
248	2000248	14#143500|3#178200	null	10	249
249	2000249	14#144000|3#178800	null	10	250
250	2000250	14#144500|3#179400	3#690000	10	251
251	2000251	14#145000|3#180000	null	10	252
252	2000252	14#145500|3#180600	null	10	253
253	2000253	14#146000|3#181200	null	10	254
254	2000254	14#146500|3#181800	null	10	255
255	2000255	14#147000|3#182400	19#1	10	256
256	2000256	14#147500|3#183000	null	10	257
257	2000257	14#148000|3#183600	null	10	258
258	2000258	14#148500|3#184200	null	10	259
259	2000259	14#149000|3#184800	null	10	260
260	2000260	14#149500|3#185400	3#690000	10	261
261	2000261	14#150000|3#186000	null	10	262
262	2000262	14#150500|3#186600	null	10	263
263	2000263	14#151000|3#187200	null	10	264
264	2000264	14#151500|3#187800	null	10	265
265	2000265	14#152000|3#188400	3#710000	10	266
266	2000266	14#152500|3#189000	null	10	267
267	2000267	14#153000|3#189600	null	10	268
268	2000268	14#153500|3#190200	null	10	269
269	2000269	14#154000|3#190800	null	10	270
270	2000270	14#154500|3#191400	19#1	10	271
271	2000271	14#155000|3#192000	null	10	272
272	2000272	14#155500|3#192600	null	10	273
273	2000273	14#156000|3#193200	null	10	274
274	2000274	14#156500|3#193800	null	10	275
275	2000275	14#157000|3#194400	3#710000	10	276
276	2000276	14#157500|3#195000	null	10	277
277	2000277	14#158000|3#195600	null	10	278
278	2000278	14#158500|3#196200	null	10	279
279	2000279	14#159000|3#196800	null	10	280
280	2000280	14#159500|3#197400	3#730000	10	281
281	2000281	14#160000|3#198000	null	10	282
282	2000282	14#160500|3#198600	null	10	283
283	2000283	14#161000|3#199200	null	10	284
284	2000284	14#161500|3#199800	null	10	285
285	2000285	14#162000|3#200400	19#1	10	286
286	2000286	14#162500|3#201000	null	10	287
287	2000287	14#163000|3#201600	null	10	288
288	2000288	14#163500|3#202200	null	10	289
289	2000289	14#164000|3#202800	null	10	290
290	2000290	14#164500|3#203400	3#730000	10	291
291	2000291	14#165000|3#204000	null	10	292
292	2000292	14#165500|3#204600	null	10	293
293	2000293	14#166000|3#205200	null	10	294
294	2000294	14#166500|3#205800	null	10	295
295	2000295	14#167000|3#206400	3#750000	10	296
296	2000296	14#167500|3#207000	null	10	297
297	2000297	14#168000|3#207600	null	10	298
298	2000298	14#168500|3#208200	null	10	299
299	2000299	14#169000|3#208800	null	10	300
300	2000300	14#169500|3#209400	19#1	10	301
301	2000301	14#170000|3#210000	null	10	302
302	2000302	14#170500|3#210600	null	10	303
303	2000303	14#171000|3#211200	null	10	304
304	2000304	14#171500|3#211800	null	10	305
305	2000305	14#172000|3#212400	3#750000	10	306
306	2000306	14#172500|3#213000	null	10	307
307	2000307	14#173000|3#213600	null	10	308
308	2000308	14#173500|3#214200	null	10	309
309	2000309	14#174000|3#214800	null	10	310
310	2000310	14#174500|3#215400	3#770000	10	311
311	2000311	14#175000|3#216000	null	10	312
312	2000312	14#175500|3#216600	null	10	313
313	2000313	14#176000|3#217200	null	10	314
314	2000314	14#176500|3#217800	null	10	315
315	2000315	14#177000|3#218400	19#1	10	316
316	2000316	14#177500|3#219000	null	10	317
317	2000317	14#178000|3#219600	null	10	318
318	2000318	14#178500|3#220200	null	10	319
319	2000319	14#179000|3#220800	null	10	320
320	2000320	14#179500|3#221400	3#770000	10	321
321	2000321	14#180000|3#222000	null	10	322
322	2000322	14#180500|3#222600	null	10	323
323	2000323	14#181000|3#223200	null	10	324
324	2000324	14#181500|3#223800	null	10	325
325	2000325	14#182000|3#224400	3#790000	10	326
326	2000326	14#182500|3#225000	null	10	327
327	2000327	14#183000|3#225600	null	10	328
328	2000328	14#183500|3#226200	null	10	329
329	2000329	14#184000|3#226800	null	10	330
330	2000330	14#184500|3#227400	19#1	10	331
331	2000331	14#185000|3#228000	null	10	332
332	2000332	14#185500|3#228600	null	10	333
333	2000333	14#186000|3#229200	null	10	334
334	2000334	14#186500|3#229800	null	10	335
335	2000335	14#187000|3#230400	3#790000	10	336
336	2000336	14#187500|3#231000	null	10	337
337	2000337	14#188000|3#231600	null	10	338
338	2000338	14#188500|3#232200	null	10	339
339	2000339	14#189000|3#232800	null	10	340
340	2000340	14#189500|3#233400	3#810000	10	341
341	2000341	14#190000|3#234000	null	10	342
342	2000342	14#190500|3#234600	null	10	343
343	2000343	14#191000|3#235200	null	10	344
344	2000344	14#191500|3#235800	null	10	345
345	2000345	14#192000|3#236400	19#1	10	346
346	2000346	14#192500|3#237000	null	10	347
347	2000347	14#193000|3#237600	null	10	348
348	2000348	14#193500|3#238200	null	10	349
349	2000349	14#194000|3#238800	null	10	350
350	2000350	14#194500|3#239400	3#810000	10	351
351	2000351	14#195000|3#240000	null	10	352
352	2000352	14#195500|3#240600	null	10	353
353	2000353	14#196000|3#241200	null	10	354
354	2000354	14#196500|3#241800	null	10	355
355	2000355	14#197000|3#242400	3#830000	10	356
356	2000356	14#197500|3#243000	null	10	357
357	2000357	14#198000|3#243600	null	10	358
358	2000358	14#198500|3#244200	null	10	359
359	2000359	14#199000|3#244800	null	10	360
360	2000360	14#199500|3#245400	19#1	10	361
361	2000361	14#200000|3#246000	null	10	362
362	2000362	14#200500|3#246600	null	10	363
363	2000363	14#201000|3#247200	null	10	364
364	2000364	14#201500|3#247800	null	10	365
365	2000365	14#202000|3#248400	3#830000	10	366
366	2000366	14#202500|3#249000	null	10	367
367	2000367	14#203000|3#249600	null	10	368
368	2000368	14#203500|3#250200	null	10	369
369	2000369	14#204000|3#250800	null	10	370
370	2000370	14#204500|3#251400	3#850000	10	371
371	2000371	14#205000|3#252000	null	10	372
372	2000372	14#205500|3#252600	null	10	373
373	2000373	14#206000|3#253200	null	10	374
374	2000374	14#206500|3#253800	null	10	375
375	2000375	14#207000|3#254400	19#1	10	376
376	2000376	14#207500|3#255000	null	10	377
377	2000377	14#208000|3#255600	null	10	378
378	2000378	14#208500|3#256200	null	10	379
379	2000379	14#209000|3#256800	null	10	380
380	2000380	14#209500|3#257400	3#850000	10	381
381	2000381	14#210000|3#258000	null	10	382
382	2000382	14#210500|3#258600	null	10	383
383	2000383	14#211000|3#259200	null	10	384
384	2000384	14#211500|3#259800	null	10	385
385	2000385	14#212000|3#260400	3#870000	10	386
386	2000386	14#212500|3#261000	null	10	387
387	2000387	14#213000|3#261600	null	10	388
388	2000388	14#213500|3#262200	null	10	389
389	2000389	14#214000|3#262800	null	10	390
390	2000390	14#214500|3#263400	19#1	10	391
391	2000391	14#215000|3#264000	null	10	392
392	2000392	14#215500|3#264600	null	10	393
393	2000393	14#216000|3#265200	null	10	394
394	2000394	14#216500|3#265800	null	10	395
395	2000395	14#217000|3#266400	3#870000	10	396
396	2000396	14#217500|3#267000	null	10	397
397	2000397	14#218000|3#267600	null	10	398
398	2000398	14#218500|3#268200	null	10	399
399	2000399	14#219000|3#268800	null	10	400
400	2000400	14#219500|3#269400	3#890000	10	401
401	2000401	14#220000|3#270000	null	10	402
402	2000402	14#220500|3#270600	null	10	403
403	2000403	14#221000|3#271200	null	10	404
404	2000404	14#221500|3#271800	null	10	405
405	2000405	14#222000|3#272400	19#1	10	406
406	2000406	14#222500|3#273000	null	10	407
407	2000407	14#223000|3#273600	null	10	408
408	2000408	14#223500|3#274200	null	10	409
409	2000409	14#224000|3#274800	null	10	410
410	2000410	14#224500|3#275400	3#890000	10	411
411	2000411	14#225000|3#276000	null	10	412
412	2000412	14#225500|3#276600	null	10	413
413	2000413	14#226000|3#277200	null	10	414
414	2000414	14#226500|3#277800	null	10	415
415	2000415	14#227000|3#278400	3#910000	10	416
416	2000416	14#227500|3#279000	null	10	417
417	2000417	14#228000|3#279600	null	10	418
418	2000418	14#228500|3#280200	null	10	419
419	2000419	14#229000|3#280800	null	10	420
420	2000420	14#229500|3#281400	19#1	10	421
421	2000421	14#230000|3#282000	null	10	422
422	2000422	14#230500|3#282600	null	10	423
423	2000423	14#231000|3#283200	null	10	424
424	2000424	14#231500|3#283800	null	10	425
425	2000425	14#232000|3#284400	3#910000	10	426
426	2000426	14#232500|3#285000	null	10	427
427	2000427	14#233000|3#285600	null	10	428
428	2000428	14#233500|3#286200	null	10	429
429	2000429	14#234000|3#286800	null	10	430
430	2000430	14#234500|3#287400	3#930000	10	431
431	2000431	14#235000|3#288000	null	10	432
432	2000432	14#235500|3#288600	null	10	433
433	2000433	14#236000|3#289200	null	10	434
434	2000434	14#236500|3#289800	null	10	435
435	2000435	14#237000|3#290400	19#1	10	436
436	2000436	14#237500|3#291000	null	10	437
437	2000437	14#238000|3#291600	null	10	438
438	2000438	14#238500|3#292200	null	10	439
439	2000439	14#239000|3#292800	null	10	440
440	2000440	14#239500|3#293400	3#930000	10	441
441	2000441	14#240000|3#294000	null	10	442
442	2000442	14#240500|3#294600	null	10	443
443	2000443	14#241000|3#295200	null	10	444
444	2000444	14#241500|3#295800	null	10	445
445	2000445	14#242000|3#296400	3#950000	10	446
446	2000446	14#242500|3#297000	null	10	447
447	2000447	14#243000|3#297600	null	10	448
448	2000448	14#243500|3#298200	null	10	449
449	2000449	14#244000|3#298800	null	10	450
450	2000450	14#244500|3#299400	19#1	10	451
451	2000451	14#245000|3#300000	null	10	452
452	2000452	14#245500|3#300600	null	10	453
453	2000453	14#246000|3#301200	null	10	454
454	2000454	14#246500|3#301800	null	10	455
455	2000455	14#247000|3#302400	3#950000	10	456
456	2000456	14#247500|3#303000	null	10	457
457	2000457	14#248000|3#303600	null	10	458
458	2000458	14#248500|3#304200	null	10	459
459	2000459	14#249000|3#304800	null	10	460
460	2000460	14#249500|3#305400	3#970000	10	461
461	2000461	14#250000|3#306000	null	10	462
462	2000462	14#250500|3#306600	null	10	463
463	2000463	14#251000|3#307200	null	10	464
464	2000464	14#251500|3#307800	null	10	465
465	2000465	14#252000|3#308400	19#1	10	466
466	2000466	14#252500|3#309000	null	10	467
467	2000467	14#253000|3#309600	null	10	468
468	2000468	14#253500|3#310200	null	10	469
469	2000469	14#254000|3#310800	null	10	470
470	2000470	14#254500|3#311400	3#970000	10	471
471	2000471	14#255000|3#312000	null	10	472
472	2000472	14#255500|3#312600	null	10	473
473	2000473	14#256000|3#313200	null	10	474
474	2000474	14#256500|3#313800	null	10	475
475	2000475	14#257000|3#314400	3#990000	10	476
476	2000476	14#257500|3#315000	null	10	477
477	2000477	14#258000|3#315600	null	10	478
478	2000478	14#258500|3#316200	null	10	479
479	2000479	14#259000|3#316800	null	10	480
480	2000480	14#259500|3#317400	19#1	10	481
481	2000481	14#260000|3#318000	null	10	482
482	2000482	14#260500|3#318600	null	10	483
483	2000483	14#261000|3#319200	null	10	484
484	2000484	14#261500|3#319800	null	10	485
485	2000485	14#262000|3#320400	3#990000	10	486
486	2000486	14#262500|3#321000	null	10	487
487	2000487	14#263000|3#321600	null	10	488
488	2000488	14#263500|3#322200	null	10	489
489	2000489	14#264000|3#322800	null	10	490
490	2000490	14#264500|3#323400	3#1020000	10	491
491	2000491	14#265000|3#324000	null	10	492
492	2000492	14#265500|3#324600	null	10	493
493	2000493	14#266000|3#325200	null	10	494
494	2000494	14#266500|3#325800	null	10	495
495	2000495	14#267000|3#326400	19#1	10	496
496	2000496	14#267500|3#327000	null	10	497
497	2000497	14#268000|3#327600	null	10	498
498	2000498	14#268500|3#328200	null	10	499
499	2000499	14#269000|3#328800	null	10	500
500	2000500	14#269500|3#329400	3#1020000	10	501
501	2000501	14#270000|3#330000	null	10	502
502	2000502	14#270500|3#330600	null	10	503
503	2000503	14#271000|3#331200	null	10	504
504	2000504	14#271500|3#331800	null	10	505
505	2000505	14#272000|3#332400	3#1040000	10	506
506	2000506	14#272500|3#333000	null	10	507
507	2000507	14#273000|3#333600	null	10	508
508	2000508	14#273500|3#334200	null	10	509
509	2000509	14#274000|3#334800	null	10	510
510	2000510	14#274500|3#335400	19#1	10	511
511	2000511	14#275000|3#336000	null	10	512
512	2000512	14#275500|3#336600	null	10	513
513	2000513	14#276000|3#337200	null	10	514
514	2000514	14#276500|3#337800	null	10	515
515	2000515	14#277000|3#338400	3#1040000	10	516
516	2000516	14#277500|3#339000	null	10	517
517	2000517	14#278000|3#339600	null	10	518
518	2000518	14#278500|3#340200	null	10	519
519	2000519	14#279000|3#340800	null	10	520
520	2000520	14#279500|3#341400	3#1060000	10	521
521	2000521	14#280000|3#342000	null	10	522
522	2000522	14#280500|3#342600	null	10	523
523	2000523	14#281000|3#343200	null	10	524
524	2000524	14#281500|3#343800	null	10	525
525	2000525	14#282000|3#344400	19#1	10	526
526	2000526	14#282500|3#345000	null	10	527
527	2000527	14#283000|3#345600	null	10	528
528	2000528	14#283500|3#346200	null	10	529
529	2000529	14#284000|3#346800	null	10	530
530	2000530	14#284500|3#347400	3#1060000	10	531
531	2000531	14#285000|3#348000	null	10	532
532	2000532	14#285500|3#348600	null	10	533
533	2000533	14#286000|3#349200	null	10	534
534	2000534	14#286500|3#349800	null	10	535
535	2000535	14#287000|3#350400	3#1080000	10	536
536	2000536	14#287500|3#351000	null	10	537
537	2000537	14#288000|3#351600	null	10	538
538	2000538	14#288500|3#352200	null	10	539
539	2000539	14#289000|3#352800	null	10	540
540	2000540	14#289500|3#353400	19#1	10	541
541	2000541	14#290000|3#354000	null	10	542
542	2000542	14#290500|3#354600	null	10	543
543	2000543	14#291000|3#355200	null	10	544
544	2000544	14#291500|3#355800	null	10	545
545	2000545	14#292000|3#356400	3#1080000	10	546
546	2000546	14#292500|3#357000	null	10	547
547	2000547	14#293000|3#357600	null	10	548
548	2000548	14#293500|3#358200	null	10	549
549	2000549	14#294000|3#358800	null	10	550
550	2000550	14#294500|3#359400	3#1100000	10	551
551	2000551	14#295000|3#360000	null	10	552
552	2000552	14#295500|3#360600	null	10	553
553	2000553	14#296000|3#361200	null	10	554
554	2000554	14#296500|3#361800	null	10	555
555	2000555	14#297000|3#362400	19#1	10	556
556	2000556	14#297500|3#363000	null	10	557
557	2000557	14#298000|3#363600	null	10	558
558	2000558	14#298500|3#364200	null	10	559
559	2000559	14#299000|3#364800	null	10	560
560	2000560	14#299500|3#365400	3#1100000	10	561
561	2000561	14#300000|3#366000	null	10	562
562	2000562	14#300500|3#366600	null	10	563
563	2000563	14#301000|3#367200	null	10	564
564	2000564	14#301500|3#367800	null	10	565
565	2000565	14#302000|3#368400	3#1120000	10	566
566	2000566	14#302500|3#369000	null	10	567
567	2000567	14#303000|3#369600	null	10	568
568	2000568	14#303500|3#370200	null	10	569
569	2000569	14#304000|3#370800	null	10	570
570	2000570	14#304500|3#371400	19#1	10	571
571	2000571	14#305000|3#372000	null	10	572
572	2000572	14#305500|3#372600	null	10	573
573	2000573	14#306000|3#373200	null	10	574
574	2000574	14#306500|3#373800	null	10	575
575	2000575	14#307000|3#374400	3#1120000	10	576
576	2000576	14#307500|3#375000	null	10	577
577	2000577	14#308000|3#375600	null	10	578
578	2000578	14#308500|3#376200	null	10	579
579	2000579	14#309000|3#376800	null	10	580
580	2000580	14#309500|3#377400	3#1140000	10	581
581	2000581	14#310000|3#378000	null	10	582
582	2000582	14#310500|3#378600	null	10	583
583	2000583	14#311000|3#379200	null	10	584
584	2000584	14#311500|3#379800	null	10	585
585	2000585	14#312000|3#380400	19#1	10	586
586	2000586	14#312500|3#381000	null	10	587
587	2000587	14#313000|3#381600	null	10	588
588	2000588	14#313500|3#382200	null	10	589
589	2000589	14#314000|3#382800	null	10	590
590	2000590	14#314500|3#383400	3#1140000	10	591
591	2000591	14#315000|3#384000	null	10	592
592	2000592	14#315500|3#384600	null	10	593
593	2000593	14#316000|3#385200	null	10	594
594	2000594	14#316500|3#385800	null	10	595
595	2000595	14#317000|3#386400	3#1160000	10	596
596	2000596	14#317500|3#387000	null	10	597
597	2000597	14#318000|3#387600	null	10	598
598	2000598	14#318500|3#388200	null	10	599
599	2000599	14#319000|3#388800	null	10	600
600	2000600	14#319500|3#389400	19#1	10	601
601	2000601	14#320000|3#390000	null	10	602
602	2000602	14#320500|3#390600	null	10	603
603	2000603	14#321000|3#391200	null	10	604
604	2000604	14#321500|3#391800	null	10	605
605	2000605	14#322000|3#392400	3#1160000	10	606
606	2000606	14#322500|3#393000	null	10	607
607	2000607	14#323000|3#393600	null	10	608
608	2000608	14#323500|3#394200	null	10	609
609	2000609	14#324000|3#394800	null	10	610
610	2000610	14#324500|3#395400	3#1180000	10	611
611	2000611	14#325000|3#396000	null	10	612
612	2000612	14#325500|3#396600	null	10	613
613	2000613	14#326000|3#397200	null	10	614
614	2000614	14#326500|3#397800	null	10	615
615	2000615	14#327000|3#398400	19#1	10	616
616	2000616	14#327500|3#399000	null	10	617
