Id	Level	Quality	CharacterLevelPara	Consume	SumConsume
45	45	3	1#3136|2#470|4#156|3#156	1202#7200	1202#185400
46	46	3	1#3264|2#489|4#163|3#163	1202#7280	1202#192600
47	47	3	1#3392|2#508|4#169|3#169	1202#7360	1202#199880
48	48	3	1#3520|2#528|4#176|3#176	1202#7440	1202#207240
49	49	3	1#3648|2#547|4#182|3#182	1202#7520	1202#214680
50	50	3	1#3776|2#566|4#188|3#188	1202#7600	1202#222200
51	51	3	1#3904|2#585|4#195|3#195	1202#7680	1202#229800
52	52	3	1#4032|2#604|4#201|3#201	1202#7760	1202#237480
53	53	3	1#4160|2#624|4#208|3#208	1202#7840	1202#245240
54	54	3	1#4288|2#643|4#214|3#214	1202#7920	1202#253080
55	55	3	1#4416|2#662|4#220|3#220	1202#8000	1202#261000
56	56	3	1#4544|2#681|4#227|3#227	1202#8080	1202#269000
57	57	3	1#4672|2#700|4#233|3#233	1202#8160	1202#277080
58	58	3	1#4800|2#720|4#240|3#240	1202#8240	1202#285240
59	59	3	1#4928|2#739|4#246|3#246	1202#8320	1202#293480
60	60	3	1#5056|2#758|4#252|3#252	1202#8400	1202#301800
61	61	3	1#5184|2#777|4#259|3#259	1202#9200	1202#310200
62	62	3	1#5312|2#796|4#265|3#265	1202#10000	1202#319400
63	63	3	1#5440|2#816|4#272|3#272	1202#10800	1202#329400
64	64	3	1#5568|2#835|4#278|3#278	1202#11600	1202#340200
65	65	3	1#5696|2#854|4#284|3#284	1202#12400	1202#351800
66	66	3	1#5824|2#873|4#291|3#291	1202#13200	1202#364200
67	67	3	1#5952|2#892|4#297|3#297	1202#14000	1202#377400
68	68	3	1#6080|2#912|4#304|3#304	1202#14800	1202#391400
69	69	3	1#6208|2#931|4#310|3#310	1202#15600	1202#406200
70	70	3	1#6336|2#950|4#316|3#316	1202#16400	1202#421800
71	71	3	1#6464|2#969|4#323|3#323	1202#17200	1202#438200
72	72	3	1#6592|2#988|4#329|3#329	1202#18000	1202#455400
73	73	3	1#6720|2#1008|4#336|3#336	1202#18800	1202#473400
74	74	3	1#6848|2#1027|4#342|3#342	1202#19600	1202#492200
75	75	3	1#6976|2#1046|4#348|3#348	1202#20400	1202#511800
76	76	3	1#7104|2#1065|4#355|3#355	1202#21200	1202#532200
77	77	3	1#7232|2#1084|4#361|3#361	1202#22000	1202#553400
78	78	3	1#7360|2#1104|4#368|3#368	1202#22800	1202#575400
79	79	3	1#7488|2#1123|4#374|3#374	1202#23600	1202#598200
80	80	3	1#7616|2#1142|4#380|3#380	1202#24400	1202#621800
81	81	3	1#7808|2#1171|4#390|3#390	1202#25200	1202#646200
82	82	3	1#8000|2#1200|4#400|3#400	1202#26000	1202#671400
83	83	3	1#8192|2#1228|4#409|3#409	1202#26800	1202#697400
84	84	3	1#8384|2#1257|4#419|3#419	1202#27600	1202#724200
85	85	3	1#8576|2#1286|4#428|3#428	1202#28400	1202#751800
86	86	3	1#8768|2#1315|4#438|3#438	1202#29200	1202#780200
87	87	3	1#8960|2#1344|4#448|3#448	1202#30000	1202#809400
88	88	3	1#9152|2#1372|4#457|3#457	1202#30800	1202#839400
89	89	3	1#9344|2#1401|4#467|3#467	1202#31600	1202#870200
90	90	3	1#9536|2#1430|4#476|3#476	1202#32400	1202#901800
91	91	3	1#9728|2#1459|4#486|3#486	1202#33200	1202#934200
92	92	3	1#9920|2#1488|4#496|3#496	1202#34000	1202#967400
93	93	3	1#10112|2#1516|4#505|3#505	1202#34800	1202#1001400
94	94	3	1#10304|2#1545|4#515|3#515	1202#35600	1202#1036200
95	95	3	1#10496|2#1574|4#524|3#524	1202#36400	1202#1071800
96	96	3	1#10688|2#1603|4#534|3#534	1202#37200	1202#1108200
97	97	3	1#10880|2#1632|4#544|3#544	1202#38000	1202#1145400
98	98	3	1#11072|2#1660|4#553|3#553	1202#38800	1202#1183400
99	99	3	1#11264|2#1689|4#563|3#563	1202#39600	1202#1222200
100	100	3	1#11456|2#1718|4#572|3#572	1202#40000	1202#1261800
101	101	3	1#11648|2#1747|4#582|3#582	1202#40400	1202#1301800
102	102	3	1#11840|2#1776|4#592|3#592	1202#40800	1202#1342200
103	103	3	1#12032|2#1804|4#601|3#601	1202#41200	1202#1383000
104	104	3	1#12224|2#1833|4#611|3#611	1202#41600	1202#1424200
105	105	3	1#12416|2#1862|4#620|3#620	1202#42000	1202#1465800
106	106	3	1#12608|2#1891|4#630|3#630	1202#42400	1202#1507800
107	107	3	1#12800|2#1920|4#640|3#640	1202#42800	1202#1550200
108	108	3	1#12992|2#1948|4#649|3#649	1202#43200	1202#1593000
109	109	3	1#13184|2#1977|4#659|3#659	1202#43600	1202#1636200
110	110	3	1#13376|2#2006|4#668|3#668	1202#44000	1202#1679800
111	111	3	1#13568|2#2035|4#678|3#678	1202#44400	1202#1723800
112	112	3	1#13760|2#2064|4#688|3#688	1202#44800	1202#1768200
113	113	3	1#13952|2#2092|4#697|3#697	1202#45200	1202#1813000
114	114	3	1#14144|2#2121|4#707|3#707	1202#45600	1202#1858200
115	115	3	1#14336|2#2150|4#716|3#716	1202#46000	1202#1903800
116	116	3	1#14528|2#2179|4#726|3#726	1202#46400	1202#1949800
117	117	3	1#14720|2#2208|4#736|3#736	1202#46800	1202#1996200
118	118	3	1#14912|2#2236|4#745|3#745	1202#47200	1202#2043000
119	119	3	1#15104|2#2265|4#755|3#755	1202#47600	1202#2090200
120	120	3	1#15296|2#2294|4#764|3#764	1202#48000	1202#2137800
121	121	3	1#15552|2#2332|4#777|3#777	1202#48400	1202#2185800
122	122	3	1#15808|2#2371|4#790|3#790	1202#48800	1202#2234200
123	123	3	1#16064|2#2409|4#803|3#803	1202#49200	1202#2283000
124	124	3	1#16320|2#2448|4#816|3#816	1202#49600	1202#2332200
125	125	3	1#16576|2#2486|4#828|3#828	1202#50000	1202#2381800
126	126	3	1#16832|2#2524|4#841|3#841	1202#50400	1202#2431800
127	127	3	1#17088|2#2563|4#854|3#854	1202#50800	1202#2482200
128	128	3	1#17344|2#2601|4#867|3#867	1202#51200	1202#2533000
129	129	3	1#17600|2#2640|4#880|3#880	1202#51600	1202#2584200
130	130	3	1#17856|2#2678|4#892|3#892	1202#52000	1202#2635800
131	131	3	1#18112|2#2716|4#905|3#905	1202#52400	1202#2687800
132	132	3	1#18368|2#2755|4#918|3#918	1202#52800	1202#2740200
133	133	3	1#18624|2#2793|4#931|3#931	1202#53200	1202#2793000
134	134	3	1#18880|2#2832|4#944|3#944	1202#53600	1202#2846200
135	135	3	1#19136|2#2870|4#956|3#956	1202#54000	1202#2899800
136	136	3	1#19392|2#2908|4#969|3#969	1202#54400	1202#2953800
137	137	3	1#19648|2#2947|4#982|3#982	1202#54800	1202#3008200
138	138	3	1#19904|2#2985|4#995|3#995	1202#55200	1202#3063000
139	139	3	1#20160|2#3024|4#1008|3#1008	1202#55600	1202#3118200
140	140	3	1#20416|2#3062|4#1020|3#1020	1202#56000	1202#3173800
141	141	3	1#20672|2#3100|4#1033|3#1033	1202#56400	1202#3229800
142	142	3	1#20928|2#3139|4#1046|3#1046	1202#56800	1202#3286200
143	143	3	1#21184|2#3177|4#1059|3#1059	1202#57200	1202#3343000
144	144	3	1#21440|2#3216|4#1072|3#1072	1202#57600	1202#3400200
145	145	3	1#21696|2#3254|4#1084|3#1084	1202#58000	1202#3457800
146	146	3	1#21952|2#3292|4#1097|3#1097	1202#58400	1202#3515800
147	147	3	1#22208|2#3331|4#1110|3#1110	1202#58800	1202#3574200
148	148	3	1#22464|2#3369|4#1123|3#1123	1202#59200	1202#3633000
149	149	3	1#22720|2#3408|4#1136|3#1136	1202#59600	1202#3692200
150	150	3	1#22976|2#3446|4#1148|3#1148	1202#60000	1202#3751800
151	151	3	1#23232|2#3484|4#1161|3#1161	1202#60400	1202#3811800
152	152	3	1#23488|2#3523|4#1174|3#1174	1202#60800	1202#3872200
153	153	3	1#23744|2#3561|4#1187|3#1187	1202#61200	1202#3933000
154	154	3	1#24000|2#3600|4#1200|3#1200	1202#61600	1202#3994200
155	155	3	1#24256|2#3638|4#1212|3#1212	1202#62000	1202#4055800
156	156	3	1#24512|2#3676|4#1225|3#1225	1202#62400	1202#4117800
157	157	3	1#24768|2#3715|4#1238|3#1238	1202#62800	1202#4180200
158	158	3	1#25024|2#3753|4#1251|3#1251	1202#63200	1202#4243000
159	159	3	1#25280|2#3792|4#1264|3#1264	1202#63600	1202#4306200
160	160	3	1#25536|2#3830|4#1276|3#1276	1202#64000	1202#4369800
161	161	3	1#25856|2#3878|4#1292|3#1292	1202#64400	1202#4433800
162	162	3	1#26176|2#3926|4#1308|3#1308	1202#64800	1202#4498200
163	163	3	1#26496|2#3974|4#1324|3#1324	1202#65200	1202#4563000
164	164	3	1#26816|2#4022|4#1340|3#1340	1202#65600	1202#4628200
165	165	3	1#27136|2#4070|4#1356|3#1356	1202#66000	1202#4693800
166	166	3	1#27456|2#4118|4#1372|3#1372	1202#66400	1202#4759800
167	167	3	1#27776|2#4166|4#1388|3#1388	1202#66800	1202#4826200
168	168	3	1#28096|2#4214|4#1404|3#1404	1202#67200	1202#4893000
169	169	3	1#28416|2#4262|4#1420|3#1420	1202#67600	1202#4960200
170	170	3	1#28736|2#4310|4#1436|3#1436	1202#68000	1202#5027800
171	171	3	1#29056|2#4358|4#1452|3#1452	1202#68400	1202#5095800
172	172	3	1#29376|2#4406|4#1468|3#1468	1202#68800	1202#5164200
173	173	3	1#29696|2#4454|4#1484|3#1484	1202#69200	1202#5233000
174	174	3	1#30016|2#4502|4#1500|3#1500	1202#69600	1202#5302200
175	175	3	1#30336|2#4550|4#1516|3#1516	1202#70000	1202#5371800
176	176	3	1#30656|2#4598|4#1532|3#1532	1202#70400	1202#5441800
177	177	3	1#30976|2#4646|4#1548|3#1548	1202#70800	1202#5512200
178	178	3	1#31296|2#4694|4#1564|3#1564	1202#71200	1202#5583000
179	179	3	1#31616|2#4742|4#1580|3#1580	1202#71600	1202#5654200
180	180	3	1#31936|2#4790|4#1596|3#1596	1202#72000	1202#5725800
181	181	3	1#32256|2#4838|4#1612|3#1612	1202#72400	1202#5797800
182	182	3	1#32576|2#4886|4#1628|3#1628	1202#72800	1202#5870200
183	183	3	1#32896|2#4934|4#1644|3#1644	1202#73200	1202#5943000
184	184	3	1#33216|2#4982|4#1660|3#1660	1202#73600	1202#6016200
185	185	3	1#33536|2#5030|4#1676|3#1676	1202#74000	1202#6089800
186	186	3	1#33856|2#5078|4#1692|3#1692	1202#74400	1202#6163800
187	187	3	1#34176|2#5126|4#1708|3#1708	1202#74800	1202#6238200
188	188	3	1#34496|2#5174|4#1724|3#1724	1202#75200	1202#6313000
189	189	3	1#34816|2#5222|4#1740|3#1740	1202#75600	1202#6388200
190	190	3	1#35136|2#5270|4#1756|3#1756	1202#76000	1202#6463800
191	191	3	1#35456|2#5318|4#1772|3#1772	1202#76400	1202#6539800
192	192	3	1#35776|2#5366|4#1788|3#1788	1202#76800	1202#6616200
193	193	3	1#36096|2#5414|4#1804|3#1804	1202#77200	1202#6693000
194	194	3	1#36416|2#5462|4#1820|3#1820	1202#77600	1202#6770200
195	195	3	1#36736|2#5510|4#1836|3#1836	1202#78000	1202#6847800
196	196	3	1#37056|2#5558|4#1852|3#1852	1202#78400	1202#6925800
197	197	3	1#37376|2#5606|4#1868|3#1868	1202#78800	1202#7004200
198	198	3	1#37696|2#5654|4#1884|3#1884	1202#79200	1202#7083000
199	199	3	1#38016|2#5702|4#1900|3#1900	1202#79600	1202#7162200
200	200	3	1#38336|2#5750|4#1916|3#1916	1202#80000	1202#7241800
201	201	3	1#38720|2#5808|4#1936|3#1936	1202#80400	1202#7321800
202	202	3	1#39104|2#5865|4#1955|3#1955	1202#80800	1202#7402200
203	203	3	1#39488|2#5923|4#1974|3#1974	1202#81200	1202#7483000
204	204	3	1#39872|2#5980|4#1993|3#1993	1202#81600	1202#7564200
205	205	3	1#40256|2#6038|4#2012|3#2012	1202#82000	1202#7645800
206	206	3	1#40640|2#6096|4#2032|3#2032	1202#82400	1202#7727800
207	207	3	1#41024|2#6153|4#2051|3#2051	1202#82800	1202#7810200
208	208	3	1#41408|2#6211|4#2070|3#2070	1202#83200	1202#7893000
209	209	3	1#41792|2#6268|4#2089|3#2089	1202#83600	1202#7976200
210	210	3	1#42176|2#6326|4#2108|3#2108	1202#84000	1202#8059800
211	211	3	1#42560|2#6384|4#2128|3#2128	1202#84400	1202#8143800
212	212	3	1#42944|2#6441|4#2147|3#2147	1202#84800	1202#8228200
213	213	3	1#43328|2#6499|4#2166|3#2166	1202#85200	1202#8313000
214	214	3	1#43712|2#6556|4#2185|3#2185	1202#85600	1202#8398200
215	215	3	1#44096|2#6614|4#2204|3#2204	1202#86000	1202#8483800
216	216	3	1#44480|2#6672|4#2224|3#2224	1202#86400	1202#8569800
217	217	3	1#44864|2#6729|4#2243|3#2243	1202#86800	1202#8656200
218	218	3	1#45248|2#6787|4#2262|3#2262	1202#87200	1202#8743000
219	219	3	1#45632|2#6844|4#2281|3#2281	1202#87600	1202#8830200
220	220	3	1#46016|2#6902|4#2300|3#2300	1202#88000	1202#8917800
221	221	3	1#46400|2#6960|4#2320|3#2320	1202#88400	1202#9005800
222	222	3	1#46784|2#7017|4#2339|3#2339	1202#88800	1202#9094200
223	223	3	1#47168|2#7075|4#2358|3#2358	1202#89200	1202#9183000
224	224	3	1#47552|2#7132|4#2377|3#2377	1202#89600	1202#9272200
225	225	3	1#47936|2#7190|4#2396|3#2396	1202#90000	1202#9361800
226	226	3	1#48320|2#7248|4#2416|3#2416	1202#90400	1202#9451800
227	227	3	1#48704|2#7305|4#2435|3#2435	1202#90800	1202#9542200
228	228	3	1#49088|2#7363|4#2454|3#2454	1202#91200	1202#9633000
229	229	3	1#49472|2#7420|4#2473|3#2473	1202#91600	1202#9724200
230	230	3	1#49856|2#7478|4#2492|3#2492	1202#92000	1202#9815800
231	231	3	1#50240|2#7536|4#2512|3#2512	1202#92400	1202#9907800
232	232	3	1#50624|2#7593|4#2531|3#2531	1202#92800	1202#10000200
233	233	3	1#51008|2#7651|4#2550|3#2550	1202#93200	1202#10093000
234	234	3	1#51392|2#7708|4#2569|3#2569	1202#93600	1202#10186200
235	235	3	1#51776|2#7766|4#2588|3#2588	1202#94000	1202#10279800
236	236	3	1#52160|2#7824|4#2608|3#2608	1202#94400	1202#10373800
237	237	3	1#52544|2#7881|4#2627|3#2627	1202#94800	1202#10468200
238	238	3	1#52928|2#7939|4#2646|3#2646	1202#95200	1202#10563000
239	239	3	1#53312|2#7996|4#2665|3#2665	1202#95600	1202#10658200
240	240	3	1#53696|2#8054|4#2684|3#2684	1202#96000	1202#10753800
241	241	3	1#54144|2#8121|4#2707|3#2707	1202#96400	1202#10849800
242	242	3	1#54592|2#8188|4#2729|3#2729	1202#96800	1202#10946200
243	243	3	1#55040|2#8256|4#2752|3#2752	1202#97200	1202#11043000
244	244	3	1#55488|2#8323|4#2774|3#2774	1202#97600	1202#11140200
245	245	3	1#55936|2#8390|4#2796|3#2796	1202#98000	1202#11237800
246	246	3	1#56384|2#8457|4#2819|3#2819	1202#98400	1202#11335800
247	247	3	1#56832|2#8524|4#2841|3#2841	1202#98800	1202#11434200
248	248	3	1#57280|2#8592|4#2864|3#2864	1202#99200	1202#11533000
249	249	3	1#57728|2#8659|4#2886|3#2886	1202#99600	1202#11632200
250	250	3	1#58176|2#8726|4#2908|3#2908	1202#100000	1202#11731800
251	251	3	1#58624|2#8793|4#2931|3#2931	1202#100400	1202#11831800
252	252	3	1#59072|2#8860|4#2953|3#2953	1202#100800	1202#11932200
253	253	3	1#59520|2#8928|4#2976|3#2976	1202#101200	1202#12033000
254	254	3	1#59968|2#8995|4#2998|3#2998	1202#101600	1202#12134200
255	255	3	1#60416|2#9062|4#3020|3#3020	1202#102000	1202#12235800
256	256	3	1#60864|2#9129|4#3043|3#3043	1202#102400	1202#12337800
257	257	3	1#61312|2#9196|4#3065|3#3065	1202#102800	1202#12440200
258	258	3	1#61760|2#9264|4#3088|3#3088	1202#103200	1202#12543000
259	259	3	1#62208|2#9331|4#3110|3#3110	1202#103600	1202#12646200
260	260	3	1#62656|2#9398|4#3132|3#3132	1202#104000	1202#12749800
261	261	3	1#63104|2#9465|4#3155|3#3155	1202#104400	1202#12853800
262	262	3	1#63552|2#9532|4#3177|3#3177	1202#104800	1202#12958200
263	263	3	1#64000|2#9600|4#3200|3#3200	1202#105200	1202#13063000
264	264	3	1#64448|2#9667|4#3222|3#3222	1202#105600	1202#13168200
265	265	3	1#64896|2#9734|4#3244|3#3244	1202#106000	1202#13273800
266	266	3	1#65344|2#9801|4#3267|3#3267	1202#106400	1202#13379800
267	267	3	1#65792|2#9868|4#3289|3#3289	1202#106800	1202#13486200
268	268	3	1#66240|2#9936|4#3312|3#3312	1202#107200	1202#13593000
269	269	3	1#66688|2#10003|4#3334|3#3334	1202#107600	1202#13700200
270	270	3	1#67136|2#10070|4#3356|3#3356	1202#108000	1202#13807800
271	271	3	1#67584|2#10137|4#3379|3#3379	1202#108400	1202#13915800
272	272	3	1#68032|2#10204|4#3401|3#3401	1202#108800	1202#14024200
273	273	3	1#68480|2#10272|4#3424|3#3424	1202#109200	1202#14133000
274	274	3	1#68928|2#10339|4#3446|3#3446	1202#109600	1202#14242200
275	275	3	1#69376|2#10406|4#3468|3#3468	1202#110000	1202#14351800
276	276	3	1#69824|2#10473|4#3491|3#3491	1202#110400	1202#14461800
277	277	3	1#70272|2#10540|4#3513|3#3513	1202#110800	1202#14572200
278	278	3	1#70720|2#10608|4#3536|3#3536	1202#111200	1202#14683000
279	279	3	1#71168|2#10675|4#3558|3#3558	1202#111600	1202#14794200
280	280	3	1#71616|2#10742|4#3580|3#3580	1202#112000	1202#14905800
281	281	3	1#72128|2#10819|4#3606|3#3606	1202#112400	1202#15017800
282	282	3	1#72640|2#10896|4#3632|3#3632	1202#112800	1202#15130200
283	283	3	1#73152|2#10972|4#3657|3#3657	1202#113200	1202#15243000
284	284	3	1#73664|2#11049|4#3683|3#3683	1202#113600	1202#15356200
285	285	3	1#74176|2#11126|4#3708|3#3708	1202#114000	1202#15469800
286	286	3	1#74688|2#11203|4#3734|3#3734	1202#114400	1202#15583800
287	287	3	1#75200|2#11280|4#3760|3#3760	1202#114800	1202#15698200
288	288	3	1#75712|2#11356|4#3785|3#3785	1202#115200	1202#15813000
289	289	3	1#76224|2#11433|4#3811|3#3811	1202#115600	1202#15928200
290	290	3	1#76736|2#11510|4#3836|3#3836	1202#116000	1202#16043800
291	291	3	1#77248|2#11587|4#3862|3#3862	1202#116400	1202#16159800
292	292	3	1#77760|2#11664|4#3888|3#3888	1202#116800	1202#16276200
293	293	3	1#78272|2#11740|4#3913|3#3913	1202#117200	1202#16393000
294	294	3	1#78784|2#11817|4#3939|3#3939	1202#117600	1202#16510200
295	295	3	1#79296|2#11894|4#3964|3#3964	1202#118000	1202#16627800
296	296	3	1#79808|2#11971|4#3990|3#3990	1202#118400	1202#16745800
297	297	3	1#80320|2#12048|4#4016|3#4016	1202#118800	1202#16864200
298	298	3	1#80832|2#12124|4#4041|3#4041	1202#119200	1202#16983000
299	299	3	1#81344|2#12201|4#4067|3#4067	1202#119600	1202#17102200
300	300	3	1#81856|2#12278|4#4092|3#4092	1202#120000	1202#17221800
301	1	4	1#0|2#0|4#0|3#0	1202#300	null
302	2	4	1#96|2#14|4#4|3#4	1202#600	1202#300
303	3	4	1#192|2#28|4#9|3#9	1202#900	1202#900
304	4	4	1#288|2#43|4#14|3#14	1202#1200	1202#1800
305	5	4	1#384|2#57|4#19|3#19	1202#1500	1202#3000
306	6	4	1#480|2#72|4#24|3#24	1202#1800	1202#4500
307	7	4	1#576|2#86|4#28|3#28	1202#2100	1202#6300
308	8	4	1#672|2#100|4#33|3#33	1202#2400	1202#8400
309	9	4	1#768|2#115|4#38|3#38	1202#2700	1202#10800
310	10	4	1#864|2#129|4#43|3#43	1202#3000	1202#13500
311	11	4	1#960|2#144|4#48|3#48	1202#3300	1202#16500
312	12	4	1#1056|2#158|4#52|3#52	1202#3600	1202#19800
313	13	4	1#1152|2#172|4#57|3#57	1202#3900	1202#23400
314	14	4	1#1248|2#187|4#62|3#62	1202#4200	1202#27300
315	15	4	1#1344|2#201|4#67|3#67	1202#4500	1202#31500
316	16	4	1#1440|2#216|4#72|3#72	1202#4800	1202#36000
317	17	4	1#1536|2#230|4#76|3#76	1202#5100	1202#40800
318	18	4	1#1632|2#244|4#81|3#81	1202#5400	1202#45900
319	19	4	1#1728|2#259|4#86|3#86	1202#5700	1202#51300
320	20	4	1#1824|2#273|4#91|3#91	1202#6000	1202#57000
321	21	4	1#1920|2#288|4#96|3#96	1202#6300	1202#63000
322	22	4	1#2016|2#302|4#100|3#100	1202#6600	1202#69300
323	23	4	1#2112|2#316|4#105|3#105	1202#6900	1202#75900
324	24	4	1#2208|2#331|4#110|3#110	1202#7200	1202#82800
325	25	4	1#2304|2#345|4#115|3#115	1202#7500	1202#90000
326	26	4	1#2400|2#360|4#120|3#120	1202#7800	1202#97500
327	27	4	1#2496|2#374|4#124|3#124	1202#8100	1202#105300
328	28	4	1#2592|2#388|4#129|3#129	1202#8400	1202#113400
329	29	4	1#2688|2#403|4#134|3#134	1202#8700	1202#121800
330	30	4	1#2784|2#417|4#139|3#139	1202#9000	1202#130500
331	31	4	1#2880|2#432|4#144|3#144	1202#9120	1202#139500
332	32	4	1#2976|2#446|4#148|3#148	1202#9240	1202#148620
333	33	4	1#3072|2#460|4#153|3#153	1202#9360	1202#157860
334	34	4	1#3168|2#475|4#158|3#158	1202#9480	1202#167220
335	35	4	1#3264|2#489|4#163|3#163	1202#9600	1202#176700
336	36	4	1#3360|2#504|4#168|3#168	1202#9720	1202#186300
337	37	4	1#3456|2#518|4#172|3#172	1202#9840	1202#196020
338	38	4	1#3552|2#532|4#177|3#177	1202#9960	1202#205860
339	39	4	1#3648|2#547|4#182|3#182	1202#10080	1202#215820
340	40	4	1#3744|2#561|4#187|3#187	1202#10200	1202#225900
341	41	4	1#3936|2#590|4#196|3#196	1202#10320	1202#236100
342	42	4	1#4128|2#619|4#206|3#206	1202#10440	1202#246420
343	43	4	1#4320|2#648|4#216|3#216	1202#10560	1202#256860
344	44	4	1#4512|2#676|4#225|3#225	1202#10680	1202#267420
345	45	4	1#4704|2#705|4#235|3#235	1202#10800	1202#278100
346	46	4	1#4896|2#734|4#244|3#244	1202#10920	1202#288900
347	47	4	1#5088|2#763|4#254|3#254	1202#11040	1202#299820
348	48	4	1#5280|2#792|4#264|3#264	1202#11160	1202#310860
349	49	4	1#5472|2#820|4#273|3#273	1202#11280	1202#322020
350	50	4	1#5664|2#849|4#283|3#283	1202#11400	1202#333300
351	51	4	1#5856|2#878|4#292|3#292	1202#11520	1202#344700
352	52	4	1#6048|2#907|4#302|3#302	1202#11640	1202#356220
353	53	4	1#6240|2#936|4#312|3#312	1202#11760	1202#367860
354	54	4	1#6432|2#964|4#321|3#321	1202#11880	1202#379620
355	55	4	1#6624|2#993|4#331|3#331	1202#12000	1202#391500
356	56	4	1#6816|2#1022|4#340|3#340	1202#12120	1202#403500
357	57	4	1#7008|2#1051|4#350|3#350	1202#12240	1202#415620
358	58	4	1#7200|2#1080|4#360|3#360	1202#12360	1202#427860
359	59	4	1#7392|2#1108|4#369|3#369	1202#12480	1202#440220
360	60	4	1#7584|2#1137|4#379|3#379	1202#12600	1202#452700
361	61	4	1#7776|2#1166|4#388|3#388	1202#13800	1202#465300
362	62	4	1#7968|2#1195|4#398|3#398	1202#15000	1202#479100
363	63	4	1#8160|2#1224|4#408|3#408	1202#16200	1202#494100
364	64	4	1#8352|2#1252|4#417|3#417	1202#17400	1202#510300
365	65	4	1#8544|2#1281|4#427|3#427	1202#18600	1202#527700
366	66	4	1#8736|2#1310|4#436|3#436	1202#19800	1202#546300
367	67	4	1#8928|2#1339|4#446|3#446	1202#21000	1202#566100
368	68	4	1#9120|2#1368|4#456|3#456	1202#22200	1202#587100
369	69	4	1#9312|2#1396|4#465|3#465	1202#23400	1202#609300
370	70	4	1#9504|2#1425|4#475|3#475	1202#24600	1202#632700
371	71	4	1#9696|2#1454|4#484|3#484	1202#25800	1202#657300
372	72	4	1#9888|2#1483|4#494|3#494	1202#27000	1202#683100
373	73	4	1#10080|2#1512|4#504|3#504	1202#28200	1202#710100
374	74	4	1#10272|2#1540|4#513|3#513	1202#29400	1202#738300
375	75	4	1#10464|2#1569|4#523|3#523	1202#30600	1202#767700
376	76	4	1#10656|2#1598|4#532|3#532	1202#31800	1202#798300
