Id	Reward	Pool	Weight	OpenRules	Star
65	10067#1	1	44	null	0
66	10068#1	1	44	null	0
67	10069#1	1	44	null	0
68	10070#1	1	44	null	0
69	10071#1	1	1175	null	0
70	10072#1	1	0	null	0
71	10073#1	1	0	null	0
72	10074#1	1	0	null	0
73	10075#1	1	1	null	0
74	10076#1	1	1	null	0
75	10079#1	1	0	null	0
76	10080#1	1	0	null	0
77	10081#1	1	1	null	0
78	10082#1	1	5	null	0
79	10085#1	1	5	null	0
80	10086#1	1	0	null	0
81	10087#1	1	58	null	0
82	10088#1	1	58	null	0
83	10089#1	1	58	null	0
84	10090#1	1	1175	null	0
85	10001#1	2	1	null	0
86	10002#1	2	1	null	0
87	10003#1	2	1	null	0
88	10004#1	2	1	null	0
89	10005#1	2	7	null	0
90	10006#1	2	1	null	0
91	10007#1	2	5	null	0
92	10008#1	2	7	null	0
93	10009#1	2	5	null	0
94	10010#1	2	5	null	0
95	10011#1	2	80	null	0
96	10012#1	2	80	null	0
97	10013#1	2	80	null	0
98	10014#1	2	80	null	0
99	10015#1	2	80	null	0
100	10016#1	2	1500	null	0
101	10017#1	2	1207	null	0
102	10018#1	2	0	null	0
103	10019#1	2	5	null	0
104	10020#1	2	1	null	0
105	10021#1	2	1	null	0
106	10022#1	2	5	null	0
107	10023#1	2	12	null	0
108	10024#1	2	0	null	0
109	10025#1	2	1	null	0
110	10026#1	2	1	null	0
111	10027#1	2	5	null	0
112	10028#1	2	0	null	0
113	10029#1	2	100	null	0
114	10030#1	2	100	null	0
115	10031#1	2	100	null	0
116	10032#1	2	100	null	0
117	10033#1	2	1500	null	0
118	10034#1	2	1172	null	0
119	10035#1	2	0	null	0
120	10036#1	2	1	null	0
121	10037#1	2	1	null	0
122	10038#1	2	7	null	0
123	10039#1	2	7	null	0
124	10040#1	2	4	null	0
125	10041#1	2	4	null	0
126	10042#1	2	1	null	0
127	10043#1	2	4	null	0
128	10044#1	2	4	null	0
129	10045#1	2	1	null	0
130	10046#1	2	1	null	0
131	10047#1	2	80	null	0
132	10048#1	2	80	null	0
133	10049#1	2	80	null	0
134	10050#1	2	80	null	0
135	10051#1	2	80	null	0
136	10052#1	2	1500	null	0
137	10053#1	2	1172	null	0
138	10054#1	2	0	null	0
139	10057#1	2	0	null	0
140	10058#1	2	0	null	0
141	10059#1	2	0	null	0
142	10060#1	2	3	null	0
143	10061#1	2	1	null	0
144	10062#1	2	5	null	0
145	10063#1	2	1	null	0
146	10064#1	2	0	null	0
147	10065#1	2	1	null	0
148	10066#1	2	3	null	0
149	10067#1	2	16	null	0
150	10068#1	2	16	null	0
151	10069#1	2	16	null	0
152	10070#1	2	16	null	0
153	10071#1	2	250	null	0
154	10072#1	2	0	null	0
155	10073#1	2	0	null	0
156	10074#1	2	0	null	0
157	10075#1	2	1	null	0
158	10076#1	2	1	null	0
159	10079#1	2	0	null	0
160	10080#1	2	0	null	0
161	10081#1	2	1	null	0
162	10082#1	2	5	null	0
163	10085#1	2	5	null	0
164	10086#1	2	0	null	0
165	10087#1	2	22	null	0
166	10088#1	2	22	null	0
167	10089#1	2	22	null	0
168	10090#1	2	250	null	0
169	10001#1	3	1	null	0
170	10002#1	3	1	null	0
171	10003#1	3	1	null	0
172	10004#1	3	1	null	0
173	10005#1	3	5	null	0
174	10006#1	3	1	null	0
175	10007#1	3	3	null	0
176	10008#1	3	5	null	0
177	10009#1	3	3	null	0
178	10010#1	3	3	null	0
179	10011#1	3	10	null	0
180	10012#1	3	10	null	0
181	10013#1	3	10	null	0
182	10014#1	3	10	null	0
183	10015#1	3	10	null	0
184	10016#1	3	340	null	0
185	10017#1	3	1292	null	0
186	10018#1	3	1700	null	0
187	10019#1	3	3	null	0
188	10020#1	3	1	null	0
189	10021#1	3	1	null	0
190	10022#1	3	3	null	0
191	10023#1	3	9	null	0
192	10024#1	3	0	null	0
193	10025#1	3	1	null	0
194	10026#1	3	1	null	0
195	10027#1	3	3	null	0
196	10028#1	3	0	null	0
197	10029#1	3	12	null	0
198	10030#1	3	12	null	0
199	10031#1	3	12	null	0
200	10032#1	3	12	null	0
201	10033#1	3	330	null	0
202	10034#1	3	1254	null	0
203	10035#1	3	1650	null	0
204	10036#1	3	1	null	0
205	10037#1	3	1	null	0
206	10038#1	3	6	null	0
207	10039#1	3	6	null	0
208	10040#1	3	3	null	0
209	10041#1	3	3	null	0
210	10042#1	3	1	null	0
211	10043#1	3	3	null	0
212	10044#1	3	3	null	0
213	10045#1	3	1	null	0
214	10046#1	3	1	null	0
215	10047#1	3	10	null	0
216	10048#1	3	10	null	0
217	10049#1	3	10	null	0
218	10050#1	3	10	null	0
219	10051#1	3	10	null	0
220	10052#1	3	330	null	0
221	10053#1	3	1254	null	0
222	10054#1	3	1650	null	0
223	10057#1	3	0	null	0
224	10058#1	3	0	null	0
225	10059#1	3	0	null	0
226	10060#1	3	0	null	0
227	10061#1	3	0	null	0
228	10062#1	3	0	null	0
229	10063#1	3	0	null	0
230	10064#1	3	0	null	0
231	10065#1	3	0	null	0
232	10066#1	3	0	null	0
233	10067#1	3	0	null	0
234	10068#1	3	0	null	0
235	10069#1	3	0	null	0
236	10070#1	3	0	null	0
237	10071#1	3	0	null	0
238	10072#1	3	0	null	0
239	10073#1	3	0	null	0
240	10074#1	3	0	null	0
241	10075#1	3	0	null	0
242	10076#1	3	0	null	0
243	10079#1	3	0	null	0
244	10080#1	3	0	null	0
245	10081#1	3	0	null	0
246	10082#1	3	0	null	0
247	10085#1	3	0	null	0
248	10086#1	3	0	null	0
249	10087#1	3	0	null	0
250	10088#1	3	0	null	0
251	10089#1	3	0	null	0
252	10090#1	3	0	null	0
253	10001#1	4	220	null	0
254	10002#1	4	220	null	0
255	10003#1	4	400	null	0
256	10004#1	4	400	null	0
257	10005#1	4	0	null	0
258	10006#1	4	375	null	0
259	10007#1	4	375	null	0
260	10008#1	4	0	null	0
261	10009#1	4	375	null	0
262	10010#1	4	375	null	0
263	10011#1	4	0	null	0
264	10012#1	4	0	null	0
265	10013#1	4	0	null	0
266	10014#1	4	0	null	0
267	10015#1	4	0	null	0
268	10016#1	4	0	null	0
269	10017#1	4	0	null	0
270	10018#1	4	0	null	0
271	10019#1	4	500	null	0
272	10020#1	4	220	null	0
273	10021#1	4	220	null	0
274	10022#1	4	500	null	0
275	10023#1	4	0	null	0
276	10024#1	4	0	null	0
277	10025#1	4	400	null	0
278	10026#1	4	400	null	0
279	10027#1	4	500	null	0
280	10028#1	4	0	null	0
281	10029#1	4	0	null	0
282	10030#1	4	0	null	0
283	10031#1	4	0	null	0
284	10032#1	4	0	null	0
285	10033#1	4	0	null	0
286	10034#1	4	0	null	0
287	10035#1	4	0	null	0
288	10036#1	4	220	null	0
289	10037#1	4	220	null	0
290	10038#1	4	0	null	0
291	10039#1	4	0	null	0
292	10040#1	4	300	null	0
293	10041#1	4	300	null	0
294	10042#1	4	400	null	0
295	10043#1	4	300	null	0
296	10044#1	4	300	null	0
297	10045#1	4	300	null	0
298	10046#1	4	400	null	0
299	10047#1	4	0	null	0
300	10048#1	4	0	null	0
301	10049#1	4	0	null	0
302	10050#1	4	0	null	0
303	10051#1	4	0	null	0
304	10052#1	4	0	null	0
305	10053#1	4	0	null	0
306	10054#1	4	0	null	0
307	10057#1	4	0	null	0
308	10058#1	4	0	null	0
309	10059#1	4	0	null	0
310	10060#1	4	195	null	0
311	10061#1	4	195	null	0
312	10062#1	4	0	null	0
313	10063#1	4	110	null	0
314	10064#1	4	0	null	0
315	10065#1	4	195	null	0
316	10066#1	4	195	null	0
317	10067#1	4	0	null	0
318	10068#1	4	0	null	0
319	10069#1	4	0	null	0
320	10070#1	4	0	null	0
321	10071#1	4	0	null	0
322	10072#1	4	0	null	0
323	10073#1	4	0	null	0
324	10074#1	4	0	null	0
325	10075#1	4	110	null	0
326	10076#1	4	260	null	0
327	10079#1	4	0	null	0
328	10080#1	4	0	null	0
329	10081#1	4	260	null	0
330	10082#1	4	260	null	0
331	10085#1	4	0	null	0
332	10086#1	4	0	null	0
333	10087#1	4	0	null	0
334	10088#1	4	0	null	0
335	10089#1	4	0	null	0
336	10090#1	4	0	null	0
337	6000001#50	11	50	null	0
338	6000002#50	11	50	null	0
339	6000003#50	11	200	null	0
340	6000004#50	11	200	null	0
341	6000005#50	11	150	null	0
342	6000006#50	11	200	null	0
343	6000007#50	11	167	null	0
344	6000008#50	11	150	null	0
345	6000009#50	11	167	null	0
346	6000010#50	11	167	null	0
347	6000011#30	11	1300	null	0
348	6000012#30	11	1300	null	0
349	6000013#30	11	1300	null	0
350	6000014#30	11	1300	null	0
351	6000015#30	11	1300	null	0
352	6001021#25	11	600	null	0
353	6001021#20	11	1000	null	0
354	6001021#15	11	400	null	0
355	6000019#50	12	250	null	0
356	6000020#50	12	50	null	0
357	6000021#50	12	50	null	0
358	6000022#50	12	250	null	0
359	6000023#50	12	300	null	0
360	6000024#50	12	0	null	0
361	6000025#50	12	150	null	0
362	6000026#50	12	150	null	0
363	6000027#50	12	300	null	0
364	6000028#30	12	0	null	0
365	6000029#30	12	1625	null	0
366	6000030#30	12	1625	null	0
367	6000031#30	12	1625	null	0
368	6000032#30	12	1625	null	0
369	6001022#25	12	600	null	0
370	6001022#20	12	1000	null	0
371	6001022#15	12	400	null	0
372	6000036#50	13	50	null	0
373	6000037#50	13	50	null	0
374	6000038#50	13	150	null	0
375	6000039#50	13	150	null	0
376	6000040#50	13	125	null	0
377	6000041#50	13	125	null	0
378	6000042#50	13	200	null	0
379	6000043#50	13	125	null	0
380	6000044#50	13	125	null	0
381	6000045#50	13	200	null	0
382	6000046#50	13	200	null	0
383	6000047#30	13	1300	null	0
384	6000048#30	13	1300	null	0
385	6000049#30	13	1300	null	0
386	6000050#30	13	1300	null	0
387	6000051#30	13	1300	null	0
388	6001023#25	13	600	null	0
389	6001023#20	13	1000	null	0
390	6001023#15	13	400	null	0
391	6000055#50	14	25	null	0
392	6000056#50	14	0	null	0
393	6000057#50	14	25	null	0
394	6000058#50	14	67	null	0
395	6000059#50	14	50	null	0
396	6000060#50	14	50	null	0
397	6000061#50	14	50	null	0
398	6000062#50	14	0	null	0
399	6000063#50	14	50	null	0
400	6000064#50	14	67	null	0
401	6000065#30	14	472	null	0
402	6000066#30	14	472	null	0
403	6000067#30	14	472	null	0
404	6000068#30	14	472	null	0
405	6000070#50	14	0	null	0
406	6000071#50	14	25	null	0
407	6000072#50	14	25	null	0
408	6000073#50	14	50	null	0
409	6000074#50	14	50	null	0
410	6000075#50	14	0	null	0
411	6000076#50	14	0	null	0
412	6000077#50	14	50	null	0
413	6000078#50	14	67	null	0
414	6000079#50	14	50	null	0
415	6000080#30	14	0	null	0
416	6000081#30	14	472	null	0
417	6000082#30	14	472	null	0
418	6000083#30	14	472	null	0
419	6001024#25	14	0	null	0
420	6001014#15	14	2000	null	0
421	6001024#15	14	1000	null	0
422	6001025#25	14	0	null	0
423	6001015#15	14	2000	null	0
424	6001025#15	14	1000	null	0
425	6001026#25	14	0	null	0
426	6001026#20	14	0	null	0
427	6001026#15	14	0	null	0
2011	6000005#50	201	150	null	0
2012	6000007#50	201	167	null	0
2013	6000008#50	201	150	null	0
2014	6000009#50	201	167	null	0
2015	6000010#50	201	167	null	0
2016	6001021#25	201	600	null	0
2017	6001021#20	201	1000	null	0
2018	6001021#15	201	400	null	0
2021	6000022#50	202	250	null	0
2022	6000023#50	202	300	null	0
2023	6000024#50	202	0	null	0
2024	6000027#50	202	300	null	0
2025	6001022#25	202	600	null	0
2026	6001022#20	202	1000	null	0
2027	6001022#15	202	400	null	0
2031	6000038#50	203	150	null	0
2032	6000039#50	203	150	null	0
2033	6000040#50	203	125	null	0
2034	6000043#50	203	125	null	0
2035	6000044#50	203	125	null	0
2036	6000045#50	203	125	null	0
2037	6001023#25	203	600	null	0
2038	6001023#20	203	1000	null	0
2039	6001023#15	203	400	null	0
2041	6000058#50	204	67	null	0
2042	6000059#50	204	50	null	0
2043	6000061#50	204	50	null	0
2044	6000063#50	204	50	null	0
2045	6000060#50	204	50	null	0
2046	6000064#50	204	67	null	0
2047	6000073#50	204	50	null	0
2048	6000074#50	204	50	null	0
2049	6000075#50	204	0	null	0
2050	6000077#50	204	50	null	0
2051	6000078#50	204	100	null	0
2052	6000079#50	204	50	null	0
2053	6001024#15	204	1000	null	0
2054	6001025#15	204	1000	null	0
428	10049#1	20	1	null	0
429	10011#1	21	0	null	0
430	10031#1	21	1	null	0
431	10047#1	21	0	null	0
432	10008#1	23	20	null	0
433	10009#1	23	27	null	0
434	10010#1	23	54	null	0
435	10011#1	23	54	null	0
436	10012#1	23	41	null	0
437	10013#1	23	54	null	0
438	10014#1	23	27	null	0
439	10015#1	23	27	null	0
440	10016#1	23	41	null	0
441	10017#1	23	27	null	0
442	10018#1	23	27	null	0
443	10019#1	23	54	null	0
444	10009#1	24	1	null	0
99001	10016#1	241	200	null	0
99002	10033#1	241	200	null	0
99003	10052#1	241	200	null	0
99004	10071#1	241	100	null	0
99005	10090#1	241	100	null	0
99011	10011#1	242	100	null	0
99012	10014#1	242	100	null	0
99013	10029#1	242	100	null	0
99014	10032#1	242	100	null	0
99015	10047#1	242	100	null	0
99016	10049#1	242	100	null	0
445	10003#1	25	1	null	0
446	10004#1	25	1	null	0
447	10006#1	25	1	null	0
448	10019#1	25	1	null	0
449	10026#1	25	1	null	0
450	10025#1	25	0	null	0
451	10042#1	25	1	null	0
452	10045#1	25	1	null	0
453	10046#1	25	0	null	0
25001	10001#1	250	0	null	0
25002	10002#1	250	1	null	0
25003	10003#1	250	1	null	0
25004	10004#1	250	1	null	0
25005	10006#1	250	2	null	0
25006	10007#1	250	2	null	0
25007	10009#1	250	2	null	0
25008	10010#1	250	1	null	0
25009	10019#1	250	1	null	0
25010	10020#1	250	1	null	0
25011	10021#1	250	0	null	0
25012	10022#1	250	2	null	0
25013	10024#1	250	0	null	0
25014	10025#1	250	1	null	0
25015	10026#1	250	2	null	0
25016	10027#1	250	2	null	0
25017	10036#1	250	0	null	0
25018	10037#1	250	1	null	0
25019	10040#1	250	2	null	0
25020	10041#1	250	2	null	0
25021	10042#1	250	1	null	0
25022	10043#1	250	2	null	0
25023	10044#1	250	2	null	0
25024	10045#1	250	1	null	0
25025	10046#1	250	2	null	0
25026	10060#1	250	3	null	0
25027	10061#1	250	3	null	0
25028	10062#1	250	2	null	0
25029	10063#1	250	1	null	0
25030	10064#1	250	0	null	0
25031	10065#1	250	3	null	0
25032	10066#1	250	1	null	0
25033	10075#1	250	1	null	0
25034	10076#1	250	3	null	0
25035	10079#1	250	0	null	0
25036	10080#1	250	0	null	0
25037	10081#1	250	3	null	0
25038	10082#1	250	3	null	0
25039	10085#1	250	2	null	0
25101	10060#1	251	1	null	0
25102	10061#1	251	1	null	0
25103	10063#1	251	1	null	0
25104	10064#1	251	1	null	0
25105	10065#1	251	1	null	0
25106	10066#1	251	1	null	0
25107	10075#1	251	1	null	0
25108	10076#1	251	1	null	0
25109	10079#1	251	0	null	0
25110	10080#1	251	1	null	0
25111	10081#1	251	1	null	0
25112	10082#1	251	1	null	0
454	10001#1	26	30	null	0
455	10002#1	26	30	null	0
456	10003#1	26	125	null	0
457	10004#1	26	125	null	0
458	10005#1	26	525	null	0
459	10006#1	26	413	null	0
460	10007#1	26	413	null	0
461	10008#1	26	525	null	0
462	10009#1	26	413	null	0
463	10010#1	26	413	null	0
464	10011#1	26	0	null	0
465	10012#1	26	0	null	0
466	10013#1	26	0	null	0
467	10014#1	26	0	null	0
468	10015#1	26	0	null	0
469	10016#1	26	0	null	0
470	10017#1	26	0	null	0
471	10018#1	26	0	null	0
472	10019#1	26	550	null	0
473	10020#1	26	30	null	0
474	10021#1	26	30	null	0
475	10022#1	26	550	null	0
476	10023#1	26	1049	null	0
477	10024#1	26	0	null	0
478	10025#1	26	125	null	0
479	10026#1	26	125	null	0
480	10027#1	26	550	null	0
481	10028#1	26	0	null	0
482	10029#1	26	0	null	0
483	10030#1	26	0	null	0
484	10031#1	26	0	null	0
485	10032#1	26	0	null	0
486	10033#1	26	0	null	0
487	10034#1	26	0	null	0
488	10035#1	26	0	null	0
489	10036#1	26	30	null	0
490	10037#1	26	30	null	0
491	10038#1	26	526	null	0
492	10039#1	26	526	null	0
493	10040#1	26	331	null	0
494	10041#1	26	331	null	0
495	10042#1	26	125	null	0
496	10043#1	26	331	null	0
497	10044#1	26	331	null	0
498	10045#1	26	331	null	0
499	10046#1	26	125	null	0
500	10047#1	26	0	null	0
501	10048#1	26	0	null	0
502	10049#1	26	0	null	0
503	10050#1	26	0	null	0
504	10051#1	26	0	null	0
505	10052#1	26	0	null	0
506	10053#1	26	0	null	0
507	10054#1	26	0	null	0
508	10057#1	26	0	null	0
509	10058#1	26	0	null	0
510	10059#1	26	0	null	0
511	10060#1	26	69	null	0
512	10061#1	26	69	null	0
513	10062#1	26	175	null	0
514	10063#1	26	20	null	0
515	10064#1	26	0	null	0
516	10065#1	26	69	null	0
517	10066#1	26	69	null	0
518	10067#1	26	0	null	0
519	10068#1	26	0	null	0
520	10069#1	26	0	null	0
521	10070#1	26	0	null	0
522	10071#1	26	0	null	0
523	10072#1	26	0	null	0
524	10073#1	26	0	null	0
525	10074#1	26	0	null	0
526	10075#1	26	20	null	0
527	10076#1	26	92	null	0
528	10079#1	26	0	null	0
529	10080#1	26	0	null	0
530	10081#1	26	92	null	0
531	10082#1	26	92	null	0
532	10085#1	26	175	null	0
533	10086#1	26	0	null	0
534	10087#1	26	0	null	0
535	10088#1	26	0	null	0
536	10089#1	26	0	null	0
537	10090#1	26	0	null	0
6001	10011#1	28	2	null	0
6002	10012#1	28	2	null	0
6003	10013#1	28	2	null	0
6004	10014#1	28	2	null	0
6005	10015#1	28	2	null	0
6006	10028#1	28	0	null	0
6007	10029#1	28	2	null	0
6008	10030#1	28	2	null	0
6009	10031#1	28	2	null	0
6010	10032#1	28	2	null	0
6011	10047#1	28	2	null	0
6012	10048#1	28	2	null	0
6013	10049#1	28	2	null	0
6014	10050#1	28	2	null	0
6015	10051#1	28	2	null	0
6016	10067#1	28	1	null	0
6017	10068#1	28	1	null	0
6018	10069#1	28	1	null	0
6019	10070#1	28	1	null	0
6020	10086#1	28	0	null	0
6021	10087#1	28	1	null	0
6022	10088#1	28	1	null	0
6023	10089#1	28	1	null	0
538	10011#1	27	100000	null	0
539	10047#1	31	100	null	0
540	10048#1	31	100	null	0
541	10049#1	31	100	null	0
542	10050#1	31	100	null	0
543	10051#1	31	100	null	0
544	10028#1	32	0	null	0
545	10029#1	32	100	null	0
546	10030#1	32	100	null	0
547	10031#1	32	100	null	0
548	10032#1	32	100	null	0
549	10011#1	33	100	null	0
550	10012#1	33	100	null	0
551	10013#1	33	100	null	0
552	10014#1	33	100	null	0
553	10015#1	33	100	null	0
554	10037#1	41	300	null	0
555	10038#1	41	1000	null	0
556	10039#1	41	1000	null	0
557	10040#1	41	600	null	0
558	10041#1	41	600	null	0
559	10042#1	41	400	null	0
560	10043#1	41	600	null	0
561	10044#1	41	600	null	0
562	10045#1	41	400	null	0
563	10046#1	41	400	null	0
564	10019#1	42	600	null	0
565	10020#1	42	300	null	0
566	10021#1	42	300	null	0
567	10022#1	42	600	null	0
568	10023#1	42	2000	null	0
569	10024#1	42	0	null	0
570	10025#1	42	300	null	0
571	10026#1	42	400	null	0
572	10027#1	42	600	null	0
573	10001#1	43	300	null	0
574	10002#1	43	300	null	0
575	10003#1	43	300	null	0
576	10004#1	43	300	null	0
577	10005#1	43	1000	null	0
578	10006#1	43	400	null	0
579	10007#1	43	800	null	0
580	10008#1	43	1000	null	0
581	10009#1	43	800	null	0
582	10010#1	43	800	null	0
583	10444#3	5001	5200	null	0
584	10443#1	5001	3100	null	0
585	10442#1	5001	100	null	0
586	300001#1	5001	19	null	0
587	300002#1	5001	19	null	0
588	300003#1	5001	19	null	0
589	300004#1	5001	19	null	0
590	310001#1	5001	19	null	0
591	310002#1	5001	19	null	0
592	310003#1	5001	19	null	0
593	310004#1	5001	19	null	0
594	320001#1	5001	19	null	0
595	320002#1	5001	19	null	0
596	320003#1	5001	19	null	0
597	320004#1	5001	19	null	0
598	330001#1	5001	19	null	0
599	330002#1	5001	19	null	0
600	330003#1	5001	19	null	0
601	330004#1	5001	19	null	0
602	340001#1	5001	19	null	0
603	340002#1	5001	19	null	0
604	340003#1	5001	19	null	0
605	340004#1	5001	19	null	0
606	350001#1	5001	19	null	0
607	350002#1	5001	19	null	0
608	350003#1	5001	19	null	0
609	350004#1	5001	19	null	0
610	360001#1	5001	19	null	0
611	360002#1	5001	19	null	0
612	360003#1	5001	19	null	0
613	360004#1	5001	19	null	0
614	370001#1	5001	19	null	0
615	370002#1	5001	19	null	0
616	370003#1	5001	19	null	0
617	370004#1	5001	19	null	0
618	380001#1	5001	19	null	0
619	380002#1	5001	19	null	0
620	380003#1	5001	19	null	0
621	380004#1	5001	19	null	0
622	390001#1	5001	18	null	0
623	390002#1	5001	18	null	0
624	390003#1	5001	18	null	0
625	390004#1	5001	18	null	0
626	400001#1	5001	18	null	0
627	400002#1	5001	18	null	0
628	400003#1	5001	18	null	0
629	400004#1	5001	18	null	0
630	410001#1	5001	18	null	0
631	410002#1	5001	18	null	0
632	410003#1	5001	18	null	0
633	410004#1	5001	18	null	0
634	300101#1	5001	11	null	0
635	300102#1	5001	11	null	0
636	300103#1	5001	11	null	0
637	300104#1	5001	11	null	0
638	310101#1	5001	11	null	0
639	310102#1	5001	11	null	0
640	310103#1	5001	11	null	0
641	310104#1	5001	11	null	0
642	320101#1	5001	11	null	0
643	320102#1	5001	11	null	0
644	320103#1	5001	11	null	0
645	320104#1	5001	11	null	0
646	330101#1	5001	11	null	0
647	330102#1	5001	11	null	0
648	330103#1	5001	11	null	0
649	330104#1	5001	11	null	0
650	340101#1	5001	11	null	0
651	340102#1	5001	11	null	0
652	340103#1	5001	11	null	0
653	340104#1	5001	11	null	0
654	350101#1	5001	10	null	0
655	350102#1	5001	10	null	0
656	350103#1	5001	10	null	0
657	350104#1	5001	10	null	0
658	360101#1	5001	10	null	0
659	360102#1	5001	10	null	0
660	360103#1	5001	10	null	0
661	360104#1	5001	10	null	0
662	370101#1	5001	10	null	0
663	370102#1	5001	10	null	0
664	370103#1	5001	10	null	0
665	370104#1	5001	10	null	0
666	380101#1	5001	10	null	0
667	380102#1	5001	10	null	0
668	380103#1	5001	10	null	0
669	380104#1	5001	10	null	0
670	390101#1	5001	10	null	0
671	390102#1	5001	10	null	0
672	390103#1	5001	10	null	0
673	390104#1	5001	10	null	0
674	400101#1	5001	10	null	0
675	400102#1	5001	10	null	0
676	400103#1	5001	10	null	0
677	400104#1	5001	10	null	0
678	410101#1	5001	10	null	0
679	410102#1	5001	10	null	0
680	410103#1	5001	10	null	0
681	410104#1	5001	10	null	0
682	300201#1	5001	5	null	0
683	300202#1	5001	5	null	0
684	300203#1	5001	5	null	0
685	300204#1	5001	5	null	0
686	310201#1	5001	5	null	0
687	310202#1	5001	5	null	0
688	310203#1	5001	5	null	0
689	310204#1	5001	5	null	0
690	320201#1	5001	4	null	0
691	320202#1	5001	4	null	0
692	320203#1	5001	4	null	0
693	320204#1	5001	4	null	0
694	330201#1	5001	4	null	0
695	330202#1	5001	4	null	0
696	330203#1	5001	4	null	0
697	330204#1	5001	4	null	0
698	340201#1	5001	4	null	0
699	340202#1	5001	4	null	0
700	340203#1	5001	4	null	0
701	340204#1	5001	4	null	0
702	350201#1	5001	4	null	0
703	350202#1	5001	4	null	0
704	350203#1	5001	4	null	0
705	350204#1	5001	4	null	0
706	360201#1	5001	4	null	0
707	360202#1	5001	4	null	0
708	360203#1	5001	4	null	0
709	360204#1	5001	4	null	0
710	370201#1	5001	4	null	0
711	370202#1	5001	4	null	0
712	370203#1	5001	4	null	0
713	370204#1	5001	4	null	0
714	380201#1	5001	4	null	0
715	380202#1	5001	4	null	0
716	380203#1	5001	4	null	0
717	380204#1	5001	4	null	0
718	390201#1	5001	4	null	0
719	390202#1	5001	4	null	0
720	390203#1	5001	4	null	0
721	390204#1	5001	4	null	0
722	400201#1	5001	4	null	0
723	400202#1	5001	4	null	0
724	400203#1	5001	4	null	0
725	400204#1	5001	4	null	0
726	410201#1	5001	4	null	0
727	410202#1	5001	4	null	0
728	410203#1	5001	4	null	0
729	410204#1	5001	4	null	0
730	300101#1	5002	200	null	0
731	300102#1	5002	200	null	0
732	300103#1	5002	200	null	0
733	300104#1	5002	200	null	0
734	310101#1	5002	200	null	0
735	310102#1	5002	200	null	0
736	310103#1	5002	200	null	0
737	310104#1	5002	200	null	0
738	320101#1	5002	200	null	0
739	320102#1	5002	200	null	0
740	320103#1	5002	200	null	0
741	320104#1	5002	200	null	0
742	330101#1	5002	200	null	0
743	330102#1	5002	200	null	0
744	330103#1	5002	200	null	0
745	330104#1	5002	200	null	0
746	340101#1	5002	200	null	0
747	340102#1	5002	200	null	0
748	340103#1	5002	200	null	0
749	340104#1	5002	200	null	0
750	350101#1	5002	200	null	0
751	350102#1	5002	200	null	0
752	350103#1	5002	200	null	0
753	350104#1	5002	200	null	0
754	360101#1	5002	200	null	0
755	360102#1	5002	200	null	0
756	360103#1	5002	200	null	0
757	360104#1	5002	200	null	0
758	370101#1	5002	200	null	0
759	370102#1	5002	200	null	0
760	370103#1	5002	200	null	0
761	370104#1	5002	200	null	0
762	380101#1	5002	100	null	0
763	380102#1	5002	100	null	0
764	380103#1	5002	100	null	0
765	380104#1	5002	100	null	0
766	390101#1	5002	100	null	0
767	390102#1	5002	100	null	0
768	390103#1	5002	100	null	0
769	390104#1	5002	100	null	0
770	400101#1	5002	100	null	0
771	400102#1	5002	100	null	0
772	400103#1	5002	100	null	0
