Id	Type	Values	Reward
8801	55	6|200	72001#50|14#100000
8802	55	6|300	72001#50|14#100000
8803	55	6|500	72001#50|14#100000
89	9	0|999	60158#1|60183#1
90	9	0|999	60193#1|60198#1
91	8	0|1200	72002#5|14#50000
92	8	0|1400	72002#5|14#50000
93	8	0|1600	72002#8|14#50000
94	8	0|1800	72002#8|14#75000
9401	8	0|2000	72002#8|14#75000
9402	8	0|2200	72002#8|14#100000
9403	8	0|2400	72002#8|14#100000
9404	8	0|2600	72002#8|14#100000
9405	8	0|2800	72002#8|14#150000
9406	8	0|3000	72002#8|14#150000
9407	8	0|3200	72002#8|14#150000
9408	8	0|3400	72002#8|14#150000
9409	8	0|3600	72002#8|14#150000
9410	8	0|3800	72002#8|14#150000
9411	8	0|4000	72002#8|14#150000
95	137	0|1	72001#2|14#50000
96	137	0|10	72001#5|14#80000
97	137	0|25	72001#8|14#100000
98	137	0|50	72001#10|14#100000
99	137	0|100	72001#12|14#100000
100	137	0|200	72001#20|14#100000
101	137	0|500	72001#30|14#100000
102	87	0|20	72001#5|14#50000
103	87	0|50	72001#8|14#80000
104	87	0|100	72001#10|14#100000
10401	87	0|150	72001#12|14#100000
105	87	0|200	72001#15|14#150000
106	87	0|500	72001#20|14#200000
107	33	0|5	72001#10|14#100000
108	33	0|10	72001#10|14#100000
109	33	0|20	72001#10|14#100000
110	33	0|50	72001#15|14#150000
111	33	0|100	72001#20|14#200000
112	33	0|200	72001#30|14#300000
11201	33	0|500	72001#50|14#500000
113	76	5|1	72001#5|14#50000
114	76	5|10	72001#8|14#100000
115	76	5|50	72001#10|14#200000
116	76	5|100	72001#12|14#300000
117	76	5|200	72001#15|14#600000
118	76	5|500	72001#30|14#1000000
119	76	6|1	72002#5|14#100000
120	76	6|10	72002#5|14#200000
121	76	6|20	72002#8|14#300000
122	76	6|100	72002#8|14#500000
123	76	6|200	72002#12|14#500000
124	76	6|500	72002#12|14#500000
125	100	0|10	26#100|14#50000
126	100	0|50	26#200|14#100000
127	100	0|100	26#200|14#100000
128	100	0|200	26#200|14#100000
129	100	0|500	26#200|14#100000
130	100	0|1000	26#200|14#100000
13001	100	0|2000	26#200|14#100000
131	125	0|5	65#100|14#100000
132	125	0|10	65#100|14#100000
133	125	0|20	65#100|14#100000
134	125	0|40	65#100|14#100000
135	125	0|70	65#100|14#100000
136	125	0|100	65#100|14#100000
137	125	0|150	65#100|14#100000
13701	125	0|200	65#100|14#100000
138	101	0|1	65#100|14#100000
139	101	0|10	65#100|14#100000
140	101	0|20	65#100|14#100000
14001	101	0|50	65#100|14#100000
14002	101	0|70	65#100|14#100000
14003	101	0|100	65#100|14#100000
142	10	0|50000	72001#5|14#100000
143	10	0|100000	72001#10|14#100000
144	10	0|150000	72001#10|14#100000
145	10	0|200000	72001#10|14#100000
146	10	0|250000	72001#10|14#100000
147	10	0|300000	72001#10|14#100000
148	10	0|350000	72001#10|14#100000
149	10	0|400000	72001#10|14#100000
150	10	0|450000	72001#10|14#100000
151	10	0|500000	72001#10|14#100000
15101	10	0|550000	72001#10|14#100000
15102	10	0|600000	72001#15|14#150000
15103	10	0|700000	72001#15|14#150000
15104	10	0|800000	72001#15|14#150000
15105	10	0|900000	72001#15|14#150000
15106	10	0|1000000	72001#15|14#150000
15107	10	0|1100000	72001#15|14#150000
15108	10	0|1200000	72001#15|14#150000
15109	10	0|1300000	72001#15|14#150000
15110	10	0|1400000	72001#15|14#150000
15111	10	0|1500000	72001#15|14#150000
15112	10	0|1600000	72001#15|14#150000
15113	10	0|1700000	72001#15|14#150000
15114	10	0|1800000	72001#15|14#150000
15115	10	0|1900000	72001#15|14#150000
15116	10	0|2000000	72001#20|14#200000
15117	10	0|2100000	72001#20|14#200000
15118	10	0|2200000	72001#20|14#200000
15119	10	0|2300000	72001#20|14#200000
15120	10	0|2400000	72001#20|14#200000
15121	10	0|2500000	72001#20|14#200000
15122	10	0|2600000	72001#20|14#200000
15123	10	0|2700000	72001#20|14#200000
15124	10	0|2800000	72001#20|14#200000
15125	10	0|2900000	72001#20|14#200000
15126	10	0|3000000	72001#20|14#200000
15127	10	0|3100000	72001#20|14#200000
15128	10	0|3200000	72001#20|14#200000
15129	10	0|3300000	72001#20|14#200000
15130	10	0|3400000	72001#20|14#200000
15131	10	0|3500000	72001#20|14#200000
15132	10	0|3600000	72001#20|14#200000
15133	10	0|3700000	72001#20|14#200000
15134	10	0|3800000	72001#20|14#200000
15135	10	0|3900000	72001#20|14#200000
15136	10	0|4000000	72001#20|14#200000
152	37	0|-10	72001#10|14#100000
153	37	0|-3	72002#5|14#100000
154	37	0|-2	72002#5|14#100000
155	37	0|-1	72002#5|14#100000
156	116	0|1	72001#5|14#100000
157	116	0|5	72001#10|14#100000
158	116	0|10	72001#10|14#100000
159	116	0|15	72001#10|14#100000
160	116	0|20	72001#10|14#100000
161	116	0|25	72001#10|14#100000
141	116	0|30	72001#10|14#100000
200	55	7|1	6000088#1
201	55	8|1	6000089#1
202	55	9|1	6000089#1
203	55	10|1	6000090#1
204	55	11|1	16#500|6000085#5
205	55	12|1	16#500|6000085#5
206	55	13|1	16#500|6000085#10
30000	1063	1|1	16#50
30001	1063	1|2	16#50
30002	1063	1|3	16#50
30003	1063	1|4	16#50
30004	1063	1|5	16#50
30005	1063	1|6	16#50
30006	1063	1|7	16#50
30007	1063	1|8	16#50
30008	1063	1|9	16#50
30009	1063	1|10	16#50
30100	1063	2|1	16#50
30101	1063	2|2	16#50
30102	1063	2|3	16#50
30103	1063	2|4	16#50
30104	1063	2|5	16#50
30105	1063	2|6	16#50
30106	1063	2|7	16#50
30107	1063	2|8	16#50
30108	1063	2|9	16#50
30109	1063	2|10	16#50
30200	1063	3|1	16#50
30201	1063	3|2	16#50
30202	1063	3|3	16#50
30203	1063	3|4	16#50
30204	1063	3|5	16#50
30205	1063	3|6	16#50
30206	1063	3|7	16#50
30207	1063	3|8	16#50
30208	1063	3|9	16#50
30209	1063	3|10	16#50
30300	1063	4|1	16#50
30301	1063	4|2	16#50
30302	1063	4|3	16#50
30303	1063	4|4	16#50
30304	1063	4|5	16#50
30305	1063	4|6	16#50
30306	1063	4|7	16#50
30307	1063	4|8	16#50
30308	1063	4|9	16#50
30309	1063	4|10	16#50
30400	1063	5|1	16#50
30401	1063	5|2	16#50
30402	1063	5|3	16#50
30403	1063	5|4	16#50
30404	1063	5|5	16#50
30405	1063	5|6	16#50
30406	1063	5|7	16#50
30407	1063	5|8	16#50
30408	1063	5|9	16#50
30409	1063	5|10	16#50
30500	1039	1|10	16#100
30501	1039	1|20	16#100
30502	1039	1|30	16#100
30503	1039	1|50	16#100
30504	1039	1|70	16#100
30505	1039	1|100	16#150
30506	1039	1|150	16#150
30507	1039	1|200	16#150
30508	1039	1|250	16#150
30509	1039	1|300	16#150
30510	1039	1|400	16#150
30511	1039	1|500	16#150
30512	1039	1|600	16#150
30513	1039	1|700	16#150
30514	1039	1|800	16#150
30515	1039	1|900	16#150
30600	1045	0|10	16#100
30601	1045	0|20	16#100
30602	1045	0|30	16#100
30603	1045	0|50	16#100
30604	1045	0|70	16#100
30605	1045	0|100	16#150
30606	1045	0|150	16#150
30607	1045	0|200	16#150
30608	1045	0|250	16#150
30609	1045	0|300	16#150
30610	1045	0|400	16#150
30611	1045	0|500	16#150
30612	1045	0|600	16#150
30613	1045	0|700	16#150
30614	1045	0|800	16#150
30615	1045	0|900	16#150
30700	1057	0|10	72001#10|14#100000
30701	1057	0|50	72001#10|14#100000
30702	1057	0|100	72002#10|14#100000
30703	1057	0|200	72002#10|14#100000
30704	1057	0|500	72002#10|14#100000
