Id	Mode	Ranking	Reward
234	2	2	65#3000
235	2	2	65#3000
236	2	2	16#500
237	2	2	16#500
238	2	2	16#500
239	2	2	16#500
240	2	2	16#500
241	2	2	65#2000
242	2	2	65#2000
243	2	2	65#2000
244	2	2	65#2000
245	2	2	65#2000
246	2	2	65#2000
247	2	2	65#2000
248	2	2	65#2000
249	2	2	65#2000
250	2	2	65#2000
251	2	3	6001020#50
252	2	3	20#1
253	2	3	19#5
254	2	3	16#800
255	2	3	16#800
256	2	3	65#2000
257	2	3	65#2000
258	2	3	65#2000
259	2	3	65#2000
260	2	3	65#2000
261	2	3	16#400
262	2	3	16#400
263	2	3	16#400
264	2	3	16#400
265	2	3	16#400
266	2	3	65#1500
267	2	3	65#1500
268	2	3	65#1500
269	2	3	65#1500
270	2	3	65#1500
271	2	3	65#1500
272	2	3	65#1500
273	2	3	65#1500
274	2	3	65#1500
275	2	3	65#1500
276	2	4	20#1
277	2	4	19#5
278	2	4	16#500
279	2	4	16#500
280	2	4	16#500
281	2	4	65#1500
282	2	4	65#1500
283	2	4	65#1500
284	2	4	65#1500
285	2	4	65#1500
286	2	4	16#300
287	2	4	16#300
288	2	4	16#300
289	2	4	16#300
290	2	4	16#300
291	2	4	65#1000
292	2	4	65#1000
293	2	4	65#1000
294	2	4	65#1000
295	2	4	65#1000
296	2	4	65#1000
297	2	4	65#1000
298	2	4	65#1000
299	2	4	65#1000
300	2	4	65#1000
301	1	5	19#5
302	1	5	16#500
303	1	5	16#300
304	1	5	16#300
305	1	5	16#300
306	1	5	65#1000
307	1	5	65#1000
308	1	5	65#1000
309	1	5	65#1000
310	1	5	65#1000
311	1	5	16#150
312	1	5	16#150
313	1	5	16#150
314	1	5	16#150
315	1	5	16#150
316	1	5	65#600
317	1	5	65#600
318	1	5	65#600
319	1	5	65#600
320	1	5	65#600
321	1	5	65#600
322	1	5	65#600
323	1	5	65#600
324	1	5	65#600
325	1	5	65#600
326	1	6	19#5
327	1	6	16#500
328	1	6	16#300
329	1	6	16#300
330	1	6	16#300
331	1	6	65#1000
332	1	6	65#1000
333	1	6	65#1000
334	1	6	65#1000
335	1	6	65#1000
336	1	6	16#150
337	1	6	16#150
338	1	6	16#150
339	1	6	16#150
340	1	6	16#150
341	1	6	65#600
342	1	6	65#600
343	1	6	65#600
344	1	6	65#600
345	1	6	65#600
346	1	6	65#600
347	1	6	65#600
348	1	6	65#600
349	1	6	65#600
350	1	6	65#600
351	1	7	19#5
352	1	7	16#500
353	1	7	16#300
354	1	7	16#300
355	1	7	16#300
356	1	7	65#1000
357	1	7	65#1000
358	1	7	65#1000
359	1	7	65#1000
360	1	7	65#1000
361	1	7	16#150
362	1	7	16#150
363	1	7	16#150
364	1	7	16#150
365	1	7	16#150
366	1	7	65#600
367	1	7	65#600
368	1	7	65#600
369	1	7	65#600
370	1	7	65#600
371	1	7	65#600
372	1	7	65#600
373	1	7	65#600
374	1	7	65#600
375	1	7	65#600
376	1	8	19#5
377	1	8	16#500
378	1	8	16#300
379	1	8	16#300
380	1	8	16#300
381	1	8	65#1000
382	1	8	65#1000
383	1	8	65#1000
384	1	8	65#1000
385	1	8	65#1000
386	1	8	16#150
387	1	8	16#150
388	1	8	16#150
389	1	8	16#150
390	1	8	16#150
391	1	8	65#600
392	1	8	65#600
393	1	8	65#600
394	1	8	65#600
395	1	8	65#600
396	1	8	65#600
397	1	8	65#600
398	1	8	65#600
399	1	8	65#600
400	1	8	65#600
401	1	9	19#5
402	1	9	16#500
403	1	9	16#300
404	1	9	16#300
405	1	9	16#300
406	1	9	65#1000
407	1	9	65#1000
408	1	9	65#1000
409	1	9	65#1000
410	1	9	65#1000
411	1	9	16#150
412	1	9	16#150
413	1	9	16#150
414	1	9	16#150
415	1	9	16#150
416	1	9	65#600
417	1	9	65#600
418	1	9	65#600
419	1	9	65#600
420	1	9	65#600
421	1	9	65#600
422	1	9	65#600
423	1	9	65#600
424	1	9	65#600
425	1	9	65#600
426	1	10	19#5
427	1	10	16#500
428	1	10	16#300
429	1	10	16#300
430	1	10	16#300
431	1	10	65#1000
432	1	10	65#1000
433	1	10	65#1000
434	1	10	65#1000
435	1	10	65#1000
436	1	10	16#150
437	1	10	16#150
438	1	10	16#150
439	1	10	16#150
440	1	10	16#150
441	1	10	65#600
442	1	10	65#600
443	1	10	65#600
444	1	10	65#600
445	1	10	65#600
446	1	10	65#600
447	1	10	65#600
448	1	10	65#600
449	1	10	65#600
450	1	10	65#600
