Id	MonsterId	Type	Profession	Quality	Level	Hp	Attack	PhysicalDefence	MagicDefence	Speed	SecondaryFactor	PropertyName	ElementDamageBonusFactor	ElementDamageReduceFactor	SkillList	PassiveSkillList	MonsterAi
101092	10034	2	3	0	3	341	70	30	0	64	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101093	10029	2	2	0	3	640	116	44	0	95	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31101#31111	null	0
101101	10030	2	1	0	80	10	1351	447	0	1	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31201#31211#31231	31221	0
101103	10034	2	3	0	5	386	79	35	0	69	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101104	10034	2	3	0	5	386	79	35	0	69	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101105	10052	3	1	0	5	532	81	54	0	84	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11801#11811	null	0
101111	10074	5	3	0	5	1286	219	84	0	154	53#10000|55#1000|56#15000	5	0.0	0#0#0#0#0#0	50101#50111	null	0
101112	10035	2	2	0	5	318	73	34	0	54	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32201#32211	null	0
101113	10054	3	2	0	5	275	67	34	0	49	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12301#12311	null	0
101121	10018	1	3	0	5	288	62	30	0	52	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22201#22211	null	0
101122	10017	1	2	0	5	371	73	36	0	65	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101123	10032	2	4	0	5	706	99	54	0	96	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31401#31411	null	0
101131	10034	2	3	0	6	408	84	38	0	71	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101133	10029	2	2	0	6	762	138	56	0	106	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31101#31111	null	0
101134	10034	2	3	0	6	408	84	38	0	71	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101141	10088	5	1	0	6	1016	101	67	0	110	53#10000|55#1000|56#15000	5	0.0	0#0#0#0#0#0	51101#51111	null	0
101142	10017	1	2	0	6	394	78	39	0	67	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101143	10034	2	3	0	6	408	84	38	0	71	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101151	10017	1	2	0	7	416	83	42	0	69	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101152	10033	2	1	0	7	598	92	56	0	93	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31701#31711	null	0
101153	10048	3	2	0	7	751	127	68	0	102	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11201#11211	null	0
101161	10016	1	3	0	7	554	116	54	0	88	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21901#21911	null	0
101162	10052	3	1	0	7	599	89	62	0	90	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11801#11811	null	0
101163	10047	3	4	0	7	828	122	69	0	101	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11101#11111	null	0
101171	10030	2	1	0	8	924	111	71	0	114	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31201#31211	null	0
101172	10033	2	1	0	8	630	96	59	0	96	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31701#31711	null	0
101173	10052	3	1	0	8	632	93	65	0	93	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11801#11811	null	0
101181	10035	2	2	0	9	381	87	41	0	61	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32201#32211	null	0
101182	10035	2	2	0	9	381	87	41	0	61	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32201#32211	null	0
101183	10034	2	3	0	9	474	99	46	0	78	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101184	10034	2	3	0	9	474	99	46	0	78	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101185	10047	3	4	0	9	1073	135	78	0	108	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11101#11111	null	0
101191	10017	1	2	0	9	460	92	47	0	74	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101192	10034	2	3	0	9	474	99	46	0	78	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101193	10048	3	2	0	9	835	141	77	0	109	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11201#11211	null	0
101194	10054	3	2	0	9	341	80	42	0	56	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12301#12311	null	0
101195	10054	3	2	0	9	341	80	42	0	56	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12301#12311	null	0
101201	10054	3	2	0	10	901	156	44	0	58	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12301#12311	null	0
101202	10053	3	3	0	10	1035	178	54	0	75	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101203	10017	1	2	0	10	1026	170	50	0	76	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101204	10017	1	2	0	10	1026	170	50	0	76	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101205	10014	1	2	0	10	1513	232	75	0	112	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21301#21311	null	0
101211	10013	1	1	0	10	1699	184	83	0	122	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21201#21211	null	0
101212	10017	1	2	0	10	1026	170	50	0	76	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101213	10053	3	3	0	10	1035	178	54	0	75	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101214	10053	3	3	0	10	1035	178	54	0	75	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101215	10053	3	3	0	10	1035	178	54	0	75	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101221	10017	1	2	0	11	1048	174	52	0	78	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101222	10053	3	3	0	11	1058	183	56	0	77	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101223	10052	3	1	0	11	1277	178	77	0	102	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11801#11811	null	0
101224	10044	3	2	0	11	2574	340	112	0	176	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	10801#10811	null	0
101225	10047	3	4	0	11	1388	220	87	0	115	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11101#11111	null	0
101231	10017	1	2	0	11	1048	174	52	0	78	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101232	10020	2	3	0	11	2229	348	110	0	182	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	30201#30211	null	0
101233	10017	1	2	0	11	1048	174	52	0	78	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101234	10017	1	2	0	11	1048	174	52	0	78	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101235	10053	3	3	0	11	1058	183	56	0	77	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101241	10052	3	1	0	12	1310	182	80	0	105	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11801#11811	null	0
101242	10017	1	2	0	12	1070	179	55	0	81	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101243	10032	2	4	0	12	1670	216	84	0	122	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31401#31411	null	0
101244	10034	2	3	0	12	1085	186	54	0	85	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101245	10035	2	2	0	12	973	171	47	0	66	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32201#32211	null	0
101251	10017	1	2	0	12	1070	179	55	0	81	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101252	10017	1	2	0	12	1070	179	55	0	81	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101253	10052	3	1	0	12	1310	182	80	0	105	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11801#11811	null	0
101254	10053	3	3	0	12	1081	187	59	0	79	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101255	10047	3	4	0	12	1711	226	92	0	118	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11101#11111	null	0
101261	10034	2	3	0	13	1107	191	56	0	88	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101262	10016	1	3	0	13	1269	225	75	0	106	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21901#21911	null	0
101263	10017	1	2	0	13	1092	183	58	0	83	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101264	10014	1	2	0	13	1636	254	88	0	123	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21301#21311	null	0
101265	10017	1	2	0	13	1092	183	58	0	83	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101271	10018	1	3	0	13	964	163	46	0	66	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22201#22211	null	0
101272	10018	1	3	0	13	964	163	46	0	66	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22201#22211	null	0
101273	10016	1	3	0	13	1269	225	75	0	106	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21901#21911	null	0
101274	10016	1	3	0	13	1269	225	75	0	106	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21901#21911	null	0
101275	10029	2	2	0	13	1698	263	85	0	132	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31101#31111	null	0
101281	10017	1	2	0	14	1114	188	60	0	85	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101282	10016	1	3	0	14	1298	231	78	0	109	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21901#21911	null	0
101283	10026	2	1	0	14	3068	311	131	0	204	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	30801#30811	null	0
101284	10031	2	3	0	14	1587	300	114	0	150	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31301#31311	null	0
101285	10033	2	1	0	14	1367	194	80	0	115	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31701#31711	null	0
101291	10053	3	3	0	14	1127	197	65	0	84	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101292	10017	1	2	0	14	1114	188	60	0	85	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101293	10016	1	3	0	14	1298	231	78	0	109	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21901#21911	null	0
101294	10031	2	3	0	14	1904	300	114	0	150	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31301#31311	null	0
101295	10034	2	3	0	14	1129	196	59	0	90	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101301	10033	2	1	0	15	1399	207	84	0	118	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31701#31711	null	0
101302	10052	3	1	0	15	1411	204	92	0	113	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11801#11811	null	0
101303	10053	3	3	0	15	1150	210	68	0	86	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101304	10017	1	2	0	15	1136	202	63	0	88	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101305	10014	1	2	0	15	1719	277	96	0	130	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21301#21311	null	0
101311	10017	1	2	0	42	2495	541	167	0	171	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	22101#22111	22121	0
101312	10016	1	3	0	41	2941	653	203	0	208	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21901#21911	21921	0
101313	10031	2	3	0	48	4790	1109	340	0	357	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31301#31311	31321	0
101314	10052	3	1	0	41	3224	511	223	0	211	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101315	10053	3	3	0	43	2584	558	180	0	169	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	12101#12111	12121	0
101321	10016	1	3	0	44	3077	684	213	0	216	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21901#21911	21921	0
101322	10017	1	2	0	43	2532	549	170	0	173	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	22101#22111	22121	0
101323	10017	1	2	0	44	2567	558	173	0	175	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	22101#22111	22121	0
101324	10014	1	2	0	49	3975	898	269	0	283	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21301#21311	21321	0
101325	10033	2	1	0	44	3308	547	219	0	228	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31701#31711	31721	0
101331	10034	2	3	0	44	2584	578	171	0	181	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	32001#32011	32021	0
101332	10034	2	3	0	44	2584	578	171	0	181	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	32001#32011	32021	0
101333	10029	2	2	0	50	4061	933	267	0	300	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31101#31111#31131	31121	0
101334	10052	3	1	0	43	3328	526	230	0	217	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101335	10052	3	1	0	45	3431	541	238	0	223	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101341	10033	2	1	0	45	3358	555	222	0	232	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31701#31711	31721	0
101342	10033	2	1	0	46	3435	565	226	0	235	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31701#31711	31721	0
101343	10052	3	1	0	45	3431	541	238	0	223	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101344	10049	3	2	0	45	3767	830	266	0	270	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11301#11311	11321	0
101345	10009	1	2	0	55	9156	1289	422	0	430	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	20801#20811#20831	20821	0
101351	10013	1	1	0	51	5259	800	313	0	315	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21201#21211#21231	21221	0
101352	10016	1	3	0	47	3255	690	224	0	225	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21901#21911	21921	0
101353	10016	1	3	0	47	3255	690	224	0	225	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21901#21911	21921	0
101354	10053	3	3	0	47	2734	565	191	0	178	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	12101#12111	12121	0
101355	10053	3	3	0	46	2696	556	189	0	176	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	12101#12111	12121	0
101361	10052	3	1	0	48	3644	546	249	0	232	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101362	10033	2	1	0	46	3435	541	226	0	235	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31701#31711	31721	0
101363	10034	2	3	0	46	2657	568	176	0	186	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	32001#32011	32021	0
101364	10034	2	3	0	47	2694	577	179	0	189	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	32001#32011	32021	0
101365	10031	2	3	0	52	5877	1306	378	0	388	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31301#31311#31331	31321	0
101371	10053	3	3	0	47	2734	565	191	0	178	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	12101#12111	12121	0
101372	10053	3	3	0	48	2772	573	194	0	180	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	12101#12111	12121	0
101373	10044	3	2	0	53	6423	1353	420	0	418	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	10801#10811#10831	10821	0
101374	10052	3	1	0	48	3644	546	249	0	232	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101375	10052	3	1	0	48	3644	546	249	0	232	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101381	10052	3	1	0	48	3644	546	249	0	232	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101382	10052	3	1	0	49	3712	556	253	0	235	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101383	10017	1	2	0	49	2749	573	186	0	187	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	22101#22111	22121	0
101384	10034	2	3	0	48	2730	585	182	0	191	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	32001#32011	32021	0
101385	10031	2	3	0	54	6072	1348	390	0	398	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31301#31311#31331	31321	0
101391	10016	1	3	0	49	3377	715	231	0	231	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21901#21911	21921	0
101392	10017	1	2	0	49	2749	573	186	0	187	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	22101#22111	22121	0
101393	10016	1	3	0	51	4012	855	253	0	247	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21901#21911	21921	0
101394	10031	2	3	0	55	6169	1369	395	0	403	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31301#31311#31331	31321	0
101395	10034	2	3	0	50	2803	601	187	0	196	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	32001#32011	32021	0
101401	10020	2	3	0	61	11373	1654	374	0	485	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	30201#30211#30231	30221	0
101402	10033	2	1	0	50	3697	553	240	0	247	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31701#31711	31721	0
101403	10052	3	1	0	51	4415	637	277	0	251	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101404	10049	3	2	0	50	4126	825	287	0	287	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11301#11311#11331	11321	0
101405	10047	3	4	0	50	4367	744	295	0	281	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11101#11111#11131	11121	0
101411	10033	2	1	0	51	4316	653	259	0	260	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31701#31711	31721	0
101412	10052	3	1	0	51	4415	637	277	0	251	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
101413	10041	3	4	0	57	7267	1219	462	0	433	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	10501#10511#10531	10521	0
101414	10053	3	3	0	51	3364	667	219	0	197	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	12101#12111	12121	0
101415	10053	3	3	0	53	3480	689	225	0	202	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	12101#12111	12121	0
101421	10006	1	2	0	53	6379	1321	409	0	425	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	20501#20511#20531	20521	0
101422	10017	1	2	0	53	3405	682	213	0	206	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	22101#22111	22121	0
101423	10017	1	2	0	54	3462	693	215	0	209	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	22101#22111	22121	0
101424	10016	1	3	0	58	4480	908	277	0	267	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21901#21911	21921	0
101425	10033	2	1	0	53	4461	673	266	0	266	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31701#31711	31721	0
102011	10033	2	1	0	55	4606	693	274	0	273	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31701#31711	31721	0
102012	10052	3	1	0	54	4639	666	288	0	260	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
102013	10047	3	4	0	59	5722	972	352	0	323	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11101#11111#11131	11121	0
102014	10052	3	1	0	54	4639	666	288	0	260	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
102015	10052	3	1	0	53	4564	656	284	0	257	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
102021	10052	3	1	0	56	4788	685	296	0	265	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
102022	10052	3	1	0	54	4639	666	288	0	260	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
102023	10034	2	3	0	56	3594	739	219	0	220	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	32001#32011	32021	0
102024	10034	2	3	0	56	3594	739	219	0	220	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	32001#32011	32021	0
102025	10031	2	3	0	60	6656	1408	424	0	429	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31301#31311#31331	31321	0
102031	10016	1	3	0	56	4347	882	271	0	261	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21901#21911	21921	0
102032	10022	2	2	0	61	8001	1711	463	0	485	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	30401#30411#30431	30421	0
102033	10052	3	1	0	55	4713	676	292	0	263	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
102034	10053	3	3	0	55	3596	710	230	0	206	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	12101#12111	12121	0
102035	10053	3	3	0	56	3655	721	233	0	208	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	12101#12111	12121	0
102041	10030	2	1	0	57	5682	852	332	0	341	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31201#31211#31231	31221	0
102042	10029	2	2	0	56	5074	1069	307	0	332	56#15000|53#10000|55#1000	2	0.0	0#0#0#0#0#0	31101#31111#31131	31121	0
102043	10067	4	2	0	67	9902	1363	404	0	399	56#15000|53#10000|55#1000	4	0.0	0#0#0#0#0#0	40901#40911#40931	40921	0
102044	10049	3	2	0	57	5243	999	334	0	322	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11301#11311#11331	11321	0
102045	10016	1	3	0	57	4413	853	274	0	264	56#15000|53#10000|55#1000	1	0.0	0#0#0#0#0#0	21901#21911	21921	0
102051	10052	3	1	0	59	5012	681	307	0	274	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
102052	10052	3	1	0	57	4863	663	300	0	268	56#15000|53#10000|55#1000	3	0.0	0#0#0#0#0#0	11801#11811	11821	0
