Id	NextId	ItemId	Level	Step	UpgradeCost	ResetObtain	Attr
56	57	201002	4	1	6000100#4|14#100000	6000100#8|14#200000	52#20|63#20
57	58	201002	5	1	6000100#6|14#150000	6000100#12|14#300000	52#20|63#20
58	59	201002	6	1	6000100#6|14#150000	6000100#18|14#450000	52#20|63#20
59	60	201002	7	1	6000100#8|14#200000	6000100#24|14#600000	52#20|63#20
60	61	201002	8	1	6000100#8|14#200000	6000100#32|14#800000	52#20|63#20
61	62	201002	9	1	6000100#10|14#250000	6000100#40|14#1000000	52#20|63#20
62	63	201002	10	1	6000100#10|14#250000	6000100#50|14#1250000	52#20|63#20
63	64	201002	11	1	6000100#12|14#300000	6000100#60|14#1500000	52#20|63#20
64	65	201002	12	1	6000100#12|14#300000	6000100#72|14#1800000	52#20|63#20
65	66	201002	13	1	6000100#14|14#350000	6000100#84|14#2100000	52#20|63#20
66	67	201002	14	1	6000100#14|14#350000	6000100#98|14#2450000	52#20|63#20
67	68	201002	15	1	6000100#16|14#400000	6000100#112|14#2800000	52#20|63#20
68	69	201002	16	1	6000100#16|14#400000	6000100#128|14#3200000	52#20|63#20
69	70	201002	17	1	6000100#18|14#450000	6000100#144|14#3600000	52#20|63#20
70	71	201002	18	1	6000100#18|14#450000	6000100#162|14#4050000	52#20|63#20
71	72	201002	19	1	6000100#20|14#500000	6000100#180|14#4500000	52#20|63#20
72	73	201002	20	1	6000099#10|6000100#20	6000100#200|14#5000000	52#20|63#20
73	74	201002	20	2	6000100#22|14#550000	6000100#200|14#5000000|6000100#20	52#200|63#200
74	75	201002	21	2	6000100#22|14#550000	6000100#232|14#5550020|6000100#20	52#20|63#20
75	76	201002	22	2	6000100#24|14#600000	6000100#254|14#6100020|6000100#20	52#20|63#20
76	77	201002	23	2	6000100#24|14#600000	6000100#278|14#6700020|6000100#20	52#20|63#20
77	78	201002	24	2	6000100#26|14#650000	6000100#302|14#7300020|6000100#20	52#20|63#20
78	79	201002	25	2	6000100#26|14#650000	6000100#328|14#7950020|6000100#20	52#20|63#20
79	80	201002	26	2	6000100#28|14#700000	6000100#354|14#8600020|6000100#20	52#20|63#20
80	81	201002	27	2	6000100#28|14#700000	6000100#382|14#9300020|6000100#20	52#20|63#20
81	82	201002	28	2	6000100#30|14#750000	6000100#410|14#10000020|6000100#20	52#20|63#20
82	83	201002	29	2	6000100#30|14#750000	6000100#440|14#10750020|6000100#20	52#20|63#20
83	84	201002	30	2	6000100#32|14#800000	6000100#470|14#11500020|6000100#20	52#20|63#20
84	85	201002	31	2	6000100#32|14#800000	6000100#502|14#12300020|6000100#20	52#20|63#20
85	86	201002	32	2	6000100#34|14#850000	6000100#534|14#13100020|6000100#20	52#20|63#20
86	87	201002	33	2	6000100#34|14#850000	6000100#568|14#13950020|6000100#20	52#20|63#20
87	88	201002	34	2	6000100#36|14#900000	6000100#602|14#14800020|6000100#20	52#20|63#20
88	89	201002	35	2	6000100#36|14#900000	6000100#638|14#15700020|6000100#20	52#20|63#20
89	90	201002	36	2	6000100#38|14#950000	6000100#674|14#16600020|6000100#20	52#20|63#20
90	91	201002	37	2	6000100#38|14#950000	6000100#712|14#17550020|6000100#20	52#20|63#20
91	92	201002	38	2	6000100#40|14#1000000	6000100#750|14#18500020|6000100#20	52#20|63#20
92	93	201002	39	2	6000100#40|14#1000000	6000100#790|14#19500020|6000100#20	52#20|63#20
93	94	201002	40	2	6000099#20|6000100#40	6000100#830|14#20500020|6000100#20	52#20|63#20
94	95	201002	40	3	6000100#42|14#1050000	6000100#830|14#20500020|6000100#60	52#200|63#200
95	96	201002	41	3	6000100#44|14#1100000	6000100#892|14#21550060|6000100#60	52#20|63#20
96	97	201002	42	3	6000100#46|14#1150000	6000100#936|14#22650060|6000100#60	52#20|63#20
97	98	201002	43	3	6000100#48|14#1200000	6000100#982|14#23800060|6000100#60	52#20|63#20
98	99	201002	44	3	6000100#50|14#1250000	6000100#1030|14#25000060|6000100#60	52#20|63#20
99	100	201002	45	3	6000100#52|14#1300000	6000100#1080|14#26250060|6000100#60	52#20|63#20
100	101	201002	46	3	6000100#54|14#1350000	6000100#1132|14#27550060|6000100#60	52#20|63#20
101	102	201002	47	3	6000100#56|14#1400000	6000100#1186|14#28900060|6000100#60	52#20|63#20
102	103	201002	48	3	6000100#58|14#1450000	6000100#1242|14#30300060|6000100#60	52#20|63#20
103	104	201002	49	3	6000100#60|14#1500000	6000100#1300|14#31750060|6000100#60	52#20|63#20
104	0	201002	50	3	null	6000100#1360|14#33250060|6000100#60	52#20|63#20
105	106	201003	1	1	6000100#2|14#50000	null	5#100|155#500
106	107	201003	2	1	6000100#2|14#50000	6000100#2|14#50000	5#5|155#20
107	108	201003	3	1	6000100#4|14#100000	6000100#4|14#100000	5#5|155#20
108	109	201003	4	1	6000100#4|14#100000	6000100#8|14#200000	5#5|155#20
109	110	201003	5	1	6000100#6|14#150000	6000100#12|14#300000	5#5|155#20
110	111	201003	6	1	6000100#6|14#150000	6000100#18|14#450000	5#5|155#20
111	112	201003	7	1	6000100#8|14#200000	6000100#24|14#600000	5#5|155#20
112	113	201003	8	1	6000100#8|14#200000	6000100#32|14#800000	5#5|155#20
113	114	201003	9	1	6000100#10|14#250000	6000100#40|14#1000000	5#5|155#20
114	115	201003	10	1	6000100#10|14#250000	6000100#50|14#1250000	5#5|155#20
115	116	201003	11	1	6000100#12|14#300000	6000100#60|14#1500000	5#5|155#20
116	117	201003	12	1	6000100#12|14#300000	6000100#72|14#1800000	5#5|155#20
117	118	201003	13	1	6000100#14|14#350000	6000100#84|14#2100000	5#5|155#20
118	119	201003	14	1	6000100#14|14#350000	6000100#98|14#2450000	5#5|155#20
119	120	201003	15	1	6000100#16|14#400000	6000100#112|14#2800000	5#5|155#20
120	121	201003	16	1	6000100#16|14#400000	6000100#128|14#3200000	5#5|155#20
121	122	201003	17	1	6000100#18|14#450000	6000100#144|14#3600000	5#5|155#20
122	123	201003	18	1	6000100#18|14#450000	6000100#162|14#4050000	5#5|155#20
123	124	201003	19	1	6000100#20|14#500000	6000100#180|14#4500000	5#5|155#20
124	125	201003	20	1	6000099#10|6000100#20	6000100#200|14#5000000	5#5|155#20
125	126	201003	20	2	6000100#22|14#550000	6000100#200|14#5000000|6000100#20	5#50|155#200
126	127	201003	21	2	6000100#22|14#550000	6000100#232|14#5550020|6000100#20	5#5|155#20
127	128	201003	22	2	6000100#24|14#600000	6000100#254|14#6100020|6000100#20	5#5|155#20
128	129	201003	23	2	6000100#24|14#600000	6000100#278|14#6700020|6000100#20	5#5|155#20
129	130	201003	24	2	6000100#26|14#650000	6000100#302|14#7300020|6000100#20	5#5|155#20
130	131	201003	25	2	6000100#26|14#650000	6000100#328|14#7950020|6000100#20	5#5|155#20
131	132	201003	26	2	6000100#28|14#700000	6000100#354|14#8600020|6000100#20	5#5|155#20
132	133	201003	27	2	6000100#28|14#700000	6000100#382|14#9300020|6000100#20	5#5|155#20
133	134	201003	28	2	6000100#30|14#750000	6000100#410|14#10000020|6000100#20	5#5|155#20
134	135	201003	29	2	6000100#30|14#750000	6000100#440|14#10750020|6000100#20	5#5|155#20
135	136	201003	30	2	6000100#32|14#800000	6000100#470|14#11500020|6000100#20	5#5|155#20
136	137	201003	31	2	6000100#32|14#800000	6000100#502|14#12300020|6000100#20	5#5|155#20
137	138	201003	32	2	6000100#34|14#850000	6000100#534|14#13100020|6000100#20	5#5|155#20
138	139	201003	33	2	6000100#34|14#850000	6000100#568|14#13950020|6000100#20	5#5|155#20
139	140	201003	34	2	6000100#36|14#900000	6000100#602|14#14800020|6000100#20	5#5|155#20
140	141	201003	35	2	6000100#36|14#900000	6000100#638|14#15700020|6000100#20	5#5|155#20
141	142	201003	36	2	6000100#38|14#950000	6000100#674|14#16600020|6000100#20	5#5|155#20
142	143	201003	37	2	6000100#38|14#950000	6000100#712|14#17550020|6000100#20	5#5|155#20
143	144	201003	38	2	6000100#40|14#1000000	6000100#750|14#18500020|6000100#20	5#5|155#20
144	145	201003	39	2	6000100#40|14#1000000	6000100#790|14#19500020|6000100#20	5#5|155#20
145	146	201003	40	2	6000099#20|6000100#40	6000100#830|14#20500020|6000100#20	5#5|155#20
146	147	201003	40	3	6000100#42|14#1050000	6000100#830|14#20500020|6000100#60	5#50|155#200
147	148	201003	41	3	6000100#44|14#1100000	6000100#892|14#21550060|6000100#60	5#5|155#20
148	149	201003	42	3	6000100#46|14#1150000	6000100#936|14#22650060|6000100#60	5#5|155#20
149	150	201003	43	3	6000100#48|14#1200000	6000100#982|14#23800060|6000100#60	5#5|155#20
150	151	201003	44	3	6000100#50|14#1250000	6000100#1030|14#25000060|6000100#60	5#5|155#20
151	152	201003	45	3	6000100#52|14#1300000	6000100#1080|14#26250060|6000100#60	5#5|155#20
152	153	201003	46	3	6000100#54|14#1350000	6000100#1132|14#27550060|6000100#60	5#5|155#20
153	154	201003	47	3	6000100#56|14#1400000	6000100#1186|14#28900060|6000100#60	5#5|155#20
154	155	201003	48	3	6000100#58|14#1450000	6000100#1242|14#30300060|6000100#60	5#5|155#20
155	156	201003	49	3	6000100#60|14#1500000	6000100#1300|14#31750060|6000100#60	5#5|155#20
156	0	201003	50	3	null	6000100#1360|14#33250060|6000100#60	5#5|155#20
157	158	201004	1	1	6000100#2|14#50000	null	54#500|60#500
158	159	201004	2	1	6000100#2|14#50000	6000100#2|14#50000	54#20|60#20
159	160	201004	3	1	6000100#4|14#100000	6000100#4|14#100000	54#20|60#20
160	161	201004	4	1	6000100#4|14#100000	6000100#8|14#200000	54#20|60#20
161	162	201004	5	1	6000100#6|14#150000	6000100#12|14#300000	54#20|60#20
162	163	201004	6	1	6000100#6|14#150000	6000100#18|14#450000	54#20|60#20
163	164	201004	7	1	6000100#8|14#200000	6000100#24|14#600000	54#20|60#20
164	165	201004	8	1	6000100#8|14#200000	6000100#32|14#800000	54#20|60#20
165	166	201004	9	1	6000100#10|14#250000	6000100#40|14#1000000	54#20|60#20
166	167	201004	10	1	6000100#10|14#250000	6000100#50|14#1250000	54#20|60#20
167	168	201004	11	1	6000100#12|14#300000	6000100#60|14#1500000	54#20|60#20
168	169	201004	12	1	6000100#12|14#300000	6000100#72|14#1800000	54#20|60#20
169	170	201004	13	1	6000100#14|14#350000	6000100#84|14#2100000	54#20|60#20
170	171	201004	14	1	6000100#14|14#350000	6000100#98|14#2450000	54#20|60#20
171	172	201004	15	1	6000100#16|14#400000	6000100#112|14#2800000	54#20|60#20
172	173	201004	16	1	6000100#16|14#400000	6000100#128|14#3200000	54#20|60#20
173	174	201004	17	1	6000100#18|14#450000	6000100#144|14#3600000	54#20|60#20
174	175	201004	18	1	6000100#18|14#450000	6000100#162|14#4050000	54#20|60#20
175	176	201004	19	1	6000100#20|14#500000	6000100#180|14#4500000	54#20|60#20
176	177	201004	20	1	6000099#10|6000100#20	6000100#200|14#5000000	54#20|60#20
177	178	201004	20	2	6000100#22|14#550000	6000100#200|14#5000000|6000100#20	54#200|60#200
178	179	201004	21	2	6000100#22|14#550000	6000100#232|14#5550020|6000100#20	54#20|60#20
179	180	201004	22	2	6000100#24|14#600000	6000100#254|14#6100020|6000100#20	54#20|60#20
180	181	201004	23	2	6000100#24|14#600000	6000100#278|14#6700020|6000100#20	54#20|60#20
181	182	201004	24	2	6000100#26|14#650000	6000100#302|14#7300020|6000100#20	54#20|60#20
182	183	201004	25	2	6000100#26|14#650000	6000100#328|14#7950020|6000100#20	54#20|60#20
183	184	201004	26	2	6000100#28|14#700000	6000100#354|14#8600020|6000100#20	54#20|60#20
184	185	201004	27	2	6000100#28|14#700000	6000100#382|14#9300020|6000100#20	54#20|60#20
185	186	201004	28	2	6000100#30|14#750000	6000100#410|14#10000020|6000100#20	54#20|60#20
186	187	201004	29	2	6000100#30|14#750000	6000100#440|14#10750020|6000100#20	54#20|60#20
187	188	201004	30	2	6000100#32|14#800000	6000100#470|14#11500020|6000100#20	54#20|60#20
188	189	201004	31	2	6000100#32|14#800000	6000100#502|14#12300020|6000100#20	54#20|60#20
189	190	201004	32	2	6000100#34|14#850000	6000100#534|14#13100020|6000100#20	54#20|60#20
190	191	201004	33	2	6000100#34|14#850000	6000100#568|14#13950020|6000100#20	54#20|60#20
191	192	201004	34	2	6000100#36|14#900000	6000100#602|14#14800020|6000100#20	54#20|60#20
192	193	201004	35	2	6000100#36|14#900000	6000100#638|14#15700020|6000100#20	54#20|60#20
193	194	201004	36	2	6000100#38|14#950000	6000100#674|14#16600020|6000100#20	54#20|60#20
194	195	201004	37	2	6000100#38|14#950000	6000100#712|14#17550020|6000100#20	54#20|60#20
195	196	201004	38	2	6000100#40|14#1000000	6000100#750|14#18500020|6000100#20	54#20|60#20
196	197	201004	39	2	6000100#40|14#1000000	6000100#790|14#19500020|6000100#20	54#20|60#20
197	198	201004	40	2	6000099#20|6000100#40	6000100#830|14#20500020|6000100#20	54#20|60#20
198	199	201004	40	3	6000100#42|14#1050000	6000100#830|14#20500020|6000100#60	54#200|60#200
199	200	201004	41	3	6000100#44|14#1100000	6000100#892|14#21550060|6000100#60	54#20|60#20
200	201	201004	42	3	6000100#46|14#1150000	6000100#936|14#22650060|6000100#60	54#20|60#20
201	202	201004	43	3	6000100#48|14#1200000	6000100#982|14#23800060|6000100#60	54#20|60#20
202	203	201004	44	3	6000100#50|14#1250000	6000100#1030|14#25000060|6000100#60	54#20|60#20
203	204	201004	45	3	6000100#52|14#1300000	6000100#1080|14#26250060|6000100#60	54#20|60#20
204	205	201004	46	3	6000100#54|14#1350000	6000100#1132|14#27550060|6000100#60	54#20|60#20
205	206	201004	47	3	6000100#56|14#1400000	6000100#1186|14#28900060|6000100#60	54#20|60#20
206	207	201004	48	3	6000100#58|14#1450000	6000100#1242|14#30300060|6000100#60	54#20|60#20
207	208	201004	49	3	6000100#60|14#1500000	6000100#1300|14#31750060|6000100#60	54#20|60#20
208	0	201004	50	3	null	6000100#1360|14#33250060|6000100#60	54#20|60#20
209	210	201005	1	1	6000100#2|14#50000	null	61#500|57#500
210	211	201005	2	1	6000100#2|14#50000	6000100#2|14#50000	61#20|57#20
211	212	201005	3	1	6000100#4|14#100000	6000100#4|14#100000	61#20|57#20
212	213	201005	4	1	6000100#4|14#100000	6000100#8|14#200000	61#20|57#20
213	214	201005	5	1	6000100#6|14#150000	6000100#12|14#300000	61#20|57#20
214	215	201005	6	1	6000100#6|14#150000	6000100#18|14#450000	61#20|57#20
215	216	201005	7	1	6000100#8|14#200000	6000100#24|14#600000	61#20|57#20
216	217	201005	8	1	6000100#8|14#200000	6000100#32|14#800000	61#20|57#20
217	218	201005	9	1	6000100#10|14#250000	6000100#40|14#1000000	61#20|57#20
218	219	201005	10	1	6000100#10|14#250000	6000100#50|14#1250000	61#20|57#20
219	220	201005	11	1	6000100#12|14#300000	6000100#60|14#1500000	61#20|57#20
220	221	201005	12	1	6000100#12|14#300000	6000100#72|14#1800000	61#20|57#20
221	222	201005	13	1	6000100#14|14#350000	6000100#84|14#2100000	61#20|57#20
222	223	201005	14	1	6000100#14|14#350000	6000100#98|14#2450000	61#20|57#20
223	224	201005	15	1	6000100#16|14#400000	6000100#112|14#2800000	61#20|57#20
224	225	201005	16	1	6000100#16|14#400000	6000100#128|14#3200000	61#20|57#20
225	226	201005	17	1	6000100#18|14#450000	6000100#144|14#3600000	61#20|57#20
226	227	201005	18	1	6000100#18|14#450000	6000100#162|14#4050000	61#20|57#20
227	228	201005	19	1	6000100#20|14#500000	6000100#180|14#4500000	61#20|57#20
228	229	201005	20	1	6000099#10|6000100#20	6000100#200|14#5000000	61#20|57#20
229	230	201005	20	2	6000100#22|14#550000	6000100#200|14#5000000|6000100#20	61#200|57#200
230	231	201005	21	2	6000100#22|14#550000	6000100#232|14#5550020|6000100#20	61#20|57#20
231	232	201005	22	2	6000100#24|14#600000	6000100#254|14#6100020|6000100#20	61#20|57#20
232	233	201005	23	2	6000100#24|14#600000	6000100#278|14#6700020|6000100#20	61#20|57#20
233	234	201005	24	2	6000100#26|14#650000	6000100#302|14#7300020|6000100#20	61#20|57#20
234	235	201005	25	2	6000100#26|14#650000	6000100#328|14#7950020|6000100#20	61#20|57#20
235	236	201005	26	2	6000100#28|14#700000	6000100#354|14#8600020|6000100#20	61#20|57#20
236	237	201005	27	2	6000100#28|14#700000	6000100#382|14#9300020|6000100#20	61#20|57#20
237	238	201005	28	2	6000100#30|14#750000	6000100#410|14#10000020|6000100#20	61#20|57#20
238	239	201005	29	2	6000100#30|14#750000	6000100#440|14#10750020|6000100#20	61#20|57#20
239	240	201005	30	2	6000100#32|14#800000	6000100#470|14#11500020|6000100#20	61#20|57#20
240	241	201005	31	2	6000100#32|14#800000	6000100#502|14#12300020|6000100#20	61#20|57#20
241	242	201005	32	2	6000100#34|14#850000	6000100#534|14#13100020|6000100#20	61#20|57#20
242	243	201005	33	2	6000100#34|14#850000	6000100#568|14#13950020|6000100#20	61#20|57#20
243	244	201005	34	2	6000100#36|14#900000	6000100#602|14#14800020|6000100#20	61#20|57#20
244	245	201005	35	2	6000100#36|14#900000	6000100#638|14#15700020|6000100#20	61#20|57#20
245	246	201005	36	2	6000100#38|14#950000	6000100#674|14#16600020|6000100#20	61#20|57#20
246	247	201005	37	2	6000100#38|14#950000	6000100#712|14#17550020|6000100#20	61#20|57#20
247	248	201005	38	2	6000100#40|14#1000000	6000100#750|14#18500020|6000100#20	61#20|57#20
248	249	201005	39	2	6000100#40|14#1000000	6000100#790|14#19500020|6000100#20	61#20|57#20
249	250	201005	40	2	6000099#20|6000100#40	6000100#830|14#20500020|6000100#20	61#20|57#20
250	251	201005	40	3	6000100#42|14#1050000	6000100#830|14#20500020|6000100#60	61#200|57#200
251	252	201005	41	3	6000100#44|14#1100000	6000100#892|14#21550060|6000100#60	61#20|57#20
252	253	201005	42	3	6000100#46|14#1150000	6000100#936|14#22650060|6000100#60	61#20|57#20
253	254	201005	43	3	6000100#48|14#1200000	6000100#982|14#23800060|6000100#60	61#20|57#20
254	255	201005	44	3	6000100#50|14#1250000	6000100#1030|14#25000060|6000100#60	61#20|57#20
255	256	201005	45	3	6000100#52|14#1300000	6000100#1080|14#26250060|6000100#60	61#20|57#20
256	257	201005	46	3	6000100#54|14#1350000	6000100#1132|14#27550060|6000100#60	61#20|57#20
257	258	201005	47	3	6000100#56|14#1400000	6000100#1186|14#28900060|6000100#60	61#20|57#20
258	259	201005	48	3	6000100#58|14#1450000	6000100#1242|14#30300060|6000100#60	61#20|57#20
259	260	201005	49	3	6000100#60|14#1500000	6000100#1300|14#31750060|6000100#60	61#20|57#20
260	0	201005	50	3	null	6000100#1360|14#33250060|6000100#60	61#20|57#20
261	262	201006	1	1	6000100#2|14#50000	null	165#500|58#500
262	263	201006	2	1	6000100#2|14#50000	6000100#2|14#50000	165#20|58#20
263	264	201006	3	1	6000100#4|14#100000	6000100#4|14#100000	165#20|58#20
264	265	201006	4	1	6000100#4|14#100000	6000100#8|14#200000	165#20|58#20
265	266	201006	5	1	6000100#6|14#150000	6000100#12|14#300000	165#20|58#20
266	267	201006	6	1	6000100#6|14#150000	6000100#18|14#450000	165#20|58#20
267	268	201006	7	1	6000100#8|14#200000	6000100#24|14#600000	165#20|58#20
268	269	201006	8	1	6000100#8|14#200000	6000100#32|14#800000	165#20|58#20
269	270	201006	9	1	6000100#10|14#250000	6000100#40|14#1000000	165#20|58#20
270	271	201006	10	1	6000100#10|14#250000	6000100#50|14#1250000	165#20|58#20
271	272	201006	11	1	6000100#12|14#300000	6000100#60|14#1500000	165#20|58#20
272	273	201006	12	1	6000100#12|14#300000	6000100#72|14#1800000	165#20|58#20
273	274	201006	13	1	6000100#14|14#350000	6000100#84|14#2100000	165#20|58#20
274	275	201006	14	1	6000100#14|14#350000	6000100#98|14#2450000	165#20|58#20
275	276	201006	15	1	6000100#16|14#400000	6000100#112|14#2800000	165#20|58#20
276	277	201006	16	1	6000100#16|14#400000	6000100#128|14#3200000	165#20|58#20
277	278	201006	17	1	6000100#18|14#450000	6000100#144|14#3600000	165#20|58#20
278	279	201006	18	1	6000100#18|14#450000	6000100#162|14#4050000	165#20|58#20
279	280	201006	19	1	6000100#20|14#500000	6000100#180|14#4500000	165#20|58#20
280	281	201006	20	1	6000099#10|6000100#20	6000100#200|14#5000000	165#20|58#20
281	282	201006	20	2	6000100#22|14#550000	6000100#200|14#5000000|6000100#20	165#200|58#200
282	283	201006	21	2	6000100#22|14#550000	6000100#232|14#5550020|6000100#20	165#20|58#20
283	284	201006	22	2	6000100#24|14#600000	6000100#254|14#6100020|6000100#20	165#20|58#20
284	285	201006	23	2	6000100#24|14#600000	6000100#278|14#6700020|6000100#20	165#20|58#20
285	286	201006	24	2	6000100#26|14#650000	6000100#302|14#7300020|6000100#20	165#20|58#20
286	287	201006	25	2	6000100#26|14#650000	6000100#328|14#7950020|6000100#20	165#20|58#20
287	288	201006	26	2	6000100#28|14#700000	6000100#354|14#8600020|6000100#20	165#20|58#20
288	289	201006	27	2	6000100#28|14#700000	6000100#382|14#9300020|6000100#20	165#20|58#20
289	290	201006	28	2	6000100#30|14#750000	6000100#410|14#10000020|6000100#20	165#20|58#20
290	291	201006	29	2	6000100#30|14#750000	6000100#440|14#10750020|6000100#20	165#20|58#20
291	292	201006	30	2	6000100#32|14#800000	6000100#470|14#11500020|6000100#20	165#20|58#20
292	293	201006	31	2	6000100#32|14#800000	6000100#502|14#12300020|6000100#20	165#20|58#20
293	294	201006	32	2	6000100#34|14#850000	6000100#534|14#13100020|6000100#20	165#20|58#20
294	295	201006	33	2	6000100#34|14#850000	6000100#568|14#13950020|6000100#20	165#20|58#20
295	296	201006	34	2	6000100#36|14#900000	6000100#602|14#14800020|6000100#20	165#20|58#20
296	297	201006	35	2	6000100#36|14#900000	6000100#638|14#15700020|6000100#20	165#20|58#20
297	298	201006	36	2	6000100#38|14#950000	6000100#674|14#16600020|6000100#20	165#20|58#20
298	299	201006	37	2	6000100#38|14#950000	6000100#712|14#17550020|6000100#20	165#20|58#20
299	300	201006	38	2	6000100#40|14#1000000	6000100#750|14#18500020|6000100#20	165#20|58#20
300	301	201006	39	2	6000100#40|14#1000000	6000100#790|14#19500020|6000100#20	165#20|58#20
301	302	201006	40	2	6000099#20|6000100#40	6000100#830|14#20500020|6000100#20	165#20|58#20
302	303	201006	40	3	6000100#42|14#1050000	6000100#830|14#20500020|6000100#60	165#200|58#200
303	304	201006	41	3	6000100#44|14#1100000	6000100#892|14#21550060|6000100#60	165#20|58#20
304	305	201006	42	3	6000100#46|14#1150000	6000100#936|14#22650060|6000100#60	165#20|58#20
305	306	201006	43	3	6000100#48|14#1200000	6000100#982|14#23800060|6000100#60	165#20|58#20
