Id	Quality	Type	Level	Property	Experience	Resolve
5030607	5	6	7	56#1400	30720	28704
5030608	5	6	8	56#1600	61440	54816
5030609	5	6	9	56#1800	122880	107040
5030610	5	6	10	56#2000	0	211488
5030701	5	7	1	58#150	480	3000
5030702	5	7	2	58#300	960	3408
5030703	5	7	3	58#450	1920	4224
5030704	5	7	4	58#600	3840	5856
5030705	5	7	5	58#750	7680	9120
5030706	5	7	6	58#900	15360	15648
5030707	5	7	7	58#1050	30720	28704
5030708	5	7	8	58#1200	61440	54816
5030709	5	7	9	58#1350	122880	107040
5030710	5	7	10	58#1500	0	211488
5030801	5	8	1	57#150	480	3000
5030802	5	8	2	57#300	960	3408
5030803	5	8	3	57#450	1920	4224
5030804	5	8	4	57#600	3840	5856
5030805	5	8	5	57#750	7680	9120
5030806	5	8	6	57#900	15360	15648
5030807	5	8	7	57#1050	30720	28704
5030808	5	8	8	57#1200	61440	54816
5030809	5	8	9	57#1350	122880	107040
5030810	5	8	10	57#1500	0	211488
5030901	5	9	1	66#100	480	3000
5030902	5	9	2	66#200	960	3408
5030903	5	9	3	66#300	1920	4224
5030904	5	9	4	66#400	3840	5856
5030905	5	9	5	66#500	7680	9120
5030906	5	9	6	66#600	15360	15648
5030907	5	9	7	66#700	30720	28704
5030908	5	9	8	66#800	61440	54816
5030909	5	9	9	66#900	122880	107040
5030910	5	9	10	66#1000	0	211488
5031001	5	10	1	59#100	480	3000
5031002	5	10	2	59#200	960	3408
5031003	5	10	3	59#300	1920	4224
5031004	5	10	4	59#400	3840	5856
5031005	5	10	5	59#500	7680	9120
5031006	5	10	6	59#600	15360	15648
5031007	5	10	7	59#700	30720	28704
5031008	5	10	8	59#800	61440	54816
5031009	5	10	9	59#900	122880	107040
5031010	5	10	10	59#1000	0	211488
5031101	5	11	1	60#200	480	3000
5031102	5	11	2	60#400	960	3408
5031103	5	11	3	60#600	1920	4224
5031104	5	11	4	60#800	3840	5856
5031105	5	11	5	60#1000	7680	9120
5031106	5	11	6	60#1200	15360	15648
5031107	5	11	7	60#1400	30720	28704
5031108	5	11	8	60#1600	61440	54816
5031109	5	11	9	60#1800	122880	107040
5031110	5	11	10	60#2000	0	211488
5040101	5	12	1	58#150|63#100	480	3000
5040102	5	12	2	58#300|63#200	960	3408
5040103	5	12	3	58#450|63#300	1920	4224
5040104	5	12	4	58#600|63#400	3840	5856
5040105	5	12	5	58#750|63#500	7680	9120
5040106	5	12	6	58#900|63#600	15360	15648
5040107	5	12	7	58#1050|63#700	30720	28704
5040108	5	12	8	58#1200|63#800	61440	54816
5040109	5	12	9	58#1350|63#900	122880	107040
5040110	5	12	10	58#1500|63#1000	0	211488
5040201	5	13	1	56#200|61#100	480	3000
5040202	5	13	2	56#400|61#200	960	3408
5040203	5	13	3	56#600|61#300	1920	4224
5040204	5	13	4	56#800|61#400	3840	5856
5040205	5	13	5	56#1000|61#500	7680	9120
5040206	5	13	6	56#1200|61#600	15360	15648
5040207	5	13	7	56#1400|61#700	30720	28704
5040208	5	13	8	56#1600|61#800	61440	54816
5040209	5	13	9	56#1800|61#900	122880	107040
5040210	5	13	10	56#2000|61#1000	0	211488
5040301	5	14	1	53#150|64#100	480	3000
5040302	5	14	2	53#300|64#200	960	3408
5040303	5	14	3	53#450|64#300	1920	4224
5040304	5	14	4	53#600|64#400	3840	5856
5040305	5	14	5	53#750|64#500	7680	9120
5040306	5	14	6	53#900|64#600	15360	15648
5040307	5	14	7	53#1050|64#700	30720	28704
5040308	5	14	8	53#1200|64#800	61440	54816
5040309	5	14	9	53#1350|64#900	122880	107040
5040310	5	14	10	53#1500|64#1000	0	211488
5040401	5	15	1	61#100|57#150	480	3000
5040402	5	15	2	61#200|57#300	960	3408
5040403	5	15	3	61#300|57#450	1920	4224
5040404	5	15	4	61#400|57#600	3840	5856
5040405	5	15	5	61#500|57#750	7680	9120
5040406	5	15	6	61#600|57#900	15360	15648
5040407	5	15	7	61#700|57#1050	30720	28704
5040408	5	15	8	61#800|57#1200	61440	54816
5040409	5	15	9	61#900|57#1350	122880	107040
5040410	5	15	10	61#1000|57#1500	0	211488
