Id	Monster	Reward	BattleTime
87	810087	4#48|14#24000|3#9600	20
88	810088	4#48|14#24000|3#9600	20
89	810089	4#49|14#24500|3#9800	20
90	810090	4#49|12013#50|14#24500|3#9800	20
91	810091	4#50|14#25000|3#10000	20
92	810092	4#50|14#25000|3#10000	20
93	810093	4#51|14#25500|3#10200	20
94	810094	4#51|14#25500|3#10200	20
95	810095	4#52|14#26000|3#10400	20
96	810096	4#52|14#26000|3#10400	20
97	810097	4#53|14#26500|3#10600	20
98	810098	4#53|14#26500|3#10600	20
99	810099	4#54|14#27000|3#10800	20
100	810100	4#54|60068#1|60092#1|14#27000|3#10800	20
101	810101	4#55|14#27500|3#11000	20
102	810102	4#55|14#27500|3#11000	20
103	810103	4#56|14#28000|3#11200	20
104	810104	4#56|14#28000|3#11200	20
105	810105	4#57|14#28500|3#11400	20
106	810106	4#57|14#28500|3#11400	20
107	810107	4#58|14#29000|3#11600	20
108	810108	4#58|14#29000|3#11600	20
109	810109	4#59|14#29500|3#11800	20
110	810110	4#59|60084#1|60090#1|14#29500|3#11800	20
111	810111	4#60|14#30000|3#12000	20
112	810112	4#60|14#30000|3#12000	20
113	810113	4#61|14#30500|3#12200	20
114	810114	4#61|14#30500|3#12200	20
115	810115	4#62|14#31000|3#12400	20
116	810116	4#62|14#31000|3#12400	20
117	810117	4#63|14#31500|3#12600	20
118	810118	4#63|14#31500|3#12600	20
119	810119	4#64|14#32000|3#12800	20
120	810120	4#64|12013#50|14#32000|3#12800	20
121	810121	4#65|14#32500|3#13000	20
122	810122	4#65|14#32500|3#13000	20
123	810123	4#66|14#33000|3#13200	20
124	810124	4#66|14#33000|3#13200	20
125	810125	4#67|14#33500|3#13400	20
126	810126	4#67|14#33500|3#13400	20
127	810127	4#68|14#34000|3#13600	20
128	810128	4#68|14#34000|3#13600	20
129	810129	4#69|14#34500|3#13800	20
130	810130	4#69|60069#1|60093#1|14#34500|3#13800	20
131	810131	4#70|14#35000|3#14000	20
132	810132	4#70|14#35000|3#14000	20
133	810133	4#71|14#35500|3#14200	20
134	810134	4#71|14#35500|3#14200	20
135	810135	4#72|14#36000|3#14400	20
136	810136	4#72|14#36000|3#14400	20
137	810137	4#73|14#36500|3#14600	20
138	810138	4#73|14#36500|3#14600	20
139	810139	4#74|14#37000|3#14800	20
140	810140	4#74|60084#1|60090#1|14#37000|3#14800	20
141	810141	4#75|14#37500|3#15000	20
142	810142	4#75|14#37500|3#15000	20
143	810143	4#76|14#38000|3#15200	20
144	810144	4#76|14#38000|3#15200	20
145	810145	4#77|14#38500|3#15400	20
146	810146	4#77|14#38500|3#15400	20
147	810147	4#78|14#39000|3#15600	20
148	810148	4#78|14#39000|3#15600	20
149	810149	4#79|14#39500|3#15800	20
150	810150	4#79|12013#50|14#39500|3#15800	20
151	810151	4#80|14#40000|3#16000	20
152	810152	4#80|14#40000|3#16000	20
153	810153	4#81|14#40500|3#16200	20
154	810154	4#81|14#40500|3#16200	20
155	810155	4#82|14#41000|3#16400	20
156	810156	4#82|14#41000|3#16400	20
157	810157	4#83|14#41500|3#16600	20
158	810158	4#83|14#41500|3#16600	20
159	810159	4#84|14#42000|3#16800	20
160	810160	4#84|60100#1|60140#1|14#42000|3#16800	20
161	810161	4#85|14#42500|3#17000	20
162	810162	4#85|14#42500|3#17000	20
163	810163	4#86|14#43000|3#17200	20
164	810164	4#86|14#43000|3#17200	20
165	810165	4#87|14#43500|3#17400	20
166	810166	4#87|14#43500|3#17400	20
167	810167	4#88|14#44000|3#17600	20
168	810168	4#88|14#44000|3#17600	20
169	810169	4#89|14#44500|3#17800	20
170	810170	4#89|60125#1|60135#1|14#44500|3#17800	20
171	810171	4#90|14#45000|3#18000	20
172	810172	4#90|14#45000|3#18000	20
173	810173	4#91|14#45500|3#18200	20
174	810174	4#91|14#45500|3#18200	20
175	810175	4#92|14#46000|3#18400	20
176	810176	4#92|14#46000|3#18400	20
177	810177	4#93|14#46500|3#18600	20
178	810178	4#93|14#46500|3#18600	20
179	810179	4#94|14#47000|3#18800	20
180	810180	4#94|12013#50|14#47000|3#18800	20
181	810181	4#95|14#47500|3#19000	20
182	810182	4#95|14#47500|3#19000	20
183	810183	4#96|14#48000|3#19200	20
184	810184	4#96|14#48000|3#19200	20
185	810185	4#97|14#48500|3#19400	20
186	810186	4#97|14#48500|3#19400	20
187	810187	4#98|14#49000|3#19600	20
188	810188	4#98|14#49000|3#19600	20
189	810189	4#99|14#49500|3#19800	20
190	810190	4#99|60100#1|60140#1|14#49500|3#19800	20
191	810191	4#100|14#50000|3#20000	20
192	810192	4#100|14#50000|3#20000	20
193	810193	4#101|14#50500|3#20200	20
194	810194	4#101|14#50500|3#20200	20
195	810195	4#102|14#51000|3#20400	20
196	810196	4#102|14#51000|3#20400	20
197	810197	4#103|14#51500|3#20600	20
198	810198	4#103|14#51500|3#20600	20
199	810199	4#104|14#52000|3#20800	20
200	810200	4#104|60125#1|60135#1|14#52000|3#20800	20
201	810201	4#105|14#52500|3#21000	20
202	810202	4#105|14#52500|3#21000	20
203	810203	4#106|14#53000|3#21200	20
204	810204	4#106|14#53000|3#21200	20
205	810205	4#107|14#53500|3#21400	20
206	810206	4#107|14#53500|3#21400	20
207	810207	4#108|14#54000|3#21600	20
208	810208	4#108|14#54000|3#21600	20
209	810209	4#109|14#54500|3#21800	20
210	810210	4#109|12013#50|14#54500|3#21800	20
211	810211	4#110|14#55000|3#22000	20
212	810212	4#110|14#55000|3#22000	20
213	810213	4#111|14#55500|3#22200	20
214	810214	4#111|14#55500|3#22200	20
215	810215	4#112|14#56000|3#22400	20
216	810216	4#112|14#56000|3#22400	20
217	810217	4#113|14#56500|3#22600	20
218	810218	4#113|14#56500|3#22600	20
219	810219	4#114|14#57000|3#22800	20
220	810220	4#114|60101#1|60141#1|14#57000|3#22800	20
221	810221	4#115|14#57500|3#23000	20
222	810222	4#115|14#57500|3#23000	20
223	810223	4#116|14#58000|3#23200	20
224	810224	4#116|14#58000|3#23200	20
225	810225	4#117|14#58500|3#23400	20
226	810226	4#117|14#58500|3#23400	20
227	810227	4#118|14#59000|3#23600	20
228	810228	4#118|14#59000|3#23600	20
229	810229	4#119|14#59500|3#23800	20
230	810230	4#119|60126#1|60136#1|14#59500|3#23800	20
231	810231	4#120|14#60000|3#24000	20
232	810232	4#120|14#60000|3#24000	20
233	810233	4#121|14#60500|3#24200	20
234	810234	4#121|14#60500|3#24200	20
235	810235	4#122|14#61000|3#24400	20
236	810236	4#122|14#61000|3#24400	20
237	810237	4#123|14#61500|3#24600	20
238	810238	4#123|14#61500|3#24600	20
239	810239	4#124|14#62000|3#24800	20
240	810240	4#124|12013#50|14#62000|3#24800	20
241	810241	4#125|14#62500|3#25000	20
242	810242	4#125|14#62500|3#25000	20
243	810243	4#126|14#63000|3#25200	20
244	810244	4#126|14#63000|3#25200	20
245	810245	4#127|14#63500|3#25400	20
246	810246	4#127|14#63500|3#25400	20
247	810247	4#128|14#64000|3#25600	20
248	810248	4#128|14#64000|3#25600	20
249	810249	4#129|14#64500|3#25800	20
250	810250	4#129|60101#1|60141#1|14#64500|3#25800	20
251	810251	4#130|14#65000|3#26000	20
252	810252	4#130|14#65000|3#26000	20
253	810253	4#131|14#65500|3#26200	20
254	810254	4#131|14#65500|3#26200	20
255	810255	4#132|14#66000|3#26400	20
256	810256	4#132|14#66000|3#26400	20
257	810257	4#133|14#66500|3#26600	20
258	810258	4#133|14#66500|3#26600	20
259	810259	4#134|14#67000|3#26800	20
260	810260	4#134|60126#1|60136#1|14#67000|3#26800	20
261	810261	4#135|14#67500|3#27000	20
262	810262	4#135|14#67500|3#27000	20
263	810263	4#136|14#68000|3#27200	20
264	810264	4#136|14#68000|3#27200	20
265	810265	4#137|14#68500|3#27400	20
266	810266	4#137|14#68500|3#27400	20
267	810267	4#138|14#69000|3#27600	20
268	810268	4#138|14#69000|3#27600	20
269	810269	4#139|14#69500|3#27800	20
270	810270	4#139|12013#50|14#69500|3#27800	20
271	810271	4#140|14#70000|3#28000	20
272	810272	4#140|14#70000|3#28000	20
273	810273	4#141|14#70500|3#28200	20
274	810274	4#141|14#70500|3#28200	20
275	810275	4#142|14#71000|3#28400	20
276	810276	4#142|14#71000|3#28400	20
277	810277	4#143|14#71500|3#28600	20
278	810278	4#143|14#71500|3#28600	20
279	810279	4#144|14#72000|3#28800	20
280	810280	4#144|60102#1|60142#1|14#72000|3#28800	20
281	810281	4#145|14#72500|3#29000	20
282	810282	4#145|14#72500|3#29000	20
283	810283	4#146|14#73000|3#29200	20
284	810284	4#146|14#73000|3#29200	20
285	810285	4#147|14#73500|3#29400	20
286	810286	4#147|14#73500|3#29400	20
287	810287	4#148|14#74000|3#29600	20
288	810288	4#148|14#74000|3#29600	20
289	810289	4#149|14#74500|3#29800	20
290	810290	4#149|60127#1|60137#1|14#74500|3#29800	20
291	810291	4#150|14#75000|3#30000	20
292	810292	4#150|14#75000|3#30000	20
293	810293	4#151|14#75500|3#30200	20
294	810294	4#151|14#75500|3#30200	20
295	810295	4#152|14#76000|3#30400	20
296	810296	4#152|14#76000|3#30400	20
297	810297	4#153|14#76500|3#30600	20
298	810298	4#153|14#76500|3#30600	20
299	810299	4#154|14#77000|3#30800	20
300	810300	4#154|12013#50|14#77000|3#30800	20
301	810301	4#155|14#77500|3#31000	20
302	810302	4#155|14#77500|3#31000	20
303	810303	4#156|14#78000|3#31200	20
304	810304	4#156|14#78000|3#31200	20
305	810305	4#157|14#78500|3#31400	20
306	810306	4#157|14#78500|3#31400	20
307	810307	4#158|14#79000|3#31600	20
308	810308	4#158|14#79000|3#31600	20
309	810309	4#159|14#79500|3#31800	20
310	810310	4#159|60102#1|60142#1|14#79500|3#31800	20
311	810311	4#160|14#80000|3#32000	20
312	810312	4#160|14#80000|3#32000	20
313	810313	4#161|14#80500|3#32200	20
314	810314	4#161|14#80500|3#32200	20
315	810315	4#162|14#81000|3#32400	20
316	810316	4#162|14#81000|3#32400	20
317	810317	4#163|14#81500|3#32600	20
318	810318	4#163|14#81500|3#32600	20
319	810319	4#164|14#82000|3#32800	20
320	810320	4#164|60127#1|60137#1|14#82000|3#32800	20
321	810321	4#165|14#82500|3#33000	20
322	810322	4#165|14#82500|3#33000	20
323	810323	4#166|14#83000|3#33200	20
324	810324	4#166|14#83000|3#33200	20
325	810325	4#167|14#83500|3#33400	20
326	810326	4#167|14#83500|3#33400	20
327	810327	4#168|14#84000|3#33600	20
328	810328	4#168|14#84000|3#33600	20
329	810329	4#169|14#84500|3#33800	20
330	810330	4#169|12013#50|14#84500|3#33800	20
331	810331	4#170|14#85000|3#34000	20
332	810332	4#170|14#85000|3#34000	20
333	810333	4#171|14#85500|3#34200	20
334	810334	4#171|14#85500|3#34200	20
335	810335	4#172|14#86000|3#34400	20
336	810336	4#172|14#86000|3#34400	20
337	810337	4#173|14#86500|3#34600	20
338	810338	4#173|14#86500|3#34600	20
339	810339	4#174|14#87000|3#34800	20
340	810340	4#174|60103#1|60144#1|14#87000|3#34800	20
341	810341	4#175|14#87500|3#35000	20
342	810342	4#175|14#87500|3#35000	20
343	810343	4#176|14#88000|3#35200	20
344	810344	4#176|14#88000|3#35200	20
345	810345	4#177|14#88500|3#35400	20
346	810346	4#177|14#88500|3#35400	20
347	810347	4#178|14#89000|3#35600	20
348	810348	4#178|14#89000|3#35600	20
349	810349	4#179|14#89500|3#35800	20
350	810350	4#179|60128#1|60138#1|14#89500|3#35800	20
351	810351	4#180|14#90000|3#36000	20
352	810352	4#180|14#90000|3#36000	20
353	810353	4#181|14#90500|3#36200	20
354	810354	4#181|14#90500|3#36200	20
355	810355	4#182|14#91000|3#36400	20
356	810356	4#182|14#91000|3#36400	20
357	810357	4#183|14#91500|3#36600	20
358	810358	4#183|14#91500|3#36600	20
359	810359	4#184|14#92000|3#36800	20
360	810360	4#184|12013#50|14#92000|3#36800	20
361	810361	4#185|14#92500|3#37000	20
362	810362	4#185|14#92500|3#37000	20
363	810363	4#186|14#93000|3#37200	20
364	810364	4#186|14#93000|3#37200	20
365	810365	4#187|14#93500|3#37400	20
366	810366	4#187|14#93500|3#37400	20
367	810367	4#188|14#94000|3#37600	20
368	810368	4#188|14#94000|3#37600	20
369	810369	4#189|14#94500|3#37800	20
370	810370	4#189|60103#1|60144#1|14#94500|3#37800	20
371	810371	4#190|14#95000|3#38000	20
372	810372	4#190|14#95000|3#38000	20
373	810373	4#191|14#95500|3#38200	20
374	810374	4#191|14#95500|3#38200	20
375	810375	4#192|14#96000|3#38400	20
376	810376	4#192|14#96000|3#38400	20
377	810377	4#193|14#96500|3#38600	20
378	810378	4#193|14#96500|3#38600	20
379	810379	4#194|14#97000|3#38800	20
380	810380	4#194|60128#1|60138#1|14#97000|3#38800	20
381	810381	4#195|14#97500|3#39000	20
382	810382	4#195|14#97500|3#39000	20
383	810383	4#196|14#98000|3#39200	20
384	810384	4#196|14#98000|3#39200	20
385	810385	4#197|14#98500|3#39400	20
386	810386	4#197|14#98500|3#39400	20
387	810387	4#198|14#99000|3#39600	20
388	810388	4#198|14#99000|3#39600	20
389	810389	4#199|14#99500|3#39800	20
390	810390	4#199|12013#50|14#99500|3#39800	20
391	810391	4#200|14#100000|3#40000	20
392	810392	4#200|14#100000|3#40000	20
393	810393	4#201|14#100500|3#40200	20
394	810394	4#201|14#100500|3#40200	20
395	810395	4#202|14#101000|3#40400	20
396	810396	4#202|14#101000|3#40400	20
397	810397	4#203|14#101500|3#40600	20
398	810398	4#203|14#101500|3#40600	20
399	810399	4#204|14#102000|3#40800	20
400	810400	4#204|60155#1|60195#1|14#102000|3#40800	20
401	810401	4#205|14#102500|3#41000	20
402	810402	4#205|14#102500|3#41000	20
403	810403	4#206|14#103000|3#41200	20
404	810404	4#206|14#103000|3#41200	20
405	810405	4#207|14#103500|3#41400	20
406	810406	4#207|14#103500|3#41400	20
407	810407	4#208|14#104000|3#41600	20
408	810408	4#208|14#104000|3#41600	20
409	810409	4#209|14#104500|3#41800	20
410	810410	4#209|60180#1|60190#1|14#104500|3#41800	20
411	810411	4#210|14#105000|3#42000	20
412	810412	4#210|14#105000|3#42000	20
413	810413	4#211|14#105500|3#42200	20
414	810414	4#211|14#105500|3#42200	20
415	810415	4#212|14#106000|3#42400	20
416	810416	4#212|14#106000|3#42400	20
417	810417	4#213|14#106500|3#42600	20
418	810418	4#213|14#106500|3#42600	20
419	810419	4#214|14#107000|3#42800	20
420	810420	4#214|12013#50|14#107000|3#42800	20
421	810421	4#215|14#107500|3#43000	20
422	810422	4#215|14#107500|3#43000	20
423	810423	4#216|14#108000|3#43200	20
424	810424	4#216|14#108000|3#43200	20
425	810425	4#217|14#108500|3#43400	20
426	810426	4#217|14#108500|3#43400	20
427	810427	4#218|14#109000|3#43600	20
428	810428	4#218|14#109000|3#43600	20
429	810429	4#219|14#109500|3#43800	20
430	810430	4#219|60155#1|60195#1|14#109500|3#43800	20
431	810431	4#220|14#110000|3#44000	20
432	810432	4#220|14#110000|3#44000	20
433	810433	4#221|14#110500|3#44200	20
434	810434	4#221|14#110500|3#44200	20
435	810435	4#222|14#111000|3#44400	20
436	810436	4#222|14#111000|3#44400	20
437	810437	4#223|14#111500|3#44600	20
438	810438	4#223|14#111500|3#44600	20
439	810439	4#224|14#112000|3#44800	20
440	810440	4#224|60180#1|60190#1|14#112000|3#44800	20
441	810441	4#225|14#112500|3#45000	20
442	810442	4#225|14#112500|3#45000	20
443	810443	4#226|14#113000|3#45200	20
444	810444	4#226|14#113000|3#45200	20
445	810445	4#227|14#113500|3#45400	20
446	810446	4#227|14#113500|3#45400	20
447	810447	4#228|14#114000|3#45600	20
448	810448	4#228|14#114000|3#45600	20
449	810449	4#229|14#114500|3#45800	20
450	810450	4#229|12013#50|14#114500|3#45800	20
451	810451	4#230|14#115000|3#46000	20
452	810452	4#230|14#115000|3#46000	20
453	810453	4#231|14#115500|3#46200	20
454	810454	4#231|14#115500|3#46200	20
455	810455	4#232|14#116000|3#46400	20
456	810456	4#232|14#116000|3#46400	20
457	810457	4#233|14#116500|3#46600	20
458	810458	4#233|14#116500|3#46600	20
459	810459	4#234|14#117000|3#46800	20
460	810460	4#234|60155#1|60195#1|14#117000|3#46800	20
461	810461	4#235|14#117500|3#47000	20
462	810462	4#235|14#117500|3#47000	20
463	810463	4#236|14#118000|3#47200	20
464	810464	4#236|14#118000|3#47200	20
465	810465	4#237|14#118500|3#47400	20
466	810466	4#237|14#118500|3#47400	20
467	810467	4#238|14#119000|3#47600	20
468	810468	4#238|14#119000|3#47600	20
469	810469	4#239|14#119500|3#47800	20
470	810470	4#239|60180#1|60190#1|14#119500|3#47800	20
471	810471	4#240|14#120000|3#48000	20
472	810472	4#240|14#120000|3#48000	20
473	810473	4#241|14#120500|3#48200	20
474	810474	4#241|14#120500|3#48200	20
475	810475	4#242|14#121000|3#48400	20
476	810476	4#242|14#121000|3#48400	20
477	810477	4#243|14#121500|3#48600	20
478	810478	4#243|14#121500|3#48600	20
479	810479	4#244|14#122000|3#48800	20
480	810480	4#244|12013#50|14#122000|3#48800	20
481	810481	4#245|14#122500|3#49000	20
482	810482	4#245|14#122500|3#49000	20
483	810483	4#246|14#123000|3#49200	20
484	810484	4#246|14#123000|3#49200	20
485	810485	4#247|14#123500|3#49400	20
486	810486	4#247|14#123500|3#49400	20
487	810487	4#248|14#124000|3#49600	20
488	810488	4#248|14#124000|3#49600	20
489	810489	4#249|14#124500|3#49800	20
490	810490	4#249|60155#1|60195#1|14#124500|3#49800	20
491	810491	4#250|14#125000|3#50000	20
492	810492	4#250|14#125000|3#50000	20
493	810493	4#251|14#125500|3#50200	20
494	810494	4#251|14#125500|3#50200	20
495	810495	4#252|14#126000|3#50400	20
496	810496	4#252|14#126000|3#50400	20
497	810497	4#253|14#126500|3#50600	20
498	810498	4#253|14#126500|3#50600	20
499	810499	4#254|14#127000|3#50800	20
500	810500	4#254|60180#1|60190#1|14#127000|3#50800	20
501	810501	4#255|14#127500|3#51000	20
502	810502	4#255|14#127500|3#51000	20
503	810503	4#256|14#128000|3#51200	20
504	810504	4#256|14#128000|3#51200	20
505	810505	4#257|14#128500|3#51400	20
506	810506	4#257|14#128500|3#51400	20
507	810507	4#258|14#129000|3#51600	20
508	810508	4#258|14#129000|3#51600	20
509	810509	4#259|14#129500|3#51800	20
510	810510	4#259|12013#50|14#129500|3#51800	20
511	810511	4#260|14#130000|3#52000	20
512	810512	4#260|14#130000|3#52000	20
513	810513	4#261|14#130500|3#52200	20
514	810514	4#261|14#130500|3#52200	20
515	810515	4#262|14#131000|3#52400	20
516	810516	4#262|14#131000|3#52400	20
517	810517	4#263|14#131500|3#52600	20
518	810518	4#263|14#131500|3#52600	20
519	810519	4#264|14#132000|3#52800	20
520	810520	4#264|60155#1|60195#1|14#132000|3#52800	20
521	810521	4#265|14#132500|3#53000	20
522	810522	4#265|14#132500|3#53000	20
523	810523	4#266|14#133000|3#53200	20
524	810524	4#266|14#133000|3#53200	20
525	810525	4#267|14#133500|3#53400	20
526	810526	4#267|14#133500|3#53400	20
527	810527	4#268|14#134000|3#53600	20
528	810528	4#268|14#134000|3#53600	20
529	810529	4#269|14#134500|3#53800	20
530	810530	4#269|60180#1|60190#1|14#134500|3#53800	20
531	810531	4#270|14#135000|3#54000	20
532	810532	4#270|14#135000|3#54000	20
533	810533	4#271|14#135500|3#54200	20
534	810534	4#271|14#135500|3#54200	20
535	810535	4#272|14#136000|3#54400	20
536	810536	4#272|14#136000|3#54400	20
537	810537	4#273|14#136500|3#54600	20
538	810538	4#273|14#136500|3#54600	20
539	810539	4#274|14#137000|3#54800	20
540	810540	4#274|12013#50|14#137000|3#54800	20
541	810541	4#275|14#137500|3#55000	20
542	810542	4#275|14#137500|3#55000	20
543	810543	4#276|14#138000|3#55200	20
544	810544	4#276|14#138000|3#55200	20
545	810545	4#277|14#138500|3#55400	20
546	810546	4#277|14#138500|3#55400	20
547	810547	4#278|14#139000|3#55600	20
548	810548	4#278|14#139000|3#55600	20
549	810549	4#279|14#139500|3#55800	20
550	810550	4#279|60155#1|60195#1|14#139500|3#55800	20
551	810551	4#280|14#140000|3#56000	20
552	810552	4#280|14#140000|3#56000	20
553	810553	4#281|14#140500|3#56200	20
554	810554	4#281|14#140500|3#56200	20
555	810555	4#282|14#141000|3#56400	20
556	810556	4#282|14#141000|3#56400	20
557	810557	4#283|14#141500|3#56600	20
558	810558	4#283|14#141500|3#56600	20
559	810559	4#284|14#142000|3#56800	20
560	810560	4#284|60180#1|60190#1|14#142000|3#56800	20
561	810561	4#285|14#142500|3#57000	20
562	810562	4#285|14#142500|3#57000	20
563	810563	4#286|14#143000|3#57200	20
564	810564	4#286|14#143000|3#57200	20
565	810565	4#287|14#143500|3#57400	20
566	810566	4#287|14#143500|3#57400	20
567	810567	4#288|14#144000|3#57600	20
568	810568	4#288|14#144000|3#57600	20
569	810569	4#289|14#144500|3#57800	20
570	810570	4#289|12013#50|14#144500|3#57800	20
571	810571	4#290|14#145000|3#58000	20
572	810572	4#290|14#145000|3#58000	20
573	810573	4#291|14#145500|3#58200	20
574	810574	4#291|14#145500|3#58200	20
575	810575	4#292|14#146000|3#58400	20
576	810576	4#292|14#146000|3#58400	20
577	810577	4#293|14#146500|3#58600	20
578	810578	4#293|14#146500|3#58600	20
579	810579	4#294|14#147000|3#58800	20
580	810580	4#294|60155#1|60195#1|14#147000|3#58800	20
581	810581	4#295|14#147500|3#59000	20
582	810582	4#295|14#147500|3#59000	20
583	810583	4#296|14#148000|3#59200	20
584	810584	4#296|14#148000|3#59200	20
585	810585	4#297|14#148500|3#59400	20
586	810586	4#297|14#148500|3#59400	20
587	810587	4#298|14#149000|3#59600	20
588	810588	4#298|14#149000|3#59600	20
589	810589	4#299|14#149500|3#59800	20
590	810590	4#299|60180#1|60190#1|14#149500|3#59800	20
591	810591	4#300|14#150000|3#60000	20
592	810592	4#300|14#150000|3#60000	20
593	810593	4#301|14#150500|3#60200	20
594	810594	4#301|14#150500|3#60200	20
595	810595	4#302|14#151000|3#60400	20
596	810596	4#302|14#151000|3#60400	20
597	810597	4#303|14#151500|3#60600	20
598	810598	4#303|14#151500|3#60600	20
599	810599	4#304|14#152000|3#60800	20
600	810600	4#304|12013#50|14#152000|3#60800	20
601	810601	4#305|14#152500|3#61000	20
602	810602	4#305|14#152500|3#61000	20
603	810603	4#306|14#153000|3#61200	20
604	810604	4#306|14#153000|3#61200	20
605	810605	4#307|14#153500|3#61400	20
606	810606	4#307|14#153500|3#61400	20
607	810607	4#308|14#154000|3#61600	20
608	810608	4#308|14#154000|3#61600	20
609	810609	4#309|14#154500|3#61800	20
610	810610	4#309|60155#1|60195#1|14#154500|3#61800	20
611	810611	4#310|14#155000|3#62000	20
612	810612	4#310|14#155000|3#62000	20
613	810613	4#311|14#155500|3#62200	20
614	810614	4#311|14#155500|3#62200	20
615	810615	4#312|14#156000|3#62400	20
616	810616	4#312|14#156000|3#62400	20
617	810617	4#313|14#156500|3#62600	20
618	810618	4#313|14#156500|3#62600	20
619	810619	4#314|14#157000|3#62800	20
620	810620	4#314|60180#1|60190#1|14#157000|3#62800	20
621	810621	4#315|14#157500|3#63000	20
622	810622	4#315|14#157500|3#63000	20
623	810623	4#316|14#158000|3#63200	20
624	810624	4#316|14#158000|3#63200	20
625	810625	4#317|14#158500|3#63400	20
626	810626	4#317|14#158500|3#63400	20
627	810627	4#318|14#159000|3#63600	20
628	810628	4#318|14#159000|3#63600	20
629	810629	4#319|14#159500|3#63800	20
630	810630	4#319|12013#50|14#159500|3#63800	20
631	810631	4#320|14#160000|3#64000	20
632	810632	4#320|14#160000|3#64000	20
633	810633	4#321|14#160500|3#64200	20
634	810634	4#321|14#160500|3#64200	20
635	810635	4#322|14#161000|3#64400	20
636	810636	4#322|14#161000|3#64400	20
637	810637	4#323|14#161500|3#64600	20
638	810638	4#323|14#161500|3#64600	20
639	810639	4#324|14#162000|3#64800	20
