ID	Level	TankStarLimit	UpgradeCost	Forget	ForgetCost	SkillId	WarWayGroup
60193	3	11	18019#5|6000110#20000	6000110#20000	16#300	60193	6019
60203	3	11	18020#5|6000110#20000	6000110#20000	16#300	60203	6020
60213	3	11	18021#5|6000110#20000	6000110#20000	16#300	60213	6021
60223	3	11	18022#5|6000110#20000	6000110#20000	16#300	60223	6022
60233	3	11	18023#5|6000110#20000	6000110#20000	16#300	60233	6023
60243	3	11	18024#5|6000110#20000	6000110#20000	16#300	60243	6024
60253	3	11	18025#5|6000110#20000	6000110#20000	16#300	60253	6025
60263	3	11	18026#5|6000110#20000	6000110#20000	16#300	60263	6026
60273	3	11	18027#5|6000110#20000	6000110#20000	16#300	60273	6027
60283	3	11	18028#5|6000110#20000	6000110#20000	16#300	60283	6028
60293	3	11	18029#5|6000110#20000	6000110#20000	16#300	60293	6029
60303	3	11	18030#5|6000110#20000	6000110#20000	16#300	60303	6030
60313	3	11	18031#5|6000110#20000	6000110#20000	16#300	60313	6031
60323	3	11	18032#5|6000110#20000	6000110#20000	16#300	60323	6032
60333	3	11	18033#5|6000110#20000	6000110#20000	16#300	60333	6033
60343	3	11	18034#5|6000110#20000	6000110#20000	16#300	60343	6034
60353	3	11	18035#5|6000110#20000	6000110#20000	16#300	60353	6035
60363	3	11	18036#5|6000110#20000	6000110#20000	16#300	60363	6036
60373	3	11	18037#5|6000110#20000	6000110#20000	16#300	60373	6037
60383	3	11	18038#5|6000110#20000	6000110#20000	16#300	60383	6038
60393	3	11	18039#5|6000110#20000	6000110#20000	16#300	60393	6039
60403	3	11	18040#5|6000110#20000	6000110#20000	16#300	60403	6040
60413	3	11	18041#5|6000110#20000	6000110#20000	16#300	60413	6041
60423	3	11	18042#5|6000110#20000	6000110#20000	16#300	60423	6042
60433	3	11	18043#5|6000110#20000	6000110#20000	16#300	60433	6043
60014	4	0	18001#10|6000111#100	6000110#40000	16#600	60014	6001
60024	4	0	18002#10|6000111#100	6000110#40000	16#600	60024	6002
60034	4	0	18003#10|6000111#100	6000110#40000	16#600	60034	6003
60044	4	0	18004#10|6000111#100	6000110#40000	16#600	60044	6004
60054	4	0	18005#10|6000111#100	6000110#40000	16#600	60054	6005
60064	4	0	18006#10|6000111#100	6000110#40000	16#600	60064	6006
60074	4	0	18007#10|6000111#100	6000110#40000	16#600	60074	6007
60084	4	0	18008#10|6000111#100	6000110#40000	16#600	60084	6008
60094	4	0	18009#10|6000111#100	6000110#40000	16#600	60094	6009
60104	4	0	18010#10|6000111#100	6000110#40000	16#600	60104	6010
60114	4	0	18011#10|6000111#100	6000110#40000	16#600	60114	6011
60124	4	0	18012#10|6000111#100	6000110#40000	16#600	60124	6012
60134	4	0	18013#10|6000111#100	6000110#40000	16#600	60134	6013
60144	4	0	18014#10|6000111#100	6000110#40000	16#600	60144	6014
60154	4	0	18015#10|6000111#100	6000110#40000	16#600	60154	6015
60164	4	0	18016#10|6000111#100	6000110#40000	16#600	60164	6016
60174	4	0	18017#10|6000111#100	6000110#40000	16#600	60174	6017
60184	4	0	18018#10|6000111#100	6000110#40000	16#600	60184	6018
60194	4	0	18019#10|6000111#100	6000110#40000	16#600	60194	6019
60204	4	0	18020#10|6000111#100	6000110#40000	16#600	60204	6020
60214	4	0	18021#10|6000111#100	6000110#40000	16#600	60214	6021
60224	4	0	18022#10|6000111#100	6000110#40000	16#600	60224	6022
60234	4	0	18023#10|6000111#100	6000110#40000	16#600	60234	6023
60244	4	0	18024#10|6000111#100	6000110#40000	16#600	60244	6024
60254	4	0	18025#10|6000111#100	6000110#40000	16#600	60254	6025
60264	4	0	18026#10|6000111#100	6000110#40000	16#600	60264	6026
60274	4	0	18027#10|6000111#100	6000110#40000	16#600	60274	6027
60284	4	0	18028#10|6000111#100	6000110#40000	16#600	60284	6028
60294	4	0	18029#10|6000111#100	6000110#40000	16#600	60294	6029
60304	4	0	18030#10|6000111#100	6000110#40000	16#600	60304	6030
60314	4	0	18031#10|6000111#100	6000110#40000	16#600	60314	6031
60324	4	0	18032#10|6000111#100	6000110#40000	16#600	60324	6032
60334	4	0	18033#10|6000111#100	6000110#40000	16#600	60334	6033
60344	4	0	18034#10|6000111#100	6000110#40000	16#600	60344	6034
60354	4	0	18035#10|6000111#100	6000110#40000	16#600	60354	6035
60364	4	0	18036#10|6000111#100	6000110#40000	16#600	60364	6036
60374	4	0	18037#10|6000111#100	6000110#40000	16#600	60374	6037
60384	4	0	18038#10|6000111#100	6000110#40000	16#600	60384	6038
60394	4	0	18039#10|6000111#100	6000110#40000	16#600	60394	6039
60404	4	0	18040#10|6000111#100	6000110#40000	16#600	60404	6040
60414	4	0	18041#10|6000111#100	6000110#40000	16#600	60414	6041
60424	4	0	18042#10|6000111#100	6000110#40000	16#600	60424	6042
60434	4	0	18043#10|6000111#100	6000110#40000	16#600	60434	6043
