Id	Type	NextId	Level	UnlockSite	RiseSite	Step	Cost	Attr
71	1	72	68	4	0	3	14#780000|10425#39	2#28560|3#413|1#257040|5#388
72	1	73	69	4	0	3	14#780000|10425#39	2#28980|3#417|1#260820|5#392
73	1	74	70	4	0	3	14#800000|10425#40	2#29400|3#421|1#264600|5#396
74	1	75	71	4	0	3	14#800000|10425#40	2#29820|3#425|1#268380|5#400
75	1	76	72	4	0	3	14#820000|10425#41	2#30240|3#429|1#272160|5#404
76	1	77	73	4	0	3	14#820000|10425#41	2#30660|3#433|1#275940|5#408
77	1	78	74	4	0	3	14#840000|10425#42	2#31080|3#437|1#279720|5#412
78	1	79	75	4	0	3	14#840000|10425#42	2#31500|3#441|1#283500|5#416
79	1	80	76	4	0	3	14#860000|10425#43	2#31920|3#445|1#287280|5#420
80	1	81	77	4	0	3	14#860000|10425#43	2#32340|3#449|1#291060|5#424
81	1	82	78	4	0	3	14#880000|10425#44	2#32760|3#453|1#294840|5#428
82	1	83	79	4	0	3	14#880000|10425#44	2#33180|3#457|1#298620|5#432
83	1	84	80	4	0	3	14#900000|10425#45	2#33600|3#461|1#302400|5#436
84	1	85	81	4	0	3	14#900000|10425#45	2#34020|3#465|1#306180|5#440
85	1	86	82	4	0	3	14#920000|10425#46	2#34440|3#469|1#309960|5#444
86	1	87	83	4	0	3	14#920000|10425#46	2#34860|3#473|1#313740|5#448
87	1	88	84	4	0	3	14#940000|10425#47	2#35280|3#477|1#317520|5#452
88	1	89	85	4	0	3	14#940000|10425#47	2#35700|3#481|1#321300|5#456
89	1	90	86	4	0	3	14#960000|10425#48	2#36120|3#485|1#325080|5#460
90	1	91	87	4	0	3	14#960000|10425#48	2#36540|3#489|1#328860|5#464
91	1	92	88	4	0	3	14#980000|10425#49	2#36960|3#493|1#332640|5#468
92	1	93	89	4	0	3	14#980000|10425#49	2#37380|3#497|1#336420|5#472
93	2	94	90	4	0	3	10424#40|10425#120	2#37800|3#501|1#340200|5#476
94	1	95	90	4	1	4	14#1000000|10425#50	2#6000|3#177|1#54000|5#162
95	1	96	91	4	1	4	14#1000000|10425#50	2#45870|3#565|1#412830|5#533
96	1	97	92	4	1	4	14#1020000|10425#51	2#46440|3#569|1#417960|5#537
97	1	98	93	4	1	4	14#1020000|10425#51	2#47010|3#573|1#423090|5#541
98	1	99	94	4	1	4	14#1040000|10425#52	2#47580|3#577|1#428220|5#545
99	1	100	95	4	1	4	14#1040000|10425#52	2#48150|3#581|1#433350|5#549
100	1	101	96	4	1	4	14#1060000|10425#53	2#48720|3#585|1#438480|5#553
101	1	102	97	4	1	4	14#1060000|10425#53	2#49290|3#589|1#443610|5#557
102	1	103	98	4	1	4	14#1080000|10425#54	2#49860|3#593|1#448740|5#561
103	1	104	99	4	1	4	14#1080000|10425#54	2#50430|3#597|1#453870|5#565
104	1	105	100	4	1	4	14#1100000|10425#55	2#51000|3#601|1#459000|5#569
105	1	106	101	4	1	4	14#1100000|10425#55	2#51570|3#605|1#464130|5#573
106	1	107	102	4	1	4	14#1120000|10425#56	2#52140|3#609|1#469260|5#577
107	1	108	103	4	1	4	14#1120000|10425#56	2#52710|3#613|1#474390|5#581
108	1	109	104	4	1	4	14#1140000|10425#57	2#53280|3#617|1#479520|5#585
109	1	110	105	4	1	4	14#1140000|10425#57	2#53850|3#621|1#484650|5#589
110	1	111	106	4	1	4	14#1160000|10425#58	2#54420|3#625|1#489780|5#593
111	1	112	107	4	1	4	14#1160000|10425#58	2#54990|3#629|1#494910|5#597
112	1	113	108	4	1	4	14#1180000|10425#59	2#55560|3#633|1#500040|5#601
113	1	114	109	4	1	4	14#1180000|10425#59	2#56130|3#637|1#505170|5#605
114	1	115	110	4	1	4	14#1200000|10425#60	2#56700|3#641|1#510300|5#609
115	1	116	111	4	1	4	14#1200000|10425#60	2#57270|3#645|1#515430|5#613
116	1	117	112	4	1	4	14#1220000|10425#61	2#57840|3#649|1#520560|5#617
117	1	118	113	4	1	4	14#1220000|10425#61	2#58410|3#653|1#525690|5#621
118	1	119	114	4	1	4	14#1240000|10425#62	2#58980|3#657|1#530820|5#625
119	1	120	115	4	1	4	14#1240000|10425#62	2#59550|3#661|1#535950|5#629
120	1	121	116	4	1	4	14#1260000|10425#63	2#60120|3#665|1#541080|5#633
121	1	122	117	4	1	4	14#1260000|10425#63	2#60690|3#669|1#546210|5#637
122	1	123	118	4	1	4	14#1280000|10425#64	2#61260|3#673|1#551340|5#641
123	1	124	119	4	1	4	14#1280000|10425#64	2#61830|3#677|1#556470|5#645
124	2	125	120	4	1	4	10424#80|10425#240	2#62400|3#681|1#561600|5#649
125	1	126	120	4	2	5	14#1300000|10425#65	2#62400|3#681|1#561600|5#649
126	1	127	121	4	2	5	14#1300000|10425#65	2#73600|3#769|1#662400|5#726
127	1	128	122	4	2	5	14#1320000|10425#66	2#74300|3#773|1#668700|5#730
128	1	129	123	4	2	5	14#1320000|10425#66	2#75000|3#777|1#675000|5#734
129	1	130	124	4	2	5	14#1340000|10425#67	2#75700|3#781|1#681300|5#738
130	1	131	125	4	2	5	14#1340000|10425#67	2#76400|3#785|1#687600|5#742
131	1	132	126	4	2	5	14#1360000|10425#68	2#77100|3#789|1#693900|5#746
132	1	133	127	4	2	5	14#1360000|10425#68	2#77800|3#793|1#700200|5#750
133	1	134	128	4	2	5	14#1380000|10425#69	2#78500|3#797|1#706500|5#754
134	1	135	129	4	2	5	14#1380000|10425#69	2#79200|3#801|1#712800|5#758
135	1	136	130	4	2	5	14#1400000|10425#70	2#79900|3#805|1#719100|5#762
136	1	137	131	4	2	5	14#1400000|10425#70	2#80600|3#809|1#725400|5#766
137	1	138	132	4	2	5	14#1420000|10425#71	2#81300|3#813|1#731700|5#770
138	1	139	133	4	2	5	14#1420000|10425#71	2#82000|3#817|1#738000|5#774
139	1	140	134	4	2	5	14#1440000|10425#72	2#82700|3#821|1#744300|5#778
140	1	141	135	4	2	5	14#1440000|10425#72	2#83400|3#825|1#750600|5#782
141	1	142	136	4	2	5	14#1460000|10425#73	2#84100|3#829|1#756900|5#786
142	1	143	137	4	2	5	14#1460000|10425#73	2#84800|3#833|1#763200|5#790
143	1	144	138	4	2	5	14#1480000|10425#74	2#85500|3#837|1#769500|5#794
144	1	145	139	4	2	5	14#1480000|10425#74	2#86200|3#841|1#775800|5#798
145	1	146	140	4	2	5	14#1500000|10425#75	2#86900|3#845|1#782100|5#802
146	1	147	141	4	2	5	14#1500000|10425#75	2#87600|3#849|1#788400|5#806
147	1	148	142	4	2	5	14#1520000|10425#76	2#88300|3#853|1#794700|5#810
148	1	149	143	4	2	5	14#1520000|10425#76	2#89000|3#857|1#801000|5#814
149	1	150	144	4	2	5	14#1540000|10425#77	2#89700|3#861|1#807300|5#818
150	1	151	145	4	2	5	14#1540000|10425#77	2#90400|3#865|1#813600|5#822
151	1	152	146	4	2	5	14#1560000|10425#78	2#91100|3#869|1#819900|5#826
152	1	153	147	4	2	5	14#1560000|10425#78	2#91800|3#873|1#826200|5#830
153	1	154	148	4	2	5	14#1580000|10425#79	2#92500|3#877|1#832500|5#834
154	1	155	149	4	2	5	14#1580000|10425#79	2#93200|3#881|1#838800|5#838
155	2	156	150	4	2	5	10424#160|10425#480	2#93900|3#885|1#845100|5#842
156	1	157	150	4	3	6	14#1600000|10425#80	2#93900|3#885|1#845100|5#842
157	1	158	151	4	3	6	14#1600000|10425#80	2#108240|3#997|1#974160|5#941
158	1	159	152	4	3	6	14#1620000|10425#81	2#109080|3#1001|1#981720|5#945
159	1	160	153	4	3	6	14#1620000|10425#81	2#109920|3#1005|1#989280|5#949
160	1	161	154	4	3	6	14#1640000|10425#82	2#110760|3#1009|1#996840|5#953
161	1	162	155	4	3	6	14#1640000|10425#82	2#111600|3#1013|1#1004400|5#957
162	1	163	156	4	3	6	14#1660000|10425#83	2#112440|3#1017|1#1011960|5#961
163	1	164	157	4	3	6	14#1660000|10425#83	2#113280|3#1021|1#1019520|5#965
164	1	165	158	4	3	6	14#1680000|10425#84	2#114120|3#1025|1#1027080|5#969
165	1	166	159	4	3	6	14#1680000|10425#84	2#114960|3#1029|1#1034640|5#973
166	1	167	160	4	3	6	14#1700000|10425#85	2#115800|3#1033|1#1042200|5#977
167	1	168	161	4	3	6	14#1700000|10425#85	2#116640|3#1037|1#1049760|5#981
168	1	169	162	4	3	6	14#1720000|10425#86	2#117480|3#1041|1#1057320|5#985
169	1	170	163	4	3	6	14#1720000|10425#86	2#118320|3#1045|1#1064880|5#989
170	1	171	164	4	3	6	14#1740000|10425#87	2#119160|3#1049|1#1072440|5#993
171	1	172	165	4	3	6	14#1740000|10425#87	2#120000|3#1053|1#1080000|5#997
172	1	173	166	4	3	6	14#1760000|10425#88	2#120840|3#1057|1#1087560|5#1001
173	1	174	167	4	3	6	14#1760000|10425#88	2#121680|3#1061|1#1095120|5#1005
174	1	175	168	4	3	6	14#1780000|10425#89	2#122520|3#1065|1#1102680|5#1009
175	1	176	169	4	3	6	14#1780000|10425#89	2#123360|3#1069|1#1110240|5#1013
176	1	177	170	4	3	6	14#1800000|10425#90	2#124200|3#1073|1#1117800|5#1017
177	1	178	171	4	3	6	14#1800000|10425#90	2#125040|3#1077|1#1125360|5#1021
178	1	179	172	4	3	6	14#1820000|10425#91	2#125880|3#1081|1#1132920|5#1025
179	1	180	173	4	3	6	14#1820000|10425#91	2#126720|3#1085|1#1140480|5#1029
180	1	181	174	4	3	6	14#1840000|10425#92	2#127560|3#1089|1#1148040|5#1033
181	1	182	175	4	3	6	14#1840000|10425#92	2#128400|3#1093|1#1155600|5#1037
182	1	183	176	4	3	6	14#1860000|10425#93	2#129240|3#1097|1#1163160|5#1041
183	1	184	177	4	3	6	14#1860000|10425#93	2#130080|3#1101|1#1170720|5#1045
184	1	185	178	4	3	6	14#1880000|10425#94	2#130920|3#1105|1#1178280|5#1049
185	1	186	179	4	3	6	14#1880000|10425#94	2#131760|3#1109|1#1185840|5#1053
186	2	187	180	4	3	6	10424#320|10425#960	2#132600|3#1113|1#1193400|5#1057
187	1	188	180	4	4	7	14#1900000|10425#95	2#132600|3#1113|1#1193400|5#1057
188	1	189	181	4	4	7	14#1900000|10425#95	2#148580|3#1237|1#1337220|5#1166
189	1	190	182	4	4	7	14#1920000|10425#96	2#149560|3#1241|1#1346040|5#1170
190	1	191	183	4	4	7	14#1920000|10425#96	2#150540|3#1245|1#1354860|5#1174
191	1	192	184	4	4	7	14#1940000|10425#97	2#151520|3#1249|1#1363680|5#1178
192	1	193	185	4	4	7	14#1940000|10425#97	2#152500|3#1253|1#1372500|5#1182
193	1	194	186	4	4	7	14#1960000|10425#98	2#153480|3#1257|1#1381320|5#1186
194	1	195	187	4	4	7	14#1960000|10425#98	2#154460|3#1261|1#1390140|5#1190
195	1	196	188	4	4	7	14#1980000|10425#99	2#155440|3#1265|1#1398960|5#1194
196	1	197	189	4	4	7	14#1980000|10425#99	2#156420|3#1269|1#1407780|5#1198
197	1	198	190	4	4	7	14#2000000|10425#100	2#157400|3#1273|1#1416600|5#1202
198	1	199	191	4	4	7	14#2000000|10425#100	2#158380|3#1277|1#1425420|5#1206
199	1	200	192	4	4	7	14#2020000|10425#101	2#159360|3#1281|1#1434240|5#1210
200	1	201	193	4	4	7	14#2020000|10425#101	2#160340|3#1285|1#1443060|5#1214
201	1	202	194	4	4	7	14#2040000|10425#102	2#161320|3#1289|1#1451880|5#1218
202	1	203	195	4	4	7	14#2040000|10425#102	2#162300|3#1293|1#1460700|5#1222
203	1	204	196	4	4	7	14#2060000|10425#103	2#163280|3#1297|1#1469520|5#1226
204	1	205	197	4	4	7	14#2060000|10425#103	2#164260|3#1301|1#1478340|5#1230
205	1	206	198	4	4	7	14#2080000|10425#104	2#165240|3#1305|1#1487160|5#1234
206	1	207	199	4	4	7	14#2080000|10425#104	2#166220|3#1309|1#1495980|5#1238
207	1	208	200	4	4	7	14#2100000|10425#105	2#167200|3#1313|1#1504800|5#1242
208	1	209	201	4	4	7	14#2100000|10425#105	2#168180|3#1317|1#1513620|5#1246
209	1	210	202	4	4	7	14#2120000|10425#106	2#169160|3#1321|1#1522440|5#1250
210	1	211	203	4	4	7	14#2120000|10425#106	2#170140|3#1325|1#1531260|5#1254
211	1	212	204	4	4	7	14#2140000|10425#107	2#171120|3#1329|1#1540080|5#1258
212	1	213	205	4	4	7	14#2140000|10425#107	2#172100|3#1333|1#1548900|5#1262
213	1	214	206	4	4	7	14#2160000|10425#108	2#173080|3#1337|1#1557720|5#1266
214	1	215	207	4	4	7	14#2160000|10425#108	2#174060|3#1341|1#1566540|5#1270
215	1	216	208	4	4	7	14#2180000|10425#109	2#175040|3#1345|1#1575360|5#1274
216	1	217	209	4	4	7	14#2180000|10425#109	2#176020|3#1349|1#1584180|5#1278
217	1	0	210	4	4	7	14#2200000|10425#110	2#177000|3#1353|1#1593000|5#1282
