Id	Difficulty	Name	NextLevel	LevelLimit	MonsterGroup	Reward	RandomRewardMin	RandomReward	RecommendFightAbility	RankTime	InvasionBoss	InvasionBossReward	InvasionBossTime	InvasionBossHolding	SortId	BattleEvent
3021	1	42	3031	1	51042	205041	9142	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	42	null
3031	1	43	3041	1	51043	205042	9143	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	43	null
3041	1	44	3051	1	51044	205043	9144	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	44	null
3051	1	45	3061	1	51045	205044	9145	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	45	null
3061	1	46	3071	1	51046	205045	9146	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	46	null
3071	1	47	3081	1	51047	205046	9147	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	47	null
3081	1	48	3091	1	51048	205047	9148	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	48	null
3091	1	49	3101	1	51049	205048	9149	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	49	null
3101	1	50	3111	1	51050	205049	9150	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	50	null
3111	1	51	3121	1	51051	205050	9151	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	51	null
3121	1	52	3131	1	51052	205051	9152	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	52	null
3131	1	53	3141	1	51053	205052	9153	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	53	null
3141	1	54	3151	1	51054	205053	9154	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	54	null
3151	1	55	3161	1	51055	205054	9155	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	55	null
3161	1	56	3171	1	51056	205055	9156	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	56	null
3171	1	57	3181	1	51057	205056	9157	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	57	null
3181	1	58	3191	1	51058	205057	9158	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	58	null
3191	1	59	3201	1	51059	205058	9159	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	59	null
3201	1	60	4011	1	51060	205059	9160	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	60	null
4011	1	61	4021	1	51061	205060	9161	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	61	null
4021	1	62	4031	1	51062	205061	9162	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	62	null
4031	1	63	4041	1	51063	205062	9163	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	63	null
4041	1	64	4051	1	51064	205063	9164	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	64	null
4051	1	65	4061	1	51065	205064	9165	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	65	null
4061	1	66	4071	1	51066	205065	9166	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	66	null
4071	1	67	4081	1	51067	205066	9167	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	67	null
4081	1	68	4091	1	51068	205067	9168	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	68	null
4091	1	69	4101	1	51069	205068	9169	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	69	null
4101	1	70	4111	1	51070	205069	9170	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	70	null
4111	1	71	4121	1	51071	205070	9171	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	71	null
4121	1	72	4131	1	51072	205071	9172	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	72	null
4131	1	73	4141	1	51073	205072	9173	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	73	null
4141	1	74	4151	1	51074	205073	9174	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	74	null
4151	1	75	4161	1	51075	205074	9175	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	75	null
4161	1	76	4171	1	51076	205075	9176	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	76	null
4171	1	77	4181	1	51077	205076	9177	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	77	null
4181	1	78	4191	1	51078	205077	9178	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	78	null
4191	1	79	4201	1	51079	205078	9179	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	79	null
4201	1	80	5011	1	51080	205079	9180	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	80	null
5011	1	81	5021	23	51081	205080	9181	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	81	null
5021	1	82	5031	23	51082	205081	9182	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	82	null
5031	1	83	5041	23	51083	205082	9183	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	83	null
5041	1	84	5051	23	51084	205083	9184	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	84	null
5051	1	85	5061	23	51085	205084	9185	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	85	null
5061	1	86	5071	23	51086	205085	9186	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	86	null
5071	1	87	5081	23	51087	205086	9187	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	87	null
5081	1	88	5091	23	51088	205087	9188	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	88	null
5091	1	89	5101	23	51089	205088	9189	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	89	null
5101	1	90	5111	23	51090	205089	9190	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	90	null
5111	1	91	5121	24	51091	205090	9191	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	91	null
5121	1	92	5131	24	51092	205091	9192	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	92	null
5131	1	93	5141	24	51093	205092	9193	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	93	null
5141	1	94	5151	24	51094	205093	9194	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	94	null
5151	1	95	5161	24	51095	205094	9195	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	95	null
5161	1	96	5171	24	51096	205095	9196	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	96	null
5171	1	97	5181	24	51097	205096	9197	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	97	null
5181	1	98	5191	24	51098	205097	9198	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	98	null
5191	1	99	5201	24	51099	205098	9199	20002#1#20001#20069#20070#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	99	null
5201	1	100	6011	24	51100	205099	9200	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	100	null
6011	1	101	6021	25	51101	205100	9201	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	101	null
6021	1	102	6031	25	51102	205101	9202	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	102	null
6031	1	103	6041	25	51103	205102	9203	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	103	null
6041	1	104	6051	25	51104	205103	9204	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	104	null
6051	1	105	6061	25	51105	205104	9205	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	105	null
6061	1	106	6071	25	51106	205105	9206	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	106	null
6071	1	107	6081	25	51107	205106	9207	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	107	null
6081	1	108	6091	25	51108	205107	9208	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	108	null
6091	1	109	6101	25	51109	205108	9209	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	109	null
6101	1	110	6111	25	51110	205109	9210	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	110	null
6111	1	111	6121	26	51111	205110	9211	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	111	null
6121	1	112	6131	26	51112	205111	9212	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	112	null
6131	1	113	6141	26	51113	205112	9213	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	113	null
6141	1	114	6151	26	51114	205113	9214	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	114	null
6151	1	115	6161	26	51115	205114	9215	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	115	null
6161	1	116	6171	26	51116	205115	9216	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	116	null
6171	1	117	6181	26	51117	205116	9217	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	117	null
6181	1	118	6191	26	51118	205117	9218	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	118	null
6191	1	119	6201	26	51119	205118	9219	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	119	null
6201	1	120	7011	26	51120	205119	9220	20002#1#20001#20069#20070#20003#20004#20005#20006	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	120	null
7011	1	121	7021	27	51121	205120	9221	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	121	null
7021	1	122	7031	27	51122	205121	9222	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	122	null
7031	1	123	7041	27	51123	205122	9223	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	123	null
7041	1	124	7051	27	51124	205123	9224	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	124	null
7051	1	125	7061	27	51125	205124	9225	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	125	null
7061	1	126	7071	27	51126	205125	9226	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	126	null
7071	1	127	7081	27	51127	205126	9227	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	127	null
7081	1	128	7091	27	51128	205127	9228	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	128	null
7091	1	129	7101	27	51129	205128	9229	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	129	null
7101	1	130	7111	27	51130	205129	9230	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	130	null
7111	1	131	7121	28	51131	205130	9231	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	131	null
7121	1	132	7131	28	51132	205131	9232	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	132	null
7131	1	133	7141	28	51133	205132	9233	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	133	null
7141	1	134	7151	28	51134	205133	9234	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	134	null
7151	1	135	7161	28	51135	205134	9235	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	135	null
7161	1	136	7171	28	51136	205135	9236	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	136	null
7171	1	137	7181	28	51137	205136	9237	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	137	null
7181	1	138	7191	28	51138	205137	9238	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	138	null
7191	1	139	7201	28	51139	205138	9239	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	139	null
7201	1	140	8011	28	51140	205139	9240	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	140	null
8011	1	141	8021	29	51141	205140	9241	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	141	null
8021	1	142	8031	29	51142	205141	9242	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	142	null
8031	1	143	8041	29	51143	205142	9243	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	143	null
8041	1	144	8051	29	51144	205143	9244	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	144	null
8051	1	145	8061	29	51145	205144	9245	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	145	null
8061	1	146	8071	29	51146	205145	9246	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	146	null
8071	1	147	8081	29	51147	205146	9247	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	147	null
8081	1	148	8091	29	51148	205147	9248	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	148	null
8091	1	149	8101	29	51149	205148	9249	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	149	null
8101	1	150	8111	29	51150	205149	9250	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	150	null
8111	1	151	8121	31	51151	205150	9251	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	151	null
8121	1	152	8131	31	51152	205151	9252	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	152	null
8131	1	153	8141	31	51153	205152	9253	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	153	null
8141	1	154	8151	31	51154	205153	9254	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	154	null
8151	1	155	8161	31	51155	205154	9255	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	155	null
8161	1	156	8171	31	51156	205155	9256	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	156	null
8171	1	157	8181	31	51157	205156	9257	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	157	null
8181	1	158	8191	31	51158	205157	9258	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	158	null
8191	1	159	8201	31	51159	205158	9259	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	159	null
8201	1	160	9011	31	51160	205159	9260	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	160	null
9011	1	161	9021	33	51161	205160	9261	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	161	null
9021	1	162	9031	33	51162	205161	9262	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	162	null
9031	1	163	9041	33	51163	205162	9263	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	163	null
9041	1	164	9051	33	51164	205163	9264	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	164	null
9051	1	165	9061	33	51165	205164	9265	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	165	null
9061	1	166	9071	33	51166	205165	9266	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	166	null
9071	1	167	9081	33	51167	205166	9267	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	167	null
9081	1	168	9091	33	51168	205167	9268	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	168	null
9091	1	169	9101	33	51169	205168	9269	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	169	null
9101	1	170	9111	33	51170	205169	9270	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	170	null
9111	1	171	9121	35	51171	205170	9271	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	171	null
9121	1	172	9131	35	51172	205171	9272	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	172	null
9131	1	173	9141	35	51173	205172	9273	20002#1#20001#20069#20070#20003#20004#20005#20006#20007	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	173	null
