Id	Formation	Contents	Rewardgroup
11504	1	11506#0#0#0#0	40015#40015#55035
11505	1	11507#0#0#0#0	40015#40015#40015#59
11506	1	21511#21512#21513#21514#21515	3073
11507	1	21521#21522#21523#21524#21525	3073
11601	1	11601#0#0#0#0	40016
11602	1	11602#0#0#0#0	40016#40016
11603	1	11603#0#0#0#0	40016#40016#40016
11604	1	11604#0#0#0#0	40016#55057
11605	1	11605#0#0#0#0	40016#40016#40016#850
11606	1	21611#21612#21613#21614#21615	40016
11607	1	21621#21622#21623#21624#21625	40016
11701	1	11701#0#0#0#0	40017
11702	1	11702#0#0#0#0	40017
11703	1	11703#0#0#0#0	40017#40017
11704	1	11704#0#0#0#0	40017#40017#40017#850
11705	1	21711#21712#21713#21714#21715	40017
11706	1	21721#21722#21723#21724#21725	40017
11801	1	11801#0#0#0#0	40018#40018
11802	1	11802#0#0#0#0	40018#40018
11803	1	11803#0#0#0#0	40018#40018#40018#850
11804	1	11804#0#0#0#0	40018#40018
11805	1	11805#0#0#0#0	40018#40018#40018#850
11806	1	21811#21812#21813#21814#21815	40018
11807	1	21821#21822#21823#21824#21825	40018#1305
11901	1	11901#0#0#0#0	40019#850
11902	1	11902#0#0#0#0	40019
11903	1	11903#0#0#0#0	40019#40019
11904	1	11904#0#0#0#0	40019#40019
11905	1	11905#0#0#0#0	40019#40019#850
11906	1	21911#21912#21913#21914#21915	40019
11907	1	21921#21922#21923#21924#21925	40019
12001	1	12001#0#0#0#0	40020
12002	1	12002#0#0#0#0	40020#40020#55062
12003	1	12003#12004#0#0#0	40020
12004	1	12005#12006#0#0#0	40020#40020
12005	1	12007#12008#0#0#0	40020#40020#40020
12006	1	22011#22012#22013#22014#22015	40020
12007	1	22021#22022#22023#22024#22025	40020#1305
12008	1	12009#0#0#0#0	40020#40020#40020#850
20101	1	50431#50430#50432#0#0	3046
20102	1	50446#50442#50444#0#0	3046
20103	1	50461#50451#50453#0#0	3046#10411
20104	1	50469#50471#50466#50468#0	3046
20105	1	50431#50430#50432#0#0	3046
20106	1	50446#50442#50444#0#0	3046#10411
20107	1	50461#50451#50453#0#0	3046
20108	1	50469#50471#50466#50468#0	3046
20109	1	50491#50490#50492#0#0	3046#10411
20110	1	50509#50508#50510#0#0	3046#10411
20111	1	50518#0#0#0#0	10110#10414
20112	1	50398#50397#50399#0#0	3046#10411
20113	1	50404#50400#50402#0#0	3046#10411
20114	1	50425#50428#0#0#0	3046#10411
20115	1	50458#0#0#0#0	3046#10411
20116	1	50488#0#0#0#0	10110#10414
30101	1	30200#0#0#0#0	890
30102	1	30300#0#0#0#0	890
30103	1	30400#0#0#0#0	890
30104	1	30500#0#0#0#0	890
30201	1	30600#0#0#0#0	890
30202	1	30700#0#0#0#0	890
30203	1	30800#0#0#0#0	890
30204	1	30900#0#0#0#0	890
30301	1	31000#0#0#0#0	890
30302	1	31100#0#0#0#0	890
30303	1	31200#0#0#0#0	890
30304	1	31300#0#0#0#0	890
30401	1	31400#0#0#0#0	890
30402	1	31500#0#0#0#0	890
30403	1	31600#0#0#0#0	890
30404	1	31700#0#0#0#0	890
30501	1	31800#31800#31800#0#0	890
30502	1	31900#31900#31900#0#0	890
30503	1	32000#32000#32000#0#0	890
30504	1	32100#32100#32100#0#0	890
300101	1	30101#30102#30103#0#0	1501#1001#55047
300102	1	30104#30105#30106#0#0	1501#1001#55047
300103	1	30107#0#0#0#0	1501#1501#1501#1101#1161
300104	1	30108#30109#30110#0#0	1501#1501#1501#1101#1161
300105	1	30111#0#0#0#0	1501#1501#1501#1201#1601
300106	1	30112#0#0#0#0	1501#1501#1201#1602
300107	1	30111#30112#0#0#0	1501#1501#1501#1201#1201#1603
300201	1	30201#30202#30203#0#0	1502#1002#55047
300202	1	30204#30205#30206#0#0	1502#1002#55047
300203	1	30207#0#0#0#0	1502#1502#1502#1102#1162#1181
300204	1	30208#30209#30210#0#0	1502#1502#1502#1102#1162#1181
300205	1	30211#0#0#0#0	1502#1502#1502#1202#1601
300206	1	30212#0#0#0#0	1502#1502#1202#1602
300207	1	30211#30212#0#0#0	1502#1502#1502#1202#1202#1603
300301	1	30301#30302#30303#0#0	1503#1003#55047
300302	1	30304#30305#30306#0#0	1503#1003#55047
300303	1	30307#0#0#0#0	1503#1503#1503#1103#1163
300304	1	30308#30309#30310#0#0	1503#1503#1503#1103#1163
300305	1	30311#0#0#0#0	1503#1503#1503#1203#1601
300306	1	30312#0#0#0#0	1503#1503#1203#1602
300307	1	30311#30312#0#0#0	1503#1503#1503#1203#1203#1603
300401	1	30401#30402#30403#0#0	1504#1004#55047
300402	1	30404#30405#30406#0#0	1504#1004#55047
300403	1	30407#0#0#0#0	1504#1504#1504#1104#1164#1181
300404	1	30408#30409#30410#0#0	1504#1504#1504#1104#1164#1181
300405	1	30411#0#0#0#0	1504#1504#1504#1204#1601
300406	1	30412#0#0#0#0	1504#1504#1204#1602
300407	1	30411#30412#0#0#0	1504#1504#1504#1204#1204#1603
301101	1	30503#30501#30502#0#0	1505#1005
301102	1	30504#0#0#0#0	1505#1505#1205
301103	1	30505#0#0#0#0	1505#1505#1205
301104	1	30506#0#0#0#0	1505#1505#1205
301105	1	30507#0#0#0#0	1505#1505#1505#1105#1125#1165
301106	1	30503#30502#30501#0#0	1505#1005#1604
301107	1	30508#0#0#0#0	1505#1605
301108	1	30509#0#0#0#0	1505#1505#1606
301109	1	30510#0#0#0#0	1505#1505#1505#1607
301110	1	30511#0#0#0#0	1505#1505#1505#1505#55050#1608
301201	1	30603#30601#30602#0#0	1506#1006
301202	1	30604#0#0#0#0	1506#1506#1206
301203	1	30605#0#0#0#0	1506#1506#1206
301204	1	30606#0#0#0#0	1506#1506#1206
301205	1	30607#0#0#0#0	1506#1506#1506#1106#1126#1166
301206	1	30603#30602#30601#0#0	1506#1006#1604
301207	1	30608#0#0#0#0	1506#1605
301208	1	30609#0#0#0#0	1506#1506#1606
301209	1	30610#0#0#0#0	1506#1506#1506#1607
301210	1	30611#0#0#0#0	1506#1506#1506#1506#55052#1608
301301	1	30703#30701#30702#0#0	1507#1007
301302	1	30704#0#0#0#0	1507#1507#1207
301303	1	30705#0#0#0#0	1507#1507#1207
301304	1	30706#0#0#0#0	1507#1507#1207
301305	1	30707#0#0#0#0	1507#1507#1507#1107#1127#1167
301306	1	30703#30702#30701#0#0	1507#1007#1604
301307	1	30708#0#0#0#0	1507#1605
301308	1	30709#0#0#0#0	1507#1507#1606
301309	1	30710#0#0#0#0	1507#1507#1507#1607
301310	1	30711#0#0#0#0	1507#1507#1507#1507#55054#1608
301401	1	30803#30801#30802#0#0	1508#1008
301402	1	30804#0#0#0#0	1508#1508#1208
301403	1	30805#0#0#0#0	1508#1508#1208
301404	1	30806#0#0#0#0	1508#1508#1208
301405	1	30807#0#0#0#0	1508#1508#1508#1108#1128#1168
301406	1	30803#30802#30801#0#0	1508#1008#1604
301407	1	30808#0#0#0#0	1508#1605
301408	1	30809#0#0#0#0	1508#1508#1606
301409	1	30810#0#0#0#0	1508#1508#1508#1607
301410	1	30811#0#0#0#0	1508#1508#1508#1508#55056#1608
302101	1	30901#0#0#0#0	1509#1509#1209
302102	1	30902#0#0#0#0	1509#1509#1209
302103	1	30903#0#0#0#0	1509#1509
302104	1	30904#0#0#0#0	1509#1509#1509#1109#1129#1169
302105	1	30905#0#0#0#0	1509#1509#1509#1109#55064#1129#1169
302106	1	30906#0#0#0#0	1509#1509#1509
302201	1	31001#0#0#0#0	1510#1510#1210
302202	1	31002#0#0#0#0	1510#1510#1210
302203	1	31003#0#0#0#0	1510#1510
302204	1	31004#0#0#0#0	1510#1510#1510#1110#1130#1170
302205	1	31005#0#0#0#0	1510#1510#1510#1110#55064#1130#1170
302206	1	31006#0#0#0#0	1510#1510#1510
302301	1	31101#0#0#0#0	1511#1511#1211
302302	1	31102#0#0#0#0	1511#1511#1211
302303	1	31103#0#0#0#0	1511#1511
302304	1	31104#0#0#0#0	1511#1511#1511#1111#1131#1171
302305	1	31105#0#0#0#0	1511#1511#1511#1111#55064#1131#1171
302306	1	31106#0#0#0#0	1511#1511#1511
302401	1	31201#0#0#0#0	1512#1512#1212
302402	1	31202#0#0#0#0	1512#1512#1212
302403	1	31203#0#0#0#0	1512#1512
302404	1	31204#0#0#0#0	1512#1512#1512#1112#1132#1172
302405	1	31205#0#0#0#0	1512#1512#1512#1112#55064#1132#1172
302406	1	31206#0#0#0#0	1512#1512#1512
303101	1	31301#0#0#0#0	1513#1513#1213
303102	1	31302#0#0#0#0	1513#1513#1213
303103	1	31303#0#0#0#0	1513#1513#1213
303104	1	31304#0#0#0#0	1513#1513#1213
303105	1	31305#0#0#0#0	1513#1513#1213
303106	1	31306#0#0#0#0	1513#1513#1513#1113#1133#1173
303107	1	31307#0#0#0#0	1513#1513#1513#1113#1133#1173
303108	1	31308#0#0#0#0	1513#1013#55067#1609
303109	1	31309#0#0#0#0	1513#55068#55072#1610
303110	1	31310#0#0#0#0	1513#1513#55069#55072#55072#1611
303111	1	31311#31312#0#0#0	1513#1513#905#55070#1612
303112	1	31313#0#0#0#0	1513#1513#1513#55071#55056#1613
303201	1	31401#0#0#0#0	1514#1514#1214
303202	1	31402#0#0#0#0	1514#1514#1214
303203	1	31403#0#0#0#0	1514#1514#1214
303204	1	31404#0#0#0#0	1514#1514#1214
303205	1	31405#0#0#0#0	1514#1514#1214
303206	1	31406#0#0#0#0	1514#1514#1514#1114#1134#1174
303207	1	31407#0#0#0#0	1514#1514#1514#1114#1134#1174
303208	1	31408#0#0#0#0	1514#1014#55067#1609
303209	1	31409#0#0#0#0	1514#55068#55073#1610
303210	1	31410#0#0#0#0	1514#1514#55069#55073#55073#1611
303211	1	31411#31412#0#0#0	1514#1514#906#55070#1612
303212	1	31413#0#0#0#0	1514#1514#1514#55071#55056#1613
303301	1	31501#0#0#0#0	1515#1515#1215
303302	1	31502#0#0#0#0	1515#1515#1215
303303	1	31503#0#0#0#0	1515#1515#1215
303304	1	31504#0#0#0#0	1515#1515#1215
303305	1	31505#0#0#0#0	1515#1515#1215
303306	1	31506#0#0#0#0	1515#1515#1515#1115#1135#1175
303307	1	31507#0#0#0#0	1515#1515#1515#1115#1135#1175
303308	1	31508#0#0#0#0	1515#1015#55067#1609
303309	1	31509#0#0#0#0	1515#55068#55074#1610
303310	1	31510#0#0#0#0	1515#1515#55069#55074#55074#1611
303311	1	31511#31512#0#0#0	1515#1515#905#55070#1612
303312	1	31513#0#0#0#0	1515#1515#1515#55071#55056#1613
303401	1	31601#0#0#0#0	1516#1516#1216
303402	1	31602#0#0#0#0	1516#1516#1216
303403	1	31603#0#0#0#0	1516#1516#1216
303404	1	31604#0#0#0#0	1516#1516#1216
303405	1	31605#0#0#0#0	1516#1516#1216
303406	1	31606#0#0#0#0	1516#1516#1516#1116#1136#1176
303407	1	31607#0#0#0#0	1516#1516#1516#1116#1136#1176
303408	1	31608#0#0#0#0	1516#1016#55067#1609
303409	1	31609#0#0#0#0	1516#55068#55075#1610
303410	1	31610#0#0#0#0	1516#1516#55069#55075#55075#1611
303411	1	31611#31612#0#0#0	1516#1516#905#55070#1612
303412	1	31613#0#0#0#0	1516#1516#1516#55071#55056#1613
304101	1	31701#0#0#0#0	1517#1517#1217
304102	1	31702#0#0#0#0	1517#1517#1217
304103	1	31703#0#0#0#0	1517#1517#1517#1117#1137#1157#1177
304201	1	31801#0#0#0#0	1518#1518#1218
304202	1	31802#0#0#0#0	1518#1518#1218
304203	1	31803#0#0#0#0	1518#1518#1518#1118#1138#1158#1178
304301	1	31901#0#0#0#0	1519#1519#1219
304302	1	31902#0#0#0#0	1519#1519#1219
304303	1	31903#0#0#0#0	1519#1519#1519#1119#1139#1159#1179
304401	1	32001#0#0#0#0	1520#1520#1220
304402	1	32002#0#0#0#0	1520#1520#1220
304403	1	32003#0#0#0#0	1520#1520#1520#1120#1140#1160#1180
40101	1	40101#40102#40103#0#0	91011
40102	1	40104#40105#40106#0#0	91011
40103	1	40107#40108#40109#0#0	91011
40104	1	40110#40111#40112#0#0	91011
40105	1	40113#40114#40115#0#0	91011
40110	1	40116#0#0#0#0	91003#91017
40111	1	40117#0#0#0#0	91004#91018
40112	1	40118#0#0#0#0	91013
40113	1	40119#0#0#0#0	91014
40114	1	40120#40121#40122#0#0	91005
40115	1	40123#40124#40125#0#0	91006
40116	1	40126#40127#40128#0#0	91012
40117	1	40129#0#0#0#0	91012
40118	1	40130#0#0#0#0	91008
40119	1	40131#40132#40133#0#0	91012
40120	1	40134#0#0#0#0	91009
40121	1	40135#0#0#0#0	91024
40122	1	40135#40136#0#0#0	91024
40123	1	40137#0#0#0#0	91024
40124	1	40138#40139#40140#0#0	91012
40125	1	40141#40142#40143#0#0	91012
40126	1	40144#40145#40146#0#0	91012
40127	1	40147#40148#40149#0#0	91012
40128	1	40150#40151#40152#0#0	91011
40129	1	40153#0#0#0#0	91013
40130	1	40154#0#0#0#0	91013
40131	1	40155#0#0#0#0	91013
40132	1	40156#0#0#0#0	91013
40133	1	40157#0#0#0#0	91003#91017
40134	1	40158#40159#40160#0#0	91007
40201	1	40201#40202#40203#0#0	91211
40202	1	40204#40205#40206#0#0	91211
40203	1	40207#40208#40209#0#0	91211
40204	1	40210#40211#40212#0#0	91211
40205	1	40213#40214#40215#0#0	91211
40210	1	40216#0#0#0#0	91203#91217
40211	1	40217#0#0#0#0	91204#91218
40212	1	40218#0#0#0#0	91213
40213	1	40219#0#0#0#0	91214
40214	1	40220#40221#40222#0#0	91205
40215	1	40223#40224#40225#0#0	91206
40216	1	40226#40227#40228#0#0	91212
40217	1	40229#0#0#0#0	91212
40218	1	40230#0#0#0#0	91208
40219	1	40231#40232#40233#0#0	91212
40220	1	40234#0#0#0#0	91209
40221	1	40235#0#0#0#0	91224
40222	1	40235#40236#0#0#0	91224
40223	1	40237#0#0#0#0	91224
40224	1	40238#40239#40240#0#0	91212
40225	1	40241#40242#40243#0#0	91212
40226	1	40244#40245#40246#0#0	91212
40227	1	40247#40248#40249#0#0	91212
40228	1	40250#40251#40252#0#0	91211
40229	1	40253#0#0#0#0	91213
40230	1	40254#0#0#0#0	91213
40231	1	40255#0#0#0#0	91213
40232	1	40256#0#0#0#0	91213
40233	1	40257#0#0#0#0	91203#91217
40234	1	40258#40259#40260#0#0	91207
40301	1	40301#40302#40303#0#0	91311
40302	1	40304#40305#40306#0#0	91311
40303	1	40307#40308#40309#0#0	91311
40304	1	40310#40311#40312#0#0	91311
40305	1	40313#40314#40315#0#0	91311
40310	1	40316#0#0#0#0	91303#91317
40311	1	40317#0#0#0#0	91304#91318
40312	1	40318#0#0#0#0	91313
40313	1	40319#0#0#0#0	91314
40314	1	40320#40321#40322#0#0	91305
40315	1	40323#40324#40325#0#0	91306
40316	1	40326#40327#40328#0#0	91312
40317	1	40329#0#0#0#0	91312
40318	1	40330#0#0#0#0	91308
40319	1	40331#40332#40333#0#0	91312
40320	1	40334#0#0#0#0	91309
40321	1	40335#0#0#0#0	91324
40322	1	40335#40336#0#0#0	91324
40323	1	40337#0#0#0#0	91324
40324	1	40338#40339#40340#0#0	91312
40325	1	40341#40342#40343#0#0	91312
40326	1	40344#40345#40346#0#0	91312
40327	1	40347#40348#40349#0#0	91312
40328	1	40350#40351#40352#0#0	91311
40329	1	40353#0#0#0#0	91313
40330	1	40354#0#0#0#0	91313
40331	1	40355#0#0#0#0	91313
40332	1	40356#0#0#0#0	91313
40333	1	40357#0#0#0#0	91303#91317
40334	1	40358#40359#40360#0#0	91307
40401	1	40401#40402#40403#0#0	91411
40402	1	40404#40405#40406#0#0	91411
40403	1	40407#40408#40409#0#0	91411
40404	1	40410#40411#40412#0#0	91411
40405	1	40413#40414#40415#0#0	91411
40410	1	40416#0#0#0#0	91403#91417
40411	1	40417#0#0#0#0	91404#91418
40412	1	40418#0#0#0#0	91413
40413	1	40419#0#0#0#0	91414
40414	1	40420#40421#40422#0#0	91405
40415	1	40423#40424#40425#0#0	91406
40416	1	40426#40427#40428#0#0	91412
40417	1	40429#0#0#0#0	91412
40418	1	40430#0#0#0#0	91408
40419	1	40431#40432#40433#0#0	91412
40420	1	40434#0#0#0#0	91409
40421	1	40435#0#0#0#0	91424
40422	1	40435#40436#0#0#0	91424
40423	1	40437#0#0#0#0	91424
40424	1	40438#40439#40440#0#0	91412
40425	1	40441#40442#40443#0#0	91412
40426	1	40444#40445#40446#0#0	91412
40427	1	40447#40448#40449#0#0	91412
40428	1	40450#40451#40452#0#0	91411
40429	1	40453#0#0#0#0	91413
40430	1	40454#0#0#0#0	91413
40431	1	40455#0#0#0#0	91413
40432	1	40456#0#0#0#0	91413
40433	1	40457#0#0#0#0	91403#91417
40434	1	40458#40459#40460#0#0	91407
40501	1	40501#40502#40503#0#0	91511
40502	1	40504#40505#40506#0#0	91511
40503	1	40507#40508#40509#0#0	91511
40504	1	40510#40511#40512#0#0	91511
40505	1	40513#40514#40515#0#0	91511
40510	1	40516#0#0#0#0	91503#91517
40511	1	40517#0#0#0#0	91504#91518
40512	1	40518#0#0#0#0	91513
40513	1	40519#0#0#0#0	91514
40514	1	40520#40521#40522#0#0	91505
40515	1	40523#40524#40525#0#0	91506
40516	1	40526#40527#40528#0#0	91512
40517	1	40529#0#0#0#0	91512
40518	1	40530#0#0#0#0	91508
40519	1	40531#40532#40533#0#0	91512
40520	1	40534#0#0#0#0	91509
40521	1	40535#0#0#0#0	91524
40522	1	40535#40536#0#0#0	91524
40523	1	40537#0#0#0#0	91524
40524	1	40538#40539#40540#0#0	91512
40525	1	40541#40542#40543#0#0	91512
40526	1	40544#40545#40546#0#0	91512
40527	1	40547#40548#40549#0#0	91512
40528	1	40550#40551#40552#0#0	91511
40529	1	40553#0#0#0#0	91513
40530	1	40554#0#0#0#0	91513
40531	1	40555#0#0#0#0	91513
40532	1	40556#0#0#0#0	91513
40533	1	40557#0#0#0#0	91503#91517
40534	1	40658#40659#40660#0#0	91507
40601	1	40601#40602#40603#0#0	91611
40602	1	40604#40605#40606#0#0	91611
40603	1	40607#40608#40609#0#0	91611
40604	1	40610#40611#40612#0#0	91611
40605	1	40613#40614#40615#0#0	91611
40610	1	40616#0#0#0#0	91603#91617
40611	1	40617#0#0#0#0	91604#91618
40612	1	40618#0#0#0#0	91613
40613	1	40619#0#0#0#0	91614
40614	1	40620#40621#40622#0#0	91605
40615	1	40623#40624#40625#0#0	91606
40616	1	40626#40627#40628#0#0	91612
40617	1	40629#0#0#0#0	91612
40618	1	40630#0#0#0#0	91608
40619	1	40631#40632#40633#0#0	91612
40620	1	40634#0#0#0#0	91609
40621	1	40635#0#0#0#0	91624
40622	1	40635#40636#0#0#0	91624
40623	1	40637#0#0#0#0	91624
40624	1	40638#40639#40640#0#0	91612
40625	1	40641#40642#40643#0#0	91612
40626	1	40644#40645#40646#0#0	91612
40627	1	40647#40648#40649#0#0	91612
40628	1	40650#40651#40652#0#0	91611
40629	1	40653#0#0#0#0	91613
40630	1	40654#0#0#0#0	91613
40631	1	40655#0#0#0#0	91613
40632	1	40656#0#0#0#0	91613
40633	1	40657#0#0#0#0	91603#91617
40634	1	40658#40659#40660#0#0	91607
50101	1	50101#50102#50103#0#0	92112
50102	1	50104#50105#50106#0#0	92112
50103	1	50107#50108#50109#0#0	92112
50104	1	50110#50111#50112#0#0	92113
50105	1	50113#50114#50115#0#0	92113
50110	1	50116#0#0#0#0	92103#92118#55081
50111	1	50117#0#0#0#0	92104#92119
50112	1	50118#0#0#0#0	92114
50113	1	50119#0#0#0#0	92115
50114	1	50120#50121#50122#0#0	92106
50115	1	50123#50124#50125#0#0	92107
50116	1	50126#50127#50128#0#0	92113
50117	1	50129#0#0#0#0	92113
50118	1	50130#0#0#0#0	92110
50119	1	50131#50132#50133#0#0	92105
50120	1	50134#50135#50136#0#0	92109
50121	1	50137#50138#50139#0#0	92113
50122	1	50140#50141#50142#0#0	92113
50123	1	50143#0#0#0#0	92103#92118
50124	1	50144#0#0#0#0	92103#92118
50125	1	50145#0#0#0#0	92114
50126	1	50146#0#0#0#0	92114
50127	1	50147#0#0#0#0	92114
50128	1	50148#0#0#0#0	92114
50201	1	50201#50202#50203#0#0	92212
50202	1	50204#50205#50206#0#0	92212
50203	1	50207#50208#50209#0#0	92212
50204	1	50210#50211#50212#0#0	92213
50205	1	50213#50214#50215#0#0	92213
50210	1	50216#0#0#0#0	92203#92218#55081
50211	1	50217#0#0#0#0	92204#92219
50212	1	50218#0#0#0#0	92214
50213	1	50219#0#0#0#0	92215
50214	1	50220#50221#50222#0#0	92206
50215	1	50223#50224#50225#0#0	92207
50216	1	50226#50227#50228#0#0	92213
50217	1	50229#0#0#0#0	92213
50218	1	50230#0#0#0#0	92210
50219	1	50231#50232#50233#0#0	92205
50220	1	50234#50235#50236#0#0	92209
50221	1	50237#50238#50239#0#0	92213
50222	1	50240#50241#50242#0#0	92213
50223	1	50243#0#0#0#0	92203#92218
50224	1	50244#0#0#0#0	92203#92218
50225	1	50245#0#0#0#0	92214
50226	1	50246#0#0#0#0	92214
50227	1	50247#0#0#0#0	92214
50228	1	50248#0#0#0#0	92214
50301	1	50301#50302#50303#0#0	92312
50302	1	50304#50305#50306#0#0	92312
50303	1	50307#50308#50309#0#0	92312
50304	1	50310#50311#50312#0#0	92313
50305	1	50313#50314#50315#0#0	92313
50310	1	50316#0#0#0#0	92303#92318#55081
50311	1	50317#0#0#0#0	92304#92319
50312	1	50318#0#0#0#0	92314
50313	1	50319#0#0#0#0	92315
50314	1	50320#50321#50322#0#0	92306
50315	1	50323#50324#50325#0#0	92307
50316	1	50326#50327#50328#0#0	92313
