Id	Monster	BattleTime	FirstAwards	Awards	NextLevel
54	1000054	20	4#41	14#16000|3#6300	55
55	1000055	20	4#42	14#16000|3#6500	56
56	1000056	20	4#42	14#16000|3#6500	57
57	1000057	20	4#43	14#17000|3#6700	58
58	1000058	20	4#43	14#17000|3#6700	59
59	1000059	20	4#44	14#17000|3#6900	60
60	1000060	20	4#44	14#17000|3#6900	61
61	1000061	20	4#45	14#18000|3#7100	62
62	1000062	20	4#45	14#18000|3#7100	63
63	1000063	20	4#46	14#18000|3#7300	64
64	1000064	20	4#46	14#18000|3#7300	65
65	1000065	20	4#47	14#19000|3#7500	66
66	1000066	20	4#47	14#19000|3#7500	67
67	1000067	20	4#48	14#19000|3#7700	68
68	1000068	20	4#48	14#19000|3#7700	69
69	1000069	20	4#49	14#20000|3#7900	70
70	1000070	20	4#49	14#20000|3#7900	71
71	1000071	20	4#50	14#20000|3#8100	72
72	1000072	20	4#50	14#20000|3#8100	73
73	1000073	20	4#51	14#21000|3#8300	74
74	1000074	20	4#51	14#21000|3#8300	75
75	1000075	20	4#52	14#21000|3#8500	76
76	1000076	20	4#52	14#21000|3#8500	77
77	1000077	20	4#53	14#22000|3#8700	78
78	1000078	20	4#53	14#22000|3#8700	79
79	1000079	20	4#54	14#22000|3#8900	80
80	1000080	20	4#54	14#22000|3#8900	81
81	1000081	20	4#55	14#23000|3#9100	82
82	1000082	20	4#55	14#23000|3#9100	83
83	1000083	20	4#56	14#23000|3#9300	84
84	1000084	20	4#56	14#23000|3#9300	85
85	1000085	20	4#57	14#24000|3#9500	86
86	1000086	20	4#57	14#24000|3#9500	87
87	1000087	20	4#58	14#24000|3#9700	88
88	1000088	20	4#58	14#24000|3#9700	89
89	1000089	20	4#59	14#25000|3#9900	90
90	1000090	20	4#59	14#25000|3#9900	91
91	1000091	20	4#60	14#25000|3#10000	92
92	1000092	20	4#60	14#25000|3#10000	93
93	1000093	20	4#61	14#26000|3#10000	94
94	1000094	20	4#61	14#26000|3#10000	95
95	1000095	20	4#62	14#26000|3#11000	96
96	1000096	20	4#62	14#26000|3#11000	97
97	1000097	20	4#63	14#27000|3#11000	98
98	1000098	20	4#63	14#27000|3#11000	99
99	1000099	20	4#64	14#27000|3#11000	100
100	1000100	20	4#64	14#27000|3#11000	101
101	1000101	20	4#65	14#28000|3#11000	102
102	1000102	20	4#65	14#28000|3#11000	103
103	1000103	20	4#66	14#28000|3#11000	104
104	1000104	20	4#66	14#28000|3#11000	105
105	1000105	20	4#67	14#29000|3#12000	106
106	1000106	20	4#67	14#29000|3#12000	107
107	1000107	20	4#68	14#29000|3#12000	108
108	1000108	20	4#68	14#29000|3#12000	109
109	1000109	20	4#69	14#30000|3#12000	110
110	1000110	20	4#69	14#30000|3#12000	111
111	1000111	20	4#70	14#30000|3#12000	112
112	1000112	20	4#70	14#30000|3#12000	113
113	1000113	20	4#71	14#31000|3#12000	114
114	1000114	20	4#71	14#31000|3#12000	115
115	1000115	20	4#72	14#31000|3#13000	116
116	1000116	20	4#72	14#31000|3#13000	117
117	1000117	20	4#73	14#32000|3#13000	118
118	1000118	20	4#73	14#32000|3#13000	119
119	1000119	20	4#74	14#32000|3#13000	120
120	1000120	20	4#74	14#32000|3#13000	121
121	1000121	20	4#75	14#33000|3#13000	122
122	1000122	20	4#75	14#33000|3#13000	123
123	1000123	20	4#76	14#33000|3#13000	124
124	1000124	20	4#76	14#33000|3#13000	125
125	1000125	20	4#77	14#34000|3#14000	126
126	1000126	20	4#77	14#34000|3#14000	127
127	1000127	20	4#78	14#34000|3#14000	128
128	1000128	20	4#78	14#34000|3#14000	129
129	1000129	20	4#79	14#35000|3#14000	130
130	1000130	20	4#79	14#35000|3#14000	131
131	1000131	20	4#80	14#35000|3#14000	132
132	1000132	20	4#80	14#35000|3#14000	133
133	1000133	20	4#81	14#36000|3#14000	134
134	1000134	20	4#81	14#36000|3#14000	135
135	1000135	20	4#82	14#36000|3#15000	136
136	1000136	20	4#82	14#36000|3#15000	137
137	1000137	20	4#83	14#37000|3#15000	138
138	1000138	20	4#83	14#37000|3#15000	139
139	1000139	20	4#84	14#37000|3#15000	140
140	1000140	20	4#84	14#37000|3#15000	141
141	1000141	20	4#85	14#38000|3#15000	142
142	1000142	20	4#85	14#38000|3#15000	143
143	1000143	20	4#86	14#38000|3#15000	144
144	1000144	20	4#86	14#38000|3#15000	145
145	1000145	20	4#87	14#39000|3#16000	146
146	1000146	20	4#87	14#39000|3#16000	147
147	1000147	20	4#88	14#39000|3#16000	148
148	1000148	20	4#88	14#39000|3#16000	149
149	1000149	20	4#89	14#40000|3#16000	150
150	1000150	20	4#89	14#40000|3#16000	151
151	1000151	20	4#90	14#40000|3#16000	152
152	1000152	20	4#90	14#40000|3#16000	153
153	1000153	20	4#91	14#41000|3#16000	154
154	1000154	20	4#91	14#41000|3#16000	155
155	1000155	20	4#92	14#41000|3#17000	156
156	1000156	20	4#92	14#41000|3#17000	157
157	1000157	20	4#93	14#42000|3#17000	158
158	1000158	20	4#93	14#42000|3#17000	159
159	1000159	20	4#94	14#42000|3#17000	160
160	1000160	20	4#94	14#42000|3#17000	161
161	1000161	20	4#95	14#43000|3#17000	162
162	1000162	20	4#95	14#43000|3#17000	163
163	1000163	20	4#96	14#43000|3#17000	164
164	1000164	20	4#96	14#43000|3#17000	165
165	1000165	20	4#97	14#44000|3#18000	166
166	1000166	20	4#97	14#44000|3#18000	167
167	1000167	20	4#98	14#44000|3#18000	168
168	1000168	20	4#98	14#44000|3#18000	169
169	1000169	20	4#99	14#45000|3#18000	170
170	1000170	20	4#99	14#45000|3#18000	171
171	1000171	20	4#100	14#45000|3#18000	172
172	1000172	20	4#100	14#45000|3#18000	173
173	1000173	20	4#101	14#46000|3#18000	174
174	1000174	20	4#101	14#46000|3#18000	175
175	1000175	20	4#102	14#46000|3#19000	176
176	1000176	20	4#102	14#46000|3#19000	177
177	1000177	20	4#103	14#47000|3#19000	178
178	1000178	20	4#103	14#47000|3#19000	179
179	1000179	20	4#104	14#47000|3#19000	180
180	1000180	20	4#104	14#47000|3#19000	181
181	1000181	20	4#105	14#48000|3#19000	182
182	1000182	20	4#105	14#48000|3#19000	183
183	1000183	20	4#106	14#48000|3#19000	184
184	1000184	20	4#106	14#48000|3#19000	185
185	1000185	20	4#107	14#49000|3#20000	186
186	1000186	20	4#107	14#49000|3#20000	187
187	1000187	20	4#108	14#49000|3#20000	188
188	1000188	20	4#108	14#49000|3#20000	189
189	1000189	20	4#109	14#50000|3#20000	190
190	1000190	20	4#109	14#50000|3#20000	191
191	1000191	20	4#110	14#51000|3#20000	192
192	1000192	20	4#110	14#51000|3#20000	193
193	1000193	20	4#111	14#51000|3#20000	194
194	1000194	20	4#111	14#51000|3#20000	195
195	1000195	20	4#112	14#52000|3#21000	196
196	1000196	20	4#112	14#52000|3#21000	197
197	1000197	20	4#113	14#52000|3#21000	198
198	1000198	20	4#113	14#52000|3#21000	199
199	1000199	20	4#114	14#53000|3#21000	200
200	1000200	20	4#114	14#53000|3#21000	201
201	1000201	20	4#115	14#53000|3#21000	202
202	1000202	20	4#115	14#53000|3#21000	203
203	1000203	20	4#116	14#54000|3#21000	204
204	1000204	20	4#116	14#54000|3#21000	205
205	1000205	20	4#117	14#54000|3#22000	206
206	1000206	20	4#117	14#54000|3#22000	207
207	1000207	20	4#118	14#55000|3#22000	208
208	1000208	20	4#118	14#55000|3#22000	209
209	1000209	20	4#119	14#55000|3#22000	210
210	1000210	20	4#119	14#55000|3#22000	211
211	1000211	20	4#120	14#56000|3#22000	212
212	1000212	20	4#120	14#56000|3#22000	213
213	1000213	20	4#120	14#56000|3#22000	214
214	1000214	20	4#121	14#56000|3#22000	215
215	1000215	20	4#121	14#57000|3#23000	216
216	1000216	20	4#121	14#57000|3#23000	217
217	1000217	20	4#122	14#57000|3#23000	218
218	1000218	20	4#122	14#57000|3#23000	219
219	1000219	20	4#122	14#58000|3#23000	220
220	1000220	20	4#123	14#58000|3#23000	221
221	1000221	20	4#123	14#58000|3#23000	222
222	1000222	20	4#123	14#58000|3#23000	223
223	1000223	20	4#124	14#59000|3#23000	224
224	1000224	20	4#124	14#59000|3#23000	225
225	1000225	20	4#124	14#59000|3#24000	226
226	1000226	20	4#125	14#59000|3#24000	227
227	1000227	20	4#125	14#60000|3#24000	228
228	1000228	20	4#125	14#60000|3#24000	229
229	1000229	20	4#126	14#60000|3#24000	230
230	1000230	20	4#126	14#60000|3#24000	231
231	1000231	20	4#126	14#61000|3#24000	232
232	1000232	20	4#127	14#61000|3#24000	233
233	1000233	20	4#127	14#61000|3#24000	234
234	1000234	20	4#127	14#61000|3#24000	235
235	1000235	20	4#128	14#62000|3#25000	236
236	1000236	20	4#128	14#62000|3#25000	237
237	1000237	20	4#128	14#62000|3#25000	238
238	1000238	20	4#129	14#62000|3#25000	239
239	1000239	20	4#129	14#63000|3#25000	240
240	1000240	20	4#129	14#63000|3#25000	241
241	1000241	20	4#130	14#63000|3#25000	242
242	1000242	20	4#130	14#63000|3#25000	243
243	1000243	20	4#130	14#64000|3#25000	244
244	1000244	20	4#131	14#64000|3#25000	245
245	1000245	20	4#131	14#64000|3#26000	246
246	1000246	20	4#131	14#64000|3#26000	247
247	1000247	20	4#132	14#65000|3#26000	248
248	1000248	20	4#132	14#65000|3#26000	249
249	1000249	20	4#132	14#65000|3#26000	250
250	1000250	20	4#133	14#65000|3#26000	251
251	1000251	20	4#133	14#66000|3#26000	252
252	1000252	20	4#133	14#66000|3#26000	253
253	1000253	20	4#134	14#66000|3#26000	254
254	1000254	20	4#134	14#66000|3#26000	255
255	1000255	20	4#134	14#67000|3#27000	256
256	1000256	20	4#135	14#67000|3#27000	257
257	1000257	20	4#135	14#67000|3#27000	258
258	1000258	20	4#135	14#67000|3#27000	259
259	1000259	20	4#136	14#68000|3#27000	260
260	1000260	20	4#136	14#68000|3#27000	261
261	1000261	20	4#136	14#68000|3#27000	262
262	1000262	20	4#137	14#68000|3#27000	263
263	1000263	20	4#137	14#69000|3#27000	264
264	1000264	20	4#137	14#69000|3#27000	265
265	1000265	20	4#138	14#69000|3#28000	266
266	1000266	20	4#138	14#69000|3#28000	267
267	1000267	20	4#138	14#70000|3#28000	268
268	1000268	20	4#139	14#70000|3#28000	269
269	1000269	20	4#139	14#70000|3#28000	270
270	1000270	20	4#139	14#70000|3#28000	271
271	1000271	20	4#140	14#71000|3#28000	272
272	1000272	20	4#140	14#71000|3#28000	273
273	1000273	20	4#140	14#71000|3#28000	274
274	1000274	20	4#141	14#71000|3#28000	275
275	1000275	20	4#141	14#72000|3#29000	276
276	1000276	20	4#141	14#72000|3#29000	277
277	1000277	20	4#142	14#72000|3#29000	278
278	1000278	20	4#142	14#72000|3#29000	279
279	1000279	20	4#142	14#73000|3#29000	280
280	1000280	20	4#143	14#73000|3#29000	281
281	1000281	20	4#143	14#73000|3#29000	282
282	1000282	20	4#143	14#73000|3#29000	283
283	1000283	20	4#144	14#74000|3#29000	284
284	1000284	20	4#144	14#74000|3#29000	285
285	1000285	20	4#144	14#74000|3#30000	286
286	1000286	20	4#145	14#74000|3#30000	287
287	1000287	20	4#145	14#75000|3#30000	288
288	1000288	20	4#145	14#75000|3#30000	289
289	1000289	20	4#146	14#75000|3#30000	290
290	1000290	20	4#146	14#75000|3#30000	291
291	1000291	20	4#146	14#76000|3#30000	292
292	1000292	20	4#147	14#76000|3#30000	293
293	1000293	20	4#147	14#76000|3#31000	294
294	1000294	20	4#147	14#76000|3#31000	295
295	1000295	20	4#148	14#77000|3#31000	296
296	1000296	20	4#148	14#77000|3#31000	297
297	1000297	20	4#148	14#77000|3#31000	298
298	1000298	20	4#149	14#77000|3#31000	299
299	1000299	20	4#149	14#78000|3#31000	300
300	1000300	20	4#149	14#78000|3#31000	301
301	1000301	20	4#150	14#78000|3#31000	302
302	1000302	20	4#150	14#78000|3#31000	303
303	1000303	20	4#150	14#79000|3#32000	304
304	1000304	20	4#151	14#79000|3#32000	305
305	1000305	20	4#151	14#79000|3#32000	306
306	1000306	20	4#151	14#79000|3#32000	307
307	1000307	20	4#152	14#80000|3#32000	308
308	1000308	20	4#152	14#80000|3#32000	309
309	1000309	20	4#152	14#80000|3#32000	310
310	1000310	20	4#153	14#80000|3#32000	311
311	1000311	20	4#153	14#81000|3#32000	312
312	1000312	20	4#153	14#81000|3#32000	313
313	1000313	20	4#154	14#81000|3#33000	314
314	1000314	20	4#154	14#81000|3#33000	315
315	1000315	20	4#154	14#82000|3#33000	316
316	1000316	20	4#155	14#82000|3#33000	317
317	1000317	20	4#155	14#82000|3#33000	318
318	1000318	20	4#155	14#82000|3#33000	319
319	1000319	20	4#156	14#83000|3#33000	320
320	1000320	20	4#156	14#83000|3#33000	321
321	1000321	20	4#156	14#83000|3#33000	322
322	1000322	20	4#157	14#83000|3#33000	323
323	1000323	20	4#157	14#84000|3#34000	324
324	1000324	20	4#157	14#84000|3#34000	325
325	1000325	20	4#158	14#84000|3#34000	326
326	1000326	20	4#158	14#84000|3#34000	327
327	1000327	20	4#158	14#85000|3#34000	328
328	1000328	20	4#159	14#85000|3#34000	329
329	1000329	20	4#159	14#85000|3#34000	330
330	1000330	20	4#159	14#85000|3#34000	331
331	1000331	20	4#160	14#86000|3#34000	332
332	1000332	20	4#160	14#86000|3#34000	333
333	1000333	20	4#160	14#86000|3#35000	334
334	1000334	20	4#161	14#86000|3#35000	335
335	1000335	20	4#161	14#87000|3#35000	336
336	1000336	20	4#161	14#87000|3#35000	337
337	1000337	20	4#162	14#87000|3#35000	338
338	1000338	20	4#162	14#87000|3#35000	339
339	1000339	20	4#162	14#88000|3#35000	340
340	1000340	20	4#163	14#88000|3#35000	341
341	1000341	20	4#163	14#88000|3#35000	342
342	1000342	20	4#163	14#88000|3#35000	343
343	1000343	20	4#164	14#89000|3#36000	344
344	1000344	20	4#164	14#89000|3#36000	345
345	1000345	20	4#164	14#89000|3#36000	346
346	1000346	20	4#165	14#89000|3#36000	347
347	1000347	20	4#165	14#90000|3#36000	348
348	1000348	20	4#165	14#90000|3#36000	349
349	1000349	20	4#166	14#90000|3#36000	350
350	1000350	20	4#166	14#90000|3#36000	351
351	1000351	20	4#166	14#91000|3#36000	352
352	1000352	20	4#167	14#91000|3#36000	353
353	1000353	20	4#167	14#91000|3#37000	354
354	1000354	20	4#167	14#91000|3#37000	355
355	1000355	20	4#168	14#92000|3#37000	356
356	1000356	20	4#168	14#92000|3#37000	357
357	1000357	20	4#168	14#92000|3#37000	358
358	1000358	20	4#169	14#92000|3#37000	359
359	1000359	20	4#169	14#93000|3#37000	360
360	1000360	20	4#169	14#93000|3#37000	361
361	1000361	20	4#170	14#93000|3#37000	362
362	1000362	20	4#170	14#93000|3#37000	363
363	1000363	20	4#170	14#94000|3#38000	364
364	1000364	20	4#171	14#94000|3#38000	365
365	1000365	20	4#171	14#94000|3#38000	366
366	1000366	20	4#171	14#94000|3#38000	367
367	1000367	20	4#172	14#95000|3#38000	368
368	1000368	20	4#172	14#95000|3#38000	369
369	1000369	20	4#172	14#95000|3#38000	370
370	1000370	20	4#173	14#95000|3#38000	371
371	1000371	20	4#173	14#96000|3#38000	372
372	1000372	20	4#173	14#96000|3#38000	373
373	1000373	20	4#174	14#96000|3#39000	374
374	1000374	20	4#174	14#96000|3#39000	375
375	1000375	20	4#174	14#97000|3#39000	376
376	1000376	20	4#175	14#97000|3#39000	377
377	1000377	20	4#175	14#97000|3#39000	378
378	1000378	20	4#175	14#97000|3#39000	379
379	1000379	20	4#176	14#98000|3#39000	380
380	1000380	20	4#176	14#98000|3#39000	381
381	1000381	20	4#176	14#98000|3#39000	382
382	1000382	20	4#177	14#98000|3#39000	383
383	1000383	20	4#177	14#99000|3#40000	384
384	1000384	20	4#177	14#99000|3#40000	385
385	1000385	20	4#178	14#99000|3#40000	386
386	1000386	20	4#178	14#99000|3#40000	387
387	1000387	20	4#178	14#100000|3#40000	388
388	1000388	20	4#179	14#100000|3#40000	389
389	1000389	20	4#179	14#100000|3#40000	390
390	1000390	20	4#179	14#100000|3#40000	391
391	1000391	20	4#180	14#101000|3#40000	392
392	1000392	20	4#180	14#101000|3#40000	393
393	1000393	20	4#180	14#102000|3#41000	394
394	1000394	20	4#181	14#102000|3#41000	395
395	1000395	20	4#181	14#102000|3#41000	396
396	1000396	20	4#181	14#102000|3#41000	397
397	1000397	20	4#182	14#103000|3#41000	398
398	1000398	20	4#182	14#103000|3#41000	399
399	1000399	20	4#182	14#103000|3#41000	400
400	1000400	20	4#183	14#103000|3#41000	401
401	1000401	20	4#183	14#104000|3#41000	402
402	1000402	20	4#183	14#104000|3#41000	403
403	1000403	20	4#184	14#104000|3#42000	404
404	1000404	20	4#184	14#104000|3#42000	405
405	1000405	20	4#184	14#105000|3#42000	406
406	1000406	20	4#185	14#105000|3#42000	407
407	1000407	20	4#185	14#105000|3#42000	408
408	1000408	20	4#185	14#105000|3#42000	409
409	1000409	20	4#186	14#106000|3#42000	410
410	1000410	20	4#186	14#106000|3#42000	411
411	1000411	20	4#186	14#106000|3#42000	412
412	1000412	20	4#187	14#106000|3#42000	413
413	1000413	20	4#187	14#107000|3#43000	414
414	1000414	20	4#187	14#107000|3#43000	415
415	1000415	20	4#188	14#107000|3#43000	416
416	1000416	20	4#188	14#107000|3#43000	417
417	1000417	20	4#188	14#108000|3#43000	418
418	1000418	20	4#189	14#108000|3#43000	419
419	1000419	20	4#189	14#108000|3#43000	420
420	1000420	20	4#190	14#108000|3#43000	421
421	1000421	20	4#191	14#109000|3#43000	422
422	1000422	20	4#192	14#109000|3#43000	423
423	1000423	20	4#193	14#109000|3#44000	424
424	1000424	20	4#194	14#109000|3#44000	425
425	1000425	20	4#195	14#110000|3#44000	426
426	1000426	20	4#196	14#110000|3#44000	427
427	1000427	20	4#197	14#110000|3#44000	428
428	1000428	20	4#198	14#110000|3#44000	429
429	1000429	20	4#199	14#111000|3#44000	430
430	1000430	20	4#200	14#111000|3#44000	431
431	1000431	20	4#202	14#111000|3#44000	432
432	1000432	20	4#204	14#111000|3#44000	433
433	1000433	20	4#205	14#112000|3#45000	434
434	1000434	20	4#206	14#112000|3#45000	435
435	1000435	20	4#207	14#112000|3#45000	436
436	1000436	20	4#208	14#112000|3#45000	437
437	1000437	20	4#209	14#113000|3#45000	438
438	1000438	20	4#210	14#113000|3#45000	439
439	1000439	20	4#211	14#113000|3#45000	440
440	1000440	20	4#212	14#113000|3#45000	441
441	1000441	20	4#213	14#114000|3#45000	442
442	1000442	20	4#214	14#114000|3#45000	443
443	1000443	20	4#215	14#114000|3#46000	444
444	1000444	20	4#216	14#114000|3#46000	445
445	1000445	20	4#217	14#115000|3#46000	446
446	1000446	20	4#218	14#115000|3#46000	447
447	1000447	20	4#219	14#115000|3#46000	448
448	1000448	20	4#220	14#115000|3#46000	449
449	1000449	20	4#221	14#116000|3#46000	450
450	1000450	20	4#222	14#116000|3#46000	451
451	1000451	20	4#223	14#116000|3#46000	452
452	1000452	20	4#224	14#116000|3#46000	453
453	1000453	20	4#225	14#117000|3#47000	454
454	1000454	20	4#226	14#117000|3#47000	455
455	1000455	20	4#227	14#117000|3#47000	456
456	1000456	20	4#228	14#117000|3#47000	457
457	1000457	20	4#229	14#118000|3#47000	458
458	1000458	20	4#230	14#118000|3#47000	459
459	1000459	20	4#231	14#118000|3#47000	460
460	1000460	20	4#232	14#118000|3#47000	461
461	1000461	20	4#233	14#119000|3#47000	462
462	1000462	20	4#234	14#119000|3#47000	463
463	1000463	20	4#235	14#119000|3#48000	464
464	1000464	20	4#236	14#119000|3#48000	465
465	1000465	20	4#237	14#120000|3#48000	466
466	1000466	20	4#237	14#120000|3#48000	467
467	1000467	20	4#238	14#120000|3#48000	468
468	1000468	20	4#238	14#120000|3#48000	469
469	1000469	20	4#239	14#121000|3#48000	470
470	1000470	20	4#239	14#121000|3#48000	471
471	1000471	20	4#240	14#121000|3#48000	472
472	1000472	20	4#240	14#121000|3#48000	473
473	1000473	20	4#241	14#122000|3#49000	474
474	1000474	20	4#241	14#122000|3#49000	475
475	1000475	20	4#242	14#122000|3#49000	476
476	1000476	20	4#242	14#122000|3#49000	477
477	1000477	20	4#243	14#123000|3#49000	478
478	1000478	20	4#243	14#123000|3#49000	479
479	1000479	20	4#244	14#123000|3#49000	480
480	1000480	20	4#244	14#123000|3#49000	481
481	1000481	20	4#245	14#124000|3#49000	482
482	1000482	20	4#245	14#124000|3#49000	483
483	1000483	20	4#246	14#124000|3#50000	484
484	1000484	20	4#246	14#124000|3#50000	485
485	1000485	20	4#247	14#125000|3#50000	486
486	1000486	20	4#247	14#125000|3#50000	487
487	1000487	20	4#248	14#125000|3#50000	488
488	1000488	20	4#248	14#125000|3#50000	489
489	1000489	20	4#249	14#126000|3#50000	490
490	1000490	20	4#249	14#126000|3#50000	491
491	1000491	20	4#250	14#126000|3#51000	492
492	1000492	20	4#250	14#126000|3#51000	493
493	1000493	20	4#251	14#127000|3#51000	494
494	1000494	20	4#251	14#127000|3#51000	495
495	1000495	20	4#252	14#127000|3#51000	496
496	1000496	20	4#252	14#127000|3#51000	497
497	1000497	20	4#253	14#128000|3#51000	498
498	1000498	20	4#253	14#128000|3#51000	499
499	1000499	20	4#254	14#128000|3#51000	500
500	1000500	20	4#254	14#128000|3#51000	501
501	1000501	20	4#255	14#129000|3#52000	502
502	1000502	20	4#255	14#129000|3#52000	503
503	1000503	20	4#256	14#129000|3#52000	504
504	1000504	20	4#256	14#129000|3#52000	505
505	1000505	20	4#257	14#130000|3#52000	506
506	1000506	20	4#257	14#130000|3#52000	507
507	1000507	20	4#258	14#130000|3#52000	508
508	1000508	20	4#258	14#130000|3#52000	509
509	1000509	20	4#259	14#131000|3#52000	510
510	1000510	20	4#259	14#131000|3#52000	511
511	1000511	20	4#260	14#131000|3#53000	512
512	1000512	20	4#260	14#131000|3#53000	513
513	1000513	20	4#261	14#132000|3#53000	514
514	1000514	20	4#261	14#132000|3#53000	515
515	1000515	20	4#262	14#132000|3#53000	516
516	1000516	20	4#262	14#132000|3#53000	517
517	1000517	20	4#263	14#133000|3#53000	518
518	1000518	20	4#263	14#133000|3#53000	519
519	1000519	20	4#264	14#133000|3#53000	520
520	1000520	20	4#264	14#133000|3#53000	521
521	1000521	20	4#265	14#134000|3#54000	522
522	1000522	20	4#265	14#134000|3#54000	523
523	1000523	20	4#266	14#134000|3#54000	524
524	1000524	20	4#266	14#134000|3#54000	525
525	1000525	20	4#267	14#135000|3#54000	526
526	1000526	20	4#267	14#135000|3#54000	527
527	1000527	20	4#268	14#135000|3#54000	528
528	1000528	20	4#268	14#135000|3#54000	529
529	1000529	20	4#269	14#136000|3#54000	530
530	1000530	20	4#269	14#136000|3#54000	531
531	1000531	20	4#270	14#136000|3#55000	532
532	1000532	20	4#270	14#136000|3#55000	533
533	1000533	20	4#271	14#137000|3#55000	534
534	1000534	20	4#271	14#137000|3#55000	535
535	1000535	20	4#272	14#137000|3#55000	536
536	1000536	20	4#272	14#137000|3#55000	537
537	1000537	20	4#273	14#138000|3#55000	538
538	1000538	20	4#273	14#138000|3#55000	539
539	1000539	20	4#274	14#138000|3#55000	540
540	1000540	20	4#274	14#138000|3#55000	541
541	1000541	20	4#275	14#139000|3#56000	542
542	1000542	20	4#275	14#139000|3#56000	543
543	1000543	20	4#276	14#139000|3#56000	544
544	1000544	20	4#276	14#139000|3#56000	545
545	1000545	20	4#277	14#140000|3#56000	546
546	1000546	20	4#277	14#140000|3#56000	547
547	1000547	20	4#278	14#140000|3#56000	548
548	1000548	20	4#278	14#140000|3#56000	549
549	1000549	20	4#279	14#141000|3#56000	550
550	1000550	20	4#279	14#141000|3#56000	551
551	1000551	20	4#280	14#141000|3#57000	552
552	1000552	20	4#280	14#141000|3#57000	553
553	1000553	20	4#281	14#142000|3#57000	554
554	1000554	20	4#281	14#142000|3#57000	555
555	1000555	20	4#282	14#142000|3#57000	556
556	1000556	20	4#282	14#142000|3#57000	557
557	1000557	20	4#283	14#143000|3#57000	558
558	1000558	20	4#283	14#143000|3#57000	559
559	1000559	20	4#284	14#143000|3#57000	560
560	1000560	20	4#284	14#143000|3#57000	561
561	1000561	20	4#285	14#144000|3#58000	562
562	1000562	20	4#285	14#144000|3#58000	563
563	1000563	20	4#286	14#144000|3#58000	564
564	1000564	20	4#286	14#144000|3#58000	565
565	1000565	20	4#287	14#145000|3#58000	566
566	1000566	20	4#287	14#145000|3#58000	567
567	1000567	20	4#288	14#145000|3#58000	568
568	1000568	20	4#288	14#145000|3#58000	569
569	1000569	20	4#289	14#146000|3#58000	570
570	1000570	20	4#289	14#146000|3#58000	571
571	1000571	20	4#290	14#146000|3#59000	572
572	1000572	20	4#290	14#146000|3#59000	573
573	1000573	20	4#291	14#147000|3#59000	574
574	1000574	20	4#291	14#147000|3#59000	575
575	1000575	20	4#292	14#147000|3#59000	576
576	1000576	20	4#292	14#147000|3#59000	577
577	1000577	20	4#293	14#148000|3#59000	578
578	1000578	20	4#293	14#148000|3#59000	579
579	1000579	20	4#294	14#148000|3#59000	580
