Id	Type	Values	Reward
3036	3	925	4#100|14#50000
3037	3	950	4#100|14#50000
3038	3	975	4#100|14#50000
3039	3	1000	4#200|14#50000
3040	3	1025	4#200|14#50000
3041	3	1050	4#200|14#50000
3042	3	1075	4#200|14#50000
3043	3	1100	4#200|14#50000
3044	3	1125	4#200|14#50000
3045	3	1150	4#200|14#50000
3046	3	1175	4#200|14#50000
3047	3	1200	4#200|14#50000
3048	3	1250	4#200|14#50000
3049	3	1300	4#200|14#50000
4001	4	100000	19#1|60#1
4002	4	200000	19#1|60#1
4003	4	300000	19#1|60#1
4004	4	400000	19#1|60#1
4005	4	500000	19#1|60#1
4006	4	600000	19#1|60#1
4007	4	700000	19#1|60#1
4008	4	800000	19#1|60#1
4009	4	900000	19#1|60#1
4010	4	1000000	61#1|60#1
4011	4	1100000	19#1|60#1
4012	4	1200000	19#1|60#1
4013	4	1300000	19#1|60#1
4014	4	1400000	19#1|60#1
4015	4	1500000	19#1|60#1
4016	4	1600000	19#1|60#1
4017	4	1700000	19#1|60#1
4018	4	1800000	19#1|60#1
4019	4	1900000	19#1|60#1
4020	4	2000000	61#1|60#1
4021	4	2200000	19#1|60#1
4022	4	2400000	19#1|60#1
4023	4	2600000	19#1|60#1
4024	4	2800000	19#1|60#1
4025	4	3000000	61#1|60#1
4026	4	3200000	19#1|60#1
4027	4	3400000	19#1|60#1
4028	4	3600000	19#1|60#1
4029	4	3800000	19#1|60#1
4030	4	4000000	61#1|60#1
4031	4	4200000	19#1|60#1
4032	4	4400000	19#1|60#1
4033	4	4600000	19#1|60#1
4034	4	4800000	19#1|60#1
4035	4	5000000	61#1|60#1
4036	4	5200000	19#1|60#1
4037	4	5400000	19#1|60#1
4038	4	5600000	19#1|60#1
4039	4	5800000	19#1|60#1
4040	4	6000000	61#1|60#1
4041	4	6200000	19#1|60#1
4042	4	6400000	19#1|60#1
4043	4	6600000	19#1|60#1
4044	4	6800000	19#1|60#1
4045	4	7000000	61#1|60#1
4046	4	7200000	19#1|60#1
4047	4	7400000	19#1|60#1
4048	4	7600000	19#1|60#1
4049	4	7800000	19#1|60#1
4050	4	8000000	61#1|60#1
4051	4	8200000	19#1|60#1
4052	4	8400000	19#1|60#1
4053	4	8600000	19#1|60#1
4054	4	8800000	19#1|60#1
4055	4	9000000	61#1|60#1
4056	4	9200000	19#1|60#1
4057	4	9400000	19#1|60#1
4058	4	9600000	19#1|60#1
4059	4	9800000	19#1|60#1
4060	4	10000000	61#1|60#1
