Id	Chapter	Section	BigStageNumber	Repeat	NextLevel	LevelLimit	Star	MonsterGroup	HardStageBuff	RecommendFightAbility	PassReward	StageType	ConditionValue	Reward1
414	5	14	0	0	413	30	0	30051101	10009	970000	305089	3	null	null
415	5	15	48	1	413	30	0	30051201	0	1000000	305090	1	204#542#604	306090#307090#308090
416	5	16	0	0	415	30	0	0	0	0	305091	2	null	null
417	5	17	49	1	415	30	0	30051301	0	1060000	305092	1	703#804#606	306092#307092#308092
418	5	18	0	0	417	30	0	30051401	10010	1060000	305093	3	null	null
419	5	19	50	1	417	30	0	30051501	0	1200000	305094	1	604#903#304	306094#307094#308094
501	6	1	51	1	419	34	0	30060001	0	1200000	305095	1	100#203#304	306095#307095#308095
502	6	2	0	0	501	34	0	30060101	10011	1200000	305096	3	null	null
503	6	3	52	1	501	34	0	30060201	0	1200000	305097	1	204#45000150#605	306097#307097#308097
504	6	4	0	0	503	34	0	0	0	0	305098	2	null	null
505	6	5	53	1	503	34	0	30060301	0	1350000	305099	1	100#302#207	306099#307099#308099
506	6	6	0	0	505	34	0	30060401	10011	1350000	305100	3	null	null
507	6	7	54	1	505	34	0	30060501	0	1300000	305101	1	523#304#45000200	306101#307101#308101
508	6	8	0	0	507	34	0	30060601	10011	1300000	305102	3	null	null
509	6	9	55	1	507	34	0	30060701	0	1400000	305103	1	704#304#604	306103#307103#308103
510	6	10	0	0	509	34	0	0	0	0	305104	2	null	null
511	6	11	56	1	509	34	0	30060801	0	1350000	305105	1	204#305#605	306105#307105#308105
512	6	12	0	0	511	34	0	30060901	10006	1350000	305106	3	null	null
513	6	13	57	1	511	34	0	30061001	0	1400000	305107	1	204#605#514	306107#307107#308107
514	6	14	0	0	513	34	0	30061101	10011	1400000	305108	3	null	null
515	6	15	58	1	513	34	0	30061201	0	1450000	305109	1	204#303#603	306109#307109#308109
516	6	16	0	0	515	34	0	0	0	0	305110	2	null	null
517	6	17	59	1	515	34	0	30061301	0	1400000	305111	1	204#534#604	306111#307111#308111
518	6	18	0	0	517	34	0	30061401	10006	1400000	305112	3	null	null
519	6	19	60	1	517	34	0	30061501	0	1500000	305113	1	204#45000250#605	306113#307113#308113
601	7	1	61	1	519	38	0	30070001	0	1450000	305114	1	100#203#304	306114#307114#308114
602	7	2	0	0	601	38	0	30070101	10011	1450000	305115	3	null	null
603	7	3	62	1	601	38	0	30070201	0	1500000	305116	1	204#45000250#605	306116#307116#308116
604	7	4	0	0	603	38	0	0	0	0	305117	2	null	null
605	7	5	63	1	603	38	0	30070301	0	1550000	305118	1	100#302#207	306118#307118#308118
606	7	6	0	0	605	38	0	30070401	10011	1550000	305119	3	null	null
607	7	7	64	1	605	38	0	30070501	0	1520000	305120	1	204#305#605	306120#307120#308120
608	7	8	0	0	607	38	0	30070601	10011	1520000	305121	3	null	null
609	7	9	65	1	607	38	0	30070701	0	1600000	305122	1	701#304#204	306122#307122#308122
610	7	10	0	0	609	38	0	0	0	0	305123	2	null	null
611	7	11	66	1	609	38	0	30070801	0	1580000	305124	1	513#304#45000300	306124#307124#308124
612	7	12	0	0	611	38	0	30070901	10006	1580000	305125	3	null	null
613	7	13	67	1	611	38	0	30071001	0	1600000	305126	1	204#605#523	306126#307126#308126
614	7	14	0	0	613	38	0	30071101	10011	1600000	305127	3	null	null
615	7	15	68	1	613	38	0	30071201	0	1630000	305128	1	204#303#603	306128#307128#308128
616	7	16	0	0	615	38	0	0	0	0	305129	2	null	null
617	7	17	69	1	615	38	0	30071301	0	1620000	305130	1	204#545#605	306130#307130#308130
618	7	18	0	0	617	38	0	30071401	10006	1620000	305131	3	null	null
619	7	19	70	1	617	38	0	30071501	0	1650000	305132	1	204#45000300#605	306132#307132#308132
701	8	1	71	1	619	42	0	30080001	0	1650000	305133	1	100#203#304	306133#307133#308133
702	8	2	0	0	701	42	0	30080101	10011	1650000	305134	3	null	null
703	8	3	72	1	701	42	0	30080201	0	1700000	305135	1	204#45000300#605	306135#307135#308135
704	8	4	0	0	703	42	0	0	0	0	305136	2	null	null
705	8	5	73	1	703	42	0	30080301	0	1750000	305137	1	100#302#207	306137#307137#308137
706	8	6	0	0	705	42	0	30080401	10011	1750000	305138	3	null	null
707	8	7	74	1	705	42	0	30080501	0	1700000	305139	1	204#305#605	306139#307139#308139
708	8	8	0	0	707	42	0	30080601	10011	1700000	305140	3	null	null
709	8	9	75	1	707	42	0	30080701	0	1800000	305141	1	204#605#513	306141#307141#308141
710	8	10	0	0	709	42	0	0	0	0	305142	2	null	null
711	8	11	76	1	709	42	0	30080801	0	1790000	305143	1	543#304#45000400	306143#307143#308143
712	8	12	0	0	711	42	0	30080901	10006	1790000	305144	3	null	null
713	8	13	77	1	711	42	0	30081001	0	1800000	305145	1	204#535#605	306145#307145#308145
714	8	14	0	0	713	42	0	30081101	10011	1800000	305146	3	null	null
715	8	15	78	1	713	42	0	30081201	0	1850000	305147	1	204#303#603	306147#307147#308147
716	8	16	0	0	715	42	0	0	0	0	305148	2	null	null
717	8	17	79	1	715	42	0	30081301	0	1820000	305149	1	204#605#514	306149#307149#308149
718	8	18	0	0	717	42	0	30081401	10006	1820000	305150	3	null	null
719	8	19	80	1	717	42	0	30081501	0	1900000	305151	1	204#45000400#605	306151#307151#308151
801	9	1	81	1	719	46	0	30090001	0	1850000	305152	1	100#203#304	306152#307152#308152
802	9	2	0	0	801	46	0	30090101	10011	1850000	305153	3	null	null
803	9	3	82	1	801	46	0	30090201	0	1900000	305154	1	204#45000300#605	306154#307154#308154
804	9	4	0	0	803	46	0	0	0	0	305155	2	null	null
805	9	5	83	1	803	46	0	30090301	0	2000000	305156	1	100#302#207	306156#307156#308156
806	9	6	0	0	805	46	0	30090401	10011	2000000	305157	3	null	null
807	9	7	84	1	805	46	0	30090501	0	1950000	305158	1	204#305#605	306158#307158#308158
808	9	8	0	0	807	46	0	30090601	10011	1950000	305159	3	null	null
809	9	9	85	1	807	46	0	30090701	0	2050000	305160	1	702#304#204	306160#307160#308160
810	9	10	0	0	809	46	0	0	0	0	305161	2	null	null
811	9	11	86	1	809	46	0	30090801	0	2000000	305162	1	533#304#45000300	306162#307162#308162
812	9	12	0	0	811	46	0	30090901	10006	2000000	305163	3	null	null
813	9	13	87	1	811	46	0	30091001	0	2030000	305164	1	605#1101#45000300	306164#307164#308164
814	9	14	0	0	813	46	0	30091101	10011	2030000	305165	3	null	null
815	9	15	88	1	813	46	0	30091201	0	2080000	305166	1	204#303#603	306166#307166#308166
816	9	16	0	0	815	46	0	0	0	0	305167	2	null	null
817	9	17	89	1	815	46	0	30091301	0	2060000	305168	1	204#605#525	306168#307168#308168
818	9	18	0	0	817	46	0	30091401	10006	2060000	305169	3	null	null
819	9	19	90	1	817	46	0	30091501	0	2100000	305170	1	204#45000400#605	306170#307170#308170
901	10	1	91	1	819	50	0	30100001	0	2000000	305171	1	100#203#304	306171#307171#308171
902	10	2	0	0	901	50	0	30100101	10011	2000000	305172	3	null	null
903	10	3	92	1	901	50	0	30100201	0	2100000	305173	1	204#45000300#605	306173#307173#308173
904	10	4	0	0	903	50	0	0	0	0	305174	2	null	null
905	10	5	93	1	903	50	0	30100301	0	2250000	305175	1	100#302#207	306175#307175#308175
906	10	6	0	0	905	50	0	30100401	10011	2250000	305176	3	null	null
907	10	7	94	1	905	50	0	30100501	0	2200000	305177	1	204#305#605	306177#307177#308177
908	10	8	0	0	907	50	0	30100601	10011	2200000	305178	3	null	null
909	10	9	95	1	907	50	0	30100701	0	2350000	305179	1	606#702#803	306179#307179#308179
910	10	10	0	0	909	50	0	0	0	0	305180	2	null	null
911	10	11	96	1	909	50	0	30100801	0	2300000	305181	1	543#304#45000600	306181#307181#308181
912	10	12	0	0	911	50	0	30100901	10006	2300000	305182	3	null	null
913	10	13	97	1	911	50	0	30101001	0	2320000	305183	1	204#605#515	306183#307183#308183
914	10	14	0	0	913	50	0	30101101	10011	2320000	305184	3	null	null
915	10	15	98	1	913	50	0	30101201	0	2380000	305185	1	204#303#603	306185#307185#308185
916	10	16	0	0	915	50	0	0	0	0	305186	2	null	null
917	10	17	99	1	915	50	0	30101301	0	2360000	305187	1	204#605#535	306187#307187#308187
918	10	18	0	0	917	50	0	30101401	10006	2360000	305188	3	null	null
919	10	19	100	1	917	50	0	30101501	0	2400000	305189	1	204#45000600#605	306189#307189#308189
1001	11	1	101	1	1001	54	0	30110001	0	2360000	305171	1	100#203#304	306171#307171#308171
1002	11	2	0	0	1001	54	0	30110101	10011	2360000	305172	3	null	null
1003	11	3	102	1	1003	54	0	30110201	0	2380000	305173	1	204#45000600#605	306173#307173#308173
1004	11	4	0	0	1003	54	0	0	0	0	305174	2	null	null
1005	11	5	103	1	1005	54	0	30110301	0	2480000	305175	1	100#302#207	306175#307175#308175
1006	11	6	0	0	1005	54	0	30110401	10011	2480000	305176	3	null	null
1007	11	7	104	1	1007	54	0	30110501	0	2440000	305177	1	204#305#605	306177#307177#308177
1008	11	8	0	0	1007	54	0	30110601	10011	2440000	305178	3	null	null
1009	11	9	105	1	1009	54	0	30110701	0	2540000	305179	1	606#702#801	306179#307179#308179
1010	11	10	0	0	1009	54	0	0	0	0	305180	2	null	null
1011	11	11	106	1	1011	54	0	30110801	0	2520000	305181	1	543#304#45000600	306181#307181#308181
1012	11	12	0	0	1011	54	0	30110901	10006	2520000	305182	3	null	null
1013	11	13	107	1	1013	54	0	30111001	0	2540000	305183	1	204#605#701	306183#307183#308183
1014	11	14	0	0	1013	54	0	30111101	10011	2540000	305184	3	null	null
1015	11	15	108	1	1015	54	0	30111201	0	2560000	305185	1	204#303#603	306185#307185#308185
1016	11	16	0	0	1015	54	0	0	0	0	305186	2	null	null
1017	11	17	109	1	1017	54	0	30111301	0	2560000	305187	1	204#605#1101	306187#307187#308187
1018	11	18	0	0	1017	54	0	30111401	10006	2560000	305188	3	null	null
1019	11	19	110	1	1101	54	0	30111501	0	2600000	305189	1	204#45000700#605	306189#307189#308189
1101	12	1	111	1	1101	58	0	30120001	0	2540000	305171	1	100#203#304	306171#307171#308171
1102	12	2	0	0	1103	58	0	30120101	10011	2540000	305172	3	null	null
1103	12	3	112	1	1103	58	0	30120201	0	2570000	305173	1	204#45000600#605	306173#307173#308173
1104	12	4	0	0	1105	58	0	0	0	0	305174	2	null	null
1105	12	5	113	1	1105	58	0	30120301	0	2720000	305175	1	100#302#207	306175#307175#308175
1106	12	6	0	0	1107	58	0	30120401	10011	2720000	305176	3	null	null
1107	12	7	114	1	1107	58	0	30120501	0	2660000	305177	1	204#305#605	306177#307177#308177
1108	12	8	0	0	1109	58	0	30120601	10011	2660000	305178	3	null	null
1109	12	9	115	1	1109	58	0	30120701	0	2810000	305179	1	606#702#802	306179#307179#308179
1110	12	10	0	0	1111	58	0	0	0	0	305180	2	null	null
1111	12	11	116	1	1111	58	0	30120801	0	2780000	305181	1	523#304#45000700	306181#307181#308181
1112	12	12	0	0	1113	58	0	30120901	10006	2780000	305182	3	null	null
1113	12	13	117	1	1113	58	0	30121001	0	2810000	305183	1	204#605#701	306183#307183#308183
1114	12	14	0	0	1115	58	0	30121101	10011	2810000	305184	3	null	null
1115	12	15	118	1	1115	58	0	30121201	0	2840000	305185	1	204#303#603	306185#307185#308185
1116	12	16	0	0	1117	58	0	0	0	0	305186	2	null	null
1117	12	17	119	1	1117	58	0	30121301	0	2840000	305187	1	204#605#1101	306187#307187#308187
1118	12	18	0	0	1201	58	0	30121401	10006	2840000	305188	3	null	null
1119	12	19	120	1	1201	58	0	30121501	0	2900000	305189	1	204#45000800#605	306189#307189#308189
1201	13	1	121	1	1203	62	0	30130001	0	2870000	305171	1	100#203#304	306171#307171#308171
1202	13	2	0	0	1203	62	0	30130101	10011	2870000	305172	3	null	null
1203	13	3	122	1	1205	62	0	30130201	0	2885000	305173	1	204#45000700#605	306173#307173#308173
1204	13	4	0	0	1205	62	0	0	0	0	305174	2	null	null
1205	13	5	123	1	1207	62	0	30130301	0	2960000	305175	1	100#302#207	306175#307175#308175
1206	13	6	0	0	1207	62	0	30130401	10011	2960000	305176	3	null	null
1207	13	7	124	1	1209	62	0	30130501	0	2930000	305177	1	204#305#605	306177#307177#308177
1208	13	8	0	0	1209	62	0	30130601	10011	2930000	305178	3	null	null
1209	13	9	125	1	1211	62	0	30130701	0	3005000	305179	1	606#702#803	306179#307179#308179
1210	13	10	0	0	1211	62	0	0	0	0	305180	2	null	null
1211	13	11	126	1	1213	62	0	30130801	0	2990000	305181	1	513#304#45000800	306181#307181#308181
1212	13	12	0	0	1213	62	0	30130901	10006	2990000	305182	3	null	null
1213	13	13	127	1	1215	62	0	30131001	0	3005000	305183	1	204#605#701	306183#307183#308183
1214	13	14	0	0	1215	62	0	30131101	10011	3005000	305184	3	null	null
1215	13	15	128	1	1217	62	0	30131201	0	3020000	305185	1	204#303#603	306185#307185#308185
1216	13	16	0	0	1217	62	0	0	0	0	305186	2	null	null
1217	13	17	129	1	1301	62	0	30131301	0	3020000	305187	1	204#605#1101	306187#307187#308187
1218	13	18	0	0	1301	62	0	30131401	10006	3020000	305188	3	null	null
1219	13	19	130	1	1303	62	0	30131501	0	3050000	305189	1	204#45001000#605	306189#307189#308189
1301	14	1	131	1	1303	66	0	30140001	0	3000000	305171	1	100#203#304	306171#307171#308171
1302	14	2	0	0	1305	66	0	30140101	10011	3000000	305172	3	null	null
1303	14	3	132	1	1305	66	0	30140201	0	3025000	305173	1	204#45000900#605	306173#307173#308173
1304	14	4	0	0	1307	66	0	0	0	0	305174	2	null	null
1305	14	5	133	1	1307	66	0	30140301	0	3150000	305175	1	100#302#207	306175#307175#308175
1306	14	6	0	0	1309	66	0	30140401	10011	3150000	305176	3	null	null
1307	14	7	134	1	1309	66	0	30140501	0	3100000	305177	1	204#305#605	306177#307177#308177
1308	14	8	0	0	1311	66	0	30140601	10011	3100000	305178	3	null	null
1309	14	9	135	1	1311	66	0	30140701	0	3225000	305179	1	606#702#804	306179#307179#308179
1310	14	10	0	0	1313	66	0	0	0	0	305180	2	null	null
1311	14	11	136	1	1313	66	0	30140801	0	3200000	305181	1	533#304#45000900	306181#307181#308181
1312	14	12	0	0	1315	66	0	30140901	10006	3200000	305182	3	null	null
1313	14	13	137	1	1315	66	0	30141001	0	3225000	305183	1	204#605#701	306183#307183#308183
1314	14	14	0	0	1317	66	0	30141101	10011	3225000	305184	3	null	null
1315	14	15	138	1	1317	66	0	30141201	0	3250000	305185	1	204#303#603	306185#307185#308185
1316	14	16	0	0	1401	66	0	0	0	0	305186	2	null	null
1317	14	17	139	1	1401	66	0	30141301	0	3250000	305187	1	204#605#1101	306187#307187#308187
1318	14	18	0	0	1403	66	0	30141401	10006	3250000	305188	3	null	null
1319	14	19	140	1	1403	66	0	30141501	0	3300000	305189	1	204#45001100#605	306189#307189#308189
1401	15	1	141	1	1405	70	0	30150001	0	3220000	305171	1	100#203#304	306171#307171#308171
1402	15	2	0	0	1405	70	0	30150101	10011	3220000	305172	3	null	null
1403	15	3	142	1	1407	70	0	30150201	0	3260000	305173	1	204#45001000#605	306173#307173#308173
1404	15	4	0	0	1407	70	0	0	0	0	305174	2	null	null
1405	15	5	143	1	1409	70	0	30150301	0	3460000	305175	1	100#302#207	306175#307175#308175
1406	15	6	0	0	1409	70	0	30150401	10011	3460000	305176	3	null	null
1407	15	7	144	1	1411	70	0	30150501	0	3380000	305177	1	204#305#605	306177#307177#308177
1408	15	8	0	0	1411	70	0	30150601	10011	3380000	305178	3	null	null
1409	15	9	145	1	1413	70	0	30150701	0	3580000	305179	1	606#702#801	306179#307179#308179
1410	15	10	0	0	1413	70	0	0	0	0	305180	2	null	null
1411	15	11	146	1	1415	70	0	30150801	0	3540000	305181	1	543#304#45001000	306181#307181#308181
1412	15	12	0	0	1415	70	0	30150901	10006	3540000	305182	3	null	null
1413	15	13	147	1	1417	70	0	30151001	0	3580000	305183	1	204#605#701	306183#307183#308183
1414	15	14	0	0	1417	70	0	30151101	10011	3580000	305184	3	null	null
1415	15	15	148	1	1501	70	0	30151201	0	3620000	305185	1	204#303#603	306185#307185#308185
1416	15	16	0	0	1501	70	0	0	0	0	305186	2	null	null
1417	15	17	149	1	1503	70	0	30151301	0	3620000	305187	1	204#605#1101	306187#307187#308187
1418	15	18	0	0	1503	70	0	30151401	10006	3620000	305188	3	null	null
1419	15	19	150	1	1505	70	0	30151501	0	3700000	305189	1	204#45001300#605	306189#307189#308189
1501	16	1	151	1	1505	74	0	30160001	0	3670000	305171	1	100#203#304	306171#307171#308171
1502	16	2	0	0	1507	74	0	30160101	10011	3670000	305172	3	null	null
1503	16	3	152	1	1507	74	0	30160201	0	3685000	305173	1	204#45001200#605	306173#307173#308173
1504	16	4	0	0	1509	74	0	0	0	0	305174	2	null	null
1505	16	5	153	1	1509	74	0	30160301	0	3760000	305175	1	100#302#207	306175#307175#308175
1506	16	6	0	0	1511	74	0	30160401	10011	3760000	305176	3	null	null
1507	16	7	154	1	1511	74	0	30160501	0	3730000	305177	1	204#305#605	306177#307177#308177
1508	16	8	0	0	1513	74	0	30160601	10011	3730000	305178	3	null	null
1509	16	9	155	1	1513	74	0	30160701	0	3805000	305179	1	606#702#802	306179#307179#308179
1510	16	10	0	0	1515	74	0	0	0	0	305180	2	null	null
1511	16	11	156	1	1515	74	0	30160801	0	3790000	305181	1	523#304#45001300	306181#307181#308181
1512	16	12	0	0	1517	74	0	30160901	10006	3790000	305182	3	null	null
1513	16	13	157	1	1517	74	0	30161001	0	3805000	305183	1	204#605#701	306183#307183#308183
1514	16	14	0	0	1601	74	0	30161101	10011	3805000	305184	3	null	null
1515	16	15	158	1	1601	74	0	30161201	0	3820000	305185	1	204#303#603	306185#307185#308185
1516	16	16	0	0	1603	74	0	0	0	0	305186	2	null	null
1517	16	17	159	1	1603	74	0	30161301	0	3820000	305187	1	204#605#1101	306187#307187#308187
1518	16	18	0	0	1605	74	0	30161401	10006	3820000	305188	3	null	null
1519	16	19	160	1	1605	74	0	30161501	0	3850000	305189	1	204#45001600#605	306189#307189#308189
1601	17	1	161	1	1607	78	0	30170001	0	3820000	305171	1	100#203#304	306171#307171#308171
1602	17	2	0	0	1607	78	0	30170101	10011	3820000	305172	3	null	null
1603	17	3	162	1	1609	78	0	30170201	0	3835000	305173	1	204#45001400#605	306173#307173#308173
1604	17	4	0	0	1609	78	0	0	0	0	305174	2	null	null
1605	17	5	163	1	1611	78	0	30170301	0	3910000	305175	1	100#302#207	306175#307175#308175
1606	17	6	0	0	1611	78	0	30170401	10011	3910000	305176	3	null	null
1607	17	7	164	1	1613	78	0	30170501	0	3880000	305177	1	204#305#605	306177#307177#308177
1608	17	8	0	0	1613	78	0	30170601	10011	3880000	305178	3	null	null
1609	17	9	165	1	1615	78	0	30170701	0	3955000	305179	1	606#702#803	306179#307179#308179
1610	17	10	0	0	1615	78	0	0	0	0	305180	2	null	null
1611	17	11	166	1	1617	78	0	30170801	0	3940000	305181	1	513#304#45001500	306181#307181#308181
1612	17	12	0	0	1617	78	0	30170901	10006	3940000	305182	3	null	null
1613	17	13	167	1	1701	78	0	30171001	0	3955000	305183	1	204#605#701	306183#307183#308183
1614	17	14	0	0	1701	78	0	30171101	10011	3955000	305184	3	null	null
1615	17	15	168	1	1703	78	0	30171201	0	3970000	305185	1	204#303#603	306185#307185#308185
1616	17	16	0	0	1703	78	0	0	0	0	305186	2	null	null
1617	17	17	169	1	1705	78	0	30171301	0	3970000	305187	1	204#605#1101	306187#307187#308187
1618	17	18	0	0	1705	78	0	30171401	10006	3970000	305188	3	null	null
1619	17	19	170	1	1707	78	0	30171501	0	4000000	305189	1	204#45001700#605	306189#307189#308189
1701	18	1	171	1	1707	82	0	30180001	0	3970000	305171	1	100#203#304	306171#307171#308171
1702	18	2	0	0	1709	82	0	30180101	10011	3970000	305172	3	null	null
1703	18	3	172	1	1709	82	0	30180201	0	3985000	305173	1	204#45001600#605	306173#307173#308173
1704	18	4	0	0	1711	82	0	0	0	0	305174	2	null	null
1705	18	5	173	1	1711	82	0	30180301	0	4060000	305175	1	100#302#207	306175#307175#308175
1706	18	6	0	0	1713	82	0	30180401	10011	4060000	305176	3	null	null
1707	18	7	174	1	1713	82	0	30180501	0	4030000	305177	1	204#305#605	306177#307177#308177
1708	18	8	0	0	1715	82	0	30180601	10011	4030000	305178	3	null	null
1709	18	9	175	1	1715	82	0	30180701	0	4105000	305179	1	606#702#804	306179#307179#308179
