Id	ActivityId	Type	TaskType	TaskValue	Integral	Weight	IsShow
12113	802	1	108	14|1000000	68#100	100	1
12114	802	1	83	0|5	68#50	100	1
12115	802	1	117	0|1	68#100	100	1
12201	802	2	150	0|600	68#400	100	1
12202	802	2	108	14|10000000	68#400	100	1
12203	802	2	108	3|5000000	68#400	100	1
12204	802	2	2	5|5	68#400	100	1
12205	802	2	83	0|100	68#400	100	1
12206	802	2	76	6|2	68#500	100	1
12207	802	2	111	0|20	68#500	100	1
12208	802	2	113	0|32	68#500	100	1
12209	802	2	55	6|1	68#800	100	1
12210	802	2	108	16|3000	68#800	100	1
12301	802	3	22	0|100	68#2000	100	1
12302	802	3	76	0|300	68#2000	100	1
12303	802	3	76	6|15	68#2000	100	1
12304	802	3	108	3|80000000	68#2000	100	1
12305	802	3	55	9|1	68#2000	100	1
12306	802	3	83	0|500	68#2000	100	1
12307	802	3	28	0|400	68#2000	100	1
12308	802	3	28	0|500	68#2000	100	1
12309	802	3	135	0|100	68#2000	100	1
12310	802	3	108	16|20000	68#2000	100	1
13101	803	1	73	0|1	68#100	100	1
13102	803	1	54	0|5	68#50	100	1
13103	803	1	107	0|5	68#100	100	1
13104	803	1	87	0|10	68#100	100	1
13105	803	1	76	0|5	68#50	100	1
13106	803	1	36	0|8	68#100	100	1
13107	803	1	7	0|10	68#100	100	1
13108	803	1	125	0|5	68#100	100	1
13109	803	1	79	0|1	68#50	100	1
13110	803	1	134	0|5	68#100	100	1
13111	803	1	135	0|3	68#50	100	1
13112	803	1	20	0|5	68#100	100	1
13113	803	1	108	14|1000000	68#100	100	1
13114	803	1	83	0|5	68#50	100	1
13115	803	1	117	0|1	68#100	100	1
13201	803	2	150	0|600	68#400	100	1
13202	803	2	108	14|10000000	68#400	100	1
13203	803	2	108	3|5000000	68#400	100	1
13204	803	2	2	5|5	68#400	100	1
13205	803	2	83	0|100	68#400	100	1
13206	803	2	76	6|2	68#500	100	1
13207	803	2	111	0|20	68#500	100	1
13208	803	2	113	0|32	68#500	100	1
13209	803	2	55	6|1	68#800	100	1
13210	803	2	108	16|3000	68#800	100	1
13301	803	3	22	0|100	68#2000	100	1
13302	803	3	76	0|300	68#2000	100	1
13303	803	3	76	6|15	68#2000	100	1
13304	803	3	108	3|80000000	68#2000	100	1
13305	803	3	55	9|1	68#2000	100	1
13306	803	3	83	0|500	68#2000	100	1
13307	803	3	28	0|400	68#2000	100	1
13308	803	3	28	0|500	68#2000	100	1
13309	803	3	135	0|100	68#2000	100	1
13310	803	3	108	16|20000	68#2000	100	1
14101	804	1	73	0|1	68#100	100	1
14102	804	1	54	0|5	68#50	100	1
14103	804	1	107	0|5	68#100	100	1
14104	804	1	87	0|10	68#100	100	1
14105	804	1	76	0|5	68#50	100	1
14106	804	1	36	0|8	68#100	100	1
14107	804	1	7	0|10	68#100	100	1
14108	804	1	125	0|5	68#100	100	1
14109	804	1	79	0|1	68#50	100	1
14110	804	1	134	0|5	68#100	100	1
14111	804	1	135	0|3	68#50	100	1
14112	804	1	20	0|5	68#100	100	1
14113	804	1	108	14|1000000	68#100	100	1
14114	804	1	83	0|5	68#50	100	1
14115	804	1	117	0|1	68#100	100	1
14201	804	2	150	0|600	68#400	100	1
14202	804	2	108	14|10000000	68#400	100	1
14203	804	2	108	3|5000000	68#400	100	1
14204	804	2	2	5|5	68#400	100	1
14205	804	2	83	0|100	68#400	100	1
14206	804	2	76	6|2	68#500	100	1
14207	804	2	111	0|20	68#500	100	1
14208	804	2	113	0|32	68#500	100	1
14209	804	2	55	6|1	68#800	100	1
14210	804	2	108	16|3000	68#800	100	1
14301	804	3	22	0|100	68#2000	100	1
14302	804	3	76	0|300	68#2000	100	1
14303	804	3	76	6|15	68#2000	100	1
14304	804	3	108	3|80000000	68#2000	100	1
14305	804	3	55	9|1	68#2000	100	1
14306	804	3	83	0|500	68#2000	100	1
14307	804	3	28	0|400	68#2000	100	1
14308	804	3	28	0|500	68#2000	100	1
14309	804	3	135	0|100	68#2000	100	1
14310	804	3	108	16|20000	68#2000	100	1
15101	805	1	73	0|1	68#100	100	1
15102	805	1	54	0|5	68#50	100	1
15103	805	1	107	0|5	68#100	100	1
15104	805	1	87	0|10	68#100	100	1
15105	805	1	76	0|5	68#50	100	1
15106	805	1	36	0|8	68#100	100	1
15107	805	1	7	0|10	68#100	100	1
15108	805	1	125	0|5	68#100	100	1
15109	805	1	79	0|1	68#50	100	1
15110	805	1	134	0|5	68#100	100	1
15111	805	1	135	0|3	68#50	100	1
15112	805	1	20	0|5	68#100	100	1
15113	805	1	108	14|1000000	68#100	100	1
15114	805	1	83	0|5	68#50	100	1
15115	805	1	117	0|1	68#100	100	1
15201	805	2	150	0|600	68#400	100	1
15202	805	2	108	14|10000000	68#400	100	1
15203	805	2	108	3|5000000	68#400	100	1
15204	805	2	2	5|5	68#400	100	1
15205	805	2	83	0|100	68#400	100	1
15206	805	2	76	6|2	68#500	100	1
15207	805	2	111	0|20	68#500	100	1
15208	805	2	113	0|32	68#500	100	1
15209	805	2	55	6|1	68#800	100	1
15210	805	2	108	16|3000	68#800	100	1
15301	805	3	22	0|100	68#2000	100	1
15302	805	3	76	0|300	68#2000	100	1
15303	805	3	76	6|15	68#2000	100	1
15304	805	3	108	3|80000000	68#2000	100	1
15305	805	3	55	9|1	68#2000	100	1
15306	805	3	83	0|500	68#2000	100	1
15307	805	3	28	0|400	68#2000	100	1
15308	805	3	28	0|500	68#2000	100	1
15309	805	3	135	0|100	68#2000	100	1
15310	805	3	108	16|20000	68#2000	100	1
16101	806	1	73	0|1	68#100	100	1
16102	806	1	54	0|5	68#50	100	1
16103	806	1	107	0|5	68#100	100	1
16104	806	1	87	0|10	68#100	100	1
16105	806	1	76	0|5	68#50	100	1
16106	806	1	36	0|8	68#100	100	1
16107	806	1	7	0|10	68#100	100	1
16108	806	1	125	0|5	68#100	100	1
16109	806	1	79	0|1	68#50	100	1
16110	806	1	134	0|5	68#100	100	1
16111	806	1	135	0|3	68#50	100	1
16112	806	1	20	0|5	68#100	100	1
16113	806	1	108	14|1000000	68#100	100	1
16114	806	1	83	0|5	68#50	100	1
16115	806	1	117	0|1	68#100	100	1
16201	806	2	150	0|600	68#400	100	1
16202	806	2	108	14|10000000	68#400	100	1
16203	806	2	108	3|5000000	68#400	100	1
16204	806	2	2	5|5	68#400	100	1
16205	806	2	83	0|100	68#400	100	1
16206	806	2	76	6|2	68#500	100	1
16207	806	2	111	0|20	68#500	100	1
16208	806	2	113	0|32	68#500	100	1
16209	806	2	55	6|1	68#800	100	1
16210	806	2	108	16|3000	68#800	100	1
16301	806	3	22	0|100	68#2000	100	1
16302	806	3	76	0|300	68#2000	100	1
16303	806	3	76	6|15	68#2000	100	1
16304	806	3	108	3|80000000	68#2000	100	1
16305	806	3	55	9|1	68#2000	100	1
16306	806	3	83	0|500	68#2000	100	1
16307	806	3	28	0|400	68#2000	100	1
16308	806	3	28	0|500	68#2000	100	1
16309	806	3	135	0|100	68#2000	100	1
16310	806	3	108	16|20000	68#2000	100	1
17101	807	1	73	0|1	68#100	100	1
17102	807	1	54	0|5	68#50	100	1
17103	807	1	107	0|5	68#100	100	1
17104	807	1	87	0|10	68#100	100	1
17105	807	1	76	0|5	68#50	100	1
17106	807	1	36	0|8	68#100	100	1
17107	807	1	7	0|10	68#100	100	1
17108	807	1	125	0|5	68#100	100	1
17109	807	1	79	0|1	68#50	100	1
17110	807	1	134	0|5	68#100	100	1
17111	807	1	135	0|3	68#50	100	1
17112	807	1	20	0|5	68#100	100	1
17113	807	1	108	14|1000000	68#100	100	1
17114	807	1	83	0|5	68#50	100	1
17115	807	1	117	0|1	68#100	100	1
17201	807	2	150	0|600	68#400	100	1
17202	807	2	108	14|10000000	68#400	100	1
17203	807	2	108	3|5000000	68#400	100	1
17204	807	2	2	5|5	68#400	100	1
17205	807	2	83	0|100	68#400	100	1
17206	807	2	76	6|2	68#500	100	1
17207	807	2	111	0|20	68#500	100	1
17208	807	2	113	0|32	68#500	100	1
17209	807	2	55	6|1	68#800	100	1
17210	807	2	108	16|3000	68#800	100	1
17301	807	3	22	0|100	68#2000	100	1
17302	807	3	76	0|300	68#2000	100	1
17303	807	3	76	6|15	68#2000	100	1
17304	807	3	108	3|80000000	68#2000	100	1
17305	807	3	55	9|1	68#2000	100	1
17306	807	3	83	0|500	68#2000	100	1
17307	807	3	28	0|400	68#2000	100	1
17308	807	3	28	0|500	68#2000	100	1
17309	807	3	135	0|100	68#2000	100	1
17310	807	3	108	16|20000	68#2000	100	1
18101	808	1	73	0|1	68#100	100	1
18102	808	1	54	0|5	68#50	100	1
18103	808	1	107	0|5	68#100	100	1
18104	808	1	87	0|10	68#100	100	1
18105	808	1	76	0|5	68#50	100	1
18106	808	1	36	0|8	68#100	100	1
18107	808	1	7	0|10	68#100	100	1
18108	808	1	125	0|5	68#100	100	1
18109	808	1	79	0|1	68#50	100	1
18110	808	1	134	0|5	68#100	100	1
18111	808	1	135	0|3	68#50	100	1
18112	808	1	20	0|5	68#100	100	1
18113	808	1	108	14|1000000	68#100	100	1
18114	808	1	83	0|5	68#50	100	1
18115	808	1	117	0|1	68#100	100	1
18201	808	2	150	0|600	68#400	100	1
18202	808	2	108	14|10000000	68#400	100	1
18203	808	2	108	3|5000000	68#400	100	1
18204	808	2	2	5|5	68#400	100	1
18205	808	2	83	0|100	68#400	100	1
18206	808	2	76	6|2	68#500	100	1
18207	808	2	111	0|20	68#500	100	1
18208	808	2	113	0|32	68#500	100	1
18209	808	2	55	6|1	68#800	100	1
18210	808	2	108	16|3000	68#800	100	1
18301	808	3	22	0|100	68#2000	100	1
18302	808	3	76	0|300	68#2000	100	1
18303	808	3	76	6|15	68#2000	100	1
18304	808	3	108	3|80000000	68#2000	100	1
18305	808	3	55	9|1	68#2000	100	1
18306	808	3	83	0|500	68#2000	100	1
18307	808	3	28	0|400	68#2000	100	1
18308	808	3	28	0|500	68#2000	100	1
18309	808	3	135	0|100	68#2000	100	1
18310	808	3	108	16|20000	68#2000	100	1
