Id	ActivityId	ChapterID	Order	OpenRules	PasseRules	MaxStar	StarCondServer	Cost	RepeatTimes	RepeatReset	RepeatType	MonsterGroup	BattleTime	LineRules	BuffTarget	BuffId	FirstReward	RepeatReward	RandomDrop	RandomDropShow
1003103	60004	10031	3	1#1003102	1	1	7#0	null	-1	0	0	3003003	20	null	null	0	16#50|50005#1|14#50000	null	null	null
1003104	60004	10031	4	1#1003103	1	1	7#0	null	-1	0	0	3003004	20	null	null	0	16#50|50005#1|14#80000	null	null	null
1003105	60004	10031	5	1#1003104	1	1	7#0	null	-1	0	0	3003005	20	null	null	0	16#50|50005#1|14#80000	null	null	null
1003106	60004	10031	6	1#1003105	1	1	7#0	null	-1	0	0	3003006	20	null	null	0	16#50|50005#1|14#80000	null	null	null
1003107	60004	10031	7	1#1003106	1	1	7#0	null	-1	0	0	3003007	20	null	null	0	16#100|50005#1|14#100000	null	null	null
1003108	60004	10031	8	1#1003107	1	1	7#0	null	-1	0	0	3003008	20	null	null	0	16#100|50005#1|14#100000	null	null	null
1003109	60004	10031	9	1#1003108	1	1	7#0	null	-1	0	0	3003009	20	null	null	0	16#100|50005#1|14#100000	null	null	null
1003110	60004	10031	10	1#1003109	1	1	7#0	null	-1	0	0	3003010	20	null	null	0	16#100|50005#1|14#120000	null	null	null
1003111	60004	10031	11	1#1003110	1	1	7#0	null	-1	0	0	3003011	20	null	null	0	16#100|50005#1|14#120000	null	null	null
1003112	60004	10031	12	1#1003111	1	1	7#0	null	-1	0	0	3003012	20	null	null	0	16#100|50005#1|14#120000	null	null	null
1003113	60004	10031	13	1#1003112	1	1	7#0	null	-1	0	0	3003013	20	null	null	0	16#100|50005#1|14#150000	null	null	null
1003201	60004	10032	1	0	1	1	7#0	null	-1	0	0	3003101	20	null	null	0	16#50|4#200|14#100000	null	null	null
1003202	60004	10032	2	1#1003201	1	1	7#0	null	-1	0	0	3003102	20	null	2|10080	51	16#100|19#1|14#150000	null	null	null
1003203	60004	10032	3	1#1003202	1	1	7#0	null	-1	0	0	3003103	20	null	2|10080	51	16#150|4#300|14#200000	null	null	null
1003204	60004	10032	4	1#1003203	1	1	7#0	null	-1	0	0	3003104	20	null	2|10080	51	16#200|61#1|14#250000	null	null	null
1003205	60004	10032	5	1#1003204	1	1	7#0	null	-1	0	0	3003105	20	null	2|10080	51	16#250|19#5|14#300000	null	null	null
1003206	60004	10032	6	1#1003205	1	1	7#0	null	-1	0	0	3003106	20	null	2|10080	51	16#300|20#1|14#350000	null	null	null
1003207	60004	10032	7	1#1003206	1	1	7#0	null	-1	0	0	3003107	20	null	2|10080	51	16#350|6001020#50|14#400000	null	null	null
2001101	80001	20011	1	0	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100001	20	null	null	0	60444#1|14#13900|3#8600	14#13900|3#8600	null	null
2001102	80001	20011	2	1#2001101	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100002	20	null	null	0	60444#1|14#14000|3#8650	14#14000|3#8650	null	null
2001103	80001	20011	3	1#2001102	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100003	20	null	null	0	60444#1|14#14100|3#8700	14#14100|3#8700	null	null
2001104	80001	20011	4	1#2001103	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100004	20	null	null	0	60444#1|14#14200|3#8750	14#14200|3#8750	null	null
2001105	80001	20011	5	1#2001104	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100005	20	null	null	0	60444#1|14#14300|3#8800	14#14300|3#8800	null	null
2001106	80001	20011	6	1#2001105	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100006	20	null	null	0	60444#1|14#14400|3#8850	14#14400|3#8850	null	null
2001107	80001	20011	7	1#2001106	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100007	20	null	null	0	60444#1|14#14500|3#8900	14#14500|3#8900	null	null
2001108	80001	20011	8	1#2001107	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100008	20	null	null	0	60444#1|14#14600|3#8950	14#14600|3#8950	null	null
2001109	80001	20011	9	1#2001108	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100009	20	null	null	0	60444#1|14#14700|3#9000	14#14700|3#9000	null	null
2001110	80001	20011	10	1#2001109	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100010	20	null	null	0	60444#1|14#14800|3#9050	14#14800|3#9050	null	null
2001111	80001	20011	11	1#2001110	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100011	20	null	null	0	60444#1|14#14900|3#9100	14#14900|3#9100	null	null
2001112	80001	20011	12	1#2001111	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100012	20	null	null	0	60444#1|14#15000|3#9150	14#15000|3#9150	null	null
2001113	80001	20011	13	1#2001112	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100013	20	null	null	0	60444#1|14#15100|3#9200	14#15100|3#9200	null	null
2001114	80001	20011	14	1#2001113	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100014	20	null	null	0	60444#1|14#15200|3#9250	14#15200|3#9250	null	null
2001115	80001	20011	15	1#2001114	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100015	20	null	null	0	60444#1|14#15300|3#9300	14#15300|3#9300	null	null
2001116	80001	20011	16	1#2001115	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100016	20	null	null	0	60444#1|14#15400|3#9350	14#15400|3#9350	null	null
2001117	80001	20011	17	1#2001116	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100017	20	null	null	0	60444#1|14#15500|3#9400	14#15500|3#9400	null	null
2001118	80001	20011	18	1#2001117	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100018	20	null	null	0	60444#1|14#15600|3#9450	14#15600|3#9450	null	null
2001119	80001	20011	19	1#2001118	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100019	20	null	null	0	60444#1|14#15700|3#9500	14#15700|3#9500	null	null
2001120	80001	20011	20	1#2001119	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100020	20	null	null	0	60444#1|14#15800|3#9550	14#15800|3#9550	null	null
2001121	80001	20011	21	1#2001120	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100021	20	null	null	0	60444#1|14#15900|3#9600	14#15900|3#9600	null	null
2001122	80001	20011	22	1#2001121	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100022	20	null	null	0	60444#1|14#16000|3#9650	14#16000|3#9650	null	null
2001123	80001	20011	23	1#2001122	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100023	20	null	null	0	60444#1|14#16100|3#9700	14#16100|3#9700	null	null
2001124	80001	20011	24	1#2001123	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100024	20	null	null	0	60444#1|14#16200|3#9750	14#16200|3#9750	null	null
2001125	80001	20011	25	1#2001124	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100025	20	null	null	0	60444#1|14#16300|3#9800	14#16300|3#9800	null	null
2001126	80001	20011	26	1#2001125	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100026	20	null	null	0	60444#1|14#16400|3#9850	14#16400|3#9850	null	null
2001127	80001	20011	27	1#2001126	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100027	20	null	null	0	60444#1|14#16500|3#9900	14#16500|3#9900	null	null
2001128	80001	20011	28	1#2001127	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100028	20	null	null	0	60444#1|14#16600|3#9950	14#16600|3#9950	null	null
2001129	80001	20011	29	1#2001128	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100029	20	null	null	0	60444#1|14#16700|3#10000	14#16700|3#10000	null	null
2001130	80001	20011	30	1#2001129	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100030	20	null	null	0	60444#1|19#3|14#16800|3#10050	14#16800|3#10050	null	null
2001201	80001	20012	1	1#2001130	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100031	20	null	null	0	60444#1|14#16900|3#10100	14#16900|3#10100	null	null
2001202	80001	20012	2	1#2001201	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100032	20	null	null	0	60444#1|14#17000|3#10150	14#17000|3#10150	null	null
2001203	80001	20012	3	1#2001202	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100033	20	null	null	0	60444#1|14#17100|3#10200	14#17100|3#10200	null	null
2001204	80001	20012	4	1#2001203	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100034	20	null	null	0	60444#1|14#17200|3#10250	14#17200|3#10250	null	null
2001205	80001	20012	5	1#2001204	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100035	20	null	null	0	60444#1|14#17300|3#10300	14#17300|3#10300	null	null
2001206	80001	20012	6	1#2001205	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100036	20	null	null	0	60444#1|14#17400|3#10350	14#17400|3#10350	null	null
2001207	80001	20012	7	1#2001206	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100037	20	null	null	0	60444#1|14#17500|3#10400	14#17500|3#10400	null	null
2001208	80001	20012	8	1#2001207	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100038	20	null	null	0	60444#1|14#17600|3#10450	14#17600|3#10450	null	null
2001209	80001	20012	9	1#2001208	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100039	20	null	null	0	60444#1|14#17700|3#10500	14#17700|3#10500	null	null
2001210	80001	20012	10	1#2001209	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100040	20	null	null	0	60444#1|14#17800|3#10550	14#17800|3#10550	null	null
2001211	80001	20012	11	1#2001210	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100041	20	null	null	0	60444#1|14#17900|3#10600	14#17900|3#10600	null	null
2001212	80001	20012	12	1#2001211	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100042	20	null	null	0	60444#1|14#18000|3#10650	14#18000|3#10650	null	null
2001213	80001	20012	13	1#2001212	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100043	20	null	null	0	60444#1|14#18100|3#10700	14#18100|3#10700	null	null
2001214	80001	20012	14	1#2001213	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100044	20	null	null	0	60444#1|14#18200|3#10750	14#18200|3#10750	null	null
2001215	80001	20012	15	1#2001214	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100045	20	null	null	0	60444#1|14#18300|3#10800	14#18300|3#10800	null	null
2001216	80001	20012	16	1#2001215	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100046	20	null	null	0	60444#1|14#18400|3#10850	14#18400|3#10850	null	null
2001217	80001	20012	17	1#2001216	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100047	20	null	null	0	60444#1|14#18500|3#10900	14#18500|3#10900	null	null
2001218	80001	20012	18	1#2001217	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100048	20	null	null	0	60444#1|14#18600|3#10950	14#18600|3#10950	null	null
2001219	80001	20012	19	1#2001218	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100049	20	null	null	0	60444#1|14#18700|3#11000	14#18700|3#11000	null	null
2001220	80001	20012	20	1#2001219	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100050	20	null	null	0	60444#1|14#18800|3#11050	14#18800|3#11050	null	null
2001221	80001	20012	21	1#2001220	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100051	20	null	null	0	60444#1|14#18900|3#11100	14#18900|3#11100	null	null
2001222	80001	20012	22	1#2001221	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100052	20	null	null	0	60444#1|14#19000|3#11150	14#19000|3#11150	null	null
2001223	80001	20012	23	1#2001222	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100053	20	null	null	0	60444#1|14#19100|3#11200	14#19100|3#11200	null	null
2001224	80001	20012	24	1#2001223	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100054	20	null	null	0	60444#1|14#19200|3#11250	14#19200|3#11250	null	null
2001225	80001	20012	25	1#2001224	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100055	20	null	null	0	60444#1|14#19300|3#11300	14#19300|3#11300	null	null
2001226	80001	20012	26	1#2001225	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100056	20	null	null	0	60444#1|14#19400|3#11350	14#19400|3#11350	null	null
2001227	80001	20012	27	1#2001226	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100057	20	null	null	0	60444#1|14#19500|3#11400	14#19500|3#11400	null	null
2001228	80001	20012	28	1#2001227	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100058	20	null	null	0	60444#1|14#19600|3#11450	14#19600|3#11450	null	null
2001229	80001	20012	29	1#2001228	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100059	20	null	null	0	60444#1|14#19700|3#11500	14#19700|3#11500	null	null
2001230	80001	20012	30	1#2001229	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100060	20	null	null	0	60444#1|19#3|14#19800|3#11550	14#19800|3#11550	null	null
2001301	80001	20013	1	1#2001230	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100061	20	null	null	0	60444#1|14#19900|3#11600	14#19900|3#11600	null	null
2001302	80001	20013	2	1#2001301	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100062	20	null	null	0	60444#1|14#20000|3#11650	14#20000|3#11650	null	null
2001303	80001	20013	3	1#2001302	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100063	20	null	null	0	60444#1|14#20100|3#11700	14#20100|3#11700	null	null
2001304	80001	20013	4	1#2001303	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100064	20	null	null	0	60444#1|14#20200|3#11750	14#20200|3#11750	null	null
2001305	80001	20013	5	1#2001304	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100065	20	null	null	0	60444#1|14#20300|3#11800	14#20300|3#11800	null	null
2001306	80001	20013	6	1#2001305	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100066	20	null	null	0	60444#1|14#20400|3#11850	14#20400|3#11850	null	null
2001307	80001	20013	7	1#2001306	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100067	20	null	null	0	60444#1|14#20500|3#11900	14#20500|3#11900	null	null
2001308	80001	20013	8	1#2001307	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100068	20	null	null	0	60444#1|14#20600|3#11950	14#20600|3#11950	null	null
2001309	80001	20013	9	1#2001308	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100069	20	null	null	0	60444#1|14#20700|3#12000	14#20700|3#12000	null	null
2001310	80001	20013	10	1#2001309	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100070	20	null	null	0	60444#1|14#20800|3#12050	14#20800|3#12050	null	null
2001311	80001	20013	11	1#2001310	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100071	20	null	null	0	60444#1|14#20900|3#12100	14#20900|3#12100	null	null
2001312	80001	20013	12	1#2001311	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100072	20	null	null	0	60444#1|14#21000|3#12150	14#21000|3#12150	null	null
2001313	80001	20013	13	1#2001312	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100073	20	null	null	0	60444#1|14#21100|3#12200	14#21100|3#12200	null	null
2001314	80001	20013	14	1#2001313	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100074	20	null	null	0	60444#1|14#21200|3#12250	14#21200|3#12250	null	null
2001315	80001	20013	15	1#2001314	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100075	20	null	null	0	60444#1|14#21300|3#12300	14#21300|3#12300	null	null
2001316	80001	20013	16	1#2001315	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100076	20	null	null	0	60444#1|14#21400|3#12350	14#21400|3#12350	null	null
2001317	80001	20013	17	1#2001316	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100077	20	null	null	0	60444#1|14#21500|3#12400	14#21500|3#12400	null	null
2001318	80001	20013	18	1#2001317	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100078	20	null	null	0	60444#1|14#21600|3#12450	14#21600|3#12450	null	null
2001319	80001	20013	19	1#2001318	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100079	20	null	null	0	60444#1|14#21700|3#12500	14#21700|3#12500	null	null
2001320	80001	20013	20	1#2001319	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100080	20	null	null	0	60444#1|14#21800|3#12550	14#21800|3#12550	null	null
2001321	80001	20013	21	1#2001320	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100081	20	null	null	0	60444#1|14#21900|3#12600	14#21900|3#12600	null	null
2001322	80001	20013	22	1#2001321	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100082	20	null	null	0	60444#1|14#22000|3#12650	14#22000|3#12650	null	null
2001323	80001	20013	23	1#2001322	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100083	20	null	null	0	60444#1|14#22100|3#12700	14#22100|3#12700	null	null
2001324	80001	20013	24	1#2001323	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100084	20	null	null	0	60444#1|14#22200|3#12750	14#22200|3#12750	null	null
2001325	80001	20013	25	1#2001324	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100085	20	null	null	0	60444#1|14#22300|3#12800	14#22300|3#12800	null	null
2001326	80001	20013	26	1#2001325	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100086	20	null	null	0	60444#1|14#22400|3#12850	14#22400|3#12850	null	null
2001327	80001	20013	27	1#2001326	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100087	20	null	null	0	60444#1|14#22500|3#12900	14#22500|3#12900	null	null
2001328	80001	20013	28	1#2001327	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100088	20	null	null	0	60444#1|14#22600|3#12950	14#22600|3#12950	null	null
2001329	80001	20013	29	1#2001328	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100089	20	null	null	0	60444#1|14#22700|3#13000	14#22700|3#13000	null	null
2001330	80001	20013	30	1#2001329	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100090	20	null	null	0	60444#1|19#3|14#22800|3#13050	14#22800|3#13050	null	null
2001401	80001	20014	1	1#2001330	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100091	20	null	null	0	60444#1|14#22900|3#13100	14#22900|3#13100	null	null
2001402	80001	20014	2	1#2001401	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100092	20	null	null	0	60444#1|14#23000|3#13150	14#23000|3#13150	null	null
2001403	80001	20014	3	1#2001402	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100093	20	null	null	0	60444#1|14#23100|3#13200	14#23100|3#13200	null	null
2001404	80001	20014	4	1#2001403	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100094	20	null	null	0	60444#1|14#23200|3#13250	14#23200|3#13250	null	null
2001405	80001	20014	5	1#2001404	1	3	7#0|2#2#2#1|2#2#2#3	1012#1	0	0	0	4100095	20	null	null	0	60444#1|14#23300|3#13300	14#23300|3#13300	null	null
