Id	Type	HeroId	ReadingName	UnlockProperty	MonomerProperty	Time	IsDefault	Order	Price	HeadIcon
79	1000085	10085	敖丙	null	null	0	1	1	null	null
80	1000086	10086	不动明王	null	null	0	1	1	null	null
81	1000087	10087	娥皇	null	null	0	1	1	null	null
82	1000088	10088	申公豹	null	null	0	1	1	null	null
83	1000089	10089	燃灯	null	null	0	1	1	null	null
84	1000090	10090	阎罗王	null	null	0	1	1	null	null
85	1000091	10091	白骨精	null	null	0	1	1	null	null
86	1000092	10092	观音菩萨	null	null	0	1	1	null	null
13023	1100023	10023	无羁行者	null	54#300|61#300|62#300	0	0	2	16#6480	73023#1
30023	1100023	10023	无羁行者7天	null	54#300|61#300|62#300	7	0	2	16#6480	73023#1
13026	1100026	10026	青阳先知	null	54#300|61#300|62#300	0	0	2	16#6480	73026#1
30026	1100026	10026	青阳先知7天	null	54#300|61#300|62#300	7	0	2	16#6480	73026#1
13003	1100003	10003	荒土霸主	null	54#300|61#300|62#300	0	0	2	16#6480	73003#1
30003	1100003	10003	荒土霸主7天	null	54#300|61#300|62#300	7	0	2	16#6480	73003#1
13041	1100041	10041	发条迷城	null	54#300|61#300|62#300	0	0	2	16#6480	73041#1
30041	1100041	10041	发条迷城7天	null	54#300|61#300|62#300	7	0	2	16#6480	73041#1
13033	1100033	10033	瑞气春来	null	54#300|61#300|62#300	0	0	2	16#6480	73033#1
30033	1100033	10033	瑞气春来7天	null	54#300|61#300|62#300	7	0	2	16#6480	73033#1
