Id	Level	CharacterLevelPara	SpeedLevelPara	Consume	SumConsume	RankupReturn	UnlockSoul
100	100	0	0.0	14#120250|3#75388	14#3383622|3#1926110	0	1
101	101	0	0.0	14#123274|3#77552	14#3503872|3#2001498	0	0
102	102	0	0.0	14#126344|3#79756	14#3627146|3#2079050	0	0
103	103	0	0.0	14#129459|3#82001	14#3753490|3#2158806	0	0
104	104	0	0.0	14#132620|3#84287	14#3882949|3#2240807	0	0
105	105	0	0.0	14#135827|3#86613	14#4015569|3#2325094	0	0
106	106	0	0.0	14#139080|3#88981	14#4151396|3#2411707	0	0
107	107	0	0.0	14#142379|3#91390	14#4290476|3#2500688	0	0
108	108	0	0.0	14#145725|3#93841	14#4432855|3#2592078	0	0
109	109	0	0.0	14#149117|3#96335	14#4578580|3#2685919	0	0
110	110	0	0.0	14#152557|3#98871	14#4727697|3#2782254	0	0
111	111	0	0.0	14#156043|3#101450	14#4880254|3#2881125	0	0
112	112	0	0.0	14#159577|3#104073	14#5036297|3#2982575	0	0
113	113	0	0.0	14#163159|3#106739	14#5195874|3#3086648	0	0
114	114	0	0.0	14#166789|3#109449	14#5359033|3#3193387	0	0
115	115	0	0.0	14#170466|3#112204	14#5525822|3#3302836	0	0
116	116	0	0.0	14#174192|3#115003	14#5696288|3#3415040	0	0
117	117	0	0.0	14#177967|3#117847	14#5870480|3#3530043	0	0
118	118	0	0.0	14#181790|3#120737	14#6048447|3#3647890	0	0
119	119	0	0.0	14#185661|3#123672	14#6230237|3#3768627	0	0
120	120	0	0.0	14#189582|3#126653	14#6415898|3#3892299	0	0
121	121	0	0.0	14#193553|3#129680	14#6605480|3#4018952	0	0
122	122	0	0.0	14#197572|3#132754	14#6799033|3#4148632	0	0
123	123	0	0.0	14#201642|3#135875	14#6996605|3#4281386	0	0
124	124	0	0.0	14#205761|3#139043	14#7198247|3#4417261	0	0
125	125	0	0.0	14#209931|3#142258	14#7404008|3#4556304	0	0
126	126	0	0.0	14#214151|3#145522	14#7613939|3#4698562	0	0
127	127	0	0.0	14#218421|3#148834	14#7828090|3#4844084	0	0
128	128	0	0.0	14#222742|3#152194	14#8046511|3#4992918	0	0
129	129	0	0.0	14#227114|3#155603	14#8269253|3#5145112	0	0
130	130	0	0.0	14#231537|3#159062	14#8496367|3#5300715	0	0
131	131	0	0.0	14#236011|3#162570	14#8727904|3#5459777	0	0
132	132	0	0.0	14#240537|3#166128	14#8963915|3#5622347	0	0
133	133	0	0.0	14#245115|3#169736	14#9204452|3#5788475	0	0
134	134	0	0.0	14#249744|3#173395	14#9449567|3#5958211	0	0
135	135	0	0.0	14#254426|3#177104	14#9699311|3#6131606	0	0
136	136	0	0.0	14#259160|3#180865	14#9953737|3#6308710	0	0
137	137	0	0.0	14#263946|3#184677	14#10212897|3#6489575	0	0
138	138	0	0.0	14#268785|3#188541	14#10476843|3#6674252	0	0
139	139	0	0.0	14#273677|3#192457	14#10745628|3#6862793	0	0
140	140	0	0.0	14#278622|3#196425	14#11019305|3#7055250	0	0
141	141	0	0.0	14#283620|3#200446	14#11297927|3#7251675	0	0
142	142	0	0.0	14#288672|3#204520	14#11581547|3#7452121	0	0
143	143	0	0.0	14#293777|3#208648	14#11870219|3#7656641	0	0
144	144	0	0.0	14#298936|3#212830	14#12163996|3#7865289	0	0
145	145	0	0.0	14#304149|3#217065	14#12462932|3#8078119	0	0
146	146	0	0.0	14#309416|3#221355	14#12767081|3#8295184	0	0
147	147	0	0.0	14#314738|3#225699	14#13076497|3#8516539	0	0
148	148	0	0.0	14#320114|3#230099	14#13391235|3#8742238	0	0
149	149	0	0.0	14#325545|3#234553	14#13711349|3#8972337	0	0
150	150	0	0.0	14#331031|3#239064	14#14036894|3#9206890	0	0
151	151	0	0.0	14#336572|3#243630	14#14367925|3#9445954	0	0
152	152	0	0.0	14#342168|3#248253	14#14704497|3#9689584	0	0
153	153	0	0.0	14#347820|3#252932	14#15046665|3#9937837	0	0
154	154	0	0.0	14#353527|3#257668	14#15394485|3#10190769	0	0
155	155	0	0.0	14#359290|3#262461	14#15748012|3#10448437	0	0
156	156	0	0.0	14#365109|3#267312	14#16107302|3#10710898	0	0
157	157	0	0.0	14#370985|3#272221	14#16472411|3#10978210	0	0
158	158	0	0.0	14#376917|3#277188	14#16843396|3#11250431	0	0
159	159	0	0.0	14#382905|3#282213	14#17220313|3#11527619	0	0
160	160	0	0.0	14#388950|3#287297	14#17603218|3#11809832	0	0
161	161	0	0.0	14#395052|3#292441	14#17992168|3#12097129	0	0
162	162	0	0.0	14#401211|3#297643	14#18387220|3#12389570	0	0
163	163	0	0.0	14#407428|3#302906	14#18788431|3#12687213	0	0
164	164	0	0.0	14#413702|3#308228	14#19195859|3#12990119	0	0
165	165	0	0.0	14#420033|3#313611	14#19609561|3#13298347	0	0
166	166	0	0.0	14#426423|3#319054	14#20029594|3#13611958	0	0
167	167	0	0.0	14#432870|3#324559	14#20456017|3#13931012	0	0
168	168	0	0.0	14#439375|3#330124	14#20888887|3#14255571	0	0
169	169	0	0.0	14#445939|3#335752	14#21328262|3#14585695	0	0
170	170	0	0.0	14#452561|3#341441	14#21774201|3#14921447	0	0
171	171	0	0.0	14#459242|3#347192	14#22226762|3#15262888	0	0
172	172	0	0.0	14#465982|3#353006	14#22686004|3#15610080	0	0
173	173	0	0.0	14#472781|3#358883	14#23151986|3#15963086	0	0
174	174	0	0.0	14#479639|3#364823	14#23624767|3#16321969	0	0
175	175	0	0.0	14#486556|3#370827	14#24104406|3#16686792	0	0
176	176	0	0.0	14#493533|3#376894	14#24590962|3#17057619	0	0
177	177	0	0.0	14#500570|3#383025	14#25084495|3#17434513	0	0
178	178	0	0.0	14#507666|3#389221	14#25585065|3#17817538	0	0
179	179	0	0.0	14#514823|3#395481	14#26092731|3#18206759	0	0
180	180	0	0.0	14#522039|3#401807	14#26607554|3#18602240	0	0
181	181	0	0.0	14#529317|3#408198	14#27129593|3#19004047	0	0
182	182	0	0.0	14#536654|3#414654	14#27658910|3#19412245	0	0
183	183	0	0.0	14#544052|3#421177	14#28195564|3#19826899	0	0
184	184	0	0.0	14#551512|3#427765	14#28739616|3#20248076	0	0
185	185	0	0.0	14#559032|3#434420	14#29291128|3#20675841	0	0
186	186	0	0.0	14#566613|3#441142	14#29850160|3#21110261	0	0
187	187	0	0.0	14#574256|3#447932	14#30416773|3#21551403	0	0
188	188	0	0.0	14#581961|3#454788	14#30991029|3#21999335	0	0
189	189	0	0.0	14#589727|3#461713	14#31572990|3#22454123	0	0
190	190	0	0.0	14#597554|3#468706	14#32162717|3#22915836	0	0
191	191	0	0.0	14#605444|3#475767	14#32760271|3#23384542	0	0
192	192	0	0.0	14#613397|3#482896	14#33365715|3#23860309	0	0
193	193	0	0.0	14#621411|3#490095	14#33979112|3#24343205	0	0
194	194	0	0.0	14#629488|3#497363	14#34600523|3#24833300	0	0
195	195	0	0.0	14#637628|3#504701	14#35230011|3#25330663	0	0
196	196	0	0.0	14#645830|3#512108	14#35867639|3#25835364	0	0
197	197	0	0.0	14#654096|3#519586	14#36513469|3#26347472	0	0
198	198	0	0.0	14#662425|3#527134	14#37167565|3#26867058	0	0
199	199	0	0.0	14#670817|3#534753	14#37829990|3#27394192	0	0
200	200	0	0.0	14#679272|3#542444	14#38500807|3#27928945	0	0
201	201	0	0.0	14#687791|3#550206	14#39180079|3#28471389	0	0
202	202	0	0.0	14#696374|3#558039	14#39867870|3#29021595	0	0
203	203	0	0.0	14#705021|3#565945	14#40564244|3#29579634	0	0
204	204	0	0.0	14#713732|3#573923	14#41269265|3#30145579	0	0
205	205	0	0.0	14#722507|3#581973	14#41982997|3#30719502	0	0
206	206	0	0.0	14#731347|3#590097	14#42705504|3#31301475	0	0
207	207	0	0.0	14#740251|3#598293	14#43436851|3#31891572	0	0
208	208	0	0.0	14#749220|3#606564	14#44177102|3#32489865	0	0
209	209	0	0.0	14#758254|3#614908	14#44926322|3#33096429	0	0
210	210	0	0.0	14#767353|3#623327	14#45684576|3#33711337	0	0
211	211	0	0.0	14#776517|3#631819	14#46451929|3#34334664	0	0
212	212	0	0.0	14#785747|3#640387	14#47228446|3#34966483	0	0
213	213	0	0.0	14#795042|3#649030	14#48014193|3#35606870	0	0
214	214	0	0.0	14#804403|3#657748	14#48809235|3#36255900	0	0
215	215	0	0.0	14#813829|3#666542	14#49613638|3#36913648	0	0
216	216	0	0.0	14#823322|3#675411	14#50427467|3#37580190	0	0
217	217	0	0.0	14#832881|3#684358	14#51250789|3#38255601	0	0
218	218	0	0.0	14#842506|3#693380	14#52083670|3#38939959	0	0
219	219	0	0.0	14#852197|3#702480	14#52926176|3#39633339	0	0
220	220	0	0.0	14#861955|3#711656	14#53778373|3#40335819	0	0
221	221	0	0.0	14#871780|3#720910	14#54640328|3#41047475	0	0
222	222	0	0.0	14#881672|3#730242	14#55512108|3#41768385	0	0
223	223	0	0.0	14#891630|3#739652	14#56393780|3#42498627	0	0
224	224	0	0.0	14#901656|3#749141	14#57285410|3#43238279	0	0
225	225	0	0.0	14#911750|3#758708	14#58187066|3#43987420	0	0
226	226	0	0.0	14#921910|3#768354	14#59098816|3#44746128	0	0
227	227	0	0.0	14#932139|3#778079	14#60020726|3#45514482	0	0
228	228	0	0.0	14#942435|3#787884	14#60952865|3#46292561	0	0
229	229	0	0.0	14#952799|3#797769	14#61895300|3#47080445	0	0
230	230	0	0.0	14#963231|3#807734	14#62848099|3#47878214	0	0
231	231	0	0.0	14#973732|3#817779	14#63811330|3#48685948	0	0
232	232	0	0.0	14#984301|3#827905	14#64785062|3#49503727	0	0
233	233	0	0.0	14#994938|3#838112	14#65769363|3#50331632	0	0
234	234	0	0.0	14#1005644|3#848401	14#66764301|3#51169744	0	0
235	235	0	0.0	14#1016419|3#858771	14#67769945|3#52018145	0	0
236	236	0	0.0	14#1027263|3#869223	14#68786364|3#52876916	0	0
237	237	0	0.0	14#1038176|3#879757	14#69813627|3#53746139	0	0
238	238	0	0.0	14#1049159|3#890374	14#70851803|3#54625896	0	0
239	239	0	0.0	14#1060211|3#901074	14#71900962|3#55516270	0	0
240	240	0	0.0	14#1071332|3#911856	14#72961173|3#56417344	0	0
241	241	0	0.0	14#1082523|3#922723	14#74032505|3#57329200	0	0
242	242	0	0.0	14#1093784|3#933673	14#75115028|3#58251923	0	0
243	243	0	0.0	14#1105115|3#944707	14#76208812|3#59185596	0	0
244	244	0	0.0	14#1116516|3#955825	14#77313927|3#60130303	0	0
245	245	0	0.0	14#1127987|3#967028	14#78430443|3#61086128	0	0
246	246	0	0.0	14#1139529|3#978316	14#79558430|3#62053156	0	0
247	247	0	0.0	14#1151142|3#989689	14#80697959|3#63031472	0	0
248	248	0	0.0	14#1162825|3#1001147	14#81849101|3#64021161	0	0
249	249	0	0.0	14#1174579|3#1012691	14#83011926|3#65022308	0	0
250	250	0	0.0	14#1186404|3#1024322	14#84186505|3#66034999	0	0
251	251	0	0.0	14#1198300|3#1036038	14#85372909|3#67059321	0	0
252	252	0	0.0	14#1210267|3#1047842	14#86571209|3#68095359	0	0
253	253	0	0.0	14#1222306|3#1059732	14#87781476|3#69143201	0	0
254	254	0	0.0	14#1234417|3#1071710	14#89003782|3#70202933	0	0
255	255	0	0.0	14#1246599|3#1429604	14#90238199|3#71274643	0	0
256	256	0	0.0	14#1258853|3#1445919	14#91484798|3#72704247	0	0
257	257	0	0.0	14#1271179|3#1462355	14#92743651|3#74150166	0	0
258	258	0	0.0	14#1283577|3#1478913	14#94014830|3#75612521	0	0
259	259	0	0.0	14#1296047|3#1495594	14#95298407|3#77091434	0	0
260	260	0	0.0	14#1308590|3#1512398	14#96594454|3#78587028	0	0
261	261	0	0.0	14#1321206|3#1529325	14#97903044|3#80099426	0	0
262	262	0	0.0	14#1333894|3#1546375	14#99224250|3#81628751	0	0
263	263	0	0.0	14#1346655|3#1563550	14#100558144|3#83175126	0	0
264	264	0	0.0	14#1359489|3#1580849	14#101904799|3#84738676	0	0
265	265	0	0.0	14#1372396|3#1598273	14#103264288|3#86319525	0	0
266	266	0	0.0	14#1385376|3#1615822	14#104636684|3#87917798	0	0
267	267	0	0.0	14#1398430|3#1633497	14#106022060|3#89533620	0	0
268	268	0	0.0	14#1411557|3#1651299	14#107420490|3#91167117	0	0
269	269	0	0.0	14#1424758|3#1669227	14#108832047|3#92818416	0	0
270	270	0	0.0	14#1438033|3#1687282	14#110256805|3#94487643	0	0
271	271	0	0.0	14#1451381|3#1705464	14#111694838|3#96174925	0	0
272	272	0	0.0	14#1464804|3#1723775	14#113146219|3#97880389	0	0
273	273	0	0.0	14#1478301|3#1742214	14#114611023|3#99604164	0	0
274	274	0	0.0	14#1491872|3#1760781	14#116089324|3#101346378	0	0
275	275	0	0.0	14#1505518|3#1779478	14#117581196|3#103107159	0	0
276	276	0	0.0	14#1519238|3#1798304	14#119086714|3#104886637	0	0
277	277	0	0.0	14#1533034|3#1817261	14#120605952|3#106684941	0	0
278	278	0	0.0	14#1546904|3#1836348	14#122138986|3#108502202	0	0
279	279	0	0.0	14#1560849|3#1855566	14#123685890|3#110338550	0	0
280	280	0	0.0	14#1574857|3#1874910	14#125246739|3#112194116	0	0
281	281	0	0.0	14#1588927|3#1894380	14#126821596|3#114069026	0	0
282	282	0	0.0	14#1603059|3#1913976	14#128410523|3#115963406	0	0
283	283	0	0.0	14#1617252|3#1933697	14#130013582|3#117877382	0	0
284	284	0	0.0	14#1631505|3#1953543	14#131630834|3#119811079	0	0
285	285	0	0.0	14#1645818|3#1973514	14#133262339|3#121764622	0	0
286	286	0	0.0	14#1660190|3#1993609	14#134908157|3#123738136	0	0
287	287	0	0.0	14#1674620|3#2013828	14#136568347|3#125731745	0	0
288	288	0	0.0	14#1689108|3#2034171	14#138242967|3#127745573	0	0
289	289	0	0.0	14#1703653|3#2054637	14#139932075|3#129779744	0	0
290	290	0	0.0	14#1718254|3#2075226	14#141635728|3#131834381	0	0
291	291	0	0.0	14#1732911|3#2095937	14#143353982|3#133909607	0	0
292	292	0	0.0	14#1747623|3#2116770	14#145086893|3#136005544	0	0
293	293	0	0.0	14#1762389|3#2137724	14#146834516|3#138122314	0	0
294	294	0	0.0	14#1777209|3#2158799	14#148596905|3#140260038	0	0
295	295	0	0.0	14#1792082|3#2179994	14#150374114|3#142418837	0	0
296	296	0	0.0	14#1807007|3#2201309	14#152166196|3#144598831	0	0
297	297	0	0.0	14#1821983|3#2222743	14#153973203|3#146800140	0	0
298	298	0	0.0	14#1837010|3#2244296	14#155795186|3#149022883	0	0
299	299	0	0.0	14#1852087|3#2265967	14#157632196|3#151267179	0	0
300	300	0	0.0	14#1867213|3#2287756	14#159484283|3#153533146	0	0
301	301	0	0.0	14#1882387|3#2309662	14#161351496|3#155820902	0	0
302	302	0	0.0	14#1897608|3#2331684	14#163233883|3#158130564	0	0
303	303	0	0.0	14#1912875|3#2353822	14#165131491|3#160462248	0	0
304	304	0	0.0	14#1928188|3#2376075	14#167044366|3#162816070	0	0
305	305	0	0.0	14#1943546|3#2398442	14#168972554|3#165192145	0	0
306	306	0	0.0	14#1958948|3#2420923	14#170916100|3#167590587	0	0
307	307	0	0.0	14#1974393|3#2443517	14#172875048|3#170011510	0	0
308	308	0	0.0	14#1989880|3#2466223	14#174849441|3#172455027	0	0
309	309	0	0.0	14#2005408|3#2489040	14#176839321|3#174921250	0	0
310	310	0	0.0	14#2020976|3#2511968	14#178844729|3#177410290	0	0
311	311	0	0.0	14#2036583|3#2535006	14#180865705|3#179922258	0	0
312	312	0	0.0	14#2052228|3#2558153	14#182902288|3#182457264	0	0
313	313	0	0.0	14#2067910|3#2581408	14#184954516|3#185015417	0	0
314	314	0	0.0	14#2083628|3#2604770	14#187022426|3#187596825	0	0
315	315	0	0.0	14#2099381|3#2628238	14#189106054|3#190201595	0	0
316	316	0	0.0	14#2115168|3#2651811	14#191205435|3#192829833	0	0
317	317	0	0.0	14#2130988|3#2675488	14#193320603|3#195481644	0	0
318	318	0	0.0	14#2146840|3#2699268	14#195451591|3#198157132	0	0
319	319	0	0.0	14#2162723|3#2723150	14#197598431|3#200856400	0	0
320	320	0	0.0	14#2178636|3#2747133	14#199761154|3#203579550	0	0
321	321	0	0.0	14#2194578|3#2771216	14#201939790|3#206326683	0	0
322	322	0	0.0	14#2210548|3#2795398	14#204134368|3#209097899	0	0
323	323	0	0.0	14#2226545|3#2819678	14#206344916|3#211893297	0	0
324	324	0	0.0	14#2242568|3#2844055	14#208571461|3#214712975	0	0
325	325	0	0.0	14#2258616|3#2868528	14#210814029|3#217557030	0	0
326	326	0	0.0	14#2274688|3#2893096	14#213072645|3#220425558	0	0
327	327	0	0.0	14#2290783|3#2917758	14#215347333|3#223318654	0	0
328	328	0	0.0	14#2306900|3#2942512	14#217638116|3#226236412	0	0
329	329	0	0.0	14#2323037|3#2967357	14#219945016|3#229178924	0	0
330	330	0	0.0	14#2339193|3#2992292	14#222268053|3#232146281	0	0
331	331	0	0.0	14#2355367|3#3017316	14#224607246|3#235138573	0	0
332	332	0	0.0	14#2371558|3#3042427	14#226962613|3#238155889	0	0
333	333	0	0.0	14#2387765|3#3067624	14#229334171|3#241198316	0	0
334	334	0	0.0	14#2403986|3#3092906	14#231721936|3#244265940	0	0
335	335	0	0.0	14#2420220|3#3118272	14#234125922|3#247358846	0	0
336	336	0	0.0	14#2436466|3#3143720	14#236546142|3#250477118	0	0
337	337	0	0.0	14#2452723|3#3169249	14#238982608|3#253620838	0	0
338	338	0	0.0	14#2468990|3#3194857	14#241435331|3#256790087	0	0
339	339	0	0.0	14#2485265|3#3220543	14#243904321|3#259984944	0	0
340	340	0	0.0	null	14#246389586|3#263205487	0	0
