Id	HeroId	Star	RankupReturn	ReturnHero	ReturnConsume
88	10004	1	14#10000|4#50	10055#2|10001#2	16#50
89	10005	1	14#10000|4#50	10055#2|10001#2	16#50
90	10006	1	14#10000|4#50	10055#2|10001#2	16#50
91	10007	1	14#10000|4#50	10055#2|10001#2	16#50
92	10008	1	14#10000|4#50	10055#2|10001#2	16#50
93	10009	1	14#10000|4#50	10055#2|10001#2	16#50
94	10010	1	14#10000|4#50	10055#2|10001#2	16#50
95	10011	1	14#10000|4#50	10055#2|10001#2	16#50
96	10012	1	14#10000|4#50	10055#2|10001#2	16#50
97	10013	1	14#10000|4#50	10055#2|10001#2	16#50
98	10014	1	14#10000|4#50	10055#2|10001#2	16#50
99	10015	1	14#10000|4#50	10055#2|10001#2	16#50
100	10016	1	14#10000|4#50	10055#2|10001#2	16#50
101	10017	1	14#10000|4#50	10055#2|10001#2	16#50
102	10018	1	14#10000|4#50	10055#2|10001#2	16#50
103	10019	1	14#10000|4#50	10055#2|10001#2	16#50
104	10020	1	14#10000|4#50	10055#2|10001#2	16#50
105	10021	1	14#10000|4#50	10055#2|10001#2	16#50
106	10022	1	14#10000|4#50	10055#2|10001#2	16#50
107	10023	1	14#10000|4#50	10055#2|10001#2	16#50
108	10024	1	14#10000|4#50	10055#2|10001#2	16#50
109	10025	1	14#10000|4#50	10055#2|10001#2	16#50
110	10026	1	14#10000|4#50	10055#2|10001#2	16#50
111	10027	1	14#10000|4#50	10055#2|10001#2	16#50
112	10028	1	14#10000|4#50	10055#2|10001#2	16#50
113	10029	1	14#10000|4#50	10055#2|10001#2	16#50
114	10030	1	14#10000|4#50	10055#2|10001#2	16#50
115	10031	1	14#10000|4#50	10055#2|10001#2	16#50
116	10032	1	14#10000|4#50	10055#2|10001#2	16#50
117	10033	1	14#10000|4#50	10055#2|10001#2	16#50
118	10034	1	14#10000|4#50	10055#2|10001#2	16#50
119	10035	1	14#10000|4#50	10055#2|10001#2	16#50
120	10036	1	14#10000|4#50	10055#2|10001#2	16#50
121	10037	1	14#10000|4#50	10055#2|10001#2	16#50
122	10038	1	14#10000|4#50	10055#2|10001#2	16#50
123	10039	1	14#10000|4#50	10055#2|10001#2	16#50
124	10040	1	14#10000|4#50	10055#2|10001#2	16#50
125	10041	1	14#10000|4#50	10055#2|10001#2	16#50
126	10042	1	14#10000|4#50	10055#2|10001#2	16#50
127	10043	1	14#10000|4#50	10055#2|10001#2	16#50
128	10044	1	14#10000|4#50	10055#2|10001#2	16#50
129	10045	1	14#10000|4#50	10055#2|10001#2	16#50
130	10046	1	14#10000|4#50	10055#2|10001#2	16#50
131	10047	1	14#10000|4#50	10055#2|10001#2	16#50
132	10048	1	14#10000|4#50	10055#2|10001#2	16#50
133	10049	1	14#10000|4#50	10055#2|10001#2	16#50
134	10050	1	14#10000|4#50	10055#2|10001#2	16#50
135	10051	1	14#10000|4#50	10055#2|10001#2	16#50
136	10052	1	14#10000|4#50	10055#2|10001#2	16#50
137	10053	1	14#10000|4#50	10055#2|10001#2	16#50
138	10054	1	14#10000|4#50	10055#2|10001#2	16#50
139	10057	1	14#10000|4#50	10055#2|10001#2	16#50
140	10058	1	14#10000|4#50	10055#2|10001#2	16#50
141	10059	1	14#10000|4#50	10055#2|10001#2	16#50
142	10060	1	14#10000|4#50	10055#2|10001#2	16#50
143	10061	1	14#10000|4#50	10055#2|10001#2	16#50
144	10062	1	14#10000|4#50	10055#2|10001#2	16#50
145	10063	1	14#10000|4#50	10055#2|10001#2	16#50
146	10064	1	14#10000|4#50	10055#2|10001#2	16#50
147	10065	1	14#10000|4#50	10055#2|10001#2	16#50
148	10066	1	14#10000|4#50	10055#2|10001#2	16#50
149	10067	1	14#10000|4#50	10055#2|10001#2	16#50
150	10068	1	14#10000|4#50	10055#2|10001#2	16#50
151	10069	1	14#10000|4#50	10055#2|10001#2	16#50
152	10070	1	14#10000|4#50	10055#2|10001#2	16#50
153	10071	1	14#10000|4#50	10055#2|10001#2	16#50
154	10072	1	14#10000|4#50	10055#2|10001#2	16#50
155	10073	1	14#10000|4#50	10055#2|10001#2	16#50
156	10074	1	14#10000|4#50	10055#2|10001#2	16#50
157	10075	1	14#10000|4#50	10055#2|10001#2	16#50
158	10076	1	14#10000|4#50	10055#2|10001#2	16#50
159	10079	1	14#10000|4#50	10055#2|10001#2	16#50
160	10080	1	14#10000|4#50	10055#2|10001#2	16#50
161	10081	1	14#10000|4#50	10055#2|10001#2	16#50
162	10082	1	14#10000|4#50	10055#2|10001#2	16#50
163	10085	1	14#10000|4#50	10055#2|10001#2	16#50
164	10086	1	14#10000|4#50	10055#2|10001#2	16#50
165	10087	1	14#10000|4#50	10055#2|10001#2	16#50
166	10088	1	14#10000|4#50	10055#2|10001#2	16#50
167	10089	1	14#10000|4#50	10055#2|10001#2	16#50
168	10090	1	14#10000|4#50	10055#2|10001#2	16#50
169	10001	2	14#30000|4#150	10055#3|10001#3	16#50
170	10002	2	14#30000|4#150	10055#3|10001#3	16#50
171	10003	2	14#30000|4#150	10055#3|10001#3	16#50
172	10004	2	14#30000|4#150	10055#3|10001#3	16#50
173	10005	2	14#30000|4#150	10055#3|10001#3	16#50
174	10006	2	14#30000|4#150	10055#3|10001#3	16#50
175	10007	2	14#30000|4#150	10055#3|10001#3	16#50
176	10008	2	14#30000|4#150	10055#3|10001#3	16#50
177	10009	2	14#30000|4#150	10055#3|10001#3	16#50
178	10010	2	14#30000|4#150	10055#3|10001#3	16#50
179	10011	2	14#30000|4#150	10055#3|10001#3	16#50
180	10012	2	14#30000|4#150	10055#3|10001#3	16#50
181	10013	2	14#30000|4#150	10055#3|10001#3	16#50
182	10014	2	14#30000|4#150	10055#3|10001#3	16#50
183	10015	2	14#30000|4#150	10055#3|10001#3	16#50
184	10016	2	14#30000|4#150	10055#3|10001#3	16#50
185	10017	2	14#30000|4#150	10055#3|10001#3	16#50
186	10018	2	14#30000|4#150	10055#3|10001#3	16#50
187	10019	2	14#30000|4#150	10055#3|10001#3	16#50
188	10020	2	14#30000|4#150	10055#3|10001#3	16#50
189	10021	2	14#30000|4#150	10055#3|10001#3	16#50
190	10022	2	14#30000|4#150	10055#3|10001#3	16#50
191	10023	2	14#30000|4#150	10055#3|10001#3	16#50
192	10024	2	14#30000|4#150	10055#3|10001#3	16#50
193	10025	2	14#30000|4#150	10055#3|10001#3	16#50
194	10026	2	14#30000|4#150	10055#3|10001#3	16#50
195	10027	2	14#30000|4#150	10055#3|10001#3	16#50
196	10028	2	14#30000|4#150	10055#3|10001#3	16#50
197	10029	2	14#30000|4#150	10055#3|10001#3	16#50
198	10030	2	14#30000|4#150	10055#3|10001#3	16#50
199	10031	2	14#30000|4#150	10055#3|10001#3	16#50
200	10032	2	14#30000|4#150	10055#3|10001#3	16#50
201	10033	2	14#30000|4#150	10055#3|10001#3	16#50
202	10034	2	14#30000|4#150	10055#3|10001#3	16#50
203	10035	2	14#30000|4#150	10055#3|10001#3	16#50
204	10036	2	14#30000|4#150	10055#3|10001#3	16#50
205	10037	2	14#30000|4#150	10055#3|10001#3	16#50
206	10038	2	14#30000|4#150	10055#3|10001#3	16#50
207	10039	2	14#30000|4#150	10055#3|10001#3	16#50
208	10040	2	14#30000|4#150	10055#3|10001#3	16#50
209	10041	2	14#30000|4#150	10055#3|10001#3	16#50
210	10042	2	14#30000|4#150	10055#3|10001#3	16#50
211	10043	2	14#30000|4#150	10055#3|10001#3	16#50
212	10044	2	14#30000|4#150	10055#3|10001#3	16#50
213	10045	2	14#30000|4#150	10055#3|10001#3	16#50
214	10046	2	14#30000|4#150	10055#3|10001#3	16#50
215	10047	2	14#30000|4#150	10055#3|10001#3	16#50
216	10048	2	14#30000|4#150	10055#3|10001#3	16#50
217	10049	2	14#30000|4#150	10055#3|10001#3	16#50
218	10050	2	14#30000|4#150	10055#3|10001#3	16#50
219	10051	2	14#30000|4#150	10055#3|10001#3	16#50
220	10052	2	14#30000|4#150	10055#3|10001#3	16#50
221	10053	2	14#30000|4#150	10054#3|10002#3	16#50
222	10054	2	14#30000|4#150	10056#3|10003#3	16#50
223	10057	2	14#30000|4#150	10054#3|10004#3	16#50
224	10058	2	14#30000|4#150	10056#3|10005#3	16#50
225	10059	2	14#30000|4#150	10053#3|10006#3	16#50
226	10060	2	14#30000|4#150	10055#3|10007#3	16#50
227	10061	2	14#30000|4#150	10054#3|10008#3	16#50
228	10062	2	14#30000|4#150	10055#3|10009#3	16#50
229	10063	2	14#30000|4#150	10055#3|10010#3	16#50
230	10064	2	14#30000|4#150	10056#3|10011#3	16#50
231	10065	2	14#30000|4#150	10053#3|10012#3	16#50
232	10066	2	14#30000|4#150	10056#3|10013#3	16#50
233	10067	2	14#30000|4#150	10058#3|10014#3	16#50
234	10068	2	14#30000|4#150	10057#3|10015#3	16#50
235	10069	2	14#30000|4#150	10053#3|10016#3	16#50
236	10070	2	14#30000|4#150	10055#3|10017#3	16#50
237	10071	2	14#30000|4#150	10056#3|10018#3	16#50
238	10072	2	14#30000|4#150	10054#3|10019#3	16#50
239	10073	2	14#30000|4#150	10053#3|10020#3	16#50
240	10074	2	14#30000|4#150	10056#3|10021#3	16#50
241	10075	2	14#30000|4#150	10054#3|10022#3	16#50
242	10076	2	14#30000|4#150	10055#3|10023#3	16#50
243	10079	2	14#30000|4#150	10048#2|10065#2	16#50
244	10080	2	14#30000|4#150	10047#2|10066#2	16#50
245	10081	2	14#30000|4#150	10051#2|10067#2	16#50
246	10082	2	14#30000|4#150	10051#2|10068#2	16#50
247	10085	2	14#30000|4#150	10051#2|10069#2	16#50
248	10086	2	14#30000|4#150	10050#2|10070#2	16#50
249	10087	2	14#30000|4#150	10048#2|10071#2	16#50
250	10088	2	14#30000|4#150	10050#2|10072#2	16#50
251	10089	2	14#30000|4#150	10050#2|10073#2	16#50
252	10090	2	14#30000|4#150	10048#2|10074#2	16#50
253	10001	3	14#70000|4#350	10055#2|10001#2	16#50
254	10002	3	14#70000|4#350	10055#2|10001#2	16#50
255	10003	3	14#70000|4#350	10055#2|10001#2	16#50
256	10004	3	14#70000|4#350	10055#2|10001#2	16#50
257	10005	3	14#70000|4#350	10055#2|10001#2	16#50
258	10006	3	14#70000|4#350	10055#2|10001#2	16#50
259	10007	3	14#70000|4#350	10055#2|10001#2	16#50
260	10008	3	14#70000|4#350	10055#2|10001#2	16#50
261	10009	3	14#70000|4#350	10055#2|10001#2	16#50
262	10010	3	14#70000|4#350	10055#2|10001#2	16#50
263	10011	3	14#70000|4#350	10055#2|10001#2	16#50
264	10012	3	14#70000|4#350	10055#2|10001#2	16#50
265	10013	3	14#70000|4#350	10055#2|10001#2	16#50
266	10014	3	14#70000|4#350	10055#2|10001#2	16#50
267	10015	3	14#70000|4#350	10055#2|10001#2	16#50
268	10016	3	14#70000|4#350	10055#2|10001#2	16#50
269	10017	3	14#70000|4#350	10055#2|10001#2	16#50
270	10018	3	14#70000|4#350	10055#2|10001#2	16#50
271	10019	3	14#70000|4#350	10055#2|10001#2	16#50
272	10020	3	14#70000|4#350	10055#2|10001#2	16#50
273	10021	3	14#70000|4#350	10055#2|10001#2	16#50
274	10022	3	14#70000|4#350	10055#2|10001#2	16#50
275	10023	3	14#70000|4#350	10055#2|10001#2	16#50
276	10024	3	14#70000|4#350	10055#2|10001#2	16#50
277	10025	3	14#70000|4#350	10055#2|10001#2	16#50
278	10026	3	14#70000|4#350	10055#2|10001#2	16#50
279	10027	3	14#70000|4#350	10055#2|10001#2	16#50
280	10028	3	14#70000|4#350	10055#2|10001#2	16#50
281	10029	3	14#70000|4#350	10055#2|10001#2	16#50
282	10030	3	14#70000|4#350	10055#2|10001#2	16#50
283	10031	3	14#70000|4#350	10055#2|10001#2	16#50
284	10032	3	14#70000|4#350	10055#2|10001#2	16#50
285	10033	3	14#70000|4#350	10055#2|10001#2	16#50
286	10034	3	14#70000|4#350	10055#2|10001#2	16#50
287	10035	3	14#70000|4#350	10055#2|10001#2	16#50
288	10036	3	14#70000|4#350	10055#2|10001#2	16#50
289	10037	3	14#70000|4#350	10055#2|10001#2	16#50
290	10038	3	14#70000|4#350	10055#2|10001#2	16#50
291	10039	3	14#70000|4#350	10055#2|10001#2	16#50
292	10040	3	14#70000|4#350	10055#2|10001#2	16#50
293	10041	3	14#70000|4#350	10055#2|10001#2	16#50
294	10042	3	14#70000|4#350	10055#2|10001#2	16#50
295	10043	3	14#70000|4#350	10055#2|10001#2	16#50
296	10044	3	14#70000|4#350	10055#2|10001#2	16#50
297	10045	3	14#70000|4#350	10055#2|10001#2	16#50
298	10046	3	14#70000|4#350	10055#2|10001#2	16#50
299	10047	3	14#70000|4#350	10055#2|10001#2	16#50
300	10048	3	14#70000|4#350	10055#2|10001#2	16#50
301	10049	3	14#70000|4#350	10055#2|10001#2	16#50
302	10050	3	14#70000|4#350	10055#2|10001#2	16#50
303	10051	3	14#70000|4#350	10055#2|10001#2	16#50
304	10052	3	14#70000|4#350	10055#2|10001#2	16#50
305	10053	3	14#70000|4#350	10055#2|10001#2	16#50
306	10054	3	14#70000|4#350	10055#2|10001#2	16#50
307	10057	3	14#70000|4#350	10055#2|10001#2	16#50
308	10058	3	14#70000|4#350	10055#2|10001#2	16#50
309	10059	3	14#70000|4#350	10055#2|10001#2	16#50
310	10060	3	14#70000|4#350	10055#2|10001#2	16#50
311	10061	3	14#70000|4#350	10055#2|10001#2	16#50
312	10062	3	14#70000|4#350	10055#2|10001#2	16#50
313	10063	3	14#70000|4#350	10055#2|10001#2	16#50
314	10064	3	14#70000|4#350	10055#2|10001#2	16#50
315	10065	3	14#70000|4#350	10055#2|10001#2	16#50
316	10066	3	14#70000|4#350	10055#2|10001#2	16#50
317	10067	3	14#70000|4#350	10055#2|10001#2	16#50
318	10068	3	14#70000|4#350	10055#2|10001#2	16#50
319	10069	3	14#70000|4#350	10055#2|10001#2	16#50
320	10070	3	14#70000|4#350	10055#2|10001#2	16#50
321	10071	3	14#70000|4#350	10055#2|10001#2	16#50
322	10072	3	14#70000|4#350	10055#2|10001#2	16#50
323	10073	3	14#70000|4#350	10055#2|10001#2	16#50
324	10074	3	14#70000|4#350	10055#2|10001#2	16#50
325	10075	3	14#70000|4#350	10055#2|10001#2	16#50
326	10076	3	14#70000|4#350	10055#2|10001#2	16#50
327	10079	3	14#70000|4#350	10055#2|10001#2	16#50
328	10080	3	14#70000|4#350	10055#2|10001#2	16#50
329	10081	3	14#70000|4#350	10055#2|10001#2	16#50
330	10082	3	14#70000|4#350	10055#2|10001#2	16#50
331	10085	3	14#70000|4#350	10055#2|10001#2	16#50
332	10086	3	14#70000|4#350	10055#2|10001#2	16#50
333	10087	3	14#70000|4#350	10055#2|10001#2	16#50
334	10088	3	14#70000|4#350	10055#2|10001#2	16#50
335	10089	3	14#70000|4#350	10055#2|10001#2	16#50
336	10090	3	14#70000|4#350	10055#2|10001#2	16#50
337	10001	4	14#170000|4#850	10055#3|10001#3	16#50
338	10002	4	14#170000|4#850	10054#3|10002#3	16#50
339	10003	4	14#170000|4#850	10056#3|10003#3	16#50
340	10004	4	14#170000|4#850	10054#3|10004#3	16#50
341	10005	4	14#170000|4#850	10056#3|10005#3	16#50
342	10006	4	14#170000|4#850	10053#3|10006#3	16#50
343	10007	4	14#170000|4#850	10055#3|10007#3	16#50
344	10008	4	14#170000|4#850	10054#3|10008#3	16#50
345	10009	4	14#170000|4#850	10055#3|10009#3	16#50
346	10010	4	14#170000|4#850	10055#3|10010#3	16#50
347	10011	4	14#170000|4#850	10056#3|10011#3	16#50
348	10012	4	14#170000|4#850	10053#3|10012#3	16#50
349	10013	4	14#170000|4#850	10056#3|10013#3	16#50
350	10014	4	14#170000|4#850	10058#3|10014#3	16#50
351	10015	4	14#170000|4#850	10057#3|10015#3	16#50
352	10016	4	14#170000|4#850	10053#3|10016#3	16#50
353	10017	4	14#170000|4#850	10055#3|10017#3	16#50
354	10018	4	14#170000|4#850	10056#3|10018#3	16#50
355	10019	4	14#170000|4#850	10054#3|10019#3	16#50
356	10020	4	14#170000|4#850	10053#3|10020#3	16#50
357	10021	4	14#170000|4#850	10056#3|10021#3	16#50
358	10022	4	14#170000|4#850	10054#3|10022#3	16#50
359	10023	4	14#170000|4#850	10055#3|10023#3	16#50
360	10024	4	14#170000|4#850	10048#3|10065#3	16#50
361	10025	4	14#170000|4#850	10047#3|10066#3	16#50
362	10026	4	14#170000|4#850	10051#3|10067#3	16#50
363	10027	4	14#170000|4#850	10051#3|10068#3	16#50
364	10028	4	14#170000|4#850	10051#3|10069#3	16#50
365	10029	4	14#170000|4#850	10050#3|10070#3	16#50
366	10030	4	14#170000|4#850	10048#3|10071#3	16#50
367	10031	4	14#170000|4#850	10050#3|10072#3	16#50
368	10032	4	14#170000|4#850	10050#3|10073#3	16#50
369	10033	4	14#170000|4#850	10048#3|10074#3	16#50
370	10034	4	14#170000|4#850	10052#3|10075#3	16#50
371	10035	4	14#170000|4#850	10052#3|10076#3	16#50
372	10036	4	14#170000|4#850	10049#3|10077#3	16#50
373	10037	4	14#170000|4#850	10049#3|10078#3	16#50
374	10038	4	14#170000|4#850	10047#3|10079#3	16#50
375	10039	4	14#170000|4#850	10049#3|10080#3	16#50
376	10040	4	14#170000|4#850	10047#3|10081#3	16#50
377	10041	4	14#170000|4#850	10047#3|10082#3	16#50
378	10042	4	14#170000|4#850	10048#3|10083#3	16#50
379	10043	4	14#170000|4#850	10049#3|10084#3	16#50
380	10044	4	14#170000|4#850	10052#3|10085#3	16#50
381	10045	4	14#170000|4#850	10050#3|10086#3	16#50
382	10046	4	14#170000|4#850	10051#3|10087#3	16#50
383	10047	4	14#170000|4#850	10047#3|10088#3	16#50
384	10048	4	14#170000|4#850	10048#3|10089#3	16#50
385	10049	4	14#170000|4#850	10049#3|10090#3	16#50
386	10050	4	14#170000|4#850	10050#3|10091#3	16#50
387	10051	4	14#170000|4#850	10051#3|10092#3	16#50
388	10052	4	14#170000|4#850	10052#3|10093#3	16#50
389	10053	4	14#170000|4#850	10051#3|10092#4	16#50
390	10054	4	14#170000|4#850	10052#3|10093#4	16#50
391	10057	4	14#170000|4#850	10051#3|10092#5	16#50
392	10058	4	14#170000|4#850	10052#3|10093#5	16#50
393	10059	4	14#170000|4#850	10051#3|10092#6	16#50
394	10060	4	14#170000|4#850	10052#3|10093#6	16#50
395	10061	4	14#170000|4#850	10051#3|10092#7	16#50
396	10062	4	14#170000|4#850	10052#3|10093#7	16#50
397	10063	4	14#170000|4#850	10051#3|10092#8	16#50
398	10064	4	14#170000|4#850	10052#3|10093#8	16#50
399	10065	4	14#170000|4#850	10051#3|10092#9	16#50
400	10066	4	14#170000|4#850	10052#3|10093#9	16#50
401	10067	4	14#170000|4#850	10051#3|10092#10	16#50
402	10068	4	14#170000|4#850	10052#3|10093#10	16#50
403	10069	4	14#170000|4#850	10051#3|10092#11	16#50
404	10070	4	14#170000|4#850	10052#3|10093#11	16#50
405	10071	4	14#170000|4#850	10051#3|10092#12	16#50
406	10072	4	14#170000|4#850	10052#3|10093#12	16#50
407	10073	4	14#170000|4#850	10051#3|10092#13	16#50
408	10074	4	14#170000|4#850	10052#3|10093#13	16#50
409	10075	4	14#170000|4#850	10051#3|10092#14	16#50
410	10076	4	14#170000|4#850	10052#3|10093#14	16#50
411	10079	4	14#170000|4#850	10051#3|10092#15	16#50
412	10080	4	14#170000|4#850	10052#3|10093#15	16#50
413	10081	4	14#170000|4#850	10051#3|10092#16	16#50
414	10082	4	14#170000|4#850	10052#3|10093#16	16#50
415	10085	4	14#170000|4#850	10051#3|10092#17	16#50
416	10086	4	14#170000|4#850	10052#3|10093#17	16#50
417	10087	4	14#170000|4#850	10051#3|10092#18	16#50
418	10088	4	14#170000|4#850	10052#3|10093#18	16#50
419	10089	4	14#170000|4#850	10051#3|10092#19	16#50
420	10090	4	14#170000|4#850	10052#3|10093#19	16#50
421	10001	5	14#370000|4#1850	10055#2|10001#2	16#50
422	10002	5	14#370000|4#1850	10054#2|10002#2	16#50
423	10003	5	14#370000|4#1850	10056#2|10003#2	16#50
424	10004	5	14#370000|4#1850	10054#2|10004#2	16#50
425	10005	5	14#370000|4#1850	10056#2|10005#2	16#50
426	10006	5	14#370000|4#1850	10053#2|10006#2	16#50
427	10007	5	14#370000|4#1850	10055#2|10007#2	16#50
428	10008	5	14#370000|4#1850	10054#2|10008#2	16#50
429	10009	5	14#370000|4#1850	10055#2|10009#2	16#50
430	10010	5	14#370000|4#1850	10055#2|10010#2	16#50
431	10011	5	14#370000|4#1850	10056#2|10011#2	16#50
432	10012	5	14#370000|4#1850	10053#2|10012#2	16#50
433	10013	5	14#370000|4#1850	10056#2|10013#2	16#50
434	10014	5	14#370000|4#1850	10058#2|10014#2	16#50
435	10015	5	14#370000|4#1850	10057#2|10015#2	16#50
436	10016	5	14#370000|4#1850	10053#2|10016#2	16#50
437	10017	5	14#370000|4#1850	10055#2|10017#2	16#50
438	10018	5	14#370000|4#1850	10056#2|10018#2	16#50
439	10019	5	14#370000|4#1850	10054#2|10019#2	16#50
440	10020	5	14#370000|4#1850	10053#2|10020#2	16#50
441	10021	5	14#370000|4#1850	10056#2|10021#2	16#50
442	10022	5	14#370000|4#1850	10054#2|10022#2	16#50
443	10023	5	14#370000|4#1850	10055#2|10023#2	16#50
444	10024	5	14#370000|4#1850	10048#4|10065#4	16#50
445	10025	5	14#370000|4#1850	10047#4|10066#4	16#50
446	10026	5	14#370000|4#1850	10051#4|10067#4	16#50
447	10027	5	14#370000|4#1850	10051#4|10068#4	16#50
448	10028	5	14#370000|4#1850	10051#4|10069#4	16#50
449	10029	5	14#370000|4#1850	10050#4|10070#4	16#50
450	10030	5	14#370000|4#1850	10048#4|10071#4	16#50
451	10031	5	14#370000|4#1850	10050#4|10072#4	16#50
452	10032	5	14#370000|4#1850	10050#4|10073#4	16#50
453	10033	5	14#370000|4#1850	10048#4|10074#4	16#50
454	10034	5	14#370000|4#1850	10052#4|10075#4	16#50
455	10035	5	14#370000|4#1850	10052#4|10076#4	16#50
456	10036	5	14#370000|4#1850	10049#4|10077#4	16#50
457	10037	5	14#370000|4#1850	10049#4|10078#4	16#50
458	10038	5	14#370000|4#1850	10047#4|10079#4	16#50
459	10039	5	14#370000|4#1850	10049#4|10080#4	16#50
460	10040	5	14#370000|4#1850	10047#4|10081#4	16#50
461	10041	5	14#370000|4#1850	10047#4|10082#4	16#50
462	10042	5	14#370000|4#1850	10048#4|10083#4	16#50
463	10043	5	14#370000|4#1850	10049#4|10084#4	16#50
464	10044	5	14#370000|4#1850	10052#4|10085#4	16#50
465	10045	5	14#370000|4#1850	10050#4|10086#4	16#50
466	10046	5	14#370000|4#1850	10051#4|10087#4	16#50
467	10047	5	14#370000|4#1850	10047#4|10088#4	16#50
468	10048	5	14#370000|4#1850	10048#4|10089#4	16#50
469	10049	5	14#370000|4#1850	10049#4|10090#4	16#50
470	10050	5	14#370000|4#1850	10050#4|10091#4	16#50
471	10051	5	14#370000|4#1850	10051#4|10092#4	16#50
472	10052	5	14#370000|4#1850	10052#4|10093#4	16#50
473	10053	5	14#370000|4#1850	10052#4|10093#4	16#50
474	10054	5	14#370000|4#1850	10052#4|10093#4	16#50
475	10057	5	14#370000|4#1850	10052#4|10093#4	16#50
476	10058	5	14#370000|4#1850	10052#4|10093#4	16#50
477	10059	5	14#370000|4#1850	10052#4|10093#4	16#50
478	10060	5	14#370000|4#1850	10052#4|10093#4	16#50
479	10061	5	14#370000|4#1850	10052#4|10093#4	16#50
480	10062	5	14#370000|4#1850	10052#4|10093#4	16#50
