Id	Monster	BattleTime	FirstAwards	Awards	StarCondition	NextLevel	Challenge
21	1100021	20	16#50|17013#15	17013#3|14#113000	7#0|2#1#1#3|3#6	22	0
22	1100022	20	16#50|17013#15	17013#3|14#113500	7#0|2#2#1#3|3#6	23	0
23	1100023	20	16#50|17013#15	17013#3|14#113500	7#0|2#3#1#3|3#6	24	0
24	1100024	20	16#50|17013#15	17013#3|14#113500	7#0|6#4|3#6	25	0
25	1100025	20	17014#5|17013#15	17013#3|14#114000	7#0|2#4#1#3|4#5000	26	1
26	1100026	20	16#50|17013#15	17013#3|14#114000	7#0|2#5#1#3|3#6	27	0
27	1100027	20	16#50|17013#15	17013#3|14#114000	7#0|1#3#1#3|3#6	28	0
28	1100028	20	16#50|17013#15	17013#3|14#114500	7#0|1#1#1#3|3#6	29	0
29	1100029	20	16#50|17013#15	17013#3|14#114500	7#0|1#2#1#3|3#6	30	0
30	1100030	20	17014#5|17013#15	17013#3|14#114500	7#0|1#4#1#3|5#0	31	1
31	1100031	20	16#50|17013#15	17013#3|14#115000	7#0|2#1#2#1|3#6	32	0
32	1100032	20	16#50|17013#15	17013#3|14#115000	7#0|2#2#2#1|3#6	33	0
33	1100033	20	16#50|17013#15	17013#3|14#115000	7#0|2#3#2#1|3#6	34	0
34	1100034	20	16#50|17013#15	17013#3|14#115500	7#0|6#5|3#6	35	0
35	1100035	20	17014#5|17013#15	17013#3|14#115500	7#0|2#4#2#1|4#5000	36	1
36	1100036	20	16#50|17013#15	17013#3|14#115500	7#0|2#5#2#1|3#6	37	0
37	1100037	20	16#50|17013#15	17013#3|14#116000	7#0|1#3#2#1|3#6	38	0
38	1100038	20	16#50|17013#15	17013#3|14#116000	7#0|1#1#2#1|3#6	39	0
39	1100039	20	16#50|17013#15	17013#3|14#116000	7#0|1#2#2#1|3#6	40	0
40	1100040	20	17014#5|17013#15	17013#3|14#116500	7#0|1#4#2#1|5#0	41	1
41	1100041	20	16#50|17013#15	17013#3|14#116500	7#0|2#1#1#3|3#6	42	0
42	1100042	20	16#50|17013#15	17013#3|14#116500	7#0|2#2#1#3|3#6	43	0
43	1100043	20	16#50|17013#15	17013#3|14#117000	7#0|2#3#1#3|3#6	44	0
44	1100044	20	16#50|17013#15	17013#3|14#117000	7#0|6#6|3#6	45	0
45	1100045	20	17014#5|17013#15	17013#3|14#117000	7#0|2#4#1#3|4#5000	46	1
46	1100046	20	16#50|17013#15	17013#3|14#117500	7#0|2#5#1#3|3#6	47	0
47	1100047	20	16#50|17013#15	17013#3|14#117500	7#0|1#3#1#3|3#6	48	0
48	1100048	20	16#50|17013#15	17013#3|14#117500	7#0|1#1#1#3|3#6	49	0
49	1100049	20	16#50|17013#15	17013#3|14#118000	7#0|1#2#1#3|3#6	50	0
50	1100050	20	17014#5|17013#15	17013#3|14#118000	7#0|1#4#1#3|5#0	51	1
51	1100051	20	16#50|17013#15	17013#3|14#118000	7#0|2#1#2#1|3#6	52	0
52	1100052	20	16#50|17013#15	17013#3|14#118500	7#0|2#2#2#1|3#6	53	0
53	1100053	20	16#50|17013#15	17013#3|14#118500	7#0|2#3#2#1|3#6	54	0
54	1100054	20	16#50|17013#15	17013#3|14#118500	7#0|6#1|3#6	55	0
55	1100055	20	17014#5|17013#15	17013#3|14#119000	7#0|2#4#2#1|4#5000	56	1
56	1100056	20	16#50|17013#15	17013#3|14#119000	7#0|2#5#2#1|3#6	57	0
57	1100057	20	16#50|17013#15	17013#3|14#119000	7#0|1#3#2#1|3#6	58	0
58	1100058	20	16#50|17013#15	17013#3|14#119500	7#0|1#1#2#1|3#6	59	0
59	1100059	20	16#50|17013#15	17013#3|14#119500	7#0|1#2#2#1|3#6	60	0
60	1100060	20	17014#5|17013#15	17013#3|14#119500	7#0|1#4#2#1|5#0	61	1
61	1100061	20	16#50|17013#15	17013#3|14#120000	7#0|2#1#1#3|3#6	62	0
62	1100062	20	16#50|17013#15	17013#3|14#120000	7#0|2#2#1#3|3#6	63	0
63	1100063	20	16#50|17013#15	17013#3|14#120000	7#0|2#3#1#3|3#6	64	0
64	1100064	20	16#50|17013#15	17013#3|14#120500	7#0|6#2|3#6	65	0
65	1100065	20	17014#5|17013#15	17013#3|14#120500	7#0|2#4#1#3|4#5000	66	1
66	1100066	20	16#50|17013#15	17013#3|14#120500	7#0|2#5#1#3|3#6	67	0
67	1100067	20	16#50|17013#15	17013#3|14#121000	7#0|1#3#1#3|3#6	68	0
68	1100068	20	16#50|17013#15	17013#3|14#121000	7#0|1#1#1#3|3#6	69	0
69	1100069	20	16#50|17013#15	17013#3|14#121000	7#0|1#2#1#3|3#6	70	0
70	1100070	20	17014#5|17013#15	17013#3|14#121500	7#0|1#4#1#3|5#0	71	1
71	1100071	20	16#50|17013#15	17013#3|14#121500	7#0|2#1#2#1|3#6	72	0
72	1100072	20	16#50|17013#15	17013#3|14#121500	7#0|2#2#2#1|3#6	73	0
73	1100073	20	16#50|17013#15	17013#3|14#122000	7#0|2#3#2#1|3#6	74	0
74	1100074	20	16#50|17013#15	17013#3|14#122000	7#0|6#3|3#6	75	0
75	1100075	20	17014#5|17013#15	17013#3|14#122000	7#0|2#4#2#1|4#5000	76	1
76	1100076	20	16#50|17013#15	17013#3|14#122500	7#0|2#5#2#1|3#6	77	0
77	1100077	20	16#50|17013#15	17013#3|14#122500	7#0|1#3#2#1|3#6	78	0
78	1100078	20	16#50|17013#15	17013#3|14#122500	7#0|1#1#2#1|3#6	79	0
79	1100079	20	16#50|17013#15	17013#3|14#123000	7#0|1#2#2#1|3#6	80	0
80	1100080	20	17014#5|17013#15	17013#3|14#123000	7#0|1#4#2#1|5#0	81	1
81	1100081	20	16#50|17013#15	17013#3|14#123000	7#0|2#1#1#3|3#6	82	0
82	1100082	20	16#50|17013#15	17013#3|14#123500	7#0|2#2#1#3|3#6	83	0
83	1100083	20	16#50|17013#15	17013#3|14#123500	7#0|2#3#1#3|3#6	84	0
84	1100084	20	16#50|17013#15	17013#3|14#123500	7#0|6#4|3#6	85	0
85	1100085	20	17014#5|17013#15	17013#3|14#124000	7#0|2#4#1#3|4#5000	86	1
86	1100086	20	16#50|17013#15	17013#3|14#124000	7#0|2#5#1#3|3#6	87	0
87	1100087	20	16#50|17013#15	17013#3|14#124000	7#0|1#3#1#3|3#6	88	0
88	1100088	20	16#50|17013#15	17013#3|14#124500	7#0|1#1#1#3|3#6	89	0
89	1100089	20	16#50|17013#15	17013#3|14#124500	7#0|1#2#1#3|3#6	90	0
90	1100090	20	17014#5|17013#15	17013#3|14#124500	7#0|1#4#1#3|5#0	91	1
91	1100091	20	16#50|17013#15	17013#3|14#125000	7#0|2#1#2#1|3#6	92	0
92	1100092	20	16#50|17013#15	17013#3|14#125000	7#0|2#2#2#1|3#6	93	0
93	1100093	20	16#50|17013#15	17013#3|14#125000	7#0|2#3#2#1|3#6	94	0
94	1100094	20	16#50|17013#15	17013#3|14#125500	7#0|6#5|3#6	95	0
95	1100095	20	17014#5|17013#15	17013#3|14#125500	7#0|2#4#2#1|4#5000	96	1
96	1100096	20	16#50|17013#15	17013#3|14#125500	7#0|2#5#2#1|3#6	97	0
97	1100097	20	16#50|17013#15	17013#3|14#126000	7#0|1#3#2#1|3#6	98	0
98	1100098	20	16#50|17013#15	17013#3|14#126000	7#0|1#1#2#1|3#6	99	0
99	1100099	20	16#50|17013#15	17013#3|14#126000	7#0|1#2#2#1|3#6	100	0
100	1100100	20	17014#5|17013#15	17013#3|14#126500	7#0|1#4#2#1|5#0	101	1
101	1100101	20	16#50|17013#15	17013#3|14#126500	7#0|2#1#1#3|3#6	102	0
102	1100102	20	16#50|17013#15	17013#3|14#126500	7#0|2#2#1#3|3#6	103	0
103	1100103	20	16#50|17013#15	17013#3|14#127000	7#0|2#3#1#3|3#6	104	0
104	1100104	20	16#50|17013#15	17013#3|14#127000	7#0|6#6|3#6	105	0
105	1100105	20	17014#5|17013#15	17013#3|14#127000	7#0|2#4#1#3|4#5000	106	1
106	1100106	20	16#50|17013#15	17013#3|14#127500	7#0|2#5#1#3|3#6	107	0
107	1100107	20	16#50|17013#15	17013#3|14#127500	7#0|1#3#1#3|3#6	108	0
108	1100108	20	16#50|17013#15	17013#3|14#127500	7#0|1#1#1#3|3#6	109	0
109	1100109	20	16#50|17013#15	17013#3|14#128000	7#0|1#2#1#3|3#6	110	0
110	1100110	20	17014#5|17013#15	17013#3|14#128000	7#0|1#4#1#3|5#0	111	1
111	1100111	20	16#50|17013#15	17013#3|14#128000	7#0|2#1#2#1|3#6	112	0
112	1100112	20	16#50|17013#15	17013#3|14#128500	7#0|2#2#2#1|3#6	113	0
113	1100113	20	16#50|17013#15	17013#3|14#128500	7#0|2#3#2#1|3#6	114	0
114	1100114	20	16#50|17013#15	17013#3|14#128500	7#0|6#1|3#6	115	0
115	1100115	20	17014#5|17013#15	17013#3|14#129000	7#0|2#4#2#1|4#5000	116	1
116	1100116	20	16#50|17013#15	17013#3|14#129000	7#0|2#5#2#1|3#6	117	0
117	1100117	20	16#50|17013#15	17013#3|14#129000	7#0|1#3#2#1|3#6	118	0
118	1100118	20	16#50|17013#15	17013#3|14#129500	7#0|1#1#2#1|3#6	119	0
119	1100119	20	16#50|17013#15	17013#3|14#129500	7#0|1#2#2#1|3#6	120	0
120	1100120	20	17014#5|17013#15	17013#3|14#129500	7#0|1#4#2#1|5#0	121	1
121	1100121	20	16#50|17013#15	17013#3|14#130000	7#0|2#1#1#3|3#6	122	0
122	1100122	20	16#50|17013#15	17013#3|14#130000	7#0|2#2#1#3|3#6	123	0
123	1100123	20	16#50|17013#15	17013#3|14#130000	7#0|2#3#1#3|3#6	124	0
124	1100124	20	16#50|17013#15	17013#3|14#130500	7#0|6#2|3#6	125	0
125	1100125	20	17014#5|17013#15	17013#3|14#130500	7#0|2#4#1#3|4#5000	126	1
126	1100126	20	16#50|17013#15	17013#3|14#130500	7#0|2#5#1#3|3#6	127	0
127	1100127	20	16#50|17013#15	17013#3|14#131000	7#0|1#3#1#3|3#6	128	0
128	1100128	20	16#50|17013#15	17013#3|14#131000	7#0|1#1#1#3|3#6	129	0
129	1100129	20	16#50|17013#15	17013#3|14#131000	7#0|1#2#1#3|3#6	130	0
130	1100130	20	17014#5|17013#15	17013#3|14#131500	7#0|1#4#1#3|5#0	131	1
131	1100131	20	16#50|17013#15	17013#3|14#131500	7#0|2#1#2#1|3#6	132	0
132	1100132	20	16#50|17013#15	17013#3|14#131500	7#0|2#2#2#1|3#6	133	0
133	1100133	20	16#50|17013#15	17013#3|14#132000	7#0|2#3#2#1|3#6	134	0
134	1100134	20	16#50|17013#15	17013#3|14#132000	7#0|6#3|3#6	135	0
135	1100135	20	17014#5|17013#15	17013#3|14#132000	7#0|2#4#2#1|4#5000	136	1
136	1100136	20	16#50|17013#15	17013#3|14#132500	7#0|2#5#2#1|3#6	137	0
137	1100137	20	16#50|17013#15	17013#3|14#132500	7#0|1#3#2#1|3#6	138	0
138	1100138	20	16#50|17013#15	17013#3|14#132500	7#0|1#1#2#1|3#6	139	0
139	1100139	20	16#50|17013#15	17013#3|14#133000	7#0|1#2#2#1|3#6	140	0
140	1100140	20	17014#5|17013#15	17013#3|14#133000	7#0|1#4#2#1|5#0	141	1
141	1100141	20	16#50|17013#15	17013#3|14#133000	7#0|2#1#1#3|3#6	142	0
142	1100142	20	16#50|17013#15	17013#3|14#133500	7#0|2#2#1#3|3#6	143	0
143	1100143	20	16#50|17013#15	17013#3|14#133500	7#0|2#3#1#3|3#6	144	0
144	1100144	20	16#50|17013#15	17013#3|14#133500	7#0|6#4|3#6	145	0
145	1100145	20	17014#5|17013#15	17013#3|14#134000	7#0|2#4#1#3|4#5000	146	1
146	1100146	20	16#50|17013#15	17013#3|14#134000	7#0|2#5#1#3|3#6	147	0
147	1100147	20	16#50|17013#15	17013#3|14#134000	7#0|1#3#1#3|3#6	148	0
148	1100148	20	16#50|17013#15	17013#3|14#134500	7#0|1#1#1#3|3#6	149	0
149	1100149	20	16#50|17013#15	17013#3|14#134500	7#0|1#2#1#3|3#6	150	0
150	1100150	20	17014#5|17013#15	17013#3|14#134500	7#0|1#4#1#3|5#0	151	1
151	1100151	20	16#50|17013#15	17013#3|14#135000	7#0|2#1#2#1|3#6	152	0
152	1100152	20	16#50|17013#15	17013#3|14#135000	7#0|2#2#2#1|3#6	153	0
153	1100153	20	16#50|17013#15	17013#3|14#135000	7#0|2#3#2#1|3#6	154	0
154	1100154	20	16#50|17013#15	17013#3|14#135500	7#0|6#5|3#6	155	0
155	1100155	20	17014#5|17013#15	17013#3|14#135500	7#0|2#4#2#1|4#5000	156	1
156	1100156	20	16#50|17013#15	17013#3|14#135500	7#0|2#5#2#1|3#6	157	0
157	1100157	20	16#50|17013#15	17013#3|14#136000	7#0|1#3#2#1|3#6	158	0
158	1100158	20	16#50|17013#15	17013#3|14#136000	7#0|1#1#2#1|3#6	159	0
159	1100159	20	16#50|17013#15	17013#3|14#136000	7#0|1#2#2#1|3#6	160	0
160	1100160	20	17014#5|17013#15	17013#3|14#136500	7#0|1#4#2#1|5#0	161	1
161	1100161	20	16#50|17013#15	17013#3|14#136500	7#0|2#1#1#3|3#6	162	0
162	1100162	20	16#50|17013#15	17013#3|14#136500	7#0|2#2#1#3|3#6	163	0
163	1100163	20	16#50|17013#15	17013#3|14#137000	7#0|2#3#1#3|3#6	164	0
164	1100164	20	16#50|17013#15	17013#3|14#137000	7#0|6#6|3#6	165	0
165	1100165	20	17014#5|17013#15	17013#3|14#137000	7#0|2#4#1#3|4#5000	166	1
166	1100166	20	16#50|17013#15	17013#3|14#137500	7#0|2#5#1#3|3#6	167	0
167	1100167	20	16#50|17013#15	17013#3|14#137500	7#0|1#3#1#3|3#6	168	0
168	1100168	20	16#50|17013#15	17013#3|14#137500	7#0|1#1#1#3|3#6	169	0
169	1100169	20	16#50|17013#15	17013#3|14#138000	7#0|1#2#1#3|3#6	170	0
170	1100170	20	17014#5|17013#15	17013#3|14#138000	7#0|1#4#1#3|5#0	171	1
171	1100171	20	16#50|17013#15	17013#3|14#138000	7#0|2#1#2#1|3#6	172	0
172	1100172	20	16#50|17013#15	17013#3|14#138500	7#0|2#2#2#1|3#6	173	0
173	1100173	20	16#50|17013#15	17013#3|14#138500	7#0|2#3#2#1|3#6	174	0
174	1100174	20	16#50|17013#15	17013#3|14#138500	7#0|6#1|3#6	175	0
175	1100175	20	17014#5|17013#15	17013#3|14#139000	7#0|2#4#2#1|4#5000	176	1
176	1100176	20	16#50|17013#15	17013#3|14#139000	7#0|2#5#2#1|3#6	177	0
177	1100177	20	16#50|17013#15	17013#3|14#139000	7#0|1#3#2#1|3#6	178	0
178	1100178	20	16#50|17013#15	17013#3|14#139500	7#0|1#1#2#1|3#6	179	0
179	1100179	20	16#50|17013#15	17013#3|14#139500	7#0|1#2#2#1|3#6	180	0
180	1100180	20	17014#5|17013#15	17013#3|14#139500	7#0|1#4#2#1|5#0	181	1
181	1100181	20	16#50|17013#15	17013#3|14#140000	7#0|2#1#1#3|3#6	182	0
182	1100182	20	16#50|17013#15	17013#3|14#140000	7#0|2#2#1#3|3#6	183	0
183	1100183	20	16#50|17013#15	17013#3|14#140000	7#0|2#3#1#3|3#6	184	0
184	1100184	20	16#50|17013#15	17013#3|14#140500	7#0|6#2|3#6	185	0
185	1100185	20	17014#5|17013#15	17013#3|14#140500	7#0|2#4#1#3|4#5000	186	1
186	1100186	20	16#50|17013#15	17013#3|14#140500	7#0|2#5#1#3|3#6	187	0
187	1100187	20	16#50|17013#15	17013#3|14#141000	7#0|1#3#1#3|3#6	188	0
188	1100188	20	16#50|17013#15	17013#3|14#141000	7#0|1#1#1#3|3#6	189	0
189	1100189	20	16#50|17013#15	17013#3|14#141000	7#0|1#2#1#3|3#6	190	0
190	1100190	20	17014#5|17013#15	17013#3|14#141500	7#0|1#4#1#3|5#0	191	1
191	1100191	20	16#50|17013#15	17013#3|14#141500	7#0|2#1#2#1|3#6	192	0
192	1100192	20	16#50|17013#15	17013#3|14#141500	7#0|2#2#2#1|3#6	193	0
193	1100193	20	16#50|17013#15	17013#3|14#142000	7#0|2#3#2#1|3#6	194	0
194	1100194	20	16#50|17013#15	17013#3|14#142000	7#0|6#3|3#6	195	0
195	1100195	20	17014#5|17013#15	17013#3|14#142000	7#0|2#4#2#1|4#5000	196	1
196	1100196	20	16#50|17013#15	17013#3|14#142500	7#0|2#5#2#1|3#6	197	0
197	1100197	20	16#50|17013#15	17013#3|14#142500	7#0|1#3#2#1|3#6	198	0
198	1100198	20	16#50|17013#15	17013#3|14#142500	7#0|1#1#2#1|3#6	199	0
199	1100199	20	16#50|17013#15	17013#3|14#143000	7#0|1#2#2#1|3#6	200	0
200	1100200	20	17014#5|17013#15	17013#3|14#143000	7#0|1#4#2#1|5#0	201	1
201	1100201	20	16#50|17013#15	17013#3|14#143000	7#0|2#1#1#3|3#6	202	0
202	1100202	20	16#50|17013#15	17013#3|14#143500	7#0|2#2#1#3|3#6	203	0
203	1100203	20	16#50|17013#15	17013#3|14#143500	7#0|2#3#1#3|3#6	204	0
204	1100204	20	16#50|17013#15	17013#3|14#143500	7#0|6#4|3#6	205	0
205	1100205	20	17014#5|17013#15	17013#3|14#144000	7#0|2#4#1#3|4#5000	206	1
206	1100206	20	16#50|17013#15	17013#3|14#144000	7#0|2#5#1#3|3#6	207	0
207	1100207	20	16#50|17013#15	17013#3|14#144000	7#0|1#3#1#3|3#6	208	0
208	1100208	20	16#50|17013#15	17013#3|14#144500	7#0|1#1#1#3|3#6	209	0
209	1100209	20	16#50|17013#15	17013#3|14#144500	7#0|1#2#1#3|3#6	210	0
210	1100210	20	17014#5|17013#15	17013#3|14#144500	7#0|1#4#1#3|5#0	211	1
211	1100211	20	16#50|17013#15	17013#3|14#145000	7#0|2#1#2#1|3#6	212	0
212	1100212	20	16#50|17013#15	17013#3|14#145000	7#0|2#2#2#1|3#6	213	0
213	1100213	20	16#50|17013#15	17013#3|14#145000	7#0|2#3#2#1|3#6	214	0
214	1100214	20	16#50|17013#15	17013#3|14#145500	7#0|6#5|3#6	215	0
215	1100215	20	17014#5|17013#15	17013#3|14#145500	7#0|2#4#2#1|4#5000	216	1
216	1100216	20	16#50|17013#15	17013#3|14#145500	7#0|2#5#2#1|3#6	217	0
217	1100217	20	16#50|17013#15	17013#3|14#146000	7#0|1#3#2#1|3#6	218	0
218	1100218	20	16#50|17013#15	17013#3|14#146000	7#0|1#1#2#1|3#6	219	0
219	1100219	20	16#50|17013#15	17013#3|14#146000	7#0|1#2#2#1|3#6	220	0
220	1100220	20	17014#5|17013#15	17013#3|14#146500	7#0|1#4#2#1|5#0	221	1
221	1100221	20	16#50|17013#15	17013#3|14#146500	7#0|2#1#1#3|3#6	222	0
222	1100222	20	16#50|17013#15	17013#3|14#146500	7#0|2#2#1#3|3#6	223	0
223	1100223	20	16#50|17013#15	17013#3|14#147000	7#0|2#3#1#3|3#6	224	0
224	1100224	20	16#50|17013#15	17013#3|14#147000	7#0|6#6|3#6	225	0
225	1100225	20	17014#5|17013#15	17013#3|14#147000	7#0|2#4#1#3|4#5000	226	1
226	1100226	20	16#50|17013#15	17013#3|14#147500	7#0|2#5#1#3|3#6	227	0
227	1100227	20	16#50|17013#15	17013#3|14#147500	7#0|1#3#1#3|3#6	228	0
228	1100228	20	16#50|17013#15	17013#3|14#147500	7#0|1#1#1#3|3#6	229	0
229	1100229	20	16#50|17013#15	17013#3|14#148000	7#0|1#2#1#3|3#6	230	0
230	1100230	20	17014#5|17013#15	17013#3|14#148000	7#0|1#4#1#3|5#0	231	1
231	1100231	20	16#50|17013#15	17013#3|14#148000	7#0|2#1#1#3|3#6	232	0
232	1100232	20	16#50|17013#15	17013#3|14#148500	7#0|2#2#1#3|3#6	233	0
233	1100233	20	16#50|17013#15	17013#3|14#148500	7#0|2#3#1#3|3#6	234	0
234	1100234	20	16#50|17013#15	17013#3|14#148500	7#0|6#6|3#6	235	0
235	1100235	20	17014#5|17013#15	17013#3|14#149000	7#0|2#4#1#3|4#5000	236	1
236	1100236	20	16#50|17013#15	17013#3|14#149000	7#0|2#5#1#3|3#6	237	0
237	1100237	20	16#50|17013#15	17013#3|14#149000	7#0|1#3#1#3|3#6	238	0
238	1100238	20	16#50|17013#15	17013#3|14#149500	7#0|1#1#1#3|3#6	239	0
239	1100239	20	16#50|17013#15	17013#3|14#149500	7#0|1#2#1#3|3#6	240	0
240	1100240	20	17014#5|17013#15	17013#3|14#149500	7#0|1#4#1#3|5#0	241	1
241	1100241	20	16#50|17013#15	17013#3|14#150000	7#0|2#1#2#1|3#6	242	0
242	1100242	20	16#50|17013#15	17013#3|14#150000	7#0|2#2#2#1|3#6	243	0
243	1100243	20	16#50|17013#15	17013#3|14#150000	7#0|2#3#2#1|3#6	244	0
244	1100244	20	16#50|17013#15	17013#3|14#150500	7#0|6#1|3#6	245	0
245	1100245	20	17014#5|17013#15	17013#3|14#150500	7#0|2#4#2#1|4#5000	246	1
246	1100246	20	16#50|17013#15	17013#3|14#150500	7#0|2#5#2#1|3#6	247	0
247	1100247	20	16#50|17013#15	17013#3|14#151000	7#0|1#3#2#1|3#6	248	0
248	1100248	20	16#50|17013#15	17013#3|14#151000	7#0|1#1#2#1|3#6	249	0
249	1100249	20	16#50|17013#15	17013#3|14#151000	7#0|1#2#2#1|3#6	250	0
250	1100250	20	17014#5|17013#15	17013#3|14#151500	7#0|1#4#2#1|5#0	251	1
251	1100251	20	16#50|17013#15	17013#3|14#151500	7#0|2#1#1#3|3#6	252	0
252	1100252	20	16#50|17013#15	17013#3|14#151500	7#0|2#2#1#3|3#6	253	0
253	1100253	20	16#50|17013#15	17013#3|14#152000	7#0|2#3#1#3|3#6	254	0
254	1100254	20	16#50|17013#15	17013#3|14#152000	7#0|6#2|3#6	255	0
255	1100255	20	17014#5|17013#15	17013#3|14#152000	7#0|2#4#1#3|4#5000	256	1
256	1100256	20	16#50|17013#15	17013#3|14#152500	7#0|2#5#1#3|3#6	257	0
257	1100257	20	16#50|17013#15	17013#3|14#152500	7#0|1#3#1#3|3#6	258	0
258	1100258	20	16#50|17013#15	17013#3|14#152500	7#0|1#1#1#3|3#6	259	0
259	1100259	20	16#50|17013#15	17013#3|14#153000	7#0|1#2#1#3|3#6	260	0
260	1100260	20	17014#5|17013#15	17013#3|14#153000	7#0|1#4#1#3|5#0	261	1
261	1100261	20	16#50|17013#15	17013#3|14#153000	7#0|2#1#2#1|3#6	262	0
262	1100262	20	16#50|17013#15	17013#3|14#153500	7#0|2#2#2#1|3#6	263	0
263	1100263	20	16#50|17013#15	17013#3|14#153500	7#0|2#3#2#1|3#6	264	0
264	1100264	20	16#50|17013#15	17013#3|14#153500	7#0|6#3|3#6	265	0
265	1100265	20	17014#5|17013#15	17013#3|14#154000	7#0|2#4#2#1|4#5000	266	1
266	1100266	20	16#50|17013#15	17013#3|14#154000	7#0|2#5#2#1|3#6	267	0
267	1100267	20	16#50|17013#15	17013#3|14#154000	7#0|1#3#2#1|3#6	268	0
268	1100268	20	16#50|17013#15	17013#3|14#154500	7#0|1#1#2#1|3#6	269	0
269	1100269	20	16#50|17013#15	17013#3|14#154500	7#0|1#2#2#1|3#6	270	0
270	1100270	20	17014#5|17013#15	17013#3|14#154500	7#0|1#4#2#1|5#0	271	1
271	1100271	20	16#50|17013#15	17013#3|14#155000	7#0|2#1#1#3|3#6	272	0
272	1100272	20	16#50|17013#15	17013#3|14#155000	7#0|2#2#1#3|3#6	273	0
273	1100273	20	16#50|17013#15	17013#3|14#155000	7#0|2#3#1#3|3#6	274	0
274	1100274	20	16#50|17013#15	17013#3|14#155500	7#0|6#4|3#6	275	0
275	1100275	20	17014#5|17013#15	17013#3|14#155500	7#0|2#4#1#3|4#5000	276	1
276	1100276	20	16#50|17013#15	17013#3|14#155500	7#0|2#5#1#3|3#6	277	0
277	1100277	20	16#50|17013#15	17013#3|14#156000	7#0|1#3#1#3|3#6	278	0
278	1100278	20	16#50|17013#15	17013#3|14#156000	7#0|1#1#1#3|3#6	279	0
279	1100279	20	16#50|17013#15	17013#3|14#156000	7#0|1#2#1#3|3#6	280	0
280	1100280	20	17014#5|17013#15	17013#3|14#156500	7#0|1#4#1#3|5#0	281	1
281	1100281	20	16#50|17013#15	17013#3|14#156500	7#0|2#1#2#1|3#6	282	0
282	1100282	20	16#50|17013#15	17013#3|14#156500	7#0|2#2#2#1|3#6	283	0
283	1100283	20	16#50|17013#15	17013#3|14#157000	7#0|2#3#2#1|3#6	284	0
284	1100284	20	16#50|17013#15	17013#3|14#157000	7#0|6#5|3#6	285	0
285	1100285	20	17014#5|17013#15	17013#3|14#157000	7#0|2#4#2#1|4#5000	286	1
286	1100286	20	16#50|17013#15	17013#3|14#157500	7#0|2#5#2#1|3#6	287	0
287	1100287	20	16#50|17013#15	17013#3|14#157500	7#0|1#3#2#1|3#6	288	0
288	1100288	20	16#50|17013#15	17013#3|14#157500	7#0|1#1#2#1|3#6	289	0
289	1100289	20	16#50|17013#15	17013#3|14#158000	7#0|1#2#2#1|3#6	290	0
290	1100290	20	17014#5|17013#15	17013#3|14#158000	7#0|1#4#2#1|5#0	291	1
291	1100291	20	16#50|17013#15	17013#3|14#158000	7#0|2#1#1#3|3#6	292	0
292	1100292	20	16#50|17013#15	17013#3|14#158500	7#0|2#2#1#3|3#6	293	0
293	1100293	20	16#50|17013#15	17013#3|14#158500	7#0|2#3#1#3|3#6	294	0
294	1100294	20	16#50|17013#15	17013#3|14#158500	7#0|6#6|3#6	295	0
295	1100295	20	17014#5|17013#15	17013#3|14#159000	7#0|2#4#1#3|4#5000	296	1
