Id	OpenRules	IsOpen	SystemOpen	SystemEnd	SeasonOpen	SeasonEnd	SeasonInterval	Type	OpenGifts	IsIDdSame	GuideId
61	2#15	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	61	0
85	2#15	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	85	40500
67	2#15	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	67	0
68	2#17	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	68	0
69	2#21	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	69	0
70	2#26	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	70	0
71	2#45	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	71	0
72	2#18	1	20190210 080000	20290210 080000	20210426 090000	20210426 210000	9360	1	null	72	0
721	2#18	1	20190210 080000	20290210 080000	20210428 090000	20210428 210000	9360	1	null	72	0
722	2#18	1	20190210 080000	20290210 080000	20210430 090000	20210430 210000	9360	1	null	72	0
44	2#25	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	44	41200
83	2#30	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	83	41500
82	2#35	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	82	42900
30	2#40	1	20190210 080000	20290210 080000	0	172500	5	4	null	30	41700
84	2#55	1	20190210 080000	20290210 080000	20200704 000000	20200710 235900	1	1	null	84	0
73	2#60	1	20190210 080000	20290210 080000	20210427 080000	20210427 220000	600	1	null	73	0
111	2#65	1	20190210 080000	20290210 080000	20230109 000000	20230113 220000	3000	1	null	111	0
74	2#70	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	74	41400
89	2#90	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	89	41900
19	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	19	0
16	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	16	0
36	2#8	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	36	0
38	2#8	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	38	0
41	2#8	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	41	0
42	2#8	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	42	0
15	2#8	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	15	0
40	2#10	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	40	0
39	2#10	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	39	42300
99	2#15	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	99	43100
100	2#15	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	100	0
109	2#20	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	109	0
801	2#20	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	801	0
105	2#25	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	105	0
35	2#45	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	35	0
93	2#80	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	93	0
29	2#99	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	29	0
37	2#999	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	37	0
46	1#2202	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	46	0
1502	2#60	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	1502	0
1503	2#25	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	1503	44700
1504	2#40	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	1504	44900
1505	2#90	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	1505	45000
1506	2#30	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	1506	44800
