Id	ActivityId	Type	TaskType	TaskValue	Integral	TaskRefreshType	TaskRefreshWeight	Group	OpenLevel	IsShow
10225	8001	2	52	8|10	106#650	2	100	7	40	1
10226	8001	2	75	5|10	106#650	2	100	8	0	1
10227	8001	2	75	4|10	106#650	2	100	8	0	1
10228	8001	2	75	1|10	106#650	2	100	8	0	1
10229	8001	2	1088	0|20	106#650	2	100	9	0	1
10230	8001	2	1089	0|20	106#650	2	100	9	70	1
10231	8001	2	1090	0|20	106#650	2	100	9	80	1
10232	8001	2	1047	0|15	106#650	2	100	10	0	1
10233	8001	2	1048	0|5	106#650	2	100	10	0	1
10234	8001	2	1042	1|5	106#650	2	100	10	0	1
10235	8001	2	1007	0|20	106#650	2	100	10	0	1
10236	8001	2	1086	0|20	106#650	2	100	11	55	1
10237	8001	2	1082	10033|10	106#650	2	100	11	55	1
10238	8001	2	80	0|10	106#650	2	100	12	0	1
10239	8001	2	127	0|10	106#650	2	100	12	0	1
10301	8001	3	1022	0|100	106#2500	1	0	0	0	1
10302	8001	3	116	0|40	106#2500	1	0	0	0	1
10303	8001	3	1012	0|500	106#2500	1	0	0	0	1
10304	8001	3	47	5|20	106#2500	1	100	0	0	1
10305	8001	3	22	0|100	106#2500	1	100	0	0	1
10306	8001	3	1020	79|200000	106#2500	1	100	0	0	1
10307	8001	3	75	1|200	106#2500	1	100	0	0	1
10308	8001	3	20	0|300	106#2500	1	100	0	0	1
10309	8001	3	1007	0|200	106#2500	1	100	0	0	1
10310	8001	3	28	0|600	106#2500	1	100	0	0	1
20101	8002	1	1022	0|2	107#100	1	0	0	0	1
20102	8002	1	116	0|1	107#100	1	0	0	0	1
20103	8002	1	1012	0|2	107#100	1	0	0	0	1
20104	8002	1	47	4|1	107#100	2	100	1	0	1
20105	8002	1	22	0|1	107#100	2	100	1	0	1
20106	8002	1	1017	2|1	107#100	2	100	1	0	1
20107	8002	1	100	0|1	107#100	2	100	2	0	1
20108	8002	1	1013	0|1	107#100	2	100	2	0	1
20109	8002	1	52	59|1	107#100	2	100	3	0	1
20110	8002	1	52	2|3	107#100	2	100	3	0	1
20111	8002	1	1019	63|1	107#100	2	100	3	0	1
20112	8002	1	1020	79|10000	107#100	2	100	4	0	1
20113	8002	1	77	0|5	107#100	2	100	4	0	1
20114	8002	1	1040	0|1	107#100	2	100	5	0	1
20115	8002	1	1084	0|1	107#100	2	100	6	70	1
20116	8002	1	1082	10030|2	107#100	2	100	6	70	1
20117	8002	1	1064	0|1	107#100	2	100	6	60	1
20118	8002	1	1085	0|2	107#100	2	100	6	90	1
20119	8002	1	1082	10032|1	107#100	2	100	6	90	1
20120	8002	1	1067	0|1	107#100	2	100	6	90	1
20121	8002	1	75	5|1	107#100	2	100	7	0	1
20122	8002	1	75	4|1	107#100	2	100	7	0	1
20123	8002	1	75	1|1	107#100	2	100	7	0	1
20124	8002	1	1088	0|1	107#100	2	100	8	0	1
20125	8002	1	1089	0|1	107#100	2	100	8	70	1
20126	8002	1	1090	0|1	107#100	2	100	8	80	1
20127	8002	1	1047	0|1	107#100	2	100	9	0	1
20128	8002	1	1048	0|1	107#100	2	100	9	0	1
20129	8002	1	1042	1|1	107#100	2	100	10	0	1
20130	8002	1	1007	0|1	107#100	2	100	10	0	1
20201	8002	2	1022	0|20	107#500	1	0	0	0	1
20202	8002	2	116	0|10	107#500	1	0	0	0	1
20203	8002	2	1012	0|120	107#500	1	0	0	0	1
20204	8002	2	47	5|5	107#650	2	100	1	0	1
20205	8002	2	1017	3|2	107#650	2	100	1	0	1
20206	8002	2	22	0|20	107#650	2	100	1	0	1
20207	8002	2	100	0|20	107#650	2	100	2	0	1
20208	8002	2	1013	0|20	107#650	2	100	2	0	1
20209	8002	2	52	4|1	107#650	2	100	3	0	1
20210	8002	2	52	12|1	107#650	2	100	3	0	1
20211	8002	2	52	60|1	107#650	2	100	3	0	1
20212	8002	2	52	61|1	107#650	2	100	3	0	1
20213	8002	2	1020	79|50000	107#650	2	100	4	0	1
20214	8002	2	76	4|10	107#650	2	100	4	0	1
20215	8002	2	1040	0|10	107#650	2	100	5	0	1
20216	8002	2	1064	0|10	107#650	2	100	6	60	1
20217	8002	2	1085	0|10	107#650	2	100	6	90	1
20218	8002	2	1082	10032|10	107#650	2	100	6	90	1
20219	8002	2	1067	0|10	107#650	2	100	6	90	1
20220	8002	2	1084	0|50	107#650	2	100	7	70	1
20221	8002	2	1082	10030|10	107#650	2	100	7	70	1
20222	8002	2	1057	0|20	107#650	2	100	7	40	1
20223	8002	2	1059	31|5	107#650	2	100	7	40	1
20224	8002	2	1059	43|5	107#650	2	100	7	40	1
20225	8002	2	52	8|10	107#650	2	100	7	40	1
20226	8002	2	75	5|10	107#650	2	100	8	0	1
20227	8002	2	75	4|10	107#650	2	100	8	0	1
20228	8002	2	75	1|10	107#650	2	100	8	0	1
20229	8002	2	1088	0|20	107#650	2	100	9	0	1
20230	8002	2	1089	0|20	107#650	2	100	9	70	1
20231	8002	2	1090	0|20	107#650	2	100	9	80	1
20232	8002	2	1047	0|15	107#650	2	100	10	0	1
20233	8002	2	1048	0|5	107#650	2	100	10	0	1
20234	8002	2	1042	1|5	107#650	2	100	10	0	1
20235	8002	2	1007	0|20	107#650	2	100	10	0	1
20236	8002	2	1086	0|20	107#650	2	100	11	55	1
20237	8002	2	1082	10033|10	107#650	2	100	11	55	1
20238	8002	2	80	0|10	107#650	2	100	12	0	1
20239	8002	2	127	0|10	107#650	2	100	12	0	1
20301	8002	3	1022	0|100	107#2500	1	0	0	0	1
20302	8002	3	1064	0|40	107#2500	1	0	0	0	1
20303	8002	3	1057	0|400	107#2500	1	0	0	0	1
20304	8002	3	1013	0|100	107#2500	1	100	0	0	1
20305	8002	3	1017	5|1	107#2500	1	100	0	0	1
20306	8002	3	76	4|20	107#2500	1	100	0	0	1
20307	8002	3	75	5|50	107#2500	1	100	0	0	1
20308	8002	3	52	60|10	107#2500	1	100	0	0	1
20309	8002	3	1042	1|20	107#2500	1	100	0	0	1
20310	8002	3	80	0|30	107#2500	1	100	0	0	1
30101	8003	1	1022	0|2	108#100	1	0	0	0	1
30102	8003	1	116	0|1	108#100	1	0	0	0	1
30103	8003	1	1012	0|2	108#100	1	0	0	0	1
30104	8003	1	47	4|1	108#100	2	100	1	0	1
30105	8003	1	22	0|1	108#100	2	100	1	0	1
30106	8003	1	1017	2|1	108#100	2	100	1	0	1
30107	8003	1	100	0|1	108#100	2	100	2	0	1
30108	8003	1	1013	0|1	108#100	2	100	2	0	1
30109	8003	1	52	59|1	108#100	2	100	3	0	1
30110	8003	1	52	2|3	108#100	2	100	3	0	1
30111	8003	1	1019	63|1	108#100	2	100	3	0	1
30112	8003	1	1020	79|10000	108#100	2	100	4	0	1
30113	8003	1	77	0|5	108#100	2	100	4	0	1
30114	8003	1	1040	0|1	108#100	2	100	5	0	1
30115	8003	1	1084	0|1	108#100	2	100	6	70	1
30116	8003	1	1082	10030|2	108#100	2	100	6	70	1
30117	8003	1	1064	0|1	108#100	2	100	6	60	1
30118	8003	1	1085	0|2	108#100	2	100	6	90	1
30119	8003	1	1082	10032|1	108#100	2	100	6	90	1
30120	8003	1	1067	0|1	108#100	2	100	6	90	1
30121	8003	1	75	5|1	108#100	2	100	7	0	1
30122	8003	1	75	4|1	108#100	2	100	7	0	1
30123	8003	1	75	1|1	108#100	2	100	7	0	1
30124	8003	1	1088	0|1	108#100	2	100	8	0	1
30125	8003	1	1089	0|1	108#100	2	100	8	70	1
30126	8003	1	1090	0|1	108#100	2	100	8	80	1
30127	8003	1	1047	0|1	108#100	2	100	9	0	1
30128	8003	1	1048	0|1	108#100	2	100	9	0	1
30129	8003	1	1042	1|1	108#100	2	100	10	0	1
30130	8003	1	1007	0|1	108#100	2	100	10	0	1
30201	8003	2	1022	0|20	108#500	1	0	0	0	1
30202	8003	2	116	0|10	108#500	1	0	0	0	1
30203	8003	2	1012	0|120	108#500	1	0	0	0	1
30204	8003	2	47	5|5	108#650	2	100	1	0	1
30205	8003	2	1017	3|2	108#650	2	100	1	0	1
30206	8003	2	22	0|20	108#650	2	100	1	0	1
30207	8003	2	100	0|20	108#650	2	100	2	0	1
30208	8003	2	1013	0|20	108#650	2	100	2	0	1
30209	8003	2	52	4|1	108#650	2	100	3	0	1
30210	8003	2	52	12|1	108#650	2	100	3	0	1
30211	8003	2	52	60|1	108#650	2	100	3	0	1
30212	8003	2	52	61|1	108#650	2	100	3	0	1
30213	8003	2	1020	79|50000	108#650	2	100	4	0	1
30214	8003	2	76	4|10	108#650	2	100	4	0	1
30215	8003	2	1040	0|10	108#650	2	100	5	0	1
30216	8003	2	1064	0|10	108#650	2	100	6	60	1
30217	8003	2	1085	0|10	108#650	2	100	6	90	1
30218	8003	2	1082	10032|10	108#650	2	100	6	90	1
30219	8003	2	1067	0|10	108#650	2	100	6	90	1
30220	8003	2	1084	0|50	108#650	2	100	7	70	1
30221	8003	2	1082	10030|10	108#650	2	100	7	70	1
30222	8003	2	1057	0|20	108#650	2	100	7	40	1
30223	8003	2	1059	31|5	108#650	2	100	7	40	1
30224	8003	2	1059	43|5	108#650	2	100	7	40	1
30225	8003	2	52	8|10	108#650	2	100	7	40	1
30226	8003	2	75	5|10	108#650	2	100	8	0	1
30227	8003	2	75	4|10	108#650	2	100	8	0	1
30228	8003	2	75	1|10	108#650	2	100	8	0	1
30229	8003	2	1088	0|20	108#650	2	100	9	0	1
30230	8003	2	1089	0|20	108#650	2	100	9	70	1
30231	8003	2	1090	0|20	108#650	2	100	9	80	1
30232	8003	2	1047	0|15	108#650	2	100	10	0	1
30233	8003	2	1048	0|5	108#650	2	100	10	0	1
30234	8003	2	1042	1|5	108#650	2	100	10	0	1
30235	8003	2	1007	0|20	108#650	2	100	10	0	1
30236	8003	2	1086	0|20	108#650	2	100	11	55	1
30237	8003	2	1082	10033|10	108#650	2	100	11	55	1
30238	8003	2	80	0|10	108#650	2	100	12	0	1
30239	8003	2	127	0|10	108#650	2	100	12	0	1
30301	8003	3	1022	0|100	108#2500	1	0	0	0	1
30302	8003	3	1086	0|60	108#2500	1	0	0	0	1
30303	8003	3	1047	0|60	108#2500	1	0	0	0	1
30304	8003	3	100	0|100	108#2500	1	100	0	0	1
30305	8003	3	22	0|100	108#2500	1	100	0	0	1
30306	8003	3	1067	0|100	108#2500	1	100	0	0	1
30307	8003	3	75	1|50	108#2500	1	100	0	0	1
30308	8003	3	52	12|10	108#2500	1	100	0	0	1
30309	8003	3	1082	10030|30	108#2500	1	100	0	0	1
30310	8003	3	1085	0|40	108#2500	1	100	0	0	1
40101	8004	1	1022	0|2	109#100	1	0	0	0	1
40102	8004	1	116	0|1	109#100	1	0	0	0	1
40103	8004	1	1012	0|2	109#100	1	0	0	0	1
40104	8004	1	47	4|1	109#100	2	100	1	0	1
40105	8004	1	22	0|1	109#100	2	100	1	0	1
40106	8004	1	1017	2|1	109#100	2	100	1	0	1
40107	8004	1	100	0|1	109#100	2	100	2	0	1
40108	8004	1	1013	0|1	109#100	2	100	2	0	1
40109	8004	1	52	59|1	109#100	2	100	3	0	1
40110	8004	1	52	2|3	109#100	2	100	3	0	1
40111	8004	1	1019	63|1	109#100	2	100	3	0	1
40112	8004	1	1020	79|10000	109#100	2	100	4	0	1
40113	8004	1	77	0|5	109#100	2	100	4	0	1
40114	8004	1	1040	0|1	109#100	2	100	5	0	1
40115	8004	1	1084	0|1	109#100	2	100	6	70	1
40116	8004	1	1082	10030|2	109#100	2	100	6	70	1
40117	8004	1	1064	0|1	109#100	2	100	6	60	1
40118	8004	1	1085	0|2	109#100	2	100	6	90	1
40119	8004	1	1082	10032|1	109#100	2	100	6	90	1
40120	8004	1	1067	0|1	109#100	2	100	6	90	1
40121	8004	1	75	5|1	109#100	2	100	7	0	1
40122	8004	1	75	4|1	109#100	2	100	7	0	1
40123	8004	1	75	1|1	109#100	2	100	7	0	1
40124	8004	1	1088	0|1	109#100	2	100	8	0	1
40125	8004	1	1089	0|1	109#100	2	100	8	70	1
40126	8004	1	1090	0|1	109#100	2	100	8	80	1
40127	8004	1	1047	0|1	109#100	2	100	9	0	1
40128	8004	1	1048	0|1	109#100	2	100	9	0	1
40129	8004	1	1042	1|1	109#100	2	100	10	0	1
40130	8004	1	1007	0|1	109#100	2	100	10	0	1
40201	8004	2	1022	0|20	109#500	1	0	0	0	1
40202	8004	2	116	0|10	109#500	1	0	0	0	1
40203	8004	2	1012	0|120	109#500	1	0	0	0	1
40204	8004	2	47	5|5	109#650	2	100	1	0	1
40205	8004	2	1017	3|2	109#650	2	100	1	0	1
40206	8004	2	22	0|20	109#650	2	100	1	0	1
40207	8004	2	100	0|20	109#650	2	100	2	0	1
40208	8004	2	1013	0|20	109#650	2	100	2	0	1
40209	8004	2	52	4|1	109#650	2	100	3	0	1
40210	8004	2	52	12|1	109#650	2	100	3	0	1
40211	8004	2	52	60|1	109#650	2	100	3	0	1
40212	8004	2	52	61|1	109#650	2	100	3	0	1
40213	8004	2	1020	79|50000	109#650	2	100	4	0	1
40214	8004	2	76	4|10	109#650	2	100	4	0	1
40215	8004	2	1040	0|10	109#650	2	100	5	0	1
40216	8004	2	1064	0|10	109#650	2	100	6	60	1
40217	8004	2	1085	0|10	109#650	2	100	6	90	1
40218	8004	2	1082	10032|10	109#650	2	100	6	90	1
40219	8004	2	1067	0|10	109#650	2	100	6	90	1
40220	8004	2	1084	0|50	109#650	2	100	7	70	1
40221	8004	2	1082	10030|10	109#650	2	100	7	70	1
40222	8004	2	1057	0|20	109#650	2	100	7	40	1
40223	8004	2	1059	31|5	109#650	2	100	7	40	1
40224	8004	2	1059	43|5	109#650	2	100	7	40	1
40225	8004	2	52	8|10	109#650	2	100	7	40	1
40226	8004	2	75	5|10	109#650	2	100	8	0	1
40227	8004	2	75	4|10	109#650	2	100	8	0	1
40228	8004	2	75	1|10	109#650	2	100	8	0	1
40229	8004	2	1088	0|20	109#650	2	100	9	0	1
40230	8004	2	1089	0|20	109#650	2	100	9	70	1
40231	8004	2	1090	0|20	109#650	2	100	9	80	1
40232	8004	2	1047	0|15	109#650	2	100	10	0	1
40233	8004	2	1048	0|5	109#650	2	100	10	0	1
40234	8004	2	1042	1|5	109#650	2	100	10	0	1
40235	8004	2	1007	0|20	109#650	2	100	10	0	1
40236	8004	2	1086	0|20	109#650	2	100	11	55	1
40237	8004	2	1082	10033|10	109#650	2	100	11	55	1
40238	8004	2	80	0|10	109#650	2	100	12	0	1
40239	8004	2	127	0|10	109#650	2	100	12	0	1
40301	8004	3	1022	0|100	109#2500	1	0	0	0	1
40302	8004	3	116	0|40	109#2500	1	0	0	0	1
40303	8004	3	1012	0|500	109#2500	1	0	0	0	1
40304	8004	3	47	5|20	109#2500	1	100	0	0	1
40305	8004	3	1017	5|1	109#2500	1	100	0	0	1
40306	8004	3	1020	79|200000	109#2500	1	100	0	0	1
40307	8004	3	75	1|200	109#2500	1	100	0	0	1
40308	8004	3	52	4|10	109#2500	1	100	0	0	1
40309	8004	3	1084	0|200	109#2500	1	100	0	0	1
40310	8004	3	1082	10032|30	109#2500	1	100	0	0	1
50101	8005	1	1022	0|2	110#100	1	0	0	0	1
50102	8005	1	116	0|1	110#100	1	0	0	0	1
50103	8005	1	1012	0|2	110#100	1	0	0	0	1
50104	8005	1	47	4|1	110#100	2	100	1	0	1
50105	8005	1	22	0|1	110#100	2	100	1	0	1
50106	8005	1	1017	2|1	110#100	2	100	1	0	1
50107	8005	1	100	0|1	110#100	2	100	2	0	1
50108	8005	1	1013	0|1	110#100	2	100	2	0	1
50109	8005	1	52	59|1	110#100	2	100	3	0	1
50110	8005	1	52	2|3	110#100	2	100	3	0	1
50111	8005	1	1019	63|1	110#100	2	100	3	0	1
50112	8005	1	1020	79|10000	110#100	2	100	4	0	1
50113	8005	1	77	0|5	110#100	2	100	4	0	1
50114	8005	1	1040	0|1	110#100	2	100	5	0	1
50115	8005	1	1084	0|1	110#100	2	100	6	70	1
50116	8005	1	1082	10030|2	110#100	2	100	6	70	1
50117	8005	1	1064	0|1	110#100	2	100	6	60	1
50118	8005	1	1085	0|2	110#100	2	100	6	90	1
50119	8005	1	1082	10032|1	110#100	2	100	6	90	1
50120	8005	1	1067	0|1	110#100	2	100	6	90	1
50121	8005	1	75	5|1	110#100	2	100	7	0	1
50122	8005	1	75	4|1	110#100	2	100	7	0	1
50123	8005	1	75	1|1	110#100	2	100	7	0	1
50124	8005	1	1088	0|1	110#100	2	100	8	0	1
50125	8005	1	1089	0|1	110#100	2	100	8	70	1
50126	8005	1	1090	0|1	110#100	2	100	8	80	1
50127	8005	1	1047	0|1	110#100	2	100	9	0	1
50128	8005	1	1048	0|1	110#100	2	100	9	0	1
50129	8005	1	1042	1|1	110#100	2	100	10	0	1
50130	8005	1	1007	0|1	110#100	2	100	10	0	1
50201	8005	2	1022	0|20	110#500	1	0	0	0	1
50202	8005	2	116	0|10	110#500	1	0	0	0	1
50203	8005	2	1012	0|120	110#500	1	0	0	0	1
50204	8005	2	47	5|5	110#650	2	100	1	0	1
50205	8005	2	1017	3|2	110#650	2	100	1	0	1
50206	8005	2	22	0|20	110#650	2	100	1	0	1
50207	8005	2	100	0|20	110#650	2	100	2	0	1
50208	8005	2	1013	0|20	110#650	2	100	2	0	1
50209	8005	2	52	4|1	110#650	2	100	3	0	1
50210	8005	2	52	12|1	110#650	2	100	3	0	1
50211	8005	2	52	60|1	110#650	2	100	3	0	1
50212	8005	2	52	61|1	110#650	2	100	3	0	1
50213	8005	2	1020	79|50000	110#650	2	100	4	0	1
50214	8005	2	76	4|10	110#650	2	100	4	0	1
50215	8005	2	1040	0|10	110#650	2	100	5	0	1
50216	8005	2	1064	0|10	110#650	2	100	6	60	1
50217	8005	2	1085	0|10	110#650	2	100	6	90	1
50218	8005	2	1082	10032|10	110#650	2	100	6	90	1
50219	8005	2	1067	0|10	110#650	2	100	6	90	1
50220	8005	2	1084	0|50	110#650	2	100	7	70	1
50221	8005	2	1082	10030|10	110#650	2	100	7	70	1
50222	8005	2	1057	0|20	110#650	2	100	7	40	1
50223	8005	2	1059	31|5	110#650	2	100	7	40	1
50224	8005	2	1059	43|5	110#650	2	100	7	40	1
50225	8005	2	52	8|10	110#650	2	100	7	40	1
50226	8005	2	75	5|10	110#650	2	100	8	0	1
50227	8005	2	75	4|10	110#650	2	100	8	0	1
50228	8005	2	75	1|10	110#650	2	100	8	0	1
50229	8005	2	1088	0|20	110#650	2	100	9	0	1
50230	8005	2	1089	0|20	110#650	2	100	9	70	1
50231	8005	2	1090	0|20	110#650	2	100	9	80	1
50232	8005	2	1047	0|15	110#650	2	100	10	0	1
50233	8005	2	1048	0|5	110#650	2	100	10	0	1
50234	8005	2	1042	1|5	110#650	2	100	10	0	1
50235	8005	2	1007	0|20	110#650	2	100	10	0	1
50236	8005	2	1086	0|20	110#650	2	100	11	55	1
50237	8005	2	1082	10033|10	110#650	2	100	11	55	1
50238	8005	2	80	0|10	110#650	2	100	12	0	1
50239	8005	2	127	0|10	110#650	2	100	12	0	1
50301	8005	3	1022	0|100	110#2500	1	0	0	0	1
50302	8005	3	1064	0|40	110#2500	1	0	0	0	1
50303	8005	3	1057	0|400	110#2500	1	0	0	0	1
50304	8005	3	1013	0|100	110#2500	1	100	0	0	1
50305	8005	3	22	0|100	110#2500	1	100	0	0	1
50306	8005	3	76	4|20	110#2500	1	100	0	0	1
50307	8005	3	75	5|50	110#2500	1	100	0	0	1
50308	8005	3	20	0|300	110#2500	1	100	0	0	1
50309	8005	3	1007	0|200	110#2500	1	100	0	0	1
50310	8005	3	28	0|600	110#2500	1	100	0	0	1
60101	8006	1	1022	0|2	111#100	1	0	0	0	1
60102	8006	1	116	0|1	111#100	1	0	0	0	1
60103	8006	1	1012	0|2	111#100	1	0	0	0	1
60104	8006	1	47	4|1	111#100	2	100	1	0	1
60105	8006	1	22	0|1	111#100	2	100	1	0	1
60106	8006	1	1017	2|1	111#100	2	100	1	0	1
60107	8006	1	100	0|1	111#100	2	100	2	0	1
60108	8006	1	1013	0|1	111#100	2	100	2	0	1
60109	8006	1	52	59|1	111#100	2	100	3	0	1
60110	8006	1	52	2|3	111#100	2	100	3	0	1
60111	8006	1	1019	63|1	111#100	2	100	3	0	1
60112	8006	1	1020	79|10000	111#100	2	100	4	0	1
60113	8006	1	77	0|5	111#100	2	100	4	0	1
60114	8006	1	1040	0|1	111#100	2	100	5	0	1
60115	8006	1	1084	0|1	111#100	2	100	6	70	1
60116	8006	1	1082	10030|2	111#100	2	100	6	70	1
60117	8006	1	1064	0|1	111#100	2	100	6	60	1
60118	8006	1	1085	0|2	111#100	2	100	6	90	1
60119	8006	1	1082	10032|1	111#100	2	100	6	90	1
60120	8006	1	1067	0|1	111#100	2	100	6	90	1
60121	8006	1	75	5|1	111#100	2	100	7	0	1
60122	8006	1	75	4|1	111#100	2	100	7	0	1
60123	8006	1	75	1|1	111#100	2	100	7	0	1
60124	8006	1	1088	0|1	111#100	2	100	8	0	1
60125	8006	1	1089	0|1	111#100	2	100	8	70	1
60126	8006	1	1090	0|1	111#100	2	100	8	80	1
60127	8006	1	1047	0|1	111#100	2	100	9	0	1
60128	8006	1	1048	0|1	111#100	2	100	9	0	1
60129	8006	1	1042	1|1	111#100	2	100	10	0	1
60130	8006	1	1007	0|1	111#100	2	100	10	0	1
60201	8006	2	1022	0|20	111#500	1	0	0	0	1
60202	8006	2	116	0|10	111#500	1	0	0	0	1
60203	8006	2	1012	0|120	111#500	1	0	0	0	1
60204	8006	2	47	5|5	111#650	2	100	1	0	1
60205	8006	2	1017	3|2	111#650	2	100	1	0	1
60206	8006	2	22	0|20	111#650	2	100	1	0	1
60207	8006	2	100	0|20	111#650	2	100	2	0	1
60208	8006	2	1013	0|20	111#650	2	100	2	0	1
60209	8006	2	52	4|1	111#650	2	100	3	0	1
60210	8006	2	52	12|1	111#650	2	100	3	0	1
60211	8006	2	52	60|1	111#650	2	100	3	0	1
60212	8006	2	52	61|1	111#650	2	100	3	0	1
60213	8006	2	1020	79|50000	111#650	2	100	4	0	1
60214	8006	2	76	4|10	111#650	2	100	4	0	1
60215	8006	2	1040	0|10	111#650	2	100	5	0	1
60216	8006	2	1064	0|10	111#650	2	100	6	60	1
60217	8006	2	1085	0|10	111#650	2	100	6	90	1
60218	8006	2	1082	10032|10	111#650	2	100	6	90	1
60219	8006	2	1067	0|10	111#650	2	100	6	90	1
60220	8006	2	1084	0|50	111#650	2	100	7	70	1
60221	8006	2	1082	10030|10	111#650	2	100	7	70	1
60222	8006	2	1057	0|20	111#650	2	100	7	40	1
60223	8006	2	1059	31|5	111#650	2	100	7	40	1
60224	8006	2	1059	43|5	111#650	2	100	7	40	1
60225	8006	2	52	8|10	111#650	2	100	7	40	1
60226	8006	2	75	5|10	111#650	2	100	8	0	1
60227	8006	2	75	4|10	111#650	2	100	8	0	1
60228	8006	2	75	1|10	111#650	2	100	8	0	1
60229	8006	2	1088	0|20	111#650	2	100	9	0	1
60230	8006	2	1089	0|20	111#650	2	100	9	70	1
60231	8006	2	1090	0|20	111#650	2	100	9	80	1
60232	8006	2	1047	0|15	111#650	2	100	10	0	1
60233	8006	2	1048	0|5	111#650	2	100	10	0	1
60234	8006	2	1042	1|5	111#650	2	100	10	0	1
60235	8006	2	1007	0|20	111#650	2	100	10	0	1
60236	8006	2	1086	0|20	111#650	2	100	11	55	1
60237	8006	2	1082	10033|10	111#650	2	100	11	55	1
60238	8006	2	80	0|10	111#650	2	100	12	0	1
60239	8006	2	127	0|10	111#650	2	100	12	0	1
60301	8006	3	1022	0|100	111#2500	1	0	0	0	1
60302	8006	3	1086	0|60	111#2500	1	0	0	0	1
60303	8006	3	1047	0|60	111#2500	1	0	0	0	1
60304	8006	3	100	0|100	111#2500	1	100	0	0	1
60305	8006	3	1017	5|1	111#2500	1	100	0	0	1
60306	8006	3	1067	0|100	111#2500	1	100	0	0	1
60307	8006	3	75	1|50	111#2500	1	100	0	0	1
60308	8006	3	52	60|10	111#2500	1	100	0	0	1
60309	8006	3	1042	1|20	111#2500	1	100	0	0	1
60310	8006	3	80	0|30	111#2500	1	100	0	0	1
70101	8007	1	1022	0|2	112#100	1	0	0	0	1
70102	8007	1	116	0|1	112#100	1	0	0	0	1
70103	8007	1	1012	0|2	112#100	1	0	0	0	1
70104	8007	1	47	4|1	112#100	2	100	1	0	1
70105	8007	1	22	0|1	112#100	2	100	1	0	1
