Id	ActivityId	Order	PassedLevelId	OpenRules	Level
20023	80002	3	2002330	1#20022	2002301#2002302#2002303#2002304#2002305#2002306#2002307#2002308#2002309#2002310#2002311#2002312#2002313#2002314#2002315#2002316#2002317#2002318#2002319#2002320#2002321#2002322#2002323#2002324#2002325#2002326#2002327#2002328#2002329#2002330
20024	80002	4	2002430	1#20023	2002401#2002402#2002403#2002404#2002405#2002406#2002407#2002408#2002409#2002410#2002411#2002412#2002413#2002414#2002415#2002416#2002417#2002418#2002419#2002420#2002421#2002422#2002423#2002424#2002425#2002426#2002427#2002428#2002429#2002430
20025	80002	5	2002530	1#20024	2002501#2002502#2002503#2002504#2002505#2002506#2002507#2002508#2002509#2002510#2002511#2002512#2002513#2002514#2002515#2002516#2002517#2002518#2002519#2002520#2002521#2002522#2002523#2002524#2002525#2002526#2002527#2002528#2002529#2002530
20031	80003	1	2003130	0	2003101#2003102#2003103#2003104#2003105#2003106#2003107#2003108#2003109#2003110#2003111#2003112#2003113#2003114#2003115#2003116#2003117#2003118#2003119#2003120#2003121#2003122#2003123#2003124#2003125#2003126#2003127#2003128#2003129#2003130
20032	80003	2	2003230	1#20031	2003201#2003202#2003203#2003204#2003205#2003206#2003207#2003208#2003209#2003210#2003211#2003212#2003213#2003214#2003215#2003216#2003217#2003218#2003219#2003220#2003221#2003222#2003223#2003224#2003225#2003226#2003227#2003228#2003229#2003230
20033	80003	3	2003330	1#20032	2003301#2003302#2003303#2003304#2003305#2003306#2003307#2003308#2003309#2003310#2003311#2003312#2003313#2003314#2003315#2003316#2003317#2003318#2003319#2003320#2003321#2003322#2003323#2003324#2003325#2003326#2003327#2003328#2003329#2003330
20034	80003	4	2003430	1#20033	2003401#2003402#2003403#2003404#2003405#2003406#2003407#2003408#2003409#2003410#2003411#2003412#2003413#2003414#2003415#2003416#2003417#2003418#2003419#2003420#2003421#2003422#2003423#2003424#2003425#2003426#2003427#2003428#2003429#2003430
20035	80003	5	2003530	1#20034	2003501#2003502#2003503#2003504#2003505#2003506#2003507#2003508#2003509#2003510#2003511#2003512#2003513#2003514#2003515#2003516#2003517#2003518#2003519#2003520#2003521#2003522#2003523#2003524#2003525#2003526#2003527#2003528#2003529#2003530
20041	80004	1	2004130	0	2004101#2004102#2004103#2004104#2004105#2004106#2004107#2004108#2004109#2004110#2004111#2004112#2004113#2004114#2004115#2004116#2004117#2004118#2004119#2004120#2004121#2004122#2004123#2004124#2004125#2004126#2004127#2004128#2004129#2004130
20042	80004	2	2004230	1#20041	2004201#2004202#2004203#2004204#2004205#2004206#2004207#2004208#2004209#2004210#2004211#2004212#2004213#2004214#2004215#2004216#2004217#2004218#2004219#2004220#2004221#2004222#2004223#2004224#2004225#2004226#2004227#2004228#2004229#2004230
20043	80004	3	2004330	1#20042	2004301#2004302#2004303#2004304#2004305#2004306#2004307#2004308#2004309#2004310#2004311#2004312#2004313#2004314#2004315#2004316#2004317#2004318#2004319#2004320#2004321#2004322#2004323#2004324#2004325#2004326#2004327#2004328#2004329#2004330
20044	80004	4	2004430	1#20043	2004401#2004402#2004403#2004404#2004405#2004406#2004407#2004408#2004409#2004410#2004411#2004412#2004413#2004414#2004415#2004416#2004417#2004418#2004419#2004420#2004421#2004422#2004423#2004424#2004425#2004426#2004427#2004428#2004429#2004430
20045	80004	5	2004530	1#20044	2004501#2004502#2004503#2004504#2004505#2004506#2004507#2004508#2004509#2004510#2004511#2004512#2004513#2004514#2004515#2004516#2004517#2004518#2004519#2004520#2004521#2004522#2004523#2004524#2004525#2004526#2004527#2004528#2004529#2004530
20051	80005	1	2005130	0	2005101#2005102#2005103#2005104#2005105#2005106#2005107#2005108#2005109#2005110#2005111#2005112#2005113#2005114#2005115#2005116#2005117#2005118#2005119#2005120#2005121#2005122#2005123#2005124#2005125#2005126#2005127#2005128#2005129#2005130
20052	80005	2	2005230	1#20051	2005201#2005202#2005203#2005204#2005205#2005206#2005207#2005208#2005209#2005210#2005211#2005212#2005213#2005214#2005215#2005216#2005217#2005218#2005219#2005220#2005221#2005222#2005223#2005224#2005225#2005226#2005227#2005228#2005229#2005230
20053	80005	3	2005330	1#20052	2005301#2005302#2005303#2005304#2005305#2005306#2005307#2005308#2005309#2005310#2005311#2005312#2005313#2005314#2005315#2005316#2005317#2005318#2005319#2005320#2005321#2005322#2005323#2005324#2005325#2005326#2005327#2005328#2005329#2005330
20054	80005	4	2005430	1#20053	2005401#2005402#2005403#2005404#2005405#2005406#2005407#2005408#2005409#2005410#2005411#2005412#2005413#2005414#2005415#2005416#2005417#2005418#2005419#2005420#2005421#2005422#2005423#2005424#2005425#2005426#2005427#2005428#2005429#2005430
20055	80005	5	2005530	1#20054	2005501#2005502#2005503#2005504#2005505#2005506#2005507#2005508#2005509#2005510#2005511#2005512#2005513#2005514#2005515#2005516#2005517#2005518#2005519#2005520#2005521#2005522#2005523#2005524#2005525#2005526#2005527#2005528#2005529#2005530
20061	80006	1	2006130	0	2006101#2006102#2006103#2006104#2006105#2006106#2006107#2006108#2006109#2006110#2006111#2006112#2006113#2006114#2006115#2006116#2006117#2006118#2006119#2006120#2006121#2006122#2006123#2006124#2006125#2006126#2006127#2006128#2006129#2006130
20062	80006	2	2006230	1#20061	2006201#2006202#2006203#2006204#2006205#2006206#2006207#2006208#2006209#2006210#2006211#2006212#2006213#2006214#2006215#2006216#2006217#2006218#2006219#2006220#2006221#2006222#2006223#2006224#2006225#2006226#2006227#2006228#2006229#2006230
20063	80006	3	2006330	1#20062	2006301#2006302#2006303#2006304#2006305#2006306#2006307#2006308#2006309#2006310#2006311#2006312#2006313#2006314#2006315#2006316#2006317#2006318#2006319#2006320#2006321#2006322#2006323#2006324#2006325#2006326#2006327#2006328#2006329#2006330
20064	80006	4	2006430	1#20063	2006401#2006402#2006403#2006404#2006405#2006406#2006407#2006408#2006409#2006410#2006411#2006412#2006413#2006414#2006415#2006416#2006417#2006418#2006419#2006420#2006421#2006422#2006423#2006424#2006425#2006426#2006427#2006428#2006429#2006430
20065	80006	5	2006530	1#20064	2006501#2006502#2006503#2006504#2006505#2006506#2006507#2006508#2006509#2006510#2006511#2006512#2006513#2006514#2006515#2006516#2006517#2006518#2006519#2006520#2006521#2006522#2006523#2006524#2006525#2006526#2006527#2006528#2006529#2006530
20071	80007	1	2007130	0	2007101#2007102#2007103#2007104#2007105#2007106#2007107#2007108#2007109#2007110#2007111#2007112#2007113#2007114#2007115#2007116#2007117#2007118#2007119#2007120#2007121#2007122#2007123#2007124#2007125#2007126#2007127#2007128#2007129#2007130
20072	80007	2	2007230	1#20071	2007201#2007202#2007203#2007204#2007205#2007206#2007207#2007208#2007209#2007210#2007211#2007212#2007213#2007214#2007215#2007216#2007217#2007218#2007219#2007220#2007221#2007222#2007223#2007224#2007225#2007226#2007227#2007228#2007229#2007230
20073	80007	3	2007330	1#20072	2007301#2007302#2007303#2007304#2007305#2007306#2007307#2007308#2007309#2007310#2007311#2007312#2007313#2007314#2007315#2007316#2007317#2007318#2007319#2007320#2007321#2007322#2007323#2007324#2007325#2007326#2007327#2007328#2007329#2007330
20074	80007	4	2007430	1#20073	2007401#2007402#2007403#2007404#2007405#2007406#2007407#2007408#2007409#2007410#2007411#2007412#2007413#2007414#2007415#2007416#2007417#2007418#2007419#2007420#2007421#2007422#2007423#2007424#2007425#2007426#2007427#2007428#2007429#2007430
20075	80007	5	2007530	1#20074	2007501#2007502#2007503#2007504#2007505#2007506#2007507#2007508#2007509#2007510#2007511#2007512#2007513#2007514#2007515#2007516#2007517#2007518#2007519#2007520#2007521#2007522#2007523#2007524#2007525#2007526#2007527#2007528#2007529#2007530
20081	80008	1	2008130	0	2008101#2008102#2008103#2008104#2008105#2008106#2008107#2008108#2008109#2008110#2008111#2008112#2008113#2008114#2008115#2008116#2008117#2008118#2008119#2008120#2008121#2008122#2008123#2008124#2008125#2008126#2008127#2008128#2008129#2008130
20082	80008	2	2008230	1#20081	2008201#2008202#2008203#2008204#2008205#2008206#2008207#2008208#2008209#2008210#2008211#2008212#2008213#2008214#2008215#2008216#2008217#2008218#2008219#2008220#2008221#2008222#2008223#2008224#2008225#2008226#2008227#2008228#2008229#2008230
20083	80008	3	2008330	1#20082	2008301#2008302#2008303#2008304#2008305#2008306#2008307#2008308#2008309#2008310#2008311#2008312#2008313#2008314#2008315#2008316#2008317#2008318#2008319#2008320#2008321#2008322#2008323#2008324#2008325#2008326#2008327#2008328#2008329#2008330
20084	80008	4	2008430	1#20083	2008401#2008402#2008403#2008404#2008405#2008406#2008407#2008408#2008409#2008410#2008411#2008412#2008413#2008414#2008415#2008416#2008417#2008418#2008419#2008420#2008421#2008422#2008423#2008424#2008425#2008426#2008427#2008428#2008429#2008430
20085	80008	5	2008530	1#20084	2008501#2008502#2008503#2008504#2008505#2008506#2008507#2008508#2008509#2008510#2008511#2008512#2008513#2008514#2008515#2008516#2008517#2008518#2008519#2008520#2008521#2008522#2008523#2008524#2008525#2008526#2008527#2008528#2008529#2008530
20091	80009	1	2009130	0	2009101#2009102#2009103#2009104#2009105#2009106#2009107#2009108#2009109#2009110#2009111#2009112#2009113#2009114#2009115#2009116#2009117#2009118#2009119#2009120#2009121#2009122#2009123#2009124#2009125#2009126#2009127#2009128#2009129#2009130
20092	80009	2	2009230	1#20091	2009201#2009202#2009203#2009204#2009205#2009206#2009207#2009208#2009209#2009210#2009211#2009212#2009213#2009214#2009215#2009216#2009217#2009218#2009219#2009220#2009221#2009222#2009223#2009224#2009225#2009226#2009227#2009228#2009229#2009230
20093	80009	3	2009330	1#20092	2009301#2009302#2009303#2009304#2009305#2009306#2009307#2009308#2009309#2009310#2009311#2009312#2009313#2009314#2009315#2009316#2009317#2009318#2009319#2009320#2009321#2009322#2009323#2009324#2009325#2009326#2009327#2009328#2009329#2009330
20094	80009	4	2009430	1#20093	2009401#2009402#2009403#2009404#2009405#2009406#2009407#2009408#2009409#2009410#2009411#2009412#2009413#2009414#2009415#2009416#2009417#2009418#2009419#2009420#2009421#2009422#2009423#2009424#2009425#2009426#2009427#2009428#2009429#2009430
20095	80009	5	2009530	1#20094	2009501#2009502#2009503#2009504#2009505#2009506#2009507#2009508#2009509#2009510#2009511#2009512#2009513#2009514#2009515#2009516#2009517#2009518#2009519#2009520#2009521#2009522#2009523#2009524#2009525#2009526#2009527#2009528#2009529#2009530
20101	80010	1	2010130	0	2010101#2010102#2010103#2010104#2010105#2010106#2010107#2010108#2010109#2010110#2010111#2010112#2010113#2010114#2010115#2010116#2010117#2010118#2010119#2010120#2010121#2010122#2010123#2010124#2010125#2010126#2010127#2010128#2010129#2010130
20102	80010	2	2010230	1#20101	2010201#2010202#2010203#2010204#2010205#2010206#2010207#2010208#2010209#2010210#2010211#2010212#2010213#2010214#2010215#2010216#2010217#2010218#2010219#2010220#2010221#2010222#2010223#2010224#2010225#2010226#2010227#2010228#2010229#2010230
20103	80010	3	2010330	1#20102	2010301#2010302#2010303#2010304#2010305#2010306#2010307#2010308#2010309#2010310#2010311#2010312#2010313#2010314#2010315#2010316#2010317#2010318#2010319#2010320#2010321#2010322#2010323#2010324#2010325#2010326#2010327#2010328#2010329#2010330
20104	80010	4	2010430	1#20103	2010401#2010402#2010403#2010404#2010405#2010406#2010407#2010408#2010409#2010410#2010411#2010412#2010413#2010414#2010415#2010416#2010417#2010418#2010419#2010420#2010421#2010422#2010423#2010424#2010425#2010426#2010427#2010428#2010429#2010430
20105	80010	5	2010530	1#20104	2010501#2010502#2010503#2010504#2010505#2010506#2010507#2010508#2010509#2010510#2010511#2010512#2010513#2010514#2010515#2010516#2010517#2010518#2010519#2010520#2010521#2010522#2010523#2010524#2010525#2010526#2010527#2010528#2010529#2010530
20111	80011	1	2011130	0	2011101#2011102#2011103#2011104#2011105#2011106#2011107#2011108#2011109#2011110#2011111#2011112#2011113#2011114#2011115#2011116#2011117#2011118#2011119#2011120#2011121#2011122#2011123#2011124#2011125#2011126#2011127#2011128#2011129#2011130
20112	80011	2	2011230	1#20111	2011201#2011202#2011203#2011204#2011205#2011206#2011207#2011208#2011209#2011210#2011211#2011212#2011213#2011214#2011215#2011216#2011217#2011218#2011219#2011220#2011221#2011222#2011223#2011224#2011225#2011226#2011227#2011228#2011229#2011230
20113	80011	3	2011330	1#20112	2011301#2011302#2011303#2011304#2011305#2011306#2011307#2011308#2011309#2011310#2011311#2011312#2011313#2011314#2011315#2011316#2011317#2011318#2011319#2011320#2011321#2011322#2011323#2011324#2011325#2011326#2011327#2011328#2011329#2011330
20114	80011	4	2011430	1#20113	2011401#2011402#2011403#2011404#2011405#2011406#2011407#2011408#2011409#2011410#2011411#2011412#2011413#2011414#2011415#2011416#2011417#2011418#2011419#2011420#2011421#2011422#2011423#2011424#2011425#2011426#2011427#2011428#2011429#2011430
20115	80011	5	2011530	1#20114	2011501#2011502#2011503#2011504#2011505#2011506#2011507#2011508#2011509#2011510#2011511#2011512#2011513#2011514#2011515#2011516#2011517#2011518#2011519#2011520#2011521#2011522#2011523#2011524#2011525#2011526#2011527#2011528#2011529#2011530
20121	80012	1	2012130	0	2012101#2012102#2012103#2012104#2012105#2012106#2012107#2012108#2012109#2012110#2012111#2012112#2012113#2012114#2012115#2012116#2012117#2012118#2012119#2012120#2012121#2012122#2012123#2012124#2012125#2012126#2012127#2012128#2012129#2012130
20122	80012	2	2012230	1#20121	2012201#2012202#2012203#2012204#2012205#2012206#2012207#2012208#2012209#2012210#2012211#2012212#2012213#2012214#2012215#2012216#2012217#2012218#2012219#2012220#2012221#2012222#2012223#2012224#2012225#2012226#2012227#2012228#2012229#2012230
20123	80012	3	2012330	1#20122	2012301#2012302#2012303#2012304#2012305#2012306#2012307#2012308#2012309#2012310#2012311#2012312#2012313#2012314#2012315#2012316#2012317#2012318#2012319#2012320#2012321#2012322#2012323#2012324#2012325#2012326#2012327#2012328#2012329#2012330
20124	80012	4	2012430	1#20123	2012401#2012402#2012403#2012404#2012405#2012406#2012407#2012408#2012409#2012410#2012411#2012412#2012413#2012414#2012415#2012416#2012417#2012418#2012419#2012420#2012421#2012422#2012423#2012424#2012425#2012426#2012427#2012428#2012429#2012430
20125	80012	5	2012530	1#20124	2012501#2012502#2012503#2012504#2012505#2012506#2012507#2012508#2012509#2012510#2012511#2012512#2012513#2012514#2012515#2012516#2012517#2012518#2012519#2012520#2012521#2012522#2012523#2012524#2012525#2012526#2012527#2012528#2012529#2012530
