Id	Quality	Star	SiteType	Suit	BasicAttr	Sell	CanRefine	RefineCost	RefineAttrNum	RandAttr	MergeCostItem	NextId	CanChange	ChangeCost
301101	4	2	1	2	2#418	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|62#150#300|56#250#500|155#50#250|53#50#250|58#74#370|151#50#250|153#50#250	10442#8|10441#40	302101	0	null
301102	4	2	2	2	1#5093	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|63#150#300|61#150#300|156#50#250|60#150#300|54#50#250|152#50#250|154#50#250	10442#8|10441#40	302102	0	null
301103	4	2	3	2	2#418	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|62#150#300|55#150#300|155#50#250|53#50#250|58#74#370|151#50#250|153#50#250	10442#8|10441#40	302103	0	null
301104	4	2	4	2	1#5093	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|63#150#300|61#150#300|156#50#250|60#150#300|54#50#250|152#50#250|154#50#250	10442#8|10441#40	302104	0	null
301201	5	2	1	2	2#464	10443#16|10442#4|10441#20	1	10443#4|14#100000	2	2#174#348|1#2118#4236|5#2#10|62#150#300|56#250#500|155#50#250|53#50#250|58#74#370|151#50#250|153#50#250	10442#16|10441#80	302201	1	16#500
301202	5	2	2	2	1#5649	10443#16|10442#4|10441#20	1	10443#4|14#100000	2	2#174#348|1#2118#4236|5#2#10|63#150#300|61#150#300|156#50#250|60#150#300|54#50#250|152#50#250|154#50#250	10442#16|10441#80	302202	1	16#600
301203	5	2	3	2	2#464	10443#16|10442#4|10441#20	1	10443#4|14#100000	2	2#174#348|1#2118#4236|5#2#10|62#150#300|55#150#300|155#50#250|53#50#250|58#74#370|151#50#250|153#50#250	10442#16|10441#80	302203	1	16#700
301204	5	2	4	2	1#5649	10443#16|10442#4|10441#20	1	10443#4|14#100000	2	2#174#348|1#2118#4236|5#2#10|63#150#300|61#150#300|156#50#250|60#150#300|54#50#250|152#50#250|154#50#250	10442#16|10441#80	302204	1	16#800
302001	3	3	1	3	2#456	10443#13|10442#2|10441#10	0	null	0	null	10442#5|10441#17	303001	0	null
302002	3	3	2	3	1#5556	10443#13|10442#2|10441#10	0	null	0	null	10442#5|10441#17	303002	0	null
302003	3	3	3	3	2#456	10443#13|10442#2|10441#10	0	null	0	null	10442#5|10441#17	303003	0	null
302004	3	3	4	3	1#5556	10443#13|10442#2|10441#10	0	null	0	null	10442#5|10441#17	303004	0	null
302101	4	3	1	3	2#502	10443#19|10442#4|10441#20	1	10443#2|14#50000	1	2#209#418|1#2542#5084|5#3#15|62#200#400|56#350#700|155#60#300|53#60#300|58#88#440|151#60#300|153#60#300	10442#10|10441#50	303101	0	null
302102	4	3	2	3	1#6111	10443#19|10442#4|10441#20	1	10443#2|14#50000	1	2#209#418|1#2542#5084|5#3#15|63#200#400|61#200#400|156#60#300|60#200#400|54#60#300|152#60#300|154#60#300	10442#10|10441#50	303102	0	null
302103	4	3	3	3	2#502	10443#19|10442#4|10441#20	1	10443#2|14#50000	1	2#209#418|1#2542#5084|5#3#15|62#200#400|55#200#400|155#60#300|53#60#300|58#88#440|151#60#300|153#60#300	10442#10|10441#50	303103	0	null
302104	4	3	4	3	1#6111	10443#19|10442#4|10441#20	1	10443#2|14#50000	1	2#209#418|1#2542#5084|5#3#15|63#200#400|61#200#400|156#60#300|60#200#400|54#60#300|152#60#300|154#60#300	10442#10|10441#50	303104	0	null
302201	5	3	1	3	2#557	10443#26|10442#8|10441#40	1	10443#4|14#100000	2	2#209#418|1#2542#5084|5#3#15|62#200#400|56#350#700|155#60#300|53#60#300|58#88#440|151#60#300|153#60#300	10442#20|10441#100	303201	1	16#900
302202	5	3	2	3	1#6778	10443#26|10442#8|10441#40	1	10443#4|14#100000	2	2#209#418|1#2542#5084|5#3#15|63#200#400|61#200#400|156#60#300|60#200#400|54#60#300|152#60#300|154#60#300	10442#20|10441#100	303202	1	16#1000
302203	5	3	3	3	2#557	10443#26|10442#8|10441#40	1	10443#4|14#100000	2	2#209#418|1#2542#5084|5#3#15|62#200#400|55#200#400|155#60#300|53#60#300|58#88#440|151#60#300|153#60#300	10442#20|10441#100	303203	1	16#1100
302204	5	3	4	3	1#6778	10443#26|10442#8|10441#40	1	10443#4|14#100000	2	2#209#418|1#2542#5084|5#3#15|63#200#400|61#200#400|156#60#300|60#200#400|54#60#300|152#60#300|154#60#300	10442#20|10441#100	303204	1	16#1200
303001	3	4	1	4	2#548	10443#19|10442#3|10441#15	0	null	0	null	10442#6|10441#18	304001	0	null
303002	3	4	2	4	1#6667	10443#19|10442#3|10441#15	0	null	0	null	10442#6|10441#18	304002	0	null
303003	3	4	3	4	2#548	10443#19|10442#3|10441#15	0	null	0	null	10442#6|10441#18	304003	0	null
303004	3	4	4	4	1#6667	10443#19|10442#3|10441#15	0	null	0	null	10442#6|10441#18	304004	0	null
303101	4	4	1	4	2#603	10443#28|10442#6|10441#30	1	10443#2|14#50000	1	2#250#500|1#3050#6100|5#4#20|62#250#500|56#450#900|155#70#350|53#70#350|58#102#510|151#70#350|153#70#350	10442#12|10441#60	304101	0	null
303102	4	4	2	4	1#7334	10443#28|10442#6|10441#30	1	10443#2|14#50000	1	2#250#500|1#3050#6100|5#4#20|63#250#500|61#250#500|156#70#350|60#250#500|54#70#350|152#70#350|154#70#350	10442#12|10441#60	304102	0	null
303103	4	4	3	4	2#603	10443#28|10442#6|10441#30	1	10443#2|14#50000	1	2#250#500|1#3050#6100|5#4#20|62#250#500|55#250#500|155#70#350|53#70#350|58#102#510|151#70#350|153#70#350	10442#12|10441#60	304103	0	null
303104	4	4	4	4	1#7334	10443#28|10442#6|10441#30	1	10443#2|14#50000	1	2#250#500|1#3050#6100|5#4#20|63#250#500|61#250#500|156#70#350|60#250#500|54#70#350|152#70#350|154#70#350	10442#12|10441#60	304104	0	null
303201	5	4	1	4	2#669	10443#38|10442#12|10441#60	1	10443#4|14#100000	2	2#250#500|1#3050#6100|5#4#20|62#250#500|56#450#900|155#70#350|53#70#350|58#102#510|151#70#350|153#70#350	10442#24|10441#120	304201	1	16#1300
303202	5	4	2	4	1#8134	10443#38|10442#12|10441#60	1	10443#4|14#100000	2	2#250#500|1#3050#6100|5#4#20|63#250#500|61#250#500|156#70#350|60#250#500|54#70#350|152#70#350|154#70#350	10442#24|10441#120	304202	1	16#1400
303203	5	4	3	4	2#669	10443#38|10442#12|10441#60	1	10443#4|14#100000	2	2#250#500|1#3050#6100|5#4#20|62#250#500|55#250#500|155#70#350|53#70#350|58#102#510|151#70#350|153#70#350	10442#24|10441#120	304203	1	16#1500
303204	5	4	4	4	1#8134	10443#38|10442#12|10441#60	1	10443#4|14#100000	2	2#250#500|1#3050#6100|5#4#20|63#250#500|61#250#500|156#70#350|60#250#500|54#70#350|152#70#350|154#70#350	10442#24|10441#120	304204	1	16#1600
304001	3	5	1	5	2#657	10443#28|10442#4|10441#20	0	null	0	null	10442#7|10441#19	0	0	null
304002	3	5	2	5	1#8000	10443#28|10442#4|10441#20	0	null	0	null	10442#7|10441#19	0	0	null
304003	3	5	3	5	2#657	10443#28|10442#4|10441#20	0	null	0	null	10442#7|10441#19	0	0	null
304004	3	5	4	5	1#8000	10443#28|10442#4|10441#20	0	null	0	null	10442#7|10441#19	0	0	null
304101	4	5	1	5	2#723	10443#43|10442#8|10441#40	1	10443#2|14#50000	1	2#301#602|1#3660#7320|5#5#25|62#300#600|56#550#1100|155#80#400|53#80#400|58#116#580|151#80#400|153#80#400	10442#14|10441#70	0	0	null
304102	4	5	2	5	1#8801	10443#43|10442#8|10441#40	1	10443#2|14#50000	1	2#301#602|1#3660#7320|5#5#25|63#300#600|61#300#600|156#80#400|60#300#600|54#80#400|152#80#400|154#80#400	10442#14|10441#70	0	0	null
304103	4	5	3	5	2#723	10443#43|10442#8|10441#40	1	10443#2|14#50000	1	2#301#602|1#3660#7320|5#5#25|62#300#600|55#300#600|155#80#400|53#80#400|58#116#580|151#80#400|153#80#400	10442#14|10441#70	0	0	null
304104	4	5	4	5	1#8801	10443#43|10442#8|10441#40	1	10443#2|14#50000	1	2#301#602|1#3660#7320|5#5#25|63#300#600|61#300#600|156#80#400|60#300#600|54#80#400|152#80#400|154#80#400	10442#14|10441#70	0	0	null
304201	5	5	1	5	2#802	10443#57|10442#16|10441#80	1	10443#4|14#100000	2	2#301#602|1#3660#7320|5#5#25|62#300#600|56#550#1100|155#80#400|53#80#400|58#116#580|151#80#400|153#80#400	10442#28|10441#140	0	1	16#1700
304202	5	5	2	5	1#9761	10443#57|10442#16|10441#80	1	10443#4|14#100000	2	2#301#602|1#3660#7320|5#5#25|63#300#600|61#300#600|156#80#400|60#300#600|54#80#400|152#80#400|154#80#400	10442#28|10441#140	0	1	16#1800
304203	5	5	3	5	2#802	10443#57|10442#16|10441#80	1	10443#4|14#100000	2	2#301#602|1#3660#7320|5#5#25|62#300#600|55#300#600|155#80#400|53#80#400|58#116#580|151#80#400|153#80#400	10442#28|10441#140	0	1	16#1900
304204	5	5	4	5	1#9761	10443#57|10442#16|10441#80	1	10443#4|14#100000	2	2#301#602|1#3660#7320|5#5#25|63#300#600|61#300#600|156#80#400|60#300#600|54#80#400|152#80#400|154#80#400	10442#28|10441#140	0	1	16#2000
310001	3	1	1	11	2#317	10443#4	0	null	0	null	10442#3|10441#15	311001	0	null
310002	3	1	2	11	1#3858	10443#4	0	null	0	null	10442#3|10441#15	311002	0	null
310003	3	1	3	11	2#317	10443#4	0	null	0	null	10442#3|10441#15	311003	0	null
310004	3	1	4	11	1#3858	10443#4	0	null	0	null	10442#3|10441#15	311004	0	null
310101	4	1	1	11	2#349	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|62#100#200|56#150#300|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#6|10441#30	311101	0	null
310102	4	1	2	11	1#4244	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#6|10441#30	311102	0	null
310103	4	1	3	11	2#349	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|62#100#200|55#100#200|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#6|10441#30	311103	0	null
310104	4	1	4	11	1#4244	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#6|10441#30	311104	0	null
310201	5	1	1	11	2#387	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|62#100#200|56#150#300|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#12|10441#60	311201	1	16#100
310202	5	1	2	11	1#4707	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#12|10441#60	311202	1	16#200
310203	5	1	3	11	2#387	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|62#100#200|55#100#200|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#12|10441#60	311203	1	16#300
310204	5	1	4	11	1#4707	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#12|10441#60	311204	1	16#400
311001	3	2	1	12	2#380	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	312001	0	null
311002	3	2	2	12	1#4630	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	312002	0	null
311003	3	2	3	12	2#380	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	312003	0	null
311004	3	2	4	12	1#4630	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	312004	0	null
311101	4	2	1	12	2#418	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|62#150#300|56#250#500|155#50#250|53#50#250|58#74#370|151#50#250|153#50#250	10442#8|10441#40	312101	0	null
311102	4	2	2	12	1#5093	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|63#150#300|61#150#300|156#50#250|60#150#300|54#50#250|152#50#250|154#50#250	10442#8|10441#40	312102	0	null
311103	4	2	3	12	2#418	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|62#150#300|55#150#300|155#50#250|53#50#250|58#74#370|151#50#250|153#50#250	10442#8|10441#40	312103	0	null
311104	4	2	4	12	1#5093	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|63#150#300|61#150#300|156#50#250|60#150#300|54#50#250|152#50#250|154#50#250	10442#8|10441#40	312104	0	null
311201	5	2	1	12	2#464	10443#16|10442#4|10441#20	1	10443#4|14#100000	2	2#174#348|1#2118#4236|5#2#10|62#150#300|56#250#500|155#50#250|53#50#250|58#74#370|151#50#250|153#50#250	10442#16|10441#80	312201	1	16#500
311202	5	2	2	12	1#5649	10443#16|10442#4|10441#20	1	10443#4|14#100000	2	2#174#348|1#2118#4236|5#2#10|63#150#300|61#150#300|156#50#250|60#150#300|54#50#250|152#50#250|154#50#250	10442#16|10441#80	312202	1	16#600
311203	5	2	3	12	2#464	10443#16|10442#4|10441#20	1	10443#4|14#100000	2	2#174#348|1#2118#4236|5#2#10|62#150#300|55#150#300|155#50#250|53#50#250|58#74#370|151#50#250|153#50#250	10442#16|10441#80	312203	1	16#700
311204	5	2	4	12	1#5649	10443#16|10442#4|10441#20	1	10443#4|14#100000	2	2#174#348|1#2118#4236|5#2#10|63#150#300|61#150#300|156#50#250|60#150#300|54#50#250|152#50#250|154#50#250	10442#16|10441#80	312204	1	16#800
312001	3	3	1	13	2#456	10443#13|10442#2|10441#10	0	null	0	null	10442#5|10441#17	313001	0	null
312002	3	3	2	13	1#5556	10443#13|10442#2|10441#10	0	null	0	null	10442#5|10441#17	313002	0	null
312003	3	3	3	13	2#456	10443#13|10442#2|10441#10	0	null	0	null	10442#5|10441#17	313003	0	null
312004	3	3	4	13	1#5556	10443#13|10442#2|10441#10	0	null	0	null	10442#5|10441#17	313004	0	null
312101	4	3	1	13	2#502	10443#19|10442#4|10441#20	1	10443#2|14#50000	1	2#209#418|1#2542#5084|5#3#15|62#200#400|56#350#700|155#60#300|53#60#300|58#88#440|151#60#300|153#60#300	10442#10|10441#50	313101	0	null
312102	4	3	2	13	1#6111	10443#19|10442#4|10441#20	1	10443#2|14#50000	1	2#209#418|1#2542#5084|5#3#15|63#200#400|61#200#400|156#60#300|60#200#400|54#60#300|152#60#300|154#60#300	10442#10|10441#50	313102	0	null
312103	4	3	3	13	2#502	10443#19|10442#4|10441#20	1	10443#2|14#50000	1	2#209#418|1#2542#5084|5#3#15|62#200#400|55#200#400|155#60#300|53#60#300|58#88#440|151#60#300|153#60#300	10442#10|10441#50	313103	0	null
312104	4	3	4	13	1#6111	10443#19|10442#4|10441#20	1	10443#2|14#50000	1	2#209#418|1#2542#5084|5#3#15|63#200#400|61#200#400|156#60#300|60#200#400|54#60#300|152#60#300|154#60#300	10442#10|10441#50	313104	0	null
312201	5	3	1	13	2#557	10443#26|10442#8|10441#40	1	10443#4|14#100000	2	2#209#418|1#2542#5084|5#3#15|62#200#400|56#350#700|155#60#300|53#60#300|58#88#440|151#60#300|153#60#300	10442#20|10441#100	313201	1	16#900
312202	5	3	2	13	1#6778	10443#26|10442#8|10441#40	1	10443#4|14#100000	2	2#209#418|1#2542#5084|5#3#15|63#200#400|61#200#400|156#60#300|60#200#400|54#60#300|152#60#300|154#60#300	10442#20|10441#100	313202	1	16#1000
312203	5	3	3	13	2#557	10443#26|10442#8|10441#40	1	10443#4|14#100000	2	2#209#418|1#2542#5084|5#3#15|62#200#400|55#200#400|155#60#300|53#60#300|58#88#440|151#60#300|153#60#300	10442#20|10441#100	313203	1	16#1100
312204	5	3	4	13	1#6778	10443#26|10442#8|10441#40	1	10443#4|14#100000	2	2#209#418|1#2542#5084|5#3#15|63#200#400|61#200#400|156#60#300|60#200#400|54#60#300|152#60#300|154#60#300	10442#20|10441#100	313204	1	16#1200
313001	3	4	1	14	2#548	10443#19|10442#3|10441#15	0	null	0	null	10442#6|10441#18	314001	0	null
313002	3	4	2	14	1#6667	10443#19|10442#3|10441#15	0	null	0	null	10442#6|10441#18	314002	0	null
313003	3	4	3	14	2#548	10443#19|10442#3|10441#15	0	null	0	null	10442#6|10441#18	314003	0	null
313004	3	4	4	14	1#6667	10443#19|10442#3|10441#15	0	null	0	null	10442#6|10441#18	314004	0	null
313101	4	4	1	14	2#603	10443#28|10442#6|10441#30	1	10443#2|14#50000	1	2#250#500|1#3050#6100|5#4#20|62#250#500|56#450#900|155#70#350|53#70#350|58#102#510|151#70#350|153#70#350	10442#12|10441#60	314101	0	null
313102	4	4	2	14	1#7334	10443#28|10442#6|10441#30	1	10443#2|14#50000	1	2#250#500|1#3050#6100|5#4#20|63#250#500|61#250#500|156#70#350|60#250#500|54#70#350|152#70#350|154#70#350	10442#12|10441#60	314102	0	null
313103	4	4	3	14	2#603	10443#28|10442#6|10441#30	1	10443#2|14#50000	1	2#250#500|1#3050#6100|5#4#20|62#250#500|55#250#500|155#70#350|53#70#350|58#102#510|151#70#350|153#70#350	10442#12|10441#60	314103	0	null
313104	4	4	4	14	1#7334	10443#28|10442#6|10441#30	1	10443#2|14#50000	1	2#250#500|1#3050#6100|5#4#20|63#250#500|61#250#500|156#70#350|60#250#500|54#70#350|152#70#350|154#70#350	10442#12|10441#60	314104	0	null
313201	5	4	1	14	2#669	10443#38|10442#12|10441#60	1	10443#4|14#100000	2	2#250#500|1#3050#6100|5#4#20|62#250#500|56#450#900|155#70#350|53#70#350|58#102#510|151#70#350|153#70#350	10442#24|10441#120	314201	1	16#1300
313202	5	4	2	14	1#8134	10443#38|10442#12|10441#60	1	10443#4|14#100000	2	2#250#500|1#3050#6100|5#4#20|63#250#500|61#250#500|156#70#350|60#250#500|54#70#350|152#70#350|154#70#350	10442#24|10441#120	314202	1	16#1400
313203	5	4	3	14	2#669	10443#38|10442#12|10441#60	1	10443#4|14#100000	2	2#250#500|1#3050#6100|5#4#20|62#250#500|55#250#500|155#70#350|53#70#350|58#102#510|151#70#350|153#70#350	10442#24|10441#120	314203	1	16#1500
313204	5	4	4	14	1#8134	10443#38|10442#12|10441#60	1	10443#4|14#100000	2	2#250#500|1#3050#6100|5#4#20|63#250#500|61#250#500|156#70#350|60#250#500|54#70#350|152#70#350|154#70#350	10442#24|10441#120	314204	1	16#1600
314001	3	5	1	15	2#657	10443#28|10442#4|10441#20	0	null	0	null	10442#7|10441#19	0	0	null
314002	3	5	2	15	1#8000	10443#28|10442#4|10441#20	0	null	0	null	10442#7|10441#19	0	0	null
314003	3	5	3	15	2#657	10443#28|10442#4|10441#20	0	null	0	null	10442#7|10441#19	0	0	null
314004	3	5	4	15	1#8000	10443#28|10442#4|10441#20	0	null	0	null	10442#7|10441#19	0	0	null
314101	4	5	1	15	2#723	10443#43|10442#8|10441#40	1	10443#2|14#50000	1	2#301#602|1#3660#7320|5#5#25|62#300#600|56#550#1100|155#80#400|53#80#400|58#116#580|151#80#400|153#80#400	10442#14|10441#70	0	0	null
314102	4	5	2	15	1#8801	10443#43|10442#8|10441#40	1	10443#2|14#50000	1	2#301#602|1#3660#7320|5#5#25|63#300#600|61#300#600|156#80#400|60#300#600|54#80#400|152#80#400|154#80#400	10442#14|10441#70	0	0	null
314103	4	5	3	15	2#723	10443#43|10442#8|10441#40	1	10443#2|14#50000	1	2#301#602|1#3660#7320|5#5#25|62#300#600|55#300#600|155#80#400|53#80#400|58#116#580|151#80#400|153#80#400	10442#14|10441#70	0	0	null
314104	4	5	4	15	1#8801	10443#43|10442#8|10441#40	1	10443#2|14#50000	1	2#301#602|1#3660#7320|5#5#25|63#300#600|61#300#600|156#80#400|60#300#600|54#80#400|152#80#400|154#80#400	10442#14|10441#70	0	0	null
314201	5	5	1	15	2#802	10443#57|10442#16|10441#80	1	10443#4|14#100000	2	2#301#602|1#3660#7320|5#5#25|62#300#600|56#550#1100|155#80#400|53#80#400|58#116#580|151#80#400|153#80#400	10442#28|10441#140	0	1	16#1700
314202	5	5	2	15	1#9761	10443#57|10442#16|10441#80	1	10443#4|14#100000	2	2#301#602|1#3660#7320|5#5#25|63#300#600|61#300#600|156#80#400|60#300#600|54#80#400|152#80#400|154#80#400	10442#28|10441#140	0	1	16#1800
314203	5	5	3	15	2#802	10443#57|10442#16|10441#80	1	10443#4|14#100000	2	2#301#602|1#3660#7320|5#5#25|62#300#600|55#300#600|155#80#400|53#80#400|58#116#580|151#80#400|153#80#400	10442#28|10441#140	0	1	16#1900
314204	5	5	4	15	1#9761	10443#57|10442#16|10441#80	1	10443#4|14#100000	2	2#301#602|1#3660#7320|5#5#25|63#300#600|61#300#600|156#80#400|60#300#600|54#80#400|152#80#400|154#80#400	10442#28|10441#140	0	1	16#2000
320001	3	1	1	21	2#317	10443#4	0	null	0	null	10442#3|10441#15	321001	0	null
320002	3	1	2	21	1#3858	10443#4	0	null	0	null	10442#3|10441#15	321002	0	null
320003	3	1	3	21	2#317	10443#4	0	null	0	null	10442#3|10441#15	321003	0	null
320004	3	1	4	21	1#3858	10443#4	0	null	0	null	10442#3|10441#15	321004	0	null
320101	4	1	1	21	2#349	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|62#100#200|56#150#300|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#6|10441#30	321101	0	null
320102	4	1	2	21	1#4244	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#6|10441#30	321102	0	null
320103	4	1	3	21	2#349	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|62#100#200|55#100#200|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#6|10441#30	321103	0	null
320104	4	1	4	21	1#4244	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#6|10441#30	321104	0	null
320201	5	1	1	21	2#387	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|62#100#200|56#150#300|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#12|10441#60	321201	1	16#100
320202	5	1	2	21	1#4707	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#12|10441#60	321202	1	16#200
320203	5	1	3	21	2#387	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|62#100#200|55#100#200|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#12|10441#60	321203	1	16#300
320204	5	1	4	21	1#4707	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#12|10441#60	321204	1	16#400
321001	3	2	1	22	2#380	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	322001	0	null
321002	3	2	2	22	1#4630	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	322002	0	null
321003	3	2	3	22	2#380	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	322003	0	null
321004	3	2	4	22	1#4630	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	322004	0	null
321101	4	2	1	22	2#418	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|62#150#300|56#250#500|155#50#250|53#50#250|58#74#370|151#50#250|153#50#250	10442#8|10441#40	322101	0	null
321102	4	2	2	22	1#5093	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|63#150#300|61#150#300|156#50#250|60#150#300|54#50#250|152#50#250|154#50#250	10442#8|10441#40	322102	0	null
321103	4	2	3	22	2#418	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|62#150#300|55#150#300|155#50#250|53#50#250|58#74#370|151#50#250|153#50#250	10442#8|10441#40	322103	0	null
321104	4	2	4	22	1#5093	10443#12|10442#2|10441#10	1	10443#2|14#50000	1	2#174#348|1#2118#4236|5#2#10|63#150#300|61#150#300|156#50#250|60#150#300|54#50#250|152#50#250|154#50#250	10442#8|10441#40	322104	0	null
